05-MalPatSaj-name,07-silvestri-name,08-slytherin-name
cheniere energy,cheniere energy,cheniere energy
sandvik,sandvik,sandvik
siam cement,siam cement,siam cement
east japan railway,east japan railway,east japan railway
abu dhabi commercial bank,abu dhabi commercial bank,abu dhabi commercial bank
huishang bank,huishang bank,huishang bank
great wall motor,great wall motor,great wall motor 
haitong securities,haitong securities,haitong securities
dongfeng motor group,dongfeng motor group,dongfeng motor group
china reinsurance group,china reinsurance group,china reinsurance group
henderson land,henderson land,henderson land
samsung sdi,samsung sdi,samsung sdi
fortis (canada),fortis (canada),fortis (canada)
sk telecom,sk telecom,sk telecom
hal trust,hal trust,hal trust
banco btg pactual,banco btg pactual,banco btg pactual
baker hughes company,baker hughes company,baker hughes company
gallagher,gallagher,gallagher
everest re group,everest re group,everest re group
amphenol,amphenol,amphenol
american airlines group,american airlines group,american airlines group
kla,kla,kla
astellas pharma,astellas pharma,astellas pharma
otsuka holding,otsuka holding,otsuka holding
china bohai bank,china bohai bank,china bohai bank
kasikornbank,kasikornbank,kasikornbank
bank hapoalim,bank hapoalim,bank hapoalim
woodside petroleum,woodside petroleum,woodside petroleum
mtr,mtr,mtr
tatneft,tatneft,tatneft
power finance,power finance,power finance
zoetis,zoetis,zoetis
lonza group,lonza group,lonza group
eiffage,eiffage,eiffage
sumitomo chemical,sumitomo chemical,sumitomo chemical
vertex pharmaceuticals,vertex pharmaceuticals,vertex pharmaceuticals
constellation energy,constellation energy,constellation energy
cifi holdings group,cifi holdings group,cifi holdings group
raiffeisen bank international,raiffeisen bank international,raiffeisen bank international
whirlpool,whirlpool,whirlpool
siemens energy,siemens energy,siemens energy
westrock,westrock,westrock
samsung fire & marine,samsung fire & marine,samsung fire & marine
us steel,us steel,us steel
upm-kymmene,upm-kymmene,upm-kymmene
formosa chemicals,formosa chemicals,formosa chemicals
sk innovation,sk innovation,sk innovation 
telia,telia,telia
t&d holdings,t&d holdings,t&d holdings
mapfre,mapfre,mapfre
hcl technologies,hcl technologies,hcl technologies
sumitomo realty,sumitomo realty,sumitomo realty
westlake chemical,westlake chemical,westlake chemical
apollo global management,apollo global management,apollo global management
united rentals,united rentals,united rentals
diamondback energy,diamondback energy,diamondback energy
otis worldwide,otis worldwide,otis worldwide
chongqing rural bank,chongqing rural bank,chongqing rural bank
ball,ball,ball
stora enso,stora enso,stora enso
yang ming marine transport,yang ming marine transport,yang ming marine transport
phoenix group holdings,phoenix group holdings,phoenix group holdings
wipro,wipro,wipro
power grid of india,power grid of india,power grid of india
absa group,absa group,absa group
novolipetsk steel,novolipetsk steel,novolipetsk steel
sumitomo electric,sumitomo electric,sumitomo electric
st. james's place,st. james's place,st. james's place
grasim industries,grasim industries,grasim industries
segro,segro,segro
mega financial holding,mega financial holding,mega financial holding
zhongsheng group holdings,zhongsheng group holdings,zhongsheng group holdings
shin kong financial,shin kong financial,shin kong financial
cms energy,cms energy,cms energy
quinenco,quinenco,quinenco
evonik industries,evonik industries,evonik industries
east money information,east money information,east money information  
qbe insurance group,qbe insurance group,qbe insurance group
tenaga nasional,tenaga nasional,tenaga nasional
naver,naver,naver
tdk,tdk,tdk
nomura,nomura,nomura
jinke property group,jinke property group,jinke property group
tokyo electric power,tokyo electric power,tokyo electric power
cdw,cdw,cdw
the hershey company,the hershey company,the hershey company
itc,itc,itc
pgnig group,pgnig group,pgnig group
mtn group,mtn group,mtn group
compass group,compass group,compass group
wr berkley,wr berkley,wr berkley
moody's,moody's,moody's
genuine parts,genuine parts,genuine parts
beijing-shanghai high-speed railway,beijing-shanghai high-speed railway,beijing-shanghai high-speed railway
aluminum corp of china,aluminum corp of china,aluminum corp of china
kansai electric power,kansai electric power,kansai electric power
public storage,public storage,public storage
china international travel service,china international travel service,china international travel service
sika,sika,sika
signature bank,signature bank,signature bank
t rowe price,t rowe price,t rowe price
international flavors & fragrances,international flavors & fragrances,international flavors & fragrances
atlantia,atlantia,atlantia
roper technologies,roper technologies,roper technologies
shanghai international port,shanghai international port,shanghai international port
daiichi sankyo,daiichi sankyo,daiichi sankyo
rakuten,rakuten,rakuten
franklin resources,franklin resources,franklin resources
bank of ireland,bank of ireland,bank of ireland
mitsui osk lines,mitsui osk lines,mitsui osk lines
saudi british bank,saudi british bank,saudi british bank
ameren,ameren,ameren
chunghwa telecom,chunghwa telecom,chunghwa telecom
assa abloy,assa abloy,assa abloy
zte,zte,zte
asr nederland,asr nederland,asr nederland
conagra brands,conagra brands,conagra brands
commerzbank,commerzbank,commerzbank
bajaj finserv,bajaj finserv,bajaj finserv 
hyundai steel,hyundai steel,hyundai steel
lg display,lg display,lg display
kt,kt,kt 
logan property holdings,logan property holdings,logan property holdings
public service enterprise group,public service enterprise group,public service enterprise group
en+ group international,en+ group international,en+ group international 
isbank,isbank,isbank
expeditors international,expeditors international,expeditors international
ternium,ternium,ternium
cez group,cez group,cez group
isuzu motors,isuzu motors,isuzu motors
renesas electronics,renesas electronics,renesas electronics
universal music group,universal music group,universal music group
unipol gruppo,unipol gruppo,unipol gruppo
sbi holdings,sbi holdings,sbi holdings
techtronic industries,techtronic industries,techtronic industries
ferrovial,ferrovial,ferrovial
cimb group holdings,cimb group holdings,cimb group holdings
kone,kone,kone
e-mart,e-mart,e-mart 
gf securities,gf securities,gf securities
china merchants securities,china merchants securities,china merchants securities
annaly capital management,annaly capital management,annaly capital management
coles group,coles group,coles group
central japan railway,central japan railway,central japan railway
sabanci holding,sabanci holding,sabanci holding
yuanta financial holding,yuanta financial holding,yuanta financial holding
antarchile,antarchile,antarchile
hmm,hmm,hmm
seagate technology,seagate technology,seagate technology
alleghany,alleghany,alleghany
guosen securities,guosen securities,guosen securities
avis budget group,avis budget group,avis budget group
jiangxi copper,jiangxi copper,jiangxi copper
mitsubishi ufj lease,mitsubishi ufj lease,mitsubishi ufj lease
sumitomo metal mining,sumitomo metal mining,sumitomo metal mining
asustek computer,asustek computer,asustek computer
associated british foods,associated british foods,associated british foods
china national nuclear power,china national nuclear power,china national nuclear power
china international capital,china international capital,china international capital
china molybdenum,china molybdenum,china molybdenum
equitable holdings,equitable holdings,equitable holdings
covestro,covestro,covestro
m&g,m&g,m&g
shopify,shopify,shopify
shanghai construction,shanghai construction,shanghai construction 
essity,essity,essity
ww grainger,ww grainger,ww grainger
canara bank,canara bank,canara bank
viatris,viatris,viatris
american water works,american water works,american water works
united microelectronics,united microelectronics,united microelectronics
vf,vf,vf
intuitive surgical,intuitive surgical,intuitive surgical
snam,snam,snam
vestas wind systems,vestas wind systems,vestas wind systems
subaru,subaru,subaru
jiangsu zhongnan construction group,jiangsu zhongnan construction group,jiangsu zhongnan construction group
carlsberg,carlsberg,carlsberg
builders firstsource,builders firstsource,builders firstsource
semiconductor manufacturing international,semiconductor manufacturing international,semiconductor manufacturing international
pko bank polski,pko bank polski,pko bank polski
enn energy holdings,enn energy holdings,enn energy holdings
wh group,wh group,wh group 
amcor,amcor,amcor
korea gas,korea gas,korea gas
jefferies financial,jefferies financial,jefferies financial 
severstal,severstal,severstal
alexandria real estate equities,alexandria real estate equities,alexandria real estate equities
julius baer group,julius baer group,julius baer group
sanlam,sanlam,sanlam
emaar properties,emaar properties,emaar properties
joint stock commercial bank for foreign trade of vietnam,joint stock commercial bank for foreign trade of vietnam,joint stock commercial bank for foreign trade of vietnam
motorola solutions,motorola solutions,motorola solutions
shanghai rural commercial bank,shanghai rural commercial bank,shanghai rural commercial bank
braskem,braskem,braskem
bank of baroda,bank of baroda,bank of baroda
s-oil,s-oil,s-oil
tractor supply,tractor supply,tractor supply
suncorp group,suncorp group,suncorp group
mol hungarian oil,mol hungarian oil,mol hungarian oil
aptiv,aptiv,aptiv
voya financial,voya financial,voya financial
gs holdings,gs holdings,gs holdings
gerdau (cosigua),gerdau (cosigua),gerdau (cosigua)
equity residential,equity residential,equity residential
qatar islamic bank,qatar islamic bank,qatar islamic bank
hormel foods,hormel foods,hormel foods
shenwan hongyuan group,shenwan hongyuan group,shenwan hongyuan group
reinsurance group of america,reinsurance group of america,reinsurance group of america
quest diagnostics,quest diagnostics,quest diagnostics
solvay,solvay,solvay
pembina pipeline,pembina pipeline,pembina pipeline
banque saudi fransi,banque saudi fransi,banque saudi fransi
smc,smc,smc
sasol,sasol,sasol
molson coors brewing,molson coors brewing,molson coors brewing
macy's,macy's,macy's
bancolombia,bancolombia,bancolombia
cintas,cintas,cintas
china international marine,china international marine,china international marine
huaneng power international,huaneng power international,huaneng power international
restaurant brands international,restaurant brands international,restaurant brands international
grupa pzu,grupa pzu,grupa pzu
kao,kao,kao 
agile group holdings,agile group holdings,agile group holdings
arrow electronics,arrow electronics,arrow electronics
shenzhen overseas,shenzhen overseas,shenzhen overseas
tenet healthcare,tenet healthcare,tenet healthcare
grupo aval,grupo aval,grupo aval
cp all,cp all,cp all
geely automobile holdings,geely automobile holdings,geely automobile holdings
centrica,centrica,centrica
dubai islamic bank,dubai islamic bank,dubai islamic bank
suzano papel e celulose,suzano papel e celulose,suzano papel e celulose
link reit,link reit,link reit
yum! brands,yum! brands,yum! brands
first quantum minerals,first quantum minerals,first quantum minerals
aercap holdings,aercap holdings,aercap holdings
first horizon,first horizon,first horizon
dentsu,dentsu,dentsu
molina healthcare,molina healthcare,molina healthcare
union bank of india,union bank of india,union bank of india
toray industries,,toray industries
block,,block
eletrobrás,,eletrobrás
china mengniu dairy,,china mengniu dairy
db insurance,,db insurance
e.sun financial,,e.sun financial
otp bank,,otp bank
sm investments,,sm investments
ebay,,ebay
edwards lifesciences,,edwards lifesciences
taiwan cooperative financial,,taiwan cooperative financial
constellation brands,,constellation brands
china jinmao,,china jinmao
fanuc,,fanuc
yango group,,yango group
legrand,,legrand
shanghai pharmaceuticals,,shanghai pharmaceuticals
agc,,agc
shaanxi construction engineering group,,shaanxi construction engineering group
hunan valin steel,,hunan valin steel
goodman group,,goodman group
ia financial corporation,,ia financial corporation
unum,,unum
anta sports products,,anta sports products
continental resources,,continental resources
bâloise group,,bâloise group
pegatron,,pegatron
jones lang lasalle,,jones lang lasalle
american financial group,,american financial group
daiwa securities,,daiwa securities
deutsche lufthansa,,deutsche lufthansa
invesco,,invesco
nasdaq,,nasdaq
schindler holding,,schindler holding
comerica,,comerica
mizrahi tefahot bank,,mizrahi tefahot bank
bio-rad laboratories,,bio-rad laboratories
industries qatar,,industries qatar
kakao,,kakao
ashtead group,,ashtead group
punjab national bank,,punjab national bank
delta electronics,,delta electronics
alcon,,alcon
td synnex,,td synnex
antofagasta,,antofagasta
pultegroup,,pultegroup
wan hai lines,,wan hai lines
equinix,,equinix
reliance steel,,reliance steel
ptt global chemical,,ptt global chemical
bankinter,,bankinter
teva pharmaceutical,,teva pharmaceutical
c.h. robinson,,c.h. robinson
verbund,,verbund
zions bancorp,,zions bancorp
bank of chengdu,,bank of chengdu
3i group,,3i group
alinma bank,,alinma bank
jde peet's,,jde peet's
cosmo energy holdings,,cosmo energy holdings
risesun real estate development,,risesun real estate development
uni-president,,uni-president
mahindra & mahindra,,mahindra & mahindra
telenor,,telenor
ucb,,ucb
interpublic group,,interpublic group
akzo nobel,,akzo nobel
celanese,,celanese
avalonbay communities,,avalonbay communities
randstad n.v.,,randstad n.v.
sibanye stillwater,,sibanye stillwater
first financial holding,,first financial holding
microchip technology,,microchip technology
flex,,flex
liberty media corporation series a liberty formula one,,liberty media corporation series a liberty formula one
agilent technologies,,agilent technologies
guangzhou automobile group,,guangzhou automobile group
rosseti,,rosseti
beijing shougang,,beijing shougang
cgi,,cgi
csc financial,,csc financial
thyssenkrupp group,,thyssenkrupp group
shenzhen mindray bio-medical electronics,,shenzhen mindray bio-medical electronics
hoya,,hoya
tongwei,,tongwei
kuwait finance house,,kuwait finance house
grupo bimbo,,grupo bimbo
lkq,,lkq
chubu electric power,,chubu electric power
lithia motors,,lithia motors
swire pacific,,swire pacific
unicaja banco,,unicaja banco
mazda motor,,mazda motor
telecom italia,,telecom italia
china galaxy securities,,china galaxy securities
cnpc capital,,cnpc capital
china southern airlines,,china southern airlines
dassault systemes,,dassault systemes
gd power development,,gd power development
paychex,,paychex
genworth financial,,genworth financial
monster beverage,,monster beverage
china longyuan power,,china longyuan power
ovintiv,,ovintiv
bdo unibank,,bdo unibank
autonation,,autonation
china aoyuan group,,china aoyuan group
chesapeake energy,,chesapeake energy
j.b. hunt transport services,,j.b. hunt transport services
mediobanca,,mediobanca
credicorp,,credicorp
realty income,,realty income
beijing enterprises,,beijing enterprises
coterra energy,,coterra energy 
siam commercial bank,,siam commercial bank
nongfu spring,,nongfu spring
finatis,,finatis
greentown china holdings,,greentown china holdings
meritz financial group,,meritz financial group
tbea,,tbea
rockwell automation,,rockwell automation
west fraser timber co.,,west fraser timber co.
helvetia holding,,helvetia holding
chow tai fook jewellery,,chow tai fook jewellery
givaudan,,givaudan
polyus,,polyus
lululemon athletica,,lululemon athletica
bath & body works,,bath & body works
jabil circuit,,jabil circuit
innolux,,innolux
partners group holding,,partners group holding
luzhou lao jiao,,luzhou lao jiao
scor,,scor
dover,,dover
east west bancorp,,east west bancorp
j sainsbury,,j sainsbury
kaisa group holdings,,kaisa group holdings
china huarong asset management,,china huarong asset management
au optronics,,au optronics
ulta beauty,,ulta beauty
korea investment holdings,,korea investment holdings
itaúsa,,itaúsa
baic motor,,baic motor
cellnex telecom,,cellnex telecom
aes,,aes
evraz group,,evraz group
leonardo,,leonardo
impala platinum holdings,,impala platinum holdings
lotte chemical,,lotte chemical
foshan haitian flavouring and food,,foshan haitian flavouring and food
rolls-royce holdings,,rolls-royce holdings
sodexo,,sodexo
altice usa,,altice usa
bank negara indonesia,,bank negara indonesia
davita,,davita
old mutual,,old mutual
yum china holdings,,yum china holdings
penske automotive,,penske automotive
yamaha motor,,yamaha motor
kingfisher,,kingfisher
storebrand,,storebrand
darden restaurants,,darden restaurants
hess,,hess
cj corporation,,cj corporation
falabella,,falabella
coupang,,coupang
capitaland investment,,capitaland investment
fastighets balder,,fastighets balder
welltower,,welltower
kajima,,kajima
steel authority of india,,steel authority of india
caesars entertainment,,caesars entertainment
new world development,,new world development
textron,,textron
cemex,,cemex
hexagon,,hexagon 
zim integrated shipping services,,zim integrated shipping services
china national chemical,,china national chemical
fastenal,,fastenal
chongqing zhifei biological products,,chongqing zhifei biological products
secom,,secom
angang steel,,angang steel
sto express,,sto express
zoom video communications,,zoom video communications
magnitogorsk iron & steel,,magnitogorsk iron & steel
nvr,,nvr
evergy,,evergy
alpha dhabi holding,,alpha dhabi holding
kirin holdings,,kirin holdings
bank of changsha,,bank of changsha
voestalpine,,voestalpine
china resources pharmaceutical group,,china resources pharmaceutical group
kuaishou technology,,kuaishou technology
bbmg,,bbmg
suning.com,,suning.com
national bank of greece,,national bank of greece
targa resources,,targa resources
olympus,,olympus
umicore,,umicore
expedia group,,expedia group
hua nan financial,,hua nan financial
jiangsu yanghe brewery,,jiangsu yanghe brewery
kerry group,,kerry group
beiersdorf,,beiersdorf
leidos,,leidos
eastman,,eastman
vistra energy,,vistra energy
tohoku electric power,,tohoku electric power
banca mediolanum,,banca mediolanum
pge polska grupa energetyczna,,pge polska grupa energetyczna
transdigm group,,transdigm group
experian,,experian
mirae asset financial group,,mirae asset financial group
eqt ab,,eqt ab
gail india,,gail india
inner mongolia baotou steel,,inner mongolia baotou steel
towngas,,towngas
on semiconductor corp.,,on semiconductor corp.
terna,,terna
carnival corporation,,carnival corporation
vici properties,,vici properties
chipotle mexican grill,,chipotle mexican grill
toppan printing,,toppan printing
shanghai electric group,,shanghai electric group
turkish airlines,,turkish airlines
ferrari,,ferrari
old republic international,,old republic international
jeronimo martins,,jeronimo martins
zimmer biomet,,zimmer biomet
alcoa,,alcoa
santos,,santos
alstom,,alstom
kyushu electric power,,kyushu electric power
goodyear,,goodyear
tenaris,,tenaris
bluescope steel,,bluescope steel
petronas chemicals,,petronas chemicals
illumina,,illumina
synopsys,,synopsys
datang international power,,datang international power
top frontier investment holdings,,top frontier investment holdings
arkema,,arkema
nippon paint,,nippon paint
kobe steel,,kobe steel
bank of greece,,bank of greece
bank of guiyang,,bank of guiyang
hd hyundai,,hd hyundai
royal mail,,royal mail
eurofins scientific societe europeenne,,eurofins scientific societe europeenne
lundbergs,,lundbergs
guangzhou r&f,,guangzhou r&f
china gas holdings,,china gas holdings
shanxi xinghuacun fen wine factory,,shanxi xinghuacun fen wine factory
hologic,,hologic
western alliance bancorp.,,western alliance bancorp.
wuchan zhongda group,,wuchan zhongda group
metro,,metro
raizen,,raizen
old dominion freight line,,old dominion freight line
israel discount bank,,israel discount bank
bangkok bank,,bangkok bank
akbank,,akbank
mitsui chemicals,,mitsui chemicals
midea real estate holding,,midea real estate holding
sharp,,sharp
kpn,,kpn
kohl's,,kohl's
chongqing changan auto,,chongqing changan auto
canadian tire,,canadian tire
vienna insurance group,,vienna insurance group
new hope liuhe,,new hope liuhe
sichuan road & bridge,,sichuan road & bridge
copart,,copart
dick's sporting goods,,dick's sporting goods
jiangsu hengrui medicine,,jiangsu hengrui medicine
universal health services,,universal health services
grupo inbursa,,grupo inbursa
dongguan rural commercial bank,,dongguan rural commercial bank
dassault aviation,,dassault aviation
yara international,,yara international
banco de sabadell,,banco de sabadell
olam group,,olam group
wuxi apptec,,wuxi apptec
popular,,popular
hydro one,,hydro one
sg holdings,,sg holdings
sojitz,,sojitz
goertek,,goertek
frontier communications parent,,frontier communications parent
samhallsbyggnadsbolaget i norden,,samhallsbyggnadsbolaget i norden
schaeffler,,schaeffler
migdal insurance,,migdal insurance
inter rao,,inter rao
nedbank,,nedbank
hopson development holdings,,hopson development holdings
ametek,,ametek
lg,,lg 
skanska,,skanska
hbis,,hbis
banco bpm,,banco bpm
china fortune land development,,china fortune land development
adyen,,adyen
air france-klm,,air france-klm
jacobs engineering,,jacobs engineering
china resources power,,china resources power
ppl,,ppl
aib group,,aib group
transurban group,,transurban group
tourmaline oil,,tourmaline oil
arab national bank,,arab national bank
marvell technology,,marvell technology
skyworks solutions,,skyworks solutions
arista networks,,arista networks
china three gorges renewables (group),,china three gorges renewables (group)
electronic arts,,electronic arts
flutter entertainment,,flutter entertainment
brighthouse financial,,brighthouse financial
international airlines,,international airlines
boliden,,boliden
cf industries holdings,,cf industries holdings
krung thai bank,,krung thai bank
didi global,,didi global
hyundai marine & fire,,hyundai marine & fire
csn,,csn
apa,,apa
ssab ab,,ssab ab
teleperformance,,teleperformance
campbell soup,,campbell soup
sofina,,sofina
bunzl,,bunzl
cj cheiljedang,,cj cheiljedang
magnit,,magnit
huadian power international,,huadian power international
nari technology development,,nari technology development
marathon oil,,marathon oil
eurazeo,,eurazeo
tokyo gas,,tokyo gas
guangzhou rural commercial bank,,guangzhou rural commercial bank
heimstaden ab pref. shs,,heimstaden ab pref. shs
keysight technologies,,keysight technologies
schroders,,schroders
stonex group,,stonex group
aurubis,,aurubis
garmin,,garmin
compal electronics,,compal electronics
enn natural gas,,enn natural gas
phoenix holdings,,phoenix holdings
mccormick,,mccormick
indian bank,,indian bank
idexx laboratories,,idexx laboratories
smurfit kappa group,,smurfit kappa group
xinjiang daqo new energy,,xinjiang daqo new energy
halkbank,,halkbank
waste connections,,waste connections
swatch group,,swatch group
south32,,south32
china overseas grand oceans group,,china overseas grand oceans group
tokyo century,,tokyo century
japan exchange group,,japan exchange group
terumo,,terumo
leg immobilien ag,,leg immobilien ag
sun pharma industries,,sun pharma industries
brown-forman,,brown-forman
assurant,,assurant
ajinomoto,,ajinomoto
indorama ventures,,indorama ventures
taishin financial holdings,,taishin financial holdings
zoomlion heavy industry,,zoomlion heavy industry
xcmg construction machinery,,xcmg construction machinery
powerlong real estate,,powerlong real estate 
yuexiu property,,yuexiu property 
sonic healthcare,,sonic healthcare
netapp,,netapp
wolters kluwer,,wolters kluwer
galp energia,,galp energia
nexon,,nexon
royal caribbean group,,royal caribbean group
extra space storage,,extra space storage
shengjing bank,,shengjing bank
x5 retail group,,x5 retail group
cadence design,,cadence design
vakifbank,,vakifbank
agco,,agco
shanxi taigang stainless,,shanxi taigang stainless
grupo elektra,,grupo elektra
sdic power holdings,,sdic power holdings
zhongliang holdings,,zhongliang holdings 
wuestenrot & wuerttembergische,,wuestenrot & wuerttembergische
msci,,msci
bper banca,,bper banca
obayashi,,obayashi
bnk financial group,,bnk financial group
oji holdings,,oji holdings
spotify technology,,spotify technology
coloplast,,coloplast
brenntag,,brenntag
wens foodstuff group,,wens foodstuff group
first american financial,,first american financial
euronext,,euronext
masraf al rayan,,masraf al rayan
mercadolibre,,mercadolibre
packaging corp of america,,packaging corp of america
mitsubishi materials,,mitsubishi materials
wharf real estate investment,,wharf real estate investment
berry global group,,berry global group
maanshan iron & steel,,maanshan iron & steel
perkinelmer,,perkinelmer
navient,,navient
rtl group,,rtl group
kesko,,kesko
samsung securities,,samsung securities
quanta services,,quanta services
beijing capital development,,beijing capital development
far east horizon,,far east horizon
faurecia,,faurecia
indian railway finance,,indian railway finance
liberty broadband,,liberty broadband
xiamen international trade group,,xiamen international trade group
airbnb,,airbnb
china grand automotive services,,china grand automotive services
china eastern airlines,,china eastern airlines
adecco,,adecco
agnc investment,,agnc investment
westinghouse air brake technologies,,westinghouse air brake technologies
kawasaki kisen kaisha,,kawasaki kisen kaisha
empire,,empire
guangdong haid group,,guangdong haid group
shimano,,shimano
attijariwafa bank,,attijariwafa bank
chailease holding,,chailease holding
henry schein,,henry schein
epiroc,,epiroc
suntory beverage & food,,suntory beverage & food
mettler-toledo international,,mettler-toledo international
wendel,,wendel
osaka gas,,osaka gas
thor industries,,thor industries
williams-sonoma,,williams-sonoma
xiamen xiangyu,,xiamen xiangyu
rivian,,rivian
kion group,,kion group
sino-ocean group holding,,sino-ocean group holding
olin,,olin
kimco realty,,kimco realty
bank of chongqing,,bank of chongqing
fortinet,,fortinet
church & dwight,,church & dwight
wistron,,wistron
servicenow,,servicenow
align technology,,align technology
mohawk industries,,mohawk industries
ss&c technologies,,ss&c technologies
adani enterprises,,adani enterprises
advance auto parts,,advance auto parts
west japan railway,,west japan railway
franco-nevada,,franco-nevada
unicharm,,unicharm
xp,,xp
duke realty,,duke realty
valeo,,valeo
avic capita,,avic capita
ahli united bank,,ahli united bank
ugi,,ugi
teradyne,,teradyne
avery dennison,,avery dennison
sgs,,sgs
covivio,,covivio
first citizens bank (nc),,first citizens bank (nc)
ningxia baofeng energy group,,ningxia baofeng energy group
metalurgica gerdau,,metalurgica gerdau
charoen pokphand foods,,charoen pokphand foods
indusind bank,,indusind bank
orient securities,,orient securities
brookfield renewable,,brookfield renewable
verisk analytics,,verisk analytics
ventas,,ventas
cooper companies,,cooper companies
erdemir,,erdemir
gartner,,gartner
slm,,slm
atmos energy,,atmos energy
bci-banco credito,,bci-banco credito
lotte shopping,,lotte shopping
china cssc holdings,,china cssc holdings
synovus,,synovus
iida group holdings,,iida group holdings
thai beverage,,thai beverage
equifax,,equifax
kingspan group plc,,kingspan group plc
newcrest mining,,newcrest mining
kerry properties,,kerry properties
globe life,,globe life
bank of jinzhou,,bank of jinzhou
bank of east asia,,bank of east asia
marfrig global foods,,marfrig global foods
vipshop holdings,,vipshop holdings
acciona,,acciona
hilton,,hilton
sinotruk hong kong,,sinotruk hong kong
borgwarner,,borgwarner
nu holdings,,nu holdings
adient,,adient
unibail-rodamco,,unibail-rodamco
zebra technologies,,zebra technologies
verisign,,verisign
kakaobank,,kakaobank
hyundai glovis,,hyundai glovis
a2a,,a2a
jm smucker,,jm smucker
incyte,,incyte
geberit,,geberit
zhongyuan bank,,zhongyuan bank
performance food group,,performance food group
advanced info service,,advanced info service
martin marietta materials,,martin marietta materials
boston properties,,boston properties
kghm polska miedz,,kghm polska miedz
agility,,agility
fukuoka financial group,,fukuoka financial group
wharf (holdings),,wharf (holdings)
amerco,,amerco
gecina,,gecina
mondi,,mondi
halyk bank,,halyk bank
bank of india,,bank of india
rhb bank,,rhb bank
commercial bank of qatar,,commercial bank of qatar 
virgin money uk,,virgin money uk
las vegas sands,,las vegas sands
us foods,,us foods
fleetcor technologies,,fleetcor technologies 
nitori holdings,,nitori holdings
sonova holding,,sonova holding
keppel,,keppel
crown holdings,,crown holdings
rexel,,rexel
alliant energy,,alliant energy
sinopac financial,,sinopac financial
b3,,b3
shiseido,,shiseido
china nuclear engineering corporation,,china nuclear engineering corporation
ingersoll rand,,ingersoll rand
mebuki financial group,,mebuki financial group
concordia financial group,,concordia financial group
weg,,weg
wheaton precious metals,,wheaton precious metals
aroundtown,,aroundtown 
medipal holdings,,medipal holdings
phosagro,,phosagro
huafa industrial,,huafa industrial
tongkun group,,tongkun group
scentre group,,scentre group
nippon express holdings,,nippon express holdings
taisei,,taisei
kumho petrochemical,,kumho petrochemical
globalfoundries,,globalfoundries
atlassian,,atlassian
all nippon airways,,all nippon airways
chiba bank,,chiba bank
vietin bank,,vietin bank
eqt,,eqt
west pharmaceutical services,,west pharmaceutical services
china everbright international,,china everbright international
hoa phat group,,hoa phat group
nine dragons paper holdings,,nine dragons paper holdings
adani ports & special economic zone,,adani ports & special economic zone
bank of guizhou,,bank of guizhou
new residential investment,,new residential investment
kingdom holding,,kingdom holding
adani green energy,,adani green energy
fortive,,fortive
rocket companies,,rocket companies
banca mps,,banca mps
knorr-bremse,,knorr-bremse
hna technology,,hna technology
oriental land,,oriental land
news corp,,news corp
china resources gas group,,china resources gas group
momentum metropolitan holdings,,momentum metropolitan holdings
royalty pharma,,royalty pharma
avantor,,avantor
onemain holdings,,onemain holdings
vulcan materials,,vulcan materials
hokuhoku financial group,,hokuhoku financial group
kiwoom securities,,kiwoom securities
palo alto networks,,palo alto networks
chugoku electric power,,chugoku electric power
dxc technology,,dxc technology
metro group,,metro group
shionogi,,shionogi
snowflake,,snowflake
owens corning,,owens corning
harel insurance investments & financial services,,harel insurance investments & financial services
inner mongolia yitai coal,,inner mongolia yitai coal
nh investment & securities,,nh investment & securities
quilter,,quilter
hf sinclair,,hf sinclair
korea shipbuilding & offshore engineering,,korea shipbuilding & offshore engineering
samsung electro-mechanics,,samsung electro-mechanics
invitation homes,,invitation homes
zto express (cayman),,zto express (cayman)
tingyi holding,,tingyi holding
workday,,workday
shizuoka bank,,shizuoka bank
check point software,,check point software
commercial bank for investment & development of vietnam,,commercial bank for investment & development of vietnam
qorvo,,qorvo
kaspi.kz jsc,,kaspi.kz jsc
stifel financial,,stifel financial
ypf,,ypf 
bank albilad,,bank albilad
evolution gaming group ab,,evolution gaming group ab
"lg innotek co.,",,"lg innotek co.,"
nisource,,nisource
ab sagax,,ab sagax
sdic capital,,sdic capital
hachijuni bank,,hachijuni bank
"sumitomo forestry co.,",,"sumitomo forestry co.,"
kyushu financial group,,kyushu financial group
trip.com group,,trip.com group
china northern rare earth high-tech,,china northern rare earth high-tech
snap,,snap
k+s,,k+s
bank of tianjin,,bank of tianjin
investec,,investec
nishi-nippon financial holdings,,nishi-nippon financial holdings
commercial international bank,,commercial international bank
nortonlifelock,,nortonlifelock
crowdstrike,,crowdstrike
japan securities,,japan securities
clal insurance enterprises,,clal insurance enterprises 
xinyu iron & steel,,xinyu iron & steel
interactive brokers group,,interactive brokers group
sino biopharmaceutical,,sino biopharmaceutical
lg household & health care,,lg household & health care
dai nippon printing,,dai nippon printing
north pacific bank,,north pacific bank
aena,,aena
nitto denko,,nitto denko
world fuel services,,world fuel services
akelius residential property,,akelius residential property
hong leong financial,,hong leong financial
bank of kyoto,,bank of kyoto
meritz securities,,meritz securities
shinsei bank,,shinsei bank
china development bank financial leasing,,china development bank financial leasing
bok financial,,bok financial
yamaguchi financial,,yamaguchi financial
china communications services,,china communications services
ganfeng lithium,,ganfeng lithium
usiminas,,usiminas
banco comercial portugues,,banco comercial portugues
new york community bancorp,,new york community bancorp
castellum,,castellum
