,categories,ceo,code,country,employees,founded,gbp,headquarters,headquarters_continent,headquarters_country,id,industry,link,market_cap,market_capitalization_usd,market_value_apr_2022,marketcap,mastercap,name,net_income,official_name,rank,revenue,sector,stock
categories,0.0,0.14285714285714285,0.14285714285714285,0.125,0.14285714285714285,0.1111111111111111,0.1111111111111111,0.125,0.0625,0.0625,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.05,0.058823529411764705,0.1111111111111111,0.14285714285714285,0.125,0.1111111111111111,0.08333333333333333,0.1111111111111111,0.125,0.125,0.125
ceo,0.14285714285714285,0.0,0.3333333333333333,0.16666666666666666,0.125,0.16666666666666666,0.3333333333333333,0.09090909090909091,0.05,0.05555555555555555,0.3333333333333333,0.125,0.25,0.1111111111111111,0.043478260869565216,0.05,0.125,0.125,0.25,0.125,0.08333333333333333,0.25,0.16666666666666666,0.25,0.25
code,0.14285714285714285,0.3333333333333333,0.0,0.2,0.14285714285714285,0.25,0.25,0.1,0.05263157894736842,0.05555555555555555,0.3333333333333333,0.14285714285714285,0.25,0.1111111111111111,0.043478260869565216,0.05,0.125,0.125,0.3333333333333333,0.14285714285714285,0.09090909090909091,0.25,0.16666666666666666,0.2,0.25
country,0.125,0.16666666666666666,0.2,0.0,0.1111111111111111,0.25,0.14285714285714285,0.1111111111111111,0.05263157894736842,0.07692307692307693,0.14285714285714285,0.25,0.16666666666666666,0.1111111111111111,0.043478260869565216,0.05263157894736842,0.125,0.125,0.16666666666666666,0.1111111111111111,0.09090909090909091,0.16666666666666666,0.14285714285714285,0.16666666666666666,0.14285714285714285
employees,0.14285714285714285,0.125,0.14285714285714285,0.1111111111111111,0.0,0.125,0.125,0.1111111111111111,0.05263157894736842,0.058823529411764705,0.1111111111111111,0.1111111111111111,0.125,0.1,0.05,0.05263157894736842,0.1111111111111111,0.1111111111111111,0.125,0.1111111111111111,0.08333333333333333,0.1111111111111111,0.125,0.125,0.125
founded,0.1111111111111111,0.16666666666666666,0.25,0.25,0.125,0.0,0.14285714285714285,0.1,0.05263157894736842,0.058823529411764705,0.16666666666666666,0.14285714285714285,0.16666666666666666,0.1,0.043478260869565216,0.05,0.1111111111111111,0.1111111111111111,0.16666666666666666,0.1111111111111111,0.09090909090909091,0.16666666666666666,0.16666666666666666,0.14285714285714285,0.14285714285714285
gbp,0.1111111111111111,0.3333333333333333,0.25,0.14285714285714285,0.125,0.14285714285714285,0.0,0.08333333333333333,0.045454545454545456,0.05,0.3333333333333333,0.125,0.25,0.1111111111111111,0.041666666666666664,0.05,0.125,0.125,0.25,0.1,0.07692307692307693,0.25,0.14285714285714285,0.16666666666666666,0.2
headquarters,0.125,0.09090909090909091,0.1,0.1111111111111111,0.1111111111111111,0.1,0.08333333333333333,0.0,0.1,0.125,0.09090909090909091,0.125,0.08333333333333333,0.09090909090909091,0.05,0.058823529411764705,0.1,0.1,0.1,0.1,0.08333333333333333,0.09090909090909091,0.1111111111111111,0.1111111111111111,0.09090909090909091
headquarters_continent,0.0625,0.05,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.045454545454545456,0.1,0.0,0.16666666666666666,0.047619047619047616,0.05555555555555555,0.05,0.058823529411764705,0.045454545454545456,0.047619047619047616,0.05555555555555555,0.058823529411764705,0.05,0.058823529411764705,0.05555555555555555,0.05,0.05555555555555555,0.05263157894736842,0.05
headquarters_country,0.0625,0.05555555555555555,0.05555555555555555,0.07692307692307693,0.058823529411764705,0.058823529411764705,0.05,0.125,0.16666666666666666,0.0,0.05263157894736842,0.07142857142857142,0.05263157894736842,0.06666666666666667,0.045454545454545456,0.05,0.0625,0.06666666666666667,0.05555555555555555,0.0625,0.058823529411764705,0.05555555555555555,0.058823529411764705,0.0625,0.05555555555555555
id,0.1111111111111111,0.3333333333333333,0.3333333333333333,0.14285714285714285,0.1111111111111111,0.16666666666666666,0.3333333333333333,0.09090909090909091,0.047619047619047616,0.05263157894736842,0.0,0.16666666666666666,0.3333333333333333,0.1,0.043478260869565216,0.047619047619047616,0.1111111111111111,0.1111111111111111,0.25,0.1111111111111111,0.08333333333333333,0.25,0.14285714285714285,0.16666666666666666,0.2
industry,0.1111111111111111,0.125,0.14285714285714285,0.25,0.1111111111111111,0.14285714285714285,0.125,0.125,0.05555555555555555,0.07142857142857142,0.16666666666666666,0.0,0.14285714285714285,0.1111111111111111,0.043478260869565216,0.05263157894736842,0.125,0.125,0.14285714285714285,0.1,0.08333333333333333,0.125,0.125,0.14285714285714285,0.14285714285714285
