09-wissel-company_status,10-DeBiGa-company_status
active,dissolved
registered,active
registered,active
active,active
active,dissolved
active,active
active,active
active,active
active,active
active,active
active,active
active,active
active,active
active,active
active,active
active,active
active,active
active,active
active,active
active,active
active,dissolved
active,active
active,active
active,active
active,active
active,active
active,active
active,active
active,active
active,active
active,active
active,active
active,dissolved
active,active
active,active
active,active
active,active
active,dissolved
liquidation,dissolved
active,active
active,active
dissolved,active
active,active
active,dissolved
active,active
active,active
active,active
active,dissolved
active,dissolved
active,dissolved
liquidation,active
active,active
active,active
active,active
active,active
active,dissolved
active,active
active,active
dissolved,dissolved
active,active
active,active
active,active
active,active
dissolved,active
active,active
active,active
liquidation,active
dissolved,active
active,dissolved
active,active
active,active
active,active
active,active
active,active
active,active
active,active
active,active
active,active
active,active
liquidation,active
dissolved,dissolved
active,active
active,active
active,active
active,active
active,active
active,active
active,dissolved
active,active
active,active
active,active
active,active
active,dissolved
active,active
active,active
active,active
active,active
active,active
active,active
dissolved,active
active,active
liquidation,active
active,active
active,active
active,active
active,active
active,active
active,active
active,active
active,active
active,active
active,active
active,active
active,active
active,active
dissolved,active
active,active
active,active
active,liquidation
liquidation,active
active,active
active,active
dissolved,active
active,active
active,active
active,active
active,active
active,active
active,active
active,active
active,active
active,active
active,active
active,active
active,active
active,dissolved
active,active
active,active
active,active
active,active
active,dissolved
active,active
active,active
active,active
active,active
active,active
active,active
active,active
active,active
active,active
active,active
active,dissolved
active,dissolved
active,active
dissolved,active
active,active
active,active
active,active
active,active
active,active
active,active
active,active
active,active
active,active
active,active
active,active
active,active
active,active
active,active
dissolved,dissolved
active,active
active,dissolved
active,active
active,dissolved
active,active
active,active
active,active
active,active
active,active
active,active
active,dissolved
active,active
active,dissolved
active,active
active,dissolved
active,active
active,active
active,active
active,dissolved
active,active
active,active
active,active
active,active
active,active
active,active
active,active
active,active
active,active
active,active
active,active
dissolved,active
active,active
active,active
active,active
active,active
active,active
dissolved,active
active,active
active,active
active,active
active,active
active,active
active,dissolved
active,active
active,active
dissolved,active
active,active
active,active
active,dissolved
active,active
active,active
active,active
liquidation,active
active,active
active,active
dissolved,active
active,active
active,dissolved
active,active
active,active
active,active
active,active
active,active
active,active
active,dissolved
active,active
active,active
active,dissolved
active,active
active,active
active,active
active,active
active,active
active,active
active,active
active,active
active,active
active,active
active,active
active,active
liquidation,active
dissolved,active
active,active
active,dissolved
active,active
dissolved,active
active,active
active,active
active,liquidation
active,active
active,active
active,active
active,active
active,active
active,active
active,active
active,active
active,active
active,active
active,active
active,active
dissolved,active
active,active
active,active
active,active
active,active
active,active
liquidation,dissolved
active,active
active,active
active,active
active,active
active,active
active,active
active,active
active,active
active,active
active,active
active,active
active,active
active,dissolved
active,active
active,active
active,active
active,active
active,liquidation
active,dissolved
active,active
active,active
active,active
active,active
active,active
active,active
active,active
active,active
active,active
active,dissolved
active,active
liquidation,active
active,dissolved
active,dissolved
active,active
active,active
active,active
dissolved,active
active,active
active,active
active,active
active,active
active,active
active,active
active,active
active,active
active,active
active,active
active,active
active,active
active,active
active,active
liquidation,active
active,active
active,active
active,active
active,active
dissolved,dissolved
active,active
active,active
active,active
active,active
active,active
active,liquidation
active,active
dissolved,active
active,active
active,active
active,active
active,active
active,active
active,active
active,active
active,active
active,active
active,active
active,active
active,dissolved
active,active
active,active
active,active
active,active
active,active
active,dissolved
active,dissolved
active,active
active,liquidation
active,active
active,active
active,active
active,active
active,active
active,active
active,active
active,active
active,active
active,active
active,active
active,active
active,active
active,dissolved
active,active
active,active
active,active
active,active
active,active
active,dissolved
dissolved,active
