,index,address,est_of_ownership,hhid,industry,name,country,sic_code,type
40,40,"via molino rosso 8, imola, 40026, bologna, italy",2001,h-it0074565141,"transportation, communications, electric, gas, and sanitary services",hera trading srl,italy,natural gas distribution (4924),corporation
41,41,"piazza fidia 1, milano, 20159, milano, italy",2009,h-it0037371592,"finance, insurance, and real estate",alleanza assicurazioni spa,italy,insurance carrier (6399),corporation
42,42,"via san primo 4, milano, 20121, milano, italy",2018,h-it0062549707,"finance, insurance, and real estate",marco polo international italy srl,italy,holding company (6719),corporation
43,43,"via genova 1, trieste, 34121, trieste, italy",1959,h-it0009238654,manufacturing,fincantieri spa,italy,shipbuilding/repairing (3731),corporation
44,44,"via campalto 3/d, san martino buon albergo, 37036, verona, italy",1994,h-it0075267381,"finance, insurance, and real estate",eurospin italia spa,italy,holding company (6719),corporation
45,45,"via carlo felice 35, sassari, 07100, sassari, italy",1999,h-it0072864532,"transportation, communications, electric, gas, and sanitary services",e-distribuzione spa,italy,electric services (4911),corporation
46,46,"via martiri di cefalonia 67, san donato milanese, 20097, milano, italy",1969,h-it0012466115,construction,saipem spa,italy,building equipment installation (1796),corporation
47,47,"viale regina margherita 125, roma, 00198, roma, italy",1962,h-it0012768553,"transportation, communications, electric, gas, and sanitary services",enel produzione spa,italy,electric services (4911),corporation
48,48,"via don lorenzo perosi 6, scandicci, 50018, firenze, italy",1939,h-it0049515195,manufacturing,guccio gucci spa,italy,mfg luggage (3161),corporation
49,49,"viale piero e alberto pirelli 25, milano, 20126, milano, italy",1883,h-it0049412493,"finance, insurance, and real estate",pirelli & c. spa,italy,holding company (6719),corporation
50,50,"piazza tre torri 3, milano, 20145, milano, italy",1995,h-it0018259456,"finance, insurance, and real estate",unicredit allianz vita spa,italy,life insurance carrier (6311),corporation
51,51,"via guidubaldo del monte 45, roma, 00197, roma, italy",1999,h-it0067043127,"transportation, communications, electric, gas, and sanitary services",acquirente unico spa,italy,electric services (4911),corporation
52,52,"viale gerard richard gumpert 1, verona, 37137, verona, italy",1984,h-it0010567739,retail trade,volkswagen group italia spa,italy,ret new/used automobiles (5511),corporation
53,53,"piazza marcello boldrini 1, san donato milanese, 20097, milano, italy",1989,h-it0064072819,manufacturing,versalis spa,italy,mfg chemical preparations (2899),corporation
54,54,"via dei sette santi 3, firenze, 50131, firenze, italy",1886,h-it0022029265,manufacturing,a. menarini industrie farmaceutiche riunite srl,italy,mfg pharmaceutical preparations (2834),corporation
55,55,"via mantova 166, parma, 43122, parma, italy",1978,h-it0029320852,"finance, insurance, and real estate",barilla holding srl,italy,holding company (6719),corporation
56,56,"via mantova 166, parma, 43122, parma, italy",1984,h-it0064643417,"finance, insurance, and real estate",guido m. barilla e f.lli sapa,italy,holding company (6719),corporation
57,57,"via modena 53, castelvetro di modena, 41014, modena, italy",1966,h-it0013386905,"finance, insurance, and real estate",cremonini spa,italy,holding company (6719),corporation
58,58,"via modena 53, castelvetro di modena, 41014, modena, italy",1985,h-it0075279762,"finance, insurance, and real estate",cremofin srl,italy,holding company (6719),corporation
59,59,"viale avvocato giovanni agnelli 10, atessa, 66041, chieti, italy",1978,h-it0011629053,manufacturing,societa' europea veicoli leggeri sevel spa,italy,mfg motor vehicle/car bodies (3711),corporation
60,60,"via abetone inferiore 2, maranello, 41053, modena, italy",1947,h-it0010782370,manufacturing,ferrari - societa'per azioni esercizio fabbriche automobili e corse,italy,mfg motor vehicle/car bodies (3711),corporation
61,61,"strada dell'universita' 1, parma, 43121, parma, italy",1988,h-it0069830649,"finance, insurance, and real estate",credit agricole vita spa,italy,life insurance carrier (6311),corporation
62,62,"contrada marcellino c.p. 88 snc, augusta, 96011, siracusa, italy",2018,h-it0062076590,manufacturing,sonatrach raffineria italiana srl,italy,petroleum refiner (2911),corporation
63,63,"via villanova 29/7, castenaso, 40055, bologna, italy",1923,h-it0048664421,retail trade,coop alleanza 3.0 soc coop,italy,ret groceries (5411),corporation
64,64,"via dei laghi 31/33, civitella in val di chiana, 52041, arezzo, italy",1974,h-it0010938249,manufacturing,chimet spa,italy,primary nonferrous metal producer (3339),corporation
65,65,"viale certosa 249, milano, 20151, milano, italy",2012,h-it0007097441,"finance, insurance, and real estate",riva forni elettrici spa,italy,holding company (6719),corporation
66,66,"via felice matteucci 2, firenze, 50127, firenze, italy",1954,h-it0008020531,"finance, insurance, and real estate",nuovo pignone holding spa,italy,holding company (6719),corporation
67,67,"via di porta pinciana 4, roma, 00187, roma, italy",1999,h-it0071035370,"finance, insurance, and real estate",zeor finanziaria spa,italy,holding company (6719),corporation
68,68,"via alberto bergamini 50, roma, 00159, roma, italy",1950,h-it0072798300,"transportation, communications, electric, gas, and sanitary services",autostrade per l'italia spa,italy,transportation services (4789),corporation
69,69,"piazza della croce rossa 1, roma, 00161, roma, italy",1905,h-it0008914621,"transportation, communications, electric, gas, and sanitary services",trenitalia spa,italy,railroad line-haul operator (4011),corporation
70,70,"via ennio quirino visconti 80, roma, 00193, roma, italy",1980,h-it0003516644,"finance, insurance, and real estate",fideuram vita spa,italy,life insurance carrier (6311),corporation
71,71,"via bresciani 16, gazoldo degli ippoliti, 46040, mantova, italy",2015,h-it0046685529,manufacturing,marcegaglia holding srl,italy,mfg steel pipe/tubes (3317),corporation
72,72,"via guglielmo jervis 13, ivrea, 10015, torino, italy",2002,h-it0065547691,"transportation, communications, electric, gas, and sanitary services",vodafone italia spa,italy,telephone communications (4813),corporation
73,73,"foro buonaparte 31, milano, 20121, milano, italy",1986,h-it0073491527,"transportation, communications, electric, gas, and sanitary services",edison energia spa,italy,electric services (4911),corporation
74,74,"localita' san zeno zona industriale strada a 32, arezzo, 52100, arezzo, italy",1984,h-it0034827331,manufacturing,italpreziosi spa,italy,primary nonferrous metal producer (3339),corporation
75,75,"piazza luigi amedeo duca degli abruzzi 2, trieste, 34132, trieste, italy",1831,h-it0009234624,"finance, insurance, and real estate",assicurazioni generali spa,italy,life insurance carrier (6311),corporation
76,76,"via plava 80, torino, 10135, torino, italy",1969,h-it0009740473,retail trade,groupe psa italia spa,italy,ret new/used automobiles (5511),corporation
77,77,"via pietro paleocapa 3, milano, 20121, milano, italy",1978,h-it0009613331,"finance, insurance, and real estate",finanziaria d'investimento fininvest spa,italy,misc business credit institutions (6159),corporation
78,78,"via goito 4, roma, 00185, roma, italy",1946,h-it0067760325,"finance, insurance, and real estate",cassa depositi e prestiti spa,italy,national commercial bank (6021),corporation
79,79,"strada statale per novi ligure 3/13, tortona, 15057, alessandria, italy",1983,h-it0038913984,"finance, insurance, and real estate",aurelia srl,italy,holding company (6719),corporation
80,80,"via valpantena 18/g, verona, 37142, verona, italy",1967,h-it0008022720,wholesale trade,a.i.a. agricola italiana alimentare spa,italy,whol meats/products (5147),corporation
81,81,"piazza nogara 2, verona, 37121, verona, italy",2016,h-it0053576578,"finance, insurance, and real estate",banco bpm spa,italy,national commercial bank (6021),corporation
82,82,"piazzale ostiense 2, roma, 00154, roma, italy",1908,h-it0025525573,"transportation, communications, electric, gas, and sanitary services",acea spa,italy,electric services (4911),corporation
83,83,"via giovanni da verrazzano 15, novara, 28100, novara, italy",2012,h-it0005985013,"finance, insurance, and real estate",b&d holding spa,italy,holding company (6719),corporation
84,84,"via giovanni da verrazzano 15, novara, 28100, novara, italy",1901,h-it0049388177,"finance, insurance, and real estate",de agostini spa,italy,holding company (6719),corporation
85,85,"via caldera 21, milano, 20153, milano, italy",1965,h-it0074764403,retail trade,gs spa,italy,ret groceries (5411),corporation
86,86,"via angelo scarsellini 14, milano, 20161, milano, italy",1990,h-it0069629781,"finance, insurance, and real estate",cnp vita assicurazione spa,italy,life insurance carrier (6311),corporation
87,87,"via angelo scarsellini 14, milano, 20161, milano, italy",1988,h-it0061929387,"finance, insurance, and real estate",cnp vita assicura spa,italy,life insurance carrier (6311),corporation
88,88,"via del rame snc, perugia, 06134, perugia, italy",1972,h-it0023035021,wholesale trade,pac 2000 a soc coop,italy,whol groceries (5149),cooperative
89,89,"via antonio fogazzaro 28, milano, 20135, milano, italy",2014,h-it0044271190,"finance, insurance, and real estate",ludo spa,italy,holding company (6719),corporation
90,90,"via lungarno 1213-61, terranuova bracciolini, 52028, arezzo, italy",1990,h-it0026598132,retail trade,prada spa,italy,ret family clothing (5651),corporation
91,91,"viale certosa 239, milano, 20151, milano, italy",1995,h-it0061222844,manufacturing,acciaierie d'italia spa,italy,blast furnace-steel works (3312),corporation
92,92,"viale certosa 239, milano, 20151, milano, italy",2016,h-it0051081903,manufacturing,acciaierie d'italia holding spa,italy,blast furnace-steel works (3312),corporation
93,93,"via durini 1, milano, 20122, milano, italy",2012,h-it0007437188,"finance, insurance, and real estate",allianz global investors gmbh,italy,misc business credit institutions (6159),foreign company
94,94,"via angelo rizzoli 4, milano, 20132, milano, italy",2018,h-it0063085380,wholesale trade,sony europe b.v.,italy,whol non durable goods (5199),foreign company
95,95,"via alessandro algardi 4, milano, 20148, milano, italy",1999,h-it0008852677,"transportation, communications, electric, gas, and sanitary services",sorgenia spa,italy,electric services (4911),corporation
96,96,"via san protaso 5, milano, 20121, milano, italy",2014,h-it0042738679,"finance, insurance, and real estate",f2i er 1 spa,italy,holding company (6719),corporation
97,97,"corso re umberto 10, torino, 10121, torino, italy",1974,h-it0003008487,"finance, insurance, and real estate",fimedi spa,italy,holding company (6719),corporation
98,98,"via luigi buzzi 6, casale monferrato, 15033, alessandria, italy",1907,h-it0034644245,manufacturing,buzzi unicem spa,italy,mfg hydraulic cement (3241),corporation
99,99,"via marocchesa 14, mogliano veneto, 31021, treviso, italy",1999,h-it0071050442,"finance, insurance, and real estate",genertellife spa,italy,insurance carrier (6399),corporation
100,100,"via valadier 37, roma, 00193, roma, italy",2001,h-it0058278001,wholesale trade,logista italia spa,italy,whol tobacco products (5194),corporation
101,101,"viale piero e alberto pirelli 25, milano, 20126, milano, italy",1983,h-it0037438514,manufacturing,pirelli tyre spa,italy,mfg tires/inner tubes (3011),corporation
102,102,"via molino rosso 8, imola, 40026, bologna, italy",2001,h-it0074275860,"transportation, communications, electric, gas, and sanitary services",hera comm spa,italy,natural gas distribution (4924),corporation
103,103,"galleria san babila 4/a, milano, 20122, milano, italy",1946,h-it0072773472,retail trade,autogrill spa,italy,drinking place (5813),corporation
104,104,"piazza della croce rossa 1, roma, 00161, roma, italy",1992,h-it0059184531,"transportation, communications, electric, gas, and sanitary services",rete ferroviaria italiana spa,italy,local/suburban transportation (4111),corporation
105,105,"via del sole 34, andriano, 39010, bolzano, italy",2008,h-it0018329365,construction,swietelsky baugesellschaft m.b.h.,italy,trade contractor (1799),foreign company
106,106,"viale delle nazioni 55, modena, 41122, modena, italy",1973,h-it0009369996,manufacturing,cnh industrial italia spa,italy,mfg farm machinery/equipment (3523),corporation
107,107,"via dei santi giacomo e filippo 7, genova, 16122, genova, italy",2000,h-it0074908405,"transportation, communications, electric, gas, and sanitary services",iren mercato spa,italy,natural gas distribution (4924),corporation
108,108,"via armando diaz 248, san zeno naviglio, 25010, brescia, italy",1990,h-it0054109205,"finance, insurance, and real estate",duferco italia holding spa,italy,holding company (6719),corporation
109,109,"via del botteghino 24/26, scandicci, 50018, firenze, italy",1920,h-it0072354240,"transportation, communications, electric, gas, and sanitary services",trasporti internazionali agenzia marittima savino del bene spa,italy,transportation services (4789),corporation
110,110,"via piero maroncelli 10, forli', 47121, forli'-cesena, italy",1935,h-it0012529079,retail trade,unieuro spa,italy,ret misc general merchandise (5399),corporation
111,111,"via xii ottobre 1, genova, 16121, genova, italy",2000,h-it0061745170,"transportation, communications, electric, gas, and sanitary services",axpo italia spa,italy,electric services (4911),corporation
112,112,"via bigli 21, milano, 20121, milano, italy",1993,h-it0071805583,"finance, insurance, and real estate",sind international srl,italy,holding company (6719),corporation
113,113,"via nazionale 41, buttrio, 33042, udine, italy",1962,h-it0018276334,manufacturing,danieli & c. officine meccaniche spa,italy,mfg rolling mill machinery (3547),corporation
114,114,"zona a.s.i.capannone 18, gricignano di aversa, 81030, caserta, italy",2005,h-it0072485272,retail trade,md spa,italy,ret groceries (5411),corporation
115,115,"ex s.s. 114 km 146 snc, priolo gargallo, 96010, siracusa, italy",2008,h-it0002560844,manufacturing,isab srl,italy,petroleum refiner (2911),corporation
116,116,"corso regina margherita 165, torino, 10144, torino, italy",1928,h-it0021352054,"finance, insurance, and real estate",astm spa,italy,holding company (6719),corporation
117,117,"via amaseno 24, latina, 04100, latina, italy",1999,h-it0071980229,services,alessandro patane' srl,italy,computer related services (7379),corporation
118,118,"via puglia 15, torino, 10156, torino, italy",1974,h-it0002560879,manufacturing,fpt industrial spa,italy,mfg motor vehicle/car bodies (3711),corporation
119,119,"piazzale luigi cadorna 3, milano, 20123, milano, italy",1981,h-it0049397494,wholesale trade,luxottica group spa,italy,whol photo equipment/supplies (5043),corporation
120,120,"via lodovico seitz 47, treviso, 31100, treviso, italy",1992,h-it0075487071,"finance, insurance, and real estate",de' longhi spa,italy,holding company (6719),corporation
121,121,"via energy park 14, vimercate, 20871, monza e brianza, italy",2013,h-it0053437772,manufacturing,bridgestone europe nv sa,italy,mfg tires/inner tubes (3011),foreign company
122,122,"piazza iv novembre 5, milano, 20124, milano, italy",1995,h-it0073103470,services,gi group spa,italy,help supply services (7363),corporation
123,123,"via emilio cornalia 30, milano, 20124, milano, italy",1996,h-it0073419680,"finance, insurance, and real estate",cnp unicredit vita spa,italy,life insurance carrier (6311),corporation
124,124,"viale edoardo jenner 4, milano, 20159, milano, italy",1961,h-it0008538875,manufacturing,mapei spa,italy,mfg paints/allied products (2851),corporation
125,125,"via sassoferrato 1, milano, 20135, milano, italy",2007,h-it1046469591,"finance, insurance, and real estate",emme esse vi srl,italy,holding company (6719),corporation
126,126,"via torri bianche 6, vimercate, 20871, monza e brianza, italy",2002,h-it0072796405,services,nintendo of europe gmbh,italy,advertising agency (7311),foreign company
