,index,address,est_of_ownership,hhid,industry,name,country,sic_code,type
353,353,"galleria spagna 9, padova, 35127, padova, italy",1991,h-it0068290586,retail trade,gottardo spa,italy,ret misc merchandise (5999),corporation
354,354,"galleria spagna 9, padova, 35127, padova, italy",1987,h-it0040460681,"finance, insurance, and real estate",maior srl,italy,holding company (6719),corporation
355,355,"via rodolfo morandi 30, san donato milanese, 20097, milano, italy",1980,h-it0008911185,services,policlinico san donato spa,italy,general hospital (8062),corporation
356,356,"via alfred bernhard nobel 4/a, parma, 43122, parma, italy",1999,h-it0001756354,"finance, insurance, and real estate",vender spa,italy,holding company (6719),corporation
357,357,"via taranto 40, nola, 80035, napoli, italy",2011,h-it0017380286,wholesale trade,ludoil energia srl,italy,whol petroleum products (5172),corporation
358,358,"via istituto santa maria della pieta' 6, venezia, 30173, venezia, italy",1994,h-it0071274197,retail trade,in's mercato spa,italy,ret groceries (5411),corporation
359,359,"via adriano olivetti snc, termoli, 86039, campobasso, italy",2003,h-it0074055054,"transportation, communications, electric, gas, and sanitary services",sorgenia power spa,italy,electric services (4911),corporation
360,360,"viale luca gaurico 187, roma, 00143, roma, italy",1987,h-it0038498553,services,ald automotive italia srl,italy,passenger car rental (7514),corporation
361,361,"via moggia 75/a, lavagna, 16033, genova, italy",1986,h-it0069484236,"finance, insurance, and real estate",alliance healthcare italia spa,italy,holding company (6719),corporation
362,362,"via ugo panziera 16, prato, 59100, prato, italy",2007,h-it0002558351,"transportation, communications, electric, gas, and sanitary services",estra energie srl,italy,natural gas distribution (4924),corporation
363,363,"via gaetano negri 1, milano, 20123, milano, italy",2020,h-it0588755479,"transportation, communications, electric, gas, and sanitary services",fibercop spa,italy,telephone communications (4813),corporation
364,364,"via carlo goldoni 10, milano, 20129, milano, italy",1988,h-it0042004292,services,d & g srl,italy,business services (7389),corporation
365,365,"via carlo goldoni 10, milano, 20129, milano, italy",2007,h-it0014652935,"finance, insurance, and real estate",dolce & gabbana holding srl,italy,holding company (6719),corporation
366,366,"via milano 10, san donato milanese, 20097, milano, italy",2019,h-it0066891477,services,ccs jv scarl,italy,engineering services (8711),corporation
367,367,"via fiorenzo semini 12, genova, 16163, genova, italy",2019,h-it0289923537,wholesale trade,vandemoortele europe n.v.,italy,whol groceries (5149),foreign company
368,368,"via antonio pacinotti 25, san giovanni lupatoto, 37057, verona, italy",1962,h-it0015232751,manufacturing,pastificio rana spa,italy,mfg macaroni/spaghetti (2098),corporation
369,369,"via delle azalee 19, buccinasco, 20090, milano, italy",1966,h-it0010010882,manufacturing,c.o.i.m. spa - chimica organica industriale milanese,italy,mfg plastic materials/resins (2821),corporation
370,370,"via giulio vincenzo bona 65, roma, 00156, roma, italy",1950,h-it0009236252,construction,astaris spa,italy,heavy construction (1629),corporation
371,371,"stradone vigliena 39, napoli, 80146, napoli, italy",1999,h-it0074299816,"transportation, communications, electric, gas, and sanitary services",tirreno power spa,italy,electric services (4911),corporation
372,372,"via della chiocana 3, magione, 06063, perugia, italy",1994,h-it0072309458,retail trade,eurospin tirrenica spa,italy,ret groceries (5411),corporation
373,373,"viale amelia 70, roma, 00181, roma, italy",1980,h-it0011938420,manufacturing,angelini pharma italia aziende chimiche riunite angelini francesco a.c.r.a.f. spa,italy,mfg pharmaceutical preparations (2834),corporation
374,374,"via aristide nonis 68/a, marostica, 36063, vicenza, italy",2006,h-it0007956770,"transportation, communications, electric, gas, and sanitary services",electrade spa,italy,electric services (4911),corporation
375,375,"via dell'innovazione 1, camisano vicentino, 36043, vicenza, italy",1991,h-it0075736667,manufacturing,cereal docks spa,italy,mfg edible fats/oils (2079),corporation
376,376,"via di macchia palocco 223, roma, 00125, roma, italy",1933,h-it0073451940,"transportation, communications, electric, gas, and sanitary services",telecom italia sparkle spa,italy,telephone communications (4813),corporation
377,377,"viale fulvio testi 280, milano, 20126, milano, italy",1986,h-it0037639927,"finance, insurance, and real estate",agos-ducato spa,italy,misc business credit institutions (6159),corporation
378,378,"via marie curie 2, bolzano, 39100, bolzano, italy",2016,h-it0053646924,"finance, insurance, and real estate",fercam holding srl,italy,holding company (6719),corporation
379,379,"palazzo meucci via francesco sforza, basiglio, 20079, milano, italy",2003,h-it0074379046,"finance, insurance, and real estate",prexta spa in forma abbreviata prexta spa,italy,misc business credit institutions (6159),corporation
380,380,"viale aldo borletti 61/63, corbetta, 20011, milano, italy",1919,h-it0050813986,manufacturing,marelli europe spa,italy,mfg engine electrical equipment (3694),corporation
381,381,"piazza indro montanelli 30, sesto san giovanni, 20099, milano, italy",1998,h-it0009387420,manufacturing,coca-cola hbc italia srl,italy,mfg bottled/canned soft drinks (2086),corporation
382,382,"riviera maestri del lavoro 24, padova, 35127, padova, italy",1978,h-it0010621318,wholesale trade,sonepar italia spa,italy,whol furniture (5021),corporation
383,383,"via casilina 125, roma, 00176, roma, italy",1906,h-it0011101210,manufacturing,merck serono spa,italy,mfg pharmaceutical preparations (2834),corporation
384,384,"via degli aldobrandeschi 300, roma, 00163, roma, italy",2016,h-it0051529211,"finance, insurance, and real estate",lottomatica spa,italy,holding company (6719),corporation
385,385,"contrada milocca snc, assoro, 94010, enna, italy",1976,h-it0033650578,retail trade,fratelli arena srl,italy,ret groceries (5411),corporation
386,386,"via nerio nannetti 1, zola predosa, 40069, bologna, italy",2000,h-it0075554402,retail trade,yoox net-a-porter group spa,italy,ret mail-order house (5961),corporation
387,387,"via di casal boccone 188/190, roma, 00137, roma, italy",2005,h-it0007704623,services,almaviva - the italian innovation company spa,italy,custom computer programming (7371),corporation
388,388,"piazza dei santi apostoli 66, roma, 00187, roma, italy",1994,h-it0012248274,"finance, insurance, and real estate",almaviva technologies srl,italy,holding company (6719),corporation
389,389,"via santena 1, villastellone, 10029, torino, italy",1912,h-it0072557230,manufacturing,petronas lubricants italy spa,italy,petroleum refiner (2911),corporation
390,390,"viale certosa 239, milano, 20151, milano, italy",2018,h-it0061243132,"transportation, communications, electric, gas, and sanitary services",adi energia srl,italy,electric services (4911),corporation
391,391,"viale monte grappa 3/5, milano, 20124, milano, italy",2010,h-it0019964625,"transportation, communications, electric, gas, and sanitary services",amazon italia logistica srl,italy,transportation services (4789),corporation
392,392,"via emilia san pietro 4, reggio emilia, 42121, reggio emilia, italy",1973,h-it0068365128,"finance, insurance, and real estate",credito emiliano spa,italy,national commercial bank (6021),corporation
393,393,"piazza del calendario 3, milano, 20126, milano, italy",1917,h-it0009886419,"finance, insurance, and real estate",deutsche bank spa,italy,national commercial bank (6021),corporation
394,394,"via baiona 203, ravenna, 48123, ravenna, italy",2000,h-it0057316376,manufacturing,bunge italia spa,italy,mfg edible fats/oils (2079),corporation
395,395,"viale regina margherita 125, roma, 00198, roma, italy",2019,h-it0216488695,services,enel global services srl,italy,computer related services (7379),corporation
396,396,"via napoli 220, casandrino, 80025, napoli, italy",1989,h-it0069463166,"finance, insurance, and real estate",farvima holding srl,italy,misc business credit institutions (6159),corporation
397,397,"lungotorrente secca 3/a, genova, 16163, genova, italy",1986,h-it0061847526,wholesale trade,sogegross spa,italy,whol groceries (5149),corporation
398,398,"via giuseppe mazzini 36, valguarnera caropepe, 94019, enna, italy",2014,h-it0043684491,"finance, insurance, and real estate",gruppo arena spa,italy,holding company (6719),corporation
399,399,"via emilia 1, san donato milanese, 20097, milano, italy",2007,h-it0002561107,mining,eni angola spa,italy,crude petroleum/natural gas production (1311),corporation
400,400,"foro buonaparte 67, milano, 20121, milano, italy",1999,h-it0073073571,construction,ferrovial construcción s.a.,italy,highway/street construction (1611),foreign company
401,401,"via san polo 152, brescia, 25134, brescia, italy",1978,h-it0012802263,manufacturing,alfa acciai spa,italy,blast furnace-steel works (3312),corporation
402,402,"via assano 1791, cesena, 47521, forli'-cesena, italy",1919,h-it0012313475,wholesale trade,cambielli edilfriuli spa,italy,whol plumbing equipment/supplies (5074),corporation
403,403,"via sebastiano caboto 1, corsico, 20094, milano, italy",2012,h-it0018891764,services,comdata spa,italy,business services (7389),corporation
404,404,"viale thomas alva edison 110, sesto san giovanni, 20099, milano, italy",1993,h-it0039270270,"transportation, communications, electric, gas, and sanitary services",shell energy italia srl,italy,natural gas distribution (4924),corporation
405,405,"via san michele 36, scandicci, 50018, firenze, italy",1987,h-it0046709703,"finance, insurance, and real estate",fattoria san michele a torri srl,italy,real property lessor (6519),corporation
406,406,"localita' conti maltraverso 1, montebello vicentino, 36054, vicenza, italy",1968,h-it0009268642,manufacturing,bottega veneta srl,italy,mfg luggage (3161),corporation
407,407,"via einaudi 18/22, cermenate, 22072, como, italy",1951,h-it0008233624,manufacturing,bolton food spa,italy,mfg prepared meats (2013),corporation
408,408,"localita' merlaro 2, vestone, 25078, brescia, italy",1985,h-it0074963252,"finance, insurance, and real estate",silmar group spa,italy,misc business credit institutions (6159),corporation
409,409,"via giovanni ansaldo 7, forli', 47122, forli'-cesena, italy",2004,h-it0007919220,manufacturing,ferretti spa,italy,boat building/repairing (3732),corporation
410,410,"via alessandro manzoni 41, milano, 20121, milano, italy",2012,h-it0018463061,"finance, insurance, and real estate",ferretti international holding spa,italy,holding company (6719),corporation
411,411,"piazza caduti 6 luglio 1944 1, dalmine, 24044, bergamo, italy",1920,h-it0008507155,manufacturing,dalmine spa,italy,mfg steel pipe/tubes (3317),corporation
412,412,"piazza giuseppe garibaldi 16, sondrio, 23100, sondrio, italy",1871,h-it0049413783,"finance, insurance, and real estate",banca popolare di sondrio spa,italy,national commercial bank (6021),corporation
413,413,"via dell'industria 22, conselice, 48017, ravenna, italy",1992,h-it0070462135,manufacturing,general cavi spa,italy,mfg conductive wiring devices (3643),corporation
414,414,"viale lombardia 20, bollate, 20021, milano, italy",1971,h-it0003962121,manufacturing,solvay specialty polymers italy spa,italy,mfg industrial inorganic chemicals (2819),corporation
415,415,"via aldo moro 95, arco, 38062, trento, italy",2001,h-it0007815514,"finance, insurance, and real estate",arcese holding sapa di eleuterio arcese e c.,italy,holding company (6719),corporation
416,416,"strada di scorrimento 2, vado ligure, 17047, savona, italy",1998,h-it0001742299,manufacturing,infineum italia srl,italy,mfg chemical preparations (2899),corporation
417,417,"via leonardo da vinci 4, guastalla, 42016, reggio emilia, italy",1985,h-it0002513277,manufacturing,smeg spa,italy,mfg electric housewares/fans (3634),corporation
418,418,"viale enrico forlanini 23, milano, 20134, milano, italy",1957,h-it0032307985,manufacturing,sasol italy spa,italy,mfg industrial organic chemicals (2869),corporation
419,419,"via tortona 9, milano, 20144, milano, italy",2012,h-it0018764584,"finance, insurance, and real estate",nordea investment funds s.a.,italy,investment advisory service (6282),foreign company
420,420,"via del mulino 6, assago, 20057, milano, italy",1899,h-it0008587930,services,sanpellegrino spa,italy,misc personal services (7299),corporation
421,421,"via gaspare gozzi 1/a, milano, 20129, milano, italy",2005,h-it0002368692,wholesale trade,retitalia spa,italy,whol petroleum products (5172),corporation
422,422,"corso felice cavallotti 30, sanremo, 18038, imperia, italy",2004,h-it0007913850,"transportation, communications, electric, gas, and sanitary services",unoenergy spa,italy,natural gas distribution (4924),corporation
423,423,"via gaudenzio fantoli 15/2 15/8, milano, 20138, milano, italy",1986,h-it0054498589,"transportation, communications, electric, gas, and sanitary services",united parcel service italia srl,italy,courier service (4215),corporation
424,424,"via ottavio moreno 23, savigliano, 12038, cuneo, italy",1950,h-it0075690152,manufacturing,alstom ferroviaria spa,italy,mfg railroad equipment (3743),corporation
425,425,"corso felice cavallotti 30, sanremo, 18038, imperia, italy",2019,h-it0067882900,"finance, insurance, and real estate",elfin srl,italy,holding company (6719),corporation
426,426,"via caldera 21, milano, 20153, milano, italy",2015,h-it0046926836,"finance, insurance, and real estate",uno holding srl,italy,holding company (6719),corporation
427,427,"viale luigi borri 231, varese, 21100, varese, italy",1945,h-it0070586640,manufacturing,bticino spa,italy,mfg switchgear/switchboards (3613),corporation
428,428,"via chiese 6, milano, 20126, milano, italy",2007,h-it0002115379,manufacturing,prysmian powerlink srl,italy,mfg conductive wiring devices (3643),corporation
429,429,"foro buonaparte 10, milano, 20121, milano, italy",1951,h-it0009567917,"finance, insurance, and real estate",compass banca spa,italy,misc business credit institutions (6159),corporation
430,430,"via regona 3, pizzighettone, 26026, cremona, italy",1982,h-it0040846679,manufacturing,carlo colombo spa,italy,copper rolling/drawing (3351),corporation
431,431,"via colombara 113, venezia, 30176, venezia, italy",2017,h-it0058540547,"finance, insurance, and real estate",lb holding spa,italy,holding company (6719),corporation
432,432,"piazza giovine italia 3, milano, 20123, milano, italy",2009,h-it0023945680,"finance, insurance, and real estate",verofin srl,italy,misc business credit institutions (6159),corporation
433,433,"via colombara 113, venezia, 30176, venezia, italy",1997,h-it0073452858,services,umana spa,italy,help supply services (7363),corporation
434,434,"via orna 35, brendola, 36040, vicenza, italy",1999,h-it0070986819,"finance, insurance, and real estate",gruppo ltc spa,italy,holding company (6719),corporation
435,435,"via moggia 75/a, lavagna, 16033, genova, italy",1949,h-it0008848904,wholesale trade,alliance healthcare italia distribuzione spa,italy,whol drugs/sundries (5122),corporation
436,436,"via bolzano 63, appiano sulla strada del vino, 39057, bolzano, italy",2018,h-it0062581627,wholesale trade,montanwerke brixlegg aktiengesellschaft,italy,metals service center (5051),foreign company
437,437,"via salaria 1039, roma, 00138, roma, italy",1880,h-it0023002832,construction,societa' italiana per condotte d'acqua spa,italy,heavy construction (1629),corporation
438,438,"via invorio 24/a, torino, 10146, torino, italy",2005,h-it0007977557,construction,sacyr construccion s.a.,italy,highway/street construction (1611),foreign company
439,439,"via venezia 58, campo san martino, 35010, padova, italy",1963,h-it0009445447,manufacturing,arneg spa,italy,mfg refrigeration/heating equipment (3585),corporation
440,440,"via basento 19, san giuliano milanese, 20098, milano, italy",1993,h-it0070207895,services,general logistics systems italy spa,italy,business services (7389),corporation
441,441,"via angelo rizzoli 8, milano, 20132, milano, italy",1997,h-it0072908513,manufacturing,rizzoli corriere della sera mediagroup spa,italy,misc publishing (2741),corporation
442,442,"via xii ottobre 1, genova, 16121, genova, italy",2007,h-it0002492334,manufacturing,metinvest trametal spa,italy,blast furnace-steel works (3312),corporation
443,443,"galleria passarella 2, milano, 20122, milano, italy",1992,h-it0072362200,manufacturing,sarlux srl,italy,petroleum refiner (2911),corporation
444,444,"via antonio pacinotti 3, bolzano, 39100, bolzano, italy",2011,h-it0004673077,"finance, insurance, and real estate",seetech global industries spa,italy,holding company (6719),corporation
445,445,"via carlo amoretti 78, milano, 20157, milano, italy",2015,h-it0048467219,wholesale trade,henkel italia srl,italy,whol home furnishings (5023),corporation
446,446,"strada statale s.s. aurelia km. 237 snc, piombino, 57025, livorno, italy",1945,h-it0035238232,retail trade,unicoop tirreno soc coop,italy,ret groceries (5411),cooperative
447,447,"via massaua 6, milano, 20146, milano, italy",1992,h-it0008916993,"finance, insurance, and real estate",banco bpm vita spa,italy,life insurance carrier (6311),corporation
448,448,"via filippo della valle 1, sant'elpidio a mare, 63811, fermo, italy",1900,h-it0042141826,manufacturing,tod's spa,italy,mfg footwear-except rubber (3149),corporation
449,449,"via settecamini 116, sant'elpidio a mare, 63811, fermo, italy",2002,h-it0024746916,"finance, insurance, and real estate",di.vi. finanziaria di diego della valle & c. srl,italy,holding company (6719),corporation
450,450,"via del lavoro 45, solbiate arno, 21048, varese, italy",1979,h-it0067919634,retail trade,tigros spa,italy,ret groceries (5411),corporation
451,451,"via gardizza 9/b, conselice, 48017, ravenna, italy",1970,h-it0019525346,manufacturing,unigra' srl,italy,mfg edible fats/oils (2079),corporation
452,452,"mura di santa chiara 1, genova, 16128, genova, italy",1971,h-it0031275737,"finance, insurance, and real estate",amissima vita spa,italy,life insurance carrier (6311),corporation
453,453,"via antonio gramsci 731/733, sesto fiorentino, 50019, firenze, italy",1959,h-it0008953503,manufacturing,eli lilly italia spa,italy,mfg pharmaceutical preparations (2834),corporation
454,454,"corso inghilterra 3, torino, 10138, torino, italy",1995,h-it0072773529,"finance, insurance, and real estate",intesa sanpaolo assicura spa,italy,insurance carrier (6399),corporation
455,455,"via antonio salieri 36, oppeano, 37050, verona, italy",2000,h-it0075644894,manufacturing,ferriera valsider spa,italy,mfg cold-rolled steel shapes (3316),corporation
456,456,"via oderzo 68, prata di pordenone, 33080, pordenone, italy",1968,h-it0069538484,manufacturing,friul intagli industries spa,italy,mfg furniture/fixtures (2599),corporation
457,457,"via canareggio 1823/1, borgo veneto, 35046, padova, italy",1986,h-it0071269770,retail trade,costantin spa,italy,gasoline service station (5541),corporation
458,458,"via mensa 3, lugo, 48022, ravenna, italy",1981,h-it0034973583,manufacturing,eurovo srl,italy,mfg food preparations (2099),corporation
459,459,"via casilina sud snc km90,200, torrice, 03020, frosinone, italy",1968,h-it0012418706,manufacturing,prima sole components spa,italy,mfg plastic products (3089),corporation
460,460,"via della meccanica 16, pesaro, 61122, pesaro e urbino, italy",1968,h-it0011465840,manufacturing,biesse spa,italy,mfg metalworking machinery (3549),corporation
461,461,"via emilia 69/71/77, rimini, 47921, rimini, italy",1958,h-it0012085162,manufacturing,scm group spa,italy,mfg metalworking machinery (3549),corporation
462,462,"via massimo gorki 69, cinisello balsamo, 20092, milano, italy",2013,h-it0038266865,wholesale trade,agfa,italy,whol industrial equipment (5084),foreign company
463,463,"viale fratelli rosselli 46, pesaro, 61121, pesaro e urbino, italy",1992,h-it0070351872,"finance, insurance, and real estate",bi.fin. srl,italy,holding company (6719),corporation
464,464,"via carlo goldoni 10, milano, 20129, milano, italy",1988,h-it0051804646,manufacturing,dolce & gabbana srl,italy,mfg apparel/accessories (2389),corporation
465,465,"localita' linfano, arco, 38062, trento, italy",1988,h-it0049590383,manufacturing,dana italia srl,italy,mfg power transmission equipment (3568),corporation
466,466,"via emilia 2614, longiano, 47020, forli'-cesena, italy",1961,h-it0010756361,"finance, insurance, and real estate",f.lli martini & c. spa,italy,holding company (6719),corporation
467,467,"via francesco albani 65, milano, 20148, milano, italy",2001,h-it0055693393,manufacturing,dow italia divisione commerciale srl,italy,mfg chemical preparations (2899),corporation
468,468,"via dei ciclamini 4, modugno, 70026, bari, italy",1999,h-it0067796354,"finance, insurance, and real estate",magna powertrain italia srl,italy,holding company (6719),corporation
469,469,"via consolatico superiore 96/98, busseto, 43011, parma, italy",1962,h-it0010808701,construction,sicim spa,italy,operative builders (1531),corporation
470,470,"viale alessandro marchetti 105, roma, 00148, roma, italy",2000,h-it0075640449,retail trade,jaguar land rover italia spa,italy,ret new/used automobiles (5511),corporation
471,471,"via nelson mandela 4, vercelli, 13100, vercelli, italy",2016,h-it0050822500,"transportation, communications, electric, gas, and sanitary services",nova aeg spa,italy,electric services (4911),corporation
472,472,"viuzzo di porto 4/b, scandicci, 50018, firenze, italy",1974,h-it0009995455,"transportation, communications, electric, gas, and sanitary services",j.a.s. jet air service spa,italy,transportation services (4789),corporation
473,473,"via del teatro 5, trieste, 34121, trieste, italy",1997,h-it0004648218,"transportation, communications, electric, gas, and sanitary services",acegasapsamga spa,italy,water supply service (4941),corporation
474,474,"via anna maria mozzoni 12, milano, 20152, milano, italy",1987,h-it0047975709,construction,siram spa,italy,plumbing/heating/air conditioning contrac (1711),corporation
475,475,"via san bovio 3, segrate, 20054, milano, italy",2005,h-it0073894281,manufacturing,lenovo italy srl,italy,mfg electronic computers (3571),corporation
476,476,"via consortile, avellino, 83100, avellino, italy",2015,h-it0045887942,services,urbaser s.a.,italy,business services (7389),foreign company
477,477,"via lorenteggio 240, milano, 20147, milano, italy",2004,h-it0007698003,wholesale trade,huawei technologies italia srl,italy,whol electronic parts/equipment (5065),corporation
478,478,"piazza poli 37/42, roma, 00187, roma, italy",1977,h-it0072934069,"finance, insurance, and real estate",sace spa,italy,insurance carrier (6399),corporation
479,479,"via antonio cavalieri ducati 3, bologna, 40132, bologna, italy",1926,h-it0002492660,manufacturing,ducati motor holding spa,italy,mfg motorcycles/bicycles (3751),corporation
480,480,"via enrico cialdini 16, milano, 20161, milano, italy",2013,h-it0040267229,services,equensworldline se,italy,data processing/preparation (7374),foreign company
481,481,"piazza delle donne lavoratrici 2, trento, 38121, trento, italy",1821,h-it0052080684,"finance, insurance, and real estate",itas istituto trentino alto adige per assicurazioni societa' mutua di assicurazioni,italy,insurance carrier (6399),cooperative
482,482,"largo augusto 8, milano, 20122, milano, italy",1991,h-it0070531358,"finance, insurance, and real estate",lvmh italia spa,italy,holding company (6719),corporation
483,483,"via napoli 220, casandrino, 80025, napoli, italy",1963,h-it0012414328,wholesale trade,farvima medicinali spa,italy,whol drugs/sundries (5122),corporation
484,484,"strada serravalle 65, novi ligure, 15067, alessandria, italy",2000,h-it0052087123,manufacturing,smurfit kappa italia spa,italy,mfg corrugated/solid fiber boxes (2653),corporation
485,485,"piazza san fedele 2, milano, 20121, milano, italy",2018,h-it0064239411,"finance, insurance, and real estate",blackrock (netherlands) bv,italy,misc business credit institutions (6159),foreign company
486,486,"via circonvallazione est 1, stezzano, 24040, bergamo, italy",1960,h-it0009032622,manufacturing,schneider electric spa,italy,mfg switchgear/switchboards (3613),corporation
487,487,"via giovanni spadolini 5, milano, 20141, milano, italy",1989,h-it0075083647,services,omnicom media group srl,italy,advertising agency (7311),corporation
488,488,"corso europa 2, boltiere, 24040, bergamo, italy",1982,h-it0020242972,wholesale trade,volvo group italia spa,italy,whol autos/motor vehicles (5012),corporation
489,489,"via vitorchiano 151, roma, 00189, roma, italy",1956,h-it0008053081,manufacturing,msd italia srl,italy,mfg medicinal/botanical products (2833),corporation
490,490,"via artigiani 2, maclodio, 25030, brescia, italy",1981,h-it0049311190,manufacturing,gnutti carlo spa,italy,mfg power transmission equipment (3568),corporation
491,491,"via francesco primaticcio 155, milano, 20147, milano, italy",1936,h-it0008021260,retail trade,l'oreal italia spa,italy,ret misc merchandise (5999),corporation
492,492,"passeggio sant'andrea 4, trieste, 34123, trieste, italy",1936,h-it0008021686,"transportation, communications, electric, gas, and sanitary services",italia marittima spa,italy,water freight transportation (4449),corporation
493,493,"via granarolo 175/3, faenza, 48018, ravenna, italy",2000,h-it0072415665,"transportation, communications, electric, gas, and sanitary services",c.u.ra. consorzio utilities ravenna soc cons arl,italy,electric services (4911),corporation
494,494,"via bartolomeo zucchi 1, monza, 20900, monza e brianza, italy",1985,h-it0072998423,construction,progefin spa,italy,operative builders (1531),corporation
495,495,"viale dell'agricoltura 7, verona, 37135, verona, italy",1932,h-it0009237461,wholesale trade,glaxosmithkline spa,italy,whol drugs/sundries (5122),corporation
496,496,"via padana superiore 19, vimodrone, 20055, milano, italy",1990,h-it0074717448,wholesale trade,compagnia generale trattori spa,italy,whol construction/mining equipment (5082),corporation
497,497,"via messina 38, milano, 20154, milano, italy",2010,h-it0038148110,wholesale trade,stabilo international gmbh,italy,whol stationery/office supplies (5112),foreign company
498,498,"viale aristide merloni 45, fabriano, 60044, ancona, italy",2020,h-it0366850320,manufacturing,ariston spa,italy,mfg electrical equipment/supplies (3699),corporation
499,499,"viale lombardia 29, viadana, 46019, mantova, italy",2002,h-it0020622082,"finance, insurance, and real estate",saviola holding srl,italy,holding company (6719),corporation
500,500,"via federico confalonieri 4, milano, 20124, milano, italy",2002,h-it0007745206,"transportation, communications, electric, gas, and sanitary services",google italy srl,italy,telephone communications (4813),corporation
501,501,"via filippo da desio 60, desio, 20832, monza e brianza, italy",1957,h-it0010133712,wholesale trade,sacchi giuseppe spa,italy,whol furniture (5021),corporation
502,502,"via enrico fermi 51, scanzorosciate, 24020, bergamo, italy",1962,h-it0002558041,manufacturing,polynt spa,italy,mfg chemical preparations (2899),corporation
503,503,"viale parco dell'industria 5, corciano, 06073, perugia, italy",1991,h-it0035217197,manufacturing,brunello cucinelli spa,italy,knitting mill (2259),corporation
504,504,"piazzetta dei sapienti 1, corciano, 06073, perugia, italy",2005,h-it0028057635,"finance, insurance, and real estate",foro delle arti srl,italy,holding company (6719),corporation
505,505,"via castellana 90, istrana, 31036, treviso, italy",1981,h-it0061868256,manufacturing,pro-gest spa,italy,mfg corrugated/solid fiber boxes (2653),corporation
506,506,"viale ita marzotto 8, fossalta di portogruaro, 30025, venezia, italy",2002,h-it0002215101,"finance, insurance, and real estate",zignago holding spa,italy,holding company (6719),corporation
507,507,"via san magno 31, corato, 70033, bari, italy",1971,h-it0007363818,wholesale trade,maiora srl,italy,whol non durable goods (5199),corporation
508,508,"corso pietro rolandi 10, quarona, 13017, vercelli, italy",1924,h-it0050583999,manufacturing,loro piana spa,italy,knit outerwear mill (2253),corporation
509,509,"strada gherbella 320, modena, 41126, modena, italy",2000,h-it0066645190,manufacturing,grandi salumifici italiani spa,italy,mfg prepared meats (2013),corporation
510,510,"via bernardino telesio 18, milano, 20145, milano, italy",2001,h-it0054295661,services,openjobmetis spa agenzia per il lavoro,italy,help supply services (7363),corporation
511,511,"via alberico albricci 10, milano, 20122, milano, italy",2009,h-it0026173360,"transportation, communications, electric, gas, and sanitary services",2i rete gas spa,italy,gas transmission/distribution (4923),corporation
512,512,"via torri bianche 3, vimercate, 20871, monza e brianza, italy",2003,h-it0072814640,wholesale trade,toshiba electronics europe gmbh,italy,whol industrial equipment (5084),foreign company
513,513,"via mario carucci 131, roma, 00143, roma, italy",1976,h-it0030784107,services,sogei societa' generale d'informatica spa e in forma abbreviato sogei spa,italy,computer related services (7379),corporation
514,514,"via delle groane 126, garbagnate milanese, 20024, milano, italy",1980,h-it0011955988,wholesale trade,bayer spa,italy,whol drugs/sundries (5122),corporation
515,515,"piazza della vittoria 10, genova, 16121, genova, italy",1991,h-it0070126070,wholesale trade,comarco compagnia generale di commercio arbitraggio e coperture spa,italy,metals service center (5051),corporation
516,516,"via carlo ederle 45, verona, 37126, verona, italy",2000,h-it0070965382,"finance, insurance, and real estate",vera vita spa,italy,life insurance carrier (6311),corporation
517,517,"via benigno crespi 19, milano, 20159, milano, italy",2001,h-it0068332807,"finance, insurance, and real estate",bcc vita spa compagnia di assicurazioni vita in forma abbreviato bcc vita spa,italy,life insurance carrier (6311),corporation
518,518,"via stazione 51, egna, 39044, bolzano, italy",1963,h-it0033690464,wholesale trade,wuerth srl,italy,whol plumbing equipment/supplies (5074),corporation
519,519,"strada regionale 148 pontina 0snc, aprilia, 04011, latina, italy",2012,h-it0018360106,manufacturing,abbvie srl,italy,mfg pharmaceutical preparations (2834),corporation
520,520,"via andrea doria 7, castiglione del lago, 06061, perugia, italy",1947,h-it0020302304,retail trade,coop centro italia soc coop,italy,ret groceries (5411),cooperative
521,521,"via pietramarina 53, vinci, 50059, firenze, italy",1981,h-it0029458269,"finance, insurance, and real estate",colorobbia holding spa,italy,holding company (6719),corporation
522,522,"localita' autoporto 11, pollein, 11020, aosta, italy",1865,h-it0008973717,manufacturing,heineken italia spa,italy,mfg malt beverages (2082),corporation
523,523,"via collodi 6/c, firenze, 50141, firenze, italy",2013,h-it0040208036,"finance, insurance, and real estate",dedalus healthcare systems group spa,italy,holding company (6719),corporation
524,524,"via ugo bassi 6, milano, 20159, milano, italy",2006,h-it0073228494,services,sisal spa,italy,business services (7389),corporation
525,525,"via varesina 162, milano, 20156, milano, italy",1988,h-it0059526548,wholesale trade,medtronic italia spa,italy,whol medical/hospital equipment (5047),corporation
526,526,"viale certosa 249, milano, 20151, milano, italy",1986,h-it0008816700,manufacturing,riva acciaio spa,italy,blast furnace-steel works (3312),corporation
527,527,"bastioni di porta volta 10, milano, 20121, milano, italy",1950,h-it0014372711,"transportation, communications, electric, gas, and sanitary services",uvet viaggi turismo spa,italy,travel agency (4724),corporation
528,528,"via larga 9/11, milano, 20122, milano, italy",2010,h-it0034282432,"finance, insurance, and real estate",veroniki holding spa,italy,holding company (6719),corporation
529,529,"via monte flavio 45, roma, 00131, roma, italy",2001,h-it0061885452,manufacturing,mbda italia spa,italy,mfg communications equipment (3669),corporation
