,city,company,country,datejoined,founded,industry,investors,name,selectinvestors,stage,totalraised,valuation
city,1.0,0.15384615384615385,0.15384615384615385,0.0,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.0
company,0.15384615384615385,1.0,0.2,0.0,0.0,0.05555555555555555,0.0,0.0,0.0,0.0,0.0,0.0
country,0.15384615384615385,0.2,1.0,0.0,0.058823529411764705,0.1875,0.0,0.0,0.0,0.0,0.0,0.0
datejoined,0.0,0.0,0.0,1.0,0.10526315789473684,0.0,0.0,0.0,0.0,0.0,0.08695652173913043,0.0
founded,0.0,0.0,0.058823529411764705,0.10526315789473684,1.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0
industry,0.06666666666666667,0.05555555555555555,0.1875,0.0,0.0,1.0,0.10526315789473684,0.0,0.0,0.0,0.0,0.0
investors,0.0,0.0,0.0,0.0,0.0,0.10526315789473684,1.0,0.0,0.47368421052631576,0.0,0.0,0.0
name,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.08333333333333333,0.0,0.0
selectinvestors,0.0,0.0,0.0,0.0,0.0,0.0,0.47368421052631576,0.0,1.0,0.043478260869565216,0.0,0.0
stage,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.043478260869565216,1.0,0.0,0.0
totalraised,0.0,0.0,0.0,0.08695652173913043,0.1,0.0,0.0,0.0,0.0,0.0,1.0,0.0
valuation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
