02-GioPonSpiz-industry,05-MalPatSaj-industry,06-MarScoToc-industry,02-GioPonSpiz-sector,05-MalPatSaj-sector,02-GioPonSpiz-name,05-MalPatSaj-name,06-MarScoToc-name
technology,industrials,manufacturing,software,heavy construction,gecad software,metrostav,snapchat
industrials,consumer goods,animation production,railroads,furnishings,grup feroviar român,moser,the pinkfong company
consumer services,telecommunications,conglomerate,media agencies,telecommunications,intact media group,o2 czech republic,sm investments
consumer goods,basic materials,financial services,clothing & accessories,coal,jolidon,okd,société générale
industrials,consumer goods,internet,commercial vehicles & trucks,recreational products,mangalia shipyard,petrof,sogou
consumer services,consumer goods,conglomerate,food retailers & wholesalers,brewers,mega image,pilsner urquell brewery,sk group
consumer services,consumer goods,audio,travel & tourism,furnishings,metrorex,preciosa,skullcandy
consumer services,consumer goods,audio,specialty retailers,consumer electronics,mobexpert,racom,skype
consumer goods,technology,rail transport machinery,food products,software,napolact,red hat czech,koda transportation
telecommunications,consumer goods,automotive industry,mobile telecommunications,brewers,orange romania,royal brewery of krušovice,solaris bus & coach
oil & gas,consumer goods,conglomerate,integrated oil & gas,furnishings,petrom,rudolf kämpf,sony
oil & gas,industrials,conglomerate,exploration & production,commercial vehicles & trucks,petromidia refinery,škoda transportation,softbank group
industrials,industrials,conglomerate,delivery services,diversified industrials,poșta română,škoda works,southwest airlines
financials,telecommunications,media entertainment,banks,mobile telecommunications,raiffeisen romania,skylink,square enix
telecommunications,consumer services,stationery,fixed line telecommunications,travel & tourism,rcs & rds,student agency,staedtler
consumer services,consumer services,"banking, financial services",media agencies,broadcasting & entertainment,realitatea-cațavencu,supraphon,standard chartered
consumer services,industrials,coffee shop,travel & tourism,commercial vehicles & trucks,regiotrans,tatra,starbucks
industrials,telecommunications,"banking, financial services",commercial vehicles & trucks,fixed line telecommunications,roman,telekom austria czech republic,state bank of india
oil & gas,consumer goods,retail / grocery,exploration & production,automobiles,rompetrol,toyota peugeot citroën automobile czech,safeway
industrials,basic materials,restaurants,industrial suppliers,iron & steel,romstal,trinec iron and steel works,subway (restaurant)
telecommunications,financials,automotive production systems,fixed line telecommunications,banks,romtelecom,unicredit bank czech republic and slovakia,stellantis
technology,basic materials,beverage,software,specialty chemicals,siveco romania,via chem group,suntory
technology,telecommunications,automotive,software,mobile telecommunications,softpedia,vodafone czech republic,suzuki
technology,industrials,"fashion, crystal, and jewelry",software,industrial machinery,softwin,walter aircraft engines,swarovski
consumer services,industrials,"beverages, malt",airlines,commercial vehicles & trucks,tarom,zetor,swinkels family brewers
consumer goods,financials,"beverages, malt",consumer electronics,banks,tehnoton,živnostenská banka,taco maker
telecommunications,industrials,"beverages, malt",fixed line telecommunications & mobile telecommunications,business support services,telekom romania,alectia,taiwan beer
health care,health care,video games,pharmaceuticals,pharmaceuticals,terapia ranbaxy,alk-abelló,take-two interactive
conglomerates,consumer services,"fashion, accessories",-,publishing,țiriac holdings,aller media,"tapestry, inc."
industrials,financials,retail,railroads,full line insurance,transferoviar grup,alm. brand,target corporation
technology,health care,automotive,internet,medical equipment,trilulilu,ambu,tata motors
technology,industrials,food,software,business support services,ubisoft bucharest,arkitema architects,tabasco sauce
telecommunications,consumer goods,food processing,fixed line telecommunications,food products,upc romania,arla foods,tate & lyle
consumer goods,consumer services,consumer electronics home appliances finance,brewers,hotels,ursus breweries,arp-hansen hotel group,tcl technology
conglomerates,consumer goods,information technology consulting outsourcing,-,consumer electronics,uti holdings,bang & olufsen,tata consultancy services
telecommunications,consumer goods,electronics,mobile telecommunications,clothing & accessories,vodafone romania,bestseller a/s,teac corporation
health care,industrials,electronics,pharmaceuticals,business support services,zentiva,bjarke ingels group,technisat
basic materials,consumer services,information technology consulting outsourcing,paper,specialty retailers,altri,boconcept,tech mahindra
industrials,industrials,information technology consulting outsourcing,industrial suppliers,containers & packaging,ambar – ideas on paper s.a.,brødrene hartmann,technicolor
financials,industrials,telecommunications,banks,business support services,banco comercial português,c. f. møller architects,telefónica
health care,consumer goods,telecommunications it consulting,pharmaceuticals,brewers,bial,carlsberg group,telus
financials,industrials,conglomerate,banks,building materials & fixtures,caixa geral de depósitos,cembrit,tencent
consumer services,consumer goods,retailing,travel & tourism,food products,carris,chr. hansen,the home depot
consumer goods,industrials,food processing,brewers,business support services,central de cervejas,cobe architects,the hershey company
technology,health care,watchmaking jewellery,semiconductors,medical equipment,chipidea,coloplast,the swatch group
wine making,consumer services,retail,port wine,food retailers & wholesalers,churchill's port,coop amba,tesco
technology,industrials,automotive renewable energy,software,transportation services,ciberbit,copenhagen airport,"tesla, inc."
industrials,consumer goods,food packaging,building materials & fixtures,food products,cimpor,co-ro food,tetra pak
consumer goods,technology,telecommunications,clothing & accessories,software,cms-helmets,cowex,telstra
consumer services,industrials,semiconductors,publishing,business support services,cofina,cowi a/s,texas instruments
consumer services,consumer goods,aerospace industry automotive industry defense industry,travel & tourism,food products,comboios de portugal,daloon,textron
consumer goods,industrials,mass media,food products,marine transportation,conservas ramirez,d/s norden,thomson reuters
consumer services,industrials,food,food retailers & wholesalers,marine transportation,continente,dampskibsselskabet torm,ting hsin international group
basic materials,industrials,watchmaking,industrial suppliers,industrial machinery,corticeira amorim,danfoss,tissot
technology,health care,food,software,biotechnology,critical software,danisco,tkk fried chicken
industrials,industrials,conglomerate,delivery services,industrial machinery,"ctt correios de portugal, s.a.",danish agro,toshiba
consumer goods,consumer goods,"consumer electronics, navigation technology",food products,food products,delta cafés,danish crown amba,tomtom
industrials,consumer services,"toys, video games, children's products and apparel",electronic equipment,broadline retailers,efacec,dansk supermarked,tomy
utilities,financials,petroleum energy,conventional electricity,banks,energias de portugal,danske bank,totalenergies
industrials,industrials,professional services,defense,industrial machinery,fábrica nacional de munições de armas ligeiras,dantherm,towers watson
utilities,industrials,telecommunications,gas distribution,marine transportation,galp energia,dfds,tpg telecom
technology,industrials,electronics,software,business support services,glintt,dissing+weitling,tdk
conglomerates,consumer goods,steel industry,-,farming & fishing,grupo josé de mello,dlf,oao tmk
industrials,industrials,automotive,general industries,railroads,iberomoldes,dsb,toyota
consumer services,industrials,computer software,media,delivery services,impresa,dsv,trend micro
consumer services,industrials,networking equipment,retail,building materials & fixtures,jerónimo martins,dt group,tp-link
consumer goods,consumer goods,semiconductors,food & beverage,footwear,lactogal,ecco,tsmc
industrials,consumer services,graphic design,diversified industrials,publishing,logoplaste,egmont group,typotheque
industrials,health care,transportation mobility as a service,heavy construction,health care providers,martifer,falck,uber
consumer services,industrials,food processing,broadcasting & entertainment,industrial machinery,media capital,flsmidth,ülker
health care,consumer services,semiconductor foundry,pharmaceuticals,braodline retailers,medinfar,flying tiger copenhagen,united microelectronics corporation
telecommunications,industrials,financial services,mobile telecommunications,business support services,meo,foss a/s,unicredit
financials,industrials,consumer goods,banks,business support services,montepio,global risk management,unilever
industrials,health care,video games,general industries,health care providers,mota-engil,gn store nord,ubisoft
technology,industrials,information technology consulting outsourcing,software,industrial machinery,move interactive,grundfos,unisys
telecommunications,consumer goods,information technology consulting outsourcing,fixed line telecommunications,consumer electronics,nos,gryphon audio designs,united airlines
technology,basic materials,investment management,software,specialty chemicals,novabase,haldor topsoe,the vanguard group
financials,basic materials,automotive,banks,specialty chemicals,novo banco,hempel group,volvo
consumer services,industrials,real estate,food retailers & wholesalers,business support services,pingo doce,henning larsen architects,vanke
consumer services,consumer goods,"consumer electronics, home appliances, information technology",publishing,clothing & accessories,porto editora,house of amber,vestel
telecommunications,consumer goods,electrical equipment,fixed line telecommunications,clothing & accessories,portugal telecom,hummel,vestas
technology,consumer goods,data analytics and risk assessment,software,clothing & accessories,quidgest,ic group,verisk analytics
consumer services,technology,electrical equipment,broadcasting & entertainment,software,rádio e televisão de portugal,io interactive,vertiv
utilities,industrials,apparel accessories,conventional electricity,business support services,redes energéticas nacionais,iss a/s,vf corporation
basic materials,consumer services,telecommunication,paper,airlines,renova,jet time,viettel
telecommunications,industrials,apparel,fixed line telecommunications,business support services,sapo,jorgensen engineering,victoria's secret
industrials,consumer services,apparel,building materials & fixtures,specialty retailers,semapa,jysk,victorinox
industrials,financials,telecommunications,diversified industrials,banks,simoldes,jyske bank,veon
industrials,industrials,conglomerate,heavy construction,business support services,soares da costa,kemp & lauritzen,virgin group
consumer services,consumer goods,"commodity, oil & gas",broadcasting & entertainment,clothing & accessories,sic,kopenhagen fur,vitol
industrials,consumer goods,electronics,diversified industrials,personal products,sonae indústria,lastobject,vizio
conglomerates,health care,media,-,pharmaceuticals,sonae,leo pharma,vivendi
consumer goods,industrials,"dairy products, juice",farming & fishing,industrial machinery,sovena group,lm glasfiber,vinamilk
consumer goods,industrials,telecommunications,food products,building materials & fixtures,sumol + compal,louis poulsen,vodafone
consumer goods,health care,mechanical engineering,tobacco,pharmaceuticals,tabaqueira,lundbeck,voith
consumer services,industrials,automotive,airlines,business support services,tap air portugal,lundgaard & tranberg,volkswagen group
consumer services,conglomerates,foodservice,broadcasting & entertainment,ocean and inland freight transportation,televisão independente,maersk,the wendy's company
basic materials,industrials,food and drink,paper,building materials & fixtures,the navigator company,martin professional,want want
financials,consumer services,retail,full line insurance,drug retailers,tranquilidade,matas,walmart
consumer services,technology,media entertainment,publishing,software,tupam editores,netcompany,the walt disney company
industrials,conglomerates,media entertainment,diversified industrials,-,umm,nkt holding,warner bros. discovery
consumer goods,technology,convenience store gas station fast food,brewers,software,unicer brewery,nnit,wawa (company)
technology,consumer goods,home appliances,internet,recreational products,uniplaces,nordic adult entertainment,whirlpool corporation
conglomerates,consumer services,restaurants,-,broadcasting & entertainment,visabeira,nordisk film,wingstop
consumer goods,consumer services,conglomerate,durable household products,publishing,vista alegre,north media,wipro
technology,financials,financial services payment processor technology,software,financial services,11 bit studios,north sea capital,wirecard
basic materials,health care,consumer electronics computer hardware,coal,pharmaceuticals,adamów coal mine,novo nordisk,xiaomi
financials,health care,sports equipment,banks,biotechnology,alior bank,novozymes,xtep
consumer goods,financials,sports equipment,durable household products,financial services,amica,nykredit,yakult
technology,utilities,dairy,software,conventional electricity,asseco,ørsted,yili group
financials,consumer services,dairy,banks,recreational services,bank millennium,parken sport & entertainment,yamaha corporation
financials,health care,internet search engine mapping streaming services internet retail,banks,pharmaceuticals,bank pekao,pharma nord,yandex
basic materials,health care,manufacturing,coal,pharmaceuticals,bełchatów coal mine,pharmacosmos,yokohama rubber company
consumer services,consumer goods,automotive,food retailers & wholesalers,recreational products,biedronka,phase one,yamaha motor company
basic materials,industrials,foodservice,general mining,business support services,bochnia salt mine,plesner,yum! brands
basic materials,industrials,retail,coal,delivery services,bogdanka coal mine,post danmark,zara (retailer)
technology,industrials,it services,software,business support services,brainly,ramboll,zensar technologies
consumer goods,utilities,beverages,brewers,conventional electricity,browar łomża,roskilde forsyning,guangzhou zhujiang brewery group
consumer goods,consumer goods,telecommunications equipment networking equipment,brewers,durable household products,carlsberg polska,royal copenhagen,zte
technology,consumer goods,manufacturing,software,brewers,cd projekt,royal unibrew,zippo
technology,financials,telecommunications,software,asset managers,comarch,sampension,zyxel
consumer goods,industrials,,brewers,logistics,elbrewery,santa fe group,
industrials,financials,,diversified industrials,banks,elektrim,saxo bank,
utilities,consumer goods,,conventional electricity,tobacco,enea sa,scandinavian tobacco group,
technology,industrials,,software,business support services,ericpol,schmidt hammer lassen,
industrials,consumer goods,,commercial vehicles & trucks,recreational products,fablok,select sport,
consumer goods,health care,,automobiles,medical equipment,fabryka samochodów małolitrażowych,simonsen & weel,
consumer goods,consumer services,,automobiles,apparel retailers,fabryka samochodów osobowych,stylepit,
industrials,technology,,diversified industrials,enterprise software,fłt-kraśnik,stibo,
industrials,telecommunications,,diversified industrials,fixed line telecommunications,fasing s.a.,tdc a/s,
basic materials,industrials,,nonferrous metals,aerospace,gaworzyce mine,terma a/s,
utilities,consumer goods,,gas distribution,toys,gaz-system,the lego group,
basic materials,industrials,,nonferrous metals,marine transportation,głogów głęboki-przemysłowy mine,thorco shipping,
chemical industry,consumer goods,,specialty chemicals,brewers,grupa azoty,tuborg brewery,
oil & gas,industrials,,exploration & production,marine transportation,grupa lotos,united shipping & trading company,
basic materials,industrials,,coal,building materials & fixtures,gubin coal mine,velux,
basic materials,industrials,,coal,industrial machinery,halemba coal mine,vestas,
consumer goods,oil & gas,,food products,oil equipment & services,hortex,welltec,
financials,health care,,banks,medical equipment,ing bank śląski,widex,
consumer services,health care,,broadcasting & entertainment,health care providers,iti group,william demant,
consumer services,consumer services,,retail,broadcasting & entertainment,jabłkowski brothers,zentropa,
basic materials,consumer goods,,coal,brewers,jsw,a. le coq,
basic materials,consumer services,,nonferrous metals,airlines,kghm polska miedź,airest,
consumer services,oil & gas,,broadcasting & entertainment,exploration & production,kino polska,alexela,
basic materials,technology,,general mining,software,kłodawa salt mine,aqris,
consumer goods,telecommunications,,brewers,fixed line telecommunications,kompania piwowarska,as starman,
basic materials,consumer services,,coal,airlines,kompania węglowa,avies,
consumer goods,consumer services,,brewers,apparel retailers,lech browary wielkopolski,baltika group,
technology,industrials,,software,commercial vehicles & trucks,livechat software,blrt grupp,
consumer services,technology,,airlines,transportation,lot polish airlines,bolt,
consumer services,consumer services,,apparel retailers,airlines,lpp,copterline,
food,utilities,,food concern,conventional electricity,maspex,eesti energia,
consumer services,utilities,,recreational services,gas distribution,multikino,eesti gaas,
telecommunications,industrials,,fixed line telecommunications,railroads,netia,eesti raudtee,
consumer goods,utilities,,brewers,conventional electricity,okocim brewery,elering,
technology,consumer services,,computer hardware,travel & tourism,optimus s.a.,elron,
telecommunications,basic materials,,mobile telecommunications,general mining,orange polska,enefit kaevandused,
industrials,industrials,,commercial vehicles & trucks,business support services,pesa sa,enefit solutions,
oil & gas,consumer services,,exploration & production,airlines,pgnig,enimex,
oil & gas,technology,,exploration & production,internet,pkn orlen,estdomains,
telecommunications,consumer goods,,mobile telecommunications,recreational products,play,estonia piano factory,
telecommunications,consumer services,,mobile telecommunications,broadcasting & entertainment,plus,estonian record productions,
consumer services,financials,,delivery services,financial services,poczta polska,fortumo,
consumer services,consumer services,,broadcasting & entertainment,travel & tourism,polcast television,gorail,
industrials,consumer goods,,railroads,food products,polish state railways,kalev,
consumer services,consumer goods,,broadcasting & entertainment,distillers & vintners,polsat,liviko,
utilities,consumer services,,conventional electricity,broadcasting & entertainment,polska grupa energetyczna,moonwalk records,
industrials,oil & gas,,delivery services,exploration & production,polsteam,narva oil plant,
financials,technology,,banks,software,powszechna kasa oszczędności bank polski,nortal,
financials,consumer services,,full line insurance,specialty retailers,powszechny zakład ubezpieczeń,olerex,
consumer goods,logistics,,machinery,delivery services,pronar,omniva,
consumer services,consumer services,,travel & tourism,publishing,przedsiębiorstwo komunikacji samochodowej,publishing house ersen,
consumer services,health care,,travel & tourism,biotechnology,przewozy regionalne,quattromed,
utilities,consumer goods,,conventional electricity,food products,pse (polskie sieci elektroenergetyczne),rakvere lihakombinaat,
food products,industrials,,fruit and vegetable processing,marine transportation,pudliszki,saaremaa shipping company,
technology,consumer goods,,software,brewers,qumak,saku brewery,
consumer services,financials,,general retailers,banks,smyk department store,seb pank,
industrials,consumer services,,commercial vehicles & trucks,food retailers & wholesalers,solaris bus & coach,selver,
industrials,consumer services,,diversified industrials,broadcasting & entertainment,tele-fonika kable,sky media group,
consumer services,industrials,,broadcasting & entertainment,delivery services,telewizja polska,smartpost,
telecommunications,consumer services,,mobile telecommunications,broadcasting & entertainment,t-mobile polska,stv,
consumer services,industrials,,broadcasting & entertainment,marine transportation,tvn24,tallink,
consumer services,consumer services,,broadcasting & entertainment,travel & tourism,tvn 7,tallinna linnatranspordi as,
consumer services,consumer services,,broadcasting & entertainment,publishing,tvn group,tänapäev,
consumer goods,consumer goods,,soft drinks,food products,tymbark,tartu mill,
consumer goods,telecommunications,,brewers,fixed line telecommunications,van pur,telia eesti,
consumer services,industrials,,recreational services,electronic equipment,wieliczka salt mine,tondi elektroonika,
consumer services,consumer services,,food retailers & wholesalers,broadcasting & entertainment,żabka,topten,
industrials,consumer services,,defense,broadline retailers,zmt sa,ülemiste keskus,
industrials,consumer services,,electrical components & equipment,publishing,aalberts,varrak,
transport,oil & gas,,"bus, ferry and train services",exploration & production,abellio,viru keemia grupp,
financials,utilities,,banks,conventional electricity,abn amro,vkg elektrivõrgud,
financials,technology,,payments industry,software,adyen,zeroturnaround,
consumer goods,basic materials,,recreational products,basic resources,accell group,ahlstrom,
financials,financials,,life insurance,banks,aegon n.v.,aktia bank,
consumer services,consumer services,,food retailers & wholesalers,specialty retailers,ahold delhaize,alko,
basic materials,consumer services,,specialty chemicals,publishing,akzonobel,alma media,
consumer goods,consumer goods,,brewers,distillers & vintners,amstel brewery,altia,
industrials,consumer goods,,transportation services,recreational products,apm terminals,amer sports,
consumer goods,financials,,automobiles parts,banks,apollo vredestein b.v.,bank of åland,
industrials,technology,,engineering,software,arcadis,basware,
industrials,consumer goods,,industrial machinery,consumer electronics,asml holding,bittium,
financials,industrials,,banks,transportation services,asn bank,cargotec,
financials,technology,,non-life insurance,software,atradius,codenomicon,
consumer services,telecommunications,,restaurants & bars,mobile telecommunications,australian homemade,dna oyj,
consumer goods,industrials,,food products,marine transportation,avebe,eckerö line,
consumer goods,consumer goods,,brewers,consumer electronics,bavaria brewery,eks,
consumer services,telecommunications,,specialty retailers,fixed line telecommunications,beter bed,elisa,
technology,consumer services,,internet,restaurants & bars,blendle,fazer,
consumer services,utilities,,travel & tourism,conventional electricity,booking.com,fingrid,
technology,consumer services,,internet,airlines,catawiki,finnair,
real estate,industrials,,real estate investment and services,marine transportation,chipshol,finnlines,
industrials,consumer goods,,commercial vehicles & trucks,durable household products,cnh global,fiskars,
consumer services,utilities,,airlines,alternative electricity,corendon dutch airlines,fortum,
consumer goods,technology,,automobiles,software,daf trucks,f-secure,
industrials,consumer goods,,industrial transportation & defense,soft drinks,damen group,hartwall,
industrials,consumer services,,marine transportation,retail,dockwise,hesburger,
consumer goods,consumer goods,,automobiles,restaurants & bars,donkervoort,hkscan,
consumer goods,financials,,soft drinks,banking,douwe egberts,holvi,
health care,industrials,,pharmaceuticals,containers & packaging,dsm,huhtamäki,
technology,basic materials,,internet,specialty chemicals,ebuddy,kemira,
consumer services,industrials,,publishing,business support services,elsevier,kemppi,
consumer services,consumer services,,broadcasting & entertainment,broadline retailers,endemol,kesko,
technology,industrials,,software,industrial machinery,exact software,kone,
financials,industrials,,investment services,industrial machinery,exor,konecranes,
consumer goods,consumer services,,recreational products,restaurants & bars,feadship,kotipizza,
industrials,industrials,,industrial automation,heavy construction,fraba,lemminkäinen group,
consumer goods,consumer goods,,food products,clothing & accessories,frieslandcampina,marimekko,
oil & gas,basic materials,,exploration & production,paper,fugro,metsä group,
industrials,industrials,,delivery services,business support services,general logistics systems,metso,
consumer goods,oil & gas,,brewers,exploration & production,grolsch brewery,neste,
technology,industrials,,software,telecommunications equipment,guerrilla games,nokia,
consumer goods,technology,,apparel retailers,telecommunications equipment,g-star raw,nokia networks,
oil & gas,consumer goods,,oil equipment & services,footwear,heerema marine contractors,nokian jalkineet,
consumer goods,consumer goods,,brewers,automobiles,heineken international,nokian tyres,
consumer goods,consumer goods,,variety,soft drinks,hema,olvi,
technology,financials,,software,financial services,high-logic,op financial group,
consumer services,health care,,travel & tourism,pharmaceuticals,hotels.nl,orion corporation,
consumer services,basic materials,,apparel retailers,iron & steel,hunkemöller,outokumpu,
industrials,industrials,,building,business support services,hunter douglas,outotec,
consumer services,industrials,,home improvement retailers,defense,ikea,patria,
financials,health care,,banks,medical equipment,ing group,planmeca,
technology,utilities,,datacentres,alternative electricity,interxion,pohjolan voima,
telecommunications,consumer goods,,fixed line telecommunications,recreational products,iptp networks,polar electro,
consumer goods,industrials,,food retailers & wholesalers,commercial vehicles & trucks,jumbo,ponsse corporation,
technology,industrials,,consumer digital services,waste & disposal services,just eat takeaway,posiva,
consumer services,logistics,,airlines,delivery services,klm,posti group,
industrials,industrials,,business support services,business support services,kpmg,pöyry,
telecommunications,technology,,fixed line telecommunications,business support services,kpn,process vision,
consumer goods,consumer goods,,automobiles,food products,landfighter,raisio group,
consumer services,industrials,,rental and leasing services,building materials & fixtures,leaseplan,rautaruukki,
utilities,technology,,conventional electricity,software,liander,rovio entertainment,
consumer goods,consumer services,,distillers & vintners,hotels,lucas bols,s group,
consumer services,financials,,airlines,full line insurance,martinair,sampo group,
industrials,consumer services,,railroads,publishing,nederlandse spoorwegen,sanoma,
consumer goods,industrials,,auto parts,marine transportation,nipparts,silja line,
consumer goods,industrials,,food products,commercial vehicles & trucks,nutricia,sisu auto,
utilities,financials,,multiutilities,investment services,nuon energy,solidium,
technology,technology,,semiconductors,software,nxp semiconductors,ssh communications security,
technology,oil & gas,,electronic office equipment,exploration & production,océ,st1,
consumer goods,industrials,,food products,heavy construction,perfetti van melle,stenfors,
consumer goods,consumer services,,consumer electronics,broadline retailers,philips,stockmann,
industrials,technology,,delivery services,software,postnl,stonesoft corporation,
technology,basic materials,,consumer digital services,paper,prosus,stora enso,
consumer services,consumer goods,,parking,clothing & accessories,q-park,suominen corporation,
financials,technology,,banks,software,rabobank,supercell,
industrials,consumer goods,,business support services,recreational services,randstad holding,suunto,
industrials,basic materials,,heavy construction,nonferrous metals,royal bam group,talvivaara mining company,
industrials,technology,,heavy construction,software,royal boskalis westminster,tieto,
industrials,basic materials,,electrical components & equipment,commodity chemicals,royal imtech n.v.,tikkurila,
industrials,basic materials,,transportation services,paper,royal schiphol group,upm-kymmene,
industrials,industrials,,heavy construction,electrical components & equipment,royal van oord,vacon,
oil & gas,technology,,oil equipment & services,software,sbm offshore,vaisala,
consumer goods,consumer goods,,recreational products,food products,serpent model racing cars,valio,
industrials,consumer goods,,diversified industrials,automobiles,shv holdings,valmet automotive,
consumer goods,industrials,,food retailers & wholesalers,industrial machinery,spar,valmet,
consumer goods,industrials,,automobiles,commercial vehicles & trucks,spyker cars,valtra,
industrials,consumer services,,aerospace,broadline retailers,stork b.v.,verkkokauppa.com,
consumer services,industrials,,broadcasting & entertainment,marine transportation,talpa network,viking line,
telecommunications,industrials,,fixed line telecommunications,railroads,tele2 netherlands,vr,
telecommunications,industrials,,mobile telecommunications,electronic equipment,telfort,wärtsilä,
industrials,basic materials,,defence & electronics,basic resources,thales nederland,woikoski,
industrials,industrials,,financial administration,heavy construction,tmf group,yit,
industrials,consumer services,,delivery services,hospitality,tnt express,accor,
technology,consumer services,,software,airlines,tomtom,aéropostale,
consumer goods,industrials,,food products,defense,tony's chocolonely,aérospatiale-matra,
consumer services,consumer services,,airlines,airlines,transavia,air france,
financials,consumer services,,banks,airlines,triodos bank,air france–klm,
technology,industrials,,computer hardware,aerospace,trust,airbus,
consumer services,industrial,,airlines,chemical,tui fly netherlands,air liquide,
consumer goods,technology,,recreational products,telecommunications equipment,vanguard dutch marine,alcatel-lucent,
industrials,consumer goods,,commercial vehicles & trucks,personal products,vdl bus & coach,ales groupe,
consumer goods,industrials,,automobile,railroads,vdl nedcar,alstom,
industrials,industrials,,business training & employment agencies,business support services,vedior,altran,
telecommunications,consumer services,,mobile telecommunications,recreational services,veon,amaury sport organisation,
consumer services,industrials,,publishing,aerospace & defense,verenigde nederlandse uitgeverijen,arianegroup,
energy,industrials,,"oil, gas & coal",aerospace,vitol,arianespace,
telecommunications,technology,,mobile telecommunications,software,vodafone netherlands,arkane studios,
industrials,consumer services,,heavy construction,broadcasting & entertainment,volkerwessels,arte,
industrials,industrials,,building materials & fixtures,aerospace,wavin,astrium,
consumer goods,technology,,apparel retailers,internet,we,at internet,
technology,technology,,software,software,wercker,atari sa,
industrials,financials,,business support services,real estate services,wolters kluwer,atisreal,
consumer goods,technology,,apparel retailers,software,zeeman,atos,
consumer services,consumer services,,airlines,food retailers & wholesalers,air malta,auchan,
financials,financials,,banks,full line insurance,aps bank,axa,
financials,consumer goods,,banks,recreational products,bank of valletta,babolat,
financials,consumer goods,,banks,durable household products,central bank of malta,baccarat,
consumer goods,consumer services,,distillers & vintners,broadcasting & entertainment,emmanuel delicata,banijay,
telecommunications,financials,,fixed line telecommunications,banks,go,banque de l'indochine,
financials,consumer goods,,banks,food products,hsbc bank malta,bel group,
financials,financials,,banks,banks,lombard bank,bnp paribas,
industrials,industrials,,delivery services,delivery services,maltapost,bolloré,
consumer services,consumer goods,,airlines,food products,medavia,bonduelle,
consumer services,telecommunications,,publishing,mobile telecommunications,media.link communications,bouygues telecom,
telecommunications,conglomerates,,fixed line telecommunications,-,melita,bouygues,
consumer services,industrials,,gambling,marine transportation,multilotto,brittany ferries,
consumer services,consumer goods,,broadcasting & entertainment,automobiles,one productions,bugatti automobiles,
consumer goods,consumer services,,brewers,broadcasting & entertainment,simonds farsons cisk,canal+,
consumer services,industrials,,gambling,business support services,unibet,capgemini,
telecommunications,consumer services,,mobile telecommunications,food retailers & wholesalers,epic,carrefour,
financials,consumer goods,,banks,clothing & accessories,advanzia bank,cartier,
basic materials,consumer services,,iron & steel,apparel retailers,arcelor,celio,
basic materials,consumer goods,,iron & steel,clothing & accessories,arcelormittal,chanel,
technology,consumer goods,,technology hardware & equipment,clothing & accessories,artec 3d,chantelle,
financials,consumer goods,,banks,clothing & accessories,banque de luxembourg,christian dior se,
financials,consumer goods,,banks,automobiles,banque et caisse d'épargne de l'état,citroën,
financials,industrials,,banks,delivery services,banque raiffeisen,cma cgm,
financials,technology,,banks,telecommunications equipment,bgl bnp paribas,com one group,
financials,financials,,investment services,banks,bip investment partners,crédit agricole,
consumer goods,financials,,brewers,banks,brasserie nationale,crédit commercial de france,
consumer services,financials,,food retailers & wholesalers,banks,cactus,crédit mutuel,
industrials,consumer services,,delivery services,retail,cargolux,conforama,
utilities,financials,,multiutilities,banks,creos luxembourg,crédit foncier de france,
financials,financials,,banks,banks,central bank of luxembourg,crédit lyonnais,
health care,technology,,health care providers,internet,centre hospitalier de luxembourg,criteo,
industrials,consumer goods,,diversified industrials,food products,ceratizit,danone,
consumer services,industrials,,restaurants & bars,defense,cipriani s.a.,dassault aviation,
financials,technology,,asset managers,software,cvc capital partners,dassault systèmes,
consumer services,consumer goods,,publishing,clothing & accessories,editpress,debacq & cie,
financials,consumer goods,,full line insurance,clothing & accessories,foyer s.a.,decathlon,
conglomerates,financials,,-,banks,general mediterranean holding,dexia,
financials,consumer goods,,specialty finance,personal products,genii capital,diptyque,
consumer goods,industrials,,personal products,specialized consumer services,gold & wood,edenred,
financials,consumer services,,banks,publishing,kbl european private bankers,éditions philippe amaury,
financials,consumer goods,,investment services,personal products,kulczyk investments,eisenberg paris,
consumer services,utilities,,airlines,conventional electricity,lionair,électricité de france (edf),
consumer goods,oil & gas,,clothing & accessories,exploration & production,luvanis,elf aquitaine,
consumer services,utilities,,airlines,electricity generation,luxair,engie,
consumer services,health care,,broadcasting & entertainment,health care equipment,luxanimation,essilorluxottica,
financials,telecommunications,,investment services,mobile telecommunications,luxembourg stock exchange,eutelsat,
financials,consumer services,,investment services,specialty retailers,luxempart,fnac,
consumer services,nuclear industries,,broadcasting & entertainment,nuclear engineering,melusine,framatome,
consumer goods,telecommunications,,brewers,fixed line telecommunications,mousel,free,
financials,consumer services,,real estate holding & development,broadline retailers,orco,galeries lafayette,
telecommunications,technology,,fixed line telecommunications,software,p&tluxembourg,gameloft,
consumer services,technology,,broadcasting & entertainment,internet,radio luxembourg,gandi,
industrials,consumer services,,business support services,broadcasting & entertainment,regus,gaumont,
financials,health care,,investment services,biotechnology,reinet investments,genset,
industrials,industrials,,industrial machinery,transportation services,rotarex,getlink,
consumer services,financials,,broadcasting & entertainment,banks,rtl group,groupe bpce,
consumer services,technology,,publishing,computer hardware,saint-paul luxembourg,groupe bull,
telecommunications,consumer services,,mobile telecommunications,broadline retailer,ses s.a.,groupe casino,
