02-GioPonSpiz-industry,05-MalPatSaj-industry,06-MarScoToc-industry,02-GioPonSpiz-sector,05-MalPatSaj-sector,02-GioPonSpiz-name,05-MalPatSaj-name,06-MarScoToc-name
technology,basic materials,bookselling,software,commodity chemicals,draim,semperit,barnes & noble
technology,industrials,metals and mining,software,electronic equipment,ea dice,skidata,barrick gold
industrials,industrials,chemicals,business support services,defense,elanders,steyr mannlicher,basf
consumer goods,industrials,food and beverage,durable household products,auto components,electrolux,steyr motors gmbh,baskin-robbins
health care,consumer goods,shoemaking retail manufacture of leather and related products,health care providers,automobiles,elekta,steyr tractor,bata corporation
consumer goods,industrials,retail,recreational products,heavy construction,elektron,strabag,bath & body works
consumer goods,consumer goods,internet artificial intelligence cloud computing,furnishings,distillers & vintners,elfa international,stroh,baidu
consumer services,consumer goods,pharmaceuticals chemicals biotechnology healthcare,broadline retailers,clothing & accessories,ellos,swarovski,bayer
technology,robotics,"medical equipment, consulting",software,autonomous robots,enea ab,taurob,bd (company)
technology,telecommunications,major appliances small appliances electronics technology,internet,fixed line telecommunications,eniro,telekom austria,beko
technology,consumer services,mass media,internet,travel & tourism,epidemic sound,tourradar,bertelsmann
technology,consumer goods,fashion,telecommunications equipment,automobiles,ericsson,tushek&spigel supercars,benetton group
industrials,financials,retail,business support services,full line insurance,esab,uniqa,best buy
utilities,utilities,telecommunications,conventional electricity,alternative electricity,eskilstuna energy and environment,verbund,bharti airtel
industrials,financials,conglomerate,industrial suppliers,full line insurance,esselte,vienna insurance group,bharti enterprises
industrials,basic materials,conglomerate,business support services,iron & steel,european spallation source,voestalpine,bihl
industrials,industrials,textile,building materials & fixtures,building materials & fixtures,fagerhult group,wienerberger,billabong (clothing)
technology,industrials,power tools home improvement products hardware fastening technology,software,building materials & fixtures,fatshark,zumtobel lighting group,black+decker
consumer goods,consumer services,investment management,clothing & accessories,airlines,fjällräven,abelag aviation,blackrock
industrials,health care,automotive,business support services,biotechnology,fkab,ablynx,bmw
financials,conglomerates,consumer electronics,banks,-,föreningsbanken,ackermans & van haaren,bbk electronics
financials,industrials,mass media,investment services,industrial engineering,forex bank,af compressors,bbc
technology,financials,financial services,software,real estate holding and development,frictional games,ag real estate,bnp paribas
consumer goods,financials,audio electronics,clothing & accessories,consumer finance,galvin green,ageas,bose corporation
consumer goods,technology,aerospace defense,food products,computer services,gb glace,agfa-gevaert,boeing
consumer services,industrials,aerospace,broadline retailers,business support services,gekås,agoria,bombardier inc.
health care,technology,retail entertainment,medical equipment,computer services,getinge group,aim productions,books-a-million
industrials,consumer goods,conglomerate,heavy construction,food products,göinge mekaniska,alpro,bouygues
industrials,consumer goods,conglomerate,delivery services,brewers,green cargo,anheuser-busch inbev,brac (organisation)
conglomerates,utilities,manufacturing,-,water,grimaldi industri,antwerp water works,braun (company)
industrials,utilities,auto and truck parts,business support services,water,gunnebo group,aquafin,bridgestone
consumer services,industrials,auto and truck parts,apparel retailers,delivery services,h&m,asl airlines belgium,british airways
consumer goods,consumer goods,oil and gas,recreational products,clothing and accessories,haglöfs,associated weavers,bp
consumer goods,consumer goods,fashion,recreational products,farming and fishing,hagström,aveve,burberry
consumer goods,industrials,telecommunications,auto parts,delivery services,haldex,aviapartner,bt group
consumer goods,technology,internet,recreational products,computer hardware,hallberg-rassy,barco,bytedance
financials,industrials,electric automotive,banks,business support services,handelsbanken,base,byd auto
consumer goods,consumer goods,confectionery,recreational products,clothing and accessories,hasselblad,beaulieu international group,cadbury
consumer services,financials,video games,specialty retailers,real estate holding and development,hästens,befimmo,capcom
consumer goods,basic materials,electronics,clothing & accessories,specialty chemicals,hestra,bekaert,canon inc.
industrials,consumer services,information technology consulting outsourcing,business support services,restaurants and bars,hexagon ab,belgian beer café,capgemini
telecommunications,financials,electronics,fixed line telecommunications,specialty finance,hms industrial networks,belgian investment company for developing countries,casio
basic materials,industrials,financial services,iron & steel,delivery services,höganäs ab,bpost,capital one
basic materials,consumer services,conglomerate,paper,airlines,holmen,brussels airlines,cargill
consumer goods,financials,conglomerate,automobiles,specialty finance,husaberg,brussels regional investment company,cargolux
industrials,basic materials,conglomerate,industrial suppliers,iron and steel,husqvarna group,cockerill sambre,caribbean airlines
industrials,basic materials,beverages,commercial vehicles & trucks,general mining,hydrauliska industri ab,carmeuse,carlsberg group
technology,consumer goods,retail wholesaling,software,toys,iar systems,cartamundi,carrefour
consumer services,consumer goods,heavy equipment engines financial services,broadline retailers,food products,ica gruppen,cavalier chocolate,caterpillar inc.
technology,industrials,electronics,software,commercial vehicles and trucks,ifs ab,claeys,celestica
financials,financials,"telecommunications, consumer electronics",banks,real estate services,ikano bank,cofinimmo,celkon
technology,consumer services,retail,software,food retailers and wholesalers,imint image intelligence ab,colruyt group,cencosud
