founded,industry,headquarters,name,size,website
2004,pharmaceuticals,"redwood city, ca",proteus digital health careers,201 to 500 employees,www.proteus.com
2016,information technology & services,"bedminster, nj",zelis careers,"1,001 to 5,000 employees",www.zelis.com
2013,real estate,"burlingame, ca",upnest careers,1 to 50 employees,www.upnest.com
2013,broadcast & online media,"menlo park, ca",conferacity careers,1 to 50 employees,conferacity.com
2010,computer software,"bellevue, wa",zenoti careers,"501 to 1,000 employees",www.zenoti.com
2016,insurance,"marina del rey, ca",leaselock careers,51 to 200 employees,leaselock.com
2013,computer software,"menlo park, ca",kespry careers,51 to 200 employees,www.kespry.com
2008,marketing & advertising,"new york, ny",newscred careers,201 to 500 employees,www.newscred.com
2017,information technology & services,"hyderabad, india",brane enterprises careers,201 to 500 employees,nslhub.com
1930,insurance,"glen allen, va",markel careers,"1,001 to 5,000 employees",www.markel.com
2012,venture capital & private equity,"san mateo, ca",eso fund careers,1 to 50 employees,www.esofund.com
2013,food & beverages,"boston, ma",indigo ag careers,"501 to 1,000 employees",www.indigoag.com
1988,insurance,"warren, nj","msig holdings (americas), inc. careers",201 to 500 employees,www.msigusa.com
2004,internet,"luxembourg city, luxembourg",mindgeek careers,"1,001 to 5,000 employees",mindgeek.com
2000,computer & network security,"san jose, ca",forescout technologies careers,"1,001 to 5,000 employees",www.crunchbase.com/rank_/entity
1989,broadcast & online media,"los angeles, ca",marketplace careers,51 to 200 employees,www.marketplace.org
1988,semiconductors,"milpitas, ca",sandisk careers,"5,001 to 10,000 employees",www.sandisk.com
2014,consumer goods,"mountain view, ca",wag careers,51 to 200 employees,www.wagwalking.com
2017,"apparel, fashion & luxury","brooklyn, ny",maisonette careers,51 to 200 employees,www.maisonette.com
1994,industrial automation,"marina, ca",fox thermal careers,1 to 50 employees,www.foxthermal.com
2009,management consulting,"washington, dc",optimity advisors careers,201 to 500 employees,www.optimityadvisors.com
2010,information technology & services,"san jose, ca",potenit careers,1 to 50 employees,potenit.com
1979,computer hardware,"neenah, wi",plexus careers,"10,000+ employees",www.plexus.com
2015,biotechnology,"san diego, ca",curematch careers,1 to 50 employees,www.curematch.com
1991,marketing & advertising,"long beach, ca",intertrend communications careers,51 to 200 employees,www.intertrend.com
2018,computer software,"los angeles, ca",emotive careers,51 to 200 employees,emotive.io
2010,internet,"new york, ny",joor careers,51 to 200 employees,www.joor.com
2016,marketing & advertising,"columbia, md",blend360 careers,201 to 500 employees,www.blend360.com
1983,telecommunications,"dallas, tx",at&t careers,"10,000+ employees",www.att.com
1993,computer software,"chicago, il",nvisia careers,51 to 200 employees,www.nvisia.com
2019,computer software,"chicago, il",mastery careers,51 to 200 employees,mastery.net
1853,"apparel, fashion & luxury","san francisco, ca",levi strauss & co. careers,"10,000+ employees",www.levi.com
2004,internet,"austin, tx",x-team careers,201 to 500 employees,x-team.com
1960,marketing & advertising,"sacramento, ca",rse careers,51 to 200 employees,www.rs-e.com
1968,legal services,"miami, fl",holland & knight careers,"1,001 to 5,000 employees",www.hklaw.com
2011,e-learning,"san francisco, ca",mystery science careers,1 to 50 employees,www.mystery.org
