foundation_year,headquarter,industry,name,ownership
1968,"mumbai, maharashtra, india",it services & consulting,tcs,public
1989,"dublin, ireland",it services & consulting,accenture,public
1994,"teaneck. new jersey., united states (usa)",it services & consulting,cognizant,private
1994,"mumbai, maharashtra, india",banking,icici bank,public
1994,"mumbai, maharashtra, india",banking,hdfc bank,public
1945,"bangalore/bengaluru, karnataka, india",it services & consulting,wipro,public
1981,"bengaluru/bangalore, karnataka, india",it services & consulting,infosys,public
1967,"paris, france",it services & consulting,capgemini,public
1986,"pune, maharashtra, india",it services & consulting,tech mahindra,public
1997,"new york, new york, united states (usa)",it services & consulting,genpact,public
1991,,it services & consulting,hcltech,public
1994,"seattle,washington, united states",internet,amazon,public
1993,"mumbai, maharashtra, india",banking,axis bank,public
1911,"armonk,new york, united states",software product,ibm,public
1983,"fremont, california, united states (usa)",bpo,concentrix corporation,public
2007,"navi mumbai, maharashtra, india",telecom,reliance jio,public
1946,"mumbai, maharashtra, india",engineering & construction,larsen & toubro limited,public
2007,"ahmedabad, gujrat, india",nbfc,hdb financial services,private
2018,"gandhinagar, gujrat, india",it services & consulting,vodafone idea,public
1978,"paris, france",bpo,teleperformance,private
2006,"navi mumbai, maharashtra, india",retail,reliance retail,private
2003,"mumbai, maharashtra, india",banking,kotak mahindra bank,public
1845,"new york, new york, united states (usa)",management consulting,deloitte,private
1973,"navi mumbai, maharashtra, india",oil & gas,reliance industries,public
1995,"gurgaon/gurugram, haryana, india",telecom,bharti airtel,public
1945,"pune, maharashtra, india",automobile,tata motors,public
2011,"bangalore,karnataka, india",edtech,byju's,private
2007,"bangalore,karnataka, india",internet,flipkart,public
1996,"mumbai, maharashtra, india",analytics & kpo,wns,private
1945,"mumbai, maharashtra, india",automobile,mahindra & mahindra,public
1994,"gurgaon/gurugram, haryana, india",banking,indusind bank,public
1989,"london, england",consulting,ernst & young,private
2017,"minato,tokyo, japan",it services & consulting,dxc technology,public
2000,"bangalore/bengaluru, karnataka, india",bpo,hinduja global solutions,public
2002,"bangalore/bengaluru, karnataka, india",bpo,infosys bpm,
1983,"new delhi, delhi, india",automobile,maruti suzuki,public
2018,"mumbai, maharashtra, india",banking,idfc first bank,public
2002,"pune, maharashtra, india",banking,hsbc,private
2007,"pune,maharashtra, india",insurance,bajaj finserv,public
1876,"stockholm,stockholm county, sweden",telecom,ericsson,private
2002,"mumbai, maharashtra, india",analytics & kpo,conneqt business solutions,private
1998,"bangalore/bengaluru, karnataka, india",it services & consulting,mphasis,public
2017,"mumbai, maharashtra, india",bpo,startek,public
