address,est_of_ownership,hhid,industry,name,country,sic_code,type
"via guidubaldo del monte 45, roma, 00197, roma, italy",1999,h-it0067043127,"transportation, communications, electric, gas, and sanitary services",acquirente unico spa,italy,electric services (4911),corporation
"viale gerard richard gumpert 1, verona, 37137, verona, italy",1984,h-it0010567739,retail trade,volkswagen group italia spa,italy,ret new/used automobiles (5511),corporation
"piazza marcello boldrini 1, san donato milanese, 20097, milano, italy",1989,h-it0064072819,manufacturing,versalis spa,italy,mfg chemical preparations (2899),corporation
"via dei sette santi 3, firenze, 50131, firenze, italy",1886,h-it0022029265,manufacturing,a. menarini industrie farmaceutiche riunite srl,italy,mfg pharmaceutical preparations (2834),corporation
"via mantova 166, parma, 43122, parma, italy",1978,h-it0029320852,"finance, insurance, and real estate",barilla holding srl,italy,holding company (6719),corporation
"via mantova 166, parma, 43122, parma, italy",1984,h-it0064643417,"finance, insurance, and real estate",guido m. barilla e f.lli sapa,italy,holding company (6719),corporation
"via modena 53, castelvetro di modena, 41014, modena, italy",1966,h-it0013386905,"finance, insurance, and real estate",cremonini spa,italy,holding company (6719),corporation
"via modena 53, castelvetro di modena, 41014, modena, italy",1985,h-it0075279762,"finance, insurance, and real estate",cremofin srl,italy,holding company (6719),corporation
"viale avvocato giovanni agnelli 10, atessa, 66041, chieti, italy",1978,h-it0011629053,manufacturing,societa' europea veicoli leggeri sevel spa,italy,mfg motor vehicle/car bodies (3711),corporation
"via abetone inferiore 2, maranello, 41053, modena, italy",1947,h-it0010782370,manufacturing,ferrari - societa'per azioni esercizio fabbriche automobili e corse,italy,mfg motor vehicle/car bodies (3711),corporation
"strada dell'universita' 1, parma, 43121, parma, italy",1988,h-it0069830649,"finance, insurance, and real estate",credit agricole vita spa,italy,life insurance carrier (6311),corporation
"contrada marcellino c.p. 88 snc, augusta, 96011, siracusa, italy",2018,h-it0062076590,manufacturing,sonatrach raffineria italiana srl,italy,petroleum refiner (2911),corporation
"via villanova 29/7, castenaso, 40055, bologna, italy",1923,h-it0048664421,retail trade,coop alleanza 3.0 soc coop,italy,ret groceries (5411),corporation
"via dei laghi 31/33, civitella in val di chiana, 52041, arezzo, italy",1974,h-it0010938249,manufacturing,chimet spa,italy,primary nonferrous metal producer (3339),corporation
"viale certosa 249, milano, 20151, milano, italy",2012,h-it0007097441,"finance, insurance, and real estate",riva forni elettrici spa,italy,holding company (6719),corporation
"via felice matteucci 2, firenze, 50127, firenze, italy",1954,h-it0008020531,"finance, insurance, and real estate",nuovo pignone holding spa,italy,holding company (6719),corporation
"via di porta pinciana 4, roma, 00187, roma, italy",1999,h-it0071035370,"finance, insurance, and real estate",zeor finanziaria spa,italy,holding company (6719),corporation
"via alberto bergamini 50, roma, 00159, roma, italy",1950,h-it0072798300,"transportation, communications, electric, gas, and sanitary services",autostrade per l'italia spa,italy,transportation services (4789),corporation
"piazza della croce rossa 1, roma, 00161, roma, italy",1905,h-it0008914621,"transportation, communications, electric, gas, and sanitary services",trenitalia spa,italy,railroad line-haul operator (4011),corporation
"via ennio quirino visconti 80, roma, 00193, roma, italy",1980,h-it0003516644,"finance, insurance, and real estate",fideuram vita spa,italy,life insurance carrier (6311),corporation
"via bresciani 16, gazoldo degli ippoliti, 46040, mantova, italy",2015,h-it0046685529,manufacturing,marcegaglia holding srl,italy,mfg steel pipe/tubes (3317),corporation
"via guglielmo jervis 13, ivrea, 10015, torino, italy",2002,h-it0065547691,"transportation, communications, electric, gas, and sanitary services",vodafone italia spa,italy,telephone communications (4813),corporation
"foro buonaparte 31, milano, 20121, milano, italy",1986,h-it0073491527,"transportation, communications, electric, gas, and sanitary services",edison energia spa,italy,electric services (4911),corporation
"localita' san zeno zona industriale strada a 32, arezzo, 52100, arezzo, italy",1984,h-it0034827331,manufacturing,italpreziosi spa,italy,primary nonferrous metal producer (3339),corporation
"piazza luigi amedeo duca degli abruzzi 2, trieste, 34132, trieste, italy",1831,h-it0009234624,"finance, insurance, and real estate",assicurazioni generali spa,italy,life insurance carrier (6311),corporation
"via plava 80, torino, 10135, torino, italy",1969,h-it0009740473,retail trade,groupe psa italia spa,italy,ret new/used automobiles (5511),corporation
"via pietro paleocapa 3, milano, 20121, milano, italy",1978,h-it0009613331,"finance, insurance, and real estate",finanziaria d'investimento fininvest spa,italy,misc business credit institutions (6159),corporation
"via goito 4, roma, 00185, roma, italy",1946,h-it0067760325,"finance, insurance, and real estate",cassa depositi e prestiti spa,italy,national commercial bank (6021),corporation
"strada statale per novi ligure 3/13, tortona, 15057, alessandria, italy",1983,h-it0038913984,"finance, insurance, and real estate",aurelia srl,italy,holding company (6719),corporation
"via valpantena 18/g, verona, 37142, verona, italy",1967,h-it0008022720,wholesale trade,a.i.a. agricola italiana alimentare spa,italy,whol meats/products (5147),corporation
"piazza nogara 2, verona, 37121, verona, italy",2016,h-it0053576578,"finance, insurance, and real estate",banco bpm spa,italy,national commercial bank (6021),corporation
"piazzale ostiense 2, roma, 00154, roma, italy",1908,h-it0025525573,"transportation, communications, electric, gas, and sanitary services",acea spa,italy,electric services (4911),corporation
"via giovanni da verrazzano 15, novara, 28100, novara, italy",2012,h-it0005985013,"finance, insurance, and real estate",b&d holding spa,italy,holding company (6719),corporation
"via giovanni da verrazzano 15, novara, 28100, novara, italy",1901,h-it0049388177,"finance, insurance, and real estate",de agostini spa,italy,holding company (6719),corporation
"via caldera 21, milano, 20153, milano, italy",1965,h-it0074764403,retail trade,gs spa,italy,ret groceries (5411),corporation
"via angelo scarsellini 14, milano, 20161, milano, italy",1990,h-it0069629781,"finance, insurance, and real estate",cnp vita assicurazione spa,italy,life insurance carrier (6311),corporation
"via angelo scarsellini 14, milano, 20161, milano, italy",1988,h-it0061929387,"finance, insurance, and real estate",cnp vita assicura spa,italy,life insurance carrier (6311),corporation
"via del rame snc, perugia, 06134, perugia, italy",1972,h-it0023035021,wholesale trade,pac 2000 a soc coop,italy,whol groceries (5149),cooperative
"via antonio fogazzaro 28, milano, 20135, milano, italy",2014,h-it0044271190,"finance, insurance, and real estate",ludo spa,italy,holding company (6719),corporation
"via lungarno 1213-61, terranuova bracciolini, 52028, arezzo, italy",1990,h-it0026598132,retail trade,prada spa,italy,ret family clothing (5651),corporation
"viale certosa 239, milano, 20151, milano, italy",1995,h-it0061222844,manufacturing,acciaierie d'italia spa,italy,blast furnace-steel works (3312),corporation
"viale certosa 239, milano, 20151, milano, italy",2016,h-it0051081903,manufacturing,acciaierie d'italia holding spa,italy,blast furnace-steel works (3312),corporation
"via durini 1, milano, 20122, milano, italy",2012,h-it0007437188,"finance, insurance, and real estate",allianz global investors gmbh,italy,misc business credit institutions (6159),foreign company
"via angelo rizzoli 4, milano, 20132, milano, italy",2018,h-it0063085380,wholesale trade,sony europe b.v.,italy,whol non durable goods (5199),foreign company
"via alessandro algardi 4, milano, 20148, milano, italy",1999,h-it0008852677,"transportation, communications, electric, gas, and sanitary services",sorgenia spa,italy,electric services (4911),corporation
"via san protaso 5, milano, 20121, milano, italy",2014,h-it0042738679,"finance, insurance, and real estate",f2i er 1 spa,italy,holding company (6719),corporation
"corso re umberto 10, torino, 10121, torino, italy",1974,h-it0003008487,"finance, insurance, and real estate",fimedi spa,italy,holding company (6719),corporation
