name,headquarters,founded,industry,sector,notes,founders,key_people,number_of_employees,operating_income,revenue,services,total_assets,type,website,area_served
tallink,tallinn,1989,industrials,marine transportation,ferry traffic,,,,,,,,,,
tallinna linnatranspordi as,tallinn,1991,consumer services,travel & tourism,public transport operator in tallinn,,,,,,,,,,
tänapäev,tallinn,1999,consumer services,publishing,publisher,,,,,,,,,,
tartu mill,tartu,2000,consumer goods,food products,grain,,,,,,,,,,
telia eesti,tallinn,1993,telecommunications,fixed line telecommunications,telecommunications services,,,,,,,,,,
tondi elektroonika,tallinn,1959,industrials,electronic equipment,electronic components,,,,,,,,,,
topten,tallinn,?,consumer services,broadcasting & entertainment,recording studio,,,,,,,,,,
ülemiste keskus,tallinn,?,consumer services,broadline retailers,shopping center,,,,,,,,,,
varrak,tallinn,1991,consumer services,publishing,book publisher,,,,,,,,,,
viru keemia grupp,kohtla-järve,1924,oil & gas,exploration & production,shale extractor,,,,,,,,,,
vkg elektrivõrgud,narva,1993,utilities,conventional electricity,electrical distribution,,,,,,,,,,
zeroturnaround,tartu,2007,technology,software,software development,,,,,,,,,,
ahlstrom,helsinki,1851,basic materials,basic resources,fiber materials,,,,,,,,,,
aktia bank,helsinki,1991,financials,banks,finance,,,,,,,,,,
alko,helsinki,1932,consumer services,specialty retailers,state alcoholic beverage retailer,,,,,,,,,,
alma media,helsinki,1849,consumer services,publishing,digital media,,,,,,,,,,
altia,helsinki,1999,consumer goods,distillers & vintners,alcoholic beverages,,,,,,,,,,
amer sports,helsinki,1950,consumer goods,recreational products,sporting equipment,,,,,,,,,,
bank of åland,mariehamn,1919,financials,banks,finance,,,,,,,,,,
basware,espoo,1985,technology,software,computer software,,,,,,,,,,
bittium,oulu,1985,consumer goods,consumer electronics,electronics,,,,,,,,,,
cargotec,helsinki,2005,industrials,transportation services,cargo-handling machinery,,,,,,,,,,
codenomicon,oulu,2001,technology,software,computer security testing,,,,,,,,,,
dna oyj,helsinki,2000,telecommunications,mobile telecommunications,telecommunications services,,,,,,,,,,
eckerö line,helsinki,1995,industrials,marine transportation,shipping,,,,,,,,,,
eks,espoo,1955,consumer goods,consumer electronics,disc jockey hardware,,,,,,,,,,
elisa,helsinki,1882,telecommunications,fixed line telecommunications,telecommunications services,,,,,,,,,,
fazer,helsinki,1891,consumer services,restaurants & bars,food and restaurants,,,,,,,,,,
fingrid,helsinki,1996,utilities,conventional electricity,electricity transmission,,,,,,,,,,
finnair,vantaa,1923,consumer services,airlines,airline,,,,,,,,,,
finnlines,helsinki,1947,industrials,marine transportation,shipping,,,,,,,,,,
fiskars,helsinki,1649,consumer goods,durable household products,"kitchen, garden, and outdoors equipment",,,,,,,,,,
fortum,espoo,1998,utilities,alternative electricity,energy,,,,,,,,,,
f-secure,helsinki,1988,technology,software,computer software,,,,,,,,,,
hartwall,helsinki,1836,consumer goods,soft drinks,beverages,,,,,,,,,,
hesburger,turku,1966,consumer services,retail,fast food restaurants,,,,,,,,,,
hkscan,turku,1913,consumer goods,restaurants & bars,food,,,,,,,,,,
holvi,helsinki,2011,financials,banking,online business banking,,,,,,,,,,
huhtamäki,espoo,1920,industrials,containers & packaging,food packaging,,,,,,,,,,
kemira,helsinki,1920,basic materials,specialty chemicals,chemicals,,,,,,,,,,
kemppi,lahti,1949,industrials,business support services,welding,,,,,,,,,,
kesko,helsinki,1940,consumer services,broadline retailers,retailing,,,,,,,,,,
kone,helsinki,1910,industrials,industrial machinery,elevators and escalators,,,,,,,,,,
konecranes,hyvinkää,1994,industrials,industrial machinery,lifting equipment,,,,,,,,,,
