,market_cap,revenue,net_income,gbp
133,doll_11.511 b,0,0,0
134,doll_8.812999999999999 b,0,0,doll_11.558 b
135,doll_11.568000000000001 b,0,0,0
136,doll_11.598 b,0,0,0
137,doll_8.986 b,0,0,doll_11.784 b
138,doll_11.92 b,0,0,0
139,doll_11.98 b,0,0,0
140,doll_12.112 b,0,0,0
141,doll_12.120000000000001 b,0,0,0
142,doll_11.051 b,0,0,doll_12.211 b
143,doll_1074.0 b,0,0,doll_12.274 b
144,doll_12.359 b,0,0,doll_12.359 b
145,doll_12.413 b,0,0,0
146,doll_12.498000000000001 b,0,0,0
147,doll_98.048 b,0,0,doll_12.516 b
148,doll_9.596 b,0,0,doll_12.584 b
149,doll_15514.0 b,0,0,doll_12.664 b
150,doll_9754.0 b,0,0,doll_7.962000000000001 b
151,doll_8.016 b,0,0,0
152,doll_7.284999999999999 b,0,0,doll_8.049 b
153,doll_8.092 b,0,0,0
154,doll_10.803 b,0,0,doll_8.103 b
155,doll_8.26 b,0,0,0
156,doll_7.534000000000001 b,0,0,doll_8.324 b
157,doll_10.49 b,0,0,doll_8.379999999999999 b
158,doll_8.467 b,0,0,0
159,doll_8.503 b,0,0,0
160,doll_8.649 b,0,0,0
161,doll_8.716 b,0,0,0
162,doll_8.717 b,0,0,0
163,doll_6.656999999999999 b,0,0,doll_8.731 b
164,doll_10.948 b,0,0,doll_8.745999999999999 b
165,doll_8.764 b,0,0,0
166,doll_10.986 b,0,0,doll_8.776 b
167,doll_8.876000000000001 b,0,0,0
168,doll_8.876999999999999 b,0,0,0
169,doll_11.958 b,0,0,doll_8.969 b
170,doll_8.982 b,0,0,0
171,doll_9.034 b,0,0,0
172,doll_70.863 b,0,0,doll_9.046 b
173,doll_9.067 b,0,0,0
174,doll_8.213 b,0,0,doll_9.074 b
175,doll_8.418000000000001 b,0,0,doll_9.301 b
176,doll_8.538 b,0,0,doll_9.434000000000001 b
177,doll_11.885 b,0,0,doll_9.494 b
178,doll_11.887 b,0,0,doll_9.495999999999999 b
179,doll_9.501999999999999 b,0,0,0
180,doll_60.662 b,0,0,doll_9.534 b
181,doll_7.339 b,0,0,doll_9.623999999999999 b
182,doll_9.698 b,0,0,0
183,doll_7.337999999999999 b,0,0,0
184,doll_6.811 b,0,0,doll_7.358 b
185,doll_7.372 b,0,0,0
186,doll_7.398999999999999 b,0,0,0
187,doll_7.417 b,0,0,0
188,doll_9.361 b,0,0,doll_7.478 b
189,doll_7.479000000000001 b,0,0,0
190,doll_7.491 b,0,0,0
191,doll_7.615 b,0,0,0
192,doll_7.698 b,0,0,0
193,doll_7.709999999999999 b,0,0,0
194,doll_7.76 b,0,0,0
195,doll_7.837999999999999 b,0,0,0
196,doll_49.876999999999995 b,0,0,doll_7.839 b
197,doll_49.896 b,0,0,doll_7.8420000000000005 b
198,doll_7.119 b,0,0,doll_7.866 b
199,doll_9.916 b,0,0,doll_7.922 b
200,doll_6.269 b,0,0,0
201,doll_6.269 b,0,0,0
202,doll_5.679 b,0,0,doll_6.275 b
203,doll_6.287 b,0,0,0
204,doll_6.308 b,0,0,0
205,doll_6.325 b,0,0,0
206,doll_7770.0 b,0,0,doll_6.343 b
207,doll_43.349000000000004 b,0,0,doll_6.44 b
208,doll_76082.0 b,0,0,doll_6.459999999999999 b
209,doll_7922.0 b,0,0,doll_6.465999999999999 b
210,doll_6.5040000000000004 b,0,0,0
211,doll_6.553 b,0,0,0
212,doll_6.564 b,0,0,0
213,doll_6.574 b,0,0,0
214,doll_6.589 b,0,0,0
215,doll_6.635 b,0,0,0
216,doll_6.662000000000001 b,0,0,0
217,doll_9.055 b,0,0,doll_6.6739999999999995 b
218,doll_42.549 b,0,0,doll_6.687 b
219,doll_6.695 b,0,0,0
220,doll_6.220000000000001 b,0,0,doll_6.718999999999999 b
221,doll_8.959 b,0,0,doll_6.720000000000001 b
222,doll_6.731 b,0,0,0
223,doll_6.749 b,0,0,0
224,doll_6.749 b,0,0,0
225,doll_6.7540000000000004 b,0,0,0
226,doll_6.163 b,0,0,doll_6.809 b
227,doll_8345.0 b,0,0,doll_6.811 b
228,doll_6.175 b,0,0,doll_6.823 b
229,doll_6.868 b,0,0,0
230,doll_5890.0 b,0,0,doll_6.869 b
231,doll_6.38 b,0,0,doll_6.893000000000001 b
232,doll_6.931 b,0,0,0
233,doll_1423.0 b,0,0,doll_6.945 b
234,doll_6.326 b,0,0,doll_6.99 b
235,doll_6.349 b,0,0,doll_7.015000000000001 b
236,doll_7.0200000000000005 b,0,0,0
237,doll_6.354 b,0,0,doll_7.0200000000000005 b
238,doll_7.055 b,0,0,0
239,doll_7.081 b,0,0,0
240,doll_5.451 b,0,0,doll_7.148000000000001 b
241,doll_6.470999999999999 b,0,0,doll_7.15 b
242,doll_7.19 b,0,0,0
243,doll_1033450.0 b,0,0,doll_7.191 b
244,doll_1429.0 b,0,0,doll_7.196 b
245,doll_7.215999999999999 b,0,0,0
246,doll_7.231 b,0,0,0
247,doll_8958.0 b,0,0,doll_7.312 b
248,doll_7.325 b,0,0,0
249,doll_7.333 b,0,0,0
250,doll_4.463 b,0,0,doll_5.853 b
251,doll_5.87 b,0,0,0
252,doll_5.34 b,0,0,doll_5.901 b
253,doll_37.708 b,0,0,doll_5.926 b
254,doll_5.946 b,0,0,0
255,doll_22.307 b,0,0,doll_5.947 b
256,doll_46.61 b,0,0,doll_5.95 b
257,doll_4.277 b,0,0,doll_5.953 b
258,doll_7.939 b,0,0,doll_5.955 b
259,doll_5.965 b,0,0,0
260,doll_5.965999999999999 b,0,0,0
261,doll_5.9670000000000005 b,0,0,0
262,doll_46.808 b,0,0,doll_5.975 b
263,doll_46.816 b,0,0,doll_5.976 b
264,doll_5.412 b,0,0,doll_5.9799999999999995 b
265,doll_5.995 b,0,0,0
266,doll_7.518000000000001 b,0,0,doll_6.006 b
267,doll_47.148 b,0,0,doll_6.019 b
268,doll_57.147000000000006 b,0,0,doll_6.0969999999999995 b
269,doll_5.531000000000001 b,0,0,doll_6.111 b
270,doll_5.561999999999999 b,0,0,doll_6.146 b
271,doll_4.702 b,0,0,doll_6.167 b
272,doll_6.173 b,0,0,0
273,doll_6.2 b,0,0,0
274,doll_6.2170000000000005 b,0,0,0
275,doll_6.218999999999999 b,0,0,0
276,doll_7621.0 b,0,0,doll_6.220000000000001 b
277,doll_6.258 b,0,0,0
278,doll_6.266 b,0,0,0
279,doll_6.266 b,0,0,0
