,market_value_jan_2020,market_value_jan_2021,annual_revenue_usd,annual_net_income_usd,revenue,market_capitalization_2022,total_assets_in_usd,total_equity_in_usd,total_liabilities_in_usd
61,,,doll_56.414 m,doll_14.566 m,,,doll_1.115.900 m,doll_101.780 m,doll_1.014.100 m
62,,,doll_168.860 m,doll_19.870 m,,,doll_551.620 m,doll_183.860 m,doll_367.770 m
63,,,doll_97.287 m,doll_12.890 m,,,doll_69.405 m,doll_14.269 m,doll_55.136 m
64,,,doll_24.002 m,doll_4.797 m,,,doll_17.713 m,doll_11.246 m,doll_6.467 m
65,,,doll_18.970 m,doll_2.318 m,,,doll_44.772 m,doll_13.479 m,doll_31.294 m
66,,,doll_23.222 m,doll_7.545 m,,,doll_53.606 m,doll_-4.601 m,doll_58.207 m
67,,,doll_48.553 m,doll_17.790 m,,,doll_1.453.000 m,doll_134.910 m,doll_1.318.100 m
68,,,doll_52.877 m,doll_24.021 m,,,doll_131.800 m,doll_67.655 m,doll_64.140 m
69,,,doll_33.560 m,doll_9.040 m,,,doll_41.240 m,doll_9.950 m,doll_31.290 m
70,,,doll_18.996 m,doll_5.855 m,,,doll_667.270 m,doll_56.261 m,doll_611.010 m
71,,,doll_37.417 m,112 million usd,,,doll_105.360 m,doll_39.268 m,doll_66.095 m
72,,,doll_180.640 m,doll_-21.680 m,,,,,
73,,,doll_45.066 m,doll_21.391 m,,,doll_65.881 m,doll_33.759 m,doll_32.122 m
74,,,doll_21.804 m,doll_6.523 m,,,doll_63.525 m,doll_14.161 m,doll_49.364 m
75,,,doll_18.344 m,doll_7.769 m,,,doll_24.676 m,doll_13.333 m,doll_11.343 m
76,,,doll_96.250 m,doll_8.409 m,,,doll_46.735 m,doll_1.437 m,doll_45.298 m
77,,,doll_17.069 m,doll_3.573 m,,,doll_140.910 m,doll_37.202 m,doll_103.710 m
78,,,doll_30.793 m,doll_3.826 m,,,doll_81.605 m,doll_44.035 m,doll_3.570 m
79,,,doll_9.898 m,doll_2.695 m,,,doll_15.259 m,doll_10.359 m,doll_4.901 m
80,,,doll_34.392 m,doll_5.542 m,,,doll_64.470 m,doll_18.569 m,doll_45.901 m
81,,,doll_202.290 m,doll_15.964 m,,,doll_1.593.300 m,doll_127.630 m,doll_1.465.700 m
82,,,doll_31.405 m,doll_9.109 m,,,doll_41.290 m,doll_-10.106 m,doll_51.396 m
83,,,doll_72.397 m,doll_6.437 m,,,doll_222.420 m,doll_52.518 m,doll_169.900 m
84,,,doll_16.434 m,doll_3.162 m,,,doll_12.419 m,doll_7.497 m,doll_4.922 m
85,,,doll_35.376 m,doll_12.230 m,,,doll_1.363.000 m,doll_78.815 m,doll_1.284.200 m
86,,,doll_28.141 m,doll_-3.698 m,,,doll_37.807 m,doll_19.734 m,doll_18.073 m
87,,,doll_12.726 m,doll_2.066 m,,,doll_27.734 m,doll_16.441 m,doll_11.293 m
88,,,doll_104.700 m,doll_35.097 m,,,doll_4.230.200 m,doll_352.360 m,doll_3.877.800 m
89,,,doll_30.682 m,doll_5.791 m,,,doll_78.428 m,doll_42.816 m,doll_35.612 m
90,,,doll_292.110 m,doll_7.910 m,,,doll_233.000 m,doll_75.075 m,doll_157.920 m
91,,,doll_184.630 m,doll_16.032 m,,,doll_293.460 m,doll_111.740 m,doll_181.720 m
92,,,doll_68.616 m,doll_6.788 m,,,doll_153.540 m,doll_48.664 m,doll_104.870 m
93,,,doll_46.385 m,doll_6.994 m,,,doll_109.310 m,doll_35.946 m,doll_73.368 m
94,,,doll_31.677 m,doll_5.038 m,,,doll_90.954 m,doll_52.706 m,doll_38.248 m
95,,,doll_5.511 m,doll_2.214 m,,,doll_16.958 m,doll_15.861 m,doll_1.098 m
96,,,doll_4.611 m,doll_2.914 m,,,doll_13.340 m,doll_11.133 m,doll_2.206 m
97,,,doll_70.765 m,doll_5.450 m,,,doll_134.840 m,doll_16.940 m,doll_117.900 m
98,,,doll_380.440 m,doll_13.413 m,,,doll_364.130 m,doll_205.020 m,doll_159.110 m
99,,,doll_32.501 m,doll_10.803 m,,,doll_1.329.300 m,doll_76.756 m,doll_1.252.500 m
100,,,doll_57.793 m,doll_6.666 m,,,doll_82.755 m,doll_18.852 m,doll_63.903 m
101,,,doll_63.644 m,doll_12.607 m,,,doll_2.957.900 m,doll_198.250 m,doll_2.759.700 m
102,,,doll_23.063 m,doll_5.888 m,,,doll_25.825 m,doll_12.247 m,doll_13.578 m
103,,,doll_250.120 m,doll_14.839 m,,,doll_528.450 m,doll_146.110 m,doll_382.340 m
104,,,doll_42.838 m,doll_8.060 m,,,doll_188.550 m,doll_22.177 m,doll_166.370 m
105,,,doll_64.388 m,doll_3.864 m,,,doll_161.400 m,doll_73.068 m,doll_88.336 m
106,,,doll_123.070 m,,,,,,
107,,,doll_19.374 m,doll_5.901 m,,,doll_176.980 m,doll_35.283 m,doll_141.700 m
108,,,doll_76.991 m,doll_33.270 m,,,doll_3.833.700 m,doll_320.240 m,doll_3.513.400 m
109,,,doll_80.118 m,doll_3.024 m,,,doll_206.560 m,doll_69.102 m,doll_137.460 m
110,,,doll_29.060 m,doll_4.199 m,,,doll_31.392 m,doll_-5.314 m,doll_36.707 m
111,,,doll_43.171 m,doll_6.858 m,,,doll_132.510 m,doll_75.686 m,doll_56.820 m
112,,,doll_62.286 m,doll_-4.202 m,,,doll_138.550 m,doll_-14.999 m,doll_153.550 m
113,,,doll_17.737 m,doll_2.390 m,,,doll_20.910 m,doll_5.590 m,doll_15.320 m
114,,,,,,,,,
115,,,doll_25.979 m,doll_5.893 m,,,doll_61.165 m,doll_6.700 m,doll_54.465 m
116,,,doll_133.260 m,doll_18.247 m,,,doll_289.270 m,doll_189.520 m,doll_99.755 m
117,,,doll_71.887 m,doll_20.758 m,,,doll_2.291.400 m,doll_201.970 m,doll_2.089.400 m
118,,,doll_9.635 m,doll_3.402 m,,,doll_19.736 m,doll_14.755 m,doll_4.981 m
119,,,doll_64.989 m,doll_21.635 m,,,doll_1.463.000 m,doll_110.000 m,doll_1.353.000 m
120,,,doll_12.743 m,doll_4.825 m,,,doll_235.560 m,doll_27.464 m,doll_208.090 m
121,,,doll_5.710 m,doll_1.704 m,,,doll_13.555 m,doll_11.901 m,doll_1.653 m
122,,,doll_43.932 m,doll_5.963 m,,,doll_84.114 m,doll_18.431 m,doll_65.683 m
123,,,doll_63.495 m,doll_21.094 m,,,doll_102.900 m,doll_51.432 m,doll_51.464 m
124,,,doll_57.350 m,doll_5.743 m,,,doll_132.000 m,doll_18.901 m,doll_113.100 m
125,,,doll_50.971 m,doll_6.489 m,,,doll_82.793 m,doll_16.484 m,doll_66.309 m
126,,,doll_9.356 m,doll_2.567 m,,,doll_69.887 m,doll_5.081 m,doll_64.806 m
127,,,doll_18.200 m,doll_3.827 m,,,doll_43.010 m,doll_11.206 m,doll_31.804 m
128,,,doll_47.525 m,doll_7.427 m,,,doll_339.870 m,doll_60.467 m,doll_279.410 m
129,,,doll_16.562 m,doll_7.456 m,,,doll_841.290 m,doll_50.424 m,doll_790.870 m
130,,,doll_8.297 m,doll_3.024 m,,,doll_15.026 m,doll_2.032 m,doll_12.994 m
131,,,doll_168.300 m,doll_34.221 m,,,doll_444.470 m,doll_277.170 m,doll_167.300 m
132,,,doll_51.682 m,doll_4.654 m,,,doll_142.490 m,doll_14.050 m,doll_128.440 m
133,,,doll_54.304 m,doll_4.669 m,,,doll_217.630 m,doll_68.669 m,doll_148.960 m
134,,,doll_133.170 m,doll_8.000 m,,,doll_768.390 m,doll_75.186 m,doll_693.200 m
135,,,doll_44.655 m,doll_5.740 m,,,doll_103.550 m,doll_19.707 m,doll_83.839 m
136,,,doll_106.000 m,doll_6.946 m,,,doll_53.811 m,doll_12.827 m,doll_40.984 m
137,,,doll_74.196 m,doll_-6.520 m,,,doll_198.870 m,doll_40.310 m,doll_158.560 m
138,,,doll_5.896 m,230 million usd,,,doll_10.798 m,doll_3.695 m,doll_7.103 m
139,,,doll_4.759 m,doll_2.939 m,,,doll_58.486 m,doll_33.426 m,doll_25.059 m
140,,,doll_110.000 m,,,,,,
141,,,doll_57.468 m,doll_4.643 m,,,doll_117.970 m,doll_10.432 m,doll_107.530 m
142,,,doll_5.991 m,-352 million usd,,,doll_13.708 m,doll_4.775 m,doll_8.932 m
143,,,,doll_6.104 m,,,doll_97.460 m,doll_36.060 m,doll_61.400 m
144,,,doll_27.705 m,doll_5.861 m,,,doll_58.849 m,doll_43.933 m,doll_14.916 m
145,,,doll_149.500 m,-559 million usd,,,doll_78.001 m,doll_32.820 m,doll_45.181 m
146,,,doll_45.828 m,doll_8.079 m,,,doll_90.661 m,doll_45.406 m,doll_45.255 m
147,,,doll_6.936 m,,,,,,
148,,,doll_49.100 m,,,,,,
149,,,doll_31.853 m,doll_3.531 m,,,doll_60.111 m,doll_26.933 m,doll_33.178 m
150,,,doll_16.046 m,doll_2.948 m,,,doll_63.068 m,doll_3.225 m,doll_59.842 m
151,,,doll_19.445 m,doll_3.499 m,,,doll_34.236 m,doll_14.707 m,doll_19.527 m
152,,,doll_34.022 m,doll_4.677 m,,,doll_67.105 m,doll_48.886 m,doll_18.218 m
153,,,doll_88.706 m,doll_8.618 m,,,doll_174.120 m,doll_65.805 m,doll_108.320 m
154,,,doll_21.695 m,doll_3.367 m,,,doll_49.989 m,doll_23.514 m,doll_26.474 m
155,,,doll_16.311 m,doll_2.968 m,,,doll_15.555 m,doll_9.994 m,doll_9.941 m
156,,,doll_114.040 m,doll_7.284 m,,,doll_1.255.700 m,doll_88.107 m,doll_1.167.500 m
157,,,doll_35.355 m,doll_5.921 m,,,doll_47.072 m,doll_15.046 m,doll_32.026 m
158,,,doll_9.955 m,doll_-2.046 m,,,doll_18.756 m,doll_7.398 m,doll_11.357 m
159,,,doll_17.000 m,,,,,,
160,,,doll_10.958 m,doll_1.165 m,,,doll_23.641 m,doll_6.178 m,doll_17.463 m
161,,,doll_91.686 m,,,,,,
162,,,doll_6.835 m,doll_3.931 m,,,doll_166.310 m,doll_17.948 m,doll_148.360 m
163,,,doll_10.493 m,doll_2.254 m,,,doll_28.346 m,doll_14.577 m,doll_13.768 m
164,,,doll_157.740 m,doll_7.565 m,,,doll_287.270 m,doll_75.463 m,doll_211.810 m
165,,,doll_136.340 m,doll_17.937 m,,,doll_257.040 m,doll_48.519 m,doll_208.520 m
166,,,doll_27.708 m,doll_3.242 m,,,doll_28.936 m,doll_15.754 m,doll_13.182 m
167,,,doll_67.044 m,doll_6.315 m,,,doll_50.873 m,doll_10.959 m,doll_39.914 m
168,,,doll_17.108 m,doll_1.994 m,,,doll_34.631 m,doll_14.877 m,doll_19.754 m
169,,,doll_7.776 m,doll_2.037 m,,,doll_13.900 m,doll_4.543 m,doll_9.357 m
170,,,doll_47.600 m,,,,,,
171,,,doll_212.870 m,,,,,,
172,,,doll_21.111 m,doll_2.464 m,,,doll_39.523 m,doll_-1.606 m,doll_41.129 m
173,,,doll_1.219 m,-679 million usd,,,doll_6.649 m,doll_5.049 m,doll_1.600 m
174,,,doll_119.890 m,doll_4.602 m,,,doll_310.350 m,doll_47.032 m,doll_263.320 m
175,,,doll_31.453 m,443 million usd,,,doll_43.042 m,doll_15.170 m,doll_27.873 m
176,,,doll_28.720 m,doll_4.300 m,,,doll_67.092 m,doll_28.269 m,doll_38.823 m
177,,,doll_17.227 m,doll_4.605 m,,,doll_17.195 m,doll_6.278 m,doll_10.917 m
178,,,doll_46.634 m,doll_6.151 m,,,doll_84.915 m,doll_48.036 m,doll_36.878 m
179,,,doll_19.135 m,doll_5.409 m,,,doll_466.680 m,doll_54.010 m,doll_412.670 m
180,,,doll_27.305 m,doll_6.225 m,,,doll_67.952 m,doll_21.069 m,doll_46.883 m
181,,,doll_203.830 m,doll_2.773 m,,,,,
182,,,doll_33.620 m,doll_8.903 m,,,doll_179.810 m,doll_87.835 m,doll_91.976 m
183,,,doll_88.744 m,doll_8.562 m,,,doll_147.120 m,doll_39.010 m,doll_108.110 m
184,,,doll_75.731 m,doll_3.966 m,,,doll_391.000 m,doll_46.355 m,doll_344.650 m
185,,,doll_20.955 m,doll_2.166 m,,,doll_17.685 m,doll_10.043 m,doll_7.642 m
186,,,doll_114.700 m,,,,,,
187,,,doll_127.000 m,doll_10.019 m,,,doll_244.720 m,doll_59.744 m,doll_184.970 m
188,,,doll_22.721 m,doll_7.605 m,,,doll_573.280 m,doll_54.918 m,doll_518.370 m
189,,,0 million usd,doll_10.456 m,,,doll_2.903.200 m,doll_129.910 m,doll_2.773.200 m
190,,,doll_18.471 m,doll_12.202 m,,,doll_7.336 m,doll_2.561 m,doll_4.775 m
191,,,doll_22.259 m,doll_6.033 m,,,doll_541.240 m,doll_69.271 m,doll_471.970 m
192,,,doll_11.564 m,doll_3.908 m,,,doll_38.772 m,doll_18.168 m,doll_20.604 m
193,,,doll_14.622 m,doll_3.189 m,,,doll_13.824 m,doll_9.829 m,doll_3.994 m
194,,,doll_23.771 m,doll_7.221 m,,,doll_911.100 m,doll_56.051 m,doll_855.050 m
195,,,doll_7.318 m,doll_1.390 m,,,doll_52.322 m,doll_37.992 m,doll_14.329 m
196,,,doll_48.549 m,doll_3.282 m,,,doll_28.461 m,doll_6.003 m,doll_22.458 m
197,,,doll_21.842 m,doll_1.612 m,,,doll_65.490 m,doll_38.775 m,doll_26.715 m
198,,,doll_7.774 m,813 million usd,,,doll_14.540 m,doll_12.267 m,doll_2.273 m
199,,,doll_40.963 m,doll_8.539 m,,,doll_200.050 m,doll_59.714 m,doll_140.340 m
200,,,doll_16.080 m,,,,,,
201,,,doll_22.577 m,doll_5.857 m,,,doll_41.196 m,doll_9.422 m,doll_31.773 m
202,,,doll_12.522 m,doll_3.781 m,,,doll_40.531 m,doll_13.490 m,doll_27.041 m
203,,,0 million usd,doll_11.256 m,,,doll_370.490 m,doll_50.747 m,doll_319.740 m
204,,,doll_6.340 m,doll_1.096 m,,,doll_39.040 m,doll_8.258 m,doll_30.782 m
205,,,doll_25.714 m,doll_2.834 m,,,doll_51.555 m,doll_23.651 m,doll_27.903 m
206,,,doll_19.915 m,doll_2.153 m,,,doll_41.516 m,doll_20.623 m,doll_20.893 m
207,,,doll_43.000 m,,,,,,
208,,,doll_19.944 m,doll_1.864 m,,,doll_20.666 m,doll_2.437 m,doll_18.229 m
209,,,doll_49.966 m,doll_4.158 m,,,doll_56.455 m,doll_19.620 m,doll_36.835 m
210,,,doll_85.803 m,572 million usd,,,,,
211,,,,doll_3.378 m,,,doll_243.770 m,doll_43.251 m,doll_200.520 m
212,,,doll_25.097 m,doll_3.908 m,,,doll_169.590 m,doll_49.296 m,doll_120.290 m
213,,,doll_17.455 m,-496 million usd,,,doll_38.774 m,doll_14.458 m,doll_24.316 m
214,,,doll_4.689 m,doll_2.636 m,,,doll_196.780 m,doll_27.399 m,doll_169.380 m
215,,,doll_19.833 m,doll_1.904 m,,,doll_46.151 m,doll_17.673 m,doll_28.478 m
216,,,doll_45.399 m,doll_-12.463 m,,,doll_346.930 m,doll_85.432 m,doll_261.500 m
217,,,doll_37.600 m,doll_4.944 m,,,doll_134.890 m,doll_48.588 m,doll_86.301 m
218,,,doll_38.100 m,,,,,,
219,,,doll_19.820 m,doll_3.143 m,,,doll_34.388 m,doll_11.009 m,doll_23.379 m
220,,,doll_5.459 m,doll_23.947 m,,,doll_83.532 m,doll_71.674 m,doll_11.857 m
221,,,doll_398.860 m,doll_10.474 m,,,doll_274.930 m,doll_133.160 m,doll_141.760 m
222,,,doll_11.646 m,doll_1.904 m,,,doll_14.352 m,doll_7.101 m,doll_7.250 m
223,,,doll_58.752 m,doll_6.956 m,,,doll_50.742 m,-933 million usd,doll_51.675 m
224,,,doll_12.184 m,doll_1.691 m,,,,,
225,,,doll_90.085 m,doll_5.568 m,,,doll_70.078 m,doll_20.979 m,doll_49.100 m
226,,,doll_38.535 m,doll_8.470 m,,,doll_2.947.700 m,doll_137.780 m,doll_2.809.900 m
227,,,doll_8.098 m,doll_3.823 m,,,doll_47.813 m,doll_27.691 m,doll_20.122 m
228,,,doll_31.817 m,doll_10.855 m,,,doll_1.783.600 m,doll_105.540 m,doll_1.678.100 m
229,,,doll_94.862 m,doll_3.117 m,,,doll_206.880 m,doll_42.330 m,doll_164.550 m
230,,,55 million usd,doll_-4.688 m,,,doll_22.294 m,doll_19.514 m,doll_2.780 m
231,,,doll_6.528 m,doll_1.111 m,,,doll_8.827 m,doll_6.144 m,doll_2.682 m
232,,,doll_5.232 m,doll_1.503 m,,,doll_8.502 m,doll_5.835 m,doll_2.666 m
233,,,doll_1.940 m,-425 million usd,,,doll_2.327 m,232 million usd,doll_2.094 m
234,,,doll_14.455 m,doll_2.694 m,,,doll_16.077 m,doll_3.625 m,doll_12.452 m
