,market_value_jan_2020,market_value_jan_2021,annual_revenue_usd,annual_net_income_usd,revenue,market_capitalization_2022,total_assets_in_usd,total_equity_in_usd,total_liabilities_in_usd
11531,doll_25.99 m,,,,,doll_27.68 m,,,
11532,doll_25.99 m,,,,,doll_22.21 m,,,
11533,doll_25.92 m,,,,,doll_24.87 m,,,
11534,doll_25.9 m,,,,,doll_23.86 m,,,
11535,doll_25.9 m,,,,,doll_20.54 m,,,
11536,doll_25.9 m,,,,,doll_19.88 m,,,
11537,doll_25.8 m,,,,,doll_26.56 m,,,
11538,doll_25.8 m,,,,,doll_20.03 m,,,
11539,doll_25.74 m,,,,,doll_26.77 m,,,
11540,doll_25.73 m,,,,,doll_23.73 m,,,
11541,doll_25.71 m,,,,,doll_26.96 m,,,
11542,doll_25.68 m,,,,,doll_23.05 m,,,
11543,doll_25.65 m,,,,,doll_26.15 m,,,
11544,doll_25.61 m,,,,,doll_23.86 m,,,
11545,doll_25.53 m,,,,,doll_27.95 m,,,
11546,doll_25.5 m,,,,,doll_30.3 m,,,
11547,doll_25.48 m,,,,,doll_29.42 m,,,
11548,doll_25.46 m,,,,,doll_34.13 m,,,
11549,doll_25.38 m,,,,,doll_25.32 m,,,
11550,doll_25.38 m,,,,,doll_23.11 m,,,
11551,doll_25.32 m,,,,,doll_28.26 m,,,
11552,doll_25.31 m,,,,,doll_25.67 m,,,
11553,doll_25.18 m,,,,,doll_34.31 m,,,
11554,doll_25.18 m,,,,,doll_28.92 m,,,
11555,doll_25.16 m,,,,,doll_26.18 m,,,
11556,doll_25.15 m,,,,,doll_19.53 m,,,
11557,doll_25.07 m,,,,,doll_23.63 m,,,
11558,doll_25.06 m,,,,,doll_24.09 m,,,
11559,doll_24.97 m,,,,,doll_35.24 m,,,
11560,doll_24.97 m,,,,,doll_22.52 m,,,
11561,doll_24.92 m,,,,,doll_22.12 m,,,
11562,doll_24.91 m,,,,,doll_22.93 m,,,
11563,doll_24.87 m,,,,,doll_27.41 m,,,
11564,doll_24.83 m,,,,,doll_25.27 m,,,
11565,doll_24.8 m,,,,,doll_25.4 m,,,
11566,doll_24.77 m,,,,,doll_28.01 m,,,
11567,doll_24.7 m,,,,,doll_19.94 m,,,
11568,doll_24.69 m,,,,,doll_21.96 m,,,
11569,doll_24.66 m,,,,,doll_25.77 m,,,
11570,doll_24.66 m,,,,,doll_29.18 m,,,
11571,doll_24.62 m,,,,,doll_25.83 m,,,
11572,doll_24.61 m,,,,,doll_24.51 m,,,
11573,doll_24.57 m,,,,,doll_22.77 m,,,
11574,doll_24.53 m,,,,,doll_23.34 m,,,
11575,doll_24.53 m,,,,,doll_19.43 m,,,
11576,doll_24.51 m,,,,,doll_28.83 m,,,
11577,doll_24.43 m,,,,,doll_26.51 m,,,
11578,doll_24.42 m,,,,,doll_21.22 m,,,
11579,doll_24.4 m,,,,,doll_27.41 m,,,
11580,doll_24.38 m,,,,,doll_25.54 m,,,
11581,doll_24.37 m,,,,,doll_27.4 m,,,
11582,doll_24.34 m,,,,,doll_27.87 m,,,
11583,doll_24.32 m,,,,,doll_21.32 m,,,
11584,doll_24.31 m,,,,,doll_22.92 m,,,
11585,doll_24.27 m,,,,,doll_37.07 m,,,
11586,doll_24.24 m,,,,,doll_47.03 m,,,
11587,doll_24.21 m,,,,,doll_23.55 m,,,
11588,doll_24.17 m,,,,,doll_23.18 m,,,
11589,doll_24.17 m,,,,,doll_21.49 m,,,
11590,0,,,,,0,,,
11591,doll_24.16 m,,,,,doll_25.7 m,,,
11592,doll_24.16 m,,,,,doll_21.98 m,,,
11593,doll_24.11 m,,,,,doll_35.66 m,,,
11594,doll_24.08 m,,,,,doll_32.17 m,,,
11595,doll_24.07 m,,,,,doll_25.56 m,,,
11596,doll_24.02 m,,,,,doll_25.42 m,,,
11597,doll_23.95 m,,,,,doll_19.5 m,,,
11598,doll_23.91 m,,,,,doll_29.2 m,,,
11599,doll_23.78 m,,,,,doll_21.55 m,,,
11600,doll_23.77 m,,,,,doll_22.33 m,,,
11601,doll_23.73 m,,,,,doll_23.39 m,,,
11602,doll_23.7 m,,,,,doll_30.98 m,,,
11603,doll_23.68 m,,,,,doll_22.41 m,,,
11604,doll_23.67 m,,,,,doll_23.73 m,,,
11605,doll_23.64 m,,,,,doll_24.13 m,,,
11606,doll_23.61 m,,,,,doll_21.15 m,,,
11607,doll_23.6 m,,,,,doll_25.53 m,,,
11608,doll_23.56 m,,,,,doll_22.46 m,,,
11609,doll_23.53 m,,,,,doll_27.0 m,,,
11610,doll_23.49 m,,,,,doll_21.45 m,,,
11611,doll_23.47 m,,,,,doll_27.37 m,,,
11612,doll_23.47 m,,,,,doll_25.25 m,,,
11613,doll_23.4 m,,,,,doll_25.78 m,,,
11614,doll_23.39 m,,,,,doll_24.61 m,,,
11615,doll_23.39 m,,,,,doll_23.69 m,,,
11616,doll_23.29 m,,,,,doll_17.79 m,,,
11617,doll_23.27 m,,,,,doll_29.77 m,,,
11618,doll_23.23 m,,,,,doll_31.39 m,,,
11619,doll_23.19 m,,,,,doll_23.32 m,,,
11620,doll_23.13 m,,,,,doll_23.13 m,,,
11621,doll_23.11 m,,,,,doll_18.66 m,,,
11622,doll_23.05 m,,,,,doll_27.68 m,,,
11623,doll_23.06 m,,,,,doll_26.98 m,,,
11624,doll_23.04 m,,,,,doll_23.9 m,,,
11625,doll_23.02 m,,,,,doll_24.35 m,,,
11626,doll_23.01 m,,,,,doll_26.18 m,,,
11627,doll_23.0 m,,,,,doll_24.2 m,,,
11628,doll_23.01 m,,,,,doll_23.84 m,,,
11629,doll_23.01 m,,,,,doll_19.59 m,,,
11630,doll_22.98 m,,,,,doll_22.25 m,,,
11631,doll_22.97 m,,,,,doll_23.9 m,,,
11632,doll_22.97 m,,,,,doll_23.33 m,,,
11633,doll_22.93 m,,,,,doll_19.92 m,,,
11634,doll_22.92 m,,,,,doll_20.72 m,,,
11635,doll_22.91 m,,,,,doll_22.93 m,,,
11636,doll_22.82 m,,,,,doll_23.81 m,,,
11637,doll_22.82 m,,,,,doll_22.68 m,,,
11638,doll_22.81 m,,,,,doll_21.66 m,,,
11639,doll_22.77 m,,,,,doll_18.02 m,,,
11640,doll_22.75 m,,,,,doll_23.83 m,,,
11641,doll_22.73 m,,,,,doll_22.56 m,,,
11642,doll_22.72 m,,,,,doll_21.52 m,,,
11643,doll_22.72 m,,,,,doll_18.87 m,,,
11644,doll_22.71 m,,,,,doll_22.59 m,,,
11645,doll_22.68 m,,,,,doll_23.15 m,,,
11646,doll_22.66 m,,,,,doll_24.1 m,,,
11647,doll_22.55 m,,,,,doll_28.72 m,,,
11648,doll_22.55 m,,,,,doll_23.39 m,,,
11649,doll_22.54 m,,,,,doll_22.23 m,,,
11650,doll_22.49 m,,,,,doll_19.26 m,,,
11651,doll_22.41 m,,,,,doll_21.52 m,,,
11652,doll_22.4 m,,,,,doll_20.25 m,,,
11653,0,,,,,0,,,
11654,doll_22.37 m,,,,,doll_25.54 m,,,
11655,doll_22.37 m,,,,,doll_20.38 m,,,
11656,doll_22.31 m,,,,,doll_23.04 m,,,
11657,doll_22.3 m,,,,,doll_20.34 m,,,
11658,doll_22.29 m,,,,,doll_23.03 m,,,
11659,0,,,,,0,,,
11660,doll_22.27 m,,,,,doll_25.47 m,,,
11661,doll_22.27 m,,,,,doll_24.42 m,,,
11662,doll_22.2 m,,,,,doll_21.67 m,,,
11663,doll_22.17 m,,,,,doll_15.72 m,,,
11664,doll_22.16 m,,,,,doll_20.19 m,,,
11665,doll_22.12 m,,,,,doll_22.5 m,,,
11666,doll_22.11 m,,,,,doll_22.15 m,,,
11667,doll_22.1 m,,,,,doll_20.64 m,,,
11668,doll_22.07 m,,,,,doll_23.8 m,,,
11669,doll_22.07 m,,,,,doll_21.89 m,,,
11670,doll_22.06 m,,,,,doll_19.43 m,,,
11671,doll_22.02 m,,,,,doll_13.97 m,,,
11672,doll_22.01 m,,,,,doll_21.52 m,,,
11673,doll_22.0 m,,,,,doll_22.71 m,,,
11674,doll_21.98 m,,,,,doll_26.35 m,,,
11675,doll_21.98 m,,,,,doll_24.89 m,,,
11676,doll_21.97 m,,,,,doll_26.94 m,,,
11677,doll_21.97 m,,,,,doll_23.59 m,,,
11678,doll_21.95 m,,,,,doll_21.33 m,,,
11679,doll_21.93 m,,,,,doll_22.03 m,,,
11680,doll_21.91 m,,,,,doll_22.3 m,,,
11681,doll_21.89 m,,,,,doll_28.35 m,,,
11682,doll_21.87 m,,,,,doll_22.33 m,,,
11683,doll_21.79 m,,,,,doll_36.28 m,,,
11684,doll_21.78 m,,,,,doll_17.79 m,,,
11685,doll_21.73 m,,,,,doll_18.76 m,,,
11686,doll_21.72 m,,,,,doll_13.64 m,,,
11687,doll_21.7 m,,,,,doll_39.65 m,,,
11688,doll_21.7 m,,,,,doll_21.18 m,,,
11689,doll_21.64 m,,,,,doll_22.83 m,,,
11690,doll_21.56 m,,,,,doll_22.89 m,,,
11691,doll_21.56 m,,,,,doll_19.76 m,,,
11692,doll_21.55 m,,,,,doll_27.11 m,,,
11693,doll_21.49 m,,,,,doll_21.05 m,,,
11694,doll_21.46 m,,,,,doll_20.81 m,,,
11695,doll_21.4 m,,,,,doll_21.46 m,,,
11696,doll_21.36 m,,,,,doll_29.38 m,,,
11697,doll_21.34 m,,,,,doll_23.27 m,,,
11698,doll_21.33 m,,,,,doll_27.17 m,,,
11699,doll_21.31 m,,,,,doll_20.49 m,,,
11700,0,,,,,0,,,
11701,doll_21.29 m,,,,,doll_25.98 m,,,
11702,doll_21.28 m,,,,,doll_20.25 m,,,
11703,doll_21.27 m,,,,,doll_15.99 m,,,
11704,doll_21.27 m,,,,,doll_25.91 m,,,
11705,doll_21.24 m,,,,,doll_21.58 m,,,
11706,doll_21.22 m,,,,,doll_17.35 m,,,
11707,doll_21.21 m,,,,,doll_34.07 m,,,
11708,doll_21.18 m,,,,,doll_25.53 m,,,
11709,doll_21.17 m,,,,,doll_25.54 m,,,
11710,doll_21.14 m,,,,,doll_20.25 m,,,
11711,doll_21.14 m,,,,,doll_35.25 m,,,
11712,doll_21.09 m,,,,,doll_19.31 m,,,
11713,doll_21.01 m,,,,,doll_25.39 m,,,
11714,doll_21.01 m,,,,,doll_18.66 m,,,
11715,doll_21.0 m,,,,,doll_21.0 m,,,
11716,doll_20.97 m,,,,,0,,,
11717,doll_20.96 m,,,,,doll_2.55 m,,,
11718,doll_20.91 m,,,,,doll_19.11 m,,,
11719,doll_20.9 m,,,,,doll_21.83 m,,,
11720,doll_20.88 m,,,,,doll_20.54 m,,,
11721,doll_20.88 m,,,,,doll_14.55 m,,,
11722,doll_20.82 m,,,,,doll_24.56 m,,,
11723,doll_20.8 m,,,,,doll_27.7 m,,,
11724,doll_20.76 m,,,,,doll_23.57 m,,,
11725,doll_20.74 m,,,,,doll_22.66 m,,,
11726,doll_20.71 m,,,,,doll_25.63 m,,,
11727,doll_20.64 m,,,,,doll_21.07 m,,,
11728,doll_20.61 m,,,,,doll_21.65 m,,,
11729,doll_20.61 m,,,,,doll_17.64 m,,,
11730,doll_20.59 m,,,,,doll_32.16 m,,,
11731,doll_20.58 m,,,,,doll_17.52 m,,,
11732,doll_20.54 m,,,,,doll_19.55 m,,,
11733,doll_20.51 m,,,,,doll_20.53 m,,,
11734,doll_20.51 m,,,,,doll_19.51 m,,,
11735,doll_20.5 m,,,,,doll_23.09 m,,,
11736,doll_20.5 m,,,,,doll_19.92 m,,,
11737,doll_20.5 m,,,,,doll_19.48 m,,,
11738,doll_20.46 m,,,,,doll_21.85 m,,,
11739,doll_20.44 m,,,,,doll_22.41 m,,,
11740,doll_20.43 m,,,,,doll_21.93 m,,,
11741,doll_20.42 m,,,,,doll_22.4 m,,,
11742,doll_20.41 m,,,,,doll_23.82 m,,,
11743,doll_20.4 m,,,,,doll_14.59 m,,,
11744,doll_20.38 m,,,,,doll_19.83 m,,,
11745,doll_20.37 m,,,,,doll_19.42 m,,,
11746,doll_20.28 m,,,,,doll_36.61 m,,,
11747,doll_20.22 m,,,,,doll_29.23 m,,,
11748,doll_20.21 m,,,,,doll_18.1 m,,,
11749,doll_20.21 m,,,,,doll_17.93 m,,,
11750,doll_20.19 m,,,,,doll_22.2 m,,,
11751,doll_20.17 m,,,,,doll_19.82 m,,,
11752,doll_20.16 m,,,,,doll_19.46 m,,,
11753,doll_20.16 m,,,,,doll_16.94 m,,,
11754,doll_20.12 m,,,,,doll_24.35 m,,,
11755,doll_20.06 m,,,,,doll_20.37 m,,,
11756,doll_20.04 m,,,,,doll_12.58 m,,,
11757,doll_20.03 m,,,,,doll_21.2 m,,,
11758,doll_19.99 m,,,,,doll_20.01 m,,,
11759,doll_19.98 m,,,,,doll_19.34 m,,,
11760,doll_19.97 m,,,,,doll_27.58 m,,,
11761,doll_19.94 m,,,,,doll_23.47 m,,,
11762,doll_0.00104 t,,,,,doll_0.00104 t,,,
11763,doll_0.00104 t,,,,,doll_0.00104 t,,,
11764,doll_19.93 m,,,,,doll_25.98 m,,,
11765,doll_19.93 m,,,,,doll_20.59 m,,,
11766,doll_19.93 m,,,,,doll_16.51 m,,,
11767,doll_19.92 m,,,,,doll_23.71 m,,,
11768,doll_19.92 m,,,,,doll_16.33 m,,,
11769,doll_19.86 m,,,,,doll_23.71 m,,,
11770,doll_19.82 m,,,,,doll_19.84 m,,,
11771,doll_19.8 m,,,,,doll_18.94 m,,,
11772,doll_19.79 m,,,,,doll_19.02 m,,,
11773,doll_19.79 m,,,,,doll_17.5 m,,,
11774,doll_19.77 m,,,,,doll_22.28 m,,,
11775,doll_19.73 m,,,,,doll_21.75 m,,,
11776,doll_19.69 m,,,,,doll_21.6 m,,,
11777,doll_19.68 m,,,,,doll_18.54 m,,,
11778,doll_19.68 m,,,,,doll_22.61 m,,,
11779,doll_19.63 m,,,,,doll_22.82 m,,,
11780,doll_19.62 m,,,,,doll_17.75 m,,,
11781,doll_19.6 m,,,,,doll_22.86 m,,,
11782,doll_19.6 m,,,,,doll_20.4 m,,,
11783,doll_19.59 m,,,,,doll_27.48 m,,,
11784,doll_19.58 m,,,,,doll_23.39 m,,,
11785,doll_19.52 m,,,,,doll_17.27 m,,,
11786,doll_19.52 m,,,,,doll_17.19 m,,,
11787,doll_19.49 m,,,,,doll_21.02 m,,,
11788,doll_19.48 m,,,,,doll_21.0 m,,,
11789,doll_19.45 m,,,,,doll_35.75 m,,,
11790,doll_19.41 m,,,,,doll_21.16 m,,,
11791,doll_19.39 m,,,,,doll_19.57 m,,,
11792,doll_19.38 m,,,,,doll_19.86 m,,,
11793,doll_19.37 m,,,,,doll_16.35 m,,,
11794,doll_19.3 m,,,,,doll_16.42 m,,,
11795,doll_19.25 m,,,,,doll_19.04 m,,,
11796,doll_19.25 m,,,,,doll_16.6 m,,,
11797,doll_19.23 m,,,,,doll_19.48 m,,,
11798,doll_19.23 m,,,,,doll_18.04 m,,,
11799,doll_19.2 m,,,,,doll_21.83 m,,,
11800,doll_19.17 m,,,,,doll_21.69 m,,,
11801,doll_19.12 m,,,,,doll_22.33 m,,,
11802,doll_19.12 m,,,,,doll_19.89 m,,,
11803,doll_19.12 m,,,,,doll_18.67 m,,,
11804,doll_0.001079 t,,,,,0,,,
11805,doll_19.11 m,,,,,doll_22.71 m,,,
11806,doll_19.11 m,,,,,doll_19.29 m,,,
11807,doll_19.1 m,,,,,doll_27.86 m,,,
11808,doll_19.1 m,,,,,doll_26.69 m,,,
11809,doll_19.1 m,,,,,doll_16.09 m,,,
11810,doll_19.09 m,,,,,doll_19.84 m,,,
11811,doll_19.08 m,,,,,doll_23.47 m,,,
11812,doll_19.05 m,,,,,doll_20.44 m,,,
11813,doll_18.98 m,,,,,doll_18.79 m,,,
11814,doll_18.94 m,,,,,doll_18.47 m,,,
11815,doll_18.93 m,,,,,doll_23.48 m,,,
11816,doll_18.9 m,,,,,doll_16.15 m,,,
11817,doll_18.87 m,,,,,doll_20.29 m,,,
11818,doll_18.85 m,,,,,doll_19.1 m,,,
11819,0,,,,,0,,,
11820,doll_18.85 m,,,,,doll_19.06 m,,,
11821,doll_18.85 m,,,,,doll_18.79 m,,,
11822,doll_18.83 m,,,,,doll_29.17 m,,,
11823,doll_18.81 m,,,,,doll_22.64 m,,,
11824,doll_18.78 m,,,,,doll_19.73 m,,,
11825,doll_18.76 m,,,,,doll_21.92 m,,,
11826,doll_18.76 m,,,,,doll_17.5 m,,,
11827,doll_18.73 m,,,,,doll_23.88 m,,,
11828,doll_18.73 m,,,,,doll_17.62 m,,,
11829,doll_18.66 m,,,,,doll_23.79 m,,,
11830,doll_18.66 m,,,,,doll_17.63 m,,,
11831,doll_18.6 m,,,,,doll_23.09 m,,,
11832,doll_18.6 m,,,,,doll_19.63 m,,,
11833,doll_18.58 m,,,,,doll_20.14 m,,,
11834,doll_18.58 m,,,,,doll_17.45 m,,,
11835,doll_18.56 m,,,,,doll_16.52 m,,,
11836,doll_18.56 m,,,,,doll_16.14 m,,,
11837,doll_18.55 m,,,,,doll_21.01 m,,,
11838,doll_18.51 m,,,,,doll_20.34 m,,,
11839,doll_18.49 m,,,,,doll_21.08 m,,,
11840,doll_18.49 m,,,,,doll_19.05 m,,,
11841,doll_18.48 m,,,,,doll_17.67 m,,,
11842,doll_18.47 m,,,,,doll_16.1 m,,,
11843,doll_18.46 m,,,,,doll_19.84 m,,,
11844,doll_18.44 m,,,,,doll_19.86 m,,,
11845,doll_18.44 m,,,,,doll_17.0 m,,,
11846,doll_18.41 m,,,,,doll_17.86 m,,,
11847,doll_18.37 m,,,,,doll_19.81 m,,,
11848,doll_18.37 m,,,,,doll_19.39 m,,,
11849,doll_18.27 m,,,,,doll_16.34 m,,,
11850,doll_18.23 m,,,,,doll_14.06 m,,,
11851,doll_0.001124 t,,,,,0,,,
11852,doll_0.001124 t,,,,,0,,,
11853,doll_18.23 m,,,,,doll_25.06 m,,,
11854,doll_18.23 m,,,,,doll_16.36 m,,,
11855,doll_18.22 m,,,,,doll_19.21 m,,,
11856,doll_18.19 m,,,,,doll_18.41 m,,,
11857,doll_18.19 m,,,,,doll_17.64 m,,,
11858,doll_18.18 m,,,,,doll_23.01 m,,,
11859,doll_18.17 m,,,,,doll_18.32 m,,,
11860,doll_18.16 m,,,,,doll_18.64 m,,,
11861,doll_18.16 m,,,,,doll_16.93 m,,,
11862,doll_18.13 m,,,,,doll_19.51 m,,,
11863,doll_18.13 m,,,,,doll_19.16 m,,,
11864,doll_18.11 m,,,,,doll_18.58 m,,,
11865,doll_18.1 m,,,,,doll_17.88 m,,,
11866,doll_18.06 m,,,,,doll_14.44 m,,,
11867,doll_18.0 m,,,,,doll_16.13 m,,,
11868,0,,,,,0,,,
11869,doll_18.0 m,,,,,doll_14.48 m,,,
11870,doll_17.97 m,,,,,doll_16.69 m,,,
11871,doll_17.96 m,,,,,doll_18.44 m,,,
11872,doll_17.96 m,,,,,doll_16.86 m,,,
11873,doll_17.93 m,,,,,doll_18.3 m,,,
11874,doll_17.93 m,,,,,doll_17.23 m,,,
11875,doll_17.92 m,,,,,doll_23.53 m,,,
11876,doll_17.91 m,,,,,doll_26.72 m,,,
11877,doll_17.88 m,,,,,doll_19.42 m,,,
11878,doll_17.88 m,,,,,doll_16.29 m,,,
11879,doll_17.86 m,,,,,doll_20.34 m,,,
11880,doll_17.83 m,,,,,doll_17.69 m,,,
11881,doll_17.82 m,,,,,doll_15.94 m,,,
11882,doll_17.77 m,,,,,doll_16.97 m,,,
11883,doll_17.76 m,,,,,doll_17.59 m,,,
11884,doll_17.75 m,,,,,doll_14.56 m,,,
11885,doll_17.72 m,,,,,doll_24.24 m,,,
11886,doll_17.7 m,,,,,doll_18.35 m,,,
11887,doll_17.69 m,,,,,doll_13.12 m,,,
11888,doll_17.68 m,,,,,doll_20.19 m,,,
11889,doll_0.001159 t,,,,,0,,,
11890,doll_17.66 m,,,,,doll_18.68 m,,,
11891,doll_17.64 m,,,,,doll_16.31 m,,,
11892,doll_17.59 m,,,,,doll_17.31 m,,,
11893,doll_17.53 m,,,,,doll_19.12 m,,,
11894,doll_17.53 m,,,,,doll_12.36 m,,,
11895,doll_17.53 m,,,,,doll_0.015331 t,,,
11896,doll_17.49 m,,,,,doll_18.59 m,,,
11897,doll_17.49 m,,,,,doll_15.98 m,,,
11898,doll_17.47 m,,,,,doll_16.69 m,,,
11899,doll_17.43 m,,,,,doll_15.97 m,,,
11900,doll_17.41 m,,,,,doll_25.4 m,,,
11901,doll_17.4 m,,,,,doll_16.28 m,,,
11902,doll_17.4 m,,,,,doll_16.27 m,,,
11903,doll_17.39 m,,,,,doll_14.88 m,,,
11904,doll_17.37 m,,,,,doll_20.3 m,,,
11905,doll_17.33 m,,,,,doll_17.63 m,,,
11906,doll_17.3 m,,,,,doll_19.94 m,,,
11907,doll_17.3 m,,,,,doll_17.02 m,,,
11908,doll_17.29 m,,,,,doll_23.47 m,,,
11909,doll_17.29 m,,,,,doll_19.07 m,,,
11910,doll_17.25 m,,,,,doll_20.51 m,,,
11911,doll_17.25 m,,,,,doll_16.29 m,,,
11912,doll_17.22 m,,,,,doll_16.62 m,,,
11913,doll_17.21 m,,,,,doll_17.48 m,,,
11914,doll_17.21 m,,,,,doll_16.71 m,,,
11915,doll_17.18 m,,,,,doll_22.66 m,,,
11916,doll_17.17 m,,,,,doll_18.24 m,,,
11917,doll_17.15 m,,,,,doll_17.43 m,,,
11918,doll_17.13 m,,,,,doll_16.21 m,,,
11919,doll_17.1 m,,,,,doll_16.42 m,,,
11920,doll_17.08 m,,,,,doll_17.78 m,,,
11921,doll_0.00119 t,,,,,doll_14.98 m,,,
11922,doll_0.00119 t,,,,,doll_0.001859 t,,,
11923,doll_17.07 m,,,,,doll_17.5 m,,,
11924,doll_17.06 m,,,,,doll_15.18 m,,,
11925,doll_17.05 m,,,,,doll_21.28 m,,,
11926,doll_17.05 m,,,,,doll_20.9 m,,,
11927,doll_17.02 m,,,,,doll_11.99 m,,,
11928,doll_16.98 m,,,,,doll_15.48 m,,,
11929,doll_16.92 m,,,,,doll_20.4 m,,,
11930,doll_16.92 m,,,,,doll_19.98 m,,,
11931,doll_16.92 m,,,,,doll_15.7 m,,,
11932,doll_16.91 m,,,,,doll_18.02 m,,,
11933,doll_16.89 m,,,,,doll_14.61 m,,,
11934,doll_16.88 m,,,,,doll_18.41 m,,,
11935,doll_16.87 m,,,,,doll_17.08 m,,,
11936,doll_16.87 m,,,,,doll_16.18 m,,,
11937,doll_16.84 m,,,,,doll_19.62 m,,,
11938,doll_16.84 m,,,,,doll_12.9 m,,,
11939,doll_16.83 m,,,,,doll_15.53 m,,,
11940,doll_16.82 m,,,,,doll_15.71 m,,,
11941,doll_16.82 m,,,,,doll_14.01 m,,,
11942,doll_16.8 m,,,,,doll_19.65 m,,,
11943,doll_16.79 m,,,,,doll_17.33 m,,,
11944,doll_16.77 m,,,,,doll_15.21 m,,,
11945,doll_16.73 m,,,,,doll_23.3 m,,,
11946,doll_16.7 m,,,,,doll_14.46 m,,,
11947,doll_16.68 m,,,,,doll_17.51 m,,,
11948,doll_16.68 m,,,,,doll_13.41 m,,,
11949,doll_16.67 m,,,,,doll_15.91 m,,,
11950,doll_16.66 m,,,,,doll_15.7 m,,,
11951,doll_16.65 m,,,,,doll_13.76 m,,,
11952,doll_16.62 m,,,,,doll_17.86 m,,,
11953,doll_16.63 m,,,,,doll_16.21 m,,,
11954,doll_16.61 m,,,,,doll_14.35 m,,,
11955,doll_16.59 m,,,,,doll_22.37 m,,,
11956,doll_16.58 m,,,,,doll_19.15 m,,,
11957,doll_16.58 m,,,,,doll_7.19 m,,,
11958,doll_16.57 m,,,,,doll_19.23 m,,,
11959,doll_16.56 m,,,,,doll_18.77 m,,,
11960,doll_16.55 m,,,,,doll_15.94 m,,,
11961,doll_16.55 m,,,,,doll_15.27 m,,,
11962,doll_16.54 m,,,,,doll_17.12 m,,,
11963,doll_16.52 m,,,,,doll_22.12 m,,,
11964,doll_16.5 m,,,,,doll_17.15 m,,,
11965,doll_16.51 m,,,,,doll_9.46 m,,,
11966,doll_16.5 m,,,,,doll_17.89 m,,,
11967,doll_16.47 m,,,,,doll_19.63 m,,,
11968,doll_16.46 m,,,,,doll_17.19 m,,,
11969,doll_16.46 m,,,,,doll_15.42 m,,,
11970,doll_16.45 m,,,,,doll_13.87 m,,,
11971,doll_16.44 m,,,,,doll_16.39 m,,,
11972,doll_16.42 m,,,,,doll_15.31 m,,,
11973,doll_16.4 m,,,,,doll_15.65 m,,,
11974,doll_16.38 m,,,,,doll_25.09 m,,,
11975,doll_16.37 m,,,,,doll_15.01 m,,,
11976,doll_16.32 m,,,,,doll_19.51 m,,,
11977,doll_16.31 m,,,,,doll_17.08 m,,,
11978,doll_16.3 m,,,,,doll_16.4 m,,,
11979,doll_16.29 m,,,,,doll_15.04 m,,,
11980,doll_16.29 m,,,,,doll_14.43 m,,,
11981,doll_16.28 m,,,,,doll_16.17 m,,,
11982,doll_16.26 m,,,,,doll_15.61 m,,,
11983,doll_16.19 m,,,,,doll_12.04 m,,,
11984,doll_16.18 m,,,,,doll_15.64 m,,,
11985,doll_16.17 m,,,,,doll_16.89 m,,,
11986,doll_16.15 m,,,,,doll_14.66 m,,,
11987,doll_16.14 m,,,,,doll_16.36 m,,,
11988,doll_16.12 m,,,,,doll_19.57 m,,,
11989,doll_16.13 m,,,,,doll_17.09 m,,,
11990,doll_16.12 m,,,,,doll_24.09 m,,,
11991,doll_16.12 m,,,,,doll_18.45 m,,,
11992,doll_16.12 m,,,,,doll_15.1 m,,,
11993,doll_16.11 m,,,,,doll_23.08 m,,,
11994,doll_16.11 m,,,,,doll_20.94 m,,,
11995,doll_16.11 m,,,,,doll_15.01 m,,,
11996,doll_16.1 m,,,,,doll_12.4 m,,,
11997,doll_16.05 m,,,,,doll_19.33 m,,,
11998,doll_16.04 m,,,,,doll_19.76 m,,,
11999,doll_16.02 m,,,,,doll_21.53 m,,,
12000,doll_16.01 m,,,,,doll_18.86 m,,,
12001,doll_16.01 m,,,,,doll_17.47 m,,,
12002,doll_16.01 m,,,,,doll_12.86 m,,,
12003,doll_16.0 m,,,,,doll_14.99 m,,,
12004,doll_15.96 m,,,,,doll_15.58 m,,,
12005,doll_15.93 m,,,,,doll_21.35 m,,,
12006,doll_15.92 m,,,,,doll_16.41 m,,,
12007,doll_15.89 m,,,,,doll_12.08 m,,,
12008,doll_15.87 m,,,,,doll_16.68 m,,,
12009,doll_15.87 m,,,,,doll_13.65 m,,,
12010,doll_15.87 m,,,,,0,,,
12011,doll_15.86 m,,,,,doll_18.45 m,,,
12012,doll_15.86 m,,,,,doll_18.27 m,,,
12013,doll_15.83 m,,,,,doll_28.68 m,,,
12014,doll_15.82 m,,,,,doll_15.05 m,,,
12015,doll_15.81 m,,,,,doll_16.91 m,,,
12016,doll_15.79 m,,,,,doll_16.18 m,,,
12017,doll_15.8 m,,,,,doll_15.8 m,,,
12018,doll_15.8 m,,,,,doll_14.08 m,,,
12019,doll_15.78 m,,,,,doll_18.56 m,,,
12020,doll_15.78 m,,,,,doll_15.78 m,,,
12021,doll_15.76 m,,,,,doll_14.76 m,,,
12022,doll_15.69 m,,,,,doll_16.95 m,,,
12023,doll_15.69 m,,,,,doll_16.32 m,,,
12024,doll_15.67 m,,,,,doll_18.51 m,,,
12025,doll_15.67 m,,,,,doll_15.22 m,,,
12026,doll_15.65 m,,,,,doll_16.14 m,,,
12027,doll_15.61 m,,,,,doll_15.46 m,,,
12028,doll_15.58 m,,,,,doll_15.68 m,,,
12029,doll_15.56 m,,,,,doll_14.98 m,,,
12030,doll_15.56 m,,,,,doll_14.57 m,,,
