,market_cap,revenue
86,doll_2.4 b,doll_1.0 b
87,doll_245.8 m,doll_1.0 b
88,doll_242.2 m,doll_1.0 b
89,doll_3.0 b,doll_1.0 b
90,doll_5.6 b,doll_1.0 b
91,doll_1.9 b,doll_1.0 b
92,doll_5.3 b,doll_1.0 b
93,doll_2.8 b,doll_1.0 b
94,doll_5.6 b,doll_1.0 b
95,doll_8.8 b,doll_1.0 b
96,doll_744.2 m,doll_1.0 b
97,doll_619.8 m,doll_1.0 b
98,doll_3.1 b,doll_1.0 b
99,doll_2.7 b,doll_1.0 b
100,doll_3.2 b,doll_1.0 b
101,doll_6.0 b,doll_1.0 b
102,doll_1.3 b,doll_1.0 b
103,0,doll_1.0 b
104,doll_151.0 m,doll_1.0 b
105,doll_486.9 m,doll_1.0 b
106,doll_2.4 b,doll_1.0 b
107,0,doll_1.0 b
108,doll_1.8 b,doll_1.0 b
109,doll_969.7 m,doll_1.0 b
110,doll_3.9 b,doll_1.0 b
111,doll_3.3 b,doll_1.0 b
112,doll_952.9 m,doll_1.0 b
113,0,doll_1.1 b
114,doll_262.3 m,doll_1.1 b
115,doll_371.0 m,doll_1.1 b
116,doll_1.5 b,doll_1.1 b
117,doll_2.6 b,doll_1.1 b
118,doll_1.3 b,doll_1.1 b
119,doll_3.7 b,doll_1.1 b
120,doll_1.8 b,doll_1.1 b
121,doll_399.0 m,doll_1.1 b
122,doll_1.4 b,doll_1.1 b
123,doll_18.0 b,doll_1.1 b
124,doll_2.5 b,doll_1.1 b
125,doll_4.5 b,doll_1.1 b
126,doll_2.7 b,doll_1.1 b
127,doll_654.7 m,doll_1.1 b
128,0,doll_1.1 b
129,doll_441.9 m,doll_1.1 b
130,doll_1.6 b,doll_1.1 b
131,0,doll_1.1 b
132,doll_2.6 b,doll_1.1 b
133,doll_1.5 b,doll_1.1 b
134,doll_1.5 b,doll_1.1 b
135,doll_830.0 m,doll_1.1 b
136,doll_605.0 m,doll_1.1 b
137,doll_6.6 b,doll_1.1 b
138,doll_355.0 m,doll_1.1 b
139,doll_952.4 m,doll_1.1 b
140,doll_3.8 b,doll_1.1 b
141,doll_550.2 m,doll_1.1 b
142,doll_561.4 m,doll_1.1 b
143,doll_1.3 b,doll_1.1 b
144,doll_2.7 b,doll_1.1 b
145,doll_2.1 b,doll_1.1 b
146,doll_1.1 b,doll_1.1 b
147,doll_756.2 m,doll_1.1 b
148,doll_2.0 b,doll_1.1 b
149,doll_1.2 b,doll_1.1 b
150,doll_3.3 b,doll_1.1 b
151,doll_4.6 b,doll_1.1 b
152,doll_1.7 b,doll_1.1 b
153,doll_6.4 b,doll_1.1 b
154,doll_289.7 m,doll_1.1 b
155,doll_2.6 b,doll_1.1 b
156,doll_642.8 m,doll_1.1 b
157,doll_5.2 b,doll_1.1 b
158,doll_11.4 b,doll_1.1 b
159,doll_452.0 m,doll_1.1 b
160,0,doll_1.1 b
161,doll_1.5 b,doll_1.1 b
162,doll_892.7 m,doll_1.1 b
163,doll_3.3 b,doll_1.1 b
164,doll_4.0 b,doll_1.1 b
165,doll_1.0 b,doll_1.1 b
166,doll_199.7 m,doll_1.1 b
167,doll_17.1 b,doll_1.1 b
168,doll_2.3 b,doll_1.1 b
169,doll_897.7 m,doll_1.1 b
170,doll_5.0 b,doll_1.1 b
171,doll_1.8 b,doll_1.1 b
172,doll_2.0 b,doll_1.1 b
173,doll_1.2 b,doll_1.1 b
174,doll_2.8 b,doll_1.1 b
175,doll_774.1 m,doll_1.1 b
176,doll_5.4 b,doll_1.1 b
177,doll_88.6 m,doll_1.1 b
178,doll_149.6 m,doll_1.1 b
179,doll_1.7 b,doll_1.1 b
180,doll_3.3 b,doll_1.1 b
181,doll_730.5 m,doll_1.1 b
182,doll_4.4 b,doll_1.1 b
183,doll_3.0 b,doll_1.1 b
184,doll_2.1 b,doll_1.1 b
185,doll_1.2 b,doll_1.1 b
186,doll_822.7 m,doll_1.1 b
187,doll_16.3 b,doll_1.1 b
