,company_creation_date,company_id,company_number,company_status,company_type,dissolution_date,id,incorporation_date,name,nature_of_business,office_address,registered_office_address,registration_date,url
company_creation_date,0.0,0.09090909090909091,0.08333333333333333,0.09090909090909091,0.09090909090909091,0.08333333333333333,0.05263157894736842,0.1111111111111111,0.05555555555555555,0.05263157894736842,0.05555555555555555,0.047619047619047616,0.1,0.05
company_id,0.09090909090909091,0.0,0.16666666666666666,0.16666666666666666,0.25,0.07142857142857142,0.125,0.07692307692307693,0.1111111111111111,0.0625,0.08333333333333333,0.045454545454545456,0.06666666666666667,0.1
company_number,0.08333333333333333,0.16666666666666666,0.0,0.16666666666666666,0.2,0.06666666666666667,0.07142857142857142,0.07692307692307693,0.09090909090909091,0.06666666666666667,0.08333333333333333,0.045454545454545456,0.06666666666666667,0.07692307692307693
company_status,0.09090909090909091,0.16666666666666666,0.16666666666666666,0.0,0.2,0.07142857142857142,0.07142857142857142,0.07692307692307693,0.08333333333333333,0.06666666666666667,0.08333333333333333,0.045454545454545456,0.06666666666666667,0.07142857142857142
company_type,0.09090909090909091,0.25,0.2,0.2,0.0,0.07692307692307693,0.08333333333333333,0.08333333333333333,0.1,0.0625,0.08333333333333333,0.045454545454545456,0.07142857142857142,0.08333333333333333
dissolution_date,0.08333333333333333,0.07142857142857142,0.06666666666666667,0.07142857142857142,0.07692307692307693,0.0,0.07142857142857142,0.125,0.07692307692307693,0.058823529411764705,0.07142857142857142,0.05263157894736842,0.14285714285714285,0.06666666666666667
id,0.05263157894736842,0.125,0.07142857142857142,0.07142857142857142,0.08333333333333333,0.07142857142857142,0.0,0.0625,0.25,0.058823529411764705,0.08333333333333333,0.043478260869565216,0.06666666666666667,0.3333333333333333
incorporation_date,0.1111111111111111,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.08333333333333333,0.125,0.0625,0.0,0.06666666666666667,0.058823529411764705,0.0625,0.05263157894736842,0.14285714285714285,0.058823529411764705
name,0.05555555555555555,0.1111111111111111,0.09090909090909091,0.08333333333333333,0.1,0.07692307692307693,0.25,0.06666666666666667,0.0,0.06666666666666667,0.08333333333333333,0.043478260869565216,0.07142857142857142,0.25
nature_of_business,0.05263157894736842,0.0625,0.06666666666666667,0.06666666666666667,0.0625,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.06666666666666667,0.0,0.07692307692307693,0.0625,0.058823529411764705,0.0625
office_address,0.05555555555555555,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.07142857142857142,0.08333333333333333,0.0625,0.08333333333333333,0.07692307692307693,0.0,0.09090909090909091,0.06666666666666667,0.07692307692307693
registered_office_address,0.047619047619047616,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.05263157894736842,0.043478260869565216,0.05263157894736842,0.043478260869565216,0.0625,0.09090909090909091,0.0,0.07142857142857142,0.041666666666666664
registration_date,0.1,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.07142857142857142,0.14285714285714285,0.06666666666666667,0.14285714285714285,0.07142857142857142,0.058823529411764705,0.06666666666666667,0.07142857142857142,0.0,0.0625
url,0.05,0.1,0.07692307692307693,0.07142857142857142,0.08333333333333333,0.06666666666666667,0.3333333333333333,0.058823529411764705,0.25,0.0625,0.07692307692307693,0.041666666666666664,0.0625,0.0
