,index,foundation_year,headquarter,industry,name,ownership
0,0,1968,"mumbai, maharashtra, india",it services & consulting,tcs,public
1,1,1989,"dublin, ireland",it services & consulting,accenture,public
2,2,1994,"teaneck. new jersey., united states (usa)",it services & consulting,cognizant,private
3,3,1994,"mumbai, maharashtra, india",banking,icici bank,public
4,4,1994,"mumbai, maharashtra, india",banking,hdfc bank,public
5,5,1945,"bangalore/bengaluru, karnataka, india",it services & consulting,wipro,public
6,6,1981,"bengaluru/bangalore, karnataka, india",it services & consulting,infosys,public
7,7,1967,"paris, france",it services & consulting,capgemini,public
8,8,1986,"pune, maharashtra, india",it services & consulting,tech mahindra,public
9,9,1997,"new york, new york, united states (usa)",it services & consulting,genpact,public
10,10,1991,,it services & consulting,hcltech,public
11,11,1994,"seattle,washington, united states",internet,amazon,public
12,12,1993,"mumbai, maharashtra, india",banking,axis bank,public
13,13,1911,"armonk,new york, united states",software product,ibm,public
14,14,1983,"fremont, california, united states (usa)",bpo,concentrix corporation,public
15,15,2007,"navi mumbai, maharashtra, india",telecom,reliance jio,public
16,16,1946,"mumbai, maharashtra, india",engineering & construction,larsen & toubro limited,public
17,17,2007,"ahmedabad, gujrat, india",nbfc,hdb financial services,private
18,18,2018,"gandhinagar, gujrat, india",it services & consulting,vodafone idea,public
19,19,1978,"paris, france",bpo,teleperformance,private
20,20,2006,"navi mumbai, maharashtra, india",retail,reliance retail,private
21,21,2003,"mumbai, maharashtra, india",banking,kotak mahindra bank,public
22,22,1845,"new york, new york, united states (usa)",management consulting,deloitte,private
23,23,1973,"navi mumbai, maharashtra, india",oil & gas,reliance industries,public
24,24,1995,"gurgaon/gurugram, haryana, india",telecom,bharti airtel,public
25,25,1945,"pune, maharashtra, india",automobile,tata motors,public
26,26,2011,"bangalore,karnataka, india",edtech,byju's,private
27,27,2007,"bangalore,karnataka, india",internet,flipkart,public
28,28,1996,"mumbai, maharashtra, india",analytics & kpo,wns,private
29,29,1945,"mumbai, maharashtra, india",automobile,mahindra & mahindra,public
30,30,1994,"gurgaon/gurugram, haryana, india",banking,indusind bank,public
31,31,1989,"london, england",consulting,ernst & young,private
32,32,2017,"minato,tokyo, japan",it services & consulting,dxc technology,public
33,33,2000,"bangalore/bengaluru, karnataka, india",bpo,hinduja global solutions,public
34,34,2002,"bangalore/bengaluru, karnataka, india",bpo,infosys bpm,
35,35,1983,"new delhi, delhi, india",automobile,maruti suzuki,public
36,36,2018,"mumbai, maharashtra, india",banking,idfc first bank,public
37,37,2002,"pune, maharashtra, india",banking,hsbc,private
38,38,2007,"pune,maharashtra, india",insurance,bajaj finserv,public
39,39,1876,"stockholm,stockholm county, sweden",telecom,ericsson,private
40,40,2002,"mumbai, maharashtra, india",analytics & kpo,conneqt business solutions,private
41,41,1998,"bangalore/bengaluru, karnataka, india",it services & consulting,mphasis,public
42,42,2017,"mumbai, maharashtra, india",bpo,startek,public
43,43,1986,"hyderabad/secunderabad, telangana, india",pharma,dr. reddy's,public
44,44,1986,"pittsford, new york, united states (usa)",it services & consulting,sutherland global services,private
45,45,1935,"mumbai, maharashtra, india",pharma,cipla pharmaceutical,public
46,46,2004,"mumbai, maharashtra, india",banking,yes bank,public
47,47,2016,"bangalore,karnataka, india",internet,udaan,private
48,48,2006,"bangalore/bengaluru, karnataka, india",banking,jana small finance bank,public
49,49,1942,"mumbai, maharashtra, india",chemicals,asian paints,public
50,50,1988,"chiyoda city, tokyo, japan",it services & consulting,ntt data,private
51,51,2000,"mumbai, maharashtra, india",insurance,icici prudential life insurance,public
52,52,2000,"mumbai, maharashtra, india",insurance,hdfc life,public
53,53,1968,"mumbai, maharashtra, india",pharma,lupin,public
54,54,0,,it services & consulting,hcl group,
55,55,1998,"london, united kingdom (uk)",consulting,pwc,partnership
56,56,1999,"new york city,new york, united states",analytics & kpo,exl service,private
57,57,2000,"noida, uttar pradesh, india",bpo,ienergizer,private
58,58,1895,"new delhi, delhi, india",defence & aerospace,indian army,public
59,59,1996,"mumbai, maharashtra, india",it services & consulting,l&t infotech,public
60,60,1983,"mumbai, maharashtra, india",building material,ultratech cement,public
61,61,1987,"pune, maharashtra, india",nbfc,bajaj finance,private
62,62,2012,"gurugram, india",financial services,home credit finance,private
63,63,1987,,consulting,kpmg,partnership
64,64,2010,"noida, india",bpo,paytm,public
65,65,1999,"bangalore/bengaluru, karnataka, india",it services & consulting,mindtree,public
66,66,1933,"mumbai, maharashtra, india",fmcg,hindustan unilever,public
67,67,1975,"kolkata, west bengal, india",fmcg,itc,public
68,68,2017,"bangalore/bengaluru, karnataka, india",banking,ujjivan small finance bank,public
69,69,1995,"mumbai, maharashtra, india",financial services,iifl,public
70,70,2001,"kolkata, west bengal, india",banking,bandhan bank,public
71,71,2004,"dongguan, guangdong, china",consumer electronics & appliances,oppo,public
72,72,2000,"new york, new york, united states (usa)",investment banking / venture capital / private equity,jp morgan chase,private
73,73,1852,"san francisco, california, united states (usa)",it services & consulting,wells fargo india,public
74,74,1952,"ahmedabad, india, india",pharma,zydus cadila,public
75,75,2011,"delhi,nct, india",logistics,delhivery,private
76,76,1979,"mumbai, maharashtra, india",nbfc,shriram transport finance,public
77,77,1983,"mumbai, india",pharma,sun pharmaceutical industries,public
78,78,1865,"mumbai, maharashtra, india",engineering & construction,shapoorji pallonji group,private
79,79,1948,"chennai, tamil nadu, india",automobile,ashok leyland,public
80,80,1986,"hyderabad/secunderabad, telangana, india",pharma,aurobindo pharma,public
81,81,2009,"gurgaon/gurugram, haryana, india",consumer electronics & appliances,vivo,private
82,82,1991,"mumbai, maharashtra, india",nbfc,mahindra & mahindra financial services,public
83,83,1996,"jaipur, rajasthan, india",financial services,au small finance bank,private
84,84,1847,"munich,bavaria, germany",power,siemens,public
85,85,1983,"san francisco,california, united states",healthcare,apollo hospitals,public
86,86,2015,"houston,texas, united states",it services & consulting,hewlett-packard enterprise,private
87,87,1865,"espoo, southern finland, finland",hardware & networking,nokia,private
88,88,2000,"gurgaon/gurugram, haryana, india",insurance,max life insurance,jv
89,89,1907,"mumbai, maharashtra, india",iron & steel,tata steel,public
90,90,1907,"mumbai, maharashtra, india",iron & steel,tata steel,public
91,91,2001,"mumbai, maharashtra, india",bpo,first source,public
92,92,1990,"mumbai, maharashtra, india",it services & consulting,hexaware technologies,public
93,93,1982,"mumbai, maharashtra, india",iron & steel,jsw steel,public
94,94,1977,"austin,texas, united states",software product,oracle,public
95,95,2000,"mumbai, maharashtra, india",bpo,intelenet global services,private
96,96,2007,"bangalore, india",recruitment,quess,public
97,97,2002,"navi mumbai, maharashtra, india",telecom,reliance communications,public
98,98,1979,"mumbai, maharashtra, india",engineering & construction,tata projects,public
99,99,2013,"mumbai, maharashtra, india",retail,future group,private
100,100,1997,"mumbai, maharashtra, india",real estate,jll,private
101,101,1984,"gurgaon/gurugram, haryana, india",automobile,hero motocorp,public
102,102,1968,"jacksonville,florida, united states",it services & consulting,fidelity national information services,private
103,103,1996,"mumbai,maharashtra, india",internet,justdial,public
104,104,1979,"chennai, tamil nadu, india",automobile,tvs motor,public
105,105,1991,"hyderabad/secunderabad, telangana, india",it services & consulting,cyient,public
106,106,2013,"gurgaon,haryana, india",hospitality,oyo rooms,private
107,107,2001,"pune, india",insurance,bajaj allianz life insurance,private
108,108,1967,"seoul, south korea",automobile,hyundai motor,private
109,109,2000,"bengaluru, india",it services & consulting,wipro bps,
110,110,1886,"gerlingen, baden-wuerttemberg, germany",auto components,bosch,public
111,111,1989,"hyderabad/secunderabad, telangana, india",engineering & construction,megha engineering & infrastructures,private
112,112,2004,"florida, unitedstates",it services & consulting,omega healthcare,private
113,113,1944,"chennai, india",engineering & construction,l&t construction,public
114,114,1980,"troy, michigan, united states (usa)",it services & consulting,atos syntel,private
115,115,2000,"mumbai, maharashtra, india",retail,d mart,private
116,116,1949,"thrissur/trichur, kerala, india",nbfc,manappuram finance,public
117,117,1998,"gurgaon/gurugram, haryana, india",fintech,sbi cards & payment services,government
118,118,1938,"seoul, south korea",consumer electronics & appliances,samsung,public
119,119,2004,"new york city, new york, united states (usa)",it services & consulting,bny mellon,private
120,120,1962,"columbus, indiana, united states (usa)",automobile,cummins,
121,121,2007,"mumbai, india",financial services,fullerton india,private
122,122,1982,"durham, united states",clinical research,iqvia,partnership
123,123,1996,"munich, bavaria, germany",it services & consulting,nagarro,private
124,124,1961,"canonsburg, pennsylvania, united states (usa)",pharma,viatris,
125,125,2015,"mumbai, india",retail,aditya birla fashion and retail,private
126,126,2011,"bangalore,karnataka, india",internet,bigbasket,private
127,127,1982,"chesterfield,missouri, united states",software product,amdocs,private
128,128,1906,"los angeles, california, united states (usa)",real estate,cbre,private
129,129,1990,"gerlingen, germany",software product,bosch global software technologies,private
130,130,1996,"noida,uttar pradesh, india",internet,indiamart intermesh,private
131,131,1897,"mumbai, maharashtra, india",fmcg,godrej & boyce manufacturing,private
132,132,1999,"paris, france",industrial automation,schneider electric,private
133,133,1901,"gurgaon/gurugram, haryana, india",automobile,royal enfield,private
134,134,2001,"aliso viejo, california, united states (usa)",it services & consulting,ust,private
135,135,1903,"dearborn, michigan, united states (usa)",other,ford motor,public
136,136,2012,"gurgaon,haryana, india",logistics,ecom express,private
137,137,1983,"gurgaon/gurugram, haryana, india",auto components,jbm group,public
138,138,2007,"chennai, tamil nadu, india",banking,equitas small finance bank,private
139,139,1806,"mumbai, maharashtra, india",banking,state bank of india,
140,140,1984,"round rock,texas, united states",consumer electronics & appliances,dell,private
141,141,2001,"mumbai, maharashtra, india",insurance,icici lombard general insurance company,public
142,142,2018,"mumbai,maharashtra, india",edtech,whitehat jr,private
143,143,1998,"hyderabad/secunderabad, telangana, india",engineering & construction,nagarjuna construction company,public
144,144,1977,"minnetonka, minnesota, united states (usa)",healthcare,unitedhealth,private
145,145,1945,"pune, maharashtra, india",automobile,bajaj auto,public
146,146,1939,"kochi/cochin, kerala, india",nbfc,muthoot finance,public
147,147,1986,"mumbai, maharashtra, india",telecom,tata communications,public
148,148,1887,"trivandrum/thiruvananthapuram, kerala, india",nbfc,muthoot fincorp,private
149,149,2001,"moline, illinois, united states (usa)",it services & consulting,john deere,private
150,150,2000,"san jose, california, united states (usa)",it services & consulting,globallogic,private
