,index,founded,industry,headquarters,name,size,website
935,935,2012,management consulting,"houston, tx",stellium careers,51 to 200 employees,www.stellium.com
936,936,2007,medical device,"redwood city, ca",auris health careers,"501 to 1,000 employees",www.aurishealth.com
937,937,1985,computer software,"scottsdale, az",jda software careers,"5,001 to 10,000 employees",www.blueyonder.com
938,938,1995,hospital & health care,"rockledge, fl",health first careers,"5,001 to 10,000 employees",www.hf.org
939,939,2008,information services,"london, united kingdom",alphasights careers,"1,001 to 5,000 employees",www.alphasights.com
940,940,1923,broadcast & online media,"burbank, ca",warner bros. entertainment careers,"10,000+ employees",www.warnerbros.com
941,941,1981,medical device,"danvers, ma",abiomed careers,"1,001 to 5,000 employees",www.abiomed.com
942,942,1999,information technology & services,"tampa, fl",system soft technologies careers,"501 to 1,000 employees",sstech.us
943,943,2004,financial services,"indianapolis, indiana",anthem careers,"10,000+ employees",www.antheminc.com
944,944,2014,computer software,"washington, dc",ad hoc llc careers,201 to 500 employees,adhoc.team
945,945,2002,information technology & services,"broomfield, co",betsol careers,"501 to 1,000 employees",www.betsol.com
