00-avengers-name,02-GioPonSpiz-name,03-gren-name,04-iGMM-name,05-MalPatSaj-name,06-MarScoToc-name,07-silvestri-name,08-slytherin-name,10-DeBiGa-name
stryker corporation,"applied materials, inc.","applied materials, inc.",enterprise products partners l.p.,"applied materials, inc.",convatec group plc,"applied materials, inc.",shanghai jin jiang international hotels development co. ltd,wal-mart de mexico sab de cv
british american tobacco plc,"anthem, inc.","anthem, inc.",itaú unibanco holding sa,"anthem, inc.",tritax big box reit plc,"anthem, inc.",bharatiya global infomedia ltd,freeport-mcmoran inc.
"altria group, inc.",international business machines corporation,international business machines corporation,"marvell technology, inc.",international business machines corporation,farfetch limited,international business machines corporation,rajvir industries ltd,norfolk southern corporation
nippon telegraph & telephone corp,unilever plc,unilever plc,"honda motor co., ltd.",unilever plc,rit capital partners,unilever plc,metabolic explorer sa,kddi corp
saudi basic industries corp,"blackrock, inc.","blackrock, inc.","paychex, inc.","blackrock, inc.",mimecast limited,"blackrock, inc.",latécoère sa,northrop grumman corporation
byd company,hdfc bank limited,hdfc bank limited,centene corporation,hdfc bank limited,international game technology plc,hdfc bank limited,lakshmi precision screws ltd,aon plc
charter communications,diageo plc,diageo plc,the kraft heinz company,diageo plc,direct line insurance group plc,diageo plc,pradip overseas ltd,bayerische motoren werke ag
"airbnb, inc.",american tower corporation (reit),american tower corporation (reit),"roper technologies, inc.",american tower corporation (reit),derwent london plc,american tower corporation (reit),el-mor electric installation & services ,bank of communications co. ltd
al rajhi banking and investment corp,siemens ag,siemens ag,"mercadolibre, inc.",siemens ag,imi plc,siemens ag,opal balance investments ltd,kla corporation
infosys limited,meituan,meituan,"illumina, inc.",meituan,johnson matthey plc,meituan,arena star group ltd,humana inc.
target corporation,keyence corp,keyence corp,safran sa,keyence corp,hicl infrastructure plc,keyence corp,dolphin offshore enterprises ,tc energy corporation
"servicenow, inc.","the goldman sachs group, inc.","the goldman sachs group, inc.","synopsys, inc.","the goldman sachs group, inc.",wizz air holdings plc,"the goldman sachs group, inc.",radaan mediaworks india ltd,the saudi national bank
vale sa,transurban group,transurban group,novatek pjsc,transurban group,atotech ltd,transurban group,thiru arooran sugars ltd,ihs markit ltd.
