02-GioPonSpiz-stock,03-gren-stock,05-MalPatSaj-stock,07-silvestri-stock,10-DeBiGa-stock
ri,601857,601857,601857,d05
slb,cba,cba,cba,601166
9mw,low,low,low,wm
itub,amgn,amgn,amgn,abbn
epd,601988,601988,601988,wbc
603288,hsba,hsba,hsba,pgr
8058,0941,0941,941,itw
cm,tte,tte,tte,vrtx
mar,hon,hon,hon,shw
pdd,cop,cop,cop,bayn
info,cvs,cvs,cvs,6098
1180,601318,601318,601318,ibe
trp,sap,sap,sap,fisv
hum,pypl,pypl,pypl,sber
klac,san,san,san,ubsg
601328,de,de,de,psa
bmwb,amd,amd,amd,amxa
mqg,intu,intu,intu,bnp
6758,6758,6758,6758,enel
rio,rio,rio,rio,d
1299,1299,1299,1299,cs
lmt,lmt,lmt,lmt,gd
cat,cat,cat,cat,mrna
abi,abi,abi,abi,aal
eqnr,eqnr,eqnr,eqnr,shl
cdi,cdi,cdi,cdi,eog
pld,pld,pld,pld,bbca
amat,amat,amat,amat,walmex
antm,antm,antm,antm,fcx
ibm,ibm,ibm,ibm,nsc
ulvr,ulvr,ulvr,ulvr,9433
blk,blk,blk,blk,noc
hdb,hdb,hdb,hdb,aon
dge,dge,dge,dge,bmwb
amt,amt,amt,amt,601328
sie,sie,sie,sie,klac
3690,3690,3690,3690,hum
6861,6861,6861,6861,trp
gs,gs,gs,gs,1180
tcl,tcl,tcl,tcl,info
itx,itx,itx,itx,pdd
ba,ba,ba,ba,mar
gsk,gsk,gsk,gsk,cm
c,c,c,c,8058
vow3,vow3,vow3,vow3,603288
sbux,sbux,sbux,sbux,epd
vale3,vale3,vale3,vale3,itub
now,now,now,now,9mw
tgt,tgt,tgt,tgt,slb
infy,infy,infy,infy,ri
1120,1120,1120,1120,apd
abnb,abnb,abnb,abnb,mrvl
chtr,chtr,chtr,chtr,rel
002594,002594,002594,2594,wday
2010,2010,2010,2010,dg
9432,9432,9432,9432,300760
mo,mo,mo,mo,scco
bats,bats,bats,bats,7010
syk,syk,syk,syk,9633
spgi,spgi,spgi,spgi,rkt
el,el,el,el,anz
ge,ge,ge,ge,panw
dai,dai,dai,dai,emr
cb,cb,cb,cb,cof
alv,alv,alv,alv,0388
pbr,pbr,pbr,pbr,9999
air,air,air,air,dpwa
lfc,lfc,lfc,lfc,sq
adp,adp,adp,adp,ntr
bp.,bp.,bp.,bp.,0883
601088,601088,601088,601088,atco.a
bkng,bkng,bkng,bkng,adyen
cnr,cnr,cnr,cnr,hlag
enb,enb,enb,enb,san
su,su,su,su,fis
dte,dte,dte,dte,adi
mrk,mrk,mrk,mrk,etn
mdlz,mdlz,mdlz,mdlz,pxd
9618,9618,9618,9618,7974
vulc,vulc,vulc,vulc,mco
zts,zts,zts,zts,uber
csl,csl,csl,csl,se
mmm,mmm,mmm,mmm,payx
duk,duk,duk,duk,cnc
bns,bns,bns,bns,khc
bx,bx,bx,bx,rop
bam.a,bam.a,bam.a,bam.a,meli
glen,glen,glen,glen,ilmn
cme,cme,cme,cme,saf
mmc,mmc,mmc,mmc,snps
mu,mu,mu,mu,nvtk
8306,8306,8306,8306,ecl
ci,ci,ci,ci,601888
shop,shop,shop,shop,2317
ai,ai,ai,ai,fmg
hca,hca,hca,hca,aep
nab,nab,nab,nab,adm
cci,cci,cci,cci,gaca
el,el,el,el,agrip
usb,usb,usb,usb,lhx
8035,8035,8035,8035,7203
bmo,bmo,bmo,bmo,6902
ker,ker,ker,ker,bce
600900,600900,600900,600900,stla
600028,600028,600028,600028,eni
so,so,so,so,8001
lrcx,lrcx,lrcx,lrcx,xlnx
pnc,pnc,pnc,pnc,nxpi
bdx,bdx,bdx,bdx,9983
gild,gild,gild,gild,lbsi
regn,regn,regn,regn,oxy
tfc,tfc,tfc,tfc,sre
cnq,cnq,cnq,cnq,bas
ice,ice,ice,ice,tri
tjx,tjx,tjx,tjx,lseg
team,team,team,team,lonn
zurn,zurn,zurn,zurn,race
ew,ew,ew,ew,snap
6501,aon,aon,aon,ftnt
scg,noc,noc,noc,dg
2454,9433,9433,9433,aig
lulu,nsc,nsc,nsc,mpc
dow,fcx,fcx,fcx,cp
rosn,walmex,walmex,walmex,abev3
mck,bbca,bbca,bbca,heia
su,eog,eog,eog,9984
vmw,shl,shl,shl,ergn
jci,aal,aal,aal,kdp
orly,mrna,mrna,mrna,4519
gmexicob,gd,gd,gd,6367
crwd,cs,cs,cs,ng.
npn,d,d,d,601899
adsk,enel,enel,enel,wipro
pru,bnp,bnp,bnp,207940
omzzp,amxa,amxa,amxa,8316
ctsh,psa,psa,psa,cmg
nue,ubsg,ubsg,ubsg,cdns
dxcm,sber,sber,sber,ctas
bbdc3,fisv,fisv,fisv,iqv
6594,ibe,ibe,ibe,azo
ads1,6098,6098,6098,tel
sika,bayn,bayn,bayn,isp
9888,shw,shw,shw,lkoh
4502,vrtx,vrtx,vrtx,1211
hsy,itw,itw,itw,8031
aph,pgr,pgr,pgr,ddog
vnja,wbc,wbc,wbc,stz
vod,abbn,abbn,abbn,ifxa
idxx,wm,wm,wm,trv
trv,601166,601166,601166,idxx
ifxa,d05,d05,d05,vod
stz,ibn,ibn,ibn,vnja
ddog,eqix,eqix,eqix,aph
8031,nem,nem,nem,hsy
1211,f,f,f,4502
lkoh,cl,cl,cl,9888
isp,exc,exc,exc,sika
tel,snow,snow,snow,ads1
azo,4661,4661,4661,6594
iqv,000660,000660,660,bbdc3
ctas,maersk.b,maersk.b,maersk.b,dxcm
cdns,4063,4063,4063,nue
cmg,fdx,fdx,fdx,ctsh
8316,bsx,bsx,bsx,omzzp
207940,ppwlm,ppwlm,ppwlm,pru
wipro,dsy,dsy,dsy,adsk
601899,met,met,met,npn
hpq,gm,gm,gm,crwd
shel,se,se,se,gmexicob
novn,uber,uber,uber,orly
azn,mco,mco,mco,jci
intc,7974,7974,7974,vmw
wfc,pxd,pxd,pxd,su
adbe,etn,etn,etn,mck
crm,adi,adi,adi,rosn
ups,fis,fis,fis,dow
601939,san,san,san,lulu
mcd,hlag,hlag,hlag,2454
600036,adyen,adyen,adyen,scg
300750,atco.a,atco.a,atco.a,6501
unp,0883,0883,883,600309
t,ntr,ntr,ntr,u11
qcom,sq,sq,sq,xel
txn,dpwa,dpwa,dpwa,well
bmy,9999,9999,9999,msci
prx,0388,0388,388,2388
lin,cof,cof,cof,bax
nee,emr,emr,emr,600030
601288,panw,panw,panw,gpn
tmus,anz,anz,anz,a
ms,rkt,rkt,rkt,wba
nflx,9633,9633,9633,dlr
ry,7010,7010,7010,o39
schw,scco,scco,scco,carr
pm,300760,300760,300760,bk
mdt,dg,dg,dg,300059
rtx,wday,wday,wday,msi
axp,rel,rel,rel,gmkn
rms,mrvl,mrvl,mrvl,inga
td,apd,apd,apd,vlo
601857,ri,ri,ri,0011
cba,slb,slb,slb,all
low,9mw,9mw,9mw,wmb
amgn,itub,itub,itub,dvn
601988,epd,epd,epd,stm
hsba,603288,603288,603288,22ua
0941,8058,8058,8058,mfc
tte,cm,cm,cm,kr
hon,mar,mar,mar,syy
cop,pdd,pdd,pdd,603259
cvs,info,info,info,hlt
601318,1180,1180,1180,dsv
sap,trp,trp,trp,3382
pypl,hum,hum,hum,gis
san,klac,klac,klac,ctva
de,601328,601328,601328,601012
amd,bmwb,bmwb,bmwb,mnst
intu,mqg,mqg,mqg,300999
aon,ng.,ng.,ng.,7741
noc,6367,6367,6367,rsg
9433,4519,4519,4519,wes
nsc,kdp,kdp,kdp,1810
fcx,ergn,ergn,ergn,kmb
walmex,9984,9984,9984,kmi
bbca,heia,heia,heia,6981
eog,abev3,abev3,abev3,abx
shl,cp,cp,cp,afl
aal,mpc,mpc,mpc,spg
mrna,aig,aig,aig,lloy
gd,dg,dg,dg,wow
cs,ftnt,ftnt,ftnt,isrg
d,snap,snap,snap,expn
enel,race,race,race,rmd
bnp,lonn,lonn,lonn,neste
amxa,lseg,lseg,lseg,600809
psa,tri,tri,tri,coin
ubsg,bas,bas,bas,nio
sber,sre,sre,sre,net
fisv,oxy,oxy,oxy,bn
ibe,lbsi,lbsi,lbsi,lyb
6098,9983,9983,9983,wcn
bayn,nxpi,nxpi,nxpi,tdg
shw,xlnx,xlnx,xlnx,peg
vrtx,8001,8001,8001,t
itw,eni,eni,eni,600887
pgr,stla,stla,stla,csu
wbc,bce,bce,bce,600000
abbn,6902,6902,6902,dash
wm,7203,7203,7203,muv2
601166,lhx,lhx,lhx,601816
d05,agrip,agrip,agrip,600276
ibn,gaca,gaca,gaca,8766
eqix,adm,adm,adm,ph
nem,aep,aep,aep,6273
f,fmg,fmg,fmg,tt
cl,2317,2317,2317,psx
exc,601888,601888,601888,ea
snow,ecl,ecl,ecl,byra
4661,nvtk,nvtk,nvtk,dim
000660,snps,snps,snps,cpg
maersk.b,saf,saf,saf,4568
4063,ilmn,ilmn,ilmn,cap
fdx,meli,meli,meli,sbac
bsx,rop,rop,rop,dltr
ppwlm,khc,khc,khc,aca
dsy,cnc,cnc,cnc,vol4
met,payx,payx,payx,1024
gm,7267,7267,7267,dell
ng.,6501,6501,6501,bbva
6367,scg,scg,scg,bkr
4519,2454,2454,2454,ec
kdp,lulu,lulu,lulu,alc
ergn,dow,dow,dow,pru
9984,rosn,rosn,rosn,nzym.b
heia,mck,mck,mck,givn
abev3,su,su,su,ebay
cp,vmw,vmw,vmw,atd.b
mpc,jci,jci,jci,6eq
aig,orly,orly,orly,hes
dg,gmexicob,gmexicob,gmexicob,ora
ftnt,crwd,crwd,crwd,db1
snap,npn,npn,npn,cve
race,adsk,adsk,adsk,aptv
lonn,pru,pru,pru,rok
lseg,omzzp,omzzp,omzzp,slf
tri,ctsh,ctsh,ctsh,otis
bas,nue,nue,nue,zm
sre,dxcm,dxcm,dxcm,1109
oxy,bbdc3,bbdc3,bbdc3,eric.a
lbsi,6594,6594,6594,iff
9983,ads1,ads1,ads1,000002
nxpi,sika,sika,sika,ad
xlnx,9888,9888,9888,ptt
8001,4502,4502,4502,8411
eni,hsy,hsy,hsy,kkr
stla,aph,aph,aph,600048
bce,vnja,vnja,vnja,0066
6902,vod,vod,vod,6954
7203,idxx,idxx,idxx,knin
lhx,trv,trv,trv,dfs
agrip,ifxa,ifxa,ifxa,tsn
gaca,stz,stz,stz,hal
adm,ddog,ddog,ddog,trow
aep,8031,8031,8031,2412
fmg,1211,1211,1211,eqr
2317,lkoh,lkoh,lkoh,300122
601888,isp,isp,isp,ajg
ecl,tel,tel,tel,4689
nvtk,azo,azo,azo,vrsk
snps,iqv,iqv,iqv,syd
saf,ctas,ctas,ctas,oew
ilmn,cdns,cdns,cdns,algn
meli,cmg,cmg,cmg,fast
rop,8316,8316,8316,amp
khc,207940,207940,207940,mt
cnc,wipro,wipro,wipro,1876
payx,601899,601899,601899,601998
7267,hpq,hpq,hpq,ed
lloy,lloy,lloy,lloy,lng
spg,spg,spg,spg,odfl
afl,afl,afl,afl,0016
abx,abx,abx,abx,yum
6981,6981,6981,6981,imo
kmi,kmi,kmi,kmi,avb
kmb,kmb,kmb,kmb,g
1810,1810,1810,1810,hxg
wes,wes,wes,wes,tls
rsg,rsg,rsg,rsg,hen
7741,7741,7741,7741,twtr
300999,300999,300999,300999,et
mnst,mnst,mnst,mnst,l
601012,601012,601012,601012,veev
ctva,ctva,ctva,ctva,nokia.sek
gis,gis,gis,gis,600104
3382,3382,3382,3382,stt
dsv,dsv,dsv,dsv,engi
hlt,hlt,hlt,hlt,600585
603259,603259,603259,603259,fnv
syy,syy,syy,syy,601601
kr,kr,kr,kr,zs
mfc,mfc,mfc,mfc,eoaa
22ua,22ua,22ua,22ua,ame
stm,stm,stm,stm,600436
dvn,dvn,dvn,dvn,6505
wmb,wmb,wmb,wmb,dsm
all,all,all,all,scmn
0011,0011,0011,11,biib
vlo,vlo,vlo,vlo,6178
inga,inga,inga,inga,crh
gmkn,gmkn,gmkn,gmkn,0728
msi,msi,msi,msi,es
300059,300059,300059,300059,601138
bk,bk,bk,bk,2914
carr,carr,carr,carr,glw
o39,o39,o39,o39,gmg
dlr,dlr,dlr,dlr,oke
wba,wba,wba,wba,mtd
a,a,a,a,tlk
gpn,gpn,gpn,gpn,ppg
600030,600030,600030,600030,7182
bax,bax,bax,bax,0960
2388,2388,2388,2388,601633
msci,msci,msci,msci,pcar
well,well,well,well,wege3
xel,xel,xel,xel,bf.b
u11,u11,u11,u11,barc
600309,600309,600309,600309,2020
dd,dd,dd,dd,z74
6eq,6eq,6eq,6eq,600690
atd.b,atd.b,atd.b,atd.b,clnx
ebay,ebay,ebay,ebay,0267
givn,givn,givn,givn,2269
nzym.b,nzym.b,nzym.b,nzym.b,0688
pru,pru,pru,pru,abc
alc,alc,alc,alc,wec
ec,ec,ec,ec,rost
bkr,bkr,bkr,bkr,003816
bbva,bbva,bbva,bbva,srg
dell,dell,dell,dell,mg
1024,1024,1024,1024,105560
vol4,vol4,vol4,vol4,shb.a
aca,aca,aca,aca,fme
dltr,dltr,dltr,dltr,edp
sbac,sbac,sbac,sbac,fer
cap,cap,cap,cap,moh
4568,4568,4568,4568,avtr
cpg,cpg,cpg,cpg,2313
dim,dim,dim,dim,jbss3
byra,byra,byra,byra,tru
psx,psx,psx,psx,acgl
ea,ea,ea,ea,mro
tt,tt,tt,tt,601688
6273,6273,6273,6273,0788
ph,ph,ph,ph,akam
8766,8766,8766,8766,600196
600276,600276,600276,600276,bill
601816,601816,601816,601816,0012
muv2,muv2,muv2,muv2,gib.a
dash,dash,dash,dash,4911
600000,600000,600000,600000,bip.un
csu,csu,csu,csu,6723
600887,600887,600887,600887,krz
t,t,t,t,holx
peg,peg,peg,peg,ry4c
tdg,tdg,tdg,tdg,sbk
wcn,wcn,wcn,wcn,av.
lyb,lyb,lyb,lyb,601800
bn,bn,bn,bn,0291
net,net,net,net,ter
nio,nio,nio,nio,4452
coin,coin,coin,coin,klbn11
600809,600809,600809,600809,payc
neste,neste,neste,neste,vedl
rmd,rmd,rmd,rmd,688599
expn,expn,expn,expn,tw
isrg,isrg,isrg,isrg,sui
wow,wow,wow,wow,hnrb
mplx,mplx,mplx,mplx,pki
tls,tls,tls,tls,nhy
hxg,hxg,hxg,hxg,pfg
g,g,g,g,imb
avb,avb,avb,avb,2891
imo,imo,imo,imo,0390
yum,yum,yum,yum,tel
0016,0016,0016,16,slhn
odfl,odfl,odfl,odfl,601319
lng,lng,lng,lng,0001
ed,ed,ed,ed,aot
601998,601998,601998,601998,siri
1876,1876,1876,1876,paha
mt,mt,mt,mt,688981
amp,amp,amp,amp,tsco
fast,fast,fast,fast,efx
algn,algn,algn,algn,aht
oew,oew,oew,oew,cern
syd,syd,syd,syd,hrl
vrsk,vrsk,vrsk,vrsk,apa
4689,4689,4689,4689,ntgy
ajg,ajg,ajg,ajg,0669
300122,300122,300122,300122,csx
eqr,eqr,eqr,eqr,sivb
2412,2412,2412,2412,601919
trow,trow,trow,trow,rwe
hal,hal,hal,hal,lvs
tsn,tsn,tsn,tsn,600438
dfs,dfs,dfs,dfs,rci.b
knin,knin,knin,knin,edf
6954,6954,6954,6954,ams
0066,0066,0066,66,4503
600048,600048,600048,600048,keys
kkr,kkr,kkr,kkr,bll
8411,8411,8411,8411,5110
ptt,ptt,ptt,ptt,wy
ad,ad,ad,ad,ndaq
000002,000002,000002,2,spot
iff,iff,iff,iff,cprt
eric.a,eric.a,eric.a,eric.a,2882
1109,1109,1109,1109,ucg
zm,zm,zm,zm,kdb
otis,otis,otis,otis,mtch
slf,slf,slf,slf,wltw
rok,rok,rok,rok,1010
aptv,aptv,aptv,aptv,vws
cve,cve,cve,cve,cmi
db1,db1,db1,db1,alz
ora,ora,ora,ora,are
hes,hes,hes,hes,sgo
nwg,nwg,nwg,nwg,wst
rost,rost,rost,rost,6702
wec,wec,wec,wec,awk
abc,abc,abc,abc,cbre
0688,0688,0688,688,fitb
2269,2269,2269,2269,ba.
0267,0267,0267,267,ferg
clnx,clnx,clnx,clnx,7309
600690,600690,600690,600690,ctra
z74,z74,z74,z74,b3sa3
2020,2020,2020,2020,tdy
barc,barc,barc,barc,key
bf.b,bf.b,bf.b,bf.b,mtb
wege3,wege3,wege3,wege3,8750
pcar,pcar,pcar,pcar,ulta
601633,601633,601633,601633,zbra
0960,0960,0960,960,mpwr
7182,7182,7182,7182,qsp.un
ppg,ppg,ppg,ppg,dre
tlk,tlk,tlk,tlk,hban
mtd,mtd,mtd,mtd,cnhi
oke,oke,oke,oke,njb
gmg,gmg,gmg,gmg,cf
glw,glw,glw,glw,cinf
2914,2914,2914,2914,6201
601138,601138,601138,601138,gebn
es,es,es,es,zto
0728,0728,0728,728,8113
crh,crh,crh,crh,xpbr31
6178,6178,6178,6178,swks
biib,biib,biib,biib,601766
scmn,scmn,scmn,scmn,clr
dsm,dsm,dsm,dsm,hu3
6505,6505,6505,6505,femsaub
600436,600436,600436,600436,tep
ame,ame,ame,ame,bio
eoaa,eoaa,eoaa,eoaa,hm.b
601601,601601,601601,601601,bbas3
zs,zs,zs,zs,ttm
600585,600585,600585,600585,8053
fnv,fnv,fnv,fnv,601985
engi,engi,engi,engi,okta
stt,stt,stt,stt,emsn
600104,600104,600104,600104,ess
nokia.sek,nokia.sek,nokia.sek,nokia.sek,ccep
twtr,twtr,twtr,twtr,0003
veev,veev,veev,veev,6301
l,l,l,l,gfnorteo
et,et,et,et,2328
hen,hen,hen,hen,k
cpng,cpng,cpng,cpng,hpe
ferg,ferg,ferg,ferg,600018
ba.,ba.,ba.,ba.,ucb
fitb,fitb,fitb,fitb,6752
cbre,cbre,cbre,cbre,erf
awk,awk,awk,awk,sqm
6702,6702,6702,6702,3ad2
wst,wst,wst,wst,vmc
sgo,sgo,sgo,sgo,bt.a
are,are,are,are,4901
alz,alz,alz,alz,fre
cmi,cmi,cmi,cmi,maa
vws,vws,vws,vws,work
1010,1010,1010,1010,ntrs
wltw,wltw,wltw,wltw,xpev
mtch,mtch,mtch,mtch,aena
kdb,kdb,kdb,kdb,2603
ucg,ucg,ucg,ucg,wpl
2882,2882,2882,2882,lyv
cprt,cprt,cprt,cprt,600016
spot,spot,spot,spot,aee
ndaq,ndaq,ndaq,ndaq,chd
wy,wy,wy,wy,vrsn
5110,5110,5110,5110,fang
bll,bll,bll,bll,sgen
keys,keys,keys,keys,pltr
4503,4503,4503,4503,dal
ams,ams,ams,ams,edpr
edf,edf,edf,edf,it
rci.b,rci.b,rci.b,rci.b,cdw
600438,600438,600438,600438,mos
lvs,lvs,lvs,lvs,seb.a
rwe,rwe,rwe,rwe,0027
601919,601919,601919,601919,lr
sivb,sivb,sivb,sivb,enph
csx,csx,csx,csx,1113
0669,0669,0669,669,alb
ntgy,ntgy,ntgy,ntgy,fe
apa,apa,apa,apa,600188
hrl,hrl,hrl,hrl,0002
cern,cern,cern,cern,stmn
aht,aht,aht,aht,len
efx,efx,efx,efx,1303
688981,688981,688981,688981,uri
paha,paha,paha,paha,axisbank
tsco,tsco,tsco,tsco,sanb11
siri,siri,siri,siri,mdb
aot,aot,aot,aot,6503
0001,0001,0001,1,lh
601319,601319,601319,601319,hig
expe,expe,expe,expe,ebk
frc,frc,frc,frc,li
phia,phia,phia,phia,9022
gwo,gwo,gwo,gwo,tef
y92,y92,y92,y92,rblx
sren,sren,sren,sren,601818
eix,eix,eix,eix,o
wkl,wkl,wkl,wkl,soon
on,on,on,on,
cabk,cabk,cabk,cabk,slmnp
sampo,sampo,sampo,sampo,7751
exr,exr,exr,exr,dbk
srt,srt,srt,srt,ifc
dhi,dhi,dhi,dhi,dte
gww,gww,gww,gww,luv
600406,600406,600406,600406,ho
knebv,knebv,knebv,knebv,u
mkc,mkc,mkc,mkc,ksu
9613,9613,9613,9613,pcg
002460,002460,002460,2460,cqp
603501,603501,603501,603501,sand
ibkr,ibkr,ibkr,ibkr,vna
sibn,sibn,sibn,sibn,603392
2881,2881,2881,2881,evo
tsco,tsco,tsco,tsco,5108
lisn,lisn,lisn,lisn,zbh
anss,anss,anss,anss,300015
601225,601225,601225,601225,601225
300015,300015,300015,300015,anss
zbh,zbh,zbh,zbh,lisn
5108,5108,5108,5108,tsco
evo,evo,evo,evo,2881
603392,603392,603392,603392,sibn
vna,vna,vna,vna,ibkr
sand,sand,sand,sand,603501
cqp,cqp,cqp,cqp,002460
pcg,pcg,pcg,pcg,9613
ksu,ksu,ksu,ksu,mkc
u,u,u,u,knebv
ho,ho,ho,ho,600406
luv,luv,luv,luv,gww
dte,dte,dte,dte,dhi
ifc,ifc,ifc,ifc,srt
dbk,dbk,dbk,dbk,exr
7751,7751,7751,7751,sampo
slmnp,slmnp,slmnp,slmnp,cabk
,,,,on
soon,soon,soon,soon,wkl
o,o,o,o,eix
601818,601818,601818,601818,sren
twlo,twlo,twlo,twlo,y92
rblx,rblx,rblx,rblx,gwo
tef,tef,tef,tef,phia
9022,9022,9022,9022,frc
li,li,li,li,heio
ebk,ebk,ebk,ebk,2020
hig,hig,hig,hig,gmab
lh,lh,lh,lh,600346
mdb,mdb,mdb,mdb,ppl
6503,6503,6503,6503,dov
sanb11,sanb11,sanb11,sanb11,vfc
axisbank,axisbank,axisbank,axisbank,7733
uri,uri,uri,uri,rprx
1303,1303,1303,1303,invh
len,len,len,len,601995
stmn,stmn,stmn,stmn,4543
0002,0002,0002,2,gle
600188,600188,600188,600188,300498
fe,fe,fe,fe,foxa
alb,alb,alb,alb,600031
1113,1113,1113,1113,ccl
enph,enph,enph,enph,htht
lr,lr,lr,lr,grmn
0027,0027,0027,27,2303
seb.a,seb.a,seb.a,seb.a,lbrdk
mos,mos,mos,mos,1301
cdw,cdw,cdw,cdw,fts
it,it,it,it,rkt
edpr,edpr,edpr,edpr,mxim
dal,dal,dal,dal,mtn
pltr,pltr,pltr,pltr,6326
sgen,sgen,sgen,sgen,fm
fang,fang,fang,fang,pq9
vrsn,vrsn,vrsn,vrsn,bei
chd,chd,chd,chd,300274
aee,aee,aee,aee,swk
600016,600016,600016,600016,600019
lyv,lyv,lyv,lyv,hznp
wpl,wpl,wpl,wpl,ml
2603,2603,2603,2603,sse
aena,aena,aena,aena,ele
xpev,xpev,xpev,xpev,vtr
ntrs,ntrs,ntrs,ntrs,300014
work,work,work,work,splk
maa,maa,maa,maa,2413
fre,fre,fre,fre,etr
4901,4901,4901,4901,ste
bt.a,bt.a,bt.a,bt.a,bby
vmc,vmc,vmc,vmc,601066
3ad2,3ad2,3ad2,3ad2,mlm
2308,2308,2308,2308,8591
plzl,plzl,plzl,plzl,schn
schn,schn,schn,schn,plzl
8591,8591,8591,8591,2886
mlm,mlm,mlm,mlm,mgm
601066,601066,601066,601066,4307
bby,bby,bby,bby,bro
ste,ste,ste,ste,mkl
etr,etr,etr,etr,cvna
2413,2413,2413,2413,4612
splk,splk,splk,splk,601211
300014,300014,300014,300014,8802
vtr,vtr,vtr,vtr,lato.b
ele,ele,ele,ele,1150
sse,sse,sse,sse,syf
ml,ml,ml,ml,bxp
hznp,hznp,hznp,hznp,2768
600019,600019,600019,600019,fltr
swk,swk,swk,swk,ppl
300274,300274,300274,300274,6971
bei,bei,bei,bei,advanc
pq9,pq9,pq9,pq9,s1te34
fm,fm,fm,fm,cms
6326,6326,6326,6326,2331
mtn,mtn,mtn,mtn,stan
mxim,mxim,mxim,mxim,8002
rkt,rkt,rkt,rkt,rep
fts,fts,fts,fts,rcl
1301,1301,1301,1301,app
lbrdk,lbrdk,lbrdk,lbrdk,ftv
2303,2303,2303,2303,flt
grmn,grmn,grmn,grmn,hubs
htht,htht,htht,htht,mchp
ccl,ccl,ccl,ccl,yndx
600031,600031,600031,600031,sgro
foxa,foxa,foxa,foxa,ir
300498,300498,300498,300498,2319
gle,gle,gle,gle,stx
4543,4543,4543,4543,600111
601995,601995,601995,601995,viaca
invh,invh,invh,invh,zi
rprx,rprx,rprx,rprx,wpm
7733,7733,7733,7733,rf
vfc,vfc,vfc,vfc,lgen
dov,dov,dov,dov,coo
ppl,ppl,ppl,ppl,3659
600346,600346,600346,600346,rdor3
gmab,gmab,gmab,gmab,teck.b
2020,2020,2020,2020,sgsn
heio,heio,heio,heio,1060
9020,9020,9020,1928,8801
sqm,sqm,sqm,9020,jbht
erf,erf,erf,sqm,vie
6752,6752,6752,erf,cez
ucb,ucb,ucb,6752,yumc
600018,600018,600018,ucb,qsr
hpe,hpe,hpe,600018,cpi
k,k,k,hpe,2502
2328,2328,2328,k,600837
gfnorteo,gfnorteo,gfnorteo,2328,ctlt
6301,6301,6301,gfnorteo,pwr
0003,0003,0003,6301,ui
ccep,ccep,ccep,3,4507
ess,ess,ess,ccep,0823
emsn,emsn,emsn,ess,8267
okta,okta,okta,emsn,alny
601985,601985,601985,okta,600999
8053,8053,8053,601985,ttwo
ttm,ttm,ttm,8053,vod
bbas3,bbas3,bbas3,ttm,gpc
hm.b,hm.b,hm.b,bbas3,000776
bio,bio,bio,hm.b,hei
tep,tep,tep,bio,1928
