02-GioPonSpiz-stock,03-gren-stock,05-MalPatSaj-stock,07-silvestri-stock,10-DeBiGa-stock
aapl,aapl,aapl,aapl,car
msft,msft,msft,msft,viv
2222,2222,2222,2222,9020
goog,goog,goog,goog,twlo
amzn,amzn,amzn,amzn,2308
tsla,tsla,tsla,tsla,pow
brk.a,brk.a,brk.a,brk.a,expe
nvda,nvda,nvda,nvda,crda
meta,meta,meta,meta,cpng
2330,2330,2330,2330,mplx
unh,unh,unh,unh,nwg
v,v,v,v,dd
jnj,jnj,jnj,jnj,hpq
0700,0700,0700,700,7267
wmt,wmt,wmt,wmt,mqg
jpm,jpm,jpm,jpm,gm
pg,pg,pg,pg,ew
005930,005930,005930,5930,zurn
mc,mc,mc,mc,team
ma,ma,ma,ma,tjx
bac,bac,bac,bac,ice
rog,rog,rog,rog,cnq
xom,xom,xom,xom,tfc
600519,600519,600519,600519,regn
hd,hd,hd,hd,gild
cvx,cvx,cvx,cvx,bdx
pfe,pfe,pfe,pfe,pnc
abbv,abbv,abbv,abbv,lrcx
9988,9988,9988,9988,so
asml,asml,asml,asml,600028
ko,ko,ko,ko,600900
lly,lly,lly,lly,ker
avgo,avgo,avgo,avgo,bmo
cost,cost,cost,cost,8035
novo.b,novo.b,novo.b,novo.b,usb
601398,601398,601398,601398,el
dis,dis,dis,dis,cci
pep,pep,pep,pep,nab
csco,csco,csco,csco,hca
tmo,tmo,tmo,tmo,ai
orcl,orcl,orcl,orcl,shop
or,or,or,or,ci
acn,acn,acn,acn,8306
cmcsa,cmcsa,cmcsa,cmcsa,mu
vz,vz,vz,vz,mmc
abt,abt,abt,abt,cme
nke,nke,nke,nke,glen
bhp,bhp,bhp,bhp,bam.a
mrk,mrk,mrk,mrk,bx
dhr,dhr,dhr,dhr,bns
se,shel,shel,shel,duk
uber,novn,novn,novn,mmm
mco,azn,azn,azn,csl
7974,intc,intc,intc,zts
pxd,wfc,wfc,wfc,vulc
etn,adbe,adbe,adbe,9618
adi,crm,crm,crm,mdlz
fis,ups,ups,ups,mrk
san,601939,601939,601939,dte
hlag,mcd,mcd,mcd,su
adyen,600036,600036,600036,enb
atco.a,300750,300750,300750,cnr
0883,unp,unp,unp,bkng
ntr,t,t,t,601088
sq,qcom,qcom,qcom,bp.
dpwa,txn,txn,txn,adp
9999,bmy,bmy,bmy,met
0388,prx,prx,prx,dsy
cof,lin,lin,lin,ppwlm
emr,nee,nee,nee,bsx
panw,601288,601288,601288,fdx
anz,tmus,tmus,tmus,4063
rkt,ms,ms,ms,maersk.b
9633,nflx,nflx,nflx,000660
7010,ry,ry,ry,4661
scco,schw,schw,schw,snow
300760,pm,pm,pm,exc
dg,mdt,mdt,mdt,cl
wday,rtx,rtx,rtx,f
rel,axp,axp,axp,nem
mrvl,rms,rms,rms,eqix
apd,td,td,td,ibn
