02-GioPonSpiz-industry,03-gren-industry,04-iGMM-industry,05-MalPatSaj-industry,06-MarScoToc-industry,10-DeBiGa-industry
oil & gas integrated,oil & gas integrated,software—infrastructure,oil & gas integrated,aerospace & defense,medical instruments & supplies
drug manufacturers—general,drug manufacturers—general,diagnostics & research,drug manufacturers—general,insurance brokers,banks
drug manufacturers—general,drug manufacturers—general,communication equipment,drug manufacturers—general,rental & leasing services,semiconductor equipment & materials
internet retail,internet retail,beverages—non-alcoholic,internet retail,grocery stores,utilities—regulated electric
semiconductor equipment & materials,semiconductor equipment & materials,entertainment,semiconductor equipment & materials,telecom services,oil & gas integrated
beverages—non-alcoholic,beverages—non-alcoholic,banks,beverages—non-alcoholic,utilitiesdiversified,utilities—independent power producers
drug manufacturers—general,drug manufacturers—general,biotechnology,drug manufacturers—general,beveragesnon-alcoholic,luxury goods
semiconductors,semiconductors,software—application,semiconductors,farm & heavy construction machinery,banks
discount stores,discount stores,semiconductors,discount stores,insurancelife,semiconductor equipment & materials
biotechnology,biotechnology,farm & heavy construction machinery,biotechnology,reitindustrial,banks
banks,banks,drug manufacturers—general,banks,banks,medical instruments & supplies
entertainment,entertainment,credit services,entertainment,tobacco,reit—specialty
beverages—non-alcoholic,beverages—non-alcoholic,software—application,beverages—non-alcoholic,insurancediversified,banks
communication equipment,communication equipment,insurance—life,communication equipment,specialty chemicals,medical care facilities
diagnostics & research,diagnostics & research,healthcare plans,diagnostics & research,asset management,chemicals
software—infrastructure,software—infrastructure,oil & gas e&p,software—infrastructure,copper,software—application
household & personal products,household & personal products,specialty industrial machinery,household & personal products,asset management,healthcare plans
information technology services,information technology services,oil & gas integrated,information technology services,packaged foods,banks
entertainment,entertainment,telecom services,entertainment,advertising agencies,semiconductors
telecom services,telecom services,banks,telecom services,medical devices,insurance brokers
medical devices,medical devices,banks,medical devices,entertainment,financial data & stock exchanges
footwear & accessories,footwear & accessories,drug manufacturers—general,footwear & accessories,food distribution,other industrial metals & mining
other industrial metals & mining,other industrial metals & mining,home improvement retail,other industrial metals & mining,specialty business services,asset management
drug manufacturers—general,drug manufacturers—general,insurance—life,drug manufacturers—general,lodging,asset management
diagnostics & research,diagnostics & research,aerospace & defense,diagnostics & research,steel,banks
electronic gaming & multimedia,oil & gas integrated,oil & gas integrated,oil & gas integrated,specialty industrial machinery,utilities—regulated electric
software—application,drug manufacturers—general,insurance—diversified,drug manufacturers—general,publishing,specialty industrial machinery
financial data & stock exchanges,drug manufacturers—general,insurance—property & casualty,drug manufacturers—general,grocery stores,biotechnology
electronic gaming & multimedia,semiconductors,auto manufacturers,semiconductors,consulting services,drug manufacturers—specialty & generic
oil & gas e&p,banks,specialty industrial machinery,banks,aerospace & defense,chemicals
specialty industrial machinery,software—infrastructure,household & personal products,software—infrastructure,asset management,internet retail
semiconductors,software—application,financial data & stock exchanges,software—application,apparel retail,confectioners
information technology services,integrated freight & logistics,medical devices,integrated freight & logistics,utilitiesregulated water,drug manufacturers—specialty & generic
banks,banks,tobacco,banks,financial conglomerates,telecom services
marine shipping,restaurants,tobacco,restaurants,utilitiesregulated water,specialty industrial machinery
software—infrastructure,banks,telecom services,banks,specialty retail,oil & gas midstream
specialty industrial machinery,electrical equipment & parts,chemicals,electrical equipment & parts,insuranceproperty & casualty,railroads
oil & gas e&p,railroads,auto manufacturers,railroads,softwareapplication,travel services
agricultural inputs,telecom services,entertainment,telecom services,grocery stores,thermal coal
software—infrastructure,semiconductors,medical devices,semiconductors,softwareapplication,oil & gas integrated
integrated freight & logistics,semiconductors,insurance—diversified,semiconductors,paper & paper products,staffing & employment services
internet content & information,drug manufacturers—general,software—application,drug manufacturers—general,asset management,insurance—life
financial data & stock exchanges,internet content & information,apparel retail,internet content & information,specialty industrial machinery,software—application
credit services,specialty chemicals,financial data & stock exchanges,specialty chemicals,residential construction,utilities—diversified
specialty industrial machinery,utilities—regulated electric,oil & gas e&p,utilities—regulated electric,luxury goods,medical devices
software—infrastructure,banks,banks,banks,medical instruments & supplies,integrated freight & logistics
banks,telecom services,biotechnology,telecom services,softwareinfrastructure,chemicals
household & personal products,capital markets,drug manufacturers—general,capital markets,insurancelife,marine shipping
beverages—non-alcoholic,entertainment,medical instruments & supplies,entertainment,internet content & information,semiconductors
telecom services,banks,banks,banks,real estatediversified,leisure
copper,capital markets,semiconductor equipment & materials,capital markets,specialty industrial machinery,software—application
medical devices,tobacco,utilities—regulated electric,tobacco,asset management,utilities—diversified
engineering & construction,medical devices,oil & gas integrated,medical devices,apparel manufacturing,household & personal products
software—application,aerospace & defense,utilities—independent power producers,aerospace & defense,aerospace & defense,auto manufacturers
publishing,credit services,luxury goods,credit services,reitdiversified,gold
,luxury goods,auto manufacturers,luxury goods,asset management,reit—specialty
