00-avengers-employees,04-iGMM-employees,08-slytherin-employees,10-DeBiGa-employees
,,not found,
,,not found,
,,not found,
,,not found,
,,not found,
,,not found,
,,645,
,,"1,259",
,,not found,
,,42,
,,not found,
,,not found,
,,not found,
,,363,
,,not found,
,,36,
,,24,
,,281,
,,152,
,,not found,
,,50,
,,6,
,,"2,305",
,,"1,079",
,,not found,
,,not found,
,,not found,
,,not found,
,,953,
,,not found,
,,365,
,,"2,204",
,,675,
,,not found,
,,not found,
,,"5,957",
,,92,
,,not found,
,,not found,
,,not found,
,,not found,
,,not found,
,,not found,
,,"2,462",
,,not found,
,,not found,
,,not found,
,,"7,711",
,,339,
,,29,
,,"2,125",
,,174,
,,not found,
,,315,
,,"1,522",
,,not found,
,,not found,
,,"2,009",
,,not found,
,,"25,908",
,,not found,
,,"3,593",
,,"3,079",
,,not found,
,,not found,
,,not found,
,,"5,844",
,,971,
,,211,
,,437,
,,"2,900",
,,"35,000",
,,"2,941",
,,"2,500",
,,"18,178",
,,"2,426",
,,"34,000",
,,"6,000",
,,"4,800",
,,185,
,,"2,356",
,,"7,401",
,,"2,854",
,,401,
,,"5,218",
,,"23,287",
,,282,
,,"100,333",
,,"18,927",
,,"5,097",
,,not found,
,,"3,583",
,,"10,800",
,,"5,200",
,,"25,000",
,,"4,282",
,,"5,866",
,,470,
,,not found,
,,"1,575",
,,"30,418",
,,"4,594",
,,"2,033",
,,388,
,,431,
,,"21,225",
,,752,
,,"3,947",
,,420,
,,675,
,,814,
,,"10,000",
,,not found,
,,"3,590",
,,"13,000",
,,"46,191",
,,"1,907",
,,"1,414",
,,"14,100",
,,"3,733",
,,972,
,,"1,873",
,,"10,994",
,,"1,818",
,,"7,481",
,,"3,500",
,,236,
,,"42,500",
,,"8,200",
,,229,
,,128,
,,"1,654",
,,81,
,,"3,315",
,,"17,400",
,,"9,700",
,,121,
,,"19,189",
,,98,
,,"1,376",
,,"13,300",
,,"31,238",
,,"9,200",
,,"3,079",
,,"1,738",
,,"7,367",
,,591,
,,not found,
,,not found,
,,63,
,,896,
,,408,
,,"1,674",
,,79,
,,not found,
,,190,
,,"9,200",
,,847,
,,"1,215",
,,962,
,,"7,258",
,,"5,500",
,,"7,155",
,,159,
,,"5,838",
,,"7,500",
,,64,
,,984,
,,131,
,,not found,
,,176,
,,986,
,,179,
,,"5,105",
,,not found,
,,not found,
,,"1,546",
,,495,
,,"4,485",
,,"3,100",
,,474,
,,"30,529",
,,"4,600",
,,"19,746",
,,"4,342",
,,"3,889",
,,96,
,,"1,930",
,,"1,702",
,,303,
,,"1,674",
,,"4,704",
,,"12,422",
,,177,
,,69,
,,15,
,,not found,
,,202,
,,110,
,,137,
,,145,
,,"8,409",
,,"2,559",
,,"10,229",
,,259,
,,"13,000",
,,398,
,,"5,133",
,,17,
,,506,
,,"5,900",
,,"39,737",
,,623,
,,239,
,,not found,
,,27,
,,"1,170",
,,9,
,,"1,250",
,,238,
,,239,
,,"4,358",
,,"1,410",
,,"6,277",
,,622,
,,364,
,,"4,403",
,,"1,700",
,,"3,578",
,,72,
,,not found,
,,71,
,,79,
,,632,
,,399,
,,969,
,,686,
,,"8,000",
,,"26,000",
,,"1,312",
,,138,
,,"1,680",
,,60,
,,"3,177",
,,667,
,,"2,260",
,,"38,000",
,,57,
,,"1,012",
,,33,
,,"7,900",
,,270,
,,"1,186",
,,242,
,,"3,616",
,,501,
,,677,
,,"25,841",
,,not found,
,,"1,900",
,,135,
,,"8,000",
,,not found,
,,"1,624",
,,"2,689",
,,"2,250",
,,111,
,,"3,313",
,,78,
,,728,
,,342,
,,"1,940",
,,81,
,,"1,497",
,,335,
,,184,
,,6,
,,489,
,,"1,167",
,,641,
,,41,
,,"7,300",
,,177,
,,"1,052",
,,"9,951",
,,"2,793",
,,158,
,,"7,200",
,,341,
,,not found,
,,"1,723",
,,857,
,,153,
,,"2,293",
,,11,
,,879,
,,231,
,,"3,937",
,,616,
,,65,
,,900,
,,"2,372",
,,893,
,,not found,
,,"2,000",
,,215,
,,"2,600",
,,75,
,,482,
,,193,
,,934,
,,392,
,,42,
,,311,
,,61,
,,87,
,,126,
,,"3,915",
,,64,
,,562,
,,"2,147",
,,"4,690",
,,122,
,,370,
,,410,
,,50,
,,884,
,,43,
,,58,
,,"3,823",
,,123,
,,93,
,,188,
,,968,
,,"1,330",
,,267,
,,937,
,,"17,363",
,,105,
,,"3,800",
,,139,
,,924,
,,"5,512",
,,"1,066",
,,186,
,,"2,351",
,,687,
,,290,
,,129,
,,not found,
,,101,
,,220,
,,"2,042",
,,26,
,,67,
,,698,
,,"1,100",
,,"7,251",
,,319,
,,54,
,,18,
,,111,
,,28,
,,"2,602",
,,367,
,,462,
,,172,
,,204,
,,442,
,,22,
,,72,
,,62,
,,133,
,,658,
,,409,
,,472,
,,206,
,,200,
,,93,
,,384,
,,"5,092",
,,51,
,,"1,303",
,,536,
,,"1,247",
,,"2,095",
,,"7,845",
,,"20,917",
,,128,
,,231,
,,380,
,,866,
,,"1,022",
,,"7,800",
,,26,
,,"1,166",
,,11,
,,80,
,,34,
,,322,
,,132,
,,79,
,,"1,281",
,,181,
,,"4,600",
,,127,
,,241,
,,78,
,,"1,021",
,,"2,304",
,,"13,000",
,,583,
,,"2,188",
,,360,
,,804,
,,"6,200",
,,74,
,,54,
,,756,
,,"5,180",
,,not found,
,,"4,204",
,,81,
,,107,
,,96,
,,450,
,,493,
,,224,
,,"1,130",
,,"3,700",
,,"1,553",
,,"1,081",
,,27,
,,158,
,,36,
,,26,
,,702,
,,47,
,,not found,
,,653,
,,108,
,,"3,352",
,,93,
,,222,
,,"5,131",
,,"1,035",
,,"5,154",
,,788,
,,50,
,,79,
,,362,
,,308,
,,7,
,,"19,000",
,,21,
,,130,
,,"3,417",
,,18,
,,30,
,,46,
,,370,
,,"54,000",
,,364,
,,not found,
,,71,
,,not found,
,,"5,531",
,,43,
,,437,
,,not found,
,,"4,400",
,,498,
,,25,
,,292,
,,56,
,,497,
,,609,
,,192,
,,24,
,,"1,447",
,,198,
,,52,
,,260,
,,"6,900",
,,81,
,,194,
,,"7,052",
,,"1,105",
,,93,
,,"1,213",
,,"1,187",
,,766,
,,880,
,,652,
,,315,
,,7,
,,"2,500",
,,120,
,,128,
,,145,
,,"3,725",
,,482,
,,10,
,,503,
,,347,
,,111,
,,"3,258",
,,"1,248",
,,480,
,,125,
,,62,
,,72,
,,235,
,,228,
,,389,
,,62,
,,66,
,,184,
,,"1,469",
,,218,
,,"1,030",
,,33,
,,79,
,,362,
,,226,
,,123,
,,37,
,,170,
,,293,
,,904,
,,"1,121",
,,11,
,,156,
,,148,
,,740,
,,194,
,,802,
,,3,
,,271,
,,239,
,,"1,867",
,,"2,165",
,,228,
,,"1,340",
,,177,
,,69,
,,793,
,,"5,000",
,,98,
,,140,
,,115,
,,"1,400",
,,"3,300",
,,215,
,,19,
,,30,
,,173,
,,111,
,,126,
,,309,
,,110,
,,276,
,,15,
,,198,
,,249,
,,15,
,,432,
,,623,
,,20,
,,173,
,,122,
,,"2,319",
,,"1,800",
,,"1,415",
,,80,
,,223,
,,132,
,,129,
,,24,
,,157,
,,99,
,,80,
,,286,
,,"1,010",
,,"6,084",
,,11,
,,187,
,,35,
,,49,
,,63,
,,101,
,,543,
,,149,
,,79,
,,157,
,,50,
,,20,
,,30,
,,138,
,,597,
,,223,
,,96,
,,116,
,,117,
,,100,
,,403,
,,131,
,,116,
,,23,
,,50,
,,527,
,,97,
,,340,
,,99,
,,"1,500",
,,45,
,,33,
,,67,
,,208,
,,22,
,,"4,737",
,,110,
,,not found,
,,35,
,,149,
,,109,
,,41,
,,296,
,,1,
,,422,
,,136,
,,"1,090",
,,91,
,,141,
,,150,
,,41,
,,46,
,,"1,100",
,,19,
,,337,
,,134,
,,53,
,,60,
,,663,
,,42,
,,"2,264",
,,37,
,,"1,000",
,,127,
,,38,
,,225,
,,not found,
,,65,
,,88,
,,81,
,,516,
,,406,
,,417,
,,250,
,,19,
,,48,
,,170,
,,801,
,,11,
,,449,
,,27,
,,210,
,,147,
,,47,
,,40,
,,37,
,,62,
,,280,
,,78,
,,147,
,,91,
,,16,
,,54,
,,93,
,,378,
,,90,
,,40,
,,232,
,,not found,
,,752,
,,59,
,,85,
,,not found,
,,28,
,,35,
,,219,
,,455,
,,45,
,,140,
,,94,
,,not found,
,,15,
,,69,
,,"1,828",
,,117,
,,43,
,,"1,200",
,,54,
,,9,
,,26,
,,13,
,,71,
,,85,
,,52,
,,56,
,,35,
,,179,
,,130,
,,123,
,,35,
,,98,
,,105,
,,203,
,,36,
,,66,
,,28,
,,53,
,,"4,668",
,,52,
,,312,
,,"1,008",
,,58,
,,97,
,,913,
,,56,
,,10,
,,67,
,,74,
,,35,
,,24,
,,62,
,,170,
,,77,
,,73,
,,167,
,,321,
,,54,
,,338,
,,608,
,,40,
,,98,
,,169,
,,37,
,,241,
,,40,
,,75,
,,62,
,,450,
,,19,
,,178,
,,46,
,,63,
,,21,
,,152,
,,18,
,,687,
,,77,
,,42,
,,18,
,,90,
,,50,
,,65,
,,975,
,,25,
,,2,
,,84,
,,"1,652",
,,97,
,,20,
,,18,
,,62,
,,25,
,,900,
,,43,
,,517,
,,25,
,,240,
,,31,
,,99,
,,77,
,,81,
,,61,
,,44,
,,4,
,,89,
,,26,
,,40,
,,33,
,,99,
,,590,
,,15,
,,12,
,,40,
,,38,
,,51,
,,163,
,,388,
,,212,
,,74,
,,169,
,,44,
,,490,
,,641,
,,35,
,,72,
,,193,
,,345,
,,not found,
,,80,
,,38,
,,49,
,,100,
,,83,
,,48,
,,not found,
,,99,
,,49,
,,80,
,,151,
,,18,
,,129,
,,309,
,,740,
,,950,
,,"1,555",
,,122,
,,276,
,,66,
,,"1,152",
,,68,
,,982,
,,27,
,,500,
,,950,
,,"1,323",
,,196,
,,24,
,,57,
,,83,
,,25,
,,51,
,,32,
,,121,
,,90,
,,27,
,,156,
,,287,
,,19,
,,190,
,,"1,402",
,,123,
,,"1,450",
,,60,
,,131,
,,178,
,,111,
,,143,
,,254,
,,20,
,,266,
,,"5,010",
,,180,
,,27,
,,578,
,,625,
,,129,
,,not found,
,,76,
,,367,
,,76,
,,65,
,,244,
,,183,
,,59,
,,85,
,,109,
,,407,
,,51,
,,60,
,,40,
,,337,
,,507,
,,210,
,,"1,135",
,,330,
,,138,
,,149,
,,"3,165",
,,385,
,,"3,800",
,,61,
,,"32,382",
,,334,
,,"1,499",
,,"1,208",
,,297,
,,869,
,,262,
,,"1,730",
,,"4,436",
,,141,
,,"1,125",
,,"2,103",
,,"4,400",
,,"2,243",
,,95,
,,67,
,,"3,024",
,,826,
,,"1,739",
,,not found,
,,15,
,,664,
,,"2,948",
,,"1,065",
,,43,
,,not found,
,,not found,
,,405,
,,"1,424",
,,"5,600",
,,"3,870",
,,79,
,,"2,851",
,,"5,374",
,,"1,200",
,,79,
,,193,
,,445,
,,667,
,,169,
,,450,
,,389,
,,"1,197",
,,not found,
,,"1,500",
,,"2,858",
,,32,
,,"4,863",
,,"4,932",
,,"1,461",
,,16,
,,"33,639",
,,"3,976",
,,"1,355",
,,46,
,,949,
,,"2,022",
,,"4,499",
,,745,
,,"1,348",
,,"77,000",
,,"11,000",
,,"13,000",
,,"8,699",
,,"310,400",
,,"1,237",
,,"4,799",
,,"2,651",
,,not found,
,,"1,758",
,,"2,672",
,,248,
,,69,
,,"4,006",
,,14,
,,728,
,,not found,
,,106,
,,258,
,,not found,
,,503,
,,121,
,,520,
,,not found,
,,280,
,,27,
,,297,
,,279,
,,not found,
,,767,
,,"1,063",
,,219,
,,"4,394",
,,454,
,,757,
,,not found,
,,"3,872",
,,11,
,,"1,405",
,,482,
,,32,
,,806,
,,"1,528",
,,87,
,,5,
,,963,
,,136,
,,336,
,,"4,526",
,,not found,
,,513,
,,175,
,,434,
,,56,
,,"1,394",
,,288,
,,841,
,,"10,622",
,,562,
,,"6,444",
,,165,
,,"1,300",
,,"7,153",
,,306,
,,"3,494",
,,"1,907",
,,"1,406",
,,144,
,,630,
,,not found,
,,"5,200",
,,"29,756",
,,782,
,,917,
,,"4,316",
,,"22,993",
,,"1,967",
,,"12,052",
,,"3,339",
,,"45,507",
,,"6,329",
,,"16,110",
,,"3,115",
,,"24,151",
,,"14,910",
,,"8,795",
,,74,
,,"21,468",
,,"4,325",
,,"10,447",
,,"12,880",
,,"3,569",
,,"2,264",
,,"4,753",
,,718,
,,"23,780",
,,"19,134",
,,45,
,,"4,819",
,,"6,568",
,,144,
,,730,
,,"16,180",
,,"2,610",
,,"6,316",
,,271,
,,307,
,,not found,
,,546,
,,"3,572",
,,not found,
,,"6,004",
,,467,
,,not found,
,,"14,054",
,,not found,
,,not found,
,,not found,
,,not found,
,,"6,435",
,,not found,
,,966,
,,not found,
,,"4,034",
,,not found,
,,"1,058",
,,62,
,,not found,
,,141,
,,not found,
,,not found,
,,"2,760",
,,"1,443",
,,not found,
,,"2,296",
,,"1,251",
,,910,
,,not found,
,,"1,929",
,,not found,
,,not found,
,,not found,
,,not found,
,,"3,313",
,,not found,
,,70,
,,not found,
,,832,
,,not found,
,,"13,000",
,,not found,
,,not found,
,,"1,278",
,,"2,368",
,,"2,826",
,,742,
,,859,
,,16,
,,not found,
,,"2,641",
,,542,
,,369,
,,85,
,,not found,
,,30,
,,"1,209",
,,97,
,,530,
,,144,
,,945,
,,not found,
,,"2,272",
,,"1,091",
,,"1,700",
,,73,
,,95,
,,not found,
,,"1,038",
,,864,
,,"1,594",
,,510,
,,not found,
,,508,
,,121,
,,192,
,,391,
,,"1,560",
,,not found,
,,"9,848",
,,283,
,,703,
,,641,
,,555,
,,113,
,,not found,
,,5,
,,"3,185",
,,257,
,,not found,
,,45,
,,"1,911",
,,5,
,,256,
,,"4,500",
,,"21,481",
,,797,
,,"6,918",
,,"2,550",
,,"1,457",
,,"9,443",
,,"7,528",
,,not found,
,,"12,371",
,,"22,576",
,,"1,397",
,,"18,895",
,,"9,353",
,,689,
,,558,
,,"23,438",
,,"1,100",
,,"8,238",
,,500,
,,700,
,,"2,525",
,,"38,154",
,,"2,781",
,,"2,400",
,,"1,229",
,,"3,667",
,,"8,296",
,,"196,307",
,,"25,000",
,,"3,156",
,,"15,000",
,,"11,246",
,,"18,257",
,,not found,
,,229,
,,"1,860",
,,"2,240",
,,"7,876",
,,"1,132",
,,"10,800",
,,"12,510",
,,21,
,,"21,774",
,,"32,623",
,,"17,000",
,,"3,103",
,,"3,908",
,,962,
,,not found,
,,899,
,,"3,055",
,,"7,432",
,,"5,313",
,,"15,433",
,,not found,
,,not found,
,,"1,321",
,,"1,038",
,,"4,692",
,,"19,988",
,,457,
,,90,
,,not found,
,,"2,308",
,,not found,
,,"9,002",
,,not found,
,,"3,578",
,,not found,
,,"6,281",
,,"4,920",
,,"13,305",
,,not found,
,,"6,708",
,,424,
,,"11,687",
,,"3,266",
,,not found,
,,123,
,,not found,
,,"3,000",
,,not found,
,,"16,000",
,,not found,
,,not found,
,,not found,
,,446,
,,"5,711",
,,98,
,,"14,000",
,,"2,210",
,,not found,
,,"7,532",
,,not found,
,,not found,
,,not found,
,,not found,
,,"1,350",
,,"7,000",
,,not found,
,,not found,
,,not found,
,,not found,
,,not found,
,,not found,
,,"17,000",
,,not found,
,,"25,500",
,,not found,
,,"7,805",
,,769,
,,not found,
,,not found,
,,not found,
,,"7,100",
,,not found,
,,not found,
,,"36,000",
,,"2,186",
,,not found,
,,not found,
,,not found,
,,"3,747",
,,"3,582",
,,"5,000",
,,not found,
,,426,
,,not found,
,,not found,
,,not found,
,,not found,
,,not found,
,,not found,
,,300,
,,"2,479",
,,94,
,,not found,
,,not found,
,,not found,
,,"4,687",
,,not found,
,,not found,
,,not found,
,,332,
,,"1,647",
,,not found,
,,not found,
,,"1,153",
,,not found,
,,not found,
,,not found,
,,56,
,,not found,
,,not found,
,,not found,
,,not found,
,,not found,
,,not found,
,,not found,
,,865,
,,not found,
,,not found,
,,not found,
,,not found,
,,not found,
,,"2,978",
,,not found,
,,390,
,,not found,
,,845,
,,"3,275",
,,not found,
,,"9,537",
,,not found,
,,not found,
,,not found,
,,not found,
,,not found,
,,not found,
,,not found,
,,"1,038",
,,not found,
,,not found,
,,not found,
,,not found,
,,"3,737",
,,not found,
,,"2,310",
,,not found,
,,not found,
,,not found,
,,not found,
,,not found,
,,799,
,,not found,
,,not found,
,,not found,
,,not found,
,,not found,
,,not found,
,,not found,
,,not found,
,,not found,
,,not found,
,,not found,
,,not found,
,,"2,310",
,,not found,
,,not found,
,,"29,000",
,,not found,
,,not found,
,,not found,
,,not found,
,,not found,
,,not found,
,,not found,
,,not found,
,,not found,
,,not found,
,,"2,000",
,,not found,
,,not found,
,,not found,
,,not found,
,,not found,
,,not found,
,,not found,
,,not found,
,,not found,
,,"1,810",
,,not found,
,,not found,
,,not found,
,,141,
,,not found,
,,370,
,,not found,
,,not found,
,,82,
,,not found,
,,not found,
,,not found,
,,not found,
,,964,
,,not found,
,,not found,
,,not found,
,,not found,
,,308,
,,not found,
,,not found,
,,not found,
,,"1,250",
,,not found,
,,not found,
,,not found,
,,not found,
,,not found,
,,not found,
,,not found,
,,328,
,,not found,
,,not found,
,,609,
,,not found,
,,not found,
,,177,
,,not found,
,,not found,
,,not found,
,,913,
,,not found,
,,not found,
,,not found,
,,not found,
,,not found,
,,942,
,,not found,
,,not found,
,,not found,
,,not found,
,,"2,834",
,,not found,
,,157,
,,not found,
,,not found,
,,"3,500",
,,not found,
,,not found,
,,226,
,,not found,
,,not found,
,,not found,
,,not found,
,,not found,
,,not found,
,,not found,
,,not found,
,,not found,
,,not found,
,,not found,
,,not found,
,,"31,779",
,,not found,
,,not found,
,,not found,
,,not found,
,,not found,
,,not found,
,,not found,
,,896,
,,not found,
,,"29,350",
,,470,
,,not found,
,,341,
,,not found,
,,827,
,,"1,572",
,,"1,400",
,,"14,228",
,,not found,
,,"1,100",
,,not found,
,,614,
,,"1,991",
,,"1,504",
,,"1,257",
,,not found,
,,not found,
,,not found,
,,"5,851",
,,not found,
,,not found,
,,"1,609",
,,not found,
,,not found,
,,not found,
,,not found,
,,15,
,,not found,
,,not found,
,,not found,
,,not found,
,,not found,
,,222,
,,"3,536",
,,455,
,,446,
,,not found,
,,not found,
,,632,
,,473,
,,not found,
,,not found,
,,"6,918",
,,not found,
,,not found,
,,not found,
,,"1,635",
,,not found,
,,"1,745",
,,"3,198",
,,"2,000",
,,"2,035",
,,not found,
,,not found,
,,not found,
,,"3,099",
,,not found,
,,"17,952",
,,948,
,,not found,
,,not found,
,,394,
,,not found,
,,"6,818",
,,"1,960",
,,not found,
,,"2,746",
,,"6,500",
,,532,
,,not found,
,,not found,
,,401,
,,not found,
,,"39,100",
,,"16,539",
,,not found,
,,"12,164",
,,750,
,,5,
,,100,
,,27,
,,1,
,,181,
,,60,
,,13,
,,21,
,,25,
,,66,
,,160,
,,73,
,,18,
,,17,
,,1,
,,1,
,,23,
,,46,
,,1,
,,not found,
,,12,
,,38,
,,53,
,,10,
,,9,
,,25,
,,169,
,,15,
,,20,
,,17,
,,100,
,,20,
,,"3,440",
,,"8,326",
,,not found,
,,11,
,,53,
,,"36,309",
,,13,
,,1,
,,"84,647",
,,"286,242",
,,"14,155",
,,180,
,,65,
,,"93,745",
,,"1,129",
,,9,
,,"4,944",
,,196,
,,36,
,,116,
,,"8,218",
,,"7,072",
,,"39,668",
,,27,
,,not found,
,,19,
,,"33,400",
,,"72,584",
,,4,
,,37,
,,44,
,,"100,431",
,,"9,627",
,,"96,108",
,,not found,
,,"24,746",
,,"15,363",
,,"25,096",
,,not found,
,,not found,
,,"26,532",
,,"41,593",
,,"33,141",
,,"35,678",
,,"11,472",
,,507,
,,"93,472",
,,"12,138",
,,"13,975",
,,"60,056",
,,"82,417",
,,"15,770",
,,"12,866",
,,"24,664",
,,"13,365",
,,"14,211",
,,"8,000",
,,"242,661",
,,"3,403",
,,"14,349",
,,"8,893",
,,"7,964",
,,"147,000",
,,"12,307",
,,"11,282",
,,"10,169",
,,not found,
,,24,
,,27,
,,238,
,,224,
,,156,
,,not found,
,,"1,084",
,,684,
,,994,
,,"3,380",
,,"5,809",
,,"3,803",
,,"4,588",
,,"2,603",
,,"2,443",
,,"5,000",
,,"8,075",
,,487,
,,not found,
,,857,
,,162,
,,119,
,,916,
,,"3,543",
,,"15,304",
,,"8,711",
,,"1,571",
,,"1,246",
,,"1,018",
,,416,
,,"1,026",
,,805,
,,"2,309",
,,"5,532",
,,"1,297",
,,"1,297",
,,"5,000",
,,"1,301",
,,not found,
,,"4,211",
,,"3,338",
,,"10,000",
,,243,
,,"19,946",
,,658,
,,"1,142",
,,"12,025",
,,"4,181",
,,854,
,,10,
,,"13,562",
,,"2,050",
,,"1,839",
,,"1,897",
,,691,
,,"5,331",
,,"1,839",
,,884,
,,140,
,,497,
,,773,
,,"1,289",
,,"1,102",
,,"13,002",
,,"11,600",
,,"4,549",
,,"3,973",
,,"1,683",
,,"4,887",
,,54,
,,"8,669",
,,721,
,,692,
,,"24,000",
,,"2,453",
,,416,
,,"17,019",
,,"6,554",
,,"1,849",
,,"11,864",
,,78,
,,10,
,,46,
,,"9,095",
,,67,
,,329,
,,676,
,,675,
,,"14,895",
,,"4,370",
,,135,
,,"4,591",
,,30,
,,"2,103",
,,617,
,,"1,469",
,,6,
,,"5,118",
,,513,
,,290,
,,"1,958",
,,"3,849",
,,"2,246",
,,5,
,,209,
,,"1,485",
,,"6,014",
,,"10,075",
,,"2,373",
,,"5,000",
,,89,
,,200,
,,6,
,,"2,514",
,,498,
,,187,
,,"2,939",
,,"6,326",
,,987,
,,"1,297",
,,"1,955",
,,"6,460",
,,297,
,,114,
,,"4,060",
,,"4,600",
,,83,
,,"1,381",
,,148,
,,49,
,,"12,000",
,,"1,764",
,,"2,702",
,,45,
,,33,
,,76,
,,"3,000",
,,36,
,,84,
,,28,
,,71,
,,119,
,,102,
,,467,
,,"1,219",
,,6,
,,"2,861",
,,47,
,,361,
,,"10,945",
,,133,
,,408,
,,117,
,,500,
,,92,
,,570,
,,524,
,,532,
,,610,
,,154,
,,354,
,,"6,552",
,,501,
,,not found,
,,253,
,,"1,304",
,,175,
,,412,
,,"1,309",
,,864,
,,"26,000",
,,3,
,,276,
,,261,
,,"1,048",
,,1,
,,129,
,,180,
,,41,
,,95,
,,not found,
,,15,
,,27,
,,21,
,,"1,798",
,,203,
,,418,
,,849,
,,328,
,,26,
,,316,
,,880,
,,950,
,,10,
,,66,
,,718,
,,30,
,,"1,178",
,,223,
,,214,
,,82,
,,802,
,,"2,003",
,,278,
,,"5,046",
,,104,
,,"2,045",
,,142,
,,73,
,,58,
,,180,
,,627,
,,136,
,,690,
,,12,
,,562,
,,38,
,,"1,791",
,,194,
,,17,
,,53,
,,11,
,,109,
,,925,
,,73,
,,26,
,,30,
,,41,
,,65,
,,"3,890",
,,263,
,,18,
,,50,
,,260,
,,58,
,,"1,093",
,,34,
,,655,
,,264,
,,26,
,,63,
,,610,
,,192,
,,23,
,,450,
,,26,
,,30,
,,33,
,,9,
,,391,
,,175,
,,23,
,,44,
,,51,
,,215,
,,126,
,,15,
,,325,
,,37,
,,51,
,,62,
,,200,
,,7,
,,51,
,,101,
,,251,
,,155,
,,20,
,,38,
,,111,
,,52,
,,7,
,,462,
,,36,
,,1,
,,31,
,,8,
,,18,
,,116,
,,319,
,,375,
,,181,
,,8,
,,36,
,,168,
,,809,
,,121,
,,162,
,,120,
,,138,
,,114,
,,100,
,,22,
,,29,
,,1,
,,403,
,,200,
,,7,
,,11,
,,10,
,,7,
,,133,
,,204,
,,15,
,,9,
,,54,
,,470,
,,6,
,,56,
,,87,
,,15,
,,14,
,,63,
,,233,
,,6,
,,18,
,,3,
,,11,
,,138,
,,1,
,,72,
,,19,
,,206,
,,148,
,,219,
,,7,
,,31,
,,6,
,,549,
,,24,
,,49,
,,47,
,,172,
,,33,
,,29,
,,473,
,,25,
,,31,
,,16,
,,3,
,,125,
,,95,
,,53,
,,645,
,,not found,
,,6,
,,20,
,,7,
,,17,
,,28,
,,18,
,,13,
,,9,
,,35,
,,9,
,,1,
,,63,
,,123,
,,41,
,,8,
,,8,
,,"1,129",
,,64,
,,1,
,,18,
,,578,
,,3,
,,252,
,,37,
,,32,
,,127,
,,73,
,,264,
,,75,
,,600,
,,30,
,,not found,
,,1,
,,11,
,,4,
,,14,
,,600,
,,20,
,,23,
,,180,
,,9,
,,31,
,,3,
,,14,
,,65,
,,5,
,,38,
,,4,
,,85,
,,not found,
,,28,
,,263,
,,55,
,,9,
,,59,
,,28,
,,77,
,,35,
,,13,
,,24,
,,53,
,,31,
,,5,
,,4,
,,16,
,,16,
,,28,
,,39,
,,70,
,,400,
,,12,
,,18,
,,6,
,,81,
,,57,
,,204,
,,7,
,,28,
,,40,
,,10,
,,108,
,,not found,
,,6,
,,not found,
,,5,
,,25,
,,237,
,,29,
,,2,
,,13,
,,6,
,,950,
,,5,
,,2,
,,12,
,,not found,
,,8,
,,1,
,,7,
,,30,
,,23,
,,not found,
,,44,
,,29,
,,18,
,,75,
,,15,
,,6,
,,1,
,,17,
,,33,
,,12,
,,not found,
,,130,
,,81,
,,1,
,,4,
,,106,
,,62,
,,95,
,,110,
,,not found,
,,16,
,,not found,
,,"1,600",
,,112,
,,"1,431",
,,29,
,,164,
,,5,
,,368,
,,"52,000",
,,"6,735",
,,"1,551",
,,not found,
,,110,
,,792,
,,"16,753",
,,188,
,,4,
,,"6,908",
,,277,
,,27,
,,7,
,,3,
,,11,
,,62,
,,57,
,,6,
,,90,
,,104,
,,2,
,,600,
,,10,
,,not found,
,,6,
,,90,
,,21,
,,12,
,,8,
,,not found,
,,not found,
,,16,
,,30,
,,not found,
,,6,
,,4,
,,49,
,,10,
,,11,
,,6,
,,5,
,,57,
,,37,
,,4,
,,3,
,,44,
,,7,
,,not found,
,,417,
,,15,
,,3,
,,35,
,,14,
,,121,
,,64,
,,102,
,,8,
,,78,
,,14,
,,3,
,,2,
,,31,
,,13,
,,574,
,,7,
,,72,
,,2,
,,15,
,,46,
,,9,
,,40,
,,250,
,,122,
,,141,
,,28,
,,9,
,,12,
,,44,
,,236,
,,200,
,,84,
,,46,
,,12,
,,not found,
,,45,
,,500,
,,7,
,,21,
,,17,
,,19,
,,24,
,,25,
,,224,
,,"1,718",
,,100,
,,85,
,,427,
,,344,
,,120,
,,23,
,,58,
,,66,
,,767,
,,435,
,,66,
,,29,
,,"27,000",
,,"2,214",
,,"1,300",
,,9,
,,"13,847",
,,"6,477",
,,"3,315",
,,167,
,,"2,060",
,,192,
,,95,
,,898,
,,562,
,,272,
,,"32,000",
,,"1,537",
,,250,
,,306,
,,"4,771",
,,"9,664",
,,"6,860",
,,"1,171",
,,"1,802",
,,603,
,,"308,850",
,,62,
,,"6,033",
,,430,
,,195,
,,153,
,,"1,590",
,,441,
,,"2,589",
,,not found,
,,"2,512",
,,388,
,,"2,444",
,,not found,
,,not found,
,,"4,839",
,,"1,098",
,,"1,150",
,,786,
,,"2,428",
,,"10,048",
,,25,
,,262,
,,17,
,,"10,836",
,,31,
,,"2,400",
,,755,
,,3,
,,73,
,,"5,700",
,,"1,209",
,,60,
,,"15,739",
,,463,
,,93,
,,"3,975",
,,87,
,,"1,654",
,,140,
,,"4,424",
,,"8,490",
,,"66,000",
,,"3,309",
,,613,
,,92,
,,"2,103",
,,"2,121",
,,282,
,,665,
,,"1,036",
,,30,
,,"2,329",
,,not found,
,,"1,152",
,,293,
,,613,
,,14,
,,"2,704",
,,not found,
,,132,
,,117,
,,"3,625",
,,"1,321",
,,108,
,,904,
,,"6,516",
,,111,
,,"1,025",
,,3,
