00-avengers-employees,04-iGMM-employees,08-slytherin-employees,10-DeBiGa-employees
"25,000","2,440",412," 9,800"
"12,100","98,105",not found," 77,008"
,"19,100",6," 16,361"
"310,000","19,998",39,
"79,000","13,300",617," 47,000"
"60,334","12,684","1,064"," 14,217"
"216,528","90,800",not found,
"166,025","58,735",166," 10,232"
"10,900","1,545",51," 16,688"
"22,604","132,002",63," 39,218"
"20,097","8,855",29,
,"5,938",385,
"60,000","155,000",53," 47,000"
"56,000","24,500",5," 371,365"
"15,700","22,719","2,489"," 168,391"
"55,000","70,000","3,592"," 49,781"
"7,388","6,787",453," 281,595"
"270,000","47,537","7,090"," 31,495"
"8,858","100,454",34," 125,944"
"9,735","24,000","3,605"," 4,890"
"50,283","140,565","1,401"," 31,000"
"10,368","144,550",7," 55,589"
"14,400",,"11,702",
"75,000","68,000","205,000"," 11,678"
"57,668","52,450",81," 15,390"
"16,300","12,558","3,800"," 108,718"
"27,027","200,000","2,271"," 24,400"
,"4,506",195," 24,158"
"3,985","7,500",not found," 16,218"
"42,811","87,927",not found," 4,609"
"43,863","204,815",536," 5,661"
"157,000","38,784",41," 10,195"
"49,000","154,364",208," 163,000"
"20,496",38,52," 36,600"
"4,800","47,539",245," 17,700"
,"3,153",173," 11,834"
"384,000","110,940",63," 53,000"
"24,629","63,227",459," 81,070"
"95,000","18,500",523," 58,786"
,"14,800","1,073",
"8,782","193,494",550," 27,500"
"2,495","172,907",4," 7,664"
"31,518",,not found," 84,870"
"33,800","5,590",445," 23,683"
"183,000","360,000",199," 43,876"
"14,400",888,180," 220,000"
"10,944","17,354",not found," 3,247"
"98,750","12,700",not found," 86,800"
"33,000","21,033",not found," 97,660"
,"25,150",8," 9,300"
"48,500","20,000",55," 40,000"
"104,400","2,000",88," 79,000"
"40,143","7,231",not found," 65,100"
"49,077","51,426","33,030"," 85,000"
"45,000","20,900","10,583"," 78,000"
"3,900","7,867",not found," 101,374"
"61,000","46,989",180,
"95,950",367,102," 44,509"
"46,800","14,922",66," 3,200"
"38,702","27,804",161," 9,300"
"44,000","5,300",not found," 50,280"
"287,866","184,034",960," 30,184"
"71,385","82,969",599," 10,350"
"5,800","26,000",85," 105,000"
"181,205","10,300",26,
"190,000","55,100",196," 90,000"
"66,279","81,098",34," 16,620"
"17,100","5,245",46," 47,099"
"106,128","6,522",4," 45,500"
,"26,000",576," 26,272"
"2,700",,46," 53,870"
"106,000",,"12,600", 758
"66,800","15,529",3," 85,264"
"2,800","11,912",671," 6,300"
"25,370","99,700",616," 28,800"
"231,259","73,275",52," 330,600"
"24,700","316,078",562,
"18,100","2,429",389," 40,916"
"47,320","1,664",226," 12,600"
"88,000","21,100",238," 28,445"
"50,000","5,084",32," 4,965"
"33,500","8,162",24," 29,707"
"15,200",,"1,042"," 82,852"
"218,569","3,684","3,908"," 101,000"
"11,833","10,200",24," 34,000"
"14,700","59,262","1,150"," 16,922"
,"9,116",242," 59,000"
"20,773","71,973",1,
"43,000","82,257",46," 35,700"
"39,684",,32," 25,000"
"11,527","1,212",not found,
"86,700","29,522",not found," 2,780"
"50,767","5,607",267," 350,864"
,"25,000",36," 19,692"
,"27,200",30," 24,346"
"548,042","31,653",482," 11,321"
"8,521",,59, 464
"23,500","1,240",137," 4,303"
"18,151","9,372",100," 14,462"
"42,862","26,482",24," 60,000"
"2,180","124,089",16," 11,380"
"14,106","52,809",124," 25,000"
"177,033","9,000",47," 17,200"
"65,000","30,000",14," 202,000"
"24,700","12,244",417," 3,030"
"85,947",936,121," 29,622"
"1,932",,247," 58,000"
"6,574","14,500",81," 49,100"
"13,460","17,654",50," 5,696"
"29,300","17,115",not found," 18,700"
"29,800","64,823",17,
"17,209","16,000",28," 57,000"
"118,909","9,800",210," 9,794"
"90,238","2,773",not found," 9,396"
"11,300","5,700",30," 54,300"
"95,500",340,312," 4,783"
"7,017","18,442",88," 1,600"
"16,113","71,895",not found," 48,254"
"16,000","20,400",865," 2,800"
"7,986","34,000","1,493"," 38,000"
"120,000","9,594",58," 500,000"
"46,030","52,000",380," 58,000"
,"16,196","1,592"," 34,912"
,"12,023",6," 142,000"
"7,000","20,300",79," 77,958"
