00-avengers-market_cap,08-slytherin-market_cap,10-DeBiGa-market_cap,06-MarScoToc-mastercap,07-silvestri-market_value_apr_2022,02-GioPonSpiz-marketcap,04-iGMM-marketcap,05-MalPatSaj-marketcap,03-gren-market_capitalization_usd
doll_19.53 billion,cn¥14.35 billion,doll_2.297 t,doll_108.7 m,doll_19.93 b,doll_19.87 b,doll_96.98 billion,doll_19.87 b,19870000000.0
doll_19.54 billion,cn¥14.41 billion,doll_2.328 t,doll_108.5 m,doll_19.87 b,,doll_105.07 billion,doll_19.86 b,19860000000.0
doll_19.54 billion,cn¥14.42 billion,doll_2.825 t,doll_108.2 m,,doll_19.85 b,usdoll_106.37 billion,doll_19.85 b,19850000000.0
cn¥124.37 billion,cn¥14.43 billion,doll_128.29 b,doll_108.2 m,doll_19.85 b,doll_19.85 b,doll_106.77 billion,doll_19.85 b,19850000000.0
hkdoll_153.13 billion,cn¥14.41 billion,doll_130.31 b,doll_107.6 m,doll_19.85 b,doll_19.84 b,doll_106.89 billion,doll_19.84 b,19840000000.0
doll_19.59 billion,cn¥14.48 billion,doll_132.29 b,doll_107.0 m,doll_19.84 b,doll_19.83 b,doll_107.99 billion,doll_19.83 b,19830000000.0
cn¥124.90 billion,cn¥14.44 billion,doll_133.92 b,doll_106.4 m,doll_19.83 b,doll_19.82 b,usdoll_107.99 billion,doll_19.82 b,19820000000.0
doll_19.65 billion,cn¥14.56 billion,doll_134.19 b,doll_106.3 m,doll_19.82 b,doll_19.82 b,doll_108.19 billion,doll_19.82 b,19820000000.0
hkdoll_154.06 billion,cn¥14.58 billion,doll_134.25 b,doll_105.7 m,doll_19.82 b,,usdoll_108.63 billion,doll_19.78 b,19780000000.0
cdoll_24.63 billion,cn¥14.59 billion,doll_135.27 b,doll_105.7 m,,doll_19.75 b,doll_109.56 billion,doll_19.75 b,19750000000.0
¥2.412 trillion,cn¥14.60 billion,doll_136.32 b,doll_105.2 m,doll_19.75 b,doll_19.74 b,usdoll_109.98 billion,doll_19.74 b,19740000000.0
cdoll_24.66 billion,cn¥14.64 billion,doll_136.48 b,"(jan. 1, 2022)",doll_19.74 b,doll_19.73 b,doll_110.46 billion,doll_19.73 b,19730000000.0
¥2.418 trillion,hkdoll_18.00 billion,doll_137.50 b,doll_104.9 m,doll_19.73 b,doll_19.70 b,usdoll_110.65 billion,doll_19.70 b,19700000000.0
€17.87 billion,cn¥14.64 billion,doll_139.30 b,doll_104.4 m,doll_19.70 b,doll_19.69 b,usdoll_110.79 billion,doll_19.69 b,19690000000.0
doll_19.75 billion,cn¥14.71 billion,doll_140.15 b,doll_104.2 m,doll_19.69 b,doll_19.67 b,doll_112.71 billion,doll_19.67 b,19670000000.0
€17.39 billion,doll_2.30 billion,doll_141.22 b,doll_104.2 m,doll_19.67 b,doll_19.67 b,usdoll_113.20 billion,doll_19.67 b,19670000000.0
r289.19 billion,hkdoll_18.19 billion,doll_141.72 b,doll_103.8 m,doll_19.67 b,doll_19.65 b,usdoll_114.28 billion,doll_19.65 b,19650000000.0
£15.12 billion,cn¥14.84 billion,doll_143.77 b,doll_103.7 m,doll_19.65 b,doll_19.63 b,usdoll_114.66 billion,doll_19.63 b,19630000000.0
cn¥126.19 billion,cn¥14.71 billion,doll_144.32 b,doll_102.0 m,doll_19.63 b,doll_19.59 b,doll_115.11 billion,doll_19.59 b,19590000000.0
hkdoll_155.44 billion,cn¥14.85 billion,doll_144.50 b,doll_101.8 m,doll_19.59 b,doll_19.55 b,usdoll_115.58 billion,doll_19.55 b,19550000000.0
doll_19.85 billion,cn¥14.86 billion,doll_145.41 b,doll_101.4 m,doll_19.55 b,doll_19.55 b,doll_115.68 billion,doll_19.55 b,19550000000.0
¥2.432 trillion,cn¥14.93 billion,doll_148.98 b,doll_101.3 m,doll_19.55 b,doll_19.54 b,doll_115.98 billion,doll_19.54 b,19540000000.0
rdoll_110.62 billion,cn¥12.96 billion,doll_150.76 b,doll_101.3 m,doll_19.54 b,doll_19.54 b,usdoll_117.84 billion,doll_19.54 b,19540000000.0
doll_19.87 billion,cn¥12.98 billion,doll_150.96 b,doll_101.0 m,doll_19.54 b,doll_19.53 b,doll_119.20 billion,doll_19.53 b,19530000000.0
₹1.514 trillion,cn¥13.00 billion,doll_151.06 b,doll_100.8 m,doll_19.53 b,doll_19.53 b,doll_119.80 billion,doll_19.53 b,19530000000.0
cn¥126.88 billion,cn¥12.99 billion,doll_154.71 b,doll_99.8 m,doll_19.53 b,doll_19.50 b,doll_121.12 billion,doll_19.50 b,19500000000.0
doll_19.98 billion,cn¥13.01 billion,doll_158.06 b,doll_98.6 m,doll_19.50 b,doll_19.48 b,doll_121.20 billion,doll_19.48 b,19480000000.0
doll_19.98 billion,doll_2.05 billion,doll_159.74 b,doll_98.5 m,doll_19.48 b,doll_19.46 b,usdoll_122.11 billion,doll_19.46 b,19460000000.0
€18.12 billion,cn¥13.07 billion,doll_163.19 b,doll_98.3 m,doll_19.46 b,doll_19.44 b,usdoll_122.74 billion,doll_19.44 b,19440000000.0
doll_20.05 billion,cn¥13.18 billion,doll_164.05 b,doll_98.2 m,doll_19.44 b,doll_19.43 b,usdoll_123.59 billion,doll_19.43 b,19430000000.0
kr175.79 billion,cn¥13.16 billion,doll_164.31 b,doll_97.4 m,doll_19.43 b,doll_19.42 b,doll_124.13 billion,doll_19.42 b,19420000000.0
doll_20.13 billion,cn¥13.11 billion,doll_165.00 b,doll_97.4 m,doll_19.42 b,doll_19.42 b,doll_124.98 billion,doll_19.42 b,19420000000.0
£15.36 billion,cn¥13.19 billion,doll_165.53 b,doll_95.7 m,doll_19.42 b,doll_19.39 b,usdoll_125.16 billion,doll_19.39 b,19390000000.0
twdoll_577.80 billion,cn¥13.24 billion,doll_166.07 b,doll_95.4 m,doll_19.39 b,doll_19.36 b,usdoll_125.84 billion,doll_19.36 b,19360000000.0
hkdoll_157.83 billion,cn¥13.31 billion,doll_170.00 b,doll_95.3 m,doll_19.36 b,doll_19.27 b,usdoll_126.64 billion,doll_19.27 b,19270000000.0
kr176.26 billion,cn¥13.26 billion,doll_170.56 b,doll_95.2 m,doll_19.27 b,doll_19.25 b,usdoll_144.32 billion,doll_19.25 b,19250000000.0
chf18.66 billion,cn¥13.31 billion,doll_171.28 b,doll_94.8 m,doll_19.25 b,,usdoll_144.50 billion,doll_19.22 b,19220000000.0
¥2.238 trillion,cn¥13.33 billion,doll_172.25 b,doll_93.2 m,,doll_19.21 b,usdoll_145.41 billion,doll_19.21 b,19210000000.0
hkdoll_143.15 billion,hkdoll_16.43 billion,doll_175.88 b,doll_93.2 m,doll_19.21 b,doll_19.20 b,usdoll_148.98 billion,doll_19.20 b,19200000000.0
¥2.244 trillion,cn¥13.33 billion,doll_184.19 b,"(jan. 1, 2022)",doll_19.20 b,doll_19.15 b,doll_150.76 billion,doll_19.15 b,19150000000.0
doll_18.33 billion,cn¥13.35 billion,doll_185.67 b,doll_92.3 m,doll_19.15 b,doll_19.12 b,doll_150.96 billion,doll_19.12 b,19120000000.0
cn¥116.76 billion,cn¥13.36 billion,doll_185.98 b,doll_91.8 m,doll_19.12 b,,doll_151.06 billion,doll_19.12 b,19120000000.0
doll_18.35 billion,cn¥13.37 billion,doll_186.57 b,doll_91.6 m,,doll_19.11 b,doll_154.71 billion,doll_19.11 b,19110000000.0
r268.53 billion,cn¥13.39 billion,doll_189.37 b,doll_91.5 m,doll_19.11 b,doll_19.03 b,doll_158.06 billion,doll_19.03 b,19030000000.0
doll_18.41 billion,cn¥13.40 billion,doll_190.50 b,doll_91.5 m,doll_19.03 b,doll_18.98 b,usdoll_159.74 billion,doll_18.98 b,18980000000.0
cn¥117.31 billion,hkdoll_16.51 billion,doll_193.80 b,"(april 5, 2021)",doll_18.98 b,doll_18.95 b,doll_163.19 billion,doll_18.95 b,18950000000.0
doll_18.49 billion,cn¥12.19 billion,doll_199.57 b,doll_90.6 m,doll_18.95 b,doll_18.94 b,doll_164.05 billion,doll_18.94 b,18940000000.0
hkdoll_145.07 billion,cn¥13.48 billion,doll_200.01 b,,doll_18.94 b,doll_18.93 b,doll_164.31 billion,doll_18.93 b,18930000000.0
cn¥118.16 billion,cn¥13.41 billion,doll_201.72 b,,doll_18.93 b,doll_18.91 b,usdoll_165.00 billion,doll_18.91 b,18910000000.0
adoll_24.89 billion,cn¥13.54 billion,doll_201.75 b,,doll_18.91 b,doll_18.90 b,doll_165.53 billion,doll_18.90 b,18900000000.0
€16.91 billion,cn¥13.51 billion,doll_204.13 b,,doll_18.90 b,doll_18.80 b,doll_166.07 billion,doll_18.80 b,18800000000.0
cn¥118.92 billion,cn¥13.56 billion,doll_207.68 b,,doll_18.80 b,doll_18.79 b,usdoll_170.00 billion,doll_18.79 b,18790000000.0
cn¥119.09 billion,cn¥12.22 billion,doll_97.41 b,,doll_18.79 b,,doll_170.56 billion,doll_18.78 b,18780000000.0
chf17.33 billion,cn¥13.56 billion,doll_98.37 b,,,doll_18.78 b,doll_171.28 billion,doll_18.78 b,18780000000.0
doll_18.74 billion,cn¥12.22 billion,doll_98.47 b,,doll_18.78 b,doll_18.77 b,doll_172.25 billion,doll_18.77 b,18770000000.0
¥2.297 trillion,cn¥13.62 billion,doll_98.57 b,,doll_18.77 b,doll_18.76 b,doll_175.88 billion,doll_18.76 b,18760000000.0
doll_18.76 billion,cn¥13.62 billion,doll_98.79 b,,doll_18.76 b,doll_18.76 b,doll_184.19 billion,doll_18.76 b,18760000000.0
doll_18.76 billion,cn¥13.64 billion,doll_99.22 b,,doll_18.76 b,doll_18.75 b,usdoll_185.67 billion,doll_18.75 b,18750000000.0
cdoll_23.50 billion,cn¥13.61 billion,doll_100.16 b,,doll_18.75 b,doll_18.74 b,usdoll_185.98 billion,doll_18.74 b,18740000000.0
£14.32 billion,cn¥12.22 billion,doll_100.84 b,,doll_18.74 b,doll_18.72 b,doll_186.57 billion,doll_18.72 b,18720000000.0
doll_18.78 billion,cn¥13.65 billion,doll_101.41 b,,doll_18.72 b,doll_18.72 b,usdoll_189.37 billion,doll_18.72 b,18720000000.0
cn¥119.57 billion,cn¥12.29 billion,doll_101.44 b,,doll_18.72 b,doll_18.69 b,doll_190.50 billion,doll_18.69 b,18690000000.0
doll_18.80 billion,cn¥12.33 billion,doll_102.98 b,,doll_18.69 b,doll_18.69 b,doll_193.80 billion,doll_18.69 b,18690000000.0
€17.11 billion,cn¥13.68 billion,doll_103.75 b,,doll_18.69 b,doll_18.67 b,doll_199.57 billion,doll_18.67 b,18670000000.0
₩23.068 trillion,cn¥12.35 billion,doll_104.00 b,,doll_18.67 b,doll_18.57 b,doll_200.01 billion,doll_18.57 b,18570000000.0
¥2.319 trillion,cn¥12.34 billion,doll_104.42 b,,doll_18.57 b,doll_18.52 b,doll_201.72 billion,doll_18.52 b,18520000000.0
doll_18.94 billion,cn¥13.68 billion,doll_104.97 b,,doll_18.49 b,doll_18.49 b,usdoll_201.75 billion,doll_18.49 b,18490000000.0
doll_18.95 billion,hkdoll_16.86 billion,doll_105.07 b,,doll_18.44 b,doll_18.44 b,usdoll_204.13 billion,doll_18.44 b,18440000000.0
doll_18.98 billion,cn¥12.34 billion,doll_106.37 b,,doll_18.41 b,doll_18.41 b,usdoll_207.68 billion,doll_18.41 b,18410000000.0
¥2.331 trillion,cn¥13.78 billion,doll_106.77 b,,doll_18.41 b,doll_18.41 b,doll_258.15 billion,doll_18.41 b,18410000000.0
doll_19.11 billion,cn¥13.80 billion,doll_106.89 b,,doll_18.35 b,doll_18.35 b,doll_265.27 billion,doll_18.35 b,18350000000.0
₪594.2 million,cn¥12.47 billion,doll_107.99 b,,doll_18.35 b,doll_18.35 b,doll_273.01 billion,doll_18.35 b,18350000000.0
kr.128.71 billion,cn¥12.48 billion,doll_107.99 b,,doll_18.33 b,doll_18.33 b,doll_273.20 billion,doll_18.33 b,18330000000.0
doll_19.15 billion,cn¥12.48 billion,doll_108.19 b,,doll_18.32 b,doll_18.32 b,usdoll_274.35 billion,doll_18.32 b,18320000000.0
cn¥122.16 billion,cn¥13.82 billion,doll_108.63 b,,doll_18.27 b,doll_18.27 b,usdoll_290.40 billion,doll_18.27 b,18270000000.0
doll_19.21 billion,€1.97 billion,doll_109.56 b,,doll_18.27 b,doll_18.27 b,doll_294.27 billion,doll_18.27 b,18270000000.0
doll_18.12 billion,cn¥12.53 billion,doll_109.98 b,,doll_18.25 b,doll_18.25 b,doll_486.77 billion,doll_18.25 b,18250000000.0
€16.41 billion,hkdoll_17.04 billion,doll_114.66 b,,doll_18.25 b,doll_18.25 b,doll_488.52 billion,doll_18.25 b,18250000000.0
kč15.66 billion,cn¥12.09 billion,doll_115.11 b,,doll_18.24 b,doll_18.24 b,usdoll_527.89 billion,doll_18.24 b,18240000000.0
doll_18.18 billion,cn¥12.09 billion,doll_115.58 b,,doll_18.23 b,doll_18.23 b,doll_617.50 billion,doll_18.23 b,18230000000.0
cdoll_22.78 billion,cn¥12.62 billion,doll_115.68 b,,doll_18.21 b,doll_18.21 b,doll_660.38 billion,doll_18.21 b,18210000000.0
r265.61 billion,cn¥12.51 billion,doll_115.98 b,,doll_18.21 b,doll_18.21 b,doll_798.47 billion,doll_18.21 b,18210000000.0
¥2.231 trillion,cn¥12.60 billion,doll_117.84 b,,doll_18.19 b,doll_18.19 b,doll_1.016 trillion,doll_18.19 b,18190000000.0
cn¥115.98 billion,cn¥12.67 billion,doll_119.20 b,,doll_18.18 b,doll_18.18 b,doll_1.642 trillion,doll_18.18 b,18180000000.0
doll_18.24 billion,cn¥12.68 billion,doll_119.80 b,,,,doll_1.825 trillion,doll_18.16 b,18160000000.0
doll_18.25 billion,cn¥12.10 billion,doll_121.12 b,,doll_18.14 b,doll_18.14 b,usdoll_2.297 trillion,doll_18.14 b,18140000000.0
doll_18.25 billion,cn¥12.10 billion,doll_121.20 b,,doll_18.12 b,doll_18.12 b,doll_2.328 trillion,doll_18.12 b,18120000000.0
,cn¥12.15 billion,,,,,,,
,cn¥12.15 billion,,,,,,,
,cn¥12.79 billion,,,,,,,
,cn¥12.83 billion,,,,,,,
,cn¥12.82 billion,,,,,,,
,cn¥12.13 billion,,,,,,,
,cn¥12.73 billion,,,,,,,
,cn¥12.81 billion,,,,,,,
,cn¥12.83 billion,,,,,,,
,hkdoll_15.01 billion,,,,,,,
,cn¥12.25 billion,,,,,,,
,cn¥12.21 billion,,,,,,,
,cn¥12.87 billion,,,,,,,
,hkdoll_15.11 billion,,,,,,,
,hkdoll_15.84 billion,,,,,,,
,cn¥12.84 billion,,,,,,,
,cn¥12.28 billion,,,,,,,
,cn¥12.92 billion,,,,,,,
,cn¥12.87 billion,,,,,,,
,cn¥12.36 billion,,,,,,,
,cn¥12.93 billion,,,,,,,
,cn¥12.53 billion,,,,,,,
,cn¥12.29 billion,,,,,,,
,cn¥12.68 billion,,,,,,,
,hkdoll_15.67 billion,,,,,,,
,cn¥12.94 billion,,,,,,,
,cn¥12.95 billion,,,,,,,
,cn¥1.57 billion,,,,,,,
,hkdoll_17.10 billion,,,,,,,
,cn¥13.85 billion,,,,,,,
,cn¥12.82 billion,,,,,,,
,cn¥13.92 billion,,,,,,,
,cn¥13.97 billion,,,,,,,
,cn¥13.94 billion,,,,,,,
,cn¥13.98 billion,,,,,,,
,hkdoll_18.30 billion,,,,,,,
,doll_2.35 billion,,,,,,,
,cn¥14.94 billion,,,,,,,
,hkdoll_18.42 billion,,,,,,,
,cn¥14.98 billion,,,,,,,
,cn¥14.94 billion,,,,,,,
,cn¥11.76 billion,,,,,,,
,€1.61 billion,,,,,,,
,cn¥11.37 billion,,,,,,,
,cn¥11.41 billion,,,,,,,
,cn¥11.35 billion,,,,,,,
,cn¥11.42 billion,,,,,,,
,cn¥11.43 billion,,,,,,,
,cn¥11.44 billion,,,,,,,
,doll_1.80 billion,,,,,,,
,cn¥11.45 billion,,,,,,,
,hkdoll_14.10 billion,,,,,,,
,cn¥11.51 billion,,,,,,,
,cn¥11.49 billion,,,,,,,
,cn¥11.48 billion,,,,,,,
,cn¥11.51 billion,,,,,,,
,cn¥11.52 billion,,,,,,,
,cn¥11.56 billion,,,,,,,
,cn¥11.56 billion,,,,,,,
,cn¥11.55 billion,,,,,,,
,cn¥11.55 billion,,,,,,,
,cn¥11.64 billion,,,,,,,
,cn¥11.59 billion,,,,,,,
,cn¥11.64 billion,,,,,,,
,cn¥11.65 billion,,,,,,,
,cn¥11.67 billion,,,,,,,
,cn¥11.69 billion,,,,,,,
,cn¥11.67 billion,,,,,,,
,cn¥11.71 billion,,,,,,,
,cn¥11.70 billion,,,,,,,
,cn¥11.71 billion,,,,,,,
,hkdoll_14.41 billion,,,,,,,
,cn¥11.87 billion,,,,,,,
,cn¥11.73 billion,,,,,,,
,cn¥11.78 billion,,,,,,,
,cn¥11.78 billion,,,,,,,
,hkdoll_14.58 billion,,,,,,,
,cn¥11.88 billion,,,,,,,
,cn¥11.92 billion,,,,,,,
,cn¥11.89 billion,,,,,,,
,cn¥10.64 billion,,,,,,,
,cn¥11.93 billion,,,,,,,
,cn¥11.91 billion,,,,,,,
,cn¥10.66 billion,,,,,,,
,cn¥10.64 billion,,,,,,,
,cn¥10.65 billion,,,,,,,
,cn¥10.67 billion,,,,,,,
,cn¥10.69 billion,,,,,,,
,cn¥10.70 billion,,,,,,,
,cn¥10.70 billion,,,,,,,
,cn¥10.72 billion,,,,,,,
,cn¥10.74 billion,,,,,,,
,cn¥10.72 billion,,,,,,,
,cn¥10.72 billion,,,,,,,
,cn¥10.75 billion,,,,,,,
,cn¥10.76 billion,,,,,,,
,hkdoll_13.29 billion,,,,,,,
,cn¥10.78 billion,,,,,,,
,hkdoll_13.27 billion,,,,,,,
,cn¥10.82 billion,,,,,,,
,cn¥10.80 billion,,,,,,,
,cn¥10.82 billion,,,,,,,
,cn¥10.83 billion,,,,,,,
,cn¥10.86 billion,,,,,,,
,cn¥10.82 billion,,,,,,,
,cn¥10.90 billion,,,,,,,
,cn¥10.96 billion,,,,,,,
,cn¥10.92 billion,,,,,,,
,cn¥11.02 billion,,,,,,,
,cn¥11.01 billion,,,,,,,
,cn¥10.97 billion,,,,,,,
,cn¥11.02 billion,,,,,,,
,hkdoll_13.57 billion,,,,,,,
,cn¥11.03 billion,,,,,,,
,cn¥11.05 billion,,,,,,,
,cn¥11.08 billion,,,,,,,
,cn¥11.04 billion,,,,,,,
,cn¥11.12 billion,,,,,,,
,cn¥11.12 billion,,,,,,,
,cn¥11.12 billion,,,,,,,
,cn¥11.17 billion,,,,,,,
,cn¥11.14 billion,,,,,,,
,cn¥11.18 billion,,,,,,,
,cn¥11.21 billion,,,,,,,
,cn¥11.19 billion,,,,,,,
,cn¥11.23 billion,,,,,,,
,hkdoll_13.85 billion,,,,,,,
,hkdoll_13.86 billion,,,,,,,
,cn¥11.30 billion,,,,,,,
,cn¥11.29 billion,,,,,,,
,cn¥11.26 billion,,,,,,,
,cn¥11.95 billion,,,,,,,
,cn¥11.93 billion,,,,,,,
,cn¥11.31 billion,,,,,,,
,cn¥11.95 billion,,,,,,,
,cn¥11.97 billion,,,,,,,
,cn¥12.00 billion,,,,,,,
,cn¥12.03 billion,,,,,,,
,cn¥12.01 billion,,,,,,,
,cn¥12.04 billion,,,,,,,
,hkdoll_14.83 billion,,,,,,,
,cn¥14.98 billion,,,,,,,
,cn¥16.29 billion,,,,,,,
,cn¥16.31 billion,,,,,,,
,cn¥16.26 billion,,,,,,,
,cn¥16.31 billion,,,,,,,
,cn¥16.32 billion,,,,,,,
,cn¥16.32 billion,,,,,,,
,cn¥16.35 billion,,,,,,,
,cn¥17.31 billion,,,,,,,
,cn¥17.32 billion,,,,,,,
,cn¥17.37 billion,,,,,,,
,cn¥17.42 billion,,,,,,,
,doll_2.74 billion,,,,,,,
,hkdoll_21.40 billion,,,,,,,
,cn¥17.46 billion,,,,,,,
,cn¥17.47 billion,,,,,,,
,cn¥17.48 billion,,,,,,,
,hkdoll_23.17 billion,,,,,,,
,cn¥18.87 billion,,,,,,,
,cn¥18.91 billion,,,,,,,
,cn¥18.91 billion,,,,,,,
,cn¥18.95 billion,,,,,,,
,cn¥18.95 billion,,,,,,,
,cn¥18.98 billion,,,,,,,
,cn¥18.96 billion,,,,,,,
,hkdoll_25.35 billion,,,,,,,
,cn¥20.46 billion,,,,,,,
,cn¥20.63 billion,,,,,,,
,cn¥20.60 billion,,,,,,,
,cn¥20.68 billion,,,,,,,
,cn¥22.71 billion,,,,,,,
,cn¥20.65 billion,,,,,,,
,cn¥20.75 billion,,,,,,,
,cn¥20.71 billion,,,,,,,
,cn¥20.76 billion,,,,,,,
,cn¥22.73 billion,,,,,,,
,cn¥22.74 billion,,,,,,,
,cn¥22.91 billion,,,,,,,
,cn¥22.88 billion,,,,,,,
,cn¥22.74 billion,,,,,,,
,cn¥23.03 billion,,,,,,,
,cn¥23.06 billion,,,,,,,
,hkdoll_28.39 billion,,,,,,,
,cn¥23.20 billion,,,,,,,
,cn¥26.30 billion,,,,,,,
,cn¥23.21 billion,,,,,,,
,cn¥23.21 billion,,,,,,,
,hkdoll_32.23 billion,,,,,,,
,cn¥26.38 billion,,,,,,,
,doll_4.16 billion,,,,,,,
,cn¥26.43 billion,,,,,,,
,cn¥26.49 billion,,,,,,,
,cn¥26.53 billion,,,,,,,
,cn¥26.54 billion,,,,,,,
,cn¥28.90 billion,,,,,,,
,cn¥4.57 billion,,,,,,,
,cn¥29.02 billion,,,,,,,
,cn¥28.91 billion,,,,,,,
,cn¥29.11 billion,,,,,,,
,cn¥29.07 billion,,,,,,,
,cn¥29.21 billion,,,,,,,
,hkdoll_36.00 billion,,,,,,,
,cn¥29.22 billion,,,,,,,
,cn¥29.13 billion,,,,,,,
,cn¥3.32 billion,,,,,,,
,cn¥29.37 billion,,,,,,,
,"₪222,578",,,,,,,
,"₪550,757",,,,,,,
,"₪514,148",,,,,,,
,"₪570,133",,,,,,,
,"₪571,831",,,,,,,
,"₪177,925",,,,,,,
,"₪237,421",,,,,,,
,"₪613,182",,,,,,,
,"₪582,371",,,,,,,
,"₪200,317",,,,,,,
,"₪628,986",,,,,,,
,"₪205,136",,,,,,,
,"₪687,657",,,,,,,
,"₪687,226",,,,,,,
,"₪693,064",,,,,,,
,"₪698,274",,,,,,,
,"₪724,580",,,,,,,
,"₪235,220",,,,,,,
,"₪729,216",,,,,,,
,"₪743,277",,,,,,,
,"₪168,178",,,,,,,
,"₪744,800",,,,,,,
,"₪754,646",,,,,,,
,"₪763,504",,,,,,,
,"₪779,749",,,,,,,
,"₪774,420",,,,,,,
,"₪784,243",,,,,,,
,"₪255,357",,,,,,,
,"₪808,010",,,,,,,
,"₪816,920",,,,,,,
,"₪257,766",,,,,,,
,"₪813,432",,,,,,,
,"₪266,219",,,,,,,
,"₪833,060",,,,,,,
,"₪848,245",,,,,,,
,€63.8 million,,,,,,,
,"₪282,770",,,,,,,
,"₪862,822",,,,,,,
,"₪870,884",,,,,,,
,€65.2 million,,,,,,,
,€65.9 million,,,,,,,
,€65.3 million,,,,,,,
,€63.8 million,,,,,,,
,€67.2 million,,,,,,,
,€63.7 million,,,,,,,
,€68.7 million,,,,,,,
,€70.6 million,,,,,,,
,€68.9 million,,,,,,,
,€70.7 million,,,,,,,
,€70.0 million,,,,,,,
,€71.5 million,,,,,,,
,€72.0 million,,,,,,,
,€69.4 million,,,,,,,
,€71.8 million,,,,,,,
,€73.0 million,,,,,,,
,€73.8 million,,,,,,,
,€75.2 million,,,,,,,
,€77.2 million,,,,,,,
,€74.0 million,,,,,,,
,€77.1 million,,,,,,,
,€81.2 million,,,,,,,
,€81.6 million,,,,,,,
,hkdoll_36.46 billion,,,,,,,
,cn¥29.74 billion,,,,,,,
,€4.22 billion,,,,,,,
,cn¥29.61 billion,,,,,,,
,cn¥29.92 billion,,,,,,,
,cn¥29.96 billion,,,,,,,
,cn¥30.01 billion,,,,,,,
,cn¥30.19 billion,,,,,,,
,hkdoll_37.12 billion,,,,,,,
,cn¥30.04 billion,,,,,,,
,cn¥30.18 billion,,,,,,,
,cn¥30.19 billion,,,,,,,
,cn¥30.22 billion,,,,,,,
,cn¥30.32 billion,,,,,,,
,cn¥30.39 billion,,,,,,,
,cn¥30.37 billion,,,,,,,
,hkdoll_37.42 billion,,,,,,,
,cn¥30.42 billion,,,,,,,
,cn¥30.52 billion,,,,,,,
,cn¥30.55 billion,,,,,,,
,cn¥30.56 billion,,,,,,,
,cn¥30.62 billion,,,,,,,
,cn¥30.65 billion,,,,,,,
,cn¥30.88 billion,,,,,,,
,cn¥31.19 billion,,,,,,,
,cn¥31.17 billion,,,,,,,
,cn¥30.94 billion,,,,,,,
,cn¥30.90 billion,,,,,,,
,cn¥31.29 billion,,,,,,,
,cn¥31.35 billion,,,,,,,
,cn¥31.46 billion,,,,,,,
,€4.48 billion,,,,,,,
,cn¥31.87 billion,,,,,,,
,cn¥31.57 billion,,,,,,,
,cn¥31.61 billion,,,,,,,
,hkdoll_39.09 billion,,,,,,,
,cn¥32.39 billion,,,,,,,
,cn¥32.37 billion,,,,,,,
,hkdoll_39.39 billion,,,,,,,
,cn¥31.98 billion,,,,,,,
,cn¥32.55 billion,,,,,,,
,cn¥32.13 billion,,,,,,,
,cn¥32.74 billion,,,,,,,
,cn¥32.76 billion,,,,,,,
,cn¥32.61 billion,,,,,,,
,cn¥32.74 billion,,,,,,,
,cn¥32.77 billion,,,,,,,
,cn¥32.96 billion,,,,,,,
,₪1.1 million,,,,,,,
,₪1.1 million,,,,,,,
,₪1.1 million,,,,,,,
,₪1.1 million,,,,,,,
,₪1.1 million,,,,,,,
,₪1.1 million,,,,,,,
,₪1.1 million,,,,,,,
,₪1.1 million,,,,,,,
,₪1.2 million,,,,,,,
,₪1.2 million,,,,,,,
,₪1.2 million,,,,,,,
,"₪460,898",,,,,,,
,"₪395,862",,,,,,,
,"₪283,904",,,,,,,
,₪1.2 million,,,,,,,
,₪1.3 million,,,,,,,
,₪1.3 million,,,,,,,
,₪1.3 million,,,,,,,
,₪1.3 million,,,,,,,
,₪1.3 million,,,,,,,
,₪1.3 million,,,,,,,
,₪1.3 million,,,,,,,
,₪1.3 million,,,,,,,
,₪1.4 million,,,,,,,
,₪1.4 million,,,,,,,
,₪1.4 million,,,,,,,
,₪1.5 million,,,,,,,
,"₪487,459",,,,,,,
,₪1.5 million,,,,,,,
,₪1.5 million,,,,,,,
,₪1.6 million,,,,,,,
,"₪495,208",,,,,,,
,₪1.6 million,,,,,,,
,₪1.6 million,,,,,,,
,₪1.6 million,,,,,,,
,"₪524,485",,,,,,,
,₪1.7 million,,,,,,,
,₪1.7 million,,,,,,,
,₪1.7 million,,,,,,,
,₪1.6 million,,,,,,,
,€114.1 million,,,,,,,
,€115.3 million,,,,,,,
,€117.5 million,,,,,,,
,€117.8 million,,,,,,,
,€119.4 million,,,,,,,
,€120.7 million,,,,,,,
,€120.7 million,,,,,,,
,€123.0 million,,,,,,,
,€125.4 million,,,,,,,
,€126.7 million,,,,,,,
,€131.6 million,,,,,,,
,€125.7 million,,,,,,,
,€128.1 million,,,,,,,
,€132.8 million,,,,,,,
,€131.9 million,,,,,,,
,€135.4 million,,,,,,,
,€136.8 million,,,,,,,
,€143.0 million,,,,,,,
,€139.3 million,,,,,,,
,€147.2 million,,,,,,,
,€144.5 million,,,,,,,
,€149.8 million,,,,,,,
,€150.4 million,,,,,,,
,cdoll_208.7 million,,,,,,,
,cn¥33.32 billion,,,,,,,
,cn¥33.96 billion,,,,,,,
,cn¥33.79 billion,,,,,,,
,cn¥33.51 billion,,,,,,,
,cn¥34.03 billion,,,,,,,
,cn¥34.17 billion,,,,,,,
,cn¥34.18 billion,,,,,,,
,cn¥34.27 billion,,,,,,,
