00-avengers-ceo,04-iGMM-ceo,08-slytherin-ceo,10-DeBiGa-ceo
,mr. christopher mark crane,not found, mr. werner  baumann
mr. robert a. bradway,mr. noel r. wallace,not found, mr. hisayuki  idekoba
mr. marvin r. ellison,mr. james d. farley jr.,not found, mr. jose ignacio  sanchez galan
mr. matthew  comyn,mr. thomas ronald palmer,not found, mr. frank j. bisignano
,mr. charles j. meyers,not found, mr. herman oskarovich gref
mr. bharat b. masrani,"ms. shemara r. wikramanayake b.com., l.l.b., llb, bcom (unsw)",not found, mr. ralph a. j. g. hamers
,mr. oliver zipse,not found, mr. joseph d. russell jr.
mr. stephen joseph squeri,,not found, mr. daniel hajj aboumrad
mr. gregory j. hayes,mr. richard p. wallace,not found, mr. jean-laurent  bonnafe
,mr. bruce dale broussard,mr. barak  tevet, mr. francesco  starace
mr. guillaume m.j.d faury,mr. francois lionel poirier,not found, mr. robert m. blue
mr. joaquim silva e luna,mr. saeed bin mohammed a. al-ghamdi,mr. roland  friederich, dr. thomas  buberl
mr. oliver  bate,,not found, ms. phebe n. novakovic
mr. evan g. greenberg,mr. lei chen,mr. marco antonio northland, mr. stephane  bancel
mr. ola  kallenius,mr. anthony g. capuano jr.,mr. ralph peter siegl," mr. mark  cutifani b.e., beng (mining), fellow ausimm, cengfimmm, dba"
mr. h. lawrence culp jr.,mr. victor g. dodig,not found, dr. bernhard  montag
mr. fabrizio  freda,mr. takehiko kakiuchi,mr. shao chun  xu, mr. ezra y. yacob
mr. douglas l. peterson m.b.a.,,not found,
mr. kevin a. lobo,mr. a. james teague,mr. qian  zhu, mr. guilherme  de souza macedo loureiro
mr. jack marie henry david bowles,mr. milton maluhy filho,not found, mr. richard c. adkerson
mr. william f. gifford jr.,mr. matthew j. murphy,mr. ritesh kumar agarwal, mr. james a. squires
,mr. toshihiro mibe,mr. benjamin  gonzalez,
mr. yousef  bin abdullah al-benyan,mr. martin mucci,mr. gregoire  huttner, ms. kathy j. warden
mr. chuan-fu  wang,ms. sarah m. london,not found, mr. gregory clarence case
mr. thomas m. rutledge,mr. miguel patricio,not found, mr. oliver  zipse
mr. brian  chesky,mr. laurence neil hunn,mr. meir  seroussi,
,mr. marcos eduardo galperã­n,mr. daniel  mizrahi, mr. richard p. wallace
mr. salil satish parekh,mr. francis a. desouza,mr. ran  israeli, mr. bruce dale broussard
mr. brian c. cornell,mr. olivier andries,mr. satpal  singh, mr. francois lionel poirier
mr. william r. mcdermott,dr. aart j. de geus,not found, mr. saeed  bin mohammed a. al-ghamdi
,mr. leonid viktorovich mikhelson,not found,
mr. kevin r. johnson,mr. christophe beck,not found, mr. lei  chen
dr. herbert  diess,,not found, mr. anthony g. capuano jr.
ms. jane nind fraser,,not found, mr. victor g. dodig
ms. emma n. walmsley,ms. elizabeth anne gaines ca,not found, mr. takehiko  kakiuchi
mr. david l. calhoun,mr. nicholas k. akins,not found,
mr. oscar garcia maceiras,mr. juan ricardo luciano,not found, mr. a. james teague
"mr. scott  charlton m.b.a., bsci, beng (elec), mba, member of fei, fta",mr. enrique j. lores,not found, mr. milton maluhy filho
mr. david  solomon,,not found, mr. matthew j. murphy
,mr. thierry delaporte,mr. aashish  jhunjhunwala, mr. olivier  le peuch
mr. xing  wang,mr. john chongbo rim,mr. girish madhukar talwalkar, mr. alexandre  ricard
dr. roland  busch dipl.phys.,mr. jun ohta,"dr. jurgi  camblong m.b.a., ph.d.", mr. seifollah  ghasemi
mr. thomas a. bartlett cpa,mr. brian r. niccol,"dr. gudaru naraiah naidu b.e., p.g.(dip) mie", mr. matthew j. murphy
mr. ivan m. menezes,dr. anirudh devgan ph.d.,mr. carsten  koerl, mr. erik  engstrom
mr. sashidhar  jagdishan,mr. todd m. schneider,not found, mr. aneel  bhusri
mr. laurence douglas fink,mr. ari bousbib,not found, mr. xavier m. p. huillard
mr. alan w. jope,mr. william c. rhodes iii,not found,
mr. arvind  krishna,mr. terrence r. curtin cpa,not found, mr. oscar  gonzalez rocha
ms. gail koziara boudreaux,mr. carlo messina,mr. martin  hoffmann,
mr. gary e. dickerson,mr. vagit yusufovich alekperov,mr. jerome  lambert,
mr. hamid r. moghadam,mr. robert g. wilt,mr. jan philipp jenisch,
mr. sidney  toledano,mr. kenichi hori,mr. christopher  caswell," mr. shayne cary elliott b.com, b.com."
mr. anders  opedal,mr. olivier pomel,mr. marc a. pointet, mr. nikesh  arora c.f.a.
,mr. edward d. breen,mr. farbod  sadeghian, mr. surendralal lanca karsanbhai
mr. d. james umpleby iii,,not found, mr. richard d. fairbank
mr. james d. taiclet jr.,"mr. ee cheong wee b.sc., m.a.",not found, mr. alejandro nicolas  aguzin
,mr. robert c. frenzel,not found, mr. lei  ding
"mr. jakob  stausholm m.s., ms",mr. shankh s. mitra,mr. david  dayan, dr. frank  appel
mr. kenichiro  yoshida,mr. henry a. fernandez,not found, mr. jack  dorsey
mr. toshiki  kawai,mr. yu sun,ms. aida collette sene, mr. kenneth a. seitz
mr. andrew j. cecere,mr. jose e. almeida,mr. paul-franã§ois  vranken, mr. keqiang  xu
mr. francesco  milleri,,mr. frã©dã©ric  coirier, mr. mats  rahmstrã¶m
mr. jay a. brown,mr. jeffrey s. sloan j.d.,dr. dominique  costantini m.d., mr. pieter willem van der does
"mr. ross maxwell mcewan b.b.s., cbe",mr. michael r. mcmullen,not found, mr. rolf habben jansen
mr. samuel n. hazen,ms. rosalind gates brewer,not found, mr. jose antonio  alvarez alvarez
mr. benoit  potier,mr. arthur william stein,not found, mr. gary adam norcross
mr. tobias  lã¼tke,,mr. sumant  sinha, mr. vincent t. roche
mr. david michael cordani,mr. david l. gitlin,not found, mr. craig  arnold
mr. hironori  kamezawa,mr. thomas p. gibbons,mr. jignesh vallabhbhai savani, mr. scott douglas sheffield
mr. sanjay  mehrotra,mr. michael j. hennigan,not found,
mr. daniel s. glaser,"mr. bradford leon banducci bcomm (acc), llb, mba",not found, mr. robert scott fauber
mr. terrence a. duffy,dr. gary s. guthart ph.d.,mr. vinod kumar goyal, mr. dara  khosrowshahi
mr. gary  nagle,mr. brian j. cassin,not found, mr. xiaodong  li
mr. james bruce flatt,"mr. michael j. farrell be, mba, sm",not found, mr. martin  mucci
"mr. stephen allen schwarzman b.a., m.b.a.",mr. peter z. e. vanacker,not found, ms. sarah m. london
"mr. brian johnston porter a.m.p., b.com.",,mr. manish  bagrodia, mr. miguel  patricio
ms. lynn j. good,mr. brian armstrong,mr. harsh  somaiya, mr. laurence neil hunn
mr. michael f. roman,mr. william li,mr. prashant sudhakar talwalkar, mr. marcos  eduardo galperã­n
mr. paul r. perreault b.a.,mr. matthew prince,not found, mr. francis a. desouza
ms. kristin c. peck,,not found, mr. olivier  andries
,mr. kenneth todd lane,not found, dr. aart j. de geus
mr. qiangdong  liu,mr. worthing f. jackman,not found, mr. leonid viktorovich mikhelson
mr. dirk  van de put,dr. kevin m. stein ph.d.,not found, mr. christophe  beck
ms. belen  garijo lopez m.d.,dr. ralph izzo ph.d.,mr. avi  lieber,
mr. timotheus  hottges,"mr. darren entwistle b.a., ll.d., m.b.a.",not found,
mr. jean-pascal  tricoire,ms. alison marie rose-slade b.a.,not found, ms. elizabeth anne gaines ca
mr. al  monaco,mr. john b. hess,mr. lawrence j. jasinski, mr. nicholas k. akins
ms. tracy a. robinson,mr. stephane richard,not found, mr. juan ricardo luciano
mr. glenn d. fogel,dr. theodor weimer,not found,
,mr. alexander j. pourbaix,not found,
,mr. kevin p. clark,"mr. stephen louis rhodes cpa, cpa"," mr. christopher e. kubasik cpa, cpa"
mr. carlos a. rodriguez,mr. blake d. moret,mr. aviv  refuah, mr. akio  toyoda
mr. michael a. mussallem,"mr. kevin david strain c.a., cpa",not found, mr. koji  arima
mr. mario  greco,ms. judith f. marks,not found, mr. mirko  bibic
mr. michael  cannon-brookes,mr. eric s. yuan,mr. olivier  jallabert, mr. carlos  tavares
mr. ernie l. herrman,,mr. qinying  ji, mr. claudio  descalzi
mr. jeffrey c. sprecher,"mr. e. borje ekholm mba, msc",mr. michele  garufi, mr. masahiro  okafuji
,mr. franklin k. clyburn jr.,mr. jean-louis  pech, mr. victor  peng
mr. william henry rogers jr.,mr. jiusheng zhu mba,mr. dominique  coutiere, mr. kurt  sievers
"dr. leonard s. schleifer m.d., ph.d.",mr. frans w. h. muller,dr. jean-philippe  milon, mr. tadashi  yanai
mr. daniel p.  o'day,mr. auttapol rerkpiboon,mr. rã©gis  arnoux, mr. ronald l. zimmerly jr.
mr. thomas e. polen jr.,mr. bom suk kim,mr. michel  savart, ms. vicki a. hollub
mr. william s. demchak,dr. carsten knobel,mr. antoine de oliveira e. castro, mr. jeffrey walker martin
mr. timothy m. archer,mr. marshall s. mccrea iii,mr. jean-sebastien  tamisier, dr. martin  brudermuller
mr. thomas a. fanning,"mr. galen g. weston b.a., m.b.a, m.b.a.",mr. eric  campos," mr. stephen john hasker b.com., m.b.a."
,mr. peter p. gassner,not found, mr. david a. schwimmer
,mr. parag agrawal,mr. amedeo  d'angelo,
mr. franã§ois-henri  pinault,mr. pekka ilmari lundmark,not found, mr. benedetto  vigna
mr. william darryl white,,not found, mr. evan  spiegel
ms. mary t. barra,mr. ronald philip o'hanley,not found, mr. ken  xie
mr. michel abbas khalaf,ms. catherine macgregor,dr. georges  karam, mr. todd j. vasos
mr. bernard s. charles,mr. paul brink,mr. philippe  baudry, mr. peter salvatore zaffino
mr. william j. fehrman,,mr. oskar  guilbert, mr. michael j. hennigan
,mr. jagtar singh chaudhry,not found, mr. keith e. creel
mr. frederick w. smith,,mr. philippe  lavielle, mr. jean jereissati neto
,dr. leonhard birnbaum,mr. christophe  canty, mr. rudolf gijsbert servaas van den brink
mr. soren  skou,mr. david a. zapico,mr. mathieu  dechavanne, mr. masayoshi  son
,mr. peter maxwell kern,not found,
mr. toshio  kagami,,mr. jean-michel  aulas, mr. robert j. gamgort
mr. frank  slootman,,mr. jacques  lacroix, dr. osamu  okuda
mr. christopher mark crane,,"mr. nathan  hetz b.a, cpa", mr. masanori  togawa
mr. noel r. wallace,ms. jennifer c. witz,mr. roi  hassel,
mr. james d. farley jr.,mr. ken murphy,mr. jean-noel  de galzain,
mr. thomas ronald palmer,mr. george wills,not found, mr. thierry  delaporte
mr. charles j. meyers,dr. hai jun zhao,mr. harel  shapira, mr. john chongbo  rim
mr. sandeep  bakhshi b.e.,mr. mark w. begor,not found, mr. jun  ohta
mr. piyush  gupta,mr. brendan horgan,mr. amir  diament, mr. brian r. niccol
,dr. david todd feinberg mba,dr. pnina  fishman ph.d., dr. anirudh  devgan ph.d.
mr. james c. fish jr.,mr. james p. snee,mr. mordechai  gorfung, mr. todd m. schneider
,"mr. robert anthony wheals c.a., b.com., bcom, ca, gaicd, maicd",not found, mr. ari  bousbib
"mr. peter francis king f.c.a., bec, fca",mr. francisco miguel reynã©s massanet,not found, mr. william c. rhodes iii
ms. susan patricia griffith,"mr. joseph galli jr., bsba, m.b.a., mba.",not found, mr. terrence r. curtin cpa
mr. e. scott santi,mr. james m. foote,not found, mr. carlo  messina
"dr. reshma  kewalramani fasn, m.d.",mr. jeffrey lawson,not found, mr. vagit yusufovich alekperov
mr. john g. morikis,,mr. christophe  capelli, mr. robert g. wilt
mr. werner  baumann,mr. sumit roy,mr. julien  bon, mr. kenichi  hori
mr. hisayuki  idekoba,mr. arnd kaldowski,mr. thomas  huser, mr. olivier  pomel
mr. jose ignacio  sanchez galan,mr. laurent ferreira,mr. xavier  latil, mr. william a. newlands
mr. frank j. bisignano,mr. bhavesh v. patel,not found, dr. reinhard  ploss
mr. herman oskarovich gref,mr. fujio mitarai,mr. hubert  grouã¨s, mr. alan david schnitzer
mr. ralph a. j. g. hamers,mr. christian sewing,mr. alain  tur, mr. jonathan j. mazelsky
mr. joseph d. russell jr.,mr. charles j. g. brindamour b.sc.,mr. patrick  alexandre, mr. nicholas jonathan read
mr. daniel hajj aboumrad,mr. gerard m. anderson,mr. wade j. rosen, ms. su hua tian
mr. jean-laurent  bonnafe,mr. robert e. jordan,mr. gil  beyen bvba, mr. richard adam norwitt
mr. francesco  starace,mr. patrice caine,ms. nawal  ouzren, ms. michele gross buck
mr. robert m. blue,mr. john s. riccitiello,mr. marc  delcourt, mr. christophe  weber
dr. thomas  buberl,mr. patrick j. ottensmeyer,not found, mr. yanhong  li
,ms. patricia kessler poppe,mr. olivier  tardy,
mr. stephane  bancel,mr. jack a. fusco,mr. thierry  ehrmann, mr. kasper bo rorsted
"mr. mark  cutifani b.e., beng (mining), fellow ausimm, cengfimmm, dba",mr. ping cheng,not found, mr. jun  seki
dr. bernhard  montag,ms. helena hedblom m.sc.,sir cyrille  tupin cpa," mr. octavio  de lazari jr., junior"
mr. ezra y. yacob,mr. james thomas hill,mr. jean-claude  carquillat, mr. kevin ronald sayer
,mr. philip eric rene jansen,not found, mr. leon j. topalian
mr. guilherme  de souza macedo loureiro,mr. teiichi goto,"mr. thomas  kuhn m.b.a., pharm.d., pharm d mba", mr. brian  humphries
mr. richard c. adkerson,mr. stephan sturm,not found, igor y. zhilkin
mr. james a. squires,mr. h. eric bolton jr.,mr. alain  wilmouth, mr. charles frederick lowrey jr.
,mr. phanich sodsee,dr. philippe  genne, dr. andrew  anagnost
ms. kathy j. warden,mr. michael g. o'grady,not found, mr. bob  van dijk
mr. gregory clarence case,mr. xiaopeng he,not found, mr. george r. kurtz
