04-iGMM-link,08-slytherin-link
['https://www.cypc.com.cn'],https://disfold.com/company/group-of-companies-segezha-public-joint-stock-company/
['https://www.kering.com'],https://disfold.com/company/adriano-care-socimi-sa/
"['https://www.gm.com', 'https://www.facebook.com/generalmotors', 'https://twitter.com/gm', 'https://www.linkedin.com/company/1472', 'https://en.wikipedia.org/wiki/general_motors']",https://disfold.com/company/soluciones-cuatroochenta-sl/
"['https://www.metlife.com', 'https://www.facebook.com/metlife', 'https://twitter.com/metlife', 'https://www.linkedin.com/company/metlife/', 'https://en.wikipedia.org/wiki/metlife']",https://disfold.com/company/cox-kings-ltd/
['https://www.3ds.com'],https://disfold.com/company/kohinoor-foods-ltd/
['https://www.pacificorp.com'],https://disfold.com/company/magnum-ventures-ltd/
"['https://www.bostonscientific.com', 'https://www.facebook.com/bostonscientific', 'https://twitter.com/bostonsci', 'https://www.linkedin.com/company/boston-scientific/', 'https://en.wikipedia.org/wiki/boston_scientific']",https://disfold.com/company/one-point-one-solutions-ltd/
"['https://www.fedex.com', 'https://en.wikipedia.org/wiki/fedex']",https://disfold.com/company/mic-electronics-ltd/
['https://www.shinetsu.co.jp'],https://disfold.com/company/silgo-retail-ltd/
['https://www.maersk.com'],https://disfold.com/company/agro-phos/
['https://www.skhynix.com'],https://disfold.com/company/sunflower-sustainable-investments-ltd/
['https://www.olc.co.jp'],https://disfold.com/company/castex-technologies-ltd/
"['https://www.snowflake.com', 'https://www.facebook.com/snowflake-inc-709171695819345/', 'https://twitter.com/snowflakedb', 'https://www.linkedin.com/company/snowflake-computing/', 'https://en.wikipedia.org/wiki/snowflake_inc.']",https://disfold.com/company/sumit-woods-ltd/
"['https://www.exeloncorp.com', 'https://twitter.com/exelon', 'https://www.linkedin.com/company/exelon', 'https://en.wikipedia.org/wiki/exelon']",https://disfold.com/company/parabolic-drugs-ltd/
"['https://www.colgatepalmolive.com', 'https://www.facebook.com/colgate', 'https://twitter.com/colgate', 'https://www.linkedin.com/company/colgate-palmolive', 'https://en.wikipedia.org/wiki/colgate_palmolive']",https://disfold.com/company/vaishali-pharma-ltd/
"['https://www.ford.com', 'https://twitter.com/fordcredit', 'https://en.wikipedia.org/wiki/ford']",https://disfold.com/company/next-mediaworks-ltd/
"['https://www.newmont.com', 'https://en.wikipedia.org/wiki/newmont_corporation']",https://disfold.com/company/alon-natural-gas-exploration-ltd/
"['https://www.equinix.com', 'https://www.facebook.com/equinix', 'https://twitter.com/equinix', 'https://www.linkedin.com/company/equinix', 'https://en.wikipedia.org/wiki/equinix']",https://disfold.com/company/flexituff-ventures-international-ltd/
"['https://www.macquarie.com', 'https://www.facebook.com/macquariegroup/', 'https://twitter.com/macquarie', 'https://www.linkedin.com/company/macquariegroup/', 'https://en.wikipedia.org/wiki/macquarie_group']",https://disfold.com/company/servotech-power-systems-ltd/
['https://www.bmwgroup.com'],https://disfold.com/company/keynote-financial-services-ltd/
['https://www.bankcomm.com'],https://disfold.com/company/moksh-ornaments-ltd/
"['https://www.kla.com', 'https://en.wikipedia.org/wiki/kla_corporation']",https://disfold.com/company/kss-ltd/
"['https://www.humana.com', 'https://www.facebook.com/humana', 'https://twitter.com/humana', 'https://www.linkedin.com/company/humana', 'https://en.wikipedia.org/wiki/humana']",https://disfold.com/company/gan-shmuel-foods-ltd/
"['https://www.tcenergy.com', 'https://www.facebook.com/tcenergycorporation/', 'https://twitter.com/tcenergy', 'https://www.linkedin.com/company/tcenergy/about/']",https://disfold.com/company/nebag-ag/
['https://www.alahli.com'],https://disfold.com/company/zublin-immobilien-holding-ag/
"['https://www.ihsmarkit.com', 'https://en.wikipedia.org/wiki/ihs_markit']",https://disfold.com/company/villars-holding-sa/
"['https://www.pinduoduo.com', 'https://en.wikipedia.org/wiki/pinduoduo']",https://disfold.com/company/etrion-corporation/
"['https://www.marriott.com', 'https://en.wikipedia.org/wiki/marriott_int_perc27l.']",https://disfold.com/company/hochdorf-holding-ag/
"['https://www.cibc.com', 'https://en.wikipedia.org/wiki/canadian_imperial_bank_of_commerce']",https://disfold.com/company/magal-security-systems-ltd/
['https://www.mitsubishicorp.com'],https://disfold.com/company/kingdee-international-software-group-co-ltd/
['https://www.haitian-food.com'],https://disfold.com/company/zhejiang-zheneng-electric-power-co-ltd/
"['https://www.enterpriseproducts.com', 'https://en.wikipedia.org/wiki/enterprise_products']",https://disfold.com/company/shanghai-jin-jiang-international-hotels-development-co-ltd/
['https://www.itau.com.br'],https://disfold.com/company/bharatiya-global-infomedia-ltd/
['https://www.marvell.com'],https://disfold.com/company/rajvir-industries-ltd/
"['https://www.honda.co.jp', 'https://en.wikipedia.org/wiki/honda']",https://disfold.com/company/metabolic-explorer-sa/
"['https://www.paychex.com', 'https://en.wikipedia.org/wiki/paychex']",https://disfold.com/company/latecoere-sa/
"['https://www.centene.com', 'https://www.facebook.com/centenecorporation', 'https://twitter.com/centene', 'https://www.linkedin.com/company/centene-corporation', 'https://en.wikipedia.org/wiki/centene']",https://disfold.com/company/lakshmi-precision-screws-ltd/
"['https://www.kraftheinzcompany.com', 'https://www.facebook.com/kraft', 'https://twitter.com/kraftheinzco', 'https://www.linkedin.com/company/164197', 'https://en.wikipedia.org/wiki/kraft_heinz']",https://disfold.com/company/pradip-overseas-ltd/
"['https://www.ropertech.com', 'https://www.linkedin.com/company/roper-industries', 'https://en.wikipedia.org/wiki/roper_technologies']",https://disfold.com/company/el-mor-electric-installation-services/
"['https://www.mercadolibre.com', 'https://en.wikipedia.org/wiki/mercadolibre']",https://disfold.com/company/opal-balance-investments-ltd/
"['https://www.illumina.com', 'https://en.wikipedia.org/wiki/illumina,_inc.']",https://disfold.com/company/arena-star-group-ltd/
['https://www.safran-group.com'],https://disfold.com/company/dolphin-offshore-enterprises/
"['https://www.synopsys.com', 'https://www.facebook.com/synopsys', 'https://twitter.com/synopsys', 'https://www.linkedin.com/company/synopsys', 'https://en.wikipedia.org/wiki/synopsys']",https://disfold.com/company/radaan-mediaworks-india-ltd/
['https://www.novatek.ru'],https://disfold.com/company/thiru-arooran-sugars-ltd/
"['https://www.ecolab.com', 'https://www.facebook.com/ecolab', 'https://twitter.com/ecolab', 'https://www.linkedin.com/company/ecolab', 'https://en.wikipedia.org/wiki/ecolab']",https://disfold.com/company/amiad-water-systems-ltd/
['https://www.ctgdutyfree.com.cn'],https://disfold.com/company/g-willi-food-international-ltd/
['https://www.foxconn.com'],https://disfold.com/company/euro-ceramics-ltd/
"['https://www.fmgl.com.au', 'https://twitter.com/fortescuenews', 'https://www.linkedin.com/company/fortescue-metals-group', 'https://en.wikipedia.org/wiki/fortescue_metals_group']",https://disfold.com/company/kaushalya-infrastructure-development-corp-ltd/
"['https://www.aep.com', 'https://en.wikipedia.org/wiki/american_electric_power']",https://disfold.com/company/sanco-industries-ltd/
"['https://www.adm.com', 'https://www.facebook.com/admcares/', 'https://twitter.com/admupdates', 'https://www.linkedin.com/company/adm', 'https://en.wikipedia.org/wiki/adm_(company)']",https://disfold.com/company/tarapur-transformers-ltd/
"['https://www.hp.com', 'https://en.wikipedia.org/wiki/hp_inc.']",https://disfold.com/company/gangotri-textiles-ltd/
['https://www.zijinmining.com'],https://disfold.com/company/metkore-alloys-industries-ltd/
"['https://www.wipro.com', 'https://www.facebook.com/wiprotechnologies', 'https://twitter.com/wipro', 'https://www.linkedin.com/company/wipro', 'https://en.wikipedia.org/wiki/wipro']",https://disfold.com/company/ramsarup-industries-ltd/
['https://samsungbiologics.com'],https://disfold.com/company/talwalkars-better-value-fitness-ltd/
"['https://www.smfg.co.jp', 'https://en.wikipedia.org/wiki/sumitomo_mitsui_financial_group']",https://disfold.com/company/sophia-genetics-sa/
"['https://www.chipotle.com', 'https://www.facebook.com/chipotle', 'https://www.twitter.com/chipotletweets', 'https://www.linkedin.com/company/chipotle-mexican-grill', 'https://en.wikipedia.org/wiki/chipotle_mexican_grill']",https://disfold.com/company/regency-ceramics-ltd/
"['https://www.cadence.com', 'https://www.facebook.com/cadencedesign', 'https://twitter.com/cadence', 'https://www.linkedin.com/company/cadence-design-systems', 'https://en.wikipedia.org/wiki/cadence_design_systems']",https://disfold.com/company/sportradar-group-ag/
"['https://www.cintas.com', 'https://www.facebook.com/cintas', 'https://twitter.com/cintascorp', 'https://www.linkedin.com/company/cintas', 'https://en.wikipedia.org/wiki/cintas']",https://disfold.com/company/melstar-information-technologies-ltd/
"['https://www.iqvia.com', 'https://www.facebook.com/quintiles/', 'https://twitter.com/quintilesims', 'https://en.wikipedia.org/wiki/iqvia']",https://disfold.com/company/ses-solar-inc/
"['https://www.autozone.com', 'https://en.wikipedia.org/wiki/autozone']",https://disfold.com/company/psl-ltd/
"['https://www.te.com', 'https://en.wikipedia.org/wiki/te_connectivity']",https://disfold.com/company/barry-callebaut-ag/
['https://www.intesasanpaolo.com'],https://disfold.com/company/on-holding-ag/
"['https://www.lukoil.com', 'https://www.facebook.com/lukoil.en', 'https://twitter.com/lukoilengl', 'https://www.linkedin.com/company/lukoil/about/']",https://disfold.com/company/compagnie-financiere-richemont-sa/
