00-avengers-market_cap,06-MarScoToc-master_cap,09-wissel-earnings,02-GioPonSpiz-pricecap,03-gren-market_capitalization_usd,09-wissel-revenue,01-DDD-marketcap,04-iGMM-marketcap,05-MalPatSaj-marketcap,09-wissel-marketcap
doll_285.74 b,doll_317.33 b,doll_0.25 b,doll_306.65 b,doll_294.54 b,doll_1.66 b,doll_8.31 b,doll_132.00 b,doll_303.18 b,doll_11.41 b
doll_289.42 b,doll_278.74 b,-doll_37.01 m,doll_284.59 b,doll_291.16 b,doll_0.83 b,doll_12.17 b,doll_132.51 b,doll_291.55 b,doll_5.06 b
doll_285.77 b,doll_274.76 b,-doll_0.24 b,doll_281.72 b,doll_285.82 b,doll_0.81 b,doll_6.23 b,doll_132.99 b,doll_282.82 b,doll_0.51 b
doll_292.41 b,doll_270.69 b,-doll_0.53 b,doll_271.63 b,doll_284.34 b,doll_0.60 b,doll_5.41 b,doll_134.26 b,doll_276.72 b,doll_1.80 b
doll_289.44 b,doll_264.54 b,doll_0.25 b,doll_268.59 b,doll_276.05 b,doll_0.90 b,doll_7.08 b,doll_134.29 b,doll_271.06 b,doll_3.47 b
doll_331.82 b,doll_260.56 b,-doll_1.11 m,doll_265.94 b,doll_274.17 b,doll_1.19 b,doll_6.20 b,doll_141.73 b,doll_258.96 b,doll_0.56 b
doll_327.43 b,doll_259.81 b,-doll_0.19 b,doll_265.65 b,doll_258.32 b,doll_0.67 b,doll_6.19 b,doll_134.39 b,doll_252.61 b,doll_0.26 b
doll_312.57 b,doll_253.21 b,doll_80.44 m,doll_259.53 b,doll_249.5 b,doll_0.97 b,doll_6.20 b,doll_137.25 b,doll_248.27 b,doll_2.44 b
doll_334.28 b,doll_241.52 b,doll_0.14 b,doll_242.29 b,doll_245.89 b,doll_1.62 b,doll_5.76 b,doll_137.55 b,doll_240.68 b,doll_3.25 b
doll_350.04 b,doll_238.52 b,doll_0.12 b,doll_241.95 b,doll_240.64 b,doll_1.30 b,doll_6.22 b,doll_134.89 b,doll_232.65 b,doll_0.64 b
doll_346.18 b,doll_235.24 b,doll_0.48 b,doll_241.42 b,doll_230.96 b,doll_1.71 b,doll_6.19 b,doll_143.14 b,doll_222.46 b,doll_4.41 b
doll_356.90 b,doll_232.83 b,doll_0.29 b,doll_240.50 b,doll_219.45 b,doll_66.03 b,doll_4.44 b,doll_142.89 b,doll_220.60 b,doll_1.90 b
doll_356.08 b,doll_225.20 b,doll_0.22 b,doll_228.97 b,doll_214.97 b,doll_1.43 b,doll_6.20 b,doll_120.97 b,doll_218.29 b,doll_3.02 b
doll_378.34 b,doll_219.38 b,doll_0.64 b,doll_222.25 b,doll_214.26 b,doll_1.32 b,doll_6.19 b,doll_69.83 b,doll_214.60 b,doll_4.36 b
doll_376.99 b,doll_216.21 b,doll_0.19 b,doll_221.13 b,doll_209.82 b,doll_3.60 b,doll_6.21 b,doll_68.17 b,doll_212.05 b,doll_3.02 b
doll_415.87 b,doll_213.03 b,doll_75.4 m,doll_219.77 b,doll_207.93 b,doll_1.03 b,doll_6.22 b,doll_69.52 b,doll_208.55 b,doll_10.65 b
doll_396.45 b,doll_205.69 b,doll_0.21 b,doll_215.31 b,doll_206.37 b,doll_5.74 b,doll_4.71 b,doll_69.79 b,doll_202.52 b,doll_4.35 b
doll_420.54 b,doll_203.40 b,doll_0.25 b,doll_208.24 b,doll_203.25 b,doll_2.35 b,doll_6.21 b,doll_68.76 b,doll_201.07 b,doll_4.35 b
doll_422.66 b,doll_201.11 b,-doll_11.02 m,doll_203.52 b,doll_199.6 b,doll_1.03 b,doll_4.15 b,doll_70.01 b,doll_199.66 b,doll_3.26 b
doll_452.43 b,doll_199.75 b,doll_0.14 b,doll_200.80 b,doll_198.5 b,doll_1.63 b,doll_3.39 b,doll_70.56 b,doll_199.62 b,doll_0.92 b
doll_460.99 b,doll_198.08 b,doll_36.33 m,doll_199.78 b,doll_197.36 b,doll_0.59 b,doll_4.17 b,doll_69.84 b,doll_199.54 b,doll_0.24 b
doll_467.67 b,doll_196.71 b,doll_0.13 b,doll_199.18 b,doll_195.85 b,doll_0.74 b,doll_4.18 b,doll_70.02 b,doll_199.03 b,doll_7.63 b
doll_606.20 b,doll_196.70 b,doll_94.36 m,doll_197.91 b,doll_194.83 b,doll_1.81 b,doll_4.17 b,doll_70.97 b,doll_197.36 b,doll_0.82 b
