00-avengers-market_cap,06-MarScoToc-master_cap,09-wissel-earnings,02-GioPonSpiz-pricecap,03-gren-market_capitalization_usd,09-wissel-revenue,01-DDD-marketcap,04-iGMM-marketcap,05-MalPatSaj-marketcap,09-wissel-marketcap
doll_0.12 b,doll_6.78 b,doll_7.43 m,doll_6.85 b,doll_6.4 b,doll_0.61 b,doll_12.41 b,doll_24.26 m,doll_6.57 b,doll_0.80 b
doll_0.12 b,doll_6.76 b,doll_0.21 b,doll_6.84 b,doll_6.39 b,doll_1.18 b,doll_12.38 b,doll_24.77 m,doll_6.57 b,doll_3.77 b
doll_0.12 b,doll_6.76 b,doll_36.04 m,doll_6.84 b,doll_6.38 b,doll_0.19 b,doll_12.45 b,doll_24.84 m,doll_6.57 b,doll_0.41 b
doll_0.12 b,doll_6.76 b,-doll_0.11 b,doll_6.83 b,doll_6.38 b,,doll_12.39 b,doll_24.8 m,doll_6.57 b,doll_2.56 m
doll_0.12 b,doll_6.75 b,-doll_13.21 m,doll_6.83 b,doll_6.38 b,doll_37.55 m,doll_12.38 b,doll_25.12 m,doll_6.56 b,doll_0.37 b
doll_0.12 b,doll_6.75 b,doll_0.32 b,doll_6.83 b,doll_6.38 b,doll_0.70 b,doll_12.39 b,doll_25.15 m,doll_6.55 b,doll_0.61 b
doll_99.4 m,doll_6.75 b,-doll_15.75 m,doll_6.82 b,doll_6.38 b,,doll_12.35 b,doll_25.2 m,doll_6.54 b,doll_24.65 m
doll_99.55 m,doll_6.74 b,doll_0.36 b,doll_6.80 b,doll_6.37 b,doll_0.32 b,doll_12.31 b,doll_25.75 m,doll_6.54 b,doll_3.12 b
doll_0.10 b,doll_6.74 b,-doll_53.08 m,doll_6.80 b,doll_6.37 b,,doll_12.45 b,doll_25.64 m,doll_6.53 b,doll_0.20 b
doll_0.10 b,doll_6.74 b,doll_0.39 b,doll_6.79 b,doll_6.36 b,doll_0.19 b,doll_12.38 b,doll_26.02 m,doll_6.52 b,doll_1.14 b
doll_0.10 b,doll_6.73 b,-doll_87.97 m,doll_6.78 b,doll_6.35 b,,doll_12.39 b,doll_26.27 m,doll_6.50 b,doll_0.12 b
doll_0.10 b,doll_6.73 b,-doll_76.86 m,doll_6.78 b,doll_6.35 b,,doll_12.38 b,doll_26.4 m,doll_6.50 b,doll_1.40 b
doll_0.10 b,doll_6.73 b,-doll_73.77 m,doll_6.78 b,doll_6.35 b,doll_3.14 m,doll_12.35 b,doll_26.34 m,doll_6.50 b,doll_0.31 b
doll_0.10 b,doll_6.73 b,-doll_50.01 m,doll_6.77 b,doll_6.34 b,doll_6.4 m,doll_12.39 b,doll_26.46 m,doll_6.49 b,doll_88.16 m
doll_0.10 b,doll_6.72 b,-doll_54.74 m,doll_6.75 b,doll_6.34 b,doll_10.41 m,doll_12.40 b,doll_26.42 m,doll_6.49 b,doll_70.32 m
doll_0.10 b,doll_6.72 b,doll_66.1 m,doll_6.75 b,doll_6.34 b,doll_0.11 b,doll_12.50 b,doll_26.65 m,doll_6.48 b,doll_0.55 b
doll_0.10 b,doll_6.70 b,-doll_55.26 m,doll_6.74 b,doll_6.34 b,,doll_12.52 b,doll_26.84 m,doll_6.48 b,doll_2.09 b
doll_0.10 b,doll_6.70 b,,doll_6.74 b,doll_6.34 b,,doll_12.68 b,doll_27.29 m,doll_6.48 b,doll_3.49 m
doll_0.10 b,doll_6.70 b,-doll_83.89 m,doll_6.73 b,doll_6.34 b,,doll_12.57 b,doll_26.76 m,doll_6.48 b,doll_68.31 m
doll_0.10 b,doll_6.69 b,-doll_13.95 m,doll_6.73 b,doll_6.33 b,doll_0.12 b,doll_12.71 b,doll_27.33 m,doll_6.48 b,doll_1.79 b
doll_0.10 b,doll_6.69 b,-doll_0.11 b,doll_6.72 b,doll_6.33 b,,doll_12.55 b,doll_27.53 m,doll_6.48 b,doll_0.55 b
doll_0.10 b,doll_6.69 b,-doll_9.96 m,doll_6.71 b,doll_6.33 b,doll_9.98 m,doll_12.68 b,doll_27.75 m,doll_6.47 b,doll_14.62 m
doll_75.68 m,doll_6.68 b,-doll_18.08 m,doll_6.70 b,doll_6.32 b,doll_1.85 m,doll_12.54 b,doll_27.71 m,doll_6.47 b,doll_5.66 m
doll_75.93 m,doll_6.68 b,-doll_0.14 b,doll_6.69 b,doll_6.32 b,,doll_12.60 b,doll_27.74 m,doll_6.47 b,doll_1.96 b
doll_76.28 m,doll_6.67 b,-doll_9.65 m,doll_6.69 b,doll_6.32 b,doll_7.71 m,doll_12.72 b,doll_27.67 m,doll_6.46 b,doll_5.39 m
doll_76.31 m,doll_6.67 b,doll_0.12 b,doll_6.68 b,doll_6.31 b,doll_0.28 b,doll_12.62 b,doll_27.8 m,doll_6.46 b,doll_1.39 b
doll_76.64 m,doll_6.67 b,doll_44.47 m,doll_6.67 b,doll_6.31 b,doll_0.12 b,doll_12.50 b,doll_28.08 m,doll_6.45 b,doll_0.25 b
doll_77 m,doll_6.67 b,doll_52.12 m,doll_6.67 b,doll_6.3 b,doll_0.36 b,doll_12.70 b,doll_28 m,doll_6.44 b,doll_0.18 b
doll_77.24 m,doll_6.66 b,-doll_23.33 m,doll_6.67 b,doll_6.3 b,doll_11.12 m,doll_12.57 b,doll_28.59 m,doll_6.44 b,doll_8.86 m
doll_77.72 m,doll_6.66 b,-doll_44.12 m,doll_6.66 b,doll_6.3 b,doll_13.74 m,doll_12.60 b,doll_28.83 m,doll_6.44 b,doll_0.25 b
doll_78.27 m,doll_6.66 b,-doll_73.02 m,doll_6.65 b,doll_6.3 b,,doll_12.52 b,doll_28.97 m,doll_6.43 b,doll_1.83 b
doll_78.34 m,doll_6.66 b,doll_0.20 b,doll_6.65 b,doll_6.3 b,doll_0.40 b,doll_12.72 b,doll_29.35 m,doll_6.43 b,doll_6.65 b
doll_78.68 m,doll_6.66 b,-doll_41.9 m,doll_6.65 b,doll_6.29 b,,doll_12.74 b,doll_29.49 m,doll_6.42 b,doll_0.79 b
doll_79.13 m,doll_6.65 b,-doll_0.14 b,doll_6.65 b,doll_6.29 b,,doll_12.78 b,doll_32.75 m,doll_6.42 b,doll_8.61 m
doll_79.24 m,doll_6.65 b,-doll_51.18 m,doll_6.65 b,doll_6.29 b,,doll_12.81 b,doll_33.03 m,doll_6.42 b,doll_0.29 b
doll_79.37 m,doll_6.65 b,doll_3.86 m,doll_6.65 b,doll_6.27 b,doll_71.51 m,doll_12.81 b,doll_32.99 m,doll_6.41 b,doll_11.99 m
doll_79.39 m,doll_6.64 b,-doll_74 m,doll_6.64 b,doll_6.27 b,,doll_12.72 b,doll_33.2 m,doll_6.41 b,doll_0.28 b
doll_79.64 m,doll_6.63 b,-doll_58.2 m,doll_6.64 b,doll_6.26 b,,doll_12.84 b,doll_33.24 m,doll_6.41 b,doll_22.46 m
doll_53.44 m,doll_6.63 b,-doll_86.92 m,doll_6.63 b,doll_6.26 b,doll_1.31 b,doll_12.81 b,doll_33.53 m,doll_6.41 b,doll_1.84 b
doll_53.51 m,doll_6.62 b,-doll_64.27 m,doll_6.62 b,doll_6.26 b,,doll_12.83 b,doll_33.3 m,doll_6.41 b,doll_0.46 b
doll_53.77 m,doll_6.62 b,-doll_0.11 b,doll_6.62 b,doll_6.25 b,,doll_12.82 b,doll_33.39 m,doll_6.40 b,doll_0.16 b
doll_53.94 m,doll_6.61 b,-doll_77.68 m,doll_6.62 b,doll_6.24 b,doll_4.16 m,doll_12.82 b,doll_33.91 m,doll_6.40 b,doll_61.39 m
doll_53.95 m,doll_6.60 b,-doll_21.12 m,doll_6.62 b,doll_6.23 b,doll_2.05 m,doll_12.88 b,doll_34.04 m,doll_6.40 b,doll_9.06 m
doll_54.02 m,doll_6.60 b,-doll_11.91 m,doll_6.61 b,doll_6.22 b,doll_9.45 m,doll_12.84 b,doll_34.48 m,doll_6.39 b,doll_17.57 m
doll_54.16 m,doll_6.60 b,doll_0.16 b,doll_6.59 b,doll_6.22 b,doll_0.34 b,doll_12.98 b,doll_35.06 m,doll_6.39 b,doll_0.93 b
doll_54.31 m,doll_6.60 b,-doll_11.3 m,doll_6.59 b,doll_6.22 b,doll_16.89 m,doll_12.93 b,doll_34.21 m,doll_6.38 b,doll_0.20 b
doll_54.32 m,doll_6.60 b,-doll_14.77 m,doll_6.59 b,doll_6.22 b,doll_13.43 m,doll_12.88 b,doll_34.42 m,doll_6.38 b,doll_23.06 m
doll_54.32 m,doll_6.59 b,-doll_17.03 m,doll_6.59 b,doll_6.21 b,doll_3.87 m,doll_13.02 b,doll_35.1 m,doll_6.38 b,doll_27.64 m
doll_54.86 m,doll_6.59 b,-doll_68.46 m,doll_6.58 b,doll_6.21 b,,doll_13.03 b,doll_35.26 m,doll_6.37 b,doll_27.82 m
doll_55.17 m,doll_6.59 b,doll_0.14 b,doll_6.58 b,doll_6.2 b,doll_0.30 b,doll_13.03 b,doll_35.17 m,doll_6.37 b,doll_0.70 b
doll_55.25 m,doll_6.59 b,-doll_23.9 m,doll_6.58 b,doll_6.2 b,doll_2.25 m,doll_13.06 b,doll_35.24 m,doll_6.37 b,doll_41.16 m
doll_55.5 m,doll_6.59 b,-doll_74.36 m,doll_6.58 b,doll_6.2 b,,doll_13.07 b,doll_35.48 m,doll_6.37 b,doll_0.37 b
doll_55.5 m,doll_6.58 b,doll_2.03 m,doll_6.58 b,doll_6.2 b,doll_23.22 m,doll_13.02 b,doll_35.56 m,doll_6.37 b,doll_0.14 b
doll_55.54 m,doll_6.58 b,doll_70.54 m,doll_6.57 b,doll_6.18 b,doll_0.29 b,doll_13.05 b,doll_35.55 m,doll_6.36 b,doll_2.79 b
doll_35.41 m,doll_6.57 b,-doll_10.07 m,doll_6.57 b,doll_6.18 b,doll_0.19 b,doll_12.99 b,doll_35.92 m,doll_6.35 b,doll_1.61 b
doll_35.44 m,doll_6.57 b,doll_0.26 m,doll_6.56 b,doll_6.18 b,doll_22.18 m,doll_13.08 b,doll_35.61 m,doll_6.35 b,doll_17.18 m
doll_35.87 m,doll_6.57 b,doll_0.30 b,doll_6.56 b,doll_6.18 b,doll_0.63 b,doll_13.11 b,doll_35.64 m,doll_6.33 b,doll_2.99 b
doll_35.95 m,doll_6.56 b,doll_0.15 b,doll_6.56 b,doll_6.17 b,doll_0.30 b,doll_13.16 b,doll_35.95 m,doll_6.33 b,doll_0.42 b
doll_36.11 m,doll_6.56 b,-doll_14.12 m,doll_6.56 b,doll_6.17 b,doll_0.67 m,doll_13.19 b,doll_36.63 m,doll_6.33 b,doll_20.31 m
doll_36.27 m,doll_6.56 b,-doll_44.21 m,doll_6.56 b,doll_6.17 b,doll_13.79 m,doll_13.19 b,doll_36.4 m,doll_6.33 b,doll_0.41 b
doll_36.46 m,doll_6.54 b,-doll_54.31 m,doll_6.56 b,doll_6.17 b,,doll_13.13 b,doll_36.66 m,doll_6.33 b,doll_0.41 b
doll_36.46 m,doll_6.54 b,-doll_0.13 b,doll_6.56 b,doll_6.16 b,,doll_13.16 b,doll_36.96 m,doll_6.32 b,doll_0.40 b
doll_36.66 m,doll_6.53 b,-doll_53.87 m,doll_6.55 b,doll_6.16 b,doll_0.09 m,doll_13.17 b,doll_37.35 m,doll_6.32 b,doll_0.15 b
doll_36.78 m,doll_6.53 b,-doll_21.74 m,doll_6.55 b,doll_6.16 b,doll_7.52 m,doll_13.17 b,doll_36.96 m,doll_6.32 b,doll_21.48 m
doll_36.81 m,doll_6.53 b,-doll_54.49 m,doll_6.54 b,doll_6.15 b,doll_10.77 m,doll_13.19 b,doll_37.36 m,doll_6.32 b,doll_14.36 m
doll_36.97 m,doll_6.53 b,doll_28.31 m,doll_6.54 b,doll_6.15 b,doll_63.28 m,doll_13.20 b,doll_37.54 m,doll_6.32 b,doll_0.43 b
doll_37.28 m,doll_6.53 b,-doll_13.97 m,doll_6.53 b,doll_6.14 b,doll_4.47 m,doll_13.21 b,doll_37.6 m,doll_6.31 b,doll_0.51 b
doll_37.46 m,doll_6.53 b,-doll_16.75 m,doll_6.52 b,doll_6.14 b,-doll_0.55 m,doll_13.21 b,doll_38.22 m,doll_6.31 b,doll_51.88 m
doll_37.47 m,doll_6.51 b,-doll_59.33 m,doll_6.52 b,doll_6.14 b,,doll_13.20 b,doll_38.12 m,doll_6.30 b,doll_0.50 b
doll_37.99 m,doll_6.51 b,-doll_7.15 m,doll_6.50 b,doll_6.13 b,doll_6.19 m,doll_13.17 b,doll_38.44 m,doll_6.30 b,doll_6.73 m
doll_20.75 m,doll_6.49 b,-doll_15.53 m,doll_6.50 b,doll_6.13 b,doll_1.26 m,doll_13.21 b,doll_38.85 m,doll_6.30 b,doll_47.16 m
doll_21.03 m,doll_6.47 b,-doll_0.12 b,doll_6.50 b,doll_6.12 b,doll_1.88 m,doll_13.22 b,doll_39.03 m,doll_6.30 b,doll_1.45 b
doll_21.47 m,doll_6.47 b,-doll_29.27 m,doll_6.50 b,doll_6.12 b,doll_0.15 m,doll_13.23 b,doll_39.79 m,doll_6.29 b,doll_39.29 m
doll_21.51 m,doll_6.47 b,-doll_1.78 b,doll_6.49 b,doll_6.12 b,-doll_1.7 b,doll_13.23 b,doll_39.73 m,doll_6.28 b,doll_6.45 b
doll_21.67 m,doll_6.46 b,-doll_47.1 m,doll_6.49 b,doll_6.11 b,,doll_13.23 b,doll_40.13 m,doll_6.27 b,doll_67.3 m
doll_22.17 m,doll_6.44 b,-doll_4.69 m,doll_6.48 b,doll_6.11 b,doll_15.31 m,doll_13.23 b,doll_40.13 m,doll_6.27 b,doll_49.84 m
doll_22.24 m,doll_6.44 b,-doll_60.41 m,doll_6.47 b,doll_6.11 b,doll_7.38 m,doll_13.25 b,doll_39.52 m,doll_6.27 b,doll_0.85 b
doll_22.46 m,doll_6.44 b,-doll_29.56 m,doll_6.47 b,doll_6.11 b,doll_0.89 m,doll_13.25 b,doll_40.25 m,doll_6.26 b,doll_69.49 m
doll_22.47 m,doll_6.44 b,-doll_73.49 m,doll_6.47 b,doll_6.1 b,doll_3.14 m,doll_13.29 b,doll_40.24 m,doll_6.25 b,doll_0.12 b
doll_22.54 m,doll_6.43 b,doll_74.88 m,doll_6.46 b,doll_6.1 b,doll_10.86 m,doll_13.46 b,doll_40.64 m,doll_6.25 b,doll_0.17 b
doll_22.68 m,doll_6.42 b,-doll_27.49 m,doll_6.45 b,doll_6.1 b,doll_1.59 m,doll_13.31 b,doll_40.37 m,doll_6.24 b,doll_0.11 b
doll_22.71 m,doll_6.42 b,-doll_4.32 m,doll_6.45 b,doll_6.09 b,doll_15.8 m,doll_13.37 b,doll_40.57 m,doll_6.24 b,doll_82.21 m
doll_22.87 m,doll_6.42 b,-doll_62.84 m,doll_6.45 b,doll_6.09 b,,doll_13.32 b,doll_40.68 m,doll_6.24 b,doll_0.42 b
doll_23 m,doll_6.42 b,-doll_21.24 m,doll_6.43 b,doll_6.09 b,doll_6.82 m,doll_13.39 b,doll_41.04 m,doll_6.23 b,doll_9.22 m
doll_23.05 m,doll_6.41 b,doll_20.05 m,doll_6.43 b,doll_6.08 b,doll_31.06 m,doll_13.43 b,doll_41.25 m,doll_6.23 b,doll_0.36 b
doll_23.15 m,doll_6.41 b,-doll_87.14 m,doll_6.40 b,doll_6.07 b,doll_3.31 m,doll_13.49 b,doll_41.25 m,doll_6.23 b,doll_0.80 b
doll_12.27 m,doll_6.40 b,-doll_11.94 m,doll_6.40 b,doll_6.05 b,doll_6.02 m,doll_13.44 b,doll_41.28 m,doll_6.23 b,doll_4.93 m
doll_12.29 m,doll_6.39 b,-doll_21.15 m,doll_6.39 b,doll_6.05 b,doll_16.85 m,doll_13.43 b,doll_41.7 m,doll_6.22 b,doll_0.24 b
doll_12.43 m,doll_6.38 b,-doll_61.08 m,doll_6.39 b,doll_6.05 b,doll_16.15 m,doll_13.52 b,doll_41.46 m,doll_6.22 b,doll_0.38 b
doll_12.6 m,doll_6.38 b,-doll_34.91 m,doll_6.39 b,doll_6.04 b,doll_67.69 m,doll_13.39 b,doll_41.83 m,doll_6.22 b,doll_34.82 m
doll_12.62 m,doll_6.36 b,-doll_61.79 m,doll_6.39 b,doll_6.04 b,,doll_13.33 b,doll_41.75 m,doll_6.22 b,doll_0.22 b
doll_12.72 m,doll_6.35 b,-doll_1.04 b,doll_6.38 b,doll_6.04 b,doll_18.76 m,doll_13.51 b,doll_42.06 m,doll_6.21 b,doll_0.15 b
doll_12.8 m,doll_6.34 b,-doll_68.97 m,doll_6.38 b,doll_6.04 b,doll_1.45 m,doll_13.40 b,doll_42.18 m,doll_6.21 b,doll_0.16 b
doll_12.94 m,doll_6.34 b,-doll_0.11 b,doll_6.37 b,doll_6.04 b,,doll_13.55 b,doll_42.36 m,doll_6.20 b,doll_0.59 b
doll_12.96 m,doll_6.34 b,doll_0.19 b,doll_6.37 b,doll_6.03 b,doll_0.30 b,doll_13.53 b,doll_42.6 m,doll_6.19 b,doll_1.96 b
doll_13 m,doll_6.33 b,-doll_71.03 m,doll_6.37 b,doll_6.03 b,,doll_13.37 b,doll_42.42 m,doll_6.19 b,doll_0.37 b
doll_13.05 m,doll_6.33 b,doll_25.63 m,doll_6.37 b,doll_6.03 b,doll_95.97 m,doll_13.57 b,doll_42.4 m,doll_6.18 b,doll_1.34 b
doll_13.11 m,doll_6.32 b,-doll_59.97 m,doll_6.37 b,doll_6.02 b,-doll_0.42 m,doll_13.79 b,doll_42.69 m,doll_6.18 b,doll_14.17 m
doll_13.12 m,doll_6.32 b,doll_47.33 m,doll_6.36 b,doll_6.02 b,doll_1.52 m,doll_13.66 b,doll_42.95 m,doll_6.18 b,doll_21.23 m
doll_13.21 m,doll_6.32 b,-doll_25.45 m,doll_6.36 b,doll_6.02 b,,doll_13.82 b,doll_42.99 m,doll_6.17 b,doll_53.35 m
doll_13.26 m,doll_6.32 b,doll_0.21 b,doll_6.36 b,doll_6.01 b,doll_0.84 b,doll_13.74 b,doll_42.98 m,doll_6.16 b,doll_2.10 b
doll_13.27 m,doll_6.32 b,-doll_18.1 m,doll_6.35 b,doll_6.0 b,doll_2.94 m,doll_13.75 b,doll_43.04 m,doll_6.16 b,doll_0.15 b
doll_3.56 m,doll_6.31 b,-doll_29.49 m,doll_6.35 b,doll_6.0 b,doll_30.83 m,doll_13.71 b,doll_43.08 m,doll_6.15 b,doll_0.33 b
doll_3.58 m,doll_6.31 b,-doll_15.37 m,doll_6.34 b,doll_6.0 b,doll_0.59 b,doll_13.82 b,doll_43.78 m,doll_6.13 b,doll_3.03 b
doll_3.63 m,doll_6.31 b,-doll_97.93 m,doll_6.34 b,doll_5.99 b,doll_4.96 m,doll_13.67 b,doll_43.45 m,doll_6.13 b,doll_0.10 b
doll_3.74 m,doll_6.31 b,-doll_34.04 m,doll_6.34 b,doll_5.99 b,,doll_13.60 b,doll_43.91 m,doll_6.13 b,doll_18.14 m
doll_3.82 m,doll_6.31 b,-doll_37.38 m,doll_6.34 b,doll_5.99 b,doll_2.91 m,doll_13.80 b,doll_43.82 m,doll_6.13 b,doll_0.19 b
doll_3.93 m,doll_6.31 b,-doll_71.54 m,doll_6.33 b,doll_5.99 b,,doll_13.75 b,doll_43.97 m,doll_6.12 b,doll_0.12 b
doll_3.97 m,doll_6.29 b,-doll_0.11 b,doll_6.33 b,doll_5.99 b,,doll_13.72 b,doll_44.24 m,doll_6.12 b,doll_0.48 b
doll_4.01 m,doll_6.28 b,-doll_69.89 m,doll_6.33 b,doll_5.99 b,,doll_13.72 b,doll_44.14 m,doll_6.11 b,doll_34.63 m
doll_4.07 m,doll_6.28 b,-doll_0.12 b,doll_6.32 b,doll_5.98 b,doll_0.11 b,doll_13.68 b,doll_44.82 m,doll_6.11 b,doll_0.69 b
doll_4.12 m,doll_6.27 b,-doll_61.64 m,doll_6.31 b,doll_5.97 b,,doll_13.71 b,doll_44.95 m,doll_6.10 b,doll_1.21 b
doll_4.2 m,doll_6.27 b,-doll_11.86 m,doll_6.30 b,doll_5.96 b,doll_8.84 m,doll_13.58 b,doll_45.54 m,doll_6.10 b,doll_8.39 m
doll_4.3 m,doll_6.27 b,-doll_0.22 b,doll_6.30 b,doll_5.96 b,,doll_13.83 b,doll_45.1 m,doll_6.09 b,doll_26.63 m
doll_4.33 m,doll_6.27 b,doll_10.09 m,doll_6.30 b,doll_5.95 b,doll_0.17 b,doll_14.05 b,doll_49.53 m,doll_6.09 b,doll_0.90 b
doll_4.34 m,doll_6.27 b,-doll_19.39 m,doll_6.29 b,doll_5.95 b,doll_0.05 m,doll_13.90 b,doll_49.51 m,doll_6.08 b,doll_31.67 m
doll_4.34 m,doll_6.27 b,-doll_23.6 m,doll_6.29 b,doll_5.95 b,doll_22.36 m,doll_13.85 b,doll_49.73 m,doll_6.08 b,doll_2.60 b
doll_4.34 m,doll_6.26 b,doll_0.13 b,doll_6.29 b,doll_5.95 b,doll_0.21 b,doll_13.88 b,doll_50.28 m,doll_6.08 b,doll_0.61 b
,doll_6.26 b,-doll_64.47 m,doll_6.29 b,doll_5.95 b,-doll_0.19 m,doll_14.08 b,doll_50.21 m,doll_6.08 b,doll_33.09 m
,doll_6.25 b,-doll_59.72 m,doll_6.29 b,doll_5.94 b,,doll_13.91 b,doll_50.93 m,doll_6.08 b,doll_4.41 m
,doll_6.25 b,-doll_24.77 m,doll_6.28 b,doll_5.94 b,doll_8.96 m,doll_14.00 b,doll_50.86 m,doll_6.07 b,doll_0.19 b
,doll_6.25 b,-doll_0.6 b,doll_6.28 b,doll_5.94 b,-doll_0.51 b,doll_13.91 b,doll_50.81 m,doll_6.07 b,doll_1.58 b
,doll_6.24 b,doll_4.01 m,doll_6.27 b,doll_5.93 b,doll_49.56 m,doll_14.01 b,doll_50.97 m,doll_6.06 b,doll_0.35 b
doll_0 m,doll_6.24 b,doll_0.16 b,doll_6.27 b,doll_5.93 b,doll_0.27 b,doll_14.08 b,doll_50.97 m,doll_6.05 b,doll_3.49 b
doll_0 m,doll_6.24 b,-doll_0.13 b,doll_6.27 b,doll_5.92 b,,doll_13.93 b,doll_51.21 m,doll_6.05 b,doll_2.34 b
doll_0 m,doll_6.24 b,-doll_10.93 m,doll_6.26 b,doll_5.92 b,doll_5.48 m,doll_14.05 b,doll_51.65 m,doll_6.05 b,doll_24.03 m
doll_0.01 m,doll_6.23 b,-doll_56.9 m,doll_6.26 b,doll_5.91 b,,doll_14.07 b,doll_51.66 m,doll_6.03 b,doll_0.37 b
doll_0.04 m,doll_6.23 b,-doll_53.31 m,doll_6.25 b,doll_5.91 b,doll_0.37 m,doll_14.02 b,doll_51.88 m,doll_6.02 b,doll_57.69 m
doll_0.18 m,doll_6.23 b,doll_27.41 m,doll_6.25 b,doll_5.91 b,doll_47.95 m,doll_13.95 b,doll_52.44 m,doll_6.02 b,doll_0.65 b
doll_0.21 m,doll_6.23 b,-doll_9.68 m,doll_6.24 b,doll_5.9 b,doll_0.51 m,doll_14.10 b,doll_51.73 m,doll_6.01 b,doll_3.93 m
doll_0.27 m,doll_6.23 b,-doll_12.97 m,doll_6.24 b,doll_5.9 b,doll_65.27 m,doll_14.17 b,doll_53.92 m,doll_6.01 b,doll_16.94 m
doll_1.01 m,doll_6.22 b,-doll_25.98 m,doll_6.24 b,doll_5.9 b,doll_60 m,doll_14.32 b,doll_52.55 m,doll_5.99 b,doll_0.12 b
doll_1.19 m,doll_6.22 b,-doll_3.31 m,doll_6.24 b,doll_5.89 b,doll_26.68 m,doll_14.16 b,doll_54.32 m,doll_5.99 b,doll_94.49 m
doll_1.19 m,doll_6.22 b,doll_22.29 m,doll_6.23 b,doll_5.89 b,doll_46.64 m,doll_14.35 b,doll_54.71 m,doll_5.99 b,doll_0.24 b
doll_1.2 m,doll_6.21 b,doll_0.10 b,doll_6.23 b,doll_5.89 b,doll_0.16 b,doll_14.22 b,doll_54.64 m,doll_5.98 b,doll_0.32 b
doll_1.34 m,doll_6.20 b,doll_85.56 m,doll_6.22 b,doll_5.89 b,doll_0.93 b,doll_14.19 b,doll_54.83 m,doll_5.98 b,doll_1.60 b
doll_1.52 m,doll_6.20 b,doll_0.19 b,doll_6.21 b,doll_5.89 b,doll_0.26 b,doll_14.25 b,doll_54.94 m,doll_5.97 b,doll_4.77 b
doll_1.72 m,doll_6.20 b,-doll_81.85 m,doll_6.21 b,doll_5.88 b,,doll_14.13 b,doll_55.08 m,doll_5.97 b,doll_0.14 b
doll_1.77 m,doll_6.19 b,-doll_26.93 m,doll_6.21 b,doll_5.88 b,doll_79.04 m,doll_14.28 b,doll_55.11 m,doll_5.97 b,doll_0.32 b
doll_1.86 m,doll_6.18 b,-doll_37.31 m,doll_6.20 b,doll_5.88 b,doll_2.17 m,doll_14.34 b,doll_55.09 m,doll_5.97 b,doll_39.55 m
doll_1.87 m,doll_6.18 b,-doll_29.41 m,doll_6.20 b,doll_5.87 b,doll_1.23 m,doll_14.26 b,doll_55.18 m,doll_5.97 b,doll_34.27 m
doll_2.07 m,doll_6.18 b,-doll_47.68 m,doll_6.20 b,doll_5.87 b,doll_0.54 m,doll_14.34 b,doll_55.27 m,doll_5.97 b,doll_46.9 m
doll_2.19 m,doll_6.18 b,-doll_48.68 m,doll_6.19 b,doll_5.87 b,doll_0.47 m,doll_14.28 b,doll_55.5 m,doll_5.96 b,doll_27 m
doll_2.23 m,doll_6.17 b,-doll_30.87 m,doll_6.19 b,doll_5.87 b,doll_1.05 m,doll_14.24 b,doll_55.59 m,doll_5.95 b,doll_0.25 b
doll_2.23 m,doll_6.16 b,-doll_24.07 m,doll_6.19 b,doll_5.86 b,doll_2.12 m,doll_14.27 b,doll_55.62 m,doll_5.95 b,doll_0.12 b
doll_2.34 m,doll_6.15 b,-doll_5.52 m,doll_6.18 b,doll_5.86 b,doll_4.57 m,doll_14.47 b,doll_55.5 m,doll_5.95 b,doll_59.21 m
doll_2.36 m,doll_6.15 b,-doll_7.5 m,doll_6.17 b,doll_5.85 b,doll_17 m,doll_14.46 b,doll_55.64 m,doll_5.94 b,doll_7.53 m
doll_2.83 m,doll_6.15 b,-doll_28.55 m,doll_6.17 b,doll_5.85 b,,doll_14.42 b,doll_55.9 m,doll_5.94 b,doll_0.21 b
doll_2.85 m,doll_6.15 b,doll_12.7 m,doll_6.17 b,doll_5.85 b,doll_23 m,doll_14.35 b,doll_55.74 m,doll_5.92 b,doll_0.23 b
doll_3.17 m,doll_6.15 b,doll_80.76 m,doll_6.15 b,doll_5.85 b,doll_0.16 b,doll_14.48 b,doll_55.99 m,doll_5.92 b,doll_1.62 b
doll_3.17 m,doll_6.15 b,doll_11.91 m,doll_6.15 b,doll_5.83 b,doll_16.59 m,doll_14.59 b,doll_56.29 m,doll_5.91 b,doll_54.71 m
doll_3.26 m,doll_6.15 b,-doll_50.32 m,doll_6.14 b,doll_5.82 b,,doll_14.55 b,doll_56.32 m,doll_5.91 b,doll_86.32 m
doll_3.42 m,doll_6.14 b,doll_0.27 b,doll_6.14 b,doll_5.82 b,doll_0.59 b,doll_14.43 b,doll_56.69 m,doll_5.91 b,doll_2.71 b
doll_3.49 m,doll_6.14 b,-doll_11.8 m,doll_6.14 b,doll_5.81 b,doll_3.1 m,doll_14.55 b,doll_56.41 m,doll_5.91 b,doll_6.54 m
doll_3.52 m,doll_6.14 b,-doll_6.92 m,doll_6.13 b,doll_5.81 b,doll_32.23 m,doll_14.57 b,doll_56.78 m,doll_5.91 b,doll_16.02 m
doll_4.45 m,doll_6.12 b,-doll_67.99 m,doll_6.13 b,doll_5.81 b,doll_8.4 m,doll_14.58 b,doll_57.18 m,doll_5.90 b,doll_11.77 m
doll_4.58 m,doll_6.12 b,doll_34.17 m,doll_6.13 b,doll_5.8 b,doll_95.57 m,doll_14.58 b,doll_56.89 m,doll_5.90 b,doll_1.02 b
