01-DDD-totalraised,01-DDD-valuation,04-iGMM-valuation
non e,doll_1.5 b,doll_1.65 b
doll_206 m,doll_1.5 b,doll_1.65 b
doll_136.08 m,doll_1.5 b,doll_1.62 b
doll_318.75 m,doll_1.5 b,doll_1.62 b
doll_679.4 m,doll_1.5 b,doll_1.7 b
doll_245 m,doll_1.5 b,doll_1.61 b
doll_169.2 m,doll_1.5 b,doll_1.65 b
doll_100 m,doll_1.5 b,doll_1.6 b
doll_253.46 m,doll_1.5 b,doll_1.6 b
doll_291.74 m,doll_1.5 b,doll_1.6 b
doll_150 m,doll_1.5 b,doll_1.6 b
doll_374.61 m,doll_1.5 b,doll_2.6 b
doll_126.5 m,doll_1.5 b,doll_1.6 b
doll_310.32 m,doll_1.5 b,doll_1.6 b
doll_217.5 m,doll_1.5 b,doll_1.6 b
doll_258.3 m,doll_1.5 b,doll_1.6 b
doll_235.75 m,doll_1.5 b,doll_1.6 b
doll_1.482 b,doll_1.5 b,doll_1.36 b
doll_274.15 m,doll_1.5 b,doll_1.36 b
doll_342.37 m,doll_1.5 b,doll_1.5 b
doll_465.84 m,doll_1.5 b,doll_1.6 b
doll_226.6 m,doll_1.5 b,doll_1.6 b
doll_250 m,doll_1.5 b,doll_1.6 b
doll_214.55 m,doll_1.5 b,doll_1.7 b
doll_302.6 m,doll_2 b,doll_1.6 b
doll_273.07 m,doll_1.5 b,doll_1.6 b
doll_72.31 m,doll_1.5 b,doll_1.6 b
doll_278 m,doll_1.5 b,doll_1.6 b
doll_179.85 m,doll_1.5 b,doll_1.6 b
doll_341.68 m,doll_1.5 b,doll_1.6 b
doll_466.38 m,doll_1.5 b,doll_1.6 b
doll_714 m,doll_1.5 b,doll_1.6 b
doll_547.27 m,doll_1.5 b,doll_1.59 b
doll_260.35 m,doll_1.5 b,doll_1.58 b
doll_502.5 m,doll_1.5 b, doll_1.57  b
doll_500 m,doll_1.5 b, doll_1.57  b
doll_100.12 m,doll_1.5 b,doll_1.55 b
doll_188 m,doll_1.5 b,doll_1.55 b
non e,doll_1.5 b,doll_1.55 b
doll_208 m,doll_1.5 b,doll_1.55 b
doll_1.057 b,doll_1.5 b,doll_1.55 b
doll_710 m,doll_1.5 b,doll_1.53 b
doll_321 m,doll_1.5 b,doll_1.52 b
doll_208.5 m,doll_1.5 b,doll_1.52 b
doll_186 m,doll_1.5 b,doll_1.51 b
doll_383 m,doll_1.5 b,doll_1.5 b
doll_946.49 m,doll_1.52 b,doll_1.5 b
non e,doll_1.5 b,doll_1.5 b
doll_210.3 m,doll_1.5 b,doll_1.5 b
doll_92.44 m,doll_1.55 b,doll_1.5 b
doll_92.61 m, doll_1.57  b,doll_1.5 b
doll_224.35 m,doll_1.55 b,doll_1.5 b
doll_198.58 m,doll_1.53 b,doll_1.5 b
doll_500.22 m, doll_1.57  b,doll_1.5 b
doll_70.59 m,doll_1.52 b,doll_1.5 b
non e,doll_1.58 b,doll_1.5 b
doll_185.52 m,doll_1.55 b,doll_1.5 b
doll_207.92 m,doll_1.55 b,doll_1.5 b
doll_556 m,doll_1.59 b,doll_1.5 b
doll_100 m,doll_1.6 b,doll_1.5 b
doll_162.98 m,doll_1.6 b,doll_1.5 b
doll_802.2 m,doll_1.55 b,doll_1.5 b
doll_203 m,doll_1.6 b,doll_1.5 b
doll_256.06 m,doll_1.6 b,doll_1.5 b
doll_889.2 m,doll_1.6 b,doll_1.5 b
doll_150.93 m,doll_1.6 b,doll_1.5 b
doll_312.57 m,doll_1.6 b,doll_1.5 b
doll_370 m,doll_1.36 b,doll_1.5 b
doll_164.06 m,doll_1.6 b,doll_2 b
doll_420.16 m,doll_1.6 b,doll_1.5 b
doll_654.6 m,doll_1.7 b,doll_1.5 b
doll_222.34 m,doll_1.6 b,doll_1.5 b
doll_233.8 m,doll_1.5 b,doll_1.5 b
doll_151 m,doll_1.6 b,doll_1.5 b
non e,doll_1.36 b,doll_1.5 b
doll_415.79 m,doll_1.6 b,doll_1.5 b
doll_222.81 m,doll_1.6 b,doll_1.5 b
doll_236 m,doll_1.6 b,doll_1.5 b
doll_281.84 m,doll_1.6 b,doll_1.5 b
doll_496 m,doll_2.6 b,doll_1.5 b
doll_968.86 m,doll_1.6 b,doll_1.5 b
doll_327.2 m,doll_1.6 b,doll_1.5 b
doll_325 m,doll_1.6 b,doll_1.5 b
doll_431.4 m,doll_1.6 b,doll_1.5 b
doll_391.52 m,doll_1.7 b,doll_1.5 b
doll_298 m,doll_1.62 b,doll_1.5 b
doll_402.46 m,doll_1.65 b,doll_1.5 b
doll_137.13 m,doll_1.62 b,doll_1.5 b
doll_179.18 m,doll_1.65 b,doll_1.5 b
doll_229.99 m,doll_1.7 b,doll_1.5 b
doll_278.21 m,doll_1.7 b,doll_1.5 b
non e,doll_1.7 b,doll_1.5 b
doll_240.5 m,doll_1.7 b,doll_1.5 b
doll_312.5 m,doll_1.7 b,doll_1.5 b
doll_364.2 m,doll_1.7 b,doll_1.5 b
doll_551 m,doll_1.66 b,doll_1.5 b
doll_315 m,doll_1.7 b,doll_1.5 b
doll_414 m,doll_1.7 b,doll_1.5 b
doll_429.6 m,doll_1.61 b,doll_1.5 b
doll_203.12 m,doll_1.7 b,doll_1.5 b
doll_195.3 m,doll_1.6 b,doll_1.5 b
doll_98.08 m,doll_1.65 b,doll_1.5 b
doll_544.93 m,doll_1.7 b,doll_1.5 b
doll_740.96 m,doll_1.7 b,doll_1.5 b
non e,doll_1.7 b,doll_1.5 b
doll_659.1 m,doll_1.7 b, doll_1.50  b
doll_497.36 m,doll_1.7 b, doll_1.50  b
doll_747.5 m,doll_1.75 b,doll_1.49 b
doll_632 m,doll_1.8 b,doll_1.48 b
non e,doll_1.7 b,doll_1.48 b
doll_178.83 m,doll_1.66 b,doll_1.46 b
doll_261.3 m,doll_1.73 b,doll_1.45 b
doll_530 m,doll_1.69 b,doll_1.45 b
doll_469.74 m,doll_1.75 b,doll_1.45 b
doll_743.55 m,doll_1.7 b,doll_1.45 b
doll_515.9 m,doll_1.75 b,doll_1.45 b
doll_164.75 m,doll_1.79 b,doll_1.45 b
doll_330.93 m,doll_1.78 b,doll_1.44 b
doll_342.27 m,doll_1.6 b,doll_1.43 b
doll_195.2 m,doll_1.8 b,doll_1.43 b
doll_370 k,doll_1.8 b,doll_1.42 b
doll_660.35 m,doll_1.83 b,doll_1.4 b
doll_310.19 m,doll_1.9 b,doll_1.4 b
doll_300 m,doll_1.8 b,doll_1.4 b
doll_383.02 m,doll_1.8 b,doll_1.4 b
doll_563.82 m,doll_1.9 b,doll_1.4 b
doll_300 m,doll_1.9 b,doll_1.4 b
doll_1 m,doll_1.9 b,doll_1.4 b
non e,doll_1.9 b,doll_1.4 b
doll_320 m,doll_1.9 b,doll_1.4 b
doll_420.89 m,doll_1.98 b,doll_1.4 b
doll_643.07 m,doll_2 b,doll_1.4 b
doll_533.61 m,doll_2 b,doll_1.4 b
doll_917.18 m,doll_2 b,doll_1.4 b
doll_163.92 m,doll_2 b,doll_1.4 b
doll_420 m,doll_2 b,doll_1.4 b
doll_796.23 m,doll_2.25 b,doll_1.4 b
doll_250.83 m,doll_1.8 b,doll_1.4 b
non e,doll_2 b,doll_1.4 b
doll_354.14 m,doll_1.7 b,doll_1.4 b
doll_172.5 m, doll_1.94  b,doll_1.4 b
doll_116.3 m,doll_1.73 b,doll_1.4 b
doll_480.34 m,doll_2 b,doll_1.4 b
doll_1.333 b,doll_1.85 b,doll_1.4 b
doll_335 m,doll_1.8 b,doll_1.4 b
doll_405 m,doll_2 b,doll_1.4 b
doll_365.25 m,doll_1.94 b,doll_1.4 b
doll_390 m,doll_1.95 b,doll_1.4 b
doll_725.21 m,doll_1.87 b,doll_1.4 b
doll_271.71 m, doll_1.93 b,doll_1.4 b
doll_446.7 m,doll_2 b,doll_1.4 b
doll_1.013 b,doll_2 b,doll_1.4 b
doll_481 m,doll_2 b,doll_1.4 b
doll_296.85 m,doll_2 b,doll_1.4 b
doll_452.6 m,doll_2 b,doll_1.4 b
doll_665 m,doll_2 b,doll_1.4 b
doll_315 m,doll_2 b,doll_1.4 b
doll_532 m,doll_2 b,doll_1.38 b
doll_314.61 m,doll_2 b,doll_1.36 b
doll_667.38 m,doll_2 b,doll_1.35 b
doll_211.87 m,doll_2 b,doll_1.35 b
doll_322.16 m,doll_2 b,doll_1.35 b
doll_267.7 m,doll_8 b,doll_1.35 b
non e,doll_2 b,doll_1.34 b
doll_300 m,doll_2 b,doll_1.34 b
doll_183.12 m,doll_2 b,doll_1.33 b
doll_526.5 m,doll_2 b,doll_1.33 b
doll_536 m,doll_2 b,doll_1.32 b
doll_3.934 b,doll_2 b,doll_1.32 b
doll_296.2 m,doll_2 b,doll_1.32 b
doll_615 m,doll_2 b,doll_1.32 b
doll_475 m,doll_2 b,doll_1.31 b
doll_409.6 m,doll_2 b,doll_1.31 b
doll_640 m,doll_2 b,doll_1.3 b
doll_5.6 m,doll_2 b,doll_1.3 b
doll_570 m,doll_2 b,doll_1.3 b
doll_5 m,doll_2 b,doll_1.3 b
doll_783.81 m,doll_2 b,doll_1.3 b
doll_489.32 m,doll_2 b,doll_1.3 b
doll_340 m,doll_2 b,doll_1.3 b
doll_1.127 b,doll_2 b,doll_1.3 b
doll_342.4 m,doll_2 b,doll_1.3 b
doll_421.18 m,doll_2 b,doll_1.3 b
doll_378.12 m,doll_2 b,doll_1.3 b
doll_228 m,doll_2 b,doll_1.3 b
doll_497.24 m,doll_2.1 b,doll_1.3 b
doll_447.36 m,doll_2 b,doll_1.3 b
doll_550 m,doll_2 b,doll_1.3 b
doll_730.99 m,doll_2 b,doll_1.3 b
doll_98.5 m,doll_2 b,doll_1.3 b
doll_935.01 m,doll_2 b,doll_1.3 b
non e,doll_2 b,doll_1.3 b
doll_376.5 m,doll_2 b,doll_1.3 b
doll_953.5 m,doll_2 b,doll_1.3 b
doll_475 m,doll_2 b,doll_1.3 b
non e,doll_2.7 b,doll_1.3 b
doll_423.44 m,doll_2 b,doll_1.3 b
doll_614.49 m,doll_2 b,doll_1.3 b
doll_85 m,doll_2 b,doll_1.3 b
doll_355 m,doll_2 b,doll_1.3 b
doll_303.1 m,doll_2 b,doll_1.28 b
doll_367.17 m,doll_2 b,doll_1.28 b
doll_312 m,doll_2 b,doll_1.28 b
doll_488 m,doll_2 b,doll_1.27 b
doll_930 m,doll_2 b,doll_1.26 b
doll_286 m,doll_2 b,doll_1.26 b
doll_579.3 m,doll_2 b,doll_1.25 b
doll_216.48 m,doll_2 b,doll_1.25 b
doll_152.19 m,doll_2 b,doll_1.25 b
doll_681.65 m,doll_2 b,doll_1.25 b
doll_2.23 b,doll_2 b,doll_1.25 b
doll_217.98 m,doll_2 b,doll_1.25 b
doll_519.63 m,doll_2 b,doll_1.25 b
doll_336 m,doll_2 b,doll_1.25 b
doll_328.2 m,doll_2 b,doll_1.25 b
doll_373.25 m,doll_2 b,doll_1.25 b
doll_261.25 m,doll_2 b,doll_1.25 b
doll_72.47 m,doll_2 b,doll_1.25 b
doll_370.66 m,doll_2.1 b,doll_1.24 b
doll_200 m,doll_2 b,doll_1.24 b
doll_168 m,doll_2 b,doll_1.24 b
doll_516.06 m,doll_2 b,doll_1.24 b
doll_615.83 m,doll_2.1 b,doll_1.23 b
doll_417.65 m,doll_2.1 b,doll_1.23 b
non e,doll_2.1 b, doll_1.23  b
doll_731 m,doll_2.1 b,doll_1.22 b
doll_529.32 m,doll_2.1 b,doll_1.22 b
doll_305 m,doll_2.1 b, doll_1.22  b
doll_441.24 m,doll_2.1 b,doll_1.2 b
doll_533.75 m,doll_2.1 b,doll_1.2 b
doll_397 m,doll_2.1 b,doll_1.2 b
doll_244.4 m,doll_2.15 b,doll_1.65 b
doll_345 m,doll_2.15 b,doll_1.2 b
doll_717.29 m,doll_2.18 b,doll_1.2 b
non e,doll_2.19 b,doll_1.2 b
doll_385.12 m,doll_2.17 b,doll_1.2 b
doll_200.18 m,doll_2.17 b,doll_1.2 b
doll_581.1 m,doll_2 b,doll_1.2 b
non e,doll_2.2 b,doll_1 b
non e,doll_2.2 b,doll_1.3 b
doll_425.96 m,doll_2.2 b,doll_1.2 b
doll_314.66 m,doll_2.2 b,doll_1.2 b
doll_286.36 m,doll_2.2 b,doll_1.2 b
doll_343.5 m, doll_2.20  b,doll_1.2 b
doll_529.16 m,doll_2.2 b,doll_1.2 b
doll_452 m,doll_2.2 b,doll_1.2 b
doll_513.93 m,doll_2.17 b,doll_1.2 b
non e,doll_2.2 b,doll_1.2 b
doll_334.34 m,doll_2.25 b,doll_1.2 b
doll_277 m,doll_2.25 b,doll_1.2 b
doll_300.03 m,doll_2.2 b,doll_1.2 b
doll_445.69 m,doll_2.25 b,doll_1.2 b
doll_433.7 m,doll_2.27 b,doll_1.2 b
doll_630.9 m,doll_2.3 b,doll_1.2 b
doll_1.322 b,doll_2.35 b,doll_1.4 b
doll_276.35 m,doll_2.19 b,doll_1.2 b
doll_567.3 m,doll_2.85 b,doll_1.2 b
doll_569.95 m,doll_2.31 b,doll_1.2 b
doll_556.5 m,doll_2.3 b,doll_1.2 b
doll_486.65 m,doll_2.34 b,doll_1.2 b
doll_570.6 m,doll_2.3 b,doll_1.2 b
doll_317 m,doll_2.3 b,doll_1.2 b
doll_288.22 m,doll_2.32 b,doll_1.2 b
doll_477.27 m,doll_2.35 b,doll_1.2 b
doll_1.009 b,doll_2.62 b,doll_1.2 b
doll_743.68 m,doll_2.4 b,doll_1.2 b
doll_1.099 b,doll_2.62 b,doll_1.2 b
doll_483.5 m,doll_2.4 b,doll_1.2 b
doll_480.34 m,doll_2.4 b,doll_1.2 b
non e,doll_2.4 b,doll_1.15 b
doll_711.73 m,doll_2.4 b,doll_1.19 b
doll_390 m,doll_2.4 b,doll_1.19 b
doll_125.58 m,doll_2.41 b,doll_1.18 b
doll_2.464 b,doll_2.41 b,doll_1.17 b
doll_633.78 m,doll_2.4 b,doll_1.17 b
doll_535.86 m,doll_2.41 b,doll_1.17 b
doll_692 m,doll_2.4 b,doll_1.16 b
doll_713.62 m,doll_2.44 b, doll_1.16  b
doll_715.2 m,doll_2.5 b,doll_1.15 b
doll_581.51 m,doll_2.5 b,doll_1.15 b
doll_75 m,doll_2.5 b,doll_1.15 b
doll_377.7 m,doll_2.45 b,doll_1.15 b
doll_587 m,doll_2.5 b,doll_1.15 b
doll_626.63 m,doll_2.5 b,doll_1.15 b
doll_365.56 m,doll_2.5 b,doll_1.12 b
doll_415 m,doll_2.45 b,doll_1.13 b
doll_225 m,doll_2.5 b,doll_1.12 b
doll_686.67 m,doll_2.68 b, doll_1.12  b
doll_608 m,doll_2.45 b, doll_1.1 b
doll_272.74 m,doll_2.5 b, doll_1.1 b
doll_465 m,doll_2.5 b, doll_1 b
doll_728.2 m,doll_2.5 b,doll_1.1 b
doll_488.5 m,doll_2.4 b,doll_1.1 b
non e,doll_2.5 b,doll_1.1 b
doll_431.4 m,doll_2.5 b,doll_1.1 b
non e,doll_2.5 b,doll_1.1 b
doll_561.82 m,doll_2.5 b,doll_1.1 b
doll_392.41 m,doll_2.5 b,doll_1.1 b
doll_991.33 m,doll_2.5 b,doll_1.1 b
doll_169.41 m,doll_2.5 b,doll_1.1 b
doll_731.6 m,doll_2.59 b,doll_1.1 b
doll_335.94 m,doll_2.6 b,doll_1.1 b
doll_512 m,doll_2.5 b,doll_1.1 b
doll_1.208 b,doll_2.5 b,doll_1.1 b
doll_1.33 b,doll_2 b,doll_1.1 b
doll_395 m,doll_2.6 b,doll_1.1 b
doll_262.82 m,doll_2.5 b,doll_1 b
doll_418.45 m,doll_2.62 b,doll_1.1 b
doll_145.49 m,doll_2.55 b,doll_1.1 b
doll_470.71 m,doll_2.6 b,doll_1.1 b
doll_359.17 m,doll_2.6 b,doll_1.1 b
doll_712.93 m,doll_2.6 b,doll_1.1 b
doll_420 m,doll_2.7 b,doll_1.1 b
doll_557.15 m,doll_2.75 b,doll_1.1 b
doll_467.2 m,doll_2.75 b,doll_1.1 b
doll_508.05 m,doll_2.7 b,doll_1.1 b
doll_3.563 b,doll_3.95 b,doll_1.1 b
doll_708.73 m,doll_2.6 b,doll_1.1 b
doll_1.103 b,doll_2.7 b,doll_1.1 b
doll_115.68 m,doll_2.7 b,doll_1.1 b
doll_223 m,doll_2.62 b,doll_1.1 b
doll_461.4 m,doll_2.75 b,doll_1.1 b
doll_583 m,doll_2.74 b,doll_1.1 b
doll_127.83 m,doll_2.66 b,doll_1.1 b
doll_3.5 m,doll_2.79 b,doll_1.1 b
doll_207.5 m,doll_2.7 b,doll_1.1 b
doll_487.16 m,doll_2.8 b,doll_1.1 b
doll_682 m,doll_2.77 b,doll_1.1 b
doll_310 k,doll_3 b,doll_1.1 b
doll_550.8 m,doll_2.85 b,doll_1.1 b
doll_752.5 m,doll_2.9 b,doll_1.1 b
doll_651.6 m,doll_2.8 b,doll_1.1 b
non e,doll_2.9 b,doll_1.1 b
doll_20.07 m,doll_2.92 b,doll_1.08 b
doll_616.17 m,doll_2.88 b,doll_1.08 b
doll_1.053 b,doll_3 b,doll_1.08 b
doll_628 m,doll_3 b,doll_1.07 b
doll_556.1 m,doll_2.85 b,doll_1.07 b
doll_486.5 m,doll_3 b,doll_1.07 b
doll_487 m,doll_3 b,doll_1.07 b
doll_3 b,doll_2.92 b,doll_1.05 b
doll_474.71 m,doll_3 b,doll_1.05 b
doll_329.32 m,doll_3 b,doll_1.05 b
doll_422.22 m,doll_3 b,doll_1.05 b
doll_339.37 m,doll_3 b,doll_1.05 b
doll_331 m,doll_3 b,doll_1.05 b
doll_311 m,doll_3 b,doll_1.05 b
doll_426.5 m,doll_3 b,doll_1.04 b
doll_240.02 m,doll_3 b,doll_1.03 b
doll_330.34 m,doll_3 b,doll_1.02 b
doll_399.89 m,doll_3 b,doll_1.01 b
doll_697.06 m,doll_3.3 b,doll_1.01 b
doll_623.18 m,doll_3 b,doll_1 b
doll_481.5 m,doll_3 b,doll_1 b
doll_1.335 b,doll_3.1 b,doll_1 b
doll_166 m,doll_3 b,doll_1 b
doll_360 m,doll_3 b,doll_1 b
doll_762.75 m,doll_3 b,doll_1 b
doll_986.3 m,doll_3 b,doll_1 b
doll_1.211 b,doll_3 b,doll_1 b
doll_180 m,doll_3 b,doll_1 b
doll_479.91 m,doll_3.2 b,doll_1 b
doll_344.64 m,doll_3.2 b,doll_1 b
doll_3.435 b,doll_3 b,doll_1 b
doll_475 m,doll_3.1 b,doll_1 b
doll_1.282 b,doll_3 b,doll_1 b
doll_1.632 b,doll_3.1 b,doll_1 b
doll_1.113 b,doll_3 b,doll_1 b
doll_350.55 m,doll_3 b,doll_1 b
doll_728.5 m,doll_3.15 b,doll_1 b
doll_394 m,doll_3.2 b,doll_1 b
doll_331.12 m,doll_3.2 b,doll_1 b
doll_943.46 m,doll_3.2 b,doll_1 b
doll_665.8 m, doll_3.2 b,doll_1 b
doll_350.81 m,doll_3.2 b,doll_1 b
doll_698.85 m,doll_3.2 b,doll_1 b
doll_419.93 m,doll_3.21 b,doll_1 b
doll_401.54 m,doll_3.25 b,doll_1 b
doll_900 m,doll_3 b,doll_1 b
doll_1.47 b,doll_3 b,doll_1 b
doll_154 m,doll_3.24 b,doll_1 b
doll_998.5 m,doll_3.3 b,doll_1 b
doll_628.3 m,doll_3.1 b,doll_1 b
doll_232.35 m,doll_3.2 b,doll_1 b
doll_515 m,doll_3.3 b,doll_1 b
doll_18.58 m,doll_3.2 b,doll_1 b
doll_775 m,doll_3 b,doll_1 b
doll_769.86 m,doll_3.3 b,doll_1 b
doll_1.031 b,doll_3.3 b,doll_1 b
doll_508.67 m,doll_3.31 b,doll_1 b
doll_525 m,doll_3 b,doll_1 b
doll_311 m,doll_3.2 b,doll_1 b
doll_375.68 m,doll_3.2 b,doll_1 b
doll_1.296 b,doll_3.3 b,doll_1 b
doll_1.326 b,doll_3.35 b,doll_1 b
doll_905.62 m,doll_3.34 b,doll_1 b
doll_507.25 m,doll_3.35 b,doll_1 b
doll_414 m,doll_3.35 b,doll_1 b
doll_865.95 m,doll_3.36 b,doll_1 b
doll_677.51 m,doll_3.5 b,doll_1 b
doll_555 m,doll_3.4 b,doll_1 b
doll_875.73 m,doll_3.44 b,doll_1 b
doll_319 m,doll_3.43 b,doll_1 b
doll_54 m,doll_3.4 b,doll_1 b
doll_512.11 m,doll_3.50 b,doll_1 b
doll_382.14 m,doll_3.5 b,doll_1 b
non e,doll_3.5 b,doll_1 b
non e,doll_3.5 b,doll_1 b
doll_468.65 m,doll_3.5 b,doll_1 b
doll_400 m,doll_3.5 b,doll_1 b
doll_684.79 m,doll_3.5 b,doll_1 b
doll_783.8 m,doll_3.5 b,doll_1 b
doll_948 m,doll_3.5 b,doll_1 b
doll_652.85 m,doll_3.5 b,doll_1 b
doll_263.12 m,doll_3.5 b,doll_1 b
doll_815.49 m,doll_3.52 b,doll_1 b
doll_743.89 m,doll_3.5 b,doll_1 b
doll_294.82 m,doll_3.5 b,doll_1 b
doll_475.68 m,doll_3.6 b,doll_1 b
doll_340 m,doll_3.6 b,doll_1 b
doll_900 m,doll_3.6 b,doll_1 b
doll_404.38 m,doll_3.6 b,doll_1 b
doll_125 m,doll_3.6 b,doll_1 b
doll_205 m,doll_3.66 b,doll_1 b
doll_484.15 m,doll_3.7 b,doll_1 b
doll_425 m,doll_3.7 b,doll_1 b
doll_1.134 b,doll_3.7 b,doll_3 b
doll_263 m,doll_3.7 b,doll_1 b
doll_603 m,doll_3.75 b,doll_1 b
doll_846.6 m,doll_3.7 b,doll_1 b
doll_438 m,doll_3.7 b,doll_1 b
doll_491.62 m,doll_3.7 b,doll_1 b
doll_991.2 m,doll_3.7 b,doll_1 b
doll_520 m,doll_3.8 b,doll_1 b
doll_1.085 b,doll_3.8 b,doll_1 b
doll_1.1 b,doll_3.8 b,doll_1.7 b
doll_660 m,doll_3.7 b,doll_1.7 b
doll_520.4 m,doll_4 b,doll_1 b
doll_764.74 m,doll_3.92 b,doll_1 b
doll_284 m,doll_4 b,doll_1 b
doll_334.92 m,doll_4 b,doll_1 b
doll_450 m,doll_4 b,doll_1 b
doll_478.85 m,doll_4 b,doll_1 b
doll_1.487 b,doll_3.8 b,doll_1 b
doll_535 m,doll_4 b,doll_1 b
doll_739.6 m,doll_4 b,doll_1 b
doll_542 m,doll_4 b,doll_1 b
doll_627.8 m,doll_3.7 b,doll_1 b
doll_250 m,doll_4 b,doll_1 b
non e,doll_4 b,doll_1 b
doll_553 m,doll_4 b,doll_1 b
doll_858.8 m,doll_4 b,doll_1 b
doll_718 m,doll_4 b,doll_1 b
non e,doll_4 b,doll_1 b
doll_1.705 b,doll_4 b,doll_1 b
doll_412.1 m,doll_4 b,doll_1 b
doll_2.006 b,doll_4 b,doll_1 b
doll_1.347 b,doll_4 b,doll_1 b
doll_881 m,doll_4 b,doll_1 b
doll_86.88 m,doll_4 b,doll_1 b
doll_1.358 b,doll_4 b,doll_1 b
doll_2.58 m,doll_4 b,doll_1 b
doll_613.6 m,doll_4 b,doll_1 b
doll_216.07 m,doll_4 b,doll_1 b
doll_2.475 b,doll_4 b,doll_1 b
doll_836.3 m,doll_4.1 b,doll_1 b
doll_353.5 m,doll_4.2 b,doll_1.5 b
doll_415.9 m,doll_4.2 b,doll_1.5 b
doll_1.044 b,doll_4.1 b,doll_1 b
doll_1.385 b,doll_4.2 b,doll_1 b
doll_673.7 m,doll_4.2 b,doll_1.1 b
doll_497.43 m,doll_4.11 b,doll_1 b
doll_737.08 m,doll_4.3 b,doll_1 b
doll_899.25 m,doll_4.3 b,doll_1 b
doll_641.17 m,doll_4.4 b,doll_1 b
doll_971.14 m,doll_4.25 b,doll_1.73 b
doll_489.78 m,doll_4.4 b,doll_1 b
doll_1.081 b,doll_4.5 b,doll_1 b
doll_645.6 m,doll_4.58 b,doll_1 b
doll_1.189 b,doll_4.4 b,doll_1 b
doll_1.324 b,doll_4.5 b,doll_1.05 b
non e,doll_4.5 b,doll_1 b
doll_428.8 m,doll_4.7 b,doll_1 b
doll_1.024 b,doll_4.73 b,doll_1 b
doll_457 m,doll_4.7 b,doll_1 b
doll_975.49 m,doll_4.5 b,doll_1 b
doll_648.25 m,doll_4.5 b,doll_1 b
doll_562.23 m,doll_4.53 b,doll_1 b
doll_566.9 m,doll_4.7 b,doll_1 b
doll_527.41 m,doll_4.58 b,doll_1 b
doll_477.64 m,doll_4.8 b,doll_1 b
doll_496.04 m,doll_4.6 b,doll_1 b
doll_679 m,doll_4.6 b,doll_1 b
doll_462 m,doll_4.8 b,doll_1 b
doll_917.44 m,doll_4.8 b,doll_1 b
doll_906.13 m,doll_5.85 b,doll_1 b
doll_1.061 b,doll_4.9 b,doll_1 b
non e,doll_4.15 b,doll_1.06 b
doll_570.23 m,doll_4.93 b,doll_1 b
doll_855.55 m,doll_5 b,doll_1 b
doll_1.655 b,doll_5 b,doll_1 b
doll_822.29 m,doll_5 b,doll_1 b
doll_1.674 b,doll_5 b,doll_1 b
doll_990.52 m,doll_5 b,doll_1 b
doll_708.82 m,doll_5 b,doll_1 b
doll_1.127 b,doll_5 b,doll_1 b
doll_692 m,doll_5 b,doll_1 b
doll_770 m,doll_5 b,doll_1 b
doll_710.2 m,doll_5 b,doll_1 b
doll_1.132 b,doll_5 b,doll_1 b
doll_521.5 m,doll_5 b,doll_1 b
doll_632.85 m,doll_5 b,doll_1 b
doll_187.26 m,doll_5 b,doll_1 b
doll_902 m,doll_5.5 b,doll_1 b
doll_755.74 m,doll_5.1 b,doll_1 b
non e,doll_5.25 b,doll_1 b
doll_3.2 b,doll_5 b,doll_1 b
doll_2.701 b,doll_5 b,doll_1 b
doll_595.9 m,doll_5.25 b,doll_1 b
doll_1.11 b,doll_5 b,doll_1 b
doll_445.51 m,doll_5.5 b,doll_1.2 b
doll_907.52 m,doll_5.7 b,doll_1 b
doll_1.412 b,doll_5.6 b,doll_1 b
doll_1.255 b,doll_5.36 b,doll_1 b
doll_943.65 m,doll_5.1 b,doll_1 b
doll_792.36 m,doll_5.7 b,doll_1 b
doll_728.02 m,doll_5.6 b,doll_1 b
doll_433 m,doll_5.6 b,doll_1 b
doll_1.021 b,doll_5.7 b,doll_1 b
doll_864.52 m,doll_5.99 b,doll_1 b
doll_1.701 b,doll_5.77 b,doll_1 b
doll_424 m,doll_5.2 b,doll_1 b
doll_1.42 m,doll_6 b,doll_1 b
doll_412 m,doll_6.1 b,doll_1 b
doll_1.414 b,doll_6 b,doll_1 b
doll_415 m,doll_5.7 b,doll_1 b
doll_2.085 b,doll_5.78 b,doll_1 b
doll_1.555 b,doll_5.7 b,doll_1 b
doll_729.22 m,doll_6 b,doll_1 b
doll_600 m,doll_6 b,doll_1 b
doll_645 m,doll_6.1 b,doll_1 b
non e,doll_6.28 b,doll_1 b
doll_891.3 m,doll_5.7 b,doll_1 b
doll_853.85 m,doll_6.2 b,doll_1 b
doll_149.5 m,doll_6.5 b,doll_1 b
doll_815.98 m,doll_6.4 b,doll_1 b
non e,doll_6.4 b,doll_1 b
doll_3.207 b,doll_6.51 b,doll_1 b
doll_920.14 m,doll_6.8 b,doll_1 b
non e,doll_7.5 b,doll_1 b
doll_2.121 b,doll_6.6 b,doll_1 b
non e,doll_5.05 b,doll_1 b
doll_4.272 b,doll_6.7 b,doll_1 b
doll_1.089 b,doll_6.3 b,doll_1 b
doll_732.5 m,doll_7 b,doll_1.1 b
doll_934.32 m,doll_6.5 b,doll_1 b
doll_1.936 b,doll_7 b,doll_1 b
doll_1.027 b,doll_7 b,doll_1 b
doll_1.04 b,doll_6.8 b,doll_1 b
doll_1.653 b,doll_7 b,doll_1 b
doll_500 m,doll_7.25 b,doll_1 b
