01-DDD-totalraised,01-DDD-valuation,04-iGMM-valuation
doll_64.5 m,doll_1 b,doll_5.05 b
doll_210.08 m,doll_1 b,doll_5 b
doll_238.3 m,doll_1 b,doll_5.5 b
doll_308.38 m,doll_1 b,doll_5.5 b
non e,doll_1 b,doll_6.38 b
doll_515.01 m,doll_1 b,doll_5 b
doll_976.5 m,doll_1 b,doll_5 b
doll_100 m,doll_1 b,doll_5 b
non e,doll_1 b,doll_5 b
doll_131.46 m,doll_1 b,doll_5 b
doll_289.47 m,doll_1 b,doll_5 b
doll_228.79 m,doll_1 b,doll_5 b
doll_271.8 m,doll_1 b,doll_5 b
doll_380 m,doll_1 b,doll_5 b
doll_98.96 m,doll_1 b,doll_5 b
doll_293.61 m,doll_1 b,doll_5 b
doll_303.75 m,doll_1 b,doll_5 b
doll_335.02 m,doll_1 b,doll_5 b
non e,doll_1 b,doll_5 b
doll_132.35 m,doll_1 b,doll_5 b
doll_244.1 m,doll_1 b,doll_5 b
doll_938.71 m,doll_1 b,doll_5 b
doll_108.03 m,doll_1.06 b,doll_4.9 b
doll_175 m,doll_1 b,doll_4.8 b
doll_135 m,doll_1 b,doll_4.8 b
doll_264.1 m,doll_1 b,doll_4.8 b
doll_238.12 m,doll_1 b,doll_4.73 b
doll_150 k,doll_1 b,doll_4.7 b
doll_217.3 m,doll_1 b,doll_4.7 b
doll_331.1 m,doll_1 b,doll_4.7 b
doll_91 m,doll_1 b,doll_5.85 b
doll_97.27 m,doll_1 b,doll_4.6 b
doll_157.62 m,doll_1 b,doll_4.6 b
doll_216.5 m,doll_1 b,doll_4.6 b
doll_91.5 m,doll_1 b,doll_4.58 b
doll_184.5 m,doll_1 b,doll_4.53 b
doll_632 m,doll_1 b,doll_4.5 b
doll_138.82 m,doll_1 b,doll_4.5 b
doll_684.52 m,doll_1 b,doll_4.5 b
doll_119.83 m,doll_1 b,doll_4.58 b
doll_110.59 m,doll_1 b,doll_4.5 b
doll_138.4 m,doll_1 b,doll_4.5 b
doll_18.54 m,doll_1 b,doll_4.4 b
doll_283 m,doll_1 b,doll_4.4 b
doll_100 m,doll_1.05 b,doll_4.4 b
doll_126.55 m,doll_1 b,doll_4.3 b
doll_154.03 m,doll_1 b,doll_4.3 b
doll_221.03 m,doll_1 b,doll_4.2 b
doll_319.72 m,doll_1 b,doll_4.25 b
doll_910 m,doll_1.73 b,doll_4.2 b
doll_64.08 m,doll_1 b,doll_4.2 b
non e,doll_1 b,doll_4.2 b
doll_223.2 m,doll_1 b,doll_4.15 b
doll_25 m,doll_1 b,doll_4.1 b
doll_206.32 m,doll_1 b,doll_4.11 b
doll_175.25 m,doll_1.1 b,doll_4.1 b
doll_200 m,doll_1 b,doll_4 b
doll_173.92 m,doll_1 b,doll_4 b
doll_225.63 m,doll_1 b,doll_4.01 b
non e,doll_1.5 b,doll_4 b
doll_570 m,doll_1 b,doll_4 b
doll_521 m,doll_1.5 b,doll_4 b
doll_53.1 m,doll_1 b,doll_4 b
doll_362.55 m,doll_1 b,doll_4 b
doll_255.08 m,doll_1 b,doll_4 b
doll_460 m,doll_1 b,doll_4 b
doll_249 m,doll_1 b,doll_4 b
doll_170.72 m,doll_1 b,doll_4 b
doll_265 m,doll_1 b,doll_4 b
doll_352.32 m,doll_1 b,doll_4 b
doll_230.31 m,doll_1 b,doll_4 b
doll_280 m,doll_1 b,doll_4 b
doll_259.18 m,doll_1 b,doll_4 b
doll_391 m,doll_1 b,doll_4 b
doll_163 m,doll_1 b,doll_4 b
doll_397.28 m,doll_1 b,doll_4 b
doll_807 m,doll_1 b,doll_4 b
doll_236.32 m,doll_1 b,doll_4 b
doll_344 m,doll_1 b,doll_4 b
doll_432.82 m,doll_1 b,doll_4 b
