00-avengers-market_cap,08-slytherin-market_cap,10-DeBiGa-market_cap,07-silvestri-market_value_apr_2022,03-gren-market_capitalization_usd,06-MarScoToc-mastercap,02-GioPonSpiz-marketcap,04-iGMM-marketcap,05-MalPatSaj-marketcap
doll_44.23 b,doll_3.5 m,doll_34.58 b,doll_44.11 b,doll_44.11 b,doll_882.2 m,doll_49.83 b,doll_19.98 b,doll_44.11 b
doll_44.32 b,doll_3.5 m,doll_34.64 b,doll_44.06 b,doll_44.06 b,doll_870.2 m,doll_49.66 b,doll_20.02 b,doll_44.06 b
doll_44.32 b,doll_3.6 m,doll_34.66 b,doll_44.01 b,doll_44.01 b,doll_867.6 m,doll_49.42 b,doll_20.05 b,doll_44.01 b
doll_44.39 b,doll_4.0 m,doll_34.73 b,doll_43.98 b,doll_43.98 b,doll_853.8 m,doll_49.32 b,doll_20.10 b,doll_43.98 b
doll_44.78 b,doll_4.2 m,doll_34.84 b,doll_43.93 b,doll_43.93 b,doll_852.3 m,doll_49.23 b,doll_20.13 b,doll_43.93 b
doll_€40.68 b,doll_4.0 m,doll_34.89 b,doll_43.90 b,doll_43.9 b,doll_836.6 m,doll_49.11 b,doll_20.14 b,doll_43.90 b
doll_39.97 b,doll_4.3 m,doll_34.92 b,doll_43.70 b,doll_43.7 b,doll_834.5 m,doll_43.70 b,doll_20.15 b,doll_43.70 b
hkdoll_313.28 b,doll_4.4 m,doll_34.94 b,doll_43.69 b,doll_43.69 b,doll_830.3 m,doll_43.69 b,doll_20.15 b,doll_43.69 b
doll_40.13 b,doll_4.4 m,doll_35.04 b,doll_43.59 b,doll_43.59 b,doll_830.1 m,doll_43.59 b,doll_20.15 b,doll_43.59 b
doll_cn¥255.62 b,doll_4.7 m,doll_35.12 b,doll_43.50 b,doll_43.5 b,doll_829.2 m,doll_43.50 b,doll_20.16 b,doll_43.50 b
doll_40.35 b,doll_4.5 m,doll_35.13 b,doll_43.41 b,doll_43.41 b,doll_828.8 m,doll_43.41 b,doll_20.61 b,doll_43.41 b
doll_40.49 b,doll_4.6 m,doll_35.19 b,doll_43.38 b,doll_43.38 b,doll_827.8 m,doll_43.38 b,doll_20.62 b,doll_43.38 b
doll_40.55 b,doll_4.7 m,doll_35.20 b,doll_43.21 b,doll_43.21 b,doll_823.5 m,doll_43.21 b,doll_20.65 b,doll_43.21 b
doll_40.64 b,doll_4.8 m,doll_35.21 b,doll_43.10 b,doll_43.1 b,doll_817.8 m,doll_43.10 b,doll_20.66 b,doll_43.10 b
sdoll_55.31 b,doll_4.8 m,doll_35.24 b,doll_43.09 b,doll_43.09 b,doll_812.9 m,doll_43.09 b,doll_20.73 b,doll_43.09 b
doll_40.79 b,doll_5.1 m,doll_30.53 b,doll_42.91 b,doll_42.91 b,0,doll_42.91 b,doll_20.75 b,doll_42.91 b
doll_40.83 b,doll_4.9 m,doll_30.83 b,doll_42.88 b,doll_42.88 b,doll_803.4 m,doll_42.88 b,doll_20.78 b,doll_42.88 b
doll_cn¥259.82 b,doll_5.0 m,doll_30.69 b,doll_42.84 b,doll_42.84 b,doll_799.2 m,doll_42.84 b,doll_20.78 b,doll_42.84 b
doll_40.87 b,doll_5.2 m,doll_30.70 b,doll_42.81 b,doll_42.81 b,doll_793.7 m,doll_42.81 b,doll_20.80 b,doll_42.81 b
doll_₽3.529 t,doll_5.3 m,doll_30.76 b,doll_42.68 b,doll_42.68 b,doll_791.8 m,doll_42.68 b,doll_20.81 b,doll_42.68 b
doll_€37.33 b,doll_5.2 m,doll_30.91 b,doll_42.66 b,doll_42.66 b,doll_785.9 m,doll_42.66 b,doll_20.86 b,doll_42.66 b
doll_41.27 b,doll_5.3 m,doll_30.93 b,doll_42.65 b,doll_42.65 b,doll_778.1 m,doll_42.65 b,doll_20.88 b,doll_42.65 b
doll_€37.53 b,doll_5.5 m,doll_30.95 b,doll_42.53 b,doll_42.53 b,doll_777.1 m,doll_42.53 b,doll_20.92 b,doll_42.53 b
doll_41.54 b,doll_5.5 m,doll_31.00 b,doll_42.49 b,doll_42.49 b,doll_777.1 m,doll_42.49 b,doll_20.93 b,doll_42.49 b
doll_41.60 b,doll_5.4 m,doll_31.02 b,doll_42.39 b,doll_42.39 b,doll_771.4 m,doll_42.39 b,doll_21.03 b,doll_42.39 b
doll_41.82 b,doll_5.6 m,doll_31.00 b,doll_42.25 b,doll_42.25 b,doll_769.6 m,doll_42.25 b,doll_21.05 b,doll_42.25 b
doll_41.91 b,doll_5.8 m,doll_31.04 b,doll_42.22 b,doll_42.22 b,doll_766.4 m,doll_42.22 b,doll_21.08 b,doll_42.22 b
doll_€37.95 b,doll_6.3 m,doll_31.03 b,doll_42.03 b,doll_42.03 b,doll_758.2 m,doll_42.03 b,doll_21.13 b,doll_42.03 b
cdoll_52.55 b,doll_6.1 m,doll_31.12 b,doll_41.98 b,doll_41.98 b,doll_756.6 m,doll_41.98 b,doll_21.17 b,doll_41.98 b
doll_42.03 b,doll_6.3 m,doll_31.15 b,doll_41.93 b,doll_41.93 b,doll_751.1 m,doll_41.93 b,doll_21.21 b,doll_41.93 b
doll_42.22 b,doll_6.0 m,doll_31.17 b,doll_41.91 b,doll_41.91 b,doll_744.0 m,doll_41.91 b,doll_21.21 b,doll_41.91 b
doll_cn¥268.85 b,doll_6.3 m,doll_31.22 b,doll_41.82 b,doll_41.82 b,doll_737.4 m,doll_41.82 b,doll_21.22 b,doll_41.82 b
doll_42.39 b,doll_6.4 m,doll_31.25 b,doll_41.60 b,doll_41.6 b,doll_737.0 m,doll_41.60 b,doll_21.23 b,doll_41.60 b
doll_kr.285.98 b,0,doll_31.26 b,doll_41.54 b,doll_41.54 b,doll_734.7 m,doll_41.54 b,doll_21.26 b,doll_41.54 b
doll_¥5.210 t,0,doll_31.35 b,doll_41.47 b,doll_41.47 b,doll_733.0 m,doll_41.47 b,doll_21.32 b,doll_41.47 b
doll_42.65 b,0,doll_31.41 b,doll_41.27 b,doll_41.27 b,doll_729.8 m,doll_41.27 b,doll_21.34 b,doll_41.27 b
doll_42.66 b,0,doll_31.45 b,doll_41.25 b,doll_41.25 b,doll_728.4 m,doll_41.25 b,doll_21.35 b,doll_41.25 b
doll_cn¥271.57 b,0,doll_31.49 b,doll_41.16 b,doll_41.16 b,doll_725.5 m,doll_41.16 b,doll_21.36 b,doll_41.16 b
doll_42.81 b,0,doll_31.56 b,doll_40.87 b,doll_40.87 b,doll_723.6 m,doll_40.87 b,doll_21.40 b,doll_40.87 b
doll_cn¥272.59 b,0,doll_31.58 b,doll_40.83 b,doll_40.83 b,doll_722.2 m,doll_40.83 b,doll_21.41 b,doll_40.83 b
doll_¥5.253 t,0,doll_31.59 b,doll_40.83 b,doll_40.83 b,doll_721.3 m,doll_40.83 b,doll_21.43 b,doll_40.83 b
doll_42.91 b,0,doll_31.60 b,doll_40.79 b,doll_40.79 b,doll_721.2 m,doll_40.79 b,doll_21.45 b,doll_40.79 b
adoll_57.45 b,0,doll_31.64 b,doll_40.77 b,doll_40.77 b,0,doll_40.77 b,doll_21.46 b,doll_40.77 b
hkdoll_337.65 b,0,doll_31.66 b,doll_40.64 b,doll_40.64 b,0,doll_40.64 b,doll_21.48 b,doll_40.64 b
doll_43.21 b,0,doll_31.78 b,doll_40.55 b,doll_40.55 b,doll_718.9 m,doll_40.55 b,doll_21.95 b,doll_40.55 b
doll_43.38 b,0,doll_31.78 b,doll_40.49 b,doll_40.49 b,doll_718.0 m,doll_40.49 b,doll_21.99 b,doll_40.49 b
doll_¥5.318 t,0,doll_31.89 b,doll_40.35 b,doll_40.35 b,doll_717.5 m,doll_40.35 b,doll_21.99 b,doll_40.35 b
cdoll_54.46 b,0,doll_31.93 b,doll_40.17 b,doll_40.17 b,doll_717.1 m,doll_40.17 b,doll_22.03 b,doll_40.17 b
doll_43.59 b,0,doll_31.98 b,doll_40.13 b,doll_40.13 b,doll_716.5 m,doll_40.13 b,doll_22.05 b,doll_40.13 b
doll_43.69 b,0,doll_32.01 b,doll_39.99 b,doll_39.99 b,doll_714.9 m,doll_39.99 b,doll_22.08 b,doll_39.99 b
doll_£33.32 b,0,doll_32.04 b,doll_39.97 b,doll_39.97 b,doll_713.8 m,doll_39.97 b,doll_22.16 b,doll_39.97 b
doll_39.72 b,0,doll_32.05 b,doll_39.96 b,doll_39.96 b,doll_712.9 m,doll_39.96 b,doll_22.17 b,doll_39.96 b
doll_cn¥252.80 b,0,doll_32.07 b,doll_39.76 b,doll_39.76 b,doll_705.5 m,doll_39.76 b,doll_22.21 b,doll_39.76 b
sdoll_53.91 b,0,doll_32.19 b,doll_39.73 b,doll_39.73 b,doll_704.0 m,doll_39.73 b,doll_22.25 b,doll_39.73 b
doll_39.76 b,"doll_248,133",doll_32.20 b,doll_39.73 b,doll_39.73 b,doll_695.3 m,doll_39.73 b,doll_22.26 b,doll_39.73 b
doll_39.96 b,"doll_329,352",doll_32.23 b,doll_39.72 b,doll_39.72 b,doll_691.8 m,doll_39.72 b,doll_22.28 b,doll_39.72 b
doll_35.27 b,"doll_514,203",doll_32.31 b,doll_39.71 b,doll_39.71 b,doll_690.5 m,doll_39.71 b,doll_22.30 b,doll_39.71 b
adoll_47.11 b,"doll_299,329",doll_32.32 b,,doll_39.56 b,doll_690.2 m,,doll_22.32 b,doll_39.56 b
doll_35.37 b,"doll_714,929",doll_32.33 b,doll_39.34 b,doll_39.34 b,doll_688.4 m,doll_39.34 b,doll_22.33 b,doll_39.34 b
doll_£26.99 b,"doll_717,085",doll_32.41 b,doll_39.29 b,doll_39.29 b,doll_686.3 m,doll_39.29 b,doll_22.36 b,doll_39.29 b
doll_35.44 b,"doll_866,250",doll_32.49 b,doll_39.03 b,doll_39.03 b,0,doll_39.03 b,doll_22.38 b,doll_39.03 b
doll_€32.19 b,"doll_900,303",doll_32.51 b,doll_39.00 b,doll_39.0 b,doll_682.5 m,doll_39.00 b,doll_22.42 b,doll_39.00 b
doll_cn¥228.05 b,doll_1.0 m,doll_32.54 b,doll_38.90 b,doll_38.9 b,doll_680.7 m,doll_38.90 b,doll_22.42 b,doll_38.90 b
doll_€32.45 b,doll_1.3 m,doll_32.71 b,doll_38.69 b,doll_38.69 b,doll_671.4 m,doll_38.69 b,doll_22.45 b,doll_38.69 b
doll_35.86 b,0,doll_19.25 b,doll_38.39 b,doll_38.39 b,doll_669.9 m,doll_38.39 b,doll_22.48 b,doll_38.39 b
doll_35.92 b,0,doll_19.27 b,doll_38.25 b,doll_38.25 b,doll_666.8 m,doll_38.25 b,doll_22.51 b,doll_38.25 b
doll_€32.52 b,0,doll_19.36 b,doll_38.16 b,doll_38.16 b,doll_662.6 m,doll_38.16 b,doll_22.53 b,doll_38.16 b
doll_35.96 b,0,doll_19.39 b,doll_38.15 b,doll_38.15 b,doll_661.5 m,doll_38.15 b,doll_22.54 b,doll_38.15 b
doll_36.14 b,0,doll_19.42 b,doll_38.13 b,doll_38.13 b,doll_660.2 m,doll_38.13 b,doll_22.56 b,doll_38.13 b
doll_36.14 b,0,doll_19.42 b,doll_38.01 b,doll_38.01 b,doll_659.8 m,doll_38.01 b,doll_22.60 b,doll_38.01 b
doll_36.28 b,0,doll_19.43 b,doll_38.00 b,doll_38.0 b,doll_657.0 m,doll_38.00 b,doll_22.62 b,doll_38.00 b
cdoll_45.52 b,0,doll_19.44 b,doll_37.93 b,doll_37.93 b,0,doll_37.93 b,doll_22.63 b,doll_37.93 b
doll_cn¥232.96 b,0,doll_19.46 b,doll_37.82 b,doll_37.82 b,doll_650.1 m,doll_37.82 b,doll_22.65 b,doll_37.82 b
cdoll_45.90 b,doll_1.5 m,doll_19.48 b,doll_37.79 b,doll_37.79 b,0,doll_37.79 b,doll_22.65 b,doll_37.79 b
doll_cn¥233.62 b,doll_1.3 m,doll_19.50 b,doll_37.73 b,doll_37.73 b,doll_644.0 m,doll_37.73 b,doll_22.71 b,doll_37.73 b
doll_36.74 b,0,doll_19.53 b,doll_37.55 b,doll_37.55 b,doll_635.6 m,doll_37.55 b,doll_22.73 b,doll_37.55 b
doll_€33.38 b,doll_1.3 m,doll_19.53 b,,doll_37.51 b,doll_634.7 m,,doll_22.75 b,doll_37.51 b
doll_cn¥234.80 b,doll_1.6 m,doll_19.54 b,doll_37.51 b,doll_37.51 b,doll_632.1 m,doll_37.51 b,doll_22.77 b,doll_37.51 b
doll_cn¥234.82 b,doll_1.7 m,doll_19.54 b,doll_37.38 b,doll_37.38 b,doll_631.9 m,doll_37.38 b,doll_23.27 b,doll_37.38 b
doll_¥4.220 t,doll_1.9 m,doll_19.55 b,doll_37.36 b,doll_37.36 b,0,doll_37.36 b,doll_23.29 b,doll_37.36 b
doll_37.05 b,doll_2.0 m,doll_19.55 b,doll_37.08 b,doll_37.08 b,doll_629.7 m,doll_37.08 b,doll_23.34 b,doll_37.08 b
doll_¥4.543 t,doll_1.9 m,doll_19.59 b,doll_37.05 b,doll_37.05 b,doll_625.9 m,doll_37.05 b,doll_23.35 b,doll_37.05 b
doll_37.36 b,doll_2.1 m,doll_19.63 b,,doll_36.99 b,doll_622.3 m,,doll_23.35 b,doll_36.99 b
doll_37.38 b,doll_2.2 m,doll_19.65 b,doll_36.90 b,doll_36.9 b,doll_616.3 m,doll_36.90 b,doll_23.40 b,doll_36.90 b
doll_37.51 b,doll_2.1 m,doll_19.67 b,doll_36.90 b,doll_36.9 b,doll_612.1 m,doll_36.90 b,doll_23.42 b,doll_36.90 b
doll_rp535.638 t,doll_2.2 m,doll_19.67 b,doll_36.89 b,doll_36.89 b,0,doll_36.89 b,doll_23.43 b,doll_36.89 b
doll_€33.99 b,doll_2.3 m,doll_19.69 b,doll_36.74 b,doll_36.74 b,doll_604.7 m,doll_36.74 b,doll_23.44 b,doll_36.74 b
doll_£28.77 b,doll_2.3 m,doll_19.70 b,doll_36.72 b,doll_36.72 b,doll_599.5 m,doll_36.72 b,doll_23.44 b,doll_36.72 b
doll_¥4.630 t,doll_2.4 m,doll_19.73 b,doll_36.67 b,doll_36.67 b,doll_592.4 m,doll_36.67 b,doll_23.45 b,doll_36.67 b
doll_€34.23 b,doll_2.5 m,doll_19.74 b,doll_36.61 b,doll_36.61 b,0,doll_36.61 b,doll_23.46 b,doll_36.61 b
doll_37.93 b,doll_2.7 m,doll_19.75 b,doll_36.37 b,doll_36.37 b,doll_584.2 m,doll_36.37 b,doll_23.47 b,doll_36.37 b
doll_38.00 b,doll_2.8 m,doll_19.78 b,doll_36.28 b,doll_36.28 b,doll_580.1 m,doll_36.28 b,doll_23.51 b,doll_36.28 b
doll_€34.40 b,doll_6.8 m,doll_19.82 b,doll_36.14 b,doll_36.14 b,doll_575.9 m,doll_36.14 b,doll_23.51 b,doll_36.14 b
doll_€34.51 b,doll_2.9 m,doll_19.82 b,doll_36.14 b,doll_36.14 b,doll_574.8 m,doll_36.14 b,doll_23.55 b,doll_36.14 b
hkdoll_298.85 b,doll_6.5 m,doll_19.83 b,doll_35.96 b,doll_35.96 b,doll_574.7 m,doll_35.96 b,doll_23.57 b,doll_35.96 b
doll_38.16 b,doll_6.8 m,doll_19.84 b,doll_35.93 b,doll_35.93 b,doll_567.3 m,doll_35.93 b,doll_23.59 b,doll_35.93 b
doll_€34.62 b,doll_7.0 m,doll_19.85 b,doll_35.92 b,doll_35.92 b,0,doll_35.92 b,doll_23.64 b,doll_35.92 b
doll_38.39 b,doll_6.9 m,doll_19.85 b,doll_35.86 b,doll_35.86 b,doll_566.7 m,doll_35.86 b,doll_23.65 b,doll_35.86 b
doll_38.69 b,doll_7.0 m,doll_19.86 b,doll_35.86 b,doll_35.86 b,doll_564.2 m,doll_35.86 b,doll_23.73 b,doll_35.86 b
doll_chf36.00 b,doll_7.0 m,doll_19.87 b,doll_35.84 b,doll_35.84 b,doll_562.5 m,doll_35.84 b,doll_23.78 b,doll_35.84 b
doll_£29.74 b,doll_7.4 m,doll_19.93 b,doll_35.57 b,doll_35.57 b,0,doll_35.57 b,doll_23.81 b,doll_35.57 b
doll_kr.262.69 b,doll_7.4 m,doll_19.94 b,doll_35.44 b,doll_35.44 b,doll_560.9 m,doll_35.44 b,doll_23.82 b,doll_35.44 b
doll_chf36.37 b,doll_13.3 m,doll_19.98 b,doll_35.40 b,doll_35.4 b,doll_560.6 m,doll_35.40 b,doll_23.84 b,doll_35.40 b
doll_39.34 b,doll_7.5 m,doll_19.98 b,doll_35.37 b,doll_35.37 b,doll_559.0 m,doll_35.37 b,doll_23.89 b,doll_35.37 b
cdoll_50.00 b,doll_7.7 m,doll_20.02 b,doll_35.33 b,doll_35.33 b,0,doll_35.33 b,doll_23.92 b,doll_35.33 b
doll_€35.94 b,doll_13.2 m,doll_20.05 b,doll_35.27 b,doll_35.27 b,doll_556.1 m,doll_35.27 b,doll_23.93 b,doll_35.27 b
doll_chf31.19 b,doll_13.5 m,doll_20.10 b,doll_35.24 b,doll_35.24 b,doll_555.3 m,doll_35.24 b,doll_23.93 b,doll_35.24 b
doll_33.73 b,doll_13.5 m,doll_20.13 b,doll_35.21 b,doll_35.21 b,doll_551.8 m,doll_35.21 b,doll_23.94 b,doll_35.21 b
doll_33.73 b,doll_13.6 m,doll_20.14 b,doll_35.20 b,doll_35.2 b,doll_549.6 m,doll_35.20 b,doll_23.94 b,doll_35.20 b
doll_33.95 b,doll_13.6 m,doll_20.15 b,doll_35.19 b,doll_35.19 b,doll_545.0 m,doll_35.19 b,doll_23.97 b,doll_35.19 b
doll_34.01 b,"doll_4,512",doll_20.15 b,doll_35.13 b,doll_35.13 b,doll_542.9 m,doll_35.13 b,doll_24.02 b,doll_35.13 b
twdoll_977.01 b,0,doll_20.15 b,doll_35.12 b,doll_35.12 b,doll_539.2 m,doll_35.12 b,doll_24.02 b,doll_35.12 b
doll_34.11 b,"doll_5,009",doll_20.16 b,doll_35.04 b,doll_35.04 b,doll_537.9 m,doll_35.04 b,doll_24.81 b,doll_35.04 b
doll_cn¥217.17 b,doll_13.8 m,doll_27.93 b,doll_34.94 b,doll_34.94 b,doll_535.2 m,doll_34.94 b,doll_24.81 b,doll_34.94 b
doll_34.22 b,"doll_2,866",doll_27.94 b,doll_34.92 b,doll_34.92 b,doll_532.4 m,doll_34.92 b,doll_24.84 b,doll_34.92 b
doll_¥4.194 t,"doll_5,383",doll_28.00 b,doll_34.89 b,doll_34.89 b,doll_531.4 m,doll_34.89 b,doll_24.87 b,doll_34.89 b
doll_34.39 b,"doll_7,934",doll_28.05 b,doll_34.84 b,doll_34.84 b,doll_528.6 m,doll_34.84 b,doll_24.91 b,doll_34.84 b
adoll_47.36 b,"doll_6,193",doll_28.15 b,doll_34.73 b,doll_34.73 b,doll_527.6 m,doll_34.73 b,doll_24.92 b,doll_34.73 b
doll_€31.17 b,"doll_6,022",doll_28.24 b,doll_34.66 b,doll_34.66 b,doll_526.0 m,doll_34.66 b,doll_25.01 b,doll_34.66 b
doll_34.49 b,"doll_8,161",doll_28.11 b,doll_34.64 b,doll_34.64 b,doll_523.7 m,doll_34.64 b,doll_25.03 b,doll_34.64 b
doll_34.58 b,"doll_6,385",doll_28.24 b,doll_34.58 b,doll_34.58 b,doll_523.1 m,doll_34.58 b,doll_25.04 b,doll_34.58 b
doll_34.64 b,"doll_8,469",doll_28.28 b,doll_34.49 b,doll_34.49 b,doll_515.7 m,doll_34.49 b,doll_25.09 b,doll_34.49 b
doll_34.66 b,"doll_9,177",doll_28.31 b,doll_34.44 b,doll_34.44 b,doll_514.5 m,doll_34.44 b,doll_25.15 b,doll_34.44 b
hkdoll_272.04 b,"doll_9,856",doll_28.52 b,,doll_34.4 b,0,,doll_25.17 b,doll_34.40 b
doll_cn¥221.69 b,doll_20.2 m,doll_28.55 b,doll_34.39 b,doll_34.39 b,doll_511.9 m,doll_34.39 b,doll_25.19 b,doll_34.39 b
doll_34.89 b,"doll_8,738",doll_28.71 b,doll_34.24 b,doll_34.24 b,doll_510.1 m,doll_34.24 b,doll_25.20 b,doll_34.24 b
doll_34.92 b,"doll_11,371",doll_28.75 b,doll_34.22 b,doll_34.22 b,doll_508.2 m,doll_34.22 b,doll_25.21 b,doll_34.22 b
doll_34.94 b,doll_20.0 m,doll_28.90 b,doll_34.13 b,doll_34.13 b,doll_503.9 m,doll_34.13 b,doll_25.25 b,doll_34.13 b
hkdoll_274.46 b,doll_20.4 m,doll_28.91 b,doll_34.11 b,doll_34.11 b,doll_499.2 m,doll_34.11 b,doll_25.26 b,doll_34.11 b
doll_35.12 b,doll_20.7 m,doll_28.93 b,doll_34.06 b,doll_34.06 b,0,doll_34.06 b,doll_25.26 b,doll_34.06 b
cdoll_43.97 b,doll_20.9 m,doll_29.06 b,doll_34.01 b,doll_34.01 b,doll_498.8 m,doll_34.01 b,doll_25.29 b,doll_34.01 b
doll_35.19 b,doll_20.8 m,doll_29.07 b,doll_33.95 b,doll_33.95 b,doll_498.8 m,doll_33.95 b,doll_25.31 b,doll_33.95 b
doll_€31.86 b,doll_21.1 m,doll_29.10 b,doll_33.73 b,doll_33.73 b,doll_497.1 m,doll_33.73 b,doll_25.34 b,doll_33.73 b
doll_€31.87 b,doll_21.4 m,doll_29.13 b,doll_33.73 b,doll_33.73 b,doll_496.7 m,doll_33.73 b,doll_25.41 b,doll_33.73 b
adoll_46.99 b,doll_21.5 m,doll_29.17 b,doll_33.69 b,doll_33.69 b,doll_492.6 m,doll_33.69 b,doll_25.46 b,doll_33.69 b
doll_£24.95 b,doll_21.5 m,doll_29.19 b,doll_33.68 b,doll_33.68 b,doll_492.2 m,doll_33.68 b,doll_25.54 b,doll_33.68 b
doll_32.81 b,doll_21.1 m,doll_29.22 b,doll_33.66 b,doll_33.66 b,doll_491.8 m,doll_33.66 b,doll_25.59 b,doll_33.66 b
doll_32.84 b,doll_21.9 m,doll_29.40 b,doll_33.64 b,doll_33.64 b,doll_490.7 m,doll_33.64 b,doll_25.61 b,doll_33.64 b
doll_€29.86 b,doll_21.9 m,doll_29.40 b,doll_33.49 b,doll_33.49 b,doll_487.0 m,doll_33.49 b,doll_25.73 b,doll_33.49 b
cdoll_41.34 b,doll_23.1 m,doll_29.42 b,doll_33.47 b,doll_33.47 b,doll_484.4 m,doll_33.47 b,doll_25.75 b,doll_33.47 b
doll_33.02 b,doll_23.5 m,doll_29.42 b,doll_33.46 b,doll_33.46 b,doll_483.8 m,doll_33.46 b,doll_25.76 b,doll_33.46 b
doll_33.05 b,doll_23.7 m,doll_29.52 b,doll_33.43 b,doll_33.43 b,doll_483.4 m,doll_33.43 b,doll_25.82 b,doll_33.43 b
cdoll_41.41 b,doll_24.1 m,doll_29.56 b,doll_33.35 b,doll_33.35 b,doll_477.7 m,doll_33.35 b,doll_25.83 b,doll_33.35 b
doll_33.09 b,doll_24.3 m,doll_29.58 b,doll_33.32 b,doll_33.32 b,doll_472.4 m,doll_33.32 b,doll_26.00 b,doll_33.32 b
doll_33.22 b,doll_24.9 m,doll_29.58 b,doll_33.29 b,doll_33.29 b,doll_471.2 m,doll_33.29 b,doll_26.04 b,doll_33.29 b
hkdoll_260.54 b,doll_25.0 m,doll_29.65 b,doll_33.26 b,doll_33.26 b,doll_470.9 m,doll_33.26 b,doll_26.05 b,doll_33.26 b
doll_kr312.00 b,doll_24.9 m,doll_29.81 b,doll_33.22 b,doll_33.22 b,doll_470.1 m,doll_33.22 b,doll_26.71 b,doll_33.22 b
doll_33.32 b,doll_25.5 m,doll_29.82 b,doll_33.09 b,doll_33.09 b,doll_470.1 m,doll_33.09 b,doll_26.78 b,doll_33.09 b
doll_cn¥212.19 b,doll_25.6 m,doll_29.85 b,doll_33.08 b,doll_33.08 b,doll_468.4 m,doll_33.08 b,doll_26.80 b,doll_33.08 b
doll_€30.26 b,doll_25.6 m,doll_29.86 b,doll_33.05 b,doll_33.05 b,doll_464.9 m,doll_33.05 b,doll_26.82 b,doll_33.05 b
doll_฿1.122 t,doll_26.1 m,doll_29.93 b,doll_33.02 b,doll_33.02 b,doll_463.3 m,doll_33.02 b,doll_26.88 b,doll_33.02 b
doll_¥4.101 t,doll_26.0 m,doll_29.94 b,doll_33.02 b,doll_33.02 b,doll_463.0 m,doll_33.02 b,doll_26.94 b,doll_33.02 b
doll_33.49 b,"doll_33,762",doll_30.05 b,doll_32.99 b,doll_32.99 b,doll_462.7 m,doll_32.99 b,doll_26.95 b,doll_32.99 b
doll_cn¥214.04 b,doll_27.3 m,doll_30.10 b,doll_32.84 b,doll_32.84 b,doll_461.9 m,doll_32.84 b,doll_26.95 b,doll_32.84 b
hkdoll_263.67 b,"doll_30,720",doll_30.16 b,doll_32.81 b,doll_32.81 b,doll_460.2 m,doll_32.81 b,doll_26.98 b,doll_32.81 b
doll_¥4.126 t,"doll_76,720",doll_30.23 b,doll_32.72 b,doll_32.72 b,doll_459.3 m,doll_32.72 b,doll_27.08 b,doll_32.72 b
doll_€27.63 b,"doll_48,628",doll_30.28 b,doll_32.71 b,doll_32.71 b,doll_458.9 m,doll_32.71 b,doll_27.09 b,doll_32.71 b
doll_30.69 b,"doll_58,085",doll_30.43 b,doll_32.54 b,doll_32.54 b,doll_455.1 m,doll_32.54 b,doll_27.13 b,doll_32.54 b
cdoll_38.43 b,"doll_83,432",doll_30.45 b,doll_32.51 b,doll_32.51 b,doll_454.4 m,doll_32.51 b,doll_27.14 b,doll_32.51 b
doll_30.76 b,"doll_79,808",doll_30.46 b,doll_32.49 b,doll_32.49 b,doll_453.6 m,doll_32.49 b,doll_27.22 b,doll_32.49 b
doll_30.83 b,"doll_85,582",doll_30.51 b,doll_32.41 b,doll_32.41 b,doll_450.9 m,doll_32.41 b,doll_27.24 b,doll_32.41 b
doll_kr289.74 b,"doll_92,340",doll_30.52 b,doll_32.33 b,doll_32.33 b,doll_450.2 m,doll_32.33 b,doll_27.25 b,doll_32.33 b
doll_cn¥196.78 b,"doll_120,064",doll_21.51 b,doll_32.32 b,doll_32.32 b,doll_449.0 m,doll_32.32 b,doll_27.26 b,doll_32.32 b
doll_30.95 b,"doll_28,700",doll_21.57 b,doll_32.31 b,doll_32.31 b,doll_445.2 m,doll_32.31 b,doll_27.29 b,doll_32.31 b
doll_€28.06 b,"doll_94,423",doll_21.58 b,doll_32.23 b,doll_32.23 b,doll_440.4 m,doll_32.23 b,doll_27.29 b,doll_32.23 b
cdoll_38.81 b,"doll_119,780",doll_21.65 b,doll_32.20 b,doll_32.2 b,doll_439.8 m,doll_32.20 b,doll_27.33 b,doll_32.20 b
doll_cn¥197.41 b,"doll_27,680",doll_21.71 b,doll_32.19 b,doll_32.19 b,0,doll_32.19 b,doll_27.33 b,doll_32.19 b
doll_31.03 b,"doll_141,699",doll_21.74 b,doll_32.07 b,doll_32.07 b,doll_434.4 m,doll_32.07 b,doll_27.34 b,doll_32.07 b
doll_cn¥197.51 b,"doll_150,358",doll_21.76 b,doll_32.05 b,doll_32.05 b,doll_433.7 m,doll_32.05 b,doll_27.35 b,doll_32.05 b
doll_€28.17 b,"doll_40,951",doll_21.82 b,doll_32.04 b,doll_32.04 b,doll_433.6 m,doll_32.04 b,doll_27.37 b,doll_32.04 b
doll_31.15 b,"doll_212,403",doll_21.87 b,doll_32.01 b,doll_32.01 b,doll_428.2 m,doll_32.01 b,doll_27.46 b,doll_32.01 b
doll_cn¥198.35 b,"doll_179,876",doll_21.87 b,doll_31.98 b,doll_31.98 b,doll_428.1 m,doll_31.98 b,doll_27.58 b,doll_31.98 b
twdoll_895.44 b,"doll_186,017",doll_21.89 b,doll_31.93 b,doll_31.93 b,doll_427.1 m,doll_31.93 b,doll_27.63 b,doll_31.93 b
doll_€28.28 b,"doll_91,806",doll_21.93 b,doll_31.89 b,doll_31.89 b,doll_424.0 m,doll_31.89 b,doll_27.65 b,doll_31.89 b
