00-avengers-market_cap,08-slytherin-market_cap,10-DeBiGa-market_cap,07-silvestri-market_value_apr_2022,03-gren-market_capitalization_usd,06-MarScoToc-mastercap,02-GioPonSpiz-marketcap,04-iGMM-marketcap,05-MalPatSaj-marketcap
doll_¥6.406 t,0,doll_36.67 b,doll_51.80 b,doll_51.8 b,0,doll_67.31 b,doll_18.23 b,doll_51.80 b
doll_52.30 b,0,doll_36.72 b,doll_51.71 b,doll_51.71 b,doll_1.21 b,doll_67.20 b,doll_18.24 b,doll_51.71 b
doll_52.30 b,0,doll_36.74 b,doll_51.58 b,doll_51.58 b,doll_1.21 b,doll_67.19 b,doll_18.25 b,doll_51.58 b
doll_52.47 b,0,doll_36.89 b,doll_51.55 b,doll_51.55 b,doll_1.19 b,doll_66.95 b,doll_18.25 b,doll_51.55 b
doll_€47.76 b,0,doll_36.90 b,doll_51.51 b,doll_51.51 b,doll_1.18 b,doll_66.87 b,doll_18.27 b,doll_51.51 b
cdoll_66.72 b,0,doll_36.90 b,,doll_51.49 b,doll_1.18 b,doll_66.74 b,doll_18.27 b,doll_51.49 b
doll_£40.67 b,0,doll_36.99 b,doll_51.43 b,doll_51.43 b,0,doll_66.62 b,doll_18.32 b,doll_51.43 b
doll_chf49.76 b,0,doll_37.05 b,doll_51.03 b,doll_51.03 b,doll_1.18 b,doll_66.35 b,doll_18.33 b,doll_51.03 b
doll_€48.68 b,0,doll_37.08 b,doll_50.95 b,doll_50.95 b,doll_1.18 b,doll_65.89 b,doll_18.35 b,doll_50.95 b
doll_53.86 b,0,doll_37.36 b,doll_50.76 b,doll_50.76 b,doll_1.17 b,doll_65.74 b,doll_18.35 b,doll_50.76 b
doll_53.86 b,0,doll_37.51 b,doll_50.75 b,doll_50.75 b,doll_1.16 b,doll_65.64 b,doll_18.41 b,doll_50.75 b
doll_54.30 b,0,doll_37.38 b,doll_50.46 b,doll_50.46 b,doll_1.16 b,doll_65.53 b,doll_18.41 b,doll_50.46 b
doll_54.31 b,0,doll_37.51 b,doll_50.29 b,doll_50.29 b,doll_1.14 b,doll_65.04 b,doll_18.44 b,doll_50.29 b
doll_54.54 b,0,doll_37.55 b,doll_50.19 b,doll_50.19 b,doll_1.14 b,doll_64.66 b,doll_18.49 b,doll_50.19 b
