,revenue,team
934,$0.20 B,09-wissel
935,$0.39 B,09-wissel
936,$0.17 B,09-wissel
937,$0.13 B,09-wissel
938,$0.28 B,09-wissel
939,$0.23 B,09-wissel
940,$0.19 B,09-wissel
941,$0.21 B,09-wissel
942,$0.13 B,09-wissel
943,$0.25 B,09-wissel
944,$1.17 B,09-wissel
945,$0.30 B,09-wissel
946,$0.39 B,09-wissel
947,$0.31 B,09-wissel
948,$0.24 B,09-wissel
949,$0.16 B,09-wissel
950,$0.25 B,09-wissel
951,$0.11 B,09-wissel
952,$28.75 M,09-wissel
953,$1.80 B,09-wissel
954,$0.26 B,09-wissel
955,$0.34 B,09-wissel
956,$0.21 B,09-wissel
957,$0.19 B,09-wissel
958,$0.17 B,09-wissel
959,$0.36 B,09-wissel
960,$0.17 B,09-wissel
961,$0.97 B,09-wissel
962,$0.36 B,09-wissel
963,$0.28 B,09-wissel
964,$0.67 B,09-wissel
965,$0.65 B,09-wissel
966,$3.99 B,09-wissel
967,$0.28 B,09-wissel
968,$12.39 B,09-wissel
969,$0.70 B,09-wissel
970,$0.27 B,09-wissel
971,$0.38 B,09-wissel
972,$0.42 B,09-wissel
973,$0.33 B,09-wissel
974,$0.27 B,09-wissel
975,$95.26 M,09-wissel
976,$0.18 B,09-wissel
977,$0.31 B,09-wissel
978,$0.22 B,09-wissel
979,$3.00 B,09-wissel
980,$0.42 B,09-wissel
981,$0.20 B,09-wissel
982,$0.49 B,09-wissel
983,$0.51 B,09-wissel
984,$0.33 B,09-wissel
985,$0.33 B,09-wissel
986,$0.75 B,09-wissel
987,$0.70 B,09-wissel
988,$0.14 B,09-wissel
989,$2.47 B,09-wissel
990,$0.41 B,09-wissel
991,$0.31 B,09-wissel
992,$0.13 B,09-wissel
993,$0.94 B,09-wissel
994,$0.18 B,09-wissel
995,$0.19 B,09-wissel
996,$0.14 B,09-wissel
997,$0.26 B,09-wissel
998,$0.35 B,09-wissel
999,$0.87 B,09-wissel
1000,$33.17 M,09-wissel
1001,$0.38 B,09-wissel
1002,$0.21 B,09-wissel
1003,$0.23 B,09-wissel
1004,$0.42 B,09-wissel
1005,$1.41 B,09-wissel
1006,$0.25 B,09-wissel
1007,$0.11 B,09-wissel
1008,$0.13 B,09-wissel
1009,$0.59 B,09-wissel
1010,$0.11 B,09-wissel
1011,$0.33 B,09-wissel
1012,$0.10 B,09-wissel
1013,$0.21 B,09-wissel
1014,$0.32 B,09-wissel
1015,$89.25 M,09-wissel
1016,$0.21 B,09-wissel
1017,$0.65 B,09-wissel
1018,$2.48 B,09-wissel
1019,$5.97 B,09-wissel
1020,$0.80 B,09-wissel
1021,$0.54 B,09-wissel
1022,$0.52 B,09-wissel
1023,$0.16 B,09-wissel
1024,$0.17 B,09-wissel
1025,$0.36 B,09-wissel
1026,$0.86 B,09-wissel
1027,$0.62 B,09-wissel
1028,$0.31 B,09-wissel
1029,$0.20 B,09-wissel
1030,$0.17 B,09-wissel
1031,$0.31 B,09-wissel
1032,$0.31 B,09-wissel
1033,,09-wissel
1034,$0.15 B,09-wissel
1035,$0.26 B,09-wissel
1036,$0.22 B,09-wissel
1037,$0.28 B,09-wissel
1038,$0.18 B,09-wissel
1039,$0.28 B,09-wissel
1040,$0.27 B,09-wissel
1041,$0.24 B,09-wissel
1042,$0.22 B,09-wissel
1043,$0.80 B,09-wissel
1044,$0.40 B,09-wissel
1045,$0.69 B,09-wissel
1046,$0.80 B,09-wissel
1047,$0.16 B,09-wissel
1048,$0.60 B,09-wissel
1049,$1.71 B,09-wissel
1050,$0.22 B,09-wissel
1051,$0.14 B,09-wissel
1052,$0.65 B,09-wissel
1053,$0.28 B,09-wissel
1054,$74.58 M,09-wissel
1055,$0.47 B,09-wissel
1056,$0.69 B,09-wissel
1057,$0.21 B,09-wissel
1058,$0.83 B,09-wissel
1059,$0.27 B,09-wissel
1060,$0.64 B,09-wissel
1061,$0.32 B,09-wissel
1062,$0.21 B,09-wissel
1063,,09-wissel
1064,$0.27 B,09-wissel
1065,$0.18 B,09-wissel
1066,$0.25 B,09-wissel
1067,$0.31 B,09-wissel
1068,$0.85 B,09-wissel
1069,$0.51 B,09-wissel
1070,$0.29 B,09-wissel
1071,$0.27 B,09-wissel
1072,$0.60 B,09-wissel
1073,$50.44 M,09-wissel
1074,$70.9 M,09-wissel
1075,$85.05 M,09-wissel
1076,$88.66 M,09-wissel
1077,$0.34 B,09-wissel
1078,$0.29 B,09-wissel
1079,$0.24 B,09-wissel
1080,$0.16 B,09-wissel
1081,,09-wissel
1082,$0.31 B,09-wissel
1083,$0.12 B,09-wissel
1084,$0.31 B,09-wissel
1085,$0.13 B,09-wissel
1086,$0.15 B,09-wissel
1087,$1.61 B,09-wissel
1088,$0.99 B,09-wissel
1089,$2.49 B,09-wissel
1090,$0.11 B,09-wissel
1091,$0.47 B,09-wissel
1092,$0.64 B,09-wissel
1093,$0.15 B,09-wissel
1094,$0.26 B,09-wissel
1095,$0.78 B,09-wissel
1096,$0.90 B,09-wissel
1097,$0.16 B,09-wissel
1098,$0.85 B,09-wissel
1099,$69.01 M,09-wissel
1100,$0.42 B,09-wissel
1101,$0.30 B,09-wissel
1102,$1.77 B,09-wissel
1103,$0.51 B,09-wissel
1104,,09-wissel
1105,$0.30 B,09-wissel
1106,$0.68 B,09-wissel
1107,$0.16 B,09-wissel
1108,$1.10 B,09-wissel
1109,$4.16 B,09-wissel
1110,$0.23 B,09-wissel
1111,$1.93 B,09-wissel
1112,$0.48 B,09-wissel
1113,$0.91 B,09-wissel
1114,$0.07 M,09-wissel
1115,$0.43 B,09-wissel
1116,$5.41 B,09-wissel
1117,$0.13 B,09-wissel
1118,$0.16 B,09-wissel
1119,$0.53 B,09-wissel
1120,$0.26 B,09-wissel
1121,$0.22 B,09-wissel
1122,$8.39 B,09-wissel
1123,$0.96 B,09-wissel
1124,-$35.75 M,09-wissel
1125,$0.38 B,09-wissel
1126,$0.24 B,09-wissel
1127,$0.49 B,09-wissel
1128,$0.54 B,09-wissel
1129,$0.18 B,09-wissel
1130,$0.14 B,09-wissel
1131,$0.12 B,09-wissel
1132,$0.15 B,09-wissel
1133,$0.45 B,09-wissel
1134,$70.38 M,09-wissel
1135,$0.43 B,09-wissel
1136,$87.64 M,09-wissel
1137,$0.35 B,09-wissel
1138,$3.52 B,09-wissel
1139,$0.28 B,09-wissel
1140,$1.09 B,09-wissel
1141,$0.26 B,09-wissel
1142,$0.22 B,09-wissel
1143,$0.33 B,09-wissel
1144,$13.11 M,09-wissel
1145,$0.37 B,09-wissel
1146,$1.20 B,09-wissel
1147,$41.91 M,09-wissel
1148,$0.12 B,09-wissel
1149,$1.08 B,09-wissel
1150,$0.23 B,09-wissel
1151,$0.32 B,09-wissel
1152,$0.21 B,09-wissel
1153,$0.10 B,09-wissel
1154,$0.13 B,09-wissel
1155,$0.15 B,09-wissel
1156,$0.16 B,09-wissel
1157,$0.27 B,09-wissel
1158,$0.11 B,09-wissel
1159,$0.14 B,09-wissel
1160,$0.14 B,09-wissel
1161,$51.4 M,09-wissel
1162,$0.88 B,09-wissel
1163,$0.12 B,09-wissel
1164,$0.34 B,09-wissel
1165,$97.05 M,09-wissel
1166,$0.39 B,09-wissel
1167,$0.50 B,09-wissel
1168,$0.43 B,09-wissel
1169,$0.11 B,09-wissel
1170,$0.13 B,09-wissel
1171,$91.95 M,09-wissel
1172,$0.49 B,09-wissel
1173,$0.12 B,09-wissel
1174,$6.46 M,09-wissel
1175,$0.14 B,09-wissel
1176,$0.38 B,09-wissel
1177,$0.13 B,09-wissel
1178,$0.55 B,09-wissel
1179,$0.98 B,09-wissel
1180,$0.14 B,09-wissel
1181,$0.82 B,09-wissel
1182,$98.82 M,09-wissel
1183,$5.65 B,09-wissel
1184,,09-wissel
1185,$73.39 M,09-wissel
1186,$0.11 B,09-wissel
1187,$0.25 B,09-wissel
1188,,09-wissel
1189,$0.21 B,09-wissel
1190,$0.10 B,09-wissel
1191,$0.10 B,09-wissel
1192,$0.14 B,09-wissel
1193,$75.87 M,09-wissel
1194,$0.51 B,09-wissel
1195,$0.11 B,09-wissel
1196,$0.12 B,09-wissel
1197,$1.87 B,09-wissel
1198,$1.19 B,09-wissel
1199,$0.16 B,09-wissel
1200,$0.37 B,09-wissel
1201,$2.36 B,09-wissel
1202,$0.11 B,09-wissel
1203,$1.69 B,09-wissel
1204,$0.24 B,09-wissel
1205,$0.12 B,09-wissel
1206,$3.97 B,09-wissel
1207,$89.9 M,09-wissel
1208,$0.34 B,09-wissel
1209,$48.38 M,09-wissel
1210,$0.13 B,09-wissel
1211,$0.35 B,09-wissel
1212,$0.12 B,09-wissel
1213,$0.33 B,09-wissel
1214,$51.35 M,09-wissel
1215,$6.59 M,09-wissel
1216,$0.49 B,09-wissel
1217,$0.13 B,09-wissel
1218,$4.10 B,09-wissel
1219,$0.30 B,09-wissel
1220,$1.20 B,09-wissel
1221,$0.15 B,09-wissel
1222,$0.11 B,09-wissel
1223,$0.19 B,09-wissel
1224,$0.59 B,09-wissel
1225,$0.17 B,09-wissel
1226,$0.13 B,09-wissel
1227,$0.13 B,09-wissel
1228,$0.18 B,09-wissel
1229,$0.29 B,09-wissel
1230,$0.41 B,09-wissel
1231,$50.22 M,09-wissel
1232,$0.71 B,09-wissel
1233,$0.17 B,09-wissel
1234,$0.15 B,09-wissel
1235,$87.48 M,09-wissel
1236,$0.10 B,09-wissel
1237,$1.39 B,09-wissel
1238,$0.13 B,09-wissel
1239,$11.8 M,09-wissel
1240,$0.10 B,09-wissel
1241,$0.12 B,09-wissel
1242,$0.25 B,09-wissel
1243,$0.59 B,09-wissel
1244,$44.87 M,09-wissel
1245,$0.13 B,09-wissel
1246,$0.29 B,09-wissel
1247,$0.12 B,09-wissel
1248,$0.92 B,09-wissel
1249,$0.72 B,09-wissel
1250,$28.5 M,09-wissel
1251,$0.56 B,09-wissel
1252,$96.73 M,09-wissel
1253,$0.23 B,09-wissel
1254,$0.44 B,09-wissel
1255,$98.74 M,09-wissel
1256,$0.11 B,09-wissel
1257,$0.11 B,09-wissel
1258,$0.10 B,09-wissel
1259,-$0.59 B,09-wissel
1260,$0.24 B,09-wissel
1261,$98.3 M,09-wissel
1262,$22.48 M,09-wissel
1263,$9.93 M,09-wissel
1264,$99.95 M,09-wissel
1265,$0.12 B,09-wissel
1266,$20.04 M,09-wissel
1267,$0.10 B,09-wissel
1268,$0.21 B,09-wissel
1269,$0.13 B,09-wissel
1270,$0.16 B,09-wissel
1271,$1.41 B,09-wissel
1272,$0.10 B,09-wissel
1273,$3.13 B,09-wissel
1274,$0.16 B,09-wissel
1275,$92.91 M,09-wissel
1276,$72.86 M,09-wissel
1277,$8.04 B,09-wissel
1278,$0.38 B,09-wissel
1279,$0.21 B,09-wissel
1280,$0.24 B,09-wissel
1281,$99.07 M,09-wissel
1282,$97.93 M,09-wissel
1283,$51.78 M,09-wissel
1284,$0.48 B,09-wissel
1285,$0.16 B,09-wissel
1286,$0.29 B,09-wissel
1287,$0.10 B,09-wissel
1288,$0.23 B,09-wissel
1289,$0.43 B,09-wissel
1290,$0.12 B,09-wissel
1291,$0.10 B,09-wissel
1292,$0.53 B,09-wissel
1293,$0.27 B,09-wissel
1294,$0.75 B,09-wissel
1295,$0.10 B,09-wissel
1296,$0.15 B,09-wissel
1297,$0.24 B,09-wissel
1298,$0.23 B,09-wissel
1299,-$49.64 M,09-wissel
1300,$0.29 B,09-wissel
1301,$1.37 B,09-wissel
1302,$0.60 B,09-wissel
1303,$0.51 B,09-wissel
1304,$0.12 B,09-wissel
1305,$99.68 M,09-wissel
1306,$0.10 B,09-wissel
1307,$85.01 M,09-wissel
1308,$1.26 B,09-wissel
1309,$76.22 M,09-wissel
1310,$0.82 B,09-wissel
1311,$0.10 B,09-wissel
1312,$0.15 B,09-wissel
1313,$3.14 M,09-wissel
1314,$39.06 M,09-wissel
1315,$0.24 M,09-wissel
1316,$50.27 M,09-wissel
1317,$0.17 B,09-wissel
1318,$0.23 B,09-wissel
1319,,09-wissel
1320,$0.73 B,09-wissel
1321,$0.61 B,09-wissel
1322,$56.89 M,09-wissel
1323,$0.28 B,09-wissel
1324,$0.13 B,09-wissel
1325,$0.11 B,09-wissel
1326,$0.12 B,09-wissel
1327,$0.11 B,09-wissel
1328,$0.12 B,09-wissel
1329,$13.37 M,09-wissel
1330,$42.25 M,09-wissel
1331,$0.24 B,09-wissel
1332,$0.17 B,09-wissel
1333,$0.23 B,09-wissel
1334,$72.56 M,09-wissel
1335,$0.14 B,09-wissel
1336,$33.82 M,09-wissel
1337,$0.24 B,09-wissel
1338,$0.11 B,09-wissel
1339,$0.34 B,09-wissel
1340,$83.69 M,09-wissel
1341,$4.24 M,09-wissel
1342,$22.46 M,09-wissel
1343,$65.68 M,09-wissel
1344,$9.37 M,09-wissel
1345,$0.50 B,09-wissel
1346,$0.89 B,09-wissel
1347,$64.98 M,09-wissel
1348,$3.21 B,09-wissel
1349,$3.48 B,09-wissel
1350,$0.13 B,09-wissel
1351,$1.69 M,09-wissel
1352,$0.10 B,09-wissel
1353,$69.79 M,09-wissel
1354,$88.12 M,09-wissel
1355,,09-wissel
1356,$0.74 B,09-wissel
1357,$10.97 M,09-wissel
1358,$28.38 M,09-wissel
1359,$96.2 M,09-wissel
1360,$88.23 M,09-wissel
1361,$0.10 B,09-wissel
1362,$0.10 B,09-wissel
1363,$1.51 B,09-wissel
1364,$0.70 B,09-wissel
1365,$0.73 B,09-wissel
1366,$60.05 M,09-wissel
1367,$1.04 B,09-wissel
1368,$0.21 B,09-wissel
1369,$0.43 B,09-wissel
1370,$70.22 M,09-wissel
1371,$1.24 B,09-wissel
1372,$19.58 M,09-wissel
1373,$0.44 B,09-wissel
1374,$98.29 M,09-wissel
1375,$0.13 B,09-wissel
1376,$0.11 B,09-wissel
1377,$68.82 M,09-wissel
1378,$68.63 M,09-wissel
1379,$0.49 B,09-wissel
1380,$0.16 B,09-wissel
1381,$0.27 B,09-wissel
1382,$25.88 M,09-wissel
1383,-$42.67 M,09-wissel
1384,$81.02 M,09-wissel
1385,$11.44 M,09-wissel
1386,$88.49 M,09-wissel
1387,$0.15 B,09-wissel
1388,$0.81 B,09-wissel
1389,$86.66 M,09-wissel
1390,$0.75 B,09-wissel
1391,$98.77 M,09-wissel
1392,$83.94 M,09-wissel
1393,$0.54 B,09-wissel
1394,$0.28 B,09-wissel
1395,$0.16 B,09-wissel
1396,$54 M,09-wissel
1397,$0.56 B,09-wissel
1398,$41.94 M,09-wissel
1399,$0.15 B,09-wissel
1400,$31.1 M,09-wissel
1401,$4.95 M,09-wissel
1402,$0.18 B,09-wissel
1403,$78.48 M,09-wissel
1404,$0.32 B,09-wissel
1405,$63.23 M,09-wissel
1406,$0.10 B,09-wissel
1407,$2.91 B,09-wissel
1408,$55.62 M,09-wissel
1409,$0.11 B,09-wissel
1410,$0.15 B,09-wissel
1411,$50.24 M,09-wissel
1412,$0.42 B,09-wissel
1413,$0.90 B,09-wissel
1414,$0.12 B,09-wissel
1415,$0.13 B,09-wissel
1416,$0.11 B,09-wissel
1417,$78.84 M,09-wissel
1418,$0.27 B,09-wissel
1419,$0.29 B,09-wissel
1420,$0.23 B,09-wissel
1421,$0.25 B,09-wissel
1422,$0.10 B,09-wissel
1423,$1.40 B,09-wissel
1424,$64.65 M,09-wissel
1425,$94.25 M,09-wissel
1426,$0.17 B,09-wissel
1427,$54.66 M,09-wissel
1428,$2.02 B,09-wissel
1429,$48.72 M,09-wissel
1430,$0.24 B,09-wissel
1431,$80.92 M,09-wissel
1432,$0.13 B,09-wissel
1433,$0.18 B,09-wissel
1434,$87.9 M,09-wissel
1435,$92.2 M,09-wissel
1436,$0.25 B,09-wissel
1437,$0.48 B,09-wissel
1438,$25.64 M,09-wissel
1439,,09-wissel
1440,$63.9 M,09-wissel
1441,$0.37 B,09-wissel
1442,$0.13 B,09-wissel
1443,$0.12 B,09-wissel
1444,$1.18 B,09-wissel
1445,$60.4 M,09-wissel
1446,$88.23 M,09-wissel
1447,,09-wissel
1448,$80.09 M,09-wissel
1449,$0.17 B,09-wissel
1450,$14.68 M,09-wissel
1451,$53.15 M,09-wissel
1452,$3.06 B,09-wissel
1453,$0.29 B,09-wissel
1454,$51.94 M,09-wissel
1455,$0.14 B,09-wissel
1456,$74.28 M,09-wissel
1457,$39.35 M,09-wissel
1458,$18.36 M,09-wissel
1459,$0.27 B,09-wissel
1460,$18.55 M,09-wissel
1461,$98.38 M,09-wissel
1462,$73.72 M,09-wissel
1463,$28.17 M,09-wissel
1464,,09-wissel
1465,$0.12 B,09-wissel
1466,$0.51 B,09-wissel
1467,$96.35 M,09-wissel
1468,$1.07 B,09-wissel
1469,$69.79 M,09-wissel
1470,$39.24 M,09-wissel
1471,$0.76 B,09-wissel
1472,$1.09 B,09-wissel
1473,$0.16 B,09-wissel
1474,,09-wissel
1475,$0.32 B,09-wissel
1476,$0.21 B,09-wissel
1477,$0.39 B,09-wissel
1478,$0.12 B,09-wissel
1479,$0.13 B,09-wissel
1480,$82.03 M,09-wissel
1481,$61.37 M,09-wissel
1482,$56.13 M,09-wissel
1483,$68.28 M,09-wissel
1484,$0.35 B,09-wissel
1485,$0.22 B,09-wissel
1486,$50.6 M,09-wissel
1487,$22.33 M,09-wissel
1488,$2.30 B,09-wissel
1489,$30.1 M,09-wissel
1490,$49.72 M,09-wissel
1491,$0.53 B,09-wissel
1492,$6.87 M,09-wissel
1493,$0.51 B,09-wissel
1494,$52.99 M,09-wissel
1495,$0.34 M,09-wissel
1496,$98.15 M,09-wissel
1497,$0.17 B,09-wissel
1498,$18.7 M,09-wissel
1499,$58.11 M,09-wissel
1500,$0.57 B,09-wissel
1501,$62.39 M,09-wissel
1502,$31.37 M,09-wissel
1503,$0.11 B,09-wissel
1504,$94.32 M,09-wissel
1505,$91.94 M,09-wissel
1506,$31.41 M,09-wissel
1507,-$0.43 M,09-wissel
1508,$41.34 M,09-wissel
1509,$13.12 M,09-wissel
1510,$0.42 B,09-wissel
1511,$39.11 M,09-wissel
1512,$39.31 M,09-wissel
1513,$34.4 M,09-wissel
1514,$35.82 M,09-wissel
1515,$72.05 M,09-wissel
1516,$0.31 B,09-wissel
1517,$69.84 M,09-wissel
1518,$0.69 M,09-wissel
1519,$0.14 B,09-wissel
1520,$5.1 M,09-wissel
1521,$0.23 B,09-wissel
1522,$86.02 M,09-wissel
1523,$34.39 M,09-wissel
1524,,09-wissel
1525,$39.03 M,09-wissel
1526,$0.26 B,09-wissel
1527,$8.57 M,09-wissel
1528,$0.14 B,09-wissel
1529,$65.47 M,09-wissel
1530,$29.51 M,09-wissel
1531,$2.35 B,09-wissel
1532,$89.44 M,09-wissel
1533,$0.26 B,09-wissel
1534,$5.64 M,09-wissel
1535,$19.27 M,09-wissel
1536,$0.45 B,09-wissel
1537,$57.42 M,09-wissel
1538,$0.38 B,09-wissel
1539,,09-wissel
1540,$0.41 B,09-wissel
1541,,09-wissel
1542,$0.10 B,09-wissel
1543,,09-wissel
1544,$3.31 B,09-wissel
1545,$24.3 M,09-wissel
1546,$19.04 M,09-wissel
1547,$0.27 B,09-wissel
1548,$0.31 B,09-wissel
1549,$25.07 M,09-wissel
1550,$39.87 M,09-wissel
1551,$71.71 M,09-wissel
1552,$17.96 M,09-wissel
1553,$0.23 B,09-wissel
1554,$62.43 M,09-wissel
1555,$0.15 B,09-wissel
1556,$10.19 M,09-wissel
1557,$8.78 M,09-wissel
1558,$1.21 M,09-wissel
1559,$1.13 B,09-wissel
1560,$0.22 B,09-wissel
1561,$54.73 M,09-wissel
1562,$54.41 M,09-wissel
1563,$6.4 M,09-wissel
1564,$76.95 M,09-wissel
1565,,09-wissel
1566,$25.66 M,09-wissel
1567,$54.76 M,09-wissel
1568,$70.37 M,09-wissel
1569,$2.01 B,09-wissel
1570,$48 M,09-wissel
1571,$9.72 M,09-wissel
1572,$61.38 M,09-wissel
1573,,09-wissel
1574,$20.83 M,09-wissel
1575,$5.74 M,09-wissel
1576,$1.68 B,09-wissel
1577,$46.27 M,09-wissel
1578,$71.74 M,09-wissel
1579,$77.92 M,09-wissel
1580,,09-wissel
1581,,09-wissel
1582,$0.31 B,09-wissel
1583,$0.58 B,09-wissel
1584,$0.27 B,09-wissel
1585,,09-wissel
1586,$90.02 M,09-wissel
1587,$53.95 M,09-wissel
1588,$45.65 M,09-wissel
1589,$37.69 M,09-wissel
1590,$1.45 B,09-wissel
1591,$76.11 M,09-wissel
1592,$0.22 B,09-wissel
1593,$23.8 M,09-wissel
1594,$88.45 M,09-wissel
1595,$48.41 M,09-wissel
1596,$0.40 B,09-wissel
1597,$0.18 B,09-wissel
1598,$51.62 M,09-wissel
1599,,09-wissel
1600,$24.16 M,09-wissel
1601,$50.11 M,09-wissel
1602,$65.21 M,09-wissel
1603,,09-wissel
1604,$51.05 M,09-wissel
1605,$51.5 M,09-wissel
1606,$2.35 B,09-wissel
1607,$71.94 M,09-wissel
1608,$0.13 B,09-wissel
1609,$77.61 M,09-wissel
1610,$5.02 M,09-wissel
1611,$3.23 B,09-wissel
1612,$52.29 M,09-wissel
1613,$0.13 B,09-wissel
1614,$74.36 M,09-wissel
1615,$45.96 M,09-wissel
1616,$11.9 M,09-wissel
1617,$0.27 B,09-wissel
1618,$73.97 M,09-wissel
1619,$14.77 M,09-wissel
1620,$62.38 M,09-wissel
1621,$89.37 M,09-wissel
1622,$0.10 B,09-wissel
1623,$63.42 M,09-wissel
1624,$0.10 B,09-wissel
1625,$0.10 B,09-wissel
1626,,09-wissel
1627,$0.51 B,09-wissel
1628,$39.08 M,09-wissel
1629,$9.45 M,09-wissel
1630,$0.87 M,09-wissel
1631,$9.4 M,09-wissel
1632,$4.64 B,09-wissel
1633,$46.81 M,09-wissel
1634,$0.30 B,09-wissel
1635,$0.25 B,09-wissel
1636,$48.07 M,09-wissel
1637,$68.67 M,09-wissel
1638,$50.13 M,09-wissel
1639,$20.72 M,09-wissel
1640,$42.77 M,09-wissel
1641,$0.22 B,09-wissel
1642,$86.16 M,09-wissel
1643,$0.13 B,09-wissel
1644,$0.24 B,09-wissel
1645,$58.76 M,09-wissel
1646,,09-wissel
1647,$0.29 B,09-wissel
1648,$7.09 M,09-wissel
1649,$32.72 M,09-wissel
1650,$0.36 B,09-wissel
1651,,09-wissel
1652,$0.31 B,09-wissel
1653,$11.11 M,09-wissel
1654,,09-wissel
1655,$83.28 M,09-wissel
1656,$69.48 M,09-wissel
1657,$0.87 M,09-wissel
1658,$0.49 B,09-wissel
1659,$46.84 M,09-wissel
1660,$0.30 B,09-wissel
1661,$22.6 M,09-wissel
1662,$71.75 M,09-wissel
1663,$43.41 M,09-wissel
1664,$1.68 B,09-wissel
1665,$0.72 M,09-wissel
1666,$39.87 M,09-wissel
1667,$27.04 M,09-wissel
1668,$0.12 B,09-wissel
1669,,09-wissel
1670,$0.58 B,09-wissel
1671,$37.24 M,09-wissel
1672,$18.17 M,09-wissel
1673,$0.12 B,09-wissel
1674,$0.16 B,09-wissel
1675,$22.06 M,09-wissel
1676,$5.1 M,09-wissel
1677,$1.55 M,09-wissel
1678,$0.13 B,09-wissel
1679,$16.66 M,09-wissel
1680,$40.39 M,09-wissel
1681,$51.5 M,09-wissel
1682,$25.97 M,09-wissel
1683,,09-wissel
1684,$0.11 B,09-wissel
1685,$56.85 M,09-wissel
1686,$0.37 B,09-wissel
1687,$1.97 M,09-wissel
1688,$52.73 M,09-wissel
1689,,09-wissel
1690,$77.64 M,09-wissel
1691,$70.12 M,09-wissel
1692,$0.18 B,09-wissel
1693,$1.09 B,09-wissel
1694,,09-wissel
1695,$0.55 B,09-wissel
1696,$0.11 B,09-wissel
1697,$75.79 M,09-wissel
1698,,09-wissel
1699,$0.20 B,09-wissel
1700,$0.20 B,09-wissel
1701,$0.28 B,09-wissel
1702,$1.07 M,09-wissel
1703,$90.19 M,09-wissel
1704,$32.06 M,09-wissel
1705,,09-wissel
1706,$0.10 B,09-wissel
1707,$42.79 M,09-wissel
1708,$57.39 M,09-wissel
1709,$67.61 M,09-wissel
1710,$6.38 M,09-wissel
1711,$0.14 B,09-wissel
1712,$2.31 B,09-wissel
1713,$0.16 B,09-wissel
1714,,09-wissel
1715,$0.4 M,09-wissel
1716,$35.19 M,09-wissel
1717,$8.63 M,09-wissel
1718,,09-wissel
1719,,09-wissel
1720,$0.22 B,09-wissel
1721,$8.3 M,09-wissel
1722,$23.43 M,09-wissel
1723,$0.86 B,09-wissel
1724,$0.72 M,09-wissel
1725,$54.43 M,09-wissel
1726,$28.49 M,09-wissel
1727,,09-wissel
1728,,09-wissel
1729,$0.32 B,09-wissel
1730,,09-wissel
1731,,09-wissel
1732,$38.17 M,09-wissel
1733,,09-wissel
1734,$65.99 M,09-wissel
1735,,09-wissel
1736,$42.41 M,09-wissel
1737,$18.72 M,09-wissel
1738,$48.32 M,09-wissel
1739,$32.86 M,09-wissel
1740,$22.42 M,09-wissel
1741,$15.75 M,09-wissel
1742,,09-wissel
1743,$0.16 B,09-wissel
1744,,09-wissel
1745,$20.22 M,09-wissel
1746,$0.17 M,09-wissel
1747,$42.32 M,09-wissel
1748,$0.12 B,09-wissel
1749,$13.85 M,09-wissel
1750,$0.88 B,09-wissel
1751,$0.36 B,09-wissel
1752,$0.42 B,09-wissel
1753,$31.9 M,09-wissel
1754,$0.10 B,09-wissel
1755,$13.29 M,09-wissel
1756,$0.23 B,09-wissel
1757,,09-wissel
1758,$94.31 M,09-wissel
1759,$19.83 M,09-wissel
1760,$0.92 M,09-wissel
1761,$42.99 M,09-wissel
1762,$0.24 B,09-wissel
1763,,09-wissel
1764,$1.57 B,09-wissel
1765,$25.62 M,09-wissel
1766,,09-wissel
1767,$13.15 M,09-wissel
1768,$0.15 M,09-wissel
1769,$37.32 M,09-wissel
1770,$53.02 M,09-wissel
1771,$9.71 M,09-wissel
1772,$58.68 M,09-wissel
1773,$50.31 M,09-wissel
1774,$8.09 M,09-wissel
1775,$26.17 M,09-wissel
1776,$88.58 M,09-wissel
1777,$18.95 M,09-wissel
1778,$18.35 M,09-wissel
1779,$12.25 M,09-wissel
1780,$9.98 M,09-wissel
1781,,09-wissel
1782,,09-wissel
1783,$0.31 B,09-wissel
1784,$0.14 B,09-wissel
1785,$0.74 B,09-wissel
1786,$95.6 M,09-wissel
1787,$4.74 M,09-wissel
1788,$2.17 M,09-wissel
1789,$2.21 B,09-wissel
1790,$0.65 B,09-wissel
1791,$35.4 M,09-wissel
1792,,09-wissel
1793,$6.01 M,09-wissel
1794,$11.24 M,09-wissel
1795,$0.11 B,09-wissel
1796,$14.31 M,09-wissel
1797,$3.1 M,09-wissel
1798,$24.16 M,09-wissel
1799,$13.99 M,09-wissel
1800,,09-wissel
1801,$1.35 M,09-wissel
1802,$45.77 M,09-wissel
1803,$9.13 M,09-wissel
1804,$4.49 M,09-wissel
1805,$5.37 M,09-wissel
1806,$0.29 B,09-wissel
1807,$70.52 M,09-wissel
1808,$37.02 M,09-wissel
1809,,09-wissel
1810,$29.35 M,09-wissel
1811,$0.25 B,09-wissel
1812,,09-wissel
1813,,09-wissel
1814,$53.21 M,09-wissel
1815,$30.9 M,09-wissel
1816,$74.22 M,09-wissel
1817,$4.35 M,09-wissel
1818,$70.4 M,09-wissel
1819,$84.16 M,09-wissel
1820,$80 M,09-wissel
1821,$18.74 M,09-wissel
1822,$63.1 M,09-wissel
1823,$0.68 M,09-wissel
1824,$8.97 M,09-wissel
1825,$0.23 B,09-wissel
1826,$20 M,09-wissel
1827,$8.21 M,09-wissel
1828,$1.22 M,09-wissel
1829,$32.15 M,09-wissel
1830,$9.97 M,09-wissel
1831,$0.45 B,09-wissel
1832,,09-wissel
