,revenue,team
273,$0.68 B,09-wissel
274,$0.60 B,09-wissel
275,$1.40 B,09-wissel
276,$5.21 B,09-wissel
277,$2.22 B,09-wissel
278,$0.69 B,09-wissel
279,$0.99 B,09-wissel
280,$0.31 B,09-wissel
281,$1.03 B,09-wissel
282,$1.13 B,09-wissel
283,$0.97 B,09-wissel
284,$2.68 B,09-wissel
285,$0.70 B,09-wissel
286,$0.66 B,09-wissel
287,$0.99 B,09-wissel
288,$0.45 B,09-wissel
289,$0.45 B,09-wissel
290,$0.51 B,09-wissel
291,$0.69 B,09-wissel
292,$16.43 B,09-wissel
293,$1.25 B,09-wissel
294,$0.96 B,09-wissel
295,$0.65 B,09-wissel
296,$0.47 B,09-wissel
297,$0.90 B,09-wissel
298,$0.35 B,09-wissel
299,$0.45 B,09-wissel
300,$0.89 B,09-wissel
301,$0.71 B,09-wissel
302,$2.02 B,09-wissel
303,$0.72 B,09-wissel
304,$1.24 B,09-wissel
305,$1.10 B,09-wissel
306,$0.72 B,09-wissel
307,$0.45 B,09-wissel
308,$0.53 B,09-wissel
309,$0.78 B,09-wissel
310,$2.13 B,09-wissel
311,$0.43 B,09-wissel
312,$0.83 B,09-wissel
313,$0.75 B,09-wissel
314,$2.01 B,09-wissel
315,$0.70 B,09-wissel
316,$2.26 B,09-wissel
317,$1.01 B,09-wissel
318,$10.90 B,09-wissel
319,$0.38 B,09-wissel
320,$0.76 B,09-wissel
321,$1.49 B,09-wissel
322,$1.38 B,09-wissel
323,$2.81 B,09-wissel
324,$0.64 B,09-wissel
325,$2.08 B,09-wissel
326,$0.54 B,09-wissel
327,$0.66 B,09-wissel
328,$6.63 B,09-wissel
329,$0.98 B,09-wissel
330,$0.43 B,09-wissel
331,$24.76 B,09-wissel
332,$2.08 B,09-wissel
333,$0.49 B,09-wissel
334,$0.85 B,09-wissel
335,$0.71 B,09-wissel
336,$0.45 B,09-wissel
337,$2.21 B,09-wissel
338,$0.78 B,09-wissel
339,$0.59 B,09-wissel
340,$2.46 B,09-wissel
341,$1.58 B,09-wissel
342,$1.83 B,09-wissel
343,$0.57 B,09-wissel
344,$2.04 B,09-wissel
345,$1.35 B,09-wissel
346,$1.74 B,09-wissel
347,$0.50 B,09-wissel
348,$2.18 B,09-wissel
349,$3.24 B,09-wissel
350,$0.89 B,09-wissel
351,$1.74 B,09-wissel
352,$0.96 B,09-wissel
353,$0.50 B,09-wissel
354,$3.42 B,09-wissel
355,$3.04 B,09-wissel
356,$1.17 B,09-wissel
357,$7.32 B,09-wissel
358,$0.81 B,09-wissel
359,$1.07 B,09-wissel
360,$2.17 B,09-wissel
361,$0.74 B,09-wissel
362,$0.66 B,09-wissel
363,$0.68 B,09-wissel
364,$0.63 B,09-wissel
365,$0.78 B,09-wissel
366,$2.65 B,09-wissel
367,$0.58 B,09-wissel
368,$0.60 B,09-wissel
369,$0.85 B,09-wissel
370,$1.34 B,09-wissel
371,$1.70 B,09-wissel
372,$0.49 B,09-wissel
373,$3.33 B,09-wissel
374,$1.90 B,09-wissel
375,$1.66 B,09-wissel
376,$5.66 B,09-wissel
377,$1.21 B,09-wissel
378,$1.83 B,09-wissel
379,$0.65 B,09-wissel
380,$0.45 B,09-wissel
381,$1.27 B,09-wissel
382,$0.62 B,09-wissel
383,$0.71 B,09-wissel
384,$5.49 B,09-wissel
385,$0.48 B,09-wissel
386,$0.67 B,09-wissel
387,$4.57 B,09-wissel
388,$0.20 B,09-wissel
389,$0.55 B,09-wissel
390,$2.63 B,09-wissel
391,$0.72 B,09-wissel
392,$0.70 B,09-wissel
393,$1.41 B,09-wissel
394,$1.07 B,09-wissel
395,$1.24 B,09-wissel
396,$0.79 B,09-wissel
397,$1.12 B,09-wissel
398,$1.35 B,09-wissel
399,$0.69 B,09-wissel
400,$1.39 B,09-wissel
401,$0.66 B,09-wissel
402,$0.49 B,09-wissel
403,$0.50 B,09-wissel
404,$0.81 B,09-wissel
405,$1.55 B,09-wissel
406,$0.53 B,09-wissel
407,$1.03 B,09-wissel
408,$1.39 B,09-wissel
409,$1.13 B,09-wissel
410,$1.48 B,09-wissel
411,$0.46 B,09-wissel
412,$0.54 B,09-wissel
413,$0.46 B,09-wissel
414,$1.92 B,09-wissel
415,$0.52 B,09-wissel
416,$0.53 B,09-wissel
417,$0.22 B,09-wissel
418,$24.78 B,09-wissel
419,$0.57 B,09-wissel
420,,09-wissel
421,$0.43 B,09-wissel
422,$1.86 B,09-wissel
423,$1.33 B,09-wissel
424,$2.63 B,09-wissel
425,$0.41 B,09-wissel
426,$2.65 B,09-wissel
427,$0.53 B,09-wissel
428,$0.60 B,09-wissel
429,$0.68 B,09-wissel
430,$0.49 B,09-wissel
431,$0.58 B,09-wissel
432,$1.27 B,09-wissel
433,$1.39 B,09-wissel
434,$0.96 B,09-wissel
435,$2.58 B,09-wissel
436,$0.80 B,09-wissel
437,$1.26 B,09-wissel
438,$0.43 B,09-wissel
439,$4.01 B,09-wissel
440,$1.62 B,09-wissel
441,$0.55 B,09-wissel
442,$0.40 B,09-wissel
443,$0.31 B,09-wissel
444,$0.58 B,09-wissel
445,$2.67 B,09-wissel
446,$1.63 B,09-wissel
447,$0.50 B,09-wissel
448,$1.44 B,09-wissel
449,$0.59 B,09-wissel
450,$0.36 B,09-wissel
451,$0.61 B,09-wissel
452,$1.21 B,09-wissel
453,$0.11 B,09-wissel
454,$0.15 B,09-wissel
455,$0.36 B,09-wissel
456,$1.42 B,09-wissel
457,$1.43 B,09-wissel
458,$0.44 B,09-wissel
459,$0.58 B,09-wissel
460,$1.74 B,09-wissel
461,$2.92 B,09-wissel
462,$1.81 B,09-wissel
463,$5.80 B,09-wissel
464,$0.83 B,09-wissel
465,$0.48 B,09-wissel
466,$0.92 B,09-wissel
467,$0.83 B,09-wissel
468,$0.73 B,09-wissel
469,$0.51 B,09-wissel
470,$2.93 B,09-wissel
471,$1.56 B,09-wissel
472,$1.85 B,09-wissel
473,$0.82 B,09-wissel
474,$0.55 B,09-wissel
475,$0.71 B,09-wissel
476,$1.07 B,09-wissel
477,$0.56 B,09-wissel
478,$3.14 B,09-wissel
479,$12.59 B,09-wissel
480,$0.45 B,09-wissel
481,$0.80 B,09-wissel
482,$0.26 B,09-wissel
483,$0.28 B,09-wissel
484,$1.35 B,09-wissel
485,$0.32 B,09-wissel
486,$0.26 B,09-wissel
487,$0.38 B,09-wissel
488,$0.45 B,09-wissel
489,$0.46 B,09-wissel
490,$0.67 B,09-wissel
491,$0.27 B,09-wissel
492,$0.37 B,09-wissel
493,$1.31 B,09-wissel
494,$0.39 B,09-wissel
495,$4.74 B,09-wissel
496,$0.74 B,09-wissel
497,$0.97 B,09-wissel
498,$0.50 B,09-wissel
499,$0.96 B,09-wissel
500,$3.96 B,09-wissel
501,$0.70 B,09-wissel
502,$2.10 B,09-wissel
503,$2.66 B,09-wissel
504,$1.89 B,09-wissel
505,$0.97 B,09-wissel
506,$0.37 B,09-wissel
507,$0.59 B,09-wissel
508,$1.11 B,09-wissel
509,$0.64 B,09-wissel
510,$0.20 B,09-wissel
511,$0.59 B,09-wissel
512,$0.82 B,09-wissel
513,$0.30 B,09-wissel
514,$2.21 B,09-wissel
515,$0.44 B,09-wissel
516,$92.56 M,09-wissel
517,$0.47 B,09-wissel
518,$4.53 B,09-wissel
519,$0.64 B,09-wissel
520,$0.29 B,09-wissel
521,$0.84 B,09-wissel
522,$0.44 B,09-wissel
523,$0.18 B,09-wissel
524,$19.14 B,09-wissel
525,$2.54 B,09-wissel
526,$2.90 B,09-wissel
527,$1.97 B,09-wissel
528,$0.52 B,09-wissel
529,$0.25 B,09-wissel
530,$1.16 B,09-wissel
531,$2.00 B,09-wissel
532,$0.47 B,09-wissel
533,$0.33 B,09-wissel
534,$0.76 B,09-wissel
535,$0.40 B,09-wissel
536,$15.74 B,09-wissel
537,$0.75 B,09-wissel
538,$0.27 B,09-wissel
539,$10.62 B,09-wissel
540,$0.60 B,09-wissel
541,$1.53 B,09-wissel
542,$1.44 B,09-wissel
543,$0.26 B,09-wissel
544,$1.61 B,09-wissel
545,$7.66 B,09-wissel
546,$0.64 B,09-wissel
547,$1.75 B,09-wissel
548,$0.44 B,09-wissel
549,$0.69 B,09-wissel
550,$0.76 B,09-wissel
551,$0.43 B,09-wissel
552,$1.06 B,09-wissel
553,$0.55 B,09-wissel
554,$1.07 B,09-wissel
555,$0.27 B,09-wissel
556,$1.17 B,09-wissel
557,$1.40 B,09-wissel
558,$0.21 B,09-wissel
559,$0.70 B,09-wissel
560,$9.72 B,09-wissel
561,$0.99 B,09-wissel
562,$1.12 B,09-wissel
563,$0.36 B,09-wissel
564,$1.39 B,09-wissel
565,$1.16 B,09-wissel
566,$0.33 B,09-wissel
567,$1.96 B,09-wissel
568,$1.34 B,09-wissel
569,$0.97 B,09-wissel
570,$1.61 B,09-wissel
571,$1.32 B,09-wissel
572,$1.32 B,09-wissel
573,$4.55 B,09-wissel
574,$2.00 B,09-wissel
575,$0.69 B,09-wissel
576,$0.60 B,09-wissel
577,$3.01 B,09-wissel
578,$0.77 B,09-wissel
579,$1.28 B,09-wissel
580,$0.31 B,09-wissel
581,$0.60 B,09-wissel
582,$0.55 B,09-wissel
583,$0.34 B,09-wissel
584,$8.69 M,09-wissel
585,$10.32 B,09-wissel
586,$1.54 B,09-wissel
587,$1.00 B,09-wissel
588,$0.39 B,09-wissel
589,$0.82 B,09-wissel
590,$0.97 B,09-wissel
591,$1.04 B,09-wissel
592,$1.01 B,09-wissel
593,$0.42 B,09-wissel
594,$1.38 B,09-wissel
595,$0.39 B,09-wissel
596,$0.65 B,09-wissel
597,$0.18 B,09-wissel
598,$0.57 B,09-wissel
599,$0.51 B,09-wissel
600,$0.74 B,09-wissel
601,$0.15 B,09-wissel
602,$0.38 B,09-wissel
603,$4.03 B,09-wissel
604,$0.71 B,09-wissel
605,$1.16 B,09-wissel
606,$0.47 B,09-wissel
607,$1.73 B,09-wissel
608,$1.96 B,09-wissel
609,$0.43 B,09-wissel
610,$0.29 B,09-wissel
611,$0.20 B,09-wissel
612,$0.31 B,09-wissel
613,$0.19 B,09-wissel
614,$0.20 B,09-wissel
615,$0.92 B,09-wissel
616,$0.46 B,09-wissel
617,$0.49 B,09-wissel
618,$0.53 B,09-wissel
619,$1.39 B,09-wissel
620,$2.13 B,09-wissel
621,$0.77 B,09-wissel
622,$0.34 B,09-wissel
623,$0.27 B,09-wissel
624,$0.61 B,09-wissel
625,$6.80 B,09-wissel
626,$0.82 B,09-wissel
627,$0.74 B,09-wissel
628,$0.75 B,09-wissel
629,$0.72 B,09-wissel
630,$10.40 B,09-wissel
631,$0.47 B,09-wissel
632,$0.31 B,09-wissel
633,$0.25 B,09-wissel
634,$7.70 B,09-wissel
635,$0.28 B,09-wissel
636,$0.38 B,09-wissel
637,$0.20 B,09-wissel
638,$1.32 B,09-wissel
639,$0.63 B,09-wissel
640,$0.58 B,09-wissel
641,$0.46 B,09-wissel
642,$0.37 B,09-wissel
643,$0.58 B,09-wissel
644,$1.67 B,09-wissel
645,$0.78 B,09-wissel
646,$0.45 B,09-wissel
647,$0.30 B,09-wissel
648,$1.32 B,09-wissel
649,$2.17 B,09-wissel
650,$0.50 B,09-wissel
651,$0.19 B,09-wissel
652,$0.95 B,09-wissel
653,$0.80 B,09-wissel
