,categories,change1d,change1y,change_1_day,change_1_year,change_1day,change_1year,code,codice,company_code,country,earnings,employees,id,market_cap,market_capitalization_usd,marketcap,master_cap,name,price,pricecap,rank,revenue,share_price,shareprice,shares,symbol,url
categories,0,8,8,9,9,9,9,7,7,10,8,8,7,9,9,20,9,8,8,8,10,9,8,7,7,7,9,9
change1d,8,0,1,4,6,3,5,6,6,8,6,7,8,7,9,21,8,9,6,7,8,6,7,9,8,5,8,8
change1y,8,1,0,4,5,3,4,6,6,9,5,7,8,8,9,22,8,9,6,7,8,6,7,9,8,5,8,8
change_1_day,9,4,4,0,3,1,3,10,10,9,9,11,12,11,8,22,9,8,10,11,10,10,11,8,9,9,12,12
change_1_year,9,6,5,3,0,4,1,11,11,10,10,12,11,13,9,22,10,9,11,12,11,11,11,9,9,10,13,13
change_1day,9,3,3,1,4,0,3,9,9,9,8,10,11,10,8,22,8,8,9,10,9,9,10,8,8,8,11,11
change_1year,9,5,4,3,1,3,0,10,10,10,9,11,10,12,9,22,9,9,10,11,10,10,10,8,9,9,12,12
code,7,6,6,10,11,9,10,0,2,8,5,8,7,3,9,23,8,9,3,4,7,4,6,10,9,5,6,4
codice,7,6,6,10,11,9,10,2,0,8,5,7,8,5,9,23,8,9,5,3,6,6,6,8,7,6,6,6
company_code,10,8,9,9,10,9,10,8,8,0,9,11,9,11,10,22,10,10,10,9,10,10,10,10,10,11,10,12
country,8,6,5,9,10,8,9,5,5,9,0,7,9,7,9,23,8,9,6,7,8,6,7,10,9,7,7,5
earnings,8,7,7,11,12,10,11,8,7,11,7,0,7,7,8,20,7,9,7,6,8,6,7,9,8,6,8,7
employees,7,8,8,12,11,11,10,7,8,9,9,7,0,9,10,20,9,10,8,7,8,9,8,10,10,7,8,8
id,9,7,8,11,13,10,12,3,5,11,7,7,9,0,10,23,9,10,4,4,7,4,7,10,9,6,6,3
market_cap,9,9,9,8,9,8,9,9,9,10,9,8,10,10,0,15,1,3,8,8,6,8,8,9,8,8,10,9
market_capitalization_usd,20,21,22,22,22,22,22,23,23,22,23,20,20,23,15,0,16,18,23,23,21,22,21,20,21,22,24,23
marketcap,9,8,8,9,10,8,9,8,8,10,8,7,9,9,1,16,0,4,7,7,5,7,8,9,8,7,9,8
master_cap,8,9,9,8,9,8,9,9,9,10,9,9,10,10,3,18,4,0,8,8,6,9,9,9,8,8,9,9
name,8,6,6,10,11,9,10,3,5,10,6,7,8,4,8,23,7,8,0,4,7,3,6,9,8,4,5,4
price,8,7,7,11,12,10,11,4,3,9,7,6,7,4,8,23,7,8,4,0,3,4,6,6,5,5,6,4
pricecap,10,8,8,10,11,9,10,7,6,10,8,8,8,7,6,21,5,6,7,3,0,7,6,9,8,7,8,7
rank,9,6,6,10,11,9,10,4,6,10,6,6,9,4,8,22,7,9,3,4,7,0,5,10,9,5,6,4
revenue,8,7,7,11,11,10,10,6,6,10,7,7,8,7,8,21,8,9,6,6,6,5,0,8,7,7,7,7
share_price,7,9,9,8,9,8,8,10,8,10,10,9,10,10,9,20,9,9,9,6,9,10,8,0,1,6,10,10
shareprice,7,8,8,9,9,8,9,9,7,10,9,8,10,9,8,21,8,8,8,5,8,9,7,1,0,5,9,9
shares,7,5,5,9,10,8,9,5,6,11,7,6,7,6,8,22,7,8,4,5,7,5,7,6,5,0,5,5
symbol,9,8,8,12,13,11,12,6,6,10,7,8,8,6,10,24,9,9,5,6,8,6,7,10,9,5,0,5
url,9,8,8,12,13,11,12,4,6,12,5,7,8,3,9,23,8,9,4,4,7,4,7,10,9,5,5,0
