,earnings,team
914,$12.68 M,09-wissel
915,-$59.74 M,09-wissel
916,-$0.13 B,09-wissel
917,,09-wissel
918,-$12.62 M,09-wissel
919,-$30.83 M,09-wissel
920,$93.53 M,09-wissel
921,$0.12 B,09-wissel
922,-$75.24 M,09-wissel
923,-$0.47 B,09-wissel
924,$32.88 M,09-wissel
925,-$0.22 B,09-wissel
926,$1.08 B,09-wissel
927,-$0.37 B,09-wissel
928,-$0.46 B,09-wissel
929,$0.59 B,09-wissel
930,-$34.55 M,09-wissel
931,$8.94 M,09-wissel
932,-$0.17 B,09-wissel
933,$0.33 B,09-wissel
934,$76.08 M,09-wissel
935,$16.36 M,09-wissel
936,$77.25 M,09-wissel
937,-$0.3 B,09-wissel
938,-$75.77 M,09-wissel
939,-$38.8 M,09-wissel
940,-$55.65 M,09-wissel
941,-$0.14 B,09-wissel
942,$10.69 M,09-wissel
943,$51.96 M,09-wissel
944,$1.06 B,09-wissel
945,-$0.11 B,09-wissel
946,-$0.28 B,09-wissel
947,$50.53 M,09-wissel
948,-$64.21 M,09-wissel
949,-$1 B,09-wissel
950,$11.87 M,09-wissel
951,-$0.33 B,09-wissel
952,-$24.33 M,09-wissel
953,$0.85 B,09-wissel
954,-$0.24 B,09-wissel
955,$39.67 M,09-wissel
956,-$3.3 M,09-wissel
957,$65.47 M,09-wissel
958,-$0.17 B,09-wissel
959,-$0.11 B,09-wissel
960,-$0.15 B,09-wissel
961,$0.23 B,09-wissel
962,-$26.06 M,09-wissel
963,$31.25 M,09-wissel
964,$0.15 B,09-wissel
965,$25.17 M,09-wissel
966,$1.59 B,09-wissel
967,$0.11 B,09-wissel
968,$2.72 B,09-wissel
969,$0.13 B,09-wissel
970,$50.22 M,09-wissel
971,$0.18 B,09-wissel
972,-$16.46 M,09-wissel
973,$55.5 M,09-wissel
974,-$97.24 M,09-wissel
975,-$3.5 M,09-wissel
976,-$83.11 M,09-wissel
977,$0.12 B,09-wissel
978,-$4.42 M,09-wissel
979,-$0.45 B,09-wissel
980,$32.5 M,09-wissel
981,-$34.38 M,09-wissel
982,-$34.2 M,09-wissel
983,$80.03 M,09-wissel
984,$0.16 B,09-wissel
985,$0.14 B,09-wissel
986,$0.15 B,09-wissel
987,$0.37 B,09-wissel
988,-$63.72 M,09-wissel
989,$0.34 B,09-wissel
990,-$29.29 M,09-wissel
991,$24.99 M,09-wissel
992,-$10.03 M,09-wissel
993,$0.29 B,09-wissel
994,$38.72 M,09-wissel
995,-$64.25 M,09-wissel
996,-$0.2 B,09-wissel
997,-$45.31 M,09-wissel
998,$54.08 M,09-wissel
999,$10.85 M,09-wissel
1000,-$0.19 B,09-wissel
1001,$38.32 M,09-wissel
1002,$76.04 M,09-wissel
1003,-$1.35 M,09-wissel
1004,$90.44 M,09-wissel
1005,$49.96 M,09-wissel
1006,-$14.99 M,09-wissel
1007,-$0.18 B,09-wissel
1008,-$39.72 M,09-wissel
1009,-$95.79 M,09-wissel
1010,$32.25 M,09-wissel
1011,-$0.39 B,09-wissel
1012,-$6.08 M,09-wissel
1013,$80.34 M,09-wissel
1014,$0.15 B,09-wissel
1015,-$22.69 M,09-wissel
1016,$0.10 B,09-wissel
1017,-$0.23 B,09-wissel
1018,-$0.11 B,09-wissel
1019,$0.25 B,09-wissel
1020,$0.36 B,09-wissel
1021,-$70.67 M,09-wissel
1022,-$3.5 B,09-wissel
1023,-$0.11 B,09-wissel
1024,-$45.44 M,09-wissel
1025,$40.51 M,09-wissel
1026,-$95.09 M,09-wissel
1027,-$0.26 B,09-wissel
1028,$27.37 M,09-wissel
1029,$65.78 M,09-wissel
1030,$64.13 M,09-wissel
1031,-$84.32 M,09-wissel
1032,-$73.51 M,09-wissel
1033,-$0.3 B,09-wissel
1034,-$32.57 M,09-wissel
1035,-$22.11 M,09-wissel
1036,$95.84 M,09-wissel
1037,$8.72 M,09-wissel
1038,$78.44 M,09-wissel
1039,$22.9 M,09-wissel
1040,-$27.73 M,09-wissel
1041,-$0.42 B,09-wissel
1042,-$90.38 M,09-wissel
1043,$0.16 B,09-wissel
1044,$10.9 M,09-wissel
1045,$69.9 M,09-wissel
1046,-$12.36 M,09-wissel
1047,-$9.71 M,09-wissel
1048,$25.15 M,09-wissel
1049,$89.89 M,09-wissel
1050,-$51.83 M,09-wissel
1051,-$0.13 B,09-wissel
1052,$39.06 M,09-wissel
1053,-$87.79 M,09-wissel
1054,-$49.57 M,09-wissel
1055,$0.28 B,09-wissel
1056,-$40.65 M,09-wissel
1057,$0.12 B,09-wissel
1058,$89.81 M,09-wissel
1059,$0.15 B,09-wissel
1060,$0.05 M,09-wissel
1061,$53.84 M,09-wissel
1062,$87.15 M,09-wissel
1063,,09-wissel
1064,$48.65 M,09-wissel
1065,-$58.72 M,09-wissel
1066,$0.14 B,09-wissel
1067,$11.39 M,09-wissel
1068,$74.17 M,09-wissel
1069,$84.1 M,09-wissel
1070,$94.91 M,09-wissel
1071,-$0.72 B,09-wissel
1072,$0.39 B,09-wissel
1073,-$0.21 B,09-wissel
1074,-$0.3 B,09-wissel
1075,-$0.73 B,09-wissel
1076,-$0.43 B,09-wissel
1077,$47.75 M,09-wissel
1078,$13.43 M,09-wissel
1079,-$0.35 B,09-wissel
1080,$25.15 M,09-wissel
1081,-$0.37 B,09-wissel
1082,-$0.16 B,09-wissel
1083,-$0.37 B,09-wissel
1084,-$0.19 B,09-wissel
1085,-$0.8 M,09-wissel
1086,$44.81 M,09-wissel
1087,$93.61 M,09-wissel
1088,$0.12 B,09-wissel
1089,$0.78 B,09-wissel
1090,-$0.29 B,09-wissel
1091,$0.28 B,09-wissel
1092,$0.11 B,09-wissel
1093,-$0.04 M,09-wissel
1094,-$12.45 M,09-wissel
1095,$68.13 M,09-wissel
1096,$0.59 B,09-wissel
1097,-$47.42 M,09-wissel
1098,$0.28 B,09-wissel
1099,-$0.31 B,09-wissel
1100,-$89.92 M,09-wissel
1101,$97.12 M,09-wissel
1102,$0.40 B,09-wissel
1103,-$0.22 B,09-wissel
1104,,09-wissel
1105,$44.72 M,09-wissel
1106,$68.01 M,09-wissel
1107,$53.88 M,09-wissel
1108,$0.26 B,09-wissel
1109,$2.35 B,09-wissel
1110,$0.14 B,09-wissel
1111,$0.42 B,09-wissel
1112,$0.29 B,09-wissel
1113,-$0.51 B,09-wissel
1114,-$0.5 B,09-wissel
1115,-$0.26 M,09-wissel
1116,$1.32 B,09-wissel
1117,-$53.47 M,09-wissel
1118,$30.61 M,09-wissel
1119,$0.18 B,09-wissel
1120,$0.11 B,09-wissel
1121,-$66.24 M,09-wissel
1122,$2.90 B,09-wissel
1123,$0.43 B,09-wissel
1124,-$0.2 B,09-wissel
1125,-$0.11 B,09-wissel
1126,-$80.12 M,09-wissel
1127,-$68.63 M,09-wissel
1128,$80.2 M,09-wissel
1129,-$0.3 B,09-wissel
1130,$60.74 M,09-wissel
1131,$55.71 M,09-wissel
1132,$47.15 M,09-wissel
1133,$0.13 B,09-wissel
1134,-$0.11 B,09-wissel
1135,$58.68 M,09-wissel
1136,$5.56 M,09-wissel
1137,$0.19 B,09-wissel
1138,$1.64 B,09-wissel
1139,-$17.09 M,09-wissel
1140,$0.96 B,09-wissel
1141,-$56.59 M,09-wissel
1142,$82.81 M,09-wissel
1143,-$62.84 M,09-wissel
1144,-$0.18 B,09-wissel
1145,$0.22 B,09-wissel
1146,$0.51 B,09-wissel
1147,-$0.38 B,09-wissel
1148,$48.59 M,09-wissel
1149,$0.37 B,09-wissel
1150,$93.55 M,09-wissel
1151,-$0.26 B,09-wissel
1152,$4.89 M,09-wissel
1153,-$0.26 B,09-wissel
1154,-$34.12 M,09-wissel
1155,$43.71 M,09-wissel
1156,-$11.01 M,09-wissel
1157,-$96.12 M,09-wissel
1158,-$90.71 M,09-wissel
1159,-$5.31 M,09-wissel
1160,$50.91 M,09-wissel
1161,-$0.45 B,09-wissel
1162,$0.40 B,09-wissel
1163,-$0.22 B,09-wissel
1164,-$49.92 M,09-wissel
1165,$20.51 M,09-wissel
1166,-$44.06 M,09-wissel
1167,$19.76 M,09-wissel
1168,$0.28 B,09-wissel
1169,-$0.64 B,09-wissel
1170,$3.87 M,09-wissel
1171,-$0.32 B,09-wissel
1172,-$0.15 B,09-wissel
1173,$50.55 M,09-wissel
1174,-$0.52 B,09-wissel
1175,$2.22 M,09-wissel
1176,$24.52 M,09-wissel
1177,-$61.11 M,09-wissel
1178,-$0.14 B,09-wissel
1179,$0.16 B,09-wissel
1180,-$0.16 B,09-wissel
1181,$84.91 M,09-wissel
1182,-$26.58 M,09-wissel
1183,$0.23 B,09-wissel
1184,-$0.23 B,09-wissel
1185,-$0.16 B,09-wissel
1186,$40.15 M,09-wissel
1187,-$77.14 M,09-wissel
1188,-$0.31 B,09-wissel
1189,$0.13 B,09-wissel
1190,-$80.18 M,09-wissel
1191,$0.17 B,09-wissel
1192,$22.85 M,09-wissel
1193,-$78.18 M,09-wissel
1194,$0.15 B,09-wissel
1195,$34.78 M,09-wissel
1196,$37.91 M,09-wissel
1197,-$94.64 M,09-wissel
1198,-$0.29 B,09-wissel
1199,$27.59 M,09-wissel
1200,-$0.12 B,09-wissel
1201,$1.45 B,09-wissel
1202,-$0.17 B,09-wissel
1203,$0.58 B,09-wissel
1204,-$60.84 M,09-wissel
1205,$45.42 M,09-wissel
1206,-$0.44 B,09-wissel
1207,-$0.17 B,09-wissel
1208,$0.10 B,09-wissel
1209,-$0.17 B,09-wissel
1210,$63.79 M,09-wissel
1211,$39.27 M,09-wissel
1212,$41.86 M,09-wissel
1213,-$0.18 B,09-wissel
1214,-$0.31 B,09-wissel
1215,-$0.14 B,09-wissel
1216,-$22.79 M,09-wissel
1217,$8.21 M,09-wissel
1218,$0.39 B,09-wissel
1219,$0.17 B,09-wissel
1220,$0.60 B,09-wissel
1221,-$0.12 B,09-wissel
1222,-$0.19 B,09-wissel
1223,$31.84 M,09-wissel
1224,$64.01 M,09-wissel
1225,-$57.79 M,09-wissel
1226,-$28.82 M,09-wissel
1227,-$17.22 M,09-wissel
1228,-$63.86 M,09-wissel
1229,-$0.16 B,09-wissel
1230,$70.36 M,09-wissel
1231,-$0.28 B,09-wissel
1232,$42.66 M,09-wissel
1233,-$28.91 M,09-wissel
1234,-$89.49 M,09-wissel
1235,-$8.38 M,09-wissel
1236,-$46.25 M,09-wissel
1237,$30.17 M,09-wissel
1238,-$0.22 B,09-wissel
1239,-$0.75 B,09-wissel
1240,$31.78 M,09-wissel
1241,$23.22 M,09-wissel
1242,$23.78 M,09-wissel
1243,$0.24 B,09-wissel
1244,-$0.18 B,09-wissel
1245,-$5.99 M,09-wissel
1246,-$89.64 M,09-wissel
1247,$13.3 M,09-wissel
1248,$0.15 B,09-wissel
1249,$0.10 B,09-wissel
1250,-$0.25 B,09-wissel
1251,$56.66 M,09-wissel
1252,-$71.3 M,09-wissel
1253,$16.3 M,09-wissel
1254,-$85.93 M,09-wissel
1255,$37.67 M,09-wissel
1256,-$21.56 M,09-wissel
1257,-$0.32 B,09-wissel
1258,$2.12 M,09-wissel
1259,-$0.66 B,09-wissel
1260,-$23.89 M,09-wissel
1261,$41.26 M,09-wissel
1262,-$81.52 M,09-wissel
1263,-$0.4 B,09-wissel
1264,-$21.9 M,09-wissel
1265,$51.79 M,09-wissel
1266,-$89.82 M,09-wissel
1267,-$2.18 M,09-wissel
1268,-$5.39 M,09-wissel
1269,-$0.15 B,09-wissel
1270,-$5.61 M,09-wissel
1271,$0.11 B,09-wissel
1272,$4.16 M,09-wissel
1273,$1.15 B,09-wissel
1274,$87.09 M,09-wissel
1275,$29.4 M,09-wissel
1276,-$7.67 M,09-wissel
1277,$0.19 B,09-wissel
1278,$0.13 B,09-wissel
1279,-$23.25 M,09-wissel
1280,$97.43 M,09-wissel
1281,$33.47 M,09-wissel
1282,-$11.32 M,09-wissel
1283,-$27.81 M,09-wissel
1284,$0.11 B,09-wissel
1285,$6.92 M,09-wissel
1286,$43.92 M,09-wissel
1287,$55.1 M,09-wissel
1288,-$0.25 B,09-wissel
1289,$82.64 M,09-wissel
1290,-$23.22 M,09-wissel
1291,-$23.73 M,09-wissel
1292,$0.35 B,09-wissel
1293,$17.18 M,09-wissel
1294,$0.17 B,09-wissel
1295,$47.89 M,09-wissel
1296,$88.48 M,09-wissel
1297,$17.99 M,09-wissel
1298,-$0.19 B,09-wissel
1299,-$86.89 M,09-wissel
1300,$35.95 M,09-wissel
1301,$0.19 B,09-wissel
1302,$0.24 B,09-wissel
1303,-$41.06 M,09-wissel
1304,-$53.09 M,09-wissel
1305,-$64.56 M,09-wissel
1306,$42.14 M,09-wissel
1307,-$0.11 B,09-wissel
1308,-$28.31 M,09-wissel
1309,-$97.52 M,09-wissel
1310,$0.36 B,09-wissel
1311,$42.8 M,09-wissel
1312,$52.53 M,09-wissel
1313,-$0.27 B,09-wissel
1314,-$0.25 B,09-wissel
1315,-$0.32 B,09-wissel
1316,-$9.61 M,09-wissel
1317,-$30.75 M,09-wissel
1318,-$0.13 B,09-wissel
1319,-$0.15 B,09-wissel
1320,$98.58 M,09-wissel
1321,$0.14 B,09-wissel
1322,-$33.38 M,09-wissel
1323,-$0.4 B,09-wissel
1324,-$6.56 M,09-wissel
1325,$57.58 M,09-wissel
1326,$86.69 M,09-wissel
1327,$14.32 M,09-wissel
1328,$51.15 M,09-wissel
1329,-$0.23 B,09-wissel
1330,-$0.12 B,09-wissel
1331,-$67.69 M,09-wissel
1332,$84.18 M,09-wissel
1333,-$40.91 M,09-wissel
1334,-$0.15 B,09-wissel
1335,-$60.71 M,09-wissel
1336,-$3.46 M,09-wissel
1337,-$0.18 B,09-wissel
1338,-$2.68 M,09-wissel
1339,$0.18 B,09-wissel
1340,$18.85 M,09-wissel
1341,-$0.11 B,09-wissel
1342,-$24.03 M,09-wissel
1343,-$58.77 M,09-wissel
1344,-$0.37 B,09-wissel
1345,$28.9 M,09-wissel
1346,$0.29 B,09-wissel
1347,$21.93 M,09-wissel
1348,$1.22 B,09-wissel
1349,$1.52 B,09-wissel
1350,$4.35 M,09-wissel
1351,-$0.3 B,09-wissel
1352,-$0.12 B,09-wissel
1353,-$65.86 M,09-wissel
1354,-$58.28 M,09-wissel
1355,-$0.4 B,09-wissel
1356,$0.15 B,09-wissel
1357,-$0.33 B,09-wissel
1358,-$0.28 B,09-wissel
1359,$1.17 M,09-wissel
1360,-$6.68 M,09-wissel
1361,-$87.94 M,09-wissel
1362,$24.11 M,09-wissel
1363,$0.23 B,09-wissel
1364,$19.84 M,09-wissel
1365,$0.33 B,09-wissel
1366,-$59.61 M,09-wissel
1367,$0.39 B,09-wissel
1368,-$0.27 B,09-wissel
1369,$0.12 B,09-wissel
1370,$26 M,09-wissel
1371,$1.54 B,09-wissel
1372,-$0.17 B,09-wissel
1373,$41.86 M,09-wissel
1374,-$0.22 B,09-wissel
1375,$59.42 M,09-wissel
1376,$62.44 M,09-wissel
1377,-$25.26 M,09-wissel
1378,$27.37 M,09-wissel
1379,-$9.67 M,09-wissel
1380,-$26.24 M,09-wissel
1381,$11.63 M,09-wissel
1382,-$0.13 B,09-wissel
1383,-$0.2 B,09-wissel
1384,-$81.33 M,09-wissel
1385,-$0.13 B,09-wissel
1386,$30.49 M,09-wissel
1387,-$21.04 M,09-wissel
1388,$0.25 B,09-wissel
1389,$22.13 M,09-wissel
1390,$0.37 B,09-wissel
1391,-$0.13 B,09-wissel
1392,-$85.67 M,09-wissel
1393,$0.27 B,09-wissel
1394,-$3.62 M,09-wissel
1395,$40.16 M,09-wissel
1396,-$0.11 B,09-wissel
1397,$0.10 B,09-wissel
1398,-$0.13 B,09-wissel
1399,-$23.73 M,09-wissel
1400,-$0.15 B,09-wissel
1401,-$70.06 M,09-wissel
1402,$0.12 B,09-wissel
1403,$15.53 M,09-wissel
1404,-$5.03 M,09-wissel
1405,$18.78 M,09-wissel
1406,$0.12 B,09-wissel
1407,$1.63 B,09-wissel
1408,-$0.14 B,09-wissel
1409,$47.72 M,09-wissel
1410,-$18.26 M,09-wissel
1411,-$18.31 M,09-wissel
1412,$9.17 M,09-wissel
1413,$0.47 B,09-wissel
1414,-$0.23 B,09-wissel
1415,$0.56 M,09-wissel
1416,-$0.25 B,09-wissel
1417,$35.57 M,09-wissel
1418,$0.16 B,09-wissel
1419,$41.74 M,09-wissel
1420,$0.16 B,09-wissel
1421,$8.33 M,09-wissel
1422,$46.68 M,09-wissel
1423,$0.94 B,09-wissel
1424,$29.56 M,09-wissel
1425,-$2.04 M,09-wissel
1426,$28.09 M,09-wissel
1427,$9.31 M,09-wissel
1428,$0.73 B,09-wissel
1429,-$18.86 M,09-wissel
1430,-$40.78 M,09-wissel
1431,-$46.62 M,09-wissel
1432,-$0.14 B,09-wissel
1433,$0.34 M,09-wissel
1434,-$0.11 B,09-wissel
1435,$47.81 M,09-wissel
1436,$0.11 B,09-wissel
1437,$51.4 M,09-wissel
1438,-$0.21 B,09-wissel
1439,,09-wissel
1440,$26.8 M,09-wissel
1441,-$49.65 M,09-wissel
1442,-$30.99 M,09-wissel
1443,$19.07 M,09-wissel
1444,$0.16 B,09-wissel
1445,$22.68 M,09-wissel
1446,$0.76 M,09-wissel
1447,-$0.32 B,09-wissel
1448,-$48.51 M,09-wissel
1449,-$0.13 B,09-wissel
1450,-$0.12 B,09-wissel
1451,$14.66 M,09-wissel
1452,$1.11 B,09-wissel
1453,$31 M,09-wissel
1454,-$56.49 M,09-wissel
1455,-$0.29 B,09-wissel
1456,-$5.82 M,09-wissel
1457,-$79.18 M,09-wissel
1458,-$0.2 B,09-wissel
1459,$63.83 M,09-wissel
1460,-$88.02 M,09-wissel
1461,-$3.5 M,09-wissel
1462,-$4.85 M,09-wissel
1463,-$4.31 M,09-wissel
1464,-$89.54 M,09-wissel
1465,-$40.91 M,09-wissel
1466,$0.39 B,09-wissel
1467,$24.77 M,09-wissel
1468,$0.33 B,09-wissel
1469,-$0.12 B,09-wissel
1470,-$0.18 B,09-wissel
1471,-$11.01 M,09-wissel
1472,-$0.43 B,09-wissel
1473,-$10.84 M,09-wissel
1474,-$0.15 B,09-wissel
1475,$76.19 M,09-wissel
1476,-$19.05 M,09-wissel
1477,$0.12 B,09-wissel
1478,-$0.67 B,09-wissel
1479,$70.61 M,09-wissel
1480,$34.05 M,09-wissel
1481,-$71.58 M,09-wissel
1482,$14.12 M,09-wissel
1483,$25 M,09-wissel
1484,-$30.47 M,09-wissel
1485,-$14.41 M,09-wissel
1486,-$26.82 M,09-wissel
1487,-$57.33 M,09-wissel
1488,$0.82 B,09-wissel
1489,-$55.79 M,09-wissel
1490,-$59.35 M,09-wissel
1491,$0.15 B,09-wissel
1492,-$0.14 B,09-wissel
1493,$0.26 B,09-wissel
1494,$22.09 M,09-wissel
1495,-$0.19 B,09-wissel
1496,$50.02 M,09-wissel
1497,-$51.64 M,09-wissel
1498,-$13.51 M,09-wissel
1499,-$0.16 B,09-wissel
1500,-$0.14 B,09-wissel
1501,$25.35 M,09-wissel
1502,-$40.53 M,09-wissel
1503,$16.19 M,09-wissel
1504,$50.91 M,09-wissel
1505,$16.27 M,09-wissel
1506,-$42.09 M,09-wissel
1507,-$0.18 B,09-wissel
1508,-$66.88 M,09-wissel
1509,-$65.06 M,09-wissel
1510,$0.22 B,09-wissel
1511,-$0.26 B,09-wissel
1512,-$56.16 M,09-wissel
1513,-$0.25 B,09-wissel
1514,-$51.38 M,09-wissel
1515,-$0.19 B,09-wissel
1516,$0.13 B,09-wissel
1517,-$16.95 M,09-wissel
1518,-$0.23 B,09-wissel
1519,$95.73 M,09-wissel
1520,-$0.13 B,09-wissel
1521,-$16.21 M,09-wissel
1522,$44.23 M,09-wissel
1523,-$0.16 B,09-wissel
1524,-$0.12 M,09-wissel
1525,-$14.82 M,09-wissel
1526,-$0.13 B,09-wissel
1527,-$16.43 M,09-wissel
1528,$36.66 M,09-wissel
1529,-$85.14 M,09-wissel
1530,-$0.25 B,09-wissel
1531,$0.36 B,09-wissel
1532,$27.27 M,09-wissel
1533,$20.36 M,09-wissel
1534,-$0.12 B,09-wissel
1535,-$52.02 M,09-wissel
1536,$63.58 M,09-wissel
1537,-$48.74 M,09-wissel
1538,-$35.68 M,09-wissel
1539,-$0.27 B,09-wissel
1540,$54.63 M,09-wissel
1541,-$0.26 B,09-wissel
1542,-$70.12 M,09-wissel
1543,-$0.15 B,09-wissel
1544,$1.42 B,09-wissel
1545,$45.93 M,09-wissel
1546,-$67.33 M,09-wissel
1547,-$1.66 B,09-wissel
1548,-$61.28 M,09-wissel
1549,-$73.58 M,09-wissel
1550,-$3.94 M,09-wissel
1551,-$32.48 M,09-wissel
1552,-$60.03 M,09-wissel
1553,$0.12 B,09-wissel
1554,-$0.11 B,09-wissel
1555,-$0.66 M,09-wissel
1556,-$7.14 M,09-wissel
1557,-$38.26 M,09-wissel
1558,-$0.16 B,09-wissel
1559,$0.31 B,09-wissel
1560,-$10.67 M,09-wissel
1561,-$83.86 M,09-wissel
1562,$12.11 M,09-wissel
1563,-$19.87 M,09-wissel
1564,$36.57 M,09-wissel
1565,,09-wissel
1566,-$0.16 B,09-wissel
1567,$1.42 M,09-wissel
1568,$27.18 M,09-wissel
1569,$0.52 B,09-wissel
1570,$14.99 M,09-wissel
1571,-$0.12 B,09-wissel
1572,-$25.55 M,09-wissel
1573,-$0.38 B,09-wissel
1574,-$0.11 B,09-wissel
1575,-$79.55 M,09-wissel
1576,$1.08 B,09-wissel
1577,-$81.62 M,09-wissel
1578,$35.16 M,09-wissel
1579,-$58.93 M,09-wissel
1580,,09-wissel
1581,-$0.16 B,09-wissel
1582,-$45.63 M,09-wissel
1583,$0.17 B,09-wissel
1584,$0.11 B,09-wissel
1585,-$0.23 B,09-wissel
1586,-$31.19 M,09-wissel
1587,$20.6 M,09-wissel
1588,$15.02 M,09-wissel
1589,-$56.47 M,09-wissel
1590,$0.51 B,09-wissel
1591,$2.17 M,09-wissel
1592,-$9.02 M,09-wissel
1593,-$57.54 M,09-wissel
1594,-$0.74 M,09-wissel
1595,-$19.19 M,09-wissel
1596,$75.17 M,09-wissel
1597,$35.98 M,09-wissel
1598,$20.24 M,09-wissel
1599,-$0.17 B,09-wissel
1600,-$63.34 M,09-wissel
1601,-$17.47 M,09-wissel
1602,$32.51 M,09-wissel
1603,-$0.23 B,09-wissel
1604,-$27.24 M,09-wissel
1605,-$0.15 B,09-wissel
1606,$0.12 B,09-wissel
1607,-$98.96 M,09-wissel
1608,-$79.35 M,09-wissel
1609,-$0.23 B,09-wissel
1610,-$0.24 B,09-wissel
1611,$3.08 B,09-wissel
1612,-$48.23 M,09-wissel
1613,$33.34 M,09-wissel
1614,$27.18 M,09-wissel
1615,-$0.16 B,09-wissel
1616,-$0.21 B,09-wissel
1617,$77.06 M,09-wissel
1618,-$4.29 M,09-wissel
1619,-$38.17 M,09-wissel
1620,$25.81 M,09-wissel
1621,-$78.78 M,09-wissel
1622,$59.28 M,09-wissel
1623,-$0.52 M,09-wissel
1624,-$29.51 M,09-wissel
1625,$56.71 M,09-wissel
1626,-$97.91 M,09-wissel
1627,$0.32 B,09-wissel
1628,-$14.22 M,09-wissel
1629,-$0.11 B,09-wissel
1630,-$0.51 B,09-wissel
1631,-$59.94 M,09-wissel
1632,$0.83 B,09-wissel
1633,-$22.18 M,09-wissel
1634,-$10.08 M,09-wissel
1635,-$86.36 M,09-wissel
1636,-$56.68 M,09-wissel
1637,$30.03 M,09-wissel
1638,-$17.05 M,09-wissel
1639,-$22.09 M,09-wissel
1640,-$52.89 M,09-wissel
1641,-$0.18 B,09-wissel
1642,-$0.13 B,09-wissel
1643,-$4.91 M,09-wissel
1644,-$20.92 M,09-wissel
1645,$20.33 M,09-wissel
1646,-$0.13 B,09-wissel
1647,$0.21 B,09-wissel
1648,-$72.37 M,09-wissel
1649,-$15.63 M,09-wissel
1650,-$12.54 M,09-wissel
1651,-$0.2 B,09-wissel
1652,$63.96 M,09-wissel
1653,-$0.17 B,09-wissel
1654,-$0.14 B,09-wissel
1655,-$1.2 M,09-wissel
1656,$23.34 M,09-wissel
1657,-$0.12 B,09-wissel
1658,-$49.6 M,09-wissel
1659,-$0.15 B,09-wissel
1660,$35.72 M,09-wissel
1661,-$23.62 M,09-wissel
1662,-$42.12 M,09-wissel
1663,-$0.13 B,09-wissel
1664,$0.84 B,09-wissel
1665,-$0.32 B,09-wissel
1666,-$8.1 M,09-wissel
1667,-$4.58 M,09-wissel
1668,$45.54 M,09-wissel
1669,$40.29 M,09-wissel
1670,$0.23 B,09-wissel
1671,-$0.14 B,09-wissel
1672,-$18.94 M,09-wissel
1673,$24.94 M,09-wissel
1674,-$34.97 M,09-wissel
1675,-$0.23 B,09-wissel
1676,-$0.15 B,09-wissel
1677,-$64.73 M,09-wissel
1678,-$18.2 M,09-wissel
1679,-$0.19 B,09-wissel
1680,$24.43 M,09-wissel
1681,$0.81 M,09-wissel
1682,-$2.74 M,09-wissel
1683,-$0.24 B,09-wissel
1684,$1.73 M,09-wissel
1685,-$0.12 B,09-wissel
1686,$0.12 B,09-wissel
1687,-$0.11 B,09-wissel
1688,$0.67 M,09-wissel
1689,-$0.14 B,09-wissel
1690,-$76.39 M,09-wissel
1691,$30.49 M,09-wissel
1692,$4.48 M,09-wissel
1693,$0.42 B,09-wissel
1694,-$87 M,09-wissel
1695,$39.5 M,09-wissel
1696,$6.92 M,09-wissel
1697,-$19 M,09-wissel
1698,-$0.16 B,09-wissel
1699,$0.12 B,09-wissel
1700,$45.64 M,09-wissel
1701,$0.51 B,09-wissel
1702,-$99.8 M,09-wissel
1703,$47.33 M,09-wissel
1704,-$21.76 M,09-wissel
1705,$58.59 M,09-wissel
1706,-$39.44 M,09-wissel
1707,-$3.11 M,09-wissel
1708,-$0.14 B,09-wissel
1709,$1.3 M,09-wissel
1710,-$0.16 B,09-wissel
1711,$37.71 M,09-wissel
1712,-$77.28 M,09-wissel
1713,$71.99 M,09-wissel
1714,-$71.04 M,09-wissel
1715,$4.98 M,09-wissel
1716,-$0.14 B,09-wissel
1717,$33.87 M,09-wissel
1718,-$0.11 B,09-wissel
1719,-$35.38 M,09-wissel
1720,$15.57 M,09-wissel
1721,-$0.17 B,09-wissel
1722,-$0.11 B,09-wissel
1723,$70.76 M,09-wissel
1724,-$68.47 M,09-wissel
1725,$15.44 M,09-wissel
1726,-$34.71 M,09-wissel
1727,-$61.21 M,09-wissel
1728,-$0.18 B,09-wissel
1729,-$70.2 M,09-wissel
1730,-$0.14 B,09-wissel
1731,-$0.14 B,09-wissel
1732,-$39.14 M,09-wissel
1733,-$90.13 M,09-wissel
1734,$35.58 M,09-wissel
1735,-$0.11 B,09-wissel
1736,-$74.44 M,09-wissel
1737,-$36.54 M,09-wissel
1738,-$0.11 B,09-wissel
1739,-$0.12 B,09-wissel
1740,-$72.25 M,09-wissel
1741,-$0.11 B,09-wissel
1742,-$0.13 B,09-wissel
1743,-$78.88 M,09-wissel
1744,-$94.78 M,09-wissel
1745,-$0.11 B,09-wissel
1746,-$64.03 M,09-wissel
1747,-$0.24 B,09-wissel
1748,-$45.89 M,09-wissel
1749,-$91.84 M,09-wissel
1750,$0.49 B,09-wissel
1751,$0.17 B,09-wissel
1752,$79.51 M,09-wissel
1753,-$29.76 M,09-wissel
1754,$37.72 M,09-wissel
1755,-$61.7 M,09-wissel
1756,$64.04 M,09-wissel
1757,-$59.24 M,09-wissel
1758,-$29.04 M,09-wissel
1759,-$12.06 M,09-wissel
1760,-$0.16 B,09-wissel
1761,-$49.33 M,09-wissel
1762,$65.85 M,09-wissel
1763,-$0.13 B,09-wissel
1764,$1.29 B,09-wissel
1765,$4.63 M,09-wissel
1766,-$95.39 M,09-wissel
