,earnings,team
209,$48.02 M,09-wissel
210,-$0.15 B,09-wissel
211,$0.11 B,09-wissel
212,-$0.35 B,09-wissel
213,$0.10 B,09-wissel
214,$0.12 B,09-wissel
215,$81 M,09-wissel
216,-$0.64 B,09-wissel
217,-$0.55 B,09-wissel
218,$0.36 B,09-wissel
219,$0.26 B,09-wissel
220,$31.75 M,09-wissel
221,$31.74 M,09-wissel
222,$0.10 B,09-wissel
223,$51.76 M,09-wissel
224,-$64.9 M,09-wissel
225,-$0.57 B,09-wissel
226,-$16.46 M,09-wissel
227,$0.14 B,09-wissel
228,$0.25 B,09-wissel
229,$96 M,09-wissel
230,$43.84 M,09-wissel
231,$0.25 B,09-wissel
232,$0.14 B,09-wissel
233,-$0.24 B,09-wissel
234,-$0.32 B,09-wissel
235,$29.93 M,09-wissel
236,-$0.14 B,09-wissel
237,$10.76 M,09-wissel
238,$1.84 B,09-wissel
239,$0.31 B,09-wissel
240,-$0.91 B,09-wissel
241,$0.11 B,09-wissel
242,$0.70 B,09-wissel
243,$0.12 B,09-wissel
244,-$0.22 B,09-wissel
245,$60.13 M,09-wissel
246,$0.26 B,09-wissel
247,-$0.39 B,09-wissel
248,$1.08 B,09-wissel
249,$0.28 B,09-wissel
250,$7.71 M,09-wissel
251,$0.22 B,09-wissel
252,$67.62 M,09-wissel
253,$92.83 M,09-wissel
254,$29.99 M,09-wissel
255,$0.41 B,09-wissel
256,$38.18 M,09-wissel
257,-$36.83 M,09-wissel
258,-$43.16 M,09-wissel
259,$55.24 M,09-wissel
260,$0.40 B,09-wissel
261,$0.17 B,09-wissel
262,$0.23 B,09-wissel
263,$0.12 B,09-wissel
264,$0.89 B,09-wissel
265,-$15.93 M,09-wissel
266,$0.29 B,09-wissel
267,$0.22 B,09-wissel
268,$0.33 B,09-wissel
269,$0.99 B,09-wissel
270,$0.64 B,09-wissel
271,$0.62 B,09-wissel
272,$0.15 B,09-wissel
273,-$0.05 M,09-wissel
274,$0.20 B,09-wissel
275,$0.28 B,09-wissel
276,$3.08 B,09-wissel
277,$0.32 B,09-wissel
278,$37.4 M,09-wissel
279,$0.20 B,09-wissel
280,$28.06 M,09-wissel
281,$57.54 M,09-wissel
282,$15.55 M,09-wissel
283,$59.63 M,09-wissel
284,$1.20 B,09-wissel
285,$0.11 B,09-wissel
286,-$0.13 B,09-wissel
287,$10.61 M,09-wissel
288,-$0.11 B,09-wissel
289,$6 M,09-wissel
290,-$83.03 M,09-wissel
291,-$15.88 M,09-wissel
292,$0.29 B,09-wissel
293,$0.21 B,09-wissel
294,$0.21 B,09-wissel
295,-$0.15 B,09-wissel
296,-$0.11 B,09-wissel
297,$0.14 B,09-wissel
298,-$0.4 B,09-wissel
299,$59.38 M,09-wissel
300,$62.63 M,09-wissel
301,-$0.87 B,09-wissel
302,$0.11 B,09-wissel
303,-$13.62 M,09-wissel
304,$59.3 M,09-wissel
305,$0.10 B,09-wissel
306,$38.44 M,09-wissel
307,-$0.13 B,09-wissel
308,$58.64 M,09-wissel
309,$0.10 B,09-wissel
310,$0.14 B,09-wissel
311,$75.7 M,09-wissel
312,$14.68 M,09-wissel
313,-$0.33 B,09-wissel
314,$0.35 B,09-wissel
315,$0.28 B,09-wissel
316,$0.49 B,09-wissel
317,$0.25 B,09-wissel
318,$5.91 B,09-wissel
319,-$0.13 B,09-wissel
320,$53.63 M,09-wissel
321,$41 M,09-wissel
322,$0.19 B,09-wissel
323,$0.29 B,09-wissel
324,-$0.67 B,09-wissel
325,$0.22 B,09-wissel
326,$0.22 B,09-wissel
327,-$12.47 M,09-wissel
328,$0.98 B,09-wissel
329,$0.34 B,09-wissel
330,$10.43 M,09-wissel
331,$0.55 B,09-wissel
332,$48.57 M,09-wissel
333,$32.67 M,09-wissel
334,-$0.21 B,09-wissel
335,-$0.13 B,09-wissel
336,-$0.15 B,09-wissel
337,$1.33 M,09-wissel
338,-$0.73 B,09-wissel
339,-$32.68 M,09-wissel
340,-$0.2 B,09-wissel
341,$0.25 B,09-wissel
342,-$0.17 B,09-wissel
343,$27.81 M,09-wissel
344,$0.53 B,09-wissel
345,$0.68 B,09-wissel
346,$0.22 B,09-wissel
347,$0.16 B,09-wissel
348,$0.81 B,09-wissel
349,$1.30 B,09-wissel
350,$0.15 B,09-wissel
351,$0.15 B,09-wissel
352,$16.96 M,09-wissel
353,-$1.26 B,09-wissel
354,$0.87 B,09-wissel
355,$0.95 B,09-wissel
356,$0.14 B,09-wissel
357,-$6.28 B,09-wissel
358,$0.26 B,09-wissel
359,$43.64 M,09-wissel
360,$0.20 B,09-wissel
361,-$84.25 M,09-wissel
362,$0.30 B,09-wissel
363,$0.28 B,09-wissel
364,-$1.88 M,09-wissel
365,-$0.13 B,09-wissel
366,$0.30 B,09-wissel
367,$0.12 B,09-wissel
368,$0.31 B,09-wissel
369,$80.9 M,09-wissel
370,$0.10 B,09-wissel
371,$0.11 B,09-wissel
372,-$29.82 M,09-wissel
373,$0.56 B,09-wissel
374,$0.11 B,09-wissel
375,$0.12 B,09-wissel
376,$0.87 B,09-wissel
377,$0.30 B,09-wissel
378,$0.83 B,09-wissel
379,$0.21 B,09-wissel
380,-$0.13 B,09-wissel
381,$0.11 B,09-wissel
382,$0.19 B,09-wissel
383,$0.23 B,09-wissel
384,$4.62 B,09-wissel
385,-$0.24 B,09-wissel
386,$0.14 B,09-wissel
387,$0.45 B,09-wissel
388,-$27.79 M,09-wissel
389,-$86 M,09-wissel
390,$0.14 B,09-wissel
391,$0.31 B,09-wissel
392,$0.25 B,09-wissel
393,$0.12 B,09-wissel
