,url,team
95,https://companiesmarketcap.com/dennys/marketcap/,09-wissel
96,https://companiesmarketcap.com/kratos-defense/marketcap/,09-wissel
97,https://companiesmarketcap.com/sportsman-warehouse/marketcap/,09-wissel
98,https://companiesmarketcap.com/smartsheet/marketcap/,09-wissel
99,https://companiesmarketcap.com/sharecare/marketcap/,09-wissel
100,https://companiesmarketcap.com/palantir/marketcap/,09-wissel
101,https://companiesmarketcap.com/glatfelter/marketcap/,09-wissel
102,https://companiesmarketcap.com/sprinklr/marketcap/,09-wissel
103,https://companiesmarketcap.com/kohlberg-kravis-roberts/marketcap/,09-wissel
104,https://companiesmarketcap.com/infinera/marketcap/,09-wissel
105,https://companiesmarketcap.com/vornado-realty-trust/marketcap/,09-wissel
106,https://companiesmarketcap.com/columbus-mckinnon/marketcap/,09-wissel
107,https://companiesmarketcap.com/globe-life/marketcap/,09-wissel
108,https://companiesmarketcap.com/essential-utilities/marketcap/,09-wissel
109,https://companiesmarketcap.com/simmons-first-national/marketcap/,09-wissel
110,https://companiesmarketcap.com/bright-health/marketcap/,09-wissel
111,https://companiesmarketcap.com/datadog/marketcap/,09-wissel
112,https://companiesmarketcap.com/fulton-financial/marketcap/,09-wissel
113,https://companiesmarketcap.com/homepoint/marketcap/,09-wissel
114,https://companiesmarketcap.com/consolidated-communications/marketcap/,09-wissel
115,https://companiesmarketcap.com/smiledirectclub/marketcap/,09-wissel
116,https://companiesmarketcap.com/lancaster-colony/marketcap/,09-wissel
117,https://companiesmarketcap.com/pinnacle-financial-partners/marketcap/,09-wissel
118,https://companiesmarketcap.com/heartland-express/marketcap/,09-wissel
119,"https://companiesmarketcap.com/nn/marketcap/,120,""NN, Inc."",NNBR,$89.93 M,$2.05,-$8.37 M,$0.49 B,,3.172,USA,0.2850918769836426,0.0010006427764892578,0.0,0.0,0.0,0.0,0.001016378402709961,0.0",09-wissel
120,https://companiesmarketcap.com/toast/marketcap/,09-wissel
121,https://companiesmarketcap.com/us-physical-therapy/marketcap/,09-wissel
122,https://companiesmarketcap.com/nv5-global/marketcap/,09-wissel
123,https://companiesmarketcap.com/suburban-propane-partners/marketcap/,09-wissel
124,https://companiesmarketcap.com/world-acceptance-corp/marketcap/,09-wissel
125,https://companiesmarketcap.com/circor-international/marketcap/,09-wissel
126,https://companiesmarketcap.com/spx-corp/marketcap/,09-wissel
127,https://companiesmarketcap.com/unifi/marketcap/,09-wissel
128,https://companiesmarketcap.com/sigmatron-international/marketcap/,09-wissel
129,https://companiesmarketcap.com/east-west-bancorp/marketcap/,09-wissel
130,https://companiesmarketcap.com/powerschool/marketcap/,09-wissel
131,https://companiesmarketcap.com/bg-foods/marketcap/,09-wissel
132,https://companiesmarketcap.com/one-medical/marketcap/,09-wissel
133,https://companiesmarketcap.com/hain-celestial/marketcap/,09-wissel
134,https://companiesmarketcap.com/coupa/marketcap/,09-wissel
135,https://companiesmarketcap.com/cohu/marketcap/,09-wissel
136,https://companiesmarketcap.com/moneygram/marketcap/,09-wissel
137,https://companiesmarketcap.com/cloudflare/marketcap/,09-wissel
138,https://companiesmarketcap.com/elastic/marketcap/,09-wissel
139,https://companiesmarketcap.com/altair-engineering/marketcap/,09-wissel
140,https://companiesmarketcap.com/amc-entertainment/marketcap/,09-wissel
141,https://companiesmarketcap.com/biomarin/marketcap/,09-wissel
142,https://companiesmarketcap.com/digital-realty/marketcap/,09-wissel
143,https://companiesmarketcap.com/malibu-boats/marketcap/,09-wissel
144,https://companiesmarketcap.com/roku/marketcap/,09-wissel
145,https://companiesmarketcap.com/portland-general-electric/marketcap/,09-wissel
146,https://companiesmarketcap.com/clearwater-paper/marketcap/,09-wissel
147,https://companiesmarketcap.com/select-energy-services/marketcap/,09-wissel
148,https://companiesmarketcap.com/express/marketcap/,09-wissel
149,https://companiesmarketcap.com/lands-end/marketcap/,09-wissel
150,https://companiesmarketcap.com/bio-techne/marketcap/,09-wissel
151,https://companiesmarketcap.com/kadant/marketcap/,09-wissel
152,https://companiesmarketcap.com/sotera-health/marketcap/,09-wissel
153,https://companiesmarketcap.com/invitae/marketcap/,09-wissel
154,https://companiesmarketcap.com/barnes-noble-education/marketcap/,09-wissel
155,https://companiesmarketcap.com/taylor-morrison/marketcap/,09-wissel
156,https://companiesmarketcap.com/covenant-logistics/marketcap/,09-wissel
157,https://companiesmarketcap.com/arista-networks/marketcap/,09-wissel
158,https://companiesmarketcap.com/united-bankshares/marketcap/,09-wissel
159,https://companiesmarketcap.com/cf-industries/marketcap/,09-wissel
160,https://companiesmarketcap.com/bowlero/marketcap/,09-wissel
161,https://companiesmarketcap.com/armstrong-world-industries/marketcap/,09-wissel
162,https://companiesmarketcap.com/skillsoft/marketcap/,09-wissel
163,https://companiesmarketcap.com/preformed-line-products/marketcap/,09-wissel
164,https://companiesmarketcap.com/marcus-corp/marketcap/,09-wissel
165,https://companiesmarketcap.com/bristow-group/marketcap/,09-wissel
166,https://companiesmarketcap.com/azenta/marketcap/,09-wissel
167,https://companiesmarketcap.com/g-iii-apparel/marketcap/,09-wissel
168,https://companiesmarketcap.com/sterling-construction/marketcap/,09-wissel
169,https://companiesmarketcap.com/casella/marketcap/,09-wissel
170,https://companiesmarketcap.com/nuvasive/marketcap/,09-wissel
171,https://companiesmarketcap.com/seneca-foods/marketcap/,09-wissel
172,https://companiesmarketcap.com/thredup/marketcap/,09-wissel
173,https://companiesmarketcap.com/cubesmart/marketcap/,09-wissel
174,https://companiesmarketcap.com/primerica/marketcap/,09-wissel
175,https://companiesmarketcap.com/procore/marketcap/,09-wissel
176,https://companiesmarketcap.com/black-hills/marketcap/,09-wissel
177,https://companiesmarketcap.com/aaon/marketcap/,09-wissel
