,categories,change1d,change1y,change_1_day,change_1_year,change_1day_,change_1year_,code,codice,company_code,country,earnings,employees,id,market_cap,market_capitalization_usd,marketcap,master_cap,name,price,pricecap,rank,revenue,share_price,shareprice,shares,symbol,url
country,0.125,0.16666666666666666,0.2,0.1111111111111111,0.1,0.1111111111111111,0.1,0.2,0.2,0.1111111111111111,0.0,0.14285714285714285,0.1111111111111111,0.14285714285714285,0.1111111111111111,0.043478260869565216,0.125,0.1111111111111111,0.16666666666666666,0.14285714285714285,0.125,0.16666666666666666,0.14285714285714285,0.1,0.1111111111111111,0.14285714285714285,0.14285714285714285,0.2
earnings,0.125,0.14285714285714285,0.14285714285714285,0.09090909090909091,0.08333333333333333,0.09090909090909091,0.08333333333333333,0.125,0.14285714285714285,0.09090909090909091,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.125,0.05,0.14285714285714285,0.1111111111111111,0.14285714285714285,0.16666666666666666,0.125,0.16666666666666666,0.14285714285714285,0.1111111111111111,0.125,0.16666666666666666,0.125,0.14285714285714285
employees,0.14285714285714285,0.125,0.125,0.08333333333333333,0.09090909090909091,0.08333333333333333,0.09090909090909091,0.14285714285714285,0.125,0.1111111111111111,0.1111111111111111,0.14285714285714285,0.0,0.1111111111111111,0.1,0.05,0.1111111111111111,0.1,0.125,0.14285714285714285,0.125,0.1111111111111111,0.125,0.1,0.1,0.14285714285714285,0.125,0.125
id,0.1111111111111111,0.14285714285714285,0.125,0.09090909090909091,0.07692307692307693,0.09090909090909091,0.07692307692307693,0.3333333333333333,0.2,0.09090909090909091,0.14285714285714285,0.14285714285714285,0.1111111111111111,0.0,0.1,0.043478260869565216,0.1111111111111111,0.1,0.25,0.25,0.14285714285714285,0.25,0.14285714285714285,0.1,0.1111111111111111,0.16666666666666666,0.16666666666666666,0.3333333333333333
market_cap,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.125,0.1111111111111111,0.1111111111111111,0.1,0.1111111111111111,0.1111111111111111,0.1,0.1111111111111111,0.125,0.1,0.1,0.0,0.06666666666666667,1.0,0.3333333333333333,0.125,0.125,0.16666666666666666,0.125,0.125,0.1111111111111111,0.125,0.125,0.1,0.1111111111111111
market_capitalization_usd,0.05,0.047619047619047616,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.047619047619047616,0.047619047619047616,0.043478260869565216,0.043478260869565216,0.045454545454545456,0.043478260869565216,0.05,0.05,0.043478260869565216,0.06666666666666667,0.0,0.0625,0.05555555555555555,0.043478260869565216,0.043478260869565216,0.047619047619047616,0.045454545454545456,0.047619047619047616,0.05,0.047619047619047616,0.045454545454545456,0.041666666666666664,0.043478260869565216
marketcap,0.1111111111111111,0.125,0.125,0.1111111111111111,0.1,0.1111111111111111,0.1,0.125,0.125,0.1,0.125,0.14285714285714285,0.1111111111111111,0.1111111111111111,1.0,0.0625,0.0,0.25,0.14285714285714285,0.14285714285714285,0.2,0.14285714285714285,0.125,0.1111111111111111,0.125,0.14285714285714285,0.1111111111111111,0.125
master_cap,0.125,0.1111111111111111,0.1111111111111111,0.125,0.1111111111111111,0.1111111111111111,0.1,0.1111111111111111,0.1111111111111111,0.1,0.1111111111111111,0.1111111111111111,0.1,0.1,0.3333333333333333,0.05555555555555555,0.25,0.0,0.125,0.125,0.16666666666666666,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.125,0.125,0.1111111111111111,0.1111111111111111
name,0.125,0.16666666666666666,0.16666666666666666,0.1,0.09090909090909091,0.1,0.09090909090909091,0.3333333333333333,0.2,0.1,0.16666666666666666,0.14285714285714285,0.125,0.25,0.125,0.043478260869565216,0.14285714285714285,0.125,0.0,0.25,0.14285714285714285,0.3333333333333333,0.16666666666666666,0.1111111111111111,0.125,0.25,0.2,0.25
price,0.125,0.14285714285714285,0.14285714285714285,0.09090909090909091,0.08333333333333333,0.09090909090909091,0.08333333333333333,0.25,0.3333333333333333,0.1111111111111111,0.14285714285714285,0.16666666666666666,0.14285714285714285,0.25,0.125,0.043478260869565216,0.14285714285714285,0.125,0.25,0.0,0.3333333333333333,0.25,0.16666666666666666,0.16666666666666666,0.2,0.2,0.16666666666666666,0.25
pricecap,0.1,0.125,0.125,0.1,0.09090909090909091,0.1,0.09090909090909091,0.14285714285714285,0.16666666666666666,0.1,0.125,0.125,0.125,0.14285714285714285,0.16666666666666666,0.047619047619047616,0.2,0.16666666666666666,0.14285714285714285,0.3333333333333333,0.0,0.14285714285714285,0.16666666666666666,0.1111111111111111,0.125,0.14285714285714285,0.125,0.14285714285714285
rank,0.1111111111111111,0.16666666666666666,0.16666666666666666,0.1,0.09090909090909091,0.1,0.09090909090909091,0.25,0.16666666666666666,0.1,0.16666666666666666,0.16666666666666666,0.1111111111111111,0.25,0.125,0.045454545454545456,0.14285714285714285,0.1111111111111111,0.3333333333333333,0.25,0.14285714285714285,0.0,0.2,0.1,0.1111111111111111,0.2,0.16666666666666666,0.25
revenue,0.125,0.14285714285714285,0.14285714285714285,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.16666666666666666,0.16666666666666666,0.1,0.14285714285714285,0.14285714285714285,0.125,0.14285714285714285,0.125,0.047619047619047616,0.125,0.1111111111111111,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.2,0.0,0.125,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285
share_price,0.14285714285714285,0.1111111111111111,0.1111111111111111,0.125,0.1111111111111111,0.125,0.1111111111111111,0.1,0.125,0.1,0.1,0.1111111111111111,0.1,0.1,0.1111111111111111,0.05,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.16666666666666666,0.1111111111111111,0.1,0.125,0.0,1.0,0.16666666666666666,0.1,0.1
shareprice,0.14285714285714285,0.125,0.125,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1,0.1111111111111111,0.14285714285714285,0.1,0.1111111111111111,0.125,0.1,0.1111111111111111,0.125,0.047619047619047616,0.125,0.125,0.125,0.2,0.125,0.1111111111111111,0.14285714285714285,1.0,0.0,0.2,0.1111111111111111,0.1111111111111111
shares,0.14285714285714285,0.2,0.2,0.1111111111111111,0.1,0.1111111111111111,0.1,0.2,0.16666666666666666,0.09090909090909091,0.14285714285714285,0.16666666666666666,0.14285714285714285,0.16666666666666666,0.125,0.045454545454545456,0.14285714285714285,0.125,0.25,0.2,0.14285714285714285,0.2,0.14285714285714285,0.16666666666666666,0.2,0.0,0.2,0.2
symbol,0.1111111111111111,0.125,0.125,0.08333333333333333,0.07692307692307693,0.08333333333333333,0.08333333333333333,0.16666666666666666,0.16666666666666666,0.1,0.14285714285714285,0.125,0.125,0.16666666666666666,0.1,0.041666666666666664,0.1111111111111111,0.1111111111111111,0.2,0.16666666666666666,0.125,0.16666666666666666,0.14285714285714285,0.1,0.1111111111111111,0.2,0.0,0.2
url,0.1111111111111111,0.125,0.125,0.08333333333333333,0.07692307692307693,0.08333333333333333,0.08333333333333333,0.25,0.16666666666666666,0.08333333333333333,0.2,0.14285714285714285,0.125,0.3333333333333333,0.1111111111111111,0.043478260869565216,0.125,0.1111111111111111,0.25,0.25,0.14285714285714285,0.25,0.14285714285714285,0.1,0.1111111111111111,0.2,0.2,0.0
