,categories,change1d,change1y,change_1_day,change_1_year,change_1day_,change_1year_,code,codice,company_code,country,earnings,employees,id,market_cap,market_capitalization_usd,marketcap,master_cap,name,price,pricecap,rank,revenue,share_price,shareprice,shares,symbol,url
categories,0.0,0.125,0.125,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1,0.14285714285714285,0.14285714285714285,0.1,0.125,0.125,0.14285714285714285,0.1111111111111111,0.1111111111111111,0.05,0.1111111111111111,0.125,0.125,0.125,0.1,0.1111111111111111,0.125,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.1111111111111111,0.1111111111111111
change1d,0.125,0.0,1.0,0.25,0.16666666666666666,0.25,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.125,0.16666666666666666,0.14285714285714285,0.125,0.14285714285714285,0.1111111111111111,0.047619047619047616,0.125,0.1111111111111111,0.16666666666666666,0.14285714285714285,0.125,0.16666666666666666,0.14285714285714285,0.1111111111111111,0.125,0.2,0.125,0.125
change1y,0.125,1.0,0.0,0.25,0.2,0.25,0.2,0.16666666666666666,0.16666666666666666,0.1111111111111111,0.2,0.14285714285714285,0.125,0.125,0.1111111111111111,0.045454545454545456,0.125,0.1111111111111111,0.16666666666666666,0.14285714285714285,0.125,0.16666666666666666,0.14285714285714285,0.1111111111111111,0.125,0.2,0.125,0.125
change_1_day,0.1111111111111111,0.25,0.25,0.0,0.3333333333333333,0.5,0.25,0.1,0.1,0.1111111111111111,0.1111111111111111,0.09090909090909091,0.08333333333333333,0.09090909090909091,0.125,0.045454545454545456,0.1111111111111111,0.125,0.1,0.09090909090909091,0.1,0.1,0.09090909090909091,0.125,0.1111111111111111,0.1111111111111111,0.08333333333333333,0.08333333333333333
change_1_year,0.1111111111111111,0.16666666666666666,0.2,0.3333333333333333,0.0,0.2,0.5,0.09090909090909091,0.09090909090909091,0.1,0.1,0.08333333333333333,0.09090909090909091,0.07692307692307693,0.1111111111111111,0.045454545454545456,0.1,0.1111111111111111,0.09090909090909091,0.08333333333333333,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.1111111111111111,0.1111111111111111,0.1,0.07692307692307693,0.07692307692307693
change_1day_,0.1111111111111111,0.25,0.25,0.5,0.2,0.0,0.3333333333333333,0.1,0.1,0.1,0.1111111111111111,0.09090909090909091,0.08333333333333333,0.09090909090909091,0.1111111111111111,0.047619047619047616,0.1111111111111111,0.1111111111111111,0.1,0.09090909090909091,0.1,0.1,0.09090909090909091,0.125,0.1111111111111111,0.1111111111111111,0.08333333333333333,0.08333333333333333
change_1year_,0.1,0.16666666666666666,0.2,0.25,0.5,0.3333333333333333,0.0,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.1,0.08333333333333333,0.09090909090909091,0.07692307692307693,0.1,0.047619047619047616,0.1,0.1,0.09090909090909091,0.08333333333333333,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.1111111111111111,0.1,0.1,0.08333333333333333,0.08333333333333333
code,0.14285714285714285,0.16666666666666666,0.16666666666666666,0.1,0.09090909090909091,0.1,0.09090909090909091,0.0,0.5,0.125,0.2,0.125,0.14285714285714285,0.3333333333333333,0.1111111111111111,0.043478260869565216,0.125,0.1111111111111111,0.3333333333333333,0.25,0.14285714285714285,0.25,0.16666666666666666,0.1,0.1111111111111111,0.2,0.16666666666666666,0.25
codice,0.14285714285714285,0.16666666666666666,0.16666666666666666,0.1,0.09090909090909091,0.1,0.09090909090909091,0.5,0.0,0.125,0.2,0.14285714285714285,0.125,0.2,0.1111111111111111,0.043478260869565216,0.125,0.1111111111111111,0.2,0.3333333333333333,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.125,0.14285714285714285,0.16666666666666666,0.16666666666666666,0.16666666666666666
company_code,0.1,0.125,0.1111111111111111,0.1111111111111111,0.1,0.1,0.09090909090909091,0.125,0.125,0.0,0.1111111111111111,0.09090909090909091,0.1111111111111111,0.09090909090909091,0.1,0.045454545454545456,0.1,0.1,0.1,0.1111111111111111,0.1,0.1,0.1,0.1,0.1,0.09090909090909091,0.1,0.08333333333333333
