,employees,team
266,2.44,09-wissel
267,2.439,09-wissel
268,2.43,09-wissel
269,2.43,09-wissel
270,2.429,09-wissel
271,2.424,09-wissel
272,2.416,09-wissel
273,2.41,09-wissel
274,2.409,09-wissel
275,2.408,09-wissel
276,2.4,09-wissel
277,2.4,09-wissel
278,2.4,09-wissel
279,2.4,09-wissel
280,2.4,09-wissel
281,2.4,09-wissel
282,2.4,09-wissel
283,2.4,09-wissel
284,2.4,09-wissel
285,2.4,09-wissel
286,2.4,09-wissel
287,2.386,09-wissel
288,2.379,09-wissel
289,2.375,09-wissel
290,2.375,09-wissel
291,2.373,09-wissel
292,2.371,09-wissel
293,2.368,09-wissel
294,2.358,09-wissel
295,2.353,09-wissel
296,2.351,09-wissel
297,2.35,09-wissel
298,2.35,09-wissel
299,2.34,09-wissel
300,2.308,09-wissel
301,2.304,09-wissel
302,2.3,09-wissel
303,2.3,09-wissel
304,2.3,09-wissel
305,2.3,09-wissel
306,2.3,09-wissel
307,2.3,09-wissel
308,2.3,09-wissel
309,2.293,09-wissel
310,2.288,09-wissel
311,2.287,09-wissel
312,2.282,09-wissel
313,2.269,09-wissel
314,2.26,09-wissel
315,2.26,09-wissel
316,2.257,09-wissel
317,2.257,09-wissel
318,2.253,09-wissel
319,2.251,09-wissel
320,2.25,09-wissel
321,2.25,09-wissel
322,2.25,09-wissel
323,2.25,09-wissel
324,2.249,09-wissel
325,2.248,09-wissel
326,2.247,09-wissel
327,2.246,09-wissel
328,2.244,09-wissel
329,2.241,09-wissel
330,2.237,09-wissel
331,2.225,09-wissel
332,2.225,09-wissel
333,2.219,09-wissel
334,2.217,09-wissel
335,2.216,09-wissel
336,2.212,09-wissel
337,2.205,09-wissel
338,2.2,09-wissel
339,2.2,09-wissel
340,2.2,09-wissel
341,2.2,09-wissel
342,2.2,09-wissel
343,2.2,09-wissel
344,2.2,09-wissel
345,2.2,09-wissel
346,2.2,09-wissel
347,2.191,09-wissel
348,2.188,09-wissel
349,2.185,09-wissel
350,2.185,09-wissel
351,2.181,09-wissel
352,2.172,09-wissel
353,2.172,09-wissel
354,2.17,09-wissel
355,2.16,09-wissel
356,2.157,09-wissel
357,2.153,09-wissel
358,2.15,09-wissel
359,2.148,09-wissel
360,2.146,09-wissel
361,2.138,09-wissel
362,2.132,09-wissel
363,2.115,09-wissel
364,2.108,09-wissel
365,2.105,09-wissel
366,2.104,09-wissel
367,2.103,09-wissel
368,2.101,09-wissel
369,2.1,09-wissel
370,2.1,09-wissel
371,2.1,09-wissel
372,2.1,09-wissel
373,2.094,09-wissel
374,2.088,09-wissel
375,2.081,09-wissel
376,2.08,09-wissel
377,2.074,09-wissel
378,2.073,09-wissel
