,link,rank,name,ceo,founded,revenue,country,industry
0,https://www.value.today/company/apple,1,APPLE,Tim Cook,1976,"365,820 Million USD",USA,"['Technology', 'Mobiles & Accessories', 'Electronics', 'Consumer Electronics', 'Computers Hardware', 'Software and IT', 'Music', 'Tablets', 'Technology Hardware and Instruments', 'Retail', 'Artificial Intelligence', 'Laptops', 'Software Products']"
1,https://www.value.today/company/taiwan-semiconductor-manufacturing-company,10,TAIWAN SEMICONDUCTOR MANUFACTURING COMPANY (TSMC),Mark Liu,1987,"55,306 Million USD",Taiwan,"['Technology', 'Semiconductors', 'Electronics', 'Technology Hardware and Instruments', 'Processors / Chips']"
2,https://www.value.today/company/microsoft-corporation,2,MICROSOFT CORPORATION,Satya Nadella,1975,"198,270 Million USD",USA,"['Technology', 'Software and IT', 'Laptops', 'Video Games / Mobile Games / Tech Games / Casino Games', 'Gaming', 'Internet or Mobile App Based Business', 'Computers Hardware', 'Tablets', 'Cloud Services', 'Artificial Intelligence', 'Internet of Things', 'Media', 'Electronics', 'Consumer Electronics', 'Advertising']"
3,https://www.value.today/company/nvidia-corporation,9,NVIDIA CORPORATION,Jensen Huang,1993,"26,914 Million USD",USA,"['Technology', 'Semiconductors', 'Electronics', 'Technology Hardware and Instruments', 'Computers Hardware', 'Video Games / Mobile Games / Tech Games / Casino Games', 'Artificial Intelligence']"
4,https://www.value.today/company/amazon.com,5,AMAZON.COM,Andy Jassy,1994,"469,820 Million USD",USA,"['eCommerce', 'Internet or Mobile App Based Business', 'Cloud Services', 'Software and IT', 'Artificial Intelligence', 'Technology', 'Consulting Services', 'Consumer Services', 'Software Products', 'Retail']"
5,https://www.value.today/company/saudi-arabian-oil-company,3,SAUDI ARABIAN OIL COMPANY (Saudi Aramco),H.E. Yasir Othman Al-Rumayyan,1933,"400,460 Million USD",Saudi Arabia,"['Energy', 'Oil and Gas', 'Chemicals', 'Oil Refining', 'Oil and Gas Pipeline Transport', 'Integrated Oil and Gas Companies']"
6,https://www.value.today/company/berkshire-hathaway,8,BERKSHIRE HATHAWAY,Warren Buffett,1839,"354,640 Million USD",USA,"['Financial Services', 'Investments', 'Insurance']"
7,https://www.value.today/company/alphabet,4,ALPHABET,John L. Hennessy,2015,"257,640 Million USD",USA,"['Technology', 'Internet or Mobile App Based Business', 'Software and IT', 'Software Products', 'Cloud Services', 'Artificial Intelligence', 'Internet of Things', 'Gaming', 'Video Games / Mobile Games / Tech Games / Casino Games', 'Advertising', 'Media']"
8,https://www.value.today/company/tesla,6,TESLA,Elon Musk,2003,"53,823 Million USD",USA,"['Electric Vehicles', 'Cars', 'Automobile', 'Solar Power Devices', 'Capital Goods', 'Power Equipment', 'Technology', 'Passenger Vehicles', 'Batteries', 'Electric Vehicle Charging Station']"
9,https://www.value.today/company/facebook,7,META PLATFORMS,Mark Zuckerberg,2004,"117,930 Million USD",USA,"['Communication Services', 'Internet or Mobile App Based Business', 'Social Media', 'Artificial Intelligence', 'Internet of Things', 'Advertising', 'Technology', 'Media', 'Software and IT', 'Software Products']"
10,https://www.value.today/company/samsung-electronics,15,SAMSUNG ELECTRONICS,Lee Kun-hee,1969,"229,280 Million USD",South Korea,"['Technology', 'Electronics', 'Semiconductors', 'Mobiles & Accessories', 'Cameras & Accessories', 'Tablets', 'Home Appliances', 'Refrigerators', 'Air Conditioners', 'Washing Machines', ""TV's"", 'Consumer Electronics']"
11,https://www.value.today/company/walmart,20,WALMART,Doug McMillon,1962,"572,750 Million USD",USA,"['Retail', 'Super Markets', 'eCommerce', 'Hypermarkets', 'Consumer Services']"
12,https://www.value.today/company/home-depot,17,HOME DEPOT,Frank Blake,1978,"151,160 Million USD",USA,"['Retail', 'eCommerce', 'Construction Materials', 'Consumer Services']"
13,https://www.value.today/company/lvmh,18,LVMH,Bernard Arnault,1987,"70,765 Million USD",France,"['Fashion and Luxury Goods', 'Non-Alcoholic Beverages', 'Clothing', 'Jewellery', 'Watches', 'FMCG', 'Luxury Goods', 'Consumer Goods', 'Beverages']"
