name,code,rank,marketcap,country,sharePrice,change(1day),change(1year),categories
Chipotle Mexican Grill,CMG,397,$41.84 B,USA,"$1,509",0.07%,-11.82%,"['Restaurantchains', 'Food']"
Biogen,BIIB,393,$42.06 B,USA,$292.15,0.23%,28.80%,"['Pharmaceuticals', 'Biotech']"
Infineon,IFX.DE,390,$42.45 B,Germany,$32.60,0.52%,-32.64%,"['Semiconductors', 'Tech', 'DAX', 'TechHardware']"
NXP Semiconductors,NXPI,389,$42.48 B,Netherlands,$163.95,0.53%,-31.37%,"['Semiconductors', 'Tech', 'TechHardware']"
Workday,WDAY,391,$42.33 B,USA,$164.72,2.08%,-41.22%,"['Software', 'Tech']"
BCE,BCE,387,$42.68 B,Canada,$46.62,-0.15%,-10.88%,"['Telecommunication', 'MediaPress']"
Sysco,SYY,388,$42.66 B,USA,$84.19,-0.08%,15.46%,[]
Republic Services,RSG,385,$42.84 B,USA,$135.57,-0.97%,-0.02%,['WasteRecycling']
Ecolab,ECL,392,$42.14 B,USA,$147.97,-0.31%,-35.88%,[]
TC Energy,TRP,386,$42.69 B,Canada,$42.52,-0.09%,-9.82%,"['OilGas', 'Transportation', 'Energy', 'Infrastructure']"
Chugai Pharmaceutical,4519.T,382,$43.33 B,Japan,$26.35,-1.18%,-17.60%,"['Pharmaceuticals', 'Biotech']"
MercadoLibre,MELI,380,$43.44 B,Argentina,$863.81,0.08%,-26.69%,"['ECommerce', 'Internet', 'Tech']"
Enphase Energy,ENPH,384,$43.09 B,USA,$317.05,2.36%,42.46%,"['Software', 'Tech', 'Electronics']"
Fortescue,FMG.AX,383,$43.11 B,Australia,$14.00,-1.75%,10.76%,['Mining']
The Travelers Companies,TRV,377,$44.06 B,USA,$188.05,-0.24%,22.84%,"['Dowjones', 'Insurance']"
ING,ING,379,$43.92 B,Netherlands,$11.79,-0.08%,-16.91%,"['Banks', 'Financialservices']"
Cadence Design Systems,CDNS,378,$44.05 B,USA,$160.59,-1.88%,-12.14%,"['Software', 'Tech', 'Electronics', 'TechHardware']"
Paychex,PAYX,381,$43.40 B,USA,$120.44,-0.16%,-2.18%,['Professionalservices']
Consolidated Edison,ED,500,$34.27 B,USA,$96.59,-0.99%,18.43%,"['Electricity', 'Energy']"
Marvell Technology Group,MRVL,496,$34.47 B,USA,$40.41,-1.65%,-55.84%,"['Tech', 'Semiconductors', 'TechHardware', 'Manufacturing']"
Xiaomi,XIACF,499,$34.29 B,China,$1.40,-3.51%,-43.55%,"['Electronics', 'Tech', 'TechHardware']"
Cummins,CMI,498,$34.40 B,USA,$243.94,-0.75%,11.00%,"['Machinerymanufacturing', 'Manufacturing']"
DSV,DSV.VI,494,$34.50 B,Denmark,$154.79,0.48%,-28.10%,['Transportation']
Allstate,ALL,495,$34.50 B,USA,$130.11,-0.15%,18.02%,['Insurance']
AmerisourceBergen,ABC,497,$34.47 B,USA,$170.29,0.57%,42.48%,['Healthcare']
WuXi AppTec,2359.HK,493,$34.62 B,China,$10.15,6.11%,-50.51%,"['Pharmaceuticals', 'Medicaldevices', 'Biotech']"
Dupont De Nemours,DD,492,$34.62 B,USA,$69.70,-0.39%,-10.11%,['Chemicals']
Hapag-Lloyd,HLAG.DE,491,$34.66 B,Germany,$197.25,-0.64%,-22.12%,"['Transportation', 'Containershipping', 'Maritimetransportation']"
IDEXX Laboratories,IDXX,489,$34.79 B,USA,$420.10,1.13%,-31.29%,[]
STMicroelectronics,STM,488,$34.86 B,Switzerland,$37.69,-0.19%,-24.82%,"['CAC40', 'Semiconductors', 'Tech', 'TechHardware', 'Manufacturing']"
Hoya,7741.T,486,$34.89 B,Japan,$97.90,-0.48%,-38.05%,"['Glassesandcontactlenses', 'Manufacturing']"
Axis Bank,AXISBANK.BO,487,$34.89 B,India,$11.40,2.71%,25.00%,"['Banks', 'Financialservices']"
Electronic Arts,EA,490,$34.78 B,USA,$126.01,-1.10%,-0.11%,"['Videogames', 'Esports', 'Entertainment', 'Tech']"
Banco Bilbao Vizcaya Argentaria,BBVA,485,$35.08 B,Spain,$5.76,0.00%,0.52%,"['Banks', 'Financialservices']"
Walgreens Boots Alliance,WBA,484,$35.15 B,USA,$40.65,0.15%,-15.72%,"['Dowjones', 'Retail', 'Drugstore', 'Pharmaceuticals']"
7-Eleven,3382.T,481,$35.48 B,Japan,$40.18,0.15%,-6.25%,"['SupermarketChains', 'Retail']"
Jardine Matheson,J36.SI,479,$35.50 B,Hong Kong,$49.25,1.71%,-9.83%,"['Conglomerate', 'Investment']"
Cenovus Energy,CVE,483,$35.21 B,Canada,$18.29,-0.76%,42.56%,"['OilGas', 'Energy']"
Samsung SDI,006405.KS,482,$35.24 B,South Korea,$240.70,-0.63%,-17.15%,"['Electricity', 'Batteries']"
China State Construction Engineering,601668.SS,480,$35.48 B,China,$0.85,0.34%,10.39%,"['Construction', 'Engineering']"
Jiangsu Hengrui Medicine,600276.SS,478,$35.56 B,China,$5.58,-4.21%,-29.10%,"['Pharmaceuticals', 'Biotech']"
Anta Sports,AS7.F,503,$33.97 B,China,$12.30,1.30%,-23.79%,['Sportsgoods']
Capital One,COF,477,$35.58 B,USA,$93.23,-0.85%,-37.25%,"['Banks', 'Financialservices']"
Ahold Delhaize,AD.AS,598,$29.20 B,Netherlands,$29.53,-0.74%,-13.98%,"['Retail', 'Food', 'SupermarketChains']"
Loblaw Companies,L.TO,600,$28.99 B,Canada,$89.52,0.94%,16.53%,[]
Eversource Energy,ES,599,$29.17 B,USA,$83.76,-0.71%,-4.05%,"['Energy', 'Utilitycompanies', 'Electricity']"
Rockwell Automation,ROK,597,$29.25 B,USA,$254.77,-0.78%,-27.37%,[]
SMC corp,6273.T,596,$29.45 B,Japan,$450.86,0.65%,-32.80%,[]
Cement Roadstone Holding,CRH,594,$29.50 B,Ireland,$39.54,-0.23%,-23.21%,"['Cement', 'Buildingmaterials']"
Henkel,HEN3.DE,595,$29.48 B,Germany,$70.79,-0.06%,-12.74%,"['DAX', 'Chemicals', 'Consumergoods']"
State Street Corporation,STT,593,$29.52 B,USA,$80.45,8.19%,-15.23%,"['Financialservices', 'Banks']"
Givaudan,GIVN.SW,592,$29.57 B,Switzerland,"$3,205",-1.15%,-37.43%,"['FlavorsFragrances', 'CosmeticsandBeauty']"
W. W. Grainger,GWW,591,$29.63 B,USA,$586.41,1.05%,15.50%,[]
Crédit Agricole,ACA.PA,586,$29.81 B,France,$9.79,-0.37%,-30.42%,"['Banks', 'Financialservices', 'CAC40']"
Telus,TU,590,$29.66 B,Canada,$20.88,-0.48%,-11.60%,['Telecommunication']
D. R. Horton,DHI,589,$29.70 B,USA,$86.27,2.81%,-18.74%,['Construction']
Restaurant Brands International,QSR,588,$29.72 B,Canada,$65.93,0.66%,9.83%,"['Restaurantchains', 'Food']"
RWE,RWE.DE,587,$29.74 B,Germany,$43.99,-0.88%,11.03%,"['Electricity', 'DAX', 'Energy']"
WEC Energy Group,WEC,585,$29.83 B,USA,$94.59,-0.87%,2.44%,[]
AIER Eye Hospital,300015.SZ,583,$29.90 B,China,$4.17,-0.24%,-38.13%,"['Healthcare', 'MedicalCareFacilities']"
Dell,DELL,580,$30.02 B,USA,$41.92,-1.30%,-28.84%,"['Tech', 'TechHardware', 'Electronics']"
Constellation Energy,CEG,578,$30.07 B,USA,$91.97,1.31%,,"['Energy', 'Electricity', 'Utilitycompanies']"
MTR Corporation,0066.HK,581,$29.99 B,Hong Kong,$4.84,1.48%,-9.02%,[]
PSEG,PEG,582,$29.91 B,USA,$59.95,-1.07%,-7.23%,"['Electricity', 'Energy']"
Barrick Gold,GOLD,584,$29.85 B,Canada,$16.86,2.49%,-9.16%,"['Mining', 'Goldmining']"
WEG ON,WEGE3.SA,579,$30.05 B,Brazil,$7.16,-1.19%,17.76%,[]
Vodafone,VOD,577,$30.16 B,UK,$10.68,-1.66%,-28.32%,['Telecommunication']
Albemarle,ALB,576,$30.17 B,USA,$257.61,-0.15%,-0.74%,['Chemicals']
Yili Group,600887.SS,605,$28.66 B,China,$4.48,-1.11%,-28.55%,['Dairycompanies']
EnBW Energie,EBK.DE,700,$24.19 B,Germany,$89.32,0.00%,5.52%,"['Electricity', 'Energy']"
Equity Residential,EQR,698,$24.28 B,USA,$61.96,0.42%,-28.08%,['Realestate']
Coca-Cola European Partners,CCEP,699,$24.20 B,UK,$52.32,-0.32%,-4.60%,['Beverages']
Skandinaviska Enskilda Banken,SEBA.F,697,$24.29 B,Sweden,$11.22,-1.29%,-24.19%,[]
United Rentals,URI,696,$24.36 B,USA,$351.52,1.22%,-1.47%,['RentalLeasingServices']
ULTA Beauty,ULTA,695,$24.42 B,USA,$480.05,3.11%,17.75%,"['Retail', 'CosmeticsandBeauty']"
Compagnie de Saint-Gobain,SGO.PA,694,$24.45 B,France,$47.73,-0.95%,-30.38%,['CAC40']
Olympus,7733.T,691,$24.55 B,Japan,$19.28,-0.45%,-10.37%,[]
Rivian,RIVN,689,$24.68 B,USA,$27.94,0.18%,-75.95%,"['Automakers', 'Manufacturing', 'ElectricVehicles']"
KBC,KBCSF,687,$24.88 B,Belgium,$59.70,-0.50%,-30.38%,[]
Raymond James,RJF,692,$24.49 B,USA,$113.91,-1.86%,15.18%,[]
Entergy,ETR,693,$24.47 B,USA,$116.00,-0.92%,10.63%,"['Utilitycompanies', 'Energy', 'Electricity']"
Riyad Bank,1010.SR,690,$24.57 B,Saudi Arabia,$8.19,1.32%,12.97%,['Banks']
E.ON,EOAN.DE,686,$24.93 B,Germany,$9.56,-1.00%,-23.64%,"['Electricity', 'DAX', 'Energy', 'Utilitycompanies']"
Diamondback Energy,FANG,688,$24.84 B,USA,$136.56,-1.19%,18.14%,"['Energy', 'OilGas']"
Edison International,EIX,685,$24.96 B,USA,$65.37,-0.98%,-2.81%,[]
CDW Corporation,CDW,684,$25.02 B,USA,$184.85,0.06%,-6.74%,['Retail']
Bridgestone,5108.T,683,$25.07 B,Japan,$36.57,-0.12%,-15.89%,['Tires']
Formosa Petrochemical,6505.TW,680,$25.27 B,Taiwan,$2.65,-1.33%,-24.93%,"['OilGas', 'Energy']"
Kellogg's,K,681,$25.21 B,USA,$73.89,1.12%,17.14%,['Food']
Assa Abloy,ASAZF,679,$25.28 B,Sweden,$21.93,-2.39%,-26.34%,[]
UltraTech Cement,ULTRACEMCO.NS,682,$25.12 B,India,$87.13,0.24%,-10.01%,[]
Beiersdorf,BEI.DE,677,$25.37 B,Germany,$111.86,1.00%,9.44%,"['DAX', 'Consumergoods']"
Lennar,LEN,678,$25.35 B,USA,$89.00,3.61%,-22.49%,['Construction']
Equifax,EFX,712,$23.73 B,USA,$193.84,-0.11%,-33.58%,['Financialservices']
LabCorp,LH,800,$20.70 B,USA,$233.68,-0.20%,-21.08%,"['Pharmaceuticals', 'Biotech']"
VeriSign,VRSN,799,$20.77 B,USA,$195.99,-0.74%,-19.77%,['Internet']
Anhui Conch Cement,AHCHF,798,$20.78 B,China,$3.55,-3.27%,-26.95%,"['Cement', 'Buildingmaterials']"
DoorDash,DASH,797,$20.81 B,USA,$53.62,1.73%,-67.20%,"['FoodDelivery', 'Internet', 'Food', 'Tech']"
CRRC,1766.HK,795,$20.88 B,China,$0.41,2.89%,-10.87%,[]
China Railway Group,0390.HK,796,$20.87 B,China,$0.58,2.28%,13.73%,['Construction']
Standard Chartered,STAN.L,794,$20.88 B,UK,$7.18,0.99%,23.37%,"['Banks', 'Financialservices']"
Fujifilm,4901.T,793,$20.88 B,Japan,$51.32,-0.45%,-32.59%,['Conglomerate']
Panasonic,6752.T,792,$20.90 B,Japan,$8.96,-1.01%,-20.00%,"['Electronics', 'Tech', 'TechHardware']"
China Minsheng Bank,600016.SS,791,$20.95 B,China,$0.51,0.00%,-16.39%,[]
Ares Management,ARES,790,$20.99 B,USA,$71.08,-1.62%,-11.81%,[]
Cardinal Health,CAH,789,$21.01 B,USA,$80.15,0.94%,66.63%,['Healthcare']
Trip.com,TCOM,788,$21.04 B,China,$32.27,-2.54%,15.79%,"['Travel', 'Internet', 'OnlineTravel', 'Tech']"
Great-West Lifeco,GWO.TO,787,$21.07 B,Canada,$22.62,-1.12%,-23.86%,[]
Naver,035420.KS,786,$21.08 B,South Korea,$140.63,1.09%,-57.54%,"['Internet', 'Tech']"
CK Asset Holdings,1113.HK,785,$21.12 B,Hong Kong,$5.88,0.55%,-0.68%,['Realestate']
Ansys,ANSS,784,$21.16 B,USA,$242.92,-0.40%,-39.81%,"['Software', 'Tech']"
Huntington Bancshares,HBAN,783,$21.16 B,USA,$14.67,-0.07%,-5.29%,"['Banks', 'Financialservices']"
Quanta Services,PWR,781,$21.19 B,USA,$148.31,-0.86%,26.76%,['Engineering']
Insulet,PODD,782,$21.17 B,USA,$304.89,1.64%,11.89%,['Medicaldevices']
Banorte,GFNORTEO.MX,779,$21.30 B,Mexico,$7.39,-1.45%,19.77%,['Financialservices']
NIO,NIO,780,$21.23 B,China,$12.58,-4.98%,-62.02%,"['Automakers', 'ElectricVehicles']"
Zoom,ZM,806,$20.42 B,USA,$69.87,-2.24%,-63.04%,"['Tech', 'Internet', 'Software']"
Komatsu,6301.T,778,$21.31 B,Japan,$22.55,0.06%,-8.63%,"['Manufacturing', 'Machinerymanufacturing']"
Tenaris,TS,848,$19.46 B,Luxembourg,$32.24,-1.10%,54.85%,"['Manufacturing', 'Steelindustry']"
Northern Trust,NTRS,900,$18.28 B,USA,$87.72,-0.96%,-27.00%,['Financialservices']
Trina Solar,688599.SS,899,$18.29 B,China,$8.43,2.17%,-26.25%,"['Manufacturing', 'Renewableenergy', 'Energy']"
Conagra Brands,CAG,898,$18.32 B,USA,$38.23,1.78%,20.22%,['Food']
Kaō,4452.T,897,$18.33 B,Japan,$40.15,0.29%,-25.76%,"['CosmeticsandBeauty', 'Consumergoods']"
Kakao,035720.KS,894,$18.36 B,South Korea,$42.07,0.00%,-58.78%,"['Internet', 'Tech']"
Clorox,CLX,892,$18.42 B,USA,$149.32,1.61%,-9.65%,['Consumergoods']
Wabtec,WAB,895,$18.35 B,USA,$100.91,0.48%,10.31%,[]
Shiseido,4911.T,893,$18.37 B,Japan,$46.00,-1.04%,-23.61%,"['Consumergoods', 'CosmeticsandBeauty']"
Legal & General,LGEN.L,891,$18.42 B,UK,$3.08,0.04%,-20.62%,"['AssetManagement', 'Investment']"
Tourmaline Oil,TOU.TO,896,$18.34 B,Canada,$54.26,-0.43%,62.99%,"['OilGas', 'Energy']"
Roblox,RBLX,889,$18.48 B,USA,$30.77,0.39%,-73.47%,"['Videogames', 'Entertainment']"
Wilmar International,F34.SI,887,$18.52 B,Singapore,$2.96,-0.74%,-2.95%,['Food']
Celltrion,068270.KS,888,$18.50 B,South Korea,$133.81,1.15%,-22.37%,['Pharmaceuticals']
Powergrid Corporation of India,POWERGRID.NS,890,$18.43 B,India,$2.64,-1.47%,-3.30%,"['Electricity', 'Infrastructure']"
Steris,STE,886,$18.52 B,Ireland,$185.56,1.08%,-18.73%,[]
Royalty Pharma,RPRX,884,$18.58 B,UK,$42.13,0.48%,9.29%,"['Pharmaceuticals', 'Biotech']"
Carlsberg,CBGA.F,882,$18.60 B,Denmark,$163.93,0.97%,-1.19%,"['Alcoholicbeverages', 'Beverages']"
Paycom,PAYC,885,$18.54 B,USA,$308.97,-1.18%,-29.04%,"['Software', 'Tech']"
Nu Holdings,NU,883,$18.60 B,Brazil,$3.97,-2.22%,,"['Banks', 'Financialservices']"
Teck Resources,TECK,880,$18.68 B,Canada,$36.30,-1.17%,30.91%,['Mining']
AES,AES,879,$18.68 B,USA,$27.98,-0.53%,12.73%,"['Electricity', 'Energy']"
Incyte,INCY,878,$18.69 B,USA,$84.03,1.81%,25.93%,[]
Swedbank,SWED-A.ST,881,$18.68 B,Sweden,$16.28,0.62%,-21.24%,"['Banks', 'Financialservices']"
Sun Communities,SUI,914,$17.91 B,USA,$141.86,0.46%,-28.71%,"['Realestate', 'Investment', 'REITs']"
Otsuka Holdings,4578.T,913,$17.93 B,Japan,$33.07,-0.18%,-9.40%,"['Pharmaceuticals', 'Biotech']"
Standard Bank Group,SBK.JO,978,$16.61 B,South Africa,$10.08,-0.36%,28.08%,"['Banks', 'Financialservices']"
Hindustan Zinc,HINDZINC.NS,1000,$16.26 B,India,$3.85,0.68%,-17.91%,[]
