name,code,rank,marketcap,country,sharePrice,change(1day),change(1year),categories
Apple,AAPL,1,$2.242 T,USA,$140.94,-1.38%,-17.67%,"['Tech', 'Software', 'Dowjones', 'TechHardware', 'Electronics']"
McDonald,MCD,46,$198.00 B,USA,$270.34,-0.53%,4.01%,"['Restaurantchains', 'Dowjones', 'Food']"
T-Mobile US,TMUS,51,$185.11 B,USA,$148.79,-0.40%,27.01%,['Telecommunication']
Toyota,TM,49,$195.66 B,Japan,$141.86,0.55%,-24.32%,"['Automakers', 'Manufacturing']"
Cisco,CSCO,47,$197.92 B,USA,$48.18,-0.84%,-17.05%,"['Tech', 'Electronics', 'Networkinghardware', 'Dowjones', 'Telecommunicationsequipment', 'TechHardware']"
Danaher,DHR,50,$195.26 B,USA,$268.24,1.09%,-14.40%,['Conglomerate']
Novartis,NVS,48,$197.31 B,Switzerland,$91.73,1.09%,13.70%,"['Pharmaceuticals', 'Biotech']"
Abbott Laboratories,ABT,52,$182.74 B,USA,$104.81,0.91%,-20.85%,['Medicaldevices']
L'Oréal,OR.PA,45,$199.76 B,France,$373.27,-0.35%,-22.15%,"['Consumergoods', 'CAC40', 'CosmeticsandBeauty']"
ICBC,1398.HK,42,$211.55 B,China,$0.49,1.05%,-12.50%,"['Banks', 'Financialservices']"
Broadcom,AVGO,43,$209.99 B,USA,$518.50,-1.39%,-12.18%,"['Semiconductors', 'Tech']"
Costco,COST,40,$213.32 B,USA,$481.97,0.17%,-11.08%,"['Retail', 'SupermarketChains']"
Oracle,ORCL,41,$212.40 B,USA,$78.78,-0.16%,-12.52%,"['Tech', 'Software']"
Astrazeneca,AZN,39,$213.37 B,UK,$68.85,0.42%,25.73%,"['Pharmaceuticals', 'Biotech']"
Shell,SHEL,44,$204.68 B,UK,$56.35,-0.58%,26.80%,"['OilGas', 'Energy']"
Reliance Industries,RELIANCE.NS,38,$217.56 B,India,$32.16,-0.05%,1.80%,['Conglomerate']
Lowe's Companies,LOW,100,$125.10 B,USA,$206.89,2.47%,-19.47%,['Retail']
HDFC Bank,HDB,99,$125.58 B,India,$67.57,-0.95%,0.40%,"['Banks', 'Financialservices']"
Lockheed Martin,LMT,98,$126.11 B,USA,$481.20,-0.58%,41.88%,"['Aerospace', 'Defensecontractors', 'Aircraftmanufacturers', 'Manufacturing']"
AIA,1299.HK,97,$126.63 B,Hong Kong,$10.76,4.95%,2.28%,['Insurance']
PetroChina,601857.SS,95,$129.07 B,China,$0.74,-0.77%,-5.13%,"['OilGas', 'Energy']"
Elevance Health,ELV,96,$127.17 B,USA,$529.90,0.28%,28.85%,"['Healthcare', 'Insurance']"
Unilever,UL,94,$129.33 B,UK,$50.82,-0.68%,-2.92%,"['Food', 'Consumergoods']"
SAP,SAP,93,$129.89 B,Germany,$107.87,0.09%,-19.80%,"['Tech', 'Software', 'DAX']"
Union Pacific Corporation,UNP,92,$130.47 B,USA,$212.22,0.51%,-14.24%,"['Railways', 'Transportation', 'Infrastructure']"
Salesforce,CRM,91,$130.47 B,USA,$130.48,-2.09%,-51.13%,"['Software', 'Dowjones', 'Tech']"
CM Bank,3968.HK,90,$130.68 B,China,$5.18,2.94%,-37.89%,"['Banks', 'Financialservices']"
IBM,IBM,89,$132.00 B,USA,$147.27,-0.16%,21.13%,"['Tech', 'Software', 'Dowjones']"
QUALCOMM,QCOM,88,$132.51 B,USA,$118.21,-1.31%,-35.66%,"['Tech', 'Semiconductors', 'TechHardware']"
Deere & Company,DE,87,$132.99 B,USA,$440.65,0.55%,21.95%,"['Machinerymanufacturing', 'Manufacturing']"
Royal Bank Of Canada,RY,86,$134.26 B,Canada,$96.63,-0.23%,-6.27%,"['Banks', 'Financialservices']"
Prosus,PRX.AS,85,$134.29 B,Netherlands,$66.99,1.97%,-21.86%,['Investment']
Meituan,3690.HK,80,$141.73 B,China,$22.90,6.45%,-27.32%,"['Internet', 'Tech', 'ECommerce']"
CVS Health,CVS,84,$134.39 B,USA,$102.28,1.08%,10.06%,"['Healthcare', 'Pharmaceuticals', 'Drugstore', 'Retail']"
Netflix,NFLX,82,$137.25 B,USA,$308.42,0.94%,-50.70%,"['Entertainment', 'Internet', 'Tech']"
AT&T,T,81,$137.55 B,USA,$19.30,0.68%,-16.38%,['Telecommunication']
Dior,CDI.PA,83,$134.89 B,France,$747.69,-0.07%,-5.63%,"['Luxurygoods', 'Clothing']"
ConocoPhillips,COP,78,$143.14 B,USA,$114.88,-0.63%,54.06%,"['OilGas', 'Energy']"
Agricultural Bank of China,601288.SS,79,$142.89 B,China,$0.42,0.69%,-8.70%,"['Banks', 'Financialservices']"
Ping An Insurance,601318.SS,105,$120.97 B,China,$6.76,0.96%,-14.43%,['Insurance']
3M,MMM,196,$69.83 B,USA,$126.35,1.42%,-28.43%,"['Dowjones', 'GlovesPPE']"
China Yangtze Power,600900.SS,200,$68.17 B,China,$3.00,-0.10%,-1.96%,"['Electricity', 'Utilitycompanies']"
Humana,HUM,198,$69.52 B,USA,$549.18,0.52%,26.83%,['Insurance']
Iberdrola,IBE.MC,197,$69.79 B,Spain,$11.42,-0.50%,0.62%,"['Electricity', 'Energy']"
Moderna,MRNA,199,$68.76 B,USA,$179.00,3.15%,-36.60%,"['Pharmaceuticals', 'mRNAtherapeutics', 'Biotech']"
Air Products and Chemicals,APD,194,$70.01 B,USA,$315.58,1.12%,6.64%,['Chemicals']
Mercedes-Benz,MBG.DE,192,$70.56 B,Germany,$65.96,-0.55%,-19.06%,"['Automakers', 'Manufacturing', 'DAX', 'Autonomousdriving']"
Becton Dickinson,BDX,195,$69.84 B,USA,$246.48,0.86%,-1.55%,['Medicaldevices']
Zoetis,ZTS,193,$70.02 B,USA,$150.25,-1.83%,-33.43%,"['Pharmaceuticals', 'Biotech']"
Zurich Insurance Group,ZURN.SW,189,$70.97 B,Switzerland,$478.59,0.09%,12.48%,['Insurance']
Target,TGT,190,$70.77 B,USA,$153.76,-0.83%,-37.40%,"['Retail', 'SupermarketChains']"
Schlumberger,SLB,191,$70.61 B,USA,$49.80,-2.12%,61.90%,"['OilGas', 'Energy']"
Mitsubishi UFJ Financial,MUFG,188,$71.08 B,Japan,$5.45,0.93%,-3.37%,"['Banks', 'Financialservices']"
Petrobras,PBR,187,$72.26 B,Brazil,$11.08,-0.06%,-0.63%,"['OilGas', 'Energy']"
Sinopec,600028.SS,184,$73.63 B,China,$0.65,-1.31%,-1.52%,"['OilGas', 'Energy']"
Canadian Pacific Railway,CP,185,$73.45 B,Canada,$78.96,0.05%,8.30%,"['Railways', 'Transportation', 'Infrastructure']"
Gazprom,GAZP.ME,186,$73.26 B,Russia,$3.10,0.04%,-32.02%,"['OilGas', 'Energy']"
Compagnie Financière Richemont,CFR.SW,182,$74.11 B,Switzerland,$130.62,1.15%,-16.48%,['Luxurygoods']
Southern Company,SO,181,$74.57 B,USA,$68.50,0.03%,6.25%,"['Energy', 'OilGas', 'Electricity', 'Utilitycompanies']"
GlaxoSmithKline,GSK,180,$75.49 B,UK,$36.88,-2.74%,-12.98%,"['Biotech', 'Pharmaceuticals']"
Booking Holdings (Booking.com),BKNG,179,$75.85 B,USA,"$1,956",-4.24%,-12.89%,"['Internet', 'Travel', 'OnlineTravel', 'Tech']"
EOG Resources,EOG,183,$74.10 B,USA,$126.16,-1.28%,39.31%,"['Energy', 'OilGas']"
Air Liquide,AI.PA,178,$75.98 B,France,$144.75,-0.28%,-17.43%,"['CAC40', 'Chemicals']"
Duke Energy,DUK,176,$76.68 B,USA,$99.58,-0.93%,-1.57%,"['Energy', 'Electricity', 'OilGas', 'Utilitycompanies']"
Progressive,PGR,177,$76.33 B,USA,$130.48,-0.37%,34.78%,['Insurance']
Bayer,BAYZF,267,$55.33 B,Germany,$55.95,0.63%,8.92%,"['Pharmaceuticals', 'Chemicals', 'DAX', 'Biotech']"
Marathon Petroleum,MPC,298,$51.08 B,USA,$109.00,-0.27%,69.70%,[]
ITC,ITC.NS,300,$50.96 B,India,$4.11,-0.50%,40.27%,['Tobacco']
Archer Daniels Midland (ADM),ADM,297,$51.18 B,USA,$93.17,2.55%,45.22%,['Food']
Sempra Energy,SRE,299,$51.05 B,USA,$162.42,-1.77%,27.98%,"['Energy', 'OilGas', 'Electricity', 'Infrastructure']"
General Mills,GIS,296,$51.76 B,USA,$87.22,2.16%,35.08%,['Food']
Rosneft,ROSN.ME,292,$52.21 B,Russia,$5.50,-3.77%,-30.20%,"['OilGas', 'Energy']"
Enterprise Products,EPD,294,$51.90 B,USA,$23.86,-1.49%,13.46%,"['OilGas', 'Energy']"
Reckitt Benckiser,RKT.L,291,$52.26 B,UK,$71.51,-0.61%,-12.37%,['Consumergoods']
Midea,000333.SZ,293,$51.92 B,China,$7.42,0.98%,-32.67%,"['HomeKitchenAppliances', 'Manufacturing']"
O'Reilly Automotive,ORLY,295,$51.86 B,USA,$828.79,-0.10%,23.19%,[]
Public Storage,PSA,290,$52.27 B,USA,$296.82,2.71%,-12.77%,"['Realestate', 'Investment', 'REITs']"
Safran,SAF.PA,289,$52.56 B,France,$122.72,0.72%,2.51%,"['CAC40', 'Aerospace', 'Defensecontractors']"
Uber,UBER,288,$52.65 B,USA,$26.40,-1.93%,-30.67%,"['Ridesharing', 'Internet', 'Tech', 'Transportation']"
Ford,F,287,$52.66 B,USA,$13.10,-1.36%,-34.37%,"['Automakers', 'Manufacturing']"
KKR & Co.,KKR,284,$53.14 B,USA,$47.35,-3.47%,-39.06%,['Investment']
Industrial Bank,601166.SS,285,$52.86 B,China,$2.54,0.91%,-15.61%,"['Banks', 'Financialservices']"
Monster Beverage,MNST,286,$52.85 B,USA,$101.23,-0.21%,14.55%,['Beverages']
London Stock Exchange,LS4C.F,281,$53.40 B,UK,$96.15,0.55%,9.86%,"['Financialservices', 'Stockexchanges', 'StockCryptoexchanges']"
Moody's,MCO,282,$53.25 B,USA,$290.68,-0.66%,-27.04%,['Financialservices']
Foshan Haitian Flavouring and Food,603288.SS,283,$53.17 B,China,$11.48,-2.20%,-35.07%,['Food']
United Heavy Machinery,OMZZP.ME,280,$53.58 B,Russia,$63.30,-1.34%,-11.95%,"['Machinerymanufacturing', 'Manufacturing']"
Anglo American,AAL.L,278,$53.73 B,UK,$39.79,0.00%,0.15%,['Mining']
China Telecom,0728.HK,277,$53.92 B,China,$0.41,-0.63%,28.13%,['Telecommunication']
Keurig Dr Pepper,KDP,279,$53.73 B,USA,$37.94,0.72%,8.62%,['Beverages']
General Motors,GM,276,$53.92 B,USA,$37.96,-0.16%,-38.31%,"['Automakers', 'Manufacturing']"
Maaden,1211.SR,369,$44.77 B,Saudi Arabia,$18.19,3.17%,-5.46%,['Mining']
Samsung Biologics,207940.KS,370,$44.62 B,South Korea,$626.95,-0.48%,-15.60%,"['Biotech', 'Manufacturing']"
Hess,HES,400,$41.55 B,USA,$134.77,-0.62%,68.53%,"['OilGas', 'Energy']"
Autodesk,ADSK,398,$41.71 B,USA,$193.34,-0.65%,-30.13%,"['Software', 'Tech']"
Wanhua Chemical,600309.SS,399,$41.63 B,China,$13.26,-0.21%,-15.05%,['Chemicals']
Cheniere Energy,CQP,627,$27.67 B,USA,$57.18,0.32%,40.01%,"['OilGas', 'Energy']"
Devon Energy,DVN,395,$42.00 B,USA,$64.25,0.19%,42.40%,[]
Exelon Corporation,EXC,394,$42.04 B,USA,$42.31,-1.31%,-21.53%,['Electricity']
