name,codice,pricecap,price,country
Elevance Health,ELV,$115.35 B,$483.00,USA
AMD,AMD,$114.47 B,$71.00,USA
Jingdong Mall,JD,$113.48 B,$63.60,China
BlackRock,BLK,$112.91 B,$753.99,USA
Prologis,PLD,$112.52 B,$121.90,USA
Deutsche Telekom,DTE.DE,$110.82 B,$22.29,Germany
Intuit,INTU,$110.46 B,$393.21,USA
American Tower,AMT,$108.39 B,$232.81,USA
Gilead Sciences,GILD,$108.20 B,$86.27,USA
TAQA,TAQA.AE,$107.75 B,$0.96,UAE
BP,BP,$107.46 B,$35.56,UK
Medtronic,MDT,$107.19 B,$80.59,Ireland
BYD,002594.SZ,$106.16 B,$40.86,China
Sony,SONY,$105.95 B,$85.75,Japan
Diageo,DEO,$103.84 B,$183.21,UK
Keyence,6861.T,$103.07 B,$425.01,Japan
Automatic Data Processing,ADP,$101.78 B,$245.36,USA
Porsche,P911.DE,$101.31 B,$111.21,Germany
NTT (Nippon Telegraph & Telephone),NPPXF,$100.55 B,$29.15,Japan
Mitsubishi UFJ Financial,MUFG,$99.04 B,$7.70,Japan
Airbus,AIR.PA,$98.71 B,$125.35,Netherlands
Stryker Corporation,SYK,$98.32 B,$259.82,USA
Equinor,EQNR,$98.03 B,$31.42,Norway
Citigroup,C,$96.68 B,$49.92,USA
CSL,CSL.AX,$96.40 B,$199.92,Australia
Cigna,CI,$96.06 B,$314.21,USA
Allianz,ALV.DE,$95.92 B,$237.84,Germany
Estee Lauder,EL,$95.34 B,$267.22,USA
Chubb,CB,$94.29 B,$227.19,Switzerland
TJX Companies,TJX,$94.20 B,$81.53,USA
Merck KGaA,MRK.DE,$94.03 B,$216.28,Germany
Inditex,IDEXY,$93.01 B,$14.94,Spain
Applied Materials,AMAT,$92.83 B,$109.97,USA
Mondelez,MDLZ,$91.57 B,$67.06,USA
Intuitive Surgical,ISRG,$91.49 B,$258.90,USA
LG Energy Solution,373220.KS,$90.87 B,$388.37,S. Korea
PayPal,PYPL,$90.60 B,$79.48,USA
Schneider Electric,SU.PA,$89.68 B,$160.41,France
Booking Holdings (Booking.com),BKNG,$89.26 B,"$2,301",USA
General Electric,GE,$87.63 B,$80.20,USA
Glencore,GLCNF,$87.42 B,$6.84,Switzerland
Marsh & McLennan Companies,MMC,$86.38 B,$173.38,USA
Analog Devices,ADI,$86.06 B,$168.98,USA
British American Tobacco,BTI,$85.85 B,$38.40,UK
Vale,VALE,$85.43 B,$18.43,Brazil
EssilorLuxottica,EL.PA,$85.34 B,$188.86,France
Enbridge,ENB,$84.62 B,$41.76,Canada
Compagnie Financière Richemont,CFR.SW,$84.48 B,$148.89,Switzerland
Canadian National Railway,CNI,$83.84 B,$123.69,Canada
ServiceNow,NOW,$83.80 B,$414.89,USA
Al Rajhi Bank,1120.SR,$83.11 B,$20.78,S. Arabia
Schlumberger,SLB,$82.64 B,$58.28,USA
Air Liquide,AI.PA,$82.56 B,$156.97,France
Altria Group,MO,$81.75 B,$45.62,USA
China Shenhua Energy,601088.SS,$81.09 B,$4.27,China
Duke Energy,DUK,$80.84 B,$104.98,USA
BNP Paribas,BNP.PA,$80.18 B,$65.00,France
Volkswagen,VOW3.DE,$80.00 B,$136.88,Germany
Regeneron Pharmaceuticals,REGN,$78.64 B,$722.13,USA
Progressive,PGR,$78.18 B,$133.65,USA
Mercedes-Benz,MBG.DE,$77.97 B,$72.88,Germany
Infosys,INFY,$77.58 B,$18.52,India
Vertex Pharmaceuticals,VRTX,$77.24 B,$300.94,USA
Sinopec,600028.SS,$76.56 B,$0.67,China
Southern Company,SO,$76.55 B,$70.32,USA
EOG Resources,EOG,$76.04 B,$129.46,USA
SABIC,2010.SR,$76.00 B,$25.34,S. Arabia
Target,TGT,$75.76 B,$164.60,USA
ICICI Bank,IBN,$75.59 B,$21.67,India
Hindustan Unilever,HINDUNILVR.NS,$75.10 B,$31.96,India
Zoetis,ZTS,$75.00 B,$160.92,USA
Kering,KER.PA,$74.48 B,$609.37,France
