name,codice,pricecap,price,country
Gentex,GNTX,$6.75 B,$28.78,USA
Daiwa Securities Group,8601.T,$6.74 B,$4.64,Japan
PGNiG,7GG.F,$6.74 B,$1.13,Poland
National Marine Dredging,NMDC.AE,$6.73 B,$8.17,UAE
GitLab,GTLB,$6.73 B,$44.97,USA
Houlihan Lokey,HLI,$6.72 B,$97.91,USA
Kinsale Capital Group,KNSL,$6.71 B,$291.00,USA
CAE,CAE,$6.70 B,$21.11,Canada
MKS Instruments,MKSI,$6.69 B,$100.72,USA
Berger Paints,BERGEPAINT.NS,$6.69 B,$6.89,India
Charoen Pokphand Indonesia,CPIN.JK,$6.68 B,$0.41,Indonesia
Tele2,TEL2-A.ST,$6.67 B,$10.09,Sweden
Rumo,RAIL3.SA,$6.67 B,$3.61,Brazil
Brixmor Property Group,BRX,$6.67 B,$22.25,USA
Voya Financial,VOYA,$6.66 B,$68.56,USA
Stifel,SF,$6.65 B,$62.61,USA
Krafton,259960.KS,$6.65 B,$141.85,S. Korea
Agree Realty,ADC,$6.65 B,$74.82,USA
Hunter Douglas,HDG.AS,$6.65 B,$191.23,Netherlands
Harley-Davidson,HOG,$6.65 B,$45.50,USA
World Wrestling Entertainment,WWE,$6.65 B,$89.40,USA
Japan Post Insurance,7181.T,$6.64 B,$17.19,Japan
U.S. Steel,X,$6.64 B,$28.35,USA
CTS Eventim,EVD.F,$6.63 B,$69.07,Germany
DXC Technology,DXC,$6.62 B,$28.81,USA
Capcom,9697.T,$6.62 B,$31.08,Japan
Şişecam,SISE.IS,$6.62 B,$2.16,Turkey
nVent Electric,NVT,$6.62 B,$39.74,UK
GMO Payment Gateway,3769.T,$6.61 B,$87.25,Japan
ASUS,2357.TW,$6.59 B,$8.88,Taiwan
Swedish Orphan Biovitrum,SOBI.ST,$6.59 B,$22.28,Sweden
UPL,UPL.NS,$6.59 B,$8.79,India
Ritchie Bros. Auctioneers,RBA,$6.59 B,$59.45,Canada
Southwestern Energy,SWN,$6.58 B,$5.97,USA
New York Community Bank,NYCB,$6.58 B,$9.67,USA
Norwegian Cruise Line,NCLH,$6.58 B,$15.63,USA
Nippon Sanso,4091.T,$6.58 B,$15.21,Japan
NextEra Energy Partners,NEP,$6.58 B,$76.05,USA
Holmen,HOLM-B.ST,$6.57 B,$41.04,Sweden
Murphy Oil,MUR,$6.57 B,$42.27,USA
Israel Discount Bank,ISDAY,$6.56 B,$52.30,Israel
Levi Strauss,LEVI,$6.56 B,$16.54,USA
Commercial Metals Company,CMC,$6.56 B,$56.06,USA
Ingredion,INGR,$6.56 B,$100.15,USA
Toromont,TIH.TO,$6.56 B,$79.82,Canada
37 Interactive Entertainment,002555.SZ,$6.56 B,$2.96,China
Clean Harbors,CLH,$6.56 B,$121.38,USA
Ascendis Pharma,ASND,$6.55 B,$115.03,Denmark
Great Eastern,G07.SI,$6.55 B,$13.85,Singapore
On Holding,ONON,$6.54 B,$20.70,Switzerland
Torrent Pharmaceuticals,TORNTPHARM.NS,$6.54 B,$19.33,India
TIS,3626.T,$6.53 B,$27.02,Japan
Trend Micro,4704.T,$6.52 B,$46.37,Japan
Silergy,6415.TW,$6.52 B,$17.14,China
OZ Minerals,OZL.AX,$6.50 B,$19.43,Australia
Helvetia Holding,HELN.SW,$6.50 B,$123.06,Switzerland
Wyndham Hotels & Resorts,WH,$6.50 B,$73.63,USA
Petro Rio,PRIO3.SA,$6.50 B,$7.66,Brazil
Osaka Gas,9532.T,$6.49 B,$15.64,Japan
RBC Bearings,RBC,$6.49 B,$223.83,USA
Fastighets AB Balder,BALD-B.ST,$6.48 B,$5.74,Sweden
AirTAC International,1590.TW,$6.47 B,$32.40,Taiwan
TOTO,5332.T,$6.47 B,$38.20,Japan
Wynn Macau,1128.HK,$6.47 B,$1.24,Macau
Bankinter,BKT.MC,$6.46 B,$7.19,Spain
Magnolia Oil & Gas,MGY,$6.45 B,$23.80,USA
AGNC Investment,AGNC,$6.45 B,$11.30,USA
Allegro MicroSystems,ALGM,$6.45 B,$33.74,USA
Starwood Property Trust,STWD,$6.43 B,$20.14,USA
Woodward,WWD,$6.43 B,$107.65,USA
STAG Industrial,STAG,$6.40 B,$34.99,USA
Saia,SAIA,$6.40 B,$242.09,USA
Dillard's,DDS,$6.39 B,$373.67,USA
Kobe Bussan,3038.T,$6.39 B,$29.34,Japan
Choice Hotels International,CHH,$6.39 B,$119.95,USA
Daifuku,6383.T,$6.39 B,$50.71,Japan
Adaro Energy,ADRO.JK,$6.38 B,$0.20,Indonesia
Turquoise Hill Resources,TRQ,$6.38 B,$31.41,Canada
Reynolds Consumer,REYN,$6.37 B,$30.40,USA
Alaska Airlines,ALK,$6.37 B,$50.29,USA
ChampionX,CHX,$6.37 B,$31.98,USA
Newell Brands,NWL,$6.37 B,$15.41,USA
Stockland,SGP.AX,$6.37 B,$2.67,Australia
Yanbu National Petrochemical,2290.SR,$6.36 B,$11.32,S. Arabia
Covivio,COV.PA,$6.36 B,$67.88,France
BELIMO Holding,BEAN.SW,$6.36 B,$517.69,Switzerland
Curtiss-Wright,CW,$6.35 B,$165.88,USA
MinebeaMitsumi,6479.T,$6.35 B,$15.64,Japan
TPG Telecom,TPG.AX,$6.34 B,$3.41,Australia
Lithia Motors,LAD,$6.34 B,$232.07,USA
Affiliated Managers Group,AMG,$6.34 B,$168.42,USA
Land Securities Group,LAND.L,$6.34 B,$8.55,UK
EnLink Midstream,ENLC,$6.33 B,$13.38,USA
RLI Corp.,RLI,$6.33 B,$139.64,USA
DraftKings,DKNG,$6.33 B,$14.11,USA
Shriram Transport Finance,SRTRANSFIN.NS,$6.32 B,$16.89,India
GXO Logistics,GXO,$6.31 B,$53.26,USA
Hualan Biological Engineering,002007.SZ,$6.30 B,$3.45,China
Indian Railway Catering & Tourism,IRCTC.NS,$6.30 B,$7.88,India
Samvardhana Motherson,MOTHERSON.NS,$6.30 B,$0.93,India
Spark New Zealand,NZTCF,$6.29 B,$3.37,New Zealand
Doximity,DOCS,$6.29 B,$32.70,USA
Corporate Office Properties Trust,OFC,$6.29 B,$27.99,USA
Kingfisher,KFI1.F,$6.29 B,$3.25,UK
Cosan,CSAN,$6.29 B,$13.48,Brazil
iA Financial,IAG.TO,$6.28 B,$59.72,Canada
MDU Resources,MDU,$6.28 B,$30.91,USA
Nedbank,NED.JO,$6.27 B,$12.89,South Africa
UWM Holdings,UWMC,$6.27 B,$3.91,USA
Sampoerna,HSZ.F,$6.27 B,$0.05000,Indonesia
Bombardier Recreational Products,DOOO,$6.26 B,$79.46,Canada
Lufax,LU,$6.26 B,$2.74,China
Qualtrics,XM,$6.25 B,$10.59,USA
Nissan Chemical,4021.T,$6.25 B,$44.59,Japan
Unimicron,3037.TW,$6.24 B,$4.23,Taiwan
Convatec Group,CTEC.L,$6.24 B,$3.04,UK
Taishin Financial Holdings,2887.TW,$6.24 B,$0.52,Taiwan
GameStop,GME,$6.24 B,$20.49,USA
Macy's,M,$6.23 B,$23.01,USA
Samsara,IOT,$6.23 B,$12.01,USA
Tube Investments of India,TIINDIA.NS,$6.22 B,$32.24,India
Toll Brothers,TOL,$6.21 B,$56.13,USA
Hikari Tsushin,9435.T,$6.21 B,$140.20,Japan
Bank Pekao (Bank Polska Kasa Opieki),PEO.WA,$6.21 B,$23.67,Poland
BOSCH India,BOSCHLTD.NS,$6.20 B,$210.33,India
South State Corp,SSB,$6.20 B,$81.95,USA
Elanco,ELAN,$6.20 B,$13.08,USA
Oshkosh Corporation,OSK,$6.19 B,$94.76,USA
Endeavor Group,EDR,$6.19 B,$21.40,USA
Mapfre,MAP.MC,$6.19 B,$2.03,Spain
Mirvac Group,MGR.AX,$6.18 B,$1.57,Australia
Banco BPM,BAMI.MI,$6.17 B,$4.09,Italy
FirstService,FSV,$6.17 B,$139.64,Canada
Polaris,PII,$6.17 B,$106.47,USA
Chang Hwa Commercial Bank,2801.TW,$6.15 B,$0.58,Taiwan
Yamaha,7951.T,$6.15 B,$35.88,Japan
SSAB,SSAB-B.ST,$6.14 B,$5.97,Sweden
Nutanix,NTNX,$6.14 B,$26.70,USA
Canadian Apartment Properties REIT,CAR-UN.TO,$6.14 B,$35.29,Canada
PDC Energy,PDCE,$6.13 B,$66.61,USA
Sekisui Chemical,4204.T,$6.13 B,$14.21,Japan
Valvoline,VVV,$6.13 B,$35.16,USA
National Instruments,NATI,$6.13 B,$46.97,USA
Nippon Prologis REIT,3283.T,$6.13 B,"$2,230",Japan
Littelfuse,LFUS,$6.11 B,$247.15,USA
Türkiye Is Bankasi,ISCTR.IS,$6.11 B,$0.59,Turkey
Toho Co.,9602.T,$6.11 B,$34.95,Japan
Murphy USA,MUSA,$6.10 B,$270.41,USA
Pilgrim's Pride,PPC,$6.10 B,$25.82,USA
First American,FAF,$6.10 B,$58.96,USA
Lumen,LUMN,$6.10 B,$5.90,USA
Lodha Group,LODHA.NS,$6.10 B,$12.64,India
Landstar System,LSTR,$6.10 B,$169.88,USA
West Fraser Timber,WFG,$6.09 B,$72.59,Canada
Boyd Gaming,BYD,$6.09 B,$58.42,USA
Komerční banka,KONN.F,$6.09 B,$31.73,Czech Republic
Kinross Gold,KGC,$6.09 B,$4.74,Canada
Atacadão,CRFB3.SA,$6.09 B,$2.90,Brazil
Ashland,ASH,$6.09 B,$112.25,USA
HealthSouth,EHC,$6.08 B,$61.02,USA
LEG Immobilien,LEG.DE,$6.08 B,$82.10,Germany
Range Resources,RRC,$6.08 B,$25.18,USA
Universal Display Corporation,OLED,$6.07 B,$128.58,USA
CTP N.V.,CTPNV.AS,$6.06 B,$13.66,Netherlands
Kintetsu GHD,9041.T,$6.06 B,$31.90,Japan
Melco Resorts & Entertainment,MLCO,$6.06 B,$13.62,Hong Kong
ENGIE Brasil,EGIE3.SA,$6.05 B,$7.43,Brazil
Adecco Group,ADEN.SW,$6.05 B,$36.24,Switzerland
Coupa,COUP,$6.04 B,$79.42,USA
Crane Co.,CR,$6.04 B,$107.71,USA
Descartes Systems,DSGX,$6.03 B,$71.21,Canada
Indus Towers,INDUSTOWER.NS,$6.03 B,$2.24,India
PI Industries,PIIND.NS,$6.03 B,$39.75,India
Beijer Ref,BEIJ-B.ST,$6.02 B,$16.16,Sweden
Axalta,AXTA,$6.01 B,$27.27,USA
Raiffeisen Bank International,RAW.F,$6.00 B,$18.28,Austria
Asset World Corp,AWC.BK,$6.00 B,$0.19,Thailand
United Tractors,UTY.F,$6.00 B,$1.57,Indonesia
BOC Aviation,2588.HK,$5.99 B,$8.63,Singapore
Otsuka,4768.T,$5.98 B,$31.59,Japan
Info Edge,NAUKRI.NS,$5.97 B,$46.28,India
Huntsman Corporation,HUN,$5.97 B,$31.12,USA
BlueScope Steel,BSL.AX,$5.97 B,$12.88,Australia
Hulic,3003.T,$5.97 B,$7.83,Japan
Sonoco,SON,$5.96 B,$61.19,USA
HYBE,352820.KS,$5.96 B,$144.27,S. Korea
Banco Sabadell,BDSB.F,$5.96 B,$1.07,Spain
TopBuild,BLD,$5.95 B,$186.29,USA
SiteOne Landscape Supply,SITE,$5.95 B,$132.04,USA
Seek Limited,SEK.AX,$5.95 B,$16.78,Australia
Getinge,GETI-B.ST,$5.94 B,$21.84,Sweden
Hapvida,HAPV3.SA,$5.92 B,$0.83,Brazil
Sunrun,RUN,$5.92 B,$27.80,USA
Endeavour Mining,EDV.TO,$5.92 B,$24.09,UK
DS Smith,SMDS.L,$5.91 B,$4.29,UK
Flowers Foods,FLO,$5.90 B,$27.99,USA
Dexus,DXS.AX,$5.90 B,$5.49,Australia
Sumitomo Chemical,4005.T,$5.89 B,$3.61,Japan
Japan Real Estate Investment,8952.T,$5.89 B,"$4,258",Japan
Andritz,AZ2.F,$5.89 B,$59.46,Austria
IDP Education,IEL.AX,$5.89 B,$21.19,Australia
MOL Group,MOL.BD,$5.89 B,$7.38,Hungary
Axfood,AXFO.ST,$5.89 B,$26.38,Sweden
Spirit Realty Capital,SRC,$5.89 B,$42.20,USA
Emperador Brandy,EMI.SI,$5.89 B,$0.37,Philippines
H&R Block,HRB,$5.88 B,$37.85,USA
Nanya Technology,2408.TW,$5.88 B,$1.90,Taiwan
Yamana Gold,AUY,$5.87 B,$6.11,Canada
GPT Group,GPT.AX,$5.87 B,$3.07,Australia
Investec,INVR.L,$5.87 B,$6.66,UK
HK Electric Investments,2638.HK,$5.86 B,$0.66,Hong Kong
Mapletree Logistics Trust,M44U.SI,$5.85 B,$1.22,Singapore
Charoen Pokphand Foods,CPF.BK,$5.85 B,$0.74,Thailand
Equatorial Energia,EQTL3.SA,$5.84 B,$5.31,Brazil
M&G plc,MNG.L,$5.84 B,$2.49,UK
Confluent,CFLT,$5.84 B,$20.41,USA
Air Canada,AC.TO,$5.84 B,$16.31,Canada
Rockwool,R90.F,$5.83 B,$269.66,Denmark
Telus International,TIXT,$5.83 B,$22.07,Canada
Dutch Bros,BROS,$5.82 B,$34.69,USA
Light & Wonder,LNW,$5.81 B,$62.05,USA
Apellis Pharmaceuticals,APLS,$5.81 B,$52.56,USA
Konami Holdings,9766.T,$5.81 B,$43.51,Japan
Envista,NVST,$5.80 B,$35.63,USA
Grupo Simec,SIM,$5.80 B,$32.70,Mexico
Bausch + Lomb,BLCO,$5.80 B,$16.59,Canada
Marriott Vacations Worldwide,VAC,$5.80 B,$151.52,USA
Silgan Holdings,SLGN,$5.80 B,$52.73,USA
SAIC,SAIC,$5.78 B,$105.97,USA
Soitec,SOI.PA,$5.78 B,$166.65,France
TVS Motor,TVSMOTOR.NS,$5.78 B,$12.17,India
Columbia Sportswear,COLM,$5.77 B,$93.03,USA
Yancoal,YAL.AX,$5.77 B,$4.38,Australia
Abbott India,ABBOTINDIA.NS,$5.76 B,$271.28,India
iQIYI,IQ,$5.76 B,$6.69,China
Synovus,SNV,$5.75 B,$39.58,USA
EXL Service,EXLS,$5.75 B,$174.06,USA
Selective Insurance,SIGI,$5.75 B,$95.43,USA
TechnipFMC,FTI,$5.75 B,$12.88,UK
Brunswick Corporation,BC,$5.74 B,$79.26,USA
Telecom Italia,TIT.MI,$5.74 B,$0.28,Italy
Pinnacle Financial Partners,PNFP,$5.73 B,$75.04,USA
Far Eastern New Century,1402.TW,$5.73 B,$1.07,Taiwan
PSP Swiss Property,PSPN.SW,$5.73 B,$125.00,Switzerland
Stantec,STN,$5.73 B,$51.72,Canada
Coherent,COHR,$5.72 B,$41.26,USA
Valley Bank,VLY,$5.70 B,$11.27,USA
The Weir Group,WEIR.L,$5.69 B,$21.96,UK
Dun & Bradstreet,DNB,$5.69 B,$13.08,USA
BE Semiconductor,BESI.AS,$5.69 B,$71.33,Netherlands
Seven Group Holdings (SGH),SVW.AX,$5.68 B,$15.66,Australia
Timken Company,TKR,$5.68 B,$78.15,USA
Pegatron,4938.TW,$5.68 B,$2.13,Taiwan
Yageo,2327.TW,$5.68 B,$16.94,Taiwan
CG Power and Industrial Solutions,CGPOWER.NS,$5.67 B,$3.72,India
Element Fleet Management,EFN.TO,$5.66 B,$14.44,Canada
Worley,WOR.AX,$5.66 B,$10.77,Australia
Ionis Pharmaceuticals,IONS,$5.66 B,$39.85,USA
Chart Industries,GTLS,$5.65 B,$132.98,USA
Cemig,CIG,$5.65 B,$2.21,Brazil
National Fuel Gas,NFG,$5.65 B,$61.80,USA
Nomura Real Estate Master Fund,3462.T,$5.65 B,"$1,198",Japan
Vertiv Holdings,VRT,$5.64 B,$14.97,USA
TMX Group,X.TO,$5.64 B,$101.49,Canada
Wärtsilä,WRT1V.HE,$5.64 B,$9.56,Finland
New York Times,NYT,$5.64 B,$34.10,USA
Hertz,HTZ,$5.64 B,$16.89,USA
Prometheus Biosciences,RXDX,$5.63 B,$121.25,USA
Koei Tecmo,3635.T,$5.63 B,$17.88,Japan
Tecan,TECN.SW,$5.62 B,$429.25,Switzerland
Guidewire Software,GWRE,$5.61 B,$68.63,USA
Embracer Group,EMBRAC-B.ST,$5.61 B,$4.26,Sweden
PLDT,PHI,$5.61 B,$25.64,Philippines
Voestalpine,VAS.F,$5.61 B,$31.17,Austria
Rightmove,3JDA.F,$5.61 B,$6.68,UK
TAL Education Group,TAL,$5.60 B,$8.64,China
Barratt Developments,BDEV.L,$5.60 B,$5.63,UK
Groupe SEB,SK.PA,$5.60 B,$101.81,France
Kosé,4922.T,$5.60 B,$98.24,Japan
Ebos Group,EBO.NZ,$5.59 B,$29.37,New Zealand
Valmet,VALMT.HE,$5.59 B,$30.38,Finland
Tomra,TOM.OL,$5.59 B,$18.95,Norway
Tenet Healthcare,THC,$5.59 B,$51.73,USA
Persimmon,PSN.L,$5.59 B,$17.51,UK
FTI Consulting,FCN,$5.59 B,$162.40,USA
Permian Resources,PR,$5.58 B,$10.02,USA
Chord Energy,CHRD,$5.58 B,$134.29,USA
QuidelOrtho,QDEL,$5.58 B,$84.58,USA
Gildan,GIL,$5.58 B,$31.05,Canada
Jabal Omar Development,4250.SR,$5.57 B,$4.83,S. Arabia
GarantiBank,GARAN.IS,$5.57 B,$1.33,Turkey
Acuity Brands,AYI,$5.56 B,$173.78,USA
Trex,TREX,$5.56 B,$50.73,USA
Primerica,PRI,$5.56 B,$150.87,USA
Chongqing Rural Commercial Bank,3618.HK,$5.56 B,$0.35,China
Smartsheet,SMAR,$5.56 B,$42.36,USA
TIM S.A.,TIMB,$5.56 B,$11.30,Brazil
Carsales,CAR.AX,$5.55 B,$15.82,Australia
Yamato Holdings,9064.T,$5.55 B,$15.69,Japan
Procter & Gamble India,PGHH.NS,$5.55 B,$170.99,India
PBF Energy,PBF,$5.54 B,$39.78,USA
Zomato,ZOMATO.NS,$5.54 B,$0.65,India
Square Enix,9684.T,$5.54 B,$46.37,Japan
Medibank,MPL.AX,$5.54 B,$2.01,Australia
KnowBe4,KNBE,$5.54 B,$24.83,USA
Just Eat Takeaway,TKWY.AS,$5.53 B,$25.65,Netherlands
Falabella,FALABELLA.SN,$5.52 B,$2.21,Chile
Post Holdings,POST,$5.52 B,$93.97,USA
Western Union,WU,$5.51 B,$14.29,USA
FAW Car,000800.SZ,$5.51 B,$1.18,China
Kajima,1812.T,$5.51 B,$11.26,Japan
Glacier Bancorp,GBCI,$5.51 B,$49.76,USA
Clariant,CLN.SW,$5.50 B,$16.74,Switzerland
Page Industries,PAGEIND.NS,$5.50 B,$493.48,India
United Bankshares,UBSI,$5.50 B,$40.87,USA
HashiCorp,HCP,$5.49 B,$29.26,USA
Viper Energy Partners,VNOM,$5.48 B,$33.25,USA
Quebecor,QBR-B.TO,$5.48 B,$23.58,Canada
ALD Automotive,ALD.PA,$5.47 B,$12.40,France
Zydus Lifesciences,ZYDUSLIFE.NS,$5.47 B,$5.40,India
Lancaster Colony Corporation,LANC,$5.46 B,$198.46,USA
The Ensign Group,ENSG,$5.46 B,$98.53,USA
Clearwater Analytics,CWAN,$5.46 B,$18.51,USA
Phillips-Van Heusen,PVH,$5.46 B,$86.18,USA
ACC,ACC.NS,$5.46 B,$29.06,India
Itochu Techno-Solutions,4739.T,$5.45 B,$23.61,Japan
Hagerty,HGTY,$5.45 B,$9.32,USA
Saudi Kayan Petrochemical Company,2350.SR,$5.45 B,$3.63,S. Arabia
Antero Midstream,AM,$5.44 B,$11.39,USA
Old National Bank,ONB,$5.44 B,$18.60,USA
Univar Solutions,UNVR,$5.44 B,$33.35,USA
Realtek,2379.TW,$5.43 B,$10.60,Taiwan
Idacorp,IDA,$5.43 B,$107.45,USA
Apartment Income REIT,AIRC,$5.42 B,$36.20,USA
Quiñenco,QUINENCO.SN,$5.42 B,$3.26,Chile
Lynas,LYI.F,$5.42 B,$5.99,Malaysia
JSW Energy,JSWENERGY.NS,$5.41 B,$3.30,India
Georg Fischer,GF.SW,$5.41 B,$66.17,Switzerland
City Developments,C09.SI,$5.41 B,$5.97,Singapore
Hargreaves Lansdown,HL.L,$5.40 B,$11.39,UK
Airtel Africa,AAF.L,$5.39 B,$1.44,UK
Valaris,VAL,$5.39 B,$71.82,UK
CCC Intelligent Solutions,CCCS,$5.39 B,$8.69,USA
Taiwan High Speed Rail,2633.TW,$5.38 B,$0.96,Taiwan
Novanta,NOVT,$5.37 B,$150.51,USA
Keyera,KEY.TO,$5.35 B,$23.36,Canada
Madrigal Pharmaceuticals,MDGL,$5.35 B,$299.98,USA
“K” Line,9107.T,$5.35 B,$20.42,Japan
Universal Forest Products,UFPI,$5.35 B,$86.81,USA
Somfy,SO.PA,$5.35 B,$155.30,France
National Storage,NSA,$5.34 B,$37.88,USA
Zurich Airport,FHZN.SW,$5.34 B,$174.18,Switzerland
Indian Railway Finance,IRFC.NS,$5.34 B,$0.41,India
Indian Hotels Company,INDHOTEL.NS,$5.33 B,$3.76,India
Helmerich & Payne,HP,$5.33 B,$50.64,USA
Lincoln National Corporation,LNC,$5.33 B,$31.53,USA
FS KKR Capital,FSK,$5.33 B,$18.84,USA
IAA-Insurance Auto Auctions,IAA,$5.32 B,$39.83,USA
Wintrust Financial,WTFC,$5.32 B,$87.66,USA
Lundin Mining,LUN.TO,$5.32 B,$6.91,Canada
Ibiden,4062.T,$5.31 B,$38.09,Japan
Beazley,BEZ.L,$5.31 B,$7.77,UK
Container Corporation of India,CONCOR.NS,$5.31 B,$8.72,India
Eurazeo,RF.PA,$5.31 B,$69.94,France
Eagle Materials,EXP,$5.31 B,$144.19,USA
Credit Acceptance,CACC,$5.31 B,$410.90,USA
Ashok Leyland,ASHOKLEY.NS,$5.30 B,$1.81,India
Hexcel,HXL,$5.30 B,$62.97,USA
Exelixis,EXEL,$5.29 B,$16.43,USA
Mitsubishi Motors,7211.T,$5.29 B,$3.56,Japan
Balkrishna Industries,BALKRISIND.NS,$5.29 B,$27.37,India
Mercury NZ,MCY.AX,$5.28 B,$3.68,New Zealand
MSA Safety,MSA,$5.28 B,$134.94,USA
DT Midstream,DTM,$5.28 B,$54.65,USA
Gruma (Maseca),GRUMAB.MX,$5.28 B,$14.27,Mexico
Brookfield Renewable,BEPC,$5.27 B,$30.63,USA
Discovery Limited,DSY.JO,$5.27 B,$8.03,South Africa
Noble Corporation,NE,$5.27 B,$39.16,UK
United Breweries,UBL.NS,$5.27 B,$19.92,India
Watts Water Technologies,WTS,$5.26 B,$158.26,USA
Option Care Health,OPCH,$5.26 B,$28.94,USA
Assaí Atacadista,ASAI,$5.26 B,$19.50,Brazil
Hyundai Glovis,086280.KS,$5.25 B,$140.23,S. Korea
Core & Main,CNM,$5.25 B,$21.37,USA
Muthoot Finance,MUTHOOTFIN.NS,$5.24 B,$13.07,India
BWX Technologies,BWXT,$5.24 B,$57.51,USA
MP Materials,MP,$5.24 B,$29.53,USA
Trent Limited,TRENT.NS,$5.23 B,$14.74,India
Rayonier,RYN,$5.23 B,$34.96,USA
Lyft,LYFT,$5.22 B,$14.49,USA
Valeo,FR.PA,$5.22 B,$21.48,France
McDonald's Japan,2702.T,$5.22 B,$39.33,Japan
LOTTE Chemical,011170.KS,$5.22 B,$147.51,S. Korea
Schaeffler India,SCHAEFFLER.NS,$5.22 B,$33.43,India
Obayashi,1802.T,$5.21 B,$7.28,Japan
Evoqua Water Technologies,AQUA,$5.20 B,$42.73,USA
Euronet Worldwide,EEFT,$5.20 B,$105.01,USA
Patanjali Foods,PATANJALI.NS,$5.20 B,$14.35,India
Dongfeng Motor,0489.HK,$5.19 B,$0.60,China
Bechtle,BC8.F,$5.19 B,$40.61,Germany
IPG Photonics,IPGP,$5.18 B,$106.41,USA
Dai Nippon Printing,7912.T,$5.18 B,$19.49,Japan
R1 RCM,RCM,$5.17 B,$12.42,USA
Fluor Corporation,FLR,$5.16 B,$36.37,USA
Leonardo,LDO.MI,$5.16 B,$8.97,Italy
Shift4 Payments,FOUR,$5.15 B,$62.57,USA
Stevanato,STVN,$5.15 B,$19.49,Italy
GLP J-REIT,3281.T,$5.15 B,"$1,095",Japan
Civitas Resources,CIVI,$5.14 B,$60.44,USA
Sotera Health,SHC,$5.14 B,$18.23,USA
DKSH Holding,DKSH.SW,$5.14 B,$79.06,Switzerland
Exponent,EXPO,$5.13 B,$101.45,USA
GOL Airlines,GOL,$5.12 B,$3.13,Brazil
Cerevel Therapeutics,CERE,$5.12 B,$32.79,USA
Hilton Grand Vacations,HGV,$5.12 B,$44.51,USA
AU Small Finance Bank,AUBANK.NS,$5.11 B,$7.68,India
İsdemir,ISDMR.IS,$5.11 B,$1.76,Turkey
Five9,FIVN,$5.11 B,$72.49,USA
RioCan REIT,REI-UN.TO,$5.10 B,$16.81,Canada
Penn National Gaming,PENN,$5.08 B,$32.77,USA
ZhongAn Insurance,6060.HK,$5.08 B,$3.46,China
Aalberts,AALB.AS,$5.07 B,$45.93,Netherlands
Owl Rock Capital,ORCC,$5.07 B,$12.88,USA
monday.com,MNDY,$5.06 B,$115.95,Israel
Chemours,CC,$5.06 B,$33.58,USA
HealthEquity,HQY,$5.06 B,$59.87,USA
Barito Pacific,OB8.F,$5.06 B,$0.04000,Indonesia
Ormat Technologies,ORA,$5.05 B,$90.21,USA
LHC Group,LHCG,$5.05 B,$162.91,USA
KION Group,KGX.DE,$5.04 B,$38.50,Germany
Fabrinet,FN,$5.04 B,$137.86,Cayman Islands
EVA Air,2618.TW,$5.04 B,$0.94,Taiwan
Hektaş,HEKTS.IS,$5.03 B,$1.99,Turkey
Koito Manufacturing,7276.T,$5.03 B,$15.65,Japan
Atkore,ATKR,$5.02 B,$126.16,USA
Pirelli,PIRC.MI,$5.02 B,$5.03,Italy
Banco de Crédito e Inversiones,BCI.SN,$5.02 B,$29.76,Chile
KOBAYASHI Pharmaceutical,4967.T,$5.01 B,$66.04,Japan
Alight,ALIT,$5.01 B,$8.93,USA
Colgate-Palmolive India,COLPAL.NS,$5.01 B,$18.43,India
First Financial Bankshares,FFIN,$5.00 B,$35.07,USA
Silicon Labs,SLAB,$4.99 B,$150.09,USA
AltaGas,ALA.TO,$4.99 B,$17.74,Canada
Asia Cement,1102.TW,$4.98 B,$1.41,Taiwan
PowerSchool,PWSC,$4.98 B,$25.00,USA
Banco Popular,BPOP,$4.98 B,$68.52,USA
Jollibee,JBFCF,$4.97 B,$4.30,Philippines
Nan Ya PCB,8046.TW,$4.97 B,$7.69,Taiwan
Perrigo,PRGO,$4.96 B,$36.89,Ireland
Cummins India,CUMMINSIND.NS,$4.96 B,$17.89,India
HomeServe,HSV.L,$4.95 B,$14.64,UK
10x Genomics,TXG,$4.94 B,$43.22,USA
Bank of India,BANKINDIA.NS,$4.94 B,$1.20,India
Johnson Matthey,JMAT.L,$4.94 B,$26.93,UK
Bharat Forge,BHARATFORG.NS,$4.93 B,$10.60,India
Sharp Corporation,6753.T,$4.93 B,$7.59,Japan
CSN Mineração,CMIN3.SA,$4.93 B,$0.90,Brazil
Fuchs Petrolub,FPE.F,$4.92 B,$32.36,Germany
New Jersey Resources,NJR,$4.92 B,$51.09,USA
Polycab India,POLYCAB.NS,$4.92 B,$32.91,India
International Game Technology,IGT,$4.92 B,$24.58,UK
Evercore,EVR,$4.92 B,$126.72,USA
Kingsoft,3888.HK,$4.92 B,$3.62,China
British Land,BLDA.F,$4.91 B,$5.26,UK
Nykaa,NYKAA.NS,$4.91 B,$1.73,India
Reply,REY.MI,$4.91 B,$130.43,Italy
Wendy’s Company,WEN,$4.91 B,$23.08,USA
Thor Industries,THO,$4.90 B,$91.70,USA
Astral Poly Technik,ASTRAL.NS,$4.89 B,$24.32,India
Petro Rabigh,2380.SR,$4.89 B,$2.93,S. Arabia
Bank OZK,OZK,$4.89 B,$41.65,USA
Elastic NV,ESTC,$4.89 B,$51.21,USA
Weibo,WB,$4.89 B,$20.69,China
Unite Group (Unite Students),UTG.L,$4.89 B,$12.22,UK
Power Finance Corp,PFC.NS,$4.89 B,$1.85,India
