07-silvestri-revenue_2020,08-slytherin-revenue,01-DDD-revenue_2017_euro,01-DDD-revenue_2020_euro,03-gren-revenue_2020_eu
doll_2.5 m,doll_13.17 m,"110,200",doll_2.5 m,doll_2.5 m
doll_16.48 m,doll_55.9 m,"744,092",doll_16.48 m,doll_16.48 m
doll_8.59 m,doll_2.61 m,"387,995",doll_8.59 m,doll_8.59 m
doll_3.84 m,doll_215.01 m,"179,204",doll_3.84 m,doll_3.84 m
doll_7.78 m,doll_3.63 m,"388,565",doll_7.78 m,doll_7.78 m
doll_25.9 m,doll_249.53 m,"1,186,853",doll_25.9 m,doll_25.9 m
doll_13.31 m,doll_12.01 m,"640,056",doll_13.31 m,doll_13.31 m
doll_2.13 m,doll_203.94 m,"103,240",doll_2.13 m,doll_2.13 m
doll_64.22 m,doll_18.73 m,"3,188,715",doll_64.22 m,doll_64.22 m
doll_4.75 m,doll_110.3 m,"238,216",doll_4.75 m,doll_4.75 m
doll_11.66 m,doll_143.12 m,"585,280",doll_11.66 m,doll_11.66 m
doll_7.44 m,doll_10.65 m,"376,519",doll_7.44 m,doll_7.44 m
doll_4.01 m,doll_5.77 m,"203,950",doll_4.01 m,doll_4.01 m
doll_5.14 m,doll_369.66 m,"270,090",doll_5.14 m,doll_5.14 m
doll_6.95 m,doll_2.80 m,"369,000",doll_6.95 m,doll_6.95 m
doll_9.79 m,doll_47.6 m,"535,070",doll_9.79 m,doll_9.79 m
doll_15.37 m,doll_7.34 m,"858,482",doll_15.37 m,doll_15.37 m
doll_35.94 m,doll_16.64 m,"2,007,000",doll_35.94 m,doll_35.94 m
doll_6.63 m,doll_61.4 m,"375,323",doll_6.63 m,doll_6.63 m
doll_6.39 m,doll_43.06 m,"362,320",doll_6.39 m,doll_6.39 m
doll_14.18 m,doll_3.13 m,"805,870",doll_14.18 m,doll_14.18 m
doll_57.67 m,doll_1.56 m,"3,306,795",doll_57.67 m,doll_57.67 m
doll_109.25 m,doll_8.50 m,"6,287,460",doll_109.25 m,doll_109.25 m
doll_2.21 m,doll_18.98 m,"128,176",doll_2.21 m,doll_2.21 m
doll_4.0 m,doll_12.83 m,"255,062",doll_4.0 m,doll_4.0 m
doll_5.16 m,doll_24.48 m,"330,763",doll_5.16 m,doll_5.16 m
doll_1.83 m,doll_41.21 m,"107,492",doll_1.83 m,doll_1.83 m
doll_2.21 m,doll_53.5 m,"131,164",doll_2.21 m,doll_2.21 m
doll_20.15 m,doll_316.1 m,"1,199,580",doll_20.15 m,doll_20.15 m
doll_40.81 m,doll_17.8 m,"2,474,341",doll_40.81 m,doll_40.81 m
doll_4.46 m,doll_15.98 m,"270,750",doll_4.46 m,doll_4.46 m
doll_11.76 m,doll_7.20 m,"742,746",doll_11.76 m,doll_11.76 m
doll_4.9 m,doll_8.47 m,"314,150",doll_4.9 m,doll_4.9 m
doll_3.87 m,doll_2.16 m,"249,176",doll_3.87 m,doll_3.87 m
doll_4.84 m,doll_9.02 m,"320,411",doll_4.84 m,doll_4.84 m
doll_10.02 m,doll_43.21 m,"672,821",doll_10.02 m,doll_10.02 m
doll_2120.07 m,doll_40.9 m,"145,398,192",doll_2120.07 m,doll_2.12 b
doll_5.64 m,doll_5.18 m,"387,161",doll_5.64 m,doll_5.64 m
doll_3.5 m,doll_30.01 m,"245,000",doll_3.5 m,doll_3.5 m
doll_7.29 m,doll_107.40 m,"518,613",doll_7.29 m,doll_7.29 m
doll_3.69 m,doll_34.64 m,"262,421",doll_3.69 m,doll_3.69 m
doll_23.8 m,doll_73.76 m,"1,702,000",doll_23.8 m,doll_23.8 m
doll_2.61 m,doll_9.03 m,"188,680",doll_2.61 m,doll_2.61 m
doll_107.86 m,doll_14.33 m,"7,930,094",doll_107.86 m,doll_107.86 m
doll_12.57 m,doll_64.4 m,"925,527",doll_12.57 m,doll_12.57 m
doll_5.76 m,doll_24.31 m,"422,420",doll_5.76 m,doll_5.76 m
doll_2.18 m,doll_5.45 m,"159,707",doll_2.18 m,doll_2.18 m
doll_74.07 m,doll_10.11 m,"5,581,858",doll_74.07 m,doll_74.07 m
doll_1.53 m,doll_7.07 m,"113,072",doll_1.53 m,doll_1.53 m
doll_3.32 m,doll_12.47 m,"247,465",doll_3.32 m,doll_3.32 m
doll_1.88 m,doll_80.32 m,"139,300",doll_1.88 m,doll_1.88 m
doll_3.06 m,doll_12.16 m,"228,076",doll_3.06 m,doll_3.06 m
doll_9.19 m,doll_22.7 m,"684,874",doll_9.19 m,doll_9.19 m
doll_2.27 m,doll_7.3 m,"171,057",doll_2.27 m,doll_2.27 m
doll_3.86 m,doll_8.62 m,"291,481",doll_3.86 m,doll_3.86 m
doll_11.53 m,doll_1.43 m,"882,099",doll_11.53 m,doll_11.53 m
doll_8.73 m,doll_144.86 m,"664,000",doll_8.73 m,doll_8.73 m
doll_2.85 m,doll_1.86 m,"217,460",doll_2.85 m,doll_2.85 m
