07-silvestri-revenue_2017,03-gren-revenue_2017_eu,01-DDD-revenue_2017_euro,01-DDD-absolute_growth_rate_pct,01-DDD-revenue_2020_euro
"369,000",369000,"369,000","1,782.11",doll_6.95 m
"535,070",535070,"535,070","1,729.53",doll_9.79 m
"858,482",858482,"858,482","1,702.70",doll_15.37 m
"2,007,000",2007000,"2,007,000","1,690.63",doll_35.94 m
"375,323",375323,"375,323","1,666.64",doll_6.63 m
"362,320",362320,"362,320","1,664.65",doll_6.39 m
"805,870",805870,"805,870","1,659.07",doll_14.18 m
"3,306,795",3306795,"3,306,795","1,644.00",doll_57.67 m
"6,287,460",6287460,"6,287,460","1,637.55",doll_109.25 m
"128,176",128176,"128,176","1,624.69",doll_2.21 m
"255,062",255062,"255,062","1,613.70",doll_4.0 m
"330,763",330763,"330,763","1,604.74",doll_5.16 m
"107,492",107492,"107,492","1,598.31",doll_1.83 m
"131,164",131164,"131,164","1,586.90",doll_2.21 m
"1,199,580",1199580,"1,199,580","1,579.82",doll_20.15 m
"2,474,341",2474341,"2,474,341","1,561.33",doll_40.81 m
"270,750",270750,"270,750","1,546.97",doll_4.46 m
"742,746",742746,"742,746","1,494.85",doll_11.76 m
"314,150",314150,"314,150","1,459.11",doll_4.9 m
"249,176",249176,"249,176","1,453.83",doll_3.87 m
"320,411",320411,"320,411","1,420.90",doll_4.84 m
"672,821",672821,"672,821","1,389.24",doll_10.02 m
"145,398,192",145398192,"145,398,192","1,368.58",doll_2120.07 m
"387,161",387161,"387,161","1,367.04",doll_5.64 m
"245,000",245000,"245,000","1,328.57",doll_3.5 m
"518,613",518613,"518,613","1,306.55",doll_7.29 m
"262,421",262421,"262,421","1,304.85",doll_3.69 m
"1,702,000",1702000,"1,702,000","1,298.53",doll_23.8 m
"188,680",188680,"188,680","1,283.67",doll_2.61 m
"7,930,094",7930094,"7,930,094","1,269.90",doll_107.86 m
"925,527",925527,"925,527","1,268.04",doll_12.57 m
"422,420",422420,"422,420","1,264.72",doll_5.76 m
"159,707",159707,"159,707","1,262.58",doll_2.18 m
"5,581,858",5581858,"5,581,858","1,257.04",doll_74.07 m
"113,072",113072,"113,072","1,254.32",doll_1.53 m
"247,465",247465,"247,465","1,251.43",doll_3.32 m
"139,300",139300,"139,300","1,249.94",doll_1.88 m
"228,076",228076,"228,076","1,242.47",doll_3.06 m
"684,874",684874,"684,874","1,241.42",doll_9.19 m
"171,057",171057,"171,057","1,234.31",doll_2.27 m
"291,481",291481,"291,481","1,225.70",doll_3.86 m
"882,099",882099,"882,099","1,216.25",doll_11.53 m
