09-wissel-registration_date,09-wissel-deletion_date,09-wissel-code
02.04.2012,31.12.2015,80340595.0
16.08.2019,,14784063.0
03.12.2019,,14860812.0
15.10.2021,,80602457.0
15.07.2022,,16536518.0
01.11.2021,,16354705.0
11.11.2019,,14845698.0
01.04.2011,,12084841.0
04.11.2013,,12564073.0
27.05.2019,,14730392.0
17.01.2007,,11339753.0
02.07.2020,,14999935.0
25.02.2021,,16168782.0
31.08.2016,,14105292.0
28.03.2014,,12636654.0
15.08.2006,03.10.2011,11279896.0
16.08.2006,27.06.2011,11280362.0
29.08.2003,,10964398.0
11.12.2012,04.06.2017,12390354.0
23.04.2021,,16213790.0
14.08.2019,,14782012.0
02.12.2022,,16625630.0
15.09.2017,,14333001.0
01.07.2003,,10956231.0
16.11.2006,,11315971.0
22.06.2004,08.12.2014,11052365.0
22.10.2002,12.06.2013,10902264.0
11.02.2015,15.04.2015,12798345.0
14.12.2020,,16120284.0
06.04.2010,,11920608.0
06.04.2006,,11242410.0
23.09.1997,,10266012.0
25.04.2002,,10862576.0
18.09.2020,,16056623.0
09.05.2013,22.06.2017,80356745.0
05.06.2014,,12670898.0
23.10.2014,07.08.2019,12741115.0
23.10.2014,07.08.2019,12741115.0
12.10.2021,,16339947.0
05.11.2019,05.07.2021,14841525.0
01.11.2022,,80617996.0
03.11.2015,,12940317.0
09.09.2021,,16311050.0
07.08.2018,,14540071.0
21.12.2017,,14394758.0
13.12.2001,,10816665.0
01.12.2016,,14161706.0
12.03.2003,,80186243.0
05.05.2003,,80186705.0
20.09.2005,,11170461.0
03.04.2012,06.12.2022,12260108.0
01.12.2014,20.12.2019,80378209.0
09.03.2005,06.09.2012,80219190.0
,,
10.10.2006,,80240907.0
26.05.1998,15.11.2000,10454908.0
07.11.1996,29.12.1998,10165245.0
02.11.1998,30.10.2022,80051885.0
28.10.2002,,90003321.0
30.11.2020,,80589120.0
20.12.1996,,80002119.0
01.07.2002,,80171603.0
29.10.1999,29.05.2012,80111512.0
10.05.1996,16.12.2004,10034419.0
09.12.2016,,80410120.0
30.03.2004,25.01.2016,90007589.0
21.05.2009,,80288506.0
16.02.1996,22.04.1999,10011453.0
03.11.1998,,80051862.0
17.07.1997,22.07.2013,80008694.0
20.02.2009,,11593026.0
09.09.2013,,12533463.0
28.11.2011,30.08.2013,12198480.0
15.02.2006,15.11.2011,11205426.0
16.02.1998,15.01.2004,10382965.0
05.04.2006,08.08.2011,11242195.0
29.05.2009,18.08.2015,11662611.0
05.06.2019,,14737750.0
04.06.2021,,16246045.0
17.07.2018,,14527604.0
08.04.2003,22.01.2013,10915261.0
25.02.2011,,12065192.0
08.08.2022,,16548779.0
27.12.2021,,16401089.0
19.11.2020,,16102263.0
04.11.2021,,16358229.0
13.07.2006,17.12.2021,11273149.0
18.01.2016,,12979779.0
10.07.2013,,12502445.0
19.10.1998,,10486831.0
28.11.2005,15.08.2016,11194533.0
01.04.2021,,16197424.0
30.08.1996,22.05.2017,10073081.0
13.04.2021,,16205394.0
17.06.2011,,12121950.0
27.12.1996,18.05.2011,10178392.0
17.10.1996,24.08.2022,10111545.0
29.10.1998,05.12.2008,10502731.0
08.04.2013,,12450263.0
03.07.2015,,12874253.0
14.11.1996,,10077564.0
02.09.1998,,10482032.0
22.06.2010,,11959208.0
29.10.2003,,10971513.0
25.01.2011,,12048070.0
27.06.1997,,10215291.0
02.05.2003,,10927442.0
14.10.1996,,10134836.0
30.09.1997,,10276200.0
20.04.2020,,14954921.0
20.02.2003,11.10.2011,10925644.0
25.03.1999,07.05.2005,10543121.0
16.04.2020,,14953366.0
10.05.2018,,14486880.0
27.04.2009,16.01.2016,11641363.0
13.08.2010,16.11.2015,11977755.0
23.03.2020,,14941048.0
05.06.2017,,14272340.0
07.01.1998,03.12.2015,10359802.0
09.08.2016,,14093904.0
06.04.2000,09.05.2005,10660128.0
29.08.2002,17.12.2007,10889173.0
04.11.2015,,12941085.0
20.12.2010,,12031129.0
28.01.2021,,16149224.0
23.11.2004,,11088305.0
21.03.2018,,14453061.0
16.04.2021,,16208808.0
21.02.2012,14.08.2019,12238600.0
04.12.2018,,14619482.0
28.11.2005,21.05.2018,11194728.0
01.03.2002,,10845922.0
20.04.2010,,11928298.0
03.08.2012,07.06.2017,12323895.0
11.12.2006,,11329772.0
16.09.1997,,10275471.0
21.02.2018,,14434216.0
04.01.2010,,11848986.0
25.11.2014,29.11.2019,12758156.0
03.12.2014,26.01.2021,12763157.0
19.01.2016,,12980831.0
20.07.2005,,11153342.0
07.07.2014,11.05.2020,12685807.0
08.05.2008,07.02.2012,11503891.0
29.01.2016,,12986561.0
20.06.2022,,16522634.0
29.11.2007,26.06.2013,11451450.0
15.01.2016,,12978886.0
22.09.2011,,12165835.0
19.07.2000,,10681515.0
29.04.2016,,14040865.0
10.12.2021,,16387024.0
19.10.2005,01.08.2014,11172098.0
23.12.2009,,11830166.0
19.08.1996,,10067761.0
25.09.2018,,80555060.0
29.09.2009,06.08.2015,11726253.0
20.03.2019,,14685846.0
13.10.2022,,16593278.0
21.11.2005,06.04.2015,11193060.0
30.07.2008,,11519900.0
29.11.2016,,80409683.0
18.06.2021,,16255096.0
27.09.2007,11.10.2011,11428095.0
10.11.2011,28.01.2020,12190425.0
30.12.2020,,16129730.0
22.01.2015,16.07.2019,12787034.0
17.11.2022,,16615844.0
26.03.2014,,12634980.0
19.11.2020,,16101987.0
07.08.2013,17.05.2017,12516884.0
28.11.2018,,14615308.0
05.02.2013,,12416450.0
23.09.2005,,11167275.0
19.06.2017,,14279690.0
18.04.2018,21.03.2022,14472104.0
19.01.2005,15.05.2017,11089380.0
17.12.2019,,14870302.0
17.10.2017,,14353890.0
21.02.2007,,11355491.0
09.07.2009,04.10.2013,11683025.0
25.03.2010,07.01.2016,11915056.0
23.01.2020,29.06.2021,14895673.0
09.07.2014,,12686729.0
15.06.2009,,11658797.0
14.03.2018,,14448170.0
03.10.2017,,14344571.0
25.09.2006,10.01.2012,11302098.0
29.06.2022,,16526690.0
09.06.2009,,11666951.0
29.06.2005,,11150085.0
18.04.2022,,16481846.0
22.12.2015,01.11.2019,12968037.0
19.08.2016,08.07.2022,14099798.0
11.02.2011,,12059263.0
06.04.2010,,11920465.0
09.11.1998,29.11.2005,70001722.0
20.04.1999,10.07.2019,80087328.0
18.12.2003,16.07.2009,10995478.0
30.09.2019,,14814491.0
12.03.2018,,14445869.0
19.04.2005,17.04.2014,11124662.0
02.02.2007,,11347406.0
29.05.2020,,14980396.0
26.10.2000,27.08.2019,10707158.0
15.05.2001,01.04.2008,10761220.0
12.10.2018,,80555969.0
05.01.2010,18.05.2010,11855868.0
22.01.2007,,11341187.0
26.11.2004,09.11.2010,11086246.0
11.11.2004,01.06.2012,11075171.0
29.12.2020,,16129368.0
04.04.2008,,11464990.0
06.07.2018,,14521334.0
21.09.2017,,14336695.0
26.08.2014,,12709784.0
30.03.2009,09.05.2017,80283644.0
26.11.2021,,80604166.0
10.12.2013,11.09.2019,12582255.0
29.01.2016,,80396650.0
23.07.2009,,11692389.0
05.07.2022,,16529955.0
30.10.2018,,14596516.0
18.08.2005,,11158626.0
11.07.2000,19.11.2015,10680711.0
21.11.2017,,14374738.0
17.10.2006,,11308072.0
01.04.2022,,16472741.0
09.06.2015,25.03.2020,12862847.0
04.03.2004,11.07.2013,11018865.0
12.02.2007,,11352653.0
03.07.2012,18.07.2017,12309978.0
23.01.1998,14.08.2007,10365621.0
12.09.2007,,11424269.0
19.10.2018,,14590241.0
19.02.2018,,14432720.0
29.06.2020,,14996730.0
21.11.2012,,12381792.0
27.04.2004,18.01.2012,11032457.0
18.01.2007,,11340064.0
27.03.2003,25.10.2011,10938210.0
20.10.2021,,16346640.0
23.04.2007,13.01.2012,11374152.0
11.08.2021,,16289333.0
23.08.2022,,16558618.0
02.05.2007,26.07.2013,11384469.0
23.12.2015,,12968267.0
18.08.2021,,16295078.0
04.11.2009,19.02.2018,11747908.0
10.10.2006,,11305961.0
22.12.2017,,14395982.0
08.07.2009,12.04.2018,11682758.0
22.05.2008,,11506820.0
17.06.2009,22.08.2013,11676479.0
03.04.2008,,11489062.0
22.03.2021,,16189057.0
20.04.2021,,80595444.0
31.05.2021,,16242490.0
28.11.2003,,10991687.0
07.02.2019,,14657399.0
21.11.2014,17.12.2014,12757122.0
02.02.2009,,11581922.0
29.06.2004,05.11.2011,11052891.0
08.05.2019,,14719433.0
03.06.2021,,16245318.0
02.11.2020,,16088445.0
20.06.1996,,10050275.0
06.11.2013,15.06.2017,12565629.0
27.08.2009,,11709411.0
09.11.2005,14.09.2011,11184256.0
28.12.2005,,11202304.0
27.08.1996,,10084475.0
09.01.2019,,14638410.0
15.05.2006,,11254703.0
06.05.1998,18.12.2009,10437488.0
25.02.2013,13.08.2019,12426810.0
04.12.2009,,11791571.0
24.04.2020,,14957397.0
,,
09.11.2022,,16610462.0
25.10.2013,,12559758.0
12.06.2009,09.11.2012,11669143.0
05.09.2019,,14797522.0
08.11.2016,,14148290.0
18.09.2020,,80585546.0
02.11.2011,26.01.2021,12186346.0
23.07.2009,,11692691.0
01.10.2004,25.02.2009,11072014.0
13.11.2007,,11447299.0
31.12.2003,18.01.2011,90003446.0
18.05.2006,26.09.2011,11255826.0
07.05.2012,,12279384.0
28.03.2013,,80355220.0
02.01.2009,,80278318.0
21.02.2012,,12238534.0
03.02.2010,,11884864.0
25.05.2001,16.02.2011,10767004.0
10.09.2018,,14562747.0
01.06.2010,,11949196.0
30.01.2014,,12606529.0
17.09.2018,,80554729.0
25.05.2000,07.08.2012,10661197.0
24.11.2022,,16619776.0
13.11.1998,29.11.2005,70001892.0
30.09.2009,06.12.2017,11726929.0
07.03.2011,14.07.2011,12069439.0
15.01.2008,09.08.2016,11441109.0
03.01.2013,03.04.2013,12399326.0
03.11.2010,19.04.2017,12015343.0
23.01.2009,23.03.2010,11570456.0
30.08.2019,25.10.2019,14792720.0
22.07.2019,,14766013.0
24.09.2014,23.07.2019,12725323.0
09.02.2010,10.12.2019,11890118.0
17.12.2001,,10822364.0
28.06.1996,21.10.1998,10046374.0
21.08.2006,14.10.2011,11281568.0
26.07.2017,,14300823.0
25.08.2010,,80313747.0
