,id,name,official_name,headquarters_country,headquarters_continent,founded,employees,ceo,market_cap,categories,gbp
0,1e4dfb844d5a47e39c14699648cbd55a,Apple,Apple Inc.,Cupertino,CA,"April 1, 1976","100,000",Mr. Timothy D. Cook,$2.825 Trillion,"['UnitedStates', 'Technology', 'ConsumerElectronics', 'UnitedStatesTechnology', 'UnitedStatesConsumerElectronics']",
1,031f69c6c7fd49d89b00ecdfcd294bad,Danaher,Danaher Corporation,Washington,DC,1969,"78,000",Mr. Rainer M. Blair,$208.03 Billion,"['UnitedStates', 'Healthcare', 'Diagnostics&Research', 'UnitedStatesHealthcare', 'UnitedStatesDiagnostics&Research']",
2,8acd1acfe59d4fc88c28038c9d3e8911,Merck,"Merck & Co., Inc.",Kenilworth,NJ,1891,"67,000",Mr. Robert M. Davis J.D.,$210.38 Billion,"['UnitedStates', 'Healthcare', 'DrugManufacturers—General', 'UnitedStatesHealthcare', 'UnitedStatesDrugManufacturers—General']",
3,ba6efa594766439dafb4045f0b25a23a,Bhp,BHP Group,Melbourne,VIC,1885,"40,110","Mr. Mike P. Henry B.Sc., BSc (Chem)",A$281.66 Billion,"['Australia', 'BasicMaterials', 'OtherIndustrialMetals&Mining', 'AustraliaBasicMaterials', 'AustraliaOtherIndustrialMetals&Mining']",$211.25 Billion
4,83d47a2c8bd545cf80c17abfa6d81cf9,Nike,"Nike, Inc.",Beaverton,OR,"January 25, 1964","73,300",Mr. John J. Donahoe II,$213.60 Billion,"['UnitedStates', 'ConsumerDiscretionary', 'Footwear&Accessories', 'UnitedStatesConsumerDiscretionary', 'UnitedStatesFootwear&Accessories']",
5,4568b61276284513a2415bf62c81c25d,Abbott,Abbott Laboratories,NorthChicago,IL,1888,"113,000",Mr. Robert B. Ford,$215.02 Billion,"['UnitedStates', 'Healthcare', 'MedicalDevices', 'UnitedStatesHealthcare', 'UnitedStatesMedicalDevices']",
6,085222fa6100409899a25d872728ec07,Verizon,Verizon Communications Inc.,NewYork,NY,"October 7, 1983","118,400",Mr. Hans E. Vestberg,$216.68 Billion,"['UnitedStates', 'CommunicationServices', 'TelecomServices', 'UnitedStatesCommunicationServices', 'UnitedStatesTelecomServices']",
7,5560a517dbe54617b85e0781f421a132,Comcast,Comcast Corporation,Philadelphia,PA,"June 28, 1963","189,000",Mr. Brian L. Roberts,$218.90 Billion,"['UnitedStates', 'CommunicationServices', 'Entertainment', 'UnitedStatesCommunicationServices', 'UnitedStatesEntertainment']",
8,893f7d2a57624f5dab089dfd9859c7c8,Accenture,Accenture plc,Dublin,Ireland,1989,"699,000",Ms. Julie T. Spellman Sweet,$219.03 Billion,"['Ireland', 'Technology', 'InformationTechnologyServices', 'IrelandTechnology', 'IrelandInformationTechnologyServices']",
9,ad1fe265917248bd9943f12003d4c12e,L'oréal,L'Oréal SA,Clichy,France,,"85,400",Mr. Nicolas  Hieronimus,€203.85 Billion,"['France', 'ConsumerStaples', 'Household&PersonalProducts', 'FranceConsumerStaples', 'FranceHousehold&PersonalProducts']",$225.24 Billion
10,20c3e83f0e994664bd51b7c864a400dd,Oracle,Oracle Corporation,RedwoodCity,CA,"June 16, 1977","132,000",Ms. Safra Ada Catz,$228.18 Billion,"['UnitedStates', 'Technology', 'Software—Infrastructure', 'UnitedStatesTechnology', 'UnitedStatesSoftware—Infrastructure']",
