name,country,market_value_apr_2022,sector,stock
Stryker Corporation,united states,$101.41 B,healthcare,SYK
S&P Global Inc.,united states,$100.84 B,financials,SPGI
The Estée Lauder Companies Inc.,united states,$100.16 B,consumer staples,EL
General Electric Company,united states,$99.22 B,industrials,GE
Daimler AG,germany,NULL,consumer discretionary,DAI
Chubb Limited,switzerland,$98.57 B,financials,CB
Allianz SE,germany,$98.47 B,financials,ALV
Petróleo Brasileiro S.A. - Petrobras,brazil,$98.37 B,energy,PBR
Airbus SE,netherlands,$97.41 B,industrials,AIR
China Life Insurance Company Limited,china,$97.31 B,financials,LFC
"Automatic Data Processing, Inc.",united states,$96.98 B,industrials,ADP
BP plc,united kingdom,$96.24 B,energy,BP.
China Shenhua Energy Company Ltd,china,$95.34 B,energy,601088
Booking Holdings Inc.,united states,$95.02 B,consumer discretionary,BKNG
Canadian National Railway Company,canada,$94.96 B,industrials,CNR
Enbridge Inc.,canada,$94.94 B,energy,ENB
Schneider Electric SE,france,$94.34 B,industrials,SU
Deutsche Telekom AG,germany,$93.01 B,communication services,DTE
MERCK Kommanditgesellschaft auf Aktien,germany,$90.74 B,healthcare,MRK
"Mondelez International, Inc.",united states,$90.67 B,consumer staples,MDLZ
"JD.com, Inc.",china,$90.46 B,consumer discretionary,9618
Vulcan International Corp,united states,$90.34 B,basic materials,VULC
Zoetis Inc.,united states,$89.82 B,healthcare,ZTS
CSL Limited,australia,$89.69 B,healthcare,CSL
3M Company,united states,$88.77 B,industrials,MMM
Duke Energy Corporation,united states,$88.76 B,utilities,DUK
Bank of Nova Scotia,canada,$87.76 B,financials,BNS
The Blackstone Group Inc.,united states,$87.64 B,financials,BX
Brookfield Asset Management Inc.,canada,$87.46 B,financials,BAM.A
Glencore plc,switzerland,$87.31 B,basic materials,GLEN
CME Group Inc.,united states,$87.17 B,financials,CME
"Marsh & McLennan Companies, Inc.",united states,$87.16 B,financials,MMC
"Micron Technology, Inc.",united states,$86.49 B,technology,MU
"Mitsubishi UFJ Financial Group, Inc.",japan,$85.03 B,financials,8306
Cigna Corporation,united states,$84.67 B,healthcare,CI
Shopify Inc.,canada,$83.80 B,technology,SHOP
Air Liquide SA,france,$83.24 B,basic materials,AI
"HCA Healthcare, Inc.",united states,$82.60 B,healthcare,HCA
National Australia Bank Limited,australia,$81.03 B,financials,NAB
Crown Castle International Corp. (REIT),united states,$80.92 B,real estate,CCI
EssilorLuxottica SA,france,$80.49 B,healthcare,EL
U.S. Bancorp,united states,$80.16 B,financials,USB
Tokyo Electron Ltd,japan,$79.62 B,technology,8035
Bank of Montreal,canada,$79.22 B,financials,BMO
Kering SA,france,$78.66 B,consumer discretionary,KER
China Yangtze Power Co. Ltd,china,$78.42 B,utilities,600900
China Petroleum & Chemical Corporation,china,$78.39 B,energy,600028
The Southern Company,united states,$78.38 B,utilities,SO
Lam Research Corporation,united states,$77.60 B,technology,LRCX
"The PNC Financial Services Group, Inc.",united states,$77.10 B,financials,PNC
"Becton, Dickinson and Company",united states,$76.98 B,healthcare,BDX
"Gilead Sciences, Inc.",united states,$76.15 B,healthcare,GILD
"Regeneron Pharmaceuticals, Inc.",united states,$74.91 B,healthcare,REGN
Truist Financial Corporation,united states,$74.79 B,financials,TFC
Canadian Natural Resources Limited,canada,$74.78 B,energy,CNQ
"Intercontinental Exchange, Inc.",united states,$74.17 B,financials,ICE
"The TJX Companies, Inc.",united states,$73.99 B,consumer discretionary,TJX
Atlassian Corporation Plc,australia,$73.72 B,technology,TEAM
Zurich Insurance Group AG,switzerland,$73.58 B,financials,ZURN
Edwards Lifesciences Corporation,united states,$73.38 B,healthcare,EW
Aon Plc,united kingdom,$73.33 B,financials,AON
Northrop Grumman Corporation,united states,$73.25 B,industrials,NOC
KDDI Corp,japan,$73.12 B,communication services,9433
Norfolk Southern Corporation,united states,$72.31 B,industrials,NSC
Freeport-McMoRan Inc.,united states,$72.16 B,basic materials,FCX
Wal-Mart de Mexico SAB de CV,mexico,$71.96 B,consumer staples,WALMEX
PT Bank Central Asia Tbk,indonesia,$71.91 B,financials,BBCA
"EOG Resources, Inc.",united states,$71.90 B,energy,EOG
Siemens Healthineers AG,germany,$71.50 B,healthcare,SHL
Anglo American plc,united kingdom,$71.48 B,basic materials,AAL
"Moderna, Inc.",united states,$70.81 B,healthcare,MRNA
General Dynamics Corporation,united states,$70.55 B,industrials,GD
AXA SA,france,$70.20 B,financials,CS
"Dominion Energy, Inc.",united states,$70.20 B,utilities,D
Enel SpA,italy,$70.15 B,utilities,ENEL
BNP Paribas SA,france,$69.90 B,financials,BNP
"América Móvil, S.A.B. de C.V.",mexico,NULL,communication services,AMXA
Public Storage,united states,$69.31 B,real estate,PSA
UBS Group AG,switzerland,$68.93 B,financials,UBSG
Sberbank of Russia PJSC,russia,$68.69 B,financials,SBER
"Fiserv, Inc.",united states,$68.68 B,technology,FISV
"Iberdrola, SA",spain,$68.23 B,utilities,IBE
Recruit Holdings Co Ltd,japan,$68.11 B,industrials,6098
Bayer AG,germany,$68.09 B,healthcare,BAYN
The Sherwin-Williams Company,united states,$67.54 B,basic materials,SHW
Vertex Pharmaceuticals Incorporated,united states,$67.49 B,healthcare,VRTX
Illinois Tool Works Inc.,united states,$67.49 B,industrials,ITW
The Progressive Corporation,united states,$67.31 B,financials,PGR
Westpac Banking Corporation,australia,$67.20 B,financials,WBC
ABB Ltd,switzerland,$67.19 B,industrials,ABBN
"Waste Management, Inc.",united states,$66.95 B,industrials,WM
Industrial Bank Co. Ltd,china,$66.87 B,financials,601166
DBS Group Holdings Ltd,singapore,$66.74 B,financials,D05
ICICI Bank Limited,india,$66.62 B,financials,IBN
"Equinix, Inc. (REIT)",united states,$66.35 B,real estate,EQIX
Newmont Corporation,united states,$65.89 B,basic materials,NEM
Ford Motor Company,united states,$65.74 B,consumer discretionary,F
Colgate-Palmolive Company,united states,$65.64 B,consumer staples,CL
Exelon Corporation,united states,$65.53 B,utilities,EXC
Snowflake Inc.,united states,$65.04 B,technology,SNOW
Oriental Land Co. Ltd,japan,$64.66 B,consumer discretionary,4661
"SK hynix, Inc.",south korea,NULL,technology,660
AP Moller - Maersk A-S,denmark,$64.40 B,industrials,MAERSK.B
Shin-Etsu Chemical Co Ltd,japan,$63.43 B,basic materials,4063
FedEx Corporation,united states,$63.25 B,industrials,FDX
Boston Scientific Corporation,united states,$63.08 B,healthcare,BSX
PacifiCorp,united states,$62.87 B,utilities,PPWLM
Dassault Systèmes SE,france,$62.75 B,technology,DSY
"MetLife, Inc.",united states,$62.69 B,financials,MET
General Motors Company,united states,$62.69 B,consumer discretionary,GM
Sea Limited,singapore,$62.66 B,communication services,SE
"Uber Technologies, Inc.",united states,$62.66 B,technology,UBER
Moody's Corporation,united states,$62.58 B,financials,MCO
Nintendo Co Ltd,japan,$62.20 B,communication services,7974
Pioneer Natural Resources Company,united states,$62.19 B,energy,PXD
Eaton Corporation plc,ireland,$62.17 B,industrials,ETN
"Analog Devices, Inc.",united states,$62.00 B,technology,ADI
"Fidelity National Information Services, Inc.",united states,$61.73 B,technology,FIS
"Banco Santander, SA",spain,$61.67 B,financials,SAN
Hapag-Lloyd AG,germany,$61.46 B,industrials,HLAG
Adyen N.V.,netherlands,$61.11 B,technology,ADYEN
Atlas Copco AB,sweden,$60.97 B,industrials,ATCO.A
CNOOC Limited,hong kong,$60.19 B,energy,883
Nutrien Ltd.,canada,$60.06 B,basic materials,NTR
"Block, Inc.",united states,$59.95 B,technology,SQ
Deutsche Post AG,germany,$59.80 B,industrials,DPWA
"NetEase, Inc.",china,$59.76 B,communication services,9999
Hong Kong Exchanges & Clearing Ltd,hong kong,$59.75 B,financials,388
Capital One Financial Corporation,united states,$59.67 B,financials,COF
Emerson Electric Co.,united states,$59.66 B,industrials,EMR
"Palo Alto Networks, Inc.",united states,$59.65 B,technology,PANW
Australia and New Zealand Banking Group Limited,australia,$59.55 B,financials,ANZ
Reckitt Benckiser Group plc,united kingdom,NULL,consumer staples,RKT
Nongfu Spring Co. Ltd,china,$59.50 B,consumer staples,9633
Saudi Telecom Company,saudi arabia,$59.47 B,communication services,7010
Southern Copper Corporation,united states,$59.46 B,basic materials,SCCO
Shenzhen Mindray Bio-Medical Electronics Co. Ltd,china,$59.26 B,healthcare,300760
Vinci SA,france,$59.01 B,industrials,DG
"Workday, Inc.",united states,$58.70 B,technology,WDAY
RELX plc,united kingdom,$58.53 B,communication services,REL
Marvell Technology Group Ltd.,NULL,$58.36 B,NULL,MRVL
"Air Products and Chemicals, Inc.",united states,$57.82 B,basic materials,APD
Pernod Ricard SA,france,$57.75 B,consumer staples,RI
Schlumberger Limited,united states,$57.63 B,energy,SLB
"Marvell Technology, Inc.",united states,$57.62 B,technology,9MW
Itaú Unibanco Holding SA,brazil,$57.45 B,financials,ITUB
Enterprise Products Partners L.P.,united states,$57.43 B,energy,EPD
Foshan Haitian Flavouring and Food Company Ltd,china,$57.40 B,consumer staples,603288
Mitsubishi Corp,japan,$57.23 B,industrials,8058
Canadian Imperial Bank of Commerce,canada,$57.20 B,financials,CM
"Marriott International, Inc.",united states,$57.18 B,consumer discretionary,MAR
Pinduoduo Inc.,china,$57.09 B,consumer discretionary,PDD
IHS Markit Ltd.,united kingdom,NULL,industrials,INFO
The Saudi National Bank,saudi arabia,$56.89 B,financials,1180
TC Energy Corporation,canada,$56.77 B,energy,TRP
Humana Inc.,united states,$56.55 B,healthcare,HUM
KLA Corporation,united states,$56.48 B,technology,KLAC
Bank of Communications Co. Ltd,china,$56.38 B,financials,601328
Bayerische Motoren Werke AG,germany,$56.17 B,consumer discretionary,BMWB
Macquarie Group Limited,australia,$55.99 B,financials,MQG
National Grid plc,united kingdom,$55.88 B,utilities,NG.
"Daikin Industries,Ltd.",japan,$55.58 B,industrials,6367
Chugai Pharmaceutical Co. Ltd,japan,$55.31 B,healthcare,4519
Keurig Dr Pepper Inc.,united states,$55.28 B,consumer staples,KDP
Ergo Science Corp,united states,NULL,industrials,ERGN
SoftBank Group Corp.,japan,$54.93 B,communication services,9984
Heineken N.V.,netherlands,$54.87 B,consumer staples,HEIA
Ambev SA,brazil,$54.69 B,consumer staples,ABEV3
Canadian Pacific Railway Limited,canada,$54.59 B,industrials,CP
Marathon Petroleum Corporation,united states,$54.54 B,energy,MPC
"American International Group, Inc.",united states,$54.31 B,financials,AIG
Dollar General Corporation,united states,$54.30 B,consumer staples,DG
"Fortinet, Inc.",united states,$53.86 B,technology,FTNT
Snap Inc.,united states,$53.86 B,communication services,SNAP
Ferrari N.V.,italy,$53.78 B,consumer discretionary,RACE
Lonza Group Ltd,switzerland,$53.76 B,healthcare,LONN
London Stock Exchange Group plc,united kingdom,$53.33 B,financials,LSEG
Thomson Reuters Corporation,canada,$53.30 B,industrials,TRI
BASF SE,germany,$52.76 B,basic materials,BAS
Sempra Energy,united states,$52.47 B,utilities,SRE
Occidental Petroleum Corporation,united states,$52.30 B,energy,OXY
"Liberty Bancshares, Inc. (OH)",united states,NULL,financials,LBSI
Fast Retailing Co. Ltd,japan,$52.29 B,consumer discretionary,9983
NXP Semiconductors N.V.,netherlands,$52.28 B,technology,NXPI
"Xilinx, Inc.",united states,NULL,technology,XLNX
ITOCHU Corp,japan,$52.19 B,industrials,8001
Eni S.p.A.,italy,$52.00 B,energy,ENI
Stellantis N.V.,netherlands,$51.80 B,consumer discretionary,STLA
BCE Inc.,canada,$51.71 B,communication services,BCE
DENSO Corp,japan,$51.58 B,consumer discretionary,6902
Toyota Motor Corporation,japan,$51.55 B,consumer discretionary,7203
"L3Harris Technologies, Inc.",united states,$51.51 B,industrials,LHX
"AgriBank, FCB",united states,NULL,financials,AGRIP
General Accident plc,united kingdom,$51.43 B,financials,GACA
Archer-Daniels-Midland Company,united states,$51.03 B,consumer staples,ADM
"American Electric Power Company, Inc.",united states,$50.95 B,utilities,AEP
Fortescue Metals Group Limited,australia,$50.76 B,basic materials,FMG
Hon Hai Precision Industry Co. Ltd,taiwan,$50.75 B,technology,2317
China Tourism Group Duty Free Corp Ltd,china,$50.46 B,consumer discretionary,601888
Ecolab Inc.,united states,$50.29 B,basic materials,ECL
Novatek PJSC,russia,$50.19 B,energy,NVTK
"Synopsys, Inc.",united states,$50.18 B,technology,SNPS
Safran SA,france,$50.02 B,industrials,SAF
"Illumina, Inc.",united states,$49.91 B,healthcare,ILMN
"MercadoLibre, Inc.",argentina,$49.83 B,consumer discretionary,MELI
"Roper Technologies, Inc.",united states,$49.66 B,industrials,ROP
The Kraft Heinz Company,united states,$49.42 B,consumer staples,KHC
Centene Corporation,united states,$49.32 B,healthcare,CNC
"Paychex, Inc.",united states,$49.23 B,industrials,PAYX
"Honda Motor Co., Ltd.",japan,$49.11 B,consumer discretionary,7267
Hitachi Ltd,japan,$48.92 B,industrials,6501
Scentre Group,australia,$48.83 B,real estate,SCG
"MediaTek, Inc.",taiwan,$48.74 B,technology,2454
Lululemon Athletica Inc.,canada,$48.52 B,consumer discretionary,LULU
Dow Inc.,united states,$48.50 B,basic materials,DOW
Rosneft Oil Co PJSC,russia,$48.50 B,energy,ROSN
McKesson Corporation,united states,$48.46 B,healthcare,MCK
Suncor Energy Inc.,canada,$48.27 B,energy,SU
"VMware, Inc.",united states,$48.17 B,technology,VMW
Johnson Controls International plc,ireland,$48.15 B,industrials,JCI
"O'Reilly Automotive, Inc.",united states,$48.14 B,consumer discretionary,ORLY
Grupo Mexico SAB de CV,mexico,$48.00 B,basic materials,GMEXICOB
"CrowdStrike Holdings, Inc.",united states,$47.89 B,technology,CRWD
Naspers Ltd,south africa,$47.73 B,communication services,NPN
"Autodesk, Inc.",united states,$47.69 B,technology,ADSK
"Prudential Financial, Inc.",united states,$47.17 B,financials,PRU
Open Joint Stock Company OMZ,russia,$47.15 B,industrials,OMZZP
Cognizant Technology Solutions Corporation,united states,$47.07 B,technology,CTSH
Nucor Corporation,united states,$46.86 B,basic materials,NUE
"DexCom, Inc.",united states,$46.86 B,healthcare,DXCM
Banco Bradesco SA,brazil,$46.71 B,financials,BBDC3
Nidec Corp,japan,$46.33 B,industrials,6594
adidas AG,germany,$46.13 B,consumer discretionary,ADS1
Sika AG,switzerland,$46.01 B,basic materials,SIKA
"Baidu, Inc.",china,$45.98 B,communication services,9888
Takeda Pharmaceutical Company Limited,japan,$45.89 B,healthcare,4502
The Hershey Company,united states,$45.83 B,consumer staples,HSY
Amphenol Corporation,united states,$45.77 B,technology,APH
Vanjia Corp,united states,NULL,consumer discretionary,VNJA
Vodafone Group plc,united kingdom,$45.74 B,communication services,VOD
"IDEXX Laboratories, Inc.",united states,$45.64 B,healthcare,IDXX
"The Travelers Companies, Inc.",united states,$45.56 B,financials,TRV
Infineon Technologies AG,germany,$45.35 B,technology,IFXA
"Constellation Brands, Inc.",united states,$45.21 B,consumer staples,STZ
"Datadog, Inc.",united states,$45.13 B,technology,DDOG
Mitsui & Co. Ltd,japan,$45.09 B,energy,8031
Saudi Arabian Mining Company,saudi arabia,$45.00 B,basic materials,1211
PJSC Lukoil,russia,$44.96 B,energy,LKOH
Intesa Sanpaolo S.p.A.,italy,$44.95 B,financials,ISP
TE Connectivity Ltd.,switzerland,$44.78 B,technology,TEL
"AutoZone, Inc.",united states,$44.39 B,consumer discretionary,AZO
IQVIA Holdings Inc.,united states,$44.32 B,healthcare,IQV
Cintas Corporation,united states,$44.32 B,industrials,CTAS
"Cadence Design Systems, Inc.",united states,$44.23 B,technology,CDNS
"Chipotle Mexican Grill, Inc.",united states,$44.11 B,consumer discretionary,CMG
"Sumitomo Mitsui Financial Group, Inc.",japan,$44.06 B,financials,8316
"Samsung Biologics Co.,Ltd.",south korea,$44.01 B,healthcare,207940
Wipro Limited,india,$43.98 B,technology,WIPRO
Zijin Mining Group Co Ltd,china,$43.93 B,basic materials,601899
HP Inc.,united states,$43.90 B,technology,HPQ
Lloyds Banking Group plc,united kingdom,$43.70 B,financials,LLOY
"Simon Property Group, Inc.",united states,$43.69 B,real estate,SPG
Aflac Incorporated,united states,$43.59 B,financials,AFL
Barrick Gold Corporation,canada,$43.50 B,basic materials,ABX
Murata Manufacturing Co. Ltd,japan,$43.41 B,technology,6981
"Kinder Morgan, Inc.",united states,$43.38 B,energy,KMI
Kimberly-Clark Corporation,united states,$43.21 B,consumer staples,KMB
Xiaomi Corp,china,$43.10 B,technology,1810
Wesfarmers Limited,australia,$43.09 B,consumer discretionary,WES
"Republic Services, Inc.",united states,$42.91 B,industrials,RSG
HOYA Corp,japan,$42.88 B,healthcare,7741
Yihai Kerry Arawana Holdings Co. Ltd,china,$42.84 B,consumer staples,300999
Monster Beverage Corporation,united states,$42.81 B,consumer staples,MNST
LONGi Green Energy Technology Co. Ltd,china,$42.68 B,technology,601012
"Corteva, Inc.",united states,$42.66 B,basic materials,CTVA
"General Mills, Inc.",united states,$42.65 B,consumer staples,GIS
Seven & i Holdings Co. Ltd,japan,$42.53 B,consumer staples,3382
DSV PANALPINA A-S,denmark,$42.49 B,industrials,DSV
Hilton Worldwide Holdings Inc.,united states,$42.39 B,consumer discretionary,HLT
WuXi AppTec Co. Ltd,china,$42.25 B,healthcare,603259
Sysco Corporation,united states,$42.22 B,consumer staples,SYY
The Kroger Co.,united states,$42.03 B,consumer staples,KR
Manulife Financial Corporation,canada,$41.98 B,financials,MFC
BioNTech SE,germany,$41.93 B,healthcare,22UA
STMicroelectronics N.V.,switzerland,$41.91 B,technology,STM
Devon Energy Corporation,united states,$41.82 B,energy,DVN
"The Williams Companies, Inc.",united states,$41.60 B,energy,WMB
The Allstate Corporation,united states,$41.54 B,financials,ALL
Hang Seng Bank Limited,hong kong,$41.47 B,financials,11
Valero Energy Corporation,united states,$41.27 B,energy,VLO
ING Groep N.V.,netherlands,$41.25 B,financials,INGA
MMC Norilsk Nickel PJSC,russia,$41.16 B,basic materials,GMKN
"Motorola Solutions, Inc.",united states,$40.87 B,technology,MSI
"East Money Information Co.,Ltd.",china,$40.83 B,communication services,300059
The Bank of New York Mellon Corporation,united states,$40.83 B,financials,BK
Carrier Global Corporation,united states,$40.79 B,industrials,CARR
Oversea-Chinese Banking Corp Ltd,singapore,$40.77 B,financials,O39
"Digital Realty Trust, Inc.",united states,$40.64 B,real estate,DLR
"Walgreens Boots Alliance, Inc.",united states,$40.55 B,healthcare,WBA
"Agilent Technologies, Inc.",united states,$40.49 B,healthcare,A
Global Payments Inc.,united states,$40.35 B,industrials,GPN
CITIC Securities Company Ltd,china,$40.17 B,financials,600030
Baxter International Inc.,united states,$40.13 B,healthcare,BAX
BOC Hong Kong Holdings Ltd,hong kong,$39.99 B,financials,2388
MSCI Inc.,united states,$39.97 B,financials,MSCI
Welltower Inc.,united states,$39.96 B,real estate,WELL
Xcel Energy Inc.,united states,$39.76 B,utilities,XEL
United Overseas Bank Ltd,singapore,$39.73 B,financials,U11
Wanhua Chemical Group Co. Ltd,china,$39.73 B,basic materials,600309
"DuPont de Nemours, Inc.",united states,$39.72 B,basic materials,DD
EQT AB,japan,$39.71 B,financials,6EQ
Alimentation Couche-Tard Inc.,canada,NULL,consumer staples,ATD.B
eBay Inc.,united states,$39.34 B,consumer discretionary,EBAY
Givaudan SA,switzerland,$39.29 B,basic materials,GIVN
Novozymes A-S,denmark,$39.03 B,basic materials,NZYM.B
Prudential plc,united kingdom,$39.00 B,financials,PRU
