,name,symbol,marketcap,price,country
98,lockheed martin,lmt,doll_127.15 b,doll_485.19,usa
99,elevance health,elv,doll_124.83 b,doll_520.15,usa
100,bank of china,601988.ss,doll_124.27 b,doll_0.45,china
101,commonwealth bank,cba.ax,doll_122.63 b,doll_72.62,australia
102,hsbc,hsbc,doll_122.28 b,doll_30.62,uk
103,goldman sachs,gs,doll_122.03 b,doll_360.38,usa
104,caterpillar,cat,doll_122.02 b,doll_234.48,usa
105,sanofi,sny,doll_121.55 b,doll_47.95,france
106,anheuser-busch inbev,bud,doll_121.22 b,doll_61.14,belgium
107,ping an insurance,601318.ss,doll_120.21 b,doll_6.66,china
108,lindt,lisn.sw,doll_119.61 b,"doll_104,332",switzerland
109,intuit,intu,doll_117.68 b,doll_418.92,usa
110,toronto dominion bank,td,doll_117.56 b,doll_64.57,canada
111,starbucks,sbux,doll_117.29 b,doll_102.19,usa
112,intel,intc,doll_116.62 b,doll_28.26,usa
113,china life insurance,601628.ss,doll_116.58 b,doll_5.05,china
114,equinor,eqnr,doll_116.02 b,doll_37.09,norway
115,s&p global,spgi,doll_115.28 b,doll_353.84,usa
116,american express,axp,doll_115.15 b,doll_154.11,usa
117,rio tinto,rio,doll_115.03 b,doll_70.72,uk
118,pinduoduo,pdd,doll_113.80 b,doll_90.01,china
119,prologis,pld,doll_112.22 b,doll_121.58,usa
120,boeing,ba,doll_112.19 b,doll_188.25,usa
121,amd,amd,doll_111.13 b,doll_68.93,usa
122,gilead sciences,gild,doll_110.87 b,doll_88.40,usa
123,siemens,sie.de,doll_110.09 b,doll_138.91,germany
124,automatic data processing,adp,doll_107.88 b,doll_260.08,usa
125,diageo,deo,doll_107.27 b,doll_188.85,uk
126,blackrock,blk,doll_106.86 b,doll_711.52,usa
127,jingdong mall,jd,doll_105.69 b,doll_58.57,china
128,bp,bp,doll_104.90 b,doll_34.80,uk
129,medtronic,mdt,doll_104.80 b,doll_78.79,ireland
130,american tower,amt,doll_102.36 b,doll_219.85,usa
131,cigna,ci,doll_102.32 b,doll_334.68,usa
132,deutsche telekom,dte.de,doll_101.84 b,doll_20.48,germany
133,wuliangye yibin,000858.sz,doll_101.36 b,doll_26.11,china
134,sony,sony,doll_100.58 b,doll_81.23,japan
135,byd,002594.sz,doll_100.44 b,doll_38.96,china
136,keyence,6861.t,doll_100.28 b,doll_413.49,japan
137,intuitive surgical,isrg,doll_99.17 b,doll_280.65,usa
138,porsche,p911.de,doll_98.79 b,doll_108.45,germany
139,csl,csl.ax,doll_97.43 b,doll_202.06,australia
140,stryker corporation,syk,doll_96.05 b,doll_253.82,usa
141,ntt (nippon telegraph & telephone),nppxf,doll_95.03 b,doll_27.55,japan
142,applied materials,amat,doll_94.32 b,doll_109.64,usa
143,airbus,air.pa,doll_94.16 b,doll_119.56,netherlands
144,british american tobacco,bti,doll_91.95 b,doll_41.11,uk
145,mondelez,mdlz,doll_91.85 b,doll_67.26,usa
146,tjx companies,tjx,doll_91.61 b,doll_79.29,usa
147,chubb,cb,doll_89.99 b,doll_216.82,switzerland
148,citigroup,c,doll_89.05 b,doll_45.98,usa
