,name,symbol,marketcap,price,country
1219,bangkok dusit medical services (bdms),bdms.bk,doll_12.73 b,doll_0.80,thailand
1220,amerco,uhal,doll_12.72 b,doll_64.92,usa
1221,newcrest mining,ncm.ax,doll_12.68 b,doll_14.19,australia
1222,paramount global,para,doll_12.67 b,doll_19.36,usa
1223,bio-rad laboratories,bio,doll_12.66 b,doll_429.90,usa
1224,power financial,pwf-ps.to,doll_12.66 b,doll_13.78,canada
1225,zoominfo,zi,doll_12.65 b,doll_31.36,usa
1226,kirin holdings,2503.t,doll_12.64 b,doll_15.58,japan
1227,united therapeutics,uthr,doll_12.61 b,doll_276.71,usa
1228,biomérieux,bim.pa,doll_12.61 b,doll_106.53,france
1229,dabur,dabur.ns,doll_12.57 b,doll_7.10,india
1230,banque saudi fransi,1050.sr,doll_12.57 b,doll_10.48,s. arabia
1231,hindalco industries,hindalco.ns,doll_12.55 b,doll_5.63,india
1232,lamb weston,lw,doll_12.52 b,doll_87.08,usa
1233,packaging corporation of america,pkg,doll_12.52 b,doll_135.33,usa
1234,alfa laval,alfa.st,doll_12.52 b,doll_30.30,sweden
1235,credit suisse,cs,doll_12.47 b,doll_3.15,switzerland
1236,capitec bank,cpi.jo,doll_12.47 b,doll_106.37,south africa
1237,ovintiv,ovv,doll_12.45 b,doll_50.16,usa
1238,bajaj auto,bajaj-auto.ns,doll_12.44 b,doll_43.98,india
1239,match group,mtch,doll_12.44 b,doll_44.56,usa
1240,carrefour,ca.pa,doll_12.44 b,doll_16.69,france
1241,camden property trust,cpt,doll_12.44 b,doll_116.78,usa
1242,nn group,nn.as,doll_12.41 b,doll_43.95,netherlands
1243,erste group bank,ebo.f,doll_12.40 b,doll_30.03,austria
1244,snap-on,sna,doll_12.38 b,doll_233.00,usa
1245,worldline,wln.pa,doll_12.35 b,doll_42.75,france
1246,axon enterprise,axon,doll_12.34 b,doll_173.52,usa
1247,bunzl,bnzl.l,doll_12.32 b,doll_36.51,uk
1248,ono pharmaceutical,4528.t,doll_12.29 b,doll_25.18,japan
1249,bank hapoalim,poli.ta,doll_12.28 b,doll_9.20,israel
1250,continental,con.de,doll_12.26 b,doll_61.32,germany
1251,tenaga nasional,tnaby,doll_12.24 b,doll_8.49,malaysia
1252,segro,sgro.l,doll_12.23 b,doll_10.12,uk
1253,singapore airlines,c6l.si,doll_12.23 b,doll_4.12,singapore
1254,kyowa kirin,4151.t,doll_12.22 b,doll_22.75,japan
1255,zhongsheng group,0881.hk,doll_12.21 b,doll_5.08,china
1256,julius bär,baer.sw,doll_12.16 b,doll_58.32,switzerland
1257,wisetech global,wtc.ax,doll_12.15 b,doll_37.17,australia
1258,bank of shanghai,601229.ss,doll_12.15 b,doll_0.86,china
1259,smith & nephew,snn,doll_12.14 b,doll_27.90,uk
1260,tech mahindra,techm.ns,doll_12.12 b,doll_12.46,india
1261,uni-president enterprises,1216.tw,doll_12.11 b,doll_2.13,taiwan
1262,dlf,dlf.ns,doll_12.11 b,doll_4.89,india
1263,taiwan cooperative financial,5880.tw,doll_12.08 b,doll_0.86,taiwan
1264,campari,cpr.mi,doll_12.04 b,doll_10.69,italy
1265,bureau veritas,bvi.pa,doll_12.04 b,doll_26.65,france
1266,stanley black & decker,swk,doll_12.02 b,doll_81.28,usa
1267,transunion,tru,doll_12.02 b,doll_62.38,usa
1268,telefonica brasil,viv,doll_11.99 b,doll_7.04,brazil
1269,aveva,avv.l,doll_11.98 b,doll_39.67,uk
1270,reliance steel & aluminum,rs,doll_11.97 b,doll_204.03,usa
1271,docusign,docu,doll_11.97 b,doll_59.55,usa
1272,hua xia bank,600015.ss,doll_11.96 b,doll_0.75,china
1273,sumitomo realty & development,8830.t,doll_11.96 b,doll_25.24,japan
1274,godaddy,gddy,doll_11.93 b,doll_76.65,usa
1275,thai beverage,tbvpf,doll_11.93 b,doll_0.48,thailand
1276,orient overseas container line,0316.hk,doll_11.91 b,doll_18.04,hong kong
1277,nippon yūsen,9101.t,doll_11.90 b,doll_23.49,japan
1278,teleflex,tfx,doll_11.88 b,doll_253.28,usa
1279,croda international,crda.l,doll_11.87 b,doll_85.06,uk
1280,the toro company,ttc,doll_11.86 b,doll_113.82,usa
1281,akzonobel,akza.as,doll_11.85 b,doll_68.62,netherlands
1282,sekisui house,1928.t,doll_11.83 b,doll_17.87,japan
1283,ihh healthcare,q0f.si,doll_11.81 b,doll_1.33,malaysia
1284,aecom,acm,doll_11.78 b,doll_85.02,usa
1285,abn amro,abn.as,doll_11.77 b,doll_13.12,netherlands
1286,delivery hero,dher.f,doll_11.76 b,doll_44.06,germany
1287,talanx,tlx.de,doll_11.76 b,doll_46.49,germany
1288,dynatrace,dt,doll_11.74 b,doll_40.81,usa
1289,carl zeiss meditec,afxa.f,doll_11.70 b,doll_130.91,germany
1290,indusind bank,indusindbk.ns,doll_11.69 b,doll_15.08,india
1291,paylocity,pcty,doll_11.68 b,doll_209.86,usa
1292,bank of baroda,bankbaroda.ns,doll_11.68 b,doll_2.26,india
1293,gbl,gblb.vi,doll_11.65 b,doll_82.44,belgium
1294,brambles,bxb.ax,doll_11.65 b,doll_8.39,australia
1295,amundi,amun.pa,doll_11.62 b,doll_57.10,france
1296,bdo unibank,bdouy,doll_11.61 b,doll_22.06,ilippines
1297,carnival,ccl,doll_11.59 b,doll_8.93,usa
1298,shandong gold mining,600547.ss,doll_11.57 b,doll_2.77,china
1299,graco,ggg,doll_11.56 b,doll_68.63,usa
1300,molson coors,tap,doll_11.51 b,doll_52.89,usa
1301,bank albilad,1140.sr,doll_11.50 b,doll_11.51,s. arabia
1302,bouygues,en.pa,doll_11.50 b,doll_30.87,france
1303,yonyou,600588.ss,doll_11.50 b,doll_3.35,china
1304,american financial group,afg,doll_11.49 b,doll_135.00,usa
1305,celanese,ce,doll_11.49 b,doll_105.98,usa
1306,globe life,gl,doll_11.48 b,doll_118.08,usa
1307,unilever indonesia,unvr.jk,doll_11.48 b,doll_0.30,indonesia
1308,stora enso,steav.he,doll_11.47 b,doll_15.27,finland
1309,neurocrine biosciences,nbix,doll_11.46 b,doll_119.24,usa
1310,mtu aero engines,mtx.de,doll_11.44 b,doll_214.77,germany
1311,lg electronics,lglg.f,doll_11.44 b,doll_15.86,s. korea
1312,e.sun bank,2884.tw,doll_11.43 b,doll_0.80,taiwan
1313,vifor pharma,vifn.sw,doll_11.42 b,doll_176.10,switzerland
1314,cimb group,1023.kl,doll_11.40 b,doll_1.31,malaysia
1315,siam cement,scc.bk,doll_11.40 b,doll_9.50,thailand
1316,liberty broadband,lbrda,doll_11.39 b,doll_76.35,usa
1317,western digital,wdc,doll_11.38 b,doll_35.83,usa
1318,power assets,0006.hk,doll_11.37 b,doll_5.34,hong kong
1319,first financial holding,2892.tw,doll_11.36 b,doll_0.86,taiwan
1320,okta,okta,doll_11.35 b,doll_70.91,usa
1321,bentley systems,bsy,doll_11.35 b,doll_39.37,usa
1322,polestar,psny,doll_11.34 b,doll_5.38,sweden
1323,qiagen ,qgen,doll_11.33 b,doll_49.76,netherlands
1324,c. h. robinson,chrw,doll_11.32 b,doll_96.21,usa
1325,chailease holding,5871.tw,doll_11.31 b,doll_7.15,taiwan
1326,masco,mas,doll_11.30 b,doll_50.14,usa
1327,seagate technology,stx,doll_11.30 b,doll_54.75,ireland
1328,bank negara indonesia,bbni.jk,doll_11.30 b,doll_0.61,indonesia
1329,nisource,ni,doll_11.29 b,doll_27.82,usa
1330,resona holdings,8308.t,doll_11.29 b,doll_4.73,japan
1331,sumitomo mitsui trust holdings,8309.t,doll_11.28 b,doll_31.29,japan
1332,henry schein,hsic,doll_11.27 b,doll_83.17,usa
1333,regency centers,reg,doll_11.26 b,doll_65.53,usa
1334,swire pacific,0019.hk,doll_11.18 b,doll_8.50,hong kong
1335,cna financial,cna,doll_11.15 b,doll_41.18,usa
1336,godrej,godrejcp.ns,doll_11.14 b,doll_10.90,india
1337,albertsons,aci,doll_11.14 b,doll_20.82,usa
1338,posco chemical,003670.ks,doll_11.11 b,doll_143.65,s. korea
1339,new china life insurance,601336.ss,doll_11.10 b,doll_4.17,china
1340,sarepta therapeutics,srpt,doll_11.08 b,doll_126.32,usa
1341,equitable holdings,eqh,doll_11.07 b,doll_29.92,usa
1342,computershare,cpu.ax,doll_11.05 b,doll_18.30,australia
1343,yara international,yar.ol,doll_11.04 b,doll_43.37,norway
1344,sino biopharmaceutical,1177.hk,doll_11.03 b,doll_0.59,china
1345,aramark,armk,doll_11.03 b,doll_42.65,usa
1346,carlyle group,cg,doll_11.02 b,doll_30.32,usa
1347,eicher motors,eichermot.ns,doll_11.00 b,doll_40.25,india
1348,randstad,rand.as,doll_10.99 b,doll_60.13,netherlands
1349,ivanhoe mines,ivn.to,doll_10.98 b,doll_9.05,canada
1350,hansoh pharma,3692.hk,doll_10.98 b,doll_1.85,china
1351,informa plc,inf.l,doll_10.98 b,doll_7.67,uk
1352,wpp,wpp,doll_10.97 b,doll_51.24,uk
1353,sk innovation,096775.ks,doll_10.96 b,doll_77.56,s. korea
1354,amdocs,dox,doll_10.94 b,doll_89.71,usa
1355,barry callebaut,barn.sw,doll_10.92 b,"doll_1,993",switzerland
1356,nexi,nexi.mi,doll_10.90 b,doll_8.32,italy
1357,charles river laboratories,crl,doll_10.90 b,doll_214.33,usa
1358,boston properties,bxp,doll_10.90 b,doll_69.54,usa
1359,hotai motor,2207.tw,doll_10.90 b,doll_19.96,taiwan
1360,vf corporation,vfc,doll_10.89 b,doll_28.04,usa
1361,entegris,entg,doll_10.89 b,doll_73.09,usa
1362,rea group,rea.ax,doll_10.87 b,doll_81.93,australia
1363,nomura holdings,nmr,doll_10.86 b,doll_3.62,japan
1364,news corp,nws,doll_10.82 b,doll_18.98,usa
1365,disco corp.,6146.t,doll_10.82 b,doll_299.80,japan
1366,divis laboratories,divislab.ns,doll_10.81 b,doll_40.76,india
1367,evergreen marine,2603.tw,doll_10.81 b,doll_5.11,taiwan
1368,brookfield property partners,bpypp,doll_10.81 b,doll_16.36,bermuda
1369,cipla,cipla.ns,doll_10.80 b,doll_13.38,india
1370,credicorp,bap,doll_10.79 b,doll_135.78,bermuda
1371,intercontinental hotels group,ihg,doll_10.79 b,doll_61.65,uk
1372,lundbergföretagen,lund-b.st,doll_10.78 b,doll_44.64,sweden
1373,varun beverages,vbl.ns,doll_10.78 b,doll_16.60,india
1374,industrivarden,indu-a.st,doll_10.77 b,doll_25.23,sweden
1375,severstal,chmf.me,doll_10.76 b,doll_12.85,russia
1376,marketaxess,mktx,doll_10.74 b,doll_285.53,usa
1377,first citizens bancshares,fcnca,doll_10.74 b,doll_744.82,usa
1378,telia company,telia.st,doll_10.73 b,doll_2.73,sweden
1379,juniper networks,jnpr,doll_10.73 b,doll_33.08,usa
1380,heidelbergcement,hei.de,doll_10.71 b,doll_55.49,germany
1381,larsen & toubro infotech,lti.bo,doll_10.71 b,doll_61.37,india
1382,carmax,kmx,doll_10.69 b,doll_67.71,usa
1383,ryan specialty group,ryan,doll_10.69 b,doll_41.10,usa
1384,shree cement,shreecem.ns,doll_10.69 b,doll_296.40,india
1385,emera,ema.to,doll_10.69 b,doll_39.43,canada
1386,aluminum corporation of china,601600.ss,doll_10.68 b,doll_0.68,china
1387,rexford industrial,rexr,doll_10.67 b,doll_56.38,usa
1388,hyatt hotels,h,doll_10.67 b,doll_99.62,usa
1389,service corporation international,sci,doll_10.66 b,doll_69.35,usa
1390,caesars entertainment,czr,doll_10.66 b,doll_49.69,usa
1391,ceridian,cday,doll_10.62 b,doll_69.15,usa
1392,hindustan aeronautics,hal.ns,doll_10.61 b,doll_31.75,india
1393,saputo,sap.to,doll_10.59 b,doll_25.28,canada
1394,boliden,bol.st,doll_10.58 b,doll_38.69,sweden
1395,mineral resources,min.ax,doll_10.58 b,doll_55.76,australia
1396,vail resorts,mtn,doll_10.57 b,doll_262.12,usa
1397,turkish airlines,thyao.is,doll_10.56 b,doll_7.65,turkey
1398,pultegroup,phm,doll_10.55 b,doll_46.33,usa
1399,renault,rno.pa,doll_10.52 b,doll_35.83,france
1400,coinbase,coin,doll_10.52 b,doll_40.19,usa
1401,kikkoman,2801.t,doll_10.51 b,doll_54.97,japan
1402,suntory,2587.t,doll_10.49 b,doll_33.98,japan
1403,acciona,ana.mc,doll_10.46 b,doll_191.36,spain
1404,solvay,solb.vi,doll_10.46 b,doll_100.89,belgium
1405,pan pacific,7532.t,doll_10.46 b,doll_17.54,japan
1406,west japan railway,9021.t,doll_10.44 b,doll_42.85,japan
1407,dick's sporting goods,dks,doll_10.39 b,doll_116.99,usa
1408,flex,flex,doll_10.39 b,doll_22.95,singapore
1409,watsco,wso,doll_10.36 b,doll_266.23,usa
1410,eastman chemical,emn,doll_10.35 b,doll_86.33,usa
1411,hongkong land,h78.si,doll_10.35 b,doll_4.65,hong kong
1412,lufthansa,lha.de,doll_10.35 b,doll_8.66,germany
1413,fidelity national financial,fnf,doll_10.33 b,doll_37.99,usa
1414,futu holdings,futu,doll_10.33 b,doll_70.33,hong kong
1415,galp energia,gz5.f,doll_10.33 b,doll_12.40,portugal
1416,deckers brands,deck,doll_10.32 b,doll_390.03,usa
1417,magellan midstream partners,mmp,doll_10.32 b,doll_50.37,usa
1418,commerzbank,cbk.f,doll_10.31 b,doll_8.24,germany
1419,scentre group,scg.ax,doll_10.30 b,doll_1.99,australia
1420,toast,tost,doll_10.29 b,doll_19.77,usa
1421,teva pharmaceutical industries,teva,doll_10.28 b,doll_9.26,israel
1422,annaly capital management,nly,doll_10.28 b,doll_21.98,usa
1423,freddie mac,fmcct,doll_10.24 b,doll_3.18,usa
1424,qorvo,qrvo,doll_10.23 b,doll_100.94,usa
1425,lamar advertising,lamr,doll_10.22 b,doll_100.60,usa
1426,sino land,0083.hk,doll_10.22 b,doll_1.27,hong kong
1427,spirax-sarco engineering,spx.l,doll_10.22 b,doll_138.55,uk
1428,suncorp,sun.ax,doll_10.21 b,doll_8.08,australia
1429,western midstream,wes,doll_10.21 b,doll_26.53,usa
1430,korea electric power,kep,doll_10.20 b,doll_7.95,s. korea
1431,new fortress energy,nfe,doll_10.20 b,doll_48.88,usa
1432,asahi kasei,3407.t,doll_10.20 b,doll_7.35,japan
1433,eneos holdings,5020.t,doll_10.18 b,doll_3.37,japan
1434,adani wilmar,awl.ns,doll_10.18 b,doll_7.82,india
1435,hf sinclair,dino,doll_10.16 b,doll_50.63,usa
1436,impala platinum,imp.jo,doll_10.14 b,doll_12.00,south africa
1437,ramsay health care,rhc.ax,doll_10.14 b,doll_44.31,australia
1438,finecobank,fbk.mi,doll_10.09 b,doll_16.54,italy
1439,antero resources,ar,doll_10.09 b,doll_33.62,usa
1440,wolfspeed,wolf,doll_10.08 b,doll_81.22,usa
1441,autonation,an,doll_10.08 b,doll_114.43,usa
1442,hua nan financial holdings,2880.tw,doll_10.08 b,doll_0.74,taiwan
1443,samsung life insurance,032830.ks,doll_10.07 b,doll_56.09,s. korea
1444,halma,hlma.l,doll_10.06 b,doll_26.51,uk
1445,omron,6645.t,doll_10.05 b,doll_50.49,japan
1446,entain,ent.l,doll_10.04 b,doll_17.06,le of man
1447,gerdau,ggb,doll_10.04 b,doll_5.88,brazil
1448,sonic healthcare,shl.ax,doll_10.03 b,doll_20.86,australia
1449,sasol,ssl,doll_10.02 b,doll_15.65,south africa
1450,burberry,brby.l,doll_10.02 b,doll_25.63,uk
1451,chr. hansen,51c.f,doll_10.02 b,doll_75.84,denmark
1452,lattice semiconductor,lscc,doll_10.01 b,doll_73.10,usa
1453,crown holdings,cck,doll_10.01 b,doll_83.51,usa
1454,capitaland mall trust,c38u.si,doll_10.00 b,doll_1.51,singapore
1455,logitech,logi,doll_10.00 b,doll_61.90,switzerland
1456,gjensidige forsikring,xgj.f,doll_9.99 b,doll_19.48,norway
1457,yakult,2267.t,doll_9.99 b,doll_64.07,japan
1458,ana holdings,9202.t,doll_9.97 b,doll_21.22,japan
1459,scb (siam commercial bank),scb.bk,doll_9.97 b,doll_2.96,thailand
1460,sage group,sge.l,doll_9.97 b,doll_9.78,uk
1461,gfl environmental,gfl,doll_9.96 b,doll_29.01,canada
1462,builders firstsource,bldr,doll_9.95 b,doll_67.65,usa
1463,darling ingredients,dar,doll_9.94 b,doll_62.08,usa
1464,five below,five,doll_9.94 b,doll_179.16,usa
1465,gold fields,gfi,doll_9.94 b,doll_10.76,south africa
1466,israel chemicals,icl,doll_9.93 b,doll_7.71,israel
1467,red eléctrica,red.mc,doll_9.93 b,doll_18.43,spain
1468,tingyi (master kang),0322.hk,doll_9.92 b,doll_1.76,china
1469,hana financial group,086790.ks,doll_9.92 b,doll_34.04,s. korea
1470,lenovo,0992.hk,doll_9.92 b,doll_0.82,hong kong
1471,banco de chile,bch,doll_9.91 b,doll_19.48,chile
1472,jazz pharmaceuticals,jazz,doll_9.91 b,doll_157.50,ireland
1473,inwit,inw.mi,doll_9.89 b,doll_10.31,italy
1474,agco,agco,doll_9.89 b,doll_132.65,usa
1475,koç holding,kchol.is,doll_9.89 b,doll_3.90,turkey
1476,qnb finansbank,qnbfb.is,doll_9.88 b,doll_2.95,turkey
1477,prysmian group,pry.mi,doll_9.87 b,doll_37.48,italy
1478,largan precision,3008.tw,doll_9.86 b,doll_73.90,taiwan
1479,repligen,rgen,doll_9.85 b,doll_177.42,usa
1480,tpg capital,tpg,doll_9.83 b,doll_31.85,usa
1481,sumitomo metal mining,5713.t,doll_9.82 b,doll_35.77,japan
1482,(hlbank) hong leong bank,5819.kl,doll_9.79 b,doll_4.70,malaysia
1483,wynn resorts,wynn,doll_9.78 b,doll_86.32,usa
1484,bruker,brkr,doll_9.76 b,doll_66.39,usa
1485,amec,688012.ss,doll_9.74 b,doll_15.82,china
1486,aegon,aeg,doll_9.74 b,doll_4.93,netherlands
1487,jabil,jbl,doll_9.74 b,doll_72.60,usa
1488,isuzu,7202.t,doll_9.74 b,doll_12.57,japan
1489,yandex,yndx.me,doll_9.70 b,doll_26.67,netherlands
1490,esr,1821.hk,doll_9.70 b,doll_2.19,hong kong
1491,kasikornbank,kbank.bk,doll_9.69 b,doll_4.09,thailand
1492,willscot,wsc,doll_9.69 b,doll_46.43,usa
1493,vistra,vst,doll_9.69 b,doll_24.35,usa
1494,eiffage,fgr.pa,doll_9.68 b,doll_100.26,france
1495,morningstar,morn,doll_9.67 b,doll_228.04,usa
1496,ares capital,arcc,doll_9.67 b,doll_18.69,usa
1497,lg corp,003550.ks,doll_9.66 b,doll_61.28,s. korea
1498,vivendi,viv.pa,doll_9.65 b,doll_9.42,france
1499,bath & body works,bbwi,doll_9.64 b,doll_42.22,usa
1500,allegion,alle,doll_9.64 b,doll_109.77,ireland
1501,keppel,bn4.si,doll_9.63 b,doll_5.50,singapore
1502,borgwarner,bwa,doll_9.63 b,doll_41.16,usa
1503,zendesk,zen,doll_9.62 b,doll_77.48,usa
1504,svenska cellulosa aktiebolaget (sca),sca-b.st,doll_9.57 b,doll_13.20,sweden
1505,cameco,ccj,doll_9.57 b,doll_22.14,canada
1506,country garden,2007.hk,doll_9.56 b,doll_0.35,china
1507,hella,hle.f,doll_9.54 b,doll_84.40,germany
1508,synnex,snx,doll_9.53 b,doll_99.75,usa
1509,cubesmart,cube,doll_9.52 b,doll_42.14,usa
1510,brenntag,bnr.de,doll_9.52 b,doll_61.64,germany
1511,alstom,alo.pa,doll_9.51 b,doll_25.29,france
1512,rede d'or sao luiz,rdor3.sa,doll_9.51 b,doll_4.80,brazil
1513,fresenius medical care,fms,doll_9.50 b,doll_16.19,germany
1514,performance food group,pfgc,doll_9.48 b,doll_60.96,usa
1515,kakaobank,323410.ks,doll_9.48 b,doll_19.91,s. korea
1516,tfi international,tfii,doll_9.47 b,doll_108.36,canada
1517,sg holdings,9143.t,doll_9.45 b,doll_14.93,japan
1518,bj's wholesale club,bj,doll_9.45 b,doll_70.33,usa
1519,black knight,bki,doll_9.44 b,doll_60.52,usa
1520,bilibili,bili,doll_9.41 b,doll_24.59,china
1521,twilio,twlo,doll_9.40 b,doll_51.03,usa
1522,interglobe aviation,indigo.ns,doll_9.39 b,doll_24.38,india
1523,knorr-bremse,kbx.de,doll_9.37 b,doll_56.07,germany
1524,westrock,wrk,doll_9.35 b,doll_36.78,usa
1525,next plc,nxt.l,doll_9.34 b,doll_72.33,uk
1526,china oilfield services,2883.hk,doll_9.34 b,doll_1.19,china
1527,universal health services,uhs,doll_9.34 b,doll_130.83,usa
1528,zalando,zal.de,doll_9.31 b,doll_35.87,germany
1529,huntington ingalls industries,hii,doll_9.31 b,doll_233.38,usa
1530,full truck alliance,ymm,doll_9.29 b,doll_8.39,china
1531,cochlear,coh.ax,doll_9.29 b,doll_141.33,australia
1532,wharf holdings,0004.hk,doll_9.27 b,doll_3.04,hong kong
1533,rolls-royce holdings,rr.l,doll_9.26 b,doll_1.10,uk
1534,spring airlines,601021.ss,doll_9.26 b,doll_9.46,china
1535,bharat electronics,bel.ns,doll_9.25 b,doll_1.27,india
1536,president chain store (pscs),2912.tw,doll_9.25 b,doll_8.90,taiwan
1537,reinsurance group of america,rga,doll_9.24 b,doll_138.36,usa
1538,localiza,rent3.sa,doll_9.23 b,doll_9.46,brazil
1539,nec corp,6701.t,doll_9.23 b,doll_34.57,japan
1540,hong kong telecom,6823.hk,doll_9.22 b,doll_1.22,hong kong
1541,knight-swift,knx,doll_9.19 b,doll_57.24,usa
1542,bharat petroleum,bpcl.ns,doll_9.19 b,doll_4.24,india
1543,sbi card,sbicard.ns,doll_9.18 b,doll_9.71,india
1544,f5 networks,ffiv,doll_9.18 b,doll_152.07,usa
1545,tapestry,tpr,doll_9.17 b,doll_38.06,usa
1546,lennox,lii,doll_9.16 b,doll_258.75,usa
1547,pure storage,pstg,doll_9.16 b,doll_30.65,usa
1548,liberty global,lbtyb,doll_9.15 b,doll_19.65,uk
1549,yuanta financial holding,2885.tw,doll_9.13 b,doll_0.73,taiwan
1550,toray industries,3402.t,doll_9.13 b,doll_5.71,japan
1551,nitto denko,6988.t,doll_9.12 b,doll_61.65,japan
1552,sumitomo denki kōgyō,5802.t,doll_9.11 b,doll_11.69,japan
1553,casey's general stores,casy,doll_9.11 b,doll_244.65,usa
1554,dr. reddy's,rdy,doll_9.11 b,doll_54.89,india
1555,quanta computer,2382.tw,doll_9.11 b,doll_2.36,taiwan
1556,life storage,lsi,doll_9.10 b,doll_105.87,usa
1557,rheinmetall,rhm.f,doll_9.09 b,doll_210.14,germany
1558,ampol,ald.ax,doll_9.09 b,doll_18.96,australia
1559,tata consumer products,tataconsum.ns,doll_9.08 b,doll_9.78,india
1560,vat group,vacn.sw,doll_9.07 b,doll_302.63,switzerland
1561,east west bancorp,ewbc,doll_9.07 b,doll_64.38,usa
1562,umicore,umi.vi,doll_9.06 b,doll_37.76,belgium
1563,hainan airlines,900945.ss,doll_9.06 b,doll_0.28,china
1564,asx,asx.ax,doll_9.04 b,doll_46.75,australia
1565,schroders,sdr.l,doll_9.04 b,doll_5.61,uk
1566,getlink,get.pa,doll_9.04 b,doll_16.57,france
1567,store capital,stor,doll_9.04 b,doll_31.99,usa
1568,adevinta,ade.ol,doll_9.04 b,doll_7.09,norway
1569,mitsui o.s.k. lines,9104.t,doll_9.03 b,doll_24.99,japan
1570,recordati,rec.mi,doll_9.02 b,doll_43.92,italy
1571,adt,adt,doll_9.00 b,doll_9.86,usa
1572,kt&g (korea tobacco),033780.ks,doll_9.00 b,doll_75.04,s. korea
1573,james hardie industries,jhx,doll_9.00 b,doll_20.20,ireland
1574,a. o. smith,aos,doll_8.99 b,doll_58.88,usa
1575,pinnacle west capital,pnw,doll_8.98 b,doll_79.45,usa
1576,zillow,zg,doll_8.98 b,doll_37.14,usa
1577,xpeng,xpev,doll_8.97 b,doll_10.19,china
1578,ipsen,ipn.pa,doll_8.96 b,doll_105.58,france
1579,china zheshang bank,2016.hk,doll_8.95 b,doll_0.37,china
1580,sig combibloc,sign.sw,doll_8.94 b,doll_23.42,switzerland
1581,coca-cola hbc,cch.l,doll_8.93 b,doll_24.26,switzerland
1582,cognex,cgnx,doll_8.91 b,doll_51.54,usa
1583,federal realty investment trust,frt,doll_8.90 b,doll_108.78,usa
1584,central pattana,cpn.bk,doll_8.89 b,doll_1.99,thailand
1585,invesco,ivz,doll_8.87 b,doll_19.52,usa
1586,owens corning,oc,doll_8.86 b,doll_93.85,usa
1587,plug power,plug,doll_8.86 b,doll_15.21,usa
1588,celsius holdings,celh,doll_8.84 b,doll_116.04,usa
1589,evonik industries,evk.de,doll_8.84 b,doll_18.97,germany
1590,imcd,imcd.as,doll_8.82 b,doll_154.96,netherlands
1591,havells india,havells.ns,doll_8.81 b,doll_14.05,india
1592,yaskawa,6506.t,doll_8.80 b,doll_33.69,japan
1593,penske automotive,pag,doll_8.78 b,doll_123.24,usa
1594,japan airlines,9201.t,doll_8.77 b,doll_20.09,japan
1595,elisa,elisa.he,doll_8.74 b,doll_54.60,finland
1596,deutsche wohnen,dwni.de,doll_8.74 b,doll_22.03,germany
1597,mizrahi-tefahot,mztf.ta,doll_8.73 b,doll_33.96,israel
1598,kesko,keskoa.he,doll_8.73 b,doll_21.82,finland
1599,shimadzu,7701.t,doll_8.72 b,doll_29.61,japan
1600,advantech,2395.tw,doll_8.72 b,doll_11.22,taiwan
1601,taiwan mobile,3045.tw,doll_8.69 b,doll_3.08,taiwan
1602,hang lung properties,0101.hk,doll_8.69 b,doll_1.92,hong kong
1603,new hope liuhe,000876.sz,doll_8.68 b,doll_1.91,china
1604,legend biotech,legn,doll_8.68 b,doll_51.88,usa
1605,american airlines,aal,doll_8.67 b,doll_13.35,usa
1606,srf limited,srf.ns,doll_8.66 b,doll_29.24,india
1607,kanzhun,bz,doll_8.66 b,doll_19.88,china
1608,mondi,mndi.l,doll_8.65 b,doll_17.82,uk
1609,origin energy,org.ax,doll_8.64 b,doll_5.02,australia
1610,united utilities,uu.l,doll_8.64 b,doll_12.67,uk
1611,jbs,jbss3.sa,doll_8.64 b,doll_3.87,brazil
1612,tata power,tatapower.ns,doll_8.63 b,doll_2.70,india
1613,rémy cointreau,rco.pa,doll_8.61 b,doll_170.71,france
1614,dropbox,dbx,doll_8.60 b,doll_23.73,usa
1615,ascendas reit,a17u.si,doll_8.60 b,doll_2.05,singapore
1616,sk group,034730.ks,doll_8.59 b,doll_155.12,s. korea
1617,puma,pum.de,doll_8.57 b,doll_56.77,germany
1618,northern star,nst.ax,doll_8.56 b,doll_7.38,australia
1619,penumbra,pen,doll_8.54 b,doll_224.97,usa
1620,arc resources,arx.to,doll_8.54 b,doll_13.40,canada
1621,azrieli group,azrg.ta,doll_8.52 b,doll_70.29,israel
1622,fisher & paykel healthcare,fph.nz,doll_8.52 b,doll_14.76,new zealand
1623,pko bank polski,p9o.f,doll_8.52 b,doll_6.63,poland
1624,comerica,cma,doll_8.52 b,doll_65.09,usa
1625,meridian energy,mez.ax,doll_8.51 b,doll_3.24,new zealand
1626,advance auto parts,aap,doll_8.50 b,doll_143.46,usa
1627,dino polska,dnp.wa,doll_8.47 b,doll_86.42,poland
1628,churchill downs,chdn,doll_8.46 b,doll_226.42,usa
1629,lincoln electric,leco,doll_8.46 b,doll_146.15,usa
1630,floor & decor,fnd,doll_8.43 b,doll_79.48,usa
1631,korea zinc,010130.ks,doll_8.43 b,doll_451.59,s. korea
1632,cullen/frost bankers,cfr,doll_8.40 b,doll_130.77,usa
1633,sk telecom,skm,doll_8.40 b,doll_21.25,s. korea
1634,bajaj holdings & investment,bajajhldng.ns,doll_8.39 b,doll_75.45,india
1635,mowi,mnhvf,doll_8.38 b,doll_15.59,norway
1636,banque cantonale vaudoise,bcvn.sw,doll_8.37 b,doll_97.47,switzerland
