,name,code,rank,marketcap,country,shareprice,change_1day,change_1year,categories
2064,,,,,,,,,
2065,,,,,,,,,
2066,,,,,,,,,
2067,Hindustan Media Ventures,HMVL.NS,6667.0,doll_52.44 M,India,doll_0.71,-0.59_perc,-23.66_perc,['MediaPress']
2068,ASP Isotopes,ASPI,6669.0,doll_51.73 M,USA,doll_1.65,-17.91_perc,,['Energy']
2069,AeroClean Technologies,AERC,6665.0,doll_53.92 M,USA,doll_3.48,-7.45_perc,-72.56_perc,[]
2070,,,,,,,,,
2071,,,,,,,,,
2072,BioLargo,BLGO,6662.0,doll_54.71 M,USA,doll_0.20,0.68_perc,-9.09_perc,[]
2073,Regis Corporation,RGS,6663.0,doll_54.64 M,USA,doll_1.20,-5.51_perc,-53.85_perc,[]
2074,,,,,,,,,
2075,,,,,,,,,
2076,Venator Materials,VNTR,6659.0,doll_55.08 M,UK,doll_0.51,2.00_perc,-80.97_perc,['Chemicals']
2077,,,,,,,,,
2078,OncoCyte,OCX,6658.0,doll_55.09 M,USA,doll_0.46,-3.25_perc,-80.83_perc,[]
2079,Akebia Therapeutics,AKBA,6656.0,doll_55.18 M,USA,doll_0.30,5.26_perc,-88.93_perc,['Pharmaceuticals']
2080,,,,,,,,,
2081,,,,,,,,,
2082,,,,,,,,,
2083,Koss,KOSS,6651.0,doll_55.62 M,USA,doll_6.06,-0.82_perc,-54.64_perc,['Electronics']
2084,,,,,,,,,
2085,,,,,,,,,
2086,,,,,,,,,
2087,,,,,,,,,
2088,,,,,,,,,
2089,,,,,,,,,
2090,Sporting Clube de Portugal,SCP.LS,6645.0,doll_56.32 M,Portugal,doll_0.84,0.00_perc,-13.40_perc,['Football']
2091,,,,,,,,,
2092,,,,,,,,,
2093,,,,,,,,,
2094,Elevate Credit,ELVT,6640.0,doll_57.18 M,USA,doll_1.83,1.10_perc,-43.34_perc,['Financialservices']
2095,,,,,,,,,
2096,,,,,,,,,
2097,,,,,,,,,
2098,,,,,,,,,
2099,PAVmed,PAVM,6636.0,doll_58.1 M,USA,doll_0.62,1.66_perc,-82.08_perc,['Medicaldevices']
2100,Balaji Telefilms,BALAJITELE.NS,6635.0,doll_58.36 M,India,doll_0.58,-0.73_perc,-25.64_perc,['Entertainment']
2101,,,,,,,,,
2102,,,,,,,,,
2103,Kaival Brands Innovations,KAVL,6633.0,doll_58.41 M,USA,doll_1.04,5.56_perc,-0.95_perc,['Tobacco']
2104,Culp,CULP,6628.0,doll_59.28 M,USA,doll_4.82,-2.23_perc,-52.32_perc,['Manufacturing']
2105,Protalix BioTherapeutics,PLX,6630.0,doll_59.02 M,Israel,doll_1.17,-0.43_perc,31.46_perc,['Pharmaceuticals']
2106,,,,,,,,,
2107,,,,,,,,,
2108,,,,,,,,,
2109,,,,,,,,,
2110,,,,,,,,,
2111,,,,,,,,,
2112,,,,,,,,,
2113,Genprex,GNPX,6622.0,doll_60.99 M,USA,doll_1.27,0.79_perc,-15.33_perc,['Pharmaceuticals']
2114,,,,,,,,,
2115,Nectar Lifesciences,NECLIFE.NS,6621.0,doll_61.1 M,India,doll_0.27,-1.75_perc,-18.18_perc,['Pharmaceuticals']
2116,FreightCar America,RAIL,6619.0,doll_61.48 M,USA,doll_3.57,-1.65_perc,-4.55_perc,[]
2117,Red Cat Holdings,RCAT,6617.0,doll_61.7 M,USA,doll_1.14,0.00_perc,-43.56_perc,['Tech']
2118,,,,,,,,,
2119,,,,,,,,,
2120,,,,,,,,,
2121,Apyx Medical,APYX,6614.0,doll_63.31 M,USA,doll_1.83,0.55_perc,-87.13_perc,['Medicaldevices']
2122,ATI Physical Therapy,ATIP,6613.0,doll_63.39 M,USA,doll_0.31,-7.30_perc,-91.29_perc,[]
2123,,,,,,,,,
2124,,,,,,,,,
2125,,,,,,,,,
2126,,,,,,,,,
2127,,,,,,,,,
2128,,,,,,,,,
2129,,,,,,,,,
2130,vTv Therapeutics,VTVT,6605.0,doll_65.19 M,USA,doll_0.80,-1.20_perc,-30.43_perc,['Pharmaceuticals']
2131,eMagin,EMAN,6602.0,doll_66.1 M,USA,doll_0.85,1.82_perc,-45.86_perc,['Electronics']
2132,,,,,,,,,
2133,,,,,,,,,
2134,,,,,,,,,
2135,,,,,,,,,
2136,Reliance Communications,RCOM.NS,6578.0,doll_72.16 M,India,doll_0.03000,0.00_perc,-25.00_perc,['Telecommunication']
2137,,,,,,,,,
2138,Pieris Pharmaceuticals,PIRS,6577.0,doll_72.17 M,USA,doll_0.97,-1.02_perc,-72.98_perc,['Pharmaceuticals']
2139,,,,,,,,,
2140,,,,,,,,,
2141,Rapid Micro Biosystems,RPID,6573.0,doll_73.49 M,USA,doll_1.75,-3.85_perc,-83.41_perc,['Medicaldevices']
2142,,,,,,,,,
2143,,,,,,,,,
2144,,,,,,,,,
2145,S.S. Lazio,SSL.MI,6569.0,doll_74.03 M,Italy,doll_1.09,0.49_perc,-11.38_perc,['Football']
2146,,,,,,,,,
2147,Björn Borg,BORG.ST,6568.0,doll_74.16 M,Sweden,doll_2.93,-0.16_perc,-40.69_perc,['Clothing']
2148,,,,,,,,,
2149,,,,,,,,,
2150,,,,,,,,,
2151,,,,,,,,,
2152,,,,,,,,,
2153,,,,,,,,,
2154,,,,,,,,,
2155,Akatsuki Corp.,8737.T,6560.0,doll_76.66 M,Japan,doll_2.26,-0.64_perc,-27.56_perc,['AssetManagement']
2156,,,,,,,,,
2157,Spencer's Retail,SPENCERS.NS,6557.0,doll_77.39 M,India,doll_0.86,1.95_perc,-39.01_perc,['Retail']
2158,,,,,,,,,
2159,,,,,,,,,
2160,,,,,,,,,
2161,,,,,,,,,
2162,Delta Apparel,DLA,6554.0,doll_78.28 M,USA,doll_11.32,-5.67_perc,-61.60_perc,['Clothing']
2163,Flexsteel Industries,FLXS,6552.0,doll_79.15 M,USA,doll_15.01,0.07_perc,-51.12_perc,['Furniture']
2164,,,,,,,,,
2165,orion-group-holdings,ORN,6549.0,doll_80.13 M,USA,doll_2.50,2.46_perc,-41.18_perc,['Construction']
2166,KINS Technology Group,KINZ,6548.0,doll_80.26 M,USA,doll_10.24,1.99_perc,2.61_perc,[]
2167,,,,,,,,,
2168,,,,,,,,,
2169,Asian Granito India,ASIANTILES.NS,6546.0,doll_80.84 M,India,doll_0.64,-1.96_perc,-63.43_perc,[]
2170,Know Labs,KNW,6545.0,doll_80.9 M,USA,doll_1.68,1.20_perc,-18.84_perc,['Medicaldevices']
2171,,,,,,,,,
2172,Root Insurance,ROOT,6544.0,doll_80.93 M,USA,doll_5.74,-10.17_perc,55.14_perc,['Insurance']
2173,Owlet,OWLT,6542.0,doll_81.16 M,USA,doll_0.71,-10.92_perc,-82.38_perc,['Medicaldevices']
2174,,,,,,,,,
2175,Accelerate Diagnostics,AXDX,6541.0,doll_81.26 M,USA,doll_0.82,7.89_perc,-83.37_perc,['DiagnosticsandTesting']
2176,,,,,,,,,
2177,Ebixcash India,EBIXFOREX.NS,6537.0,doll_81.5 M,India,doll_7.31,-1.47_perc,,['Financialservices']
2178,Charlotte's Web,CWEB.TO,6535.0,doll_83.29 M,USA,doll_0.55,-6.25_perc,-55.28_perc,['Cannabis']
2179,,,,,,,,,
2180,,,,,,,,,
2181,,,,,,,,,
2182,,,,,,,,,
2183,,,,,,,,,
2184,Verastem Oncology,VSTM,6533.0,doll_84.03 M,USA,doll_0.40,1.27_perc,-84.00_perc,['Pharmaceuticals']
2185,,,,,,,,,
2186,Wag! Group,PET,6529.0,doll_84.23 M,USA,doll_2.29,-1.29_perc,-76.58_perc,['Tech']
2187,,,,,,,,,
2188,,,,,,,,,
2189,,,,,,,,,
2190,,,,,,,,,
2191,,,,,,,,,
2192,Momentus,MNTS,6524.0,doll_85.83 M,USA,doll_1.02,-3.77_perc,-82.94_perc,['Aerospace']
2193,,,,,,,,,
2194,,,,,,,,,
2195,So-Young International,SY,6519.0,doll_86.34 M,China,doll_0.82,-1.21_perc,-79.03_perc,['Internet']
2196,Trilogy Metals,TMQ,6520.0,doll_86.3 M,Canada,doll_0.58,-3.33_perc,-66.86_perc,[]
2197,Fluent,FLNT,6518.0,doll_86.34 M,USA,doll_1.08,-3.57_perc,-52.00_perc,[]
2198,Express,EXPR,6516.0,doll_87.35 M,USA,doll_1.28,-1.54_perc,-65.03_perc,['Clothing']
2199,,,,,,,,,
2200,,,,,,,,,
2201,,,,,,,,,
2202,,,,,,,,,
2203,LMP Automotive Holdings,LMPX,6510.0,doll_88.36 M,USA,doll_8.10,-1.82_perc,-11.76_perc,[]
2204,PowerFleet,PWFL,6512.0,doll_87.89 M,USA,doll_2.43,2.97_perc,-61.12_perc,[]
2205,,,,,,,,,
2206,,,,,,,,,
2207,,,,,,,,,
2208,Titan Medical,TMDI,6506.0,doll_88.7 M,Canada,doll_0.73,21.08_perc,-2.67_perc,['Medicaldevices']
2209,,,,,,,,,
2210,SelectQuote,SLQT,6503.0,doll_89.88 M,USA,doll_0.54,-5.81_perc,-94.29_perc,[]
2211,,,,,,,,,
2212,Co-Diagnostics,CODX,6504.0,doll_89.35 M,USA,doll_2.89,-0.34_perc,-66.24_perc,['DiagnosticsandTesting']
2213,,,,,,,,,
2214,Enzo Biochem,ENZ,6501.0,doll_90.13 M,USA,doll_1.85,3.93_perc,-47.29_perc,['Healthcare']
2215,Vince Holding,VNCE,6481.0,doll_95.68 M,USA,doll_7.78,2.14_perc,-26.81_perc,['Clothing']
2216,AppHarvest,APPH,6482.0,doll_95.66 M,USA,doll_0.89,-1.79_perc,-83.21_perc,['Food']
2217,Flotek Industries,FTK,6480.0,doll_96.88 M,USA,doll_1.25,1.63_perc,62.34_perc,[]
2218,HEXO,HEXO,6479.0,doll_96.99 M,Canada,doll_0.16,-2.18_perc,-85.19_perc,['Cannabis']
2219,Sport Lisboa e Benfica,SLBEN.LS,6477.0,doll_97.16 M,Portugal,doll_4.22,3.34_perc,-25.18_perc,['Football']
2220,,,,,,,,,
2221,,,,,,,,,
2222,Radio City,RADIOCITY.NS,6476.0,doll_97.34 M,India,doll_0.28,0.87_perc,-6.67_perc,['MediaPress']
2223,,,,,,,,,
2224,Orient Paper Mills,ORIENTPPR.NS,6475.0,doll_97.34 M,India,doll_0.46,1.89_perc,9.52_perc,['Pulpandpaper']
2225,,,,,,,,,
2226,,,,,,,,,
2227,,,,,,,,,
2228,,,,,,,,,
2229,,,,,,,,,
2230,,,,,,,,,
2231,,,,,,,,,
2232,L.B. Foster,FSTR,6465.0,doll_0.10 B,USA,doll_9.15,-0.54_perc,-39.40_perc,[]
2233,,,,,,,,,
2234,,,,,,,,,
2235,,,,,,,,,
2236,,,,,,,,,
2237,Wrap Technologies,WRAP,6461.0,doll_0.10 B,USA,doll_2.45,-1.21_perc,-49.28_perc,[]
2238,Lakeland Industries,LAKE,6459.0,doll_0.10 B,USA,doll_13.49,-5.00_perc,-30.75_perc,['Clothing']
2239,,,,,,,,,
2240,,,,,,,,,
2241,Farmer Brothers,FARM,6457.0,doll_0.10 B,USA,doll_5.22,-1.88_perc,-28.20_perc,['Beverages']
2242,,,,,,,,,
2243,Cooper Standard,CPS,6455.0,doll_0.10 B,USA,doll_6.00,-4.31_perc,-76.00_perc,['AutomotiveSuppliers']
2244,Graham Corporation,GHM,6452.0,doll_0.10 B,USA,doll_9.70,-1.52_perc,-23.62_perc,[]
2245,,,,,,,,,
2246,Parken Sport (F.C. Copenhagen),PARKEN.CO,6451.0,doll_0.10 B,Denmark,doll_10.54,-1.32_perc,-16.28_perc,['Football']
2247,,,,,,,,,
2248,,,,,,,,,
2249,,,,,,,,,
2250,,,,,,,,,
2251,EyePoint Pharmaceuticals,EYPT,6446.0,doll_0.10 B,USA,doll_3.05,-2.87_perc,-79.32_perc,['Pharmaceuticals']
2252,,,,,,,,,
2253,,,,,,,,,
2254,Lee Enterprises,LEE,6443.0,doll_0.10 B,USA,doll_17.41,0.12_perc,-29.94_perc,['MediaPress']
2255,,,,,,,,,
2256,,,,,,,,,
2257,,,,,,,,,
2258,Kokuyo Camlin,KOKUYOCMLN.NS,6438.0,doll_0.10 B,India,doll_1.06,0.87_perc,26.19_perc,[]
2259,InflaRx,IFRX,6439.0,doll_0.10 B,Germany,doll_2.39,0.42_perc,-47.59_perc,['Pharmaceuticals']
2260,,,,,,,,,
2261,,,,,,,,,
2262,,,,,,,,,
2263,,,,,,,,,
2264,,,,,,,,,
2265,,,,,,,,,
2266,Tattooed Chef,TTCF,6431.0,doll_0.10 B,USA,doll_1.28,-3.03_perc,-91.93_perc,['Food']
2267,,,,,,,,,
2268,,,,,,,,,
2269,,,,,,,,,
2270,,,,,,,,,
2271,,,,,,,,,
2272,,,,,,,,,
2273,USD Partners,USDP,6424.0,doll_0.10 B,USA,doll_3.25,1.46_perc,-36.89_perc,[]
2274,,,,,,,,,
2275,,,,,,,,,
2276,,,,,,,,,
2277,High Tide,HITI,6421.0,doll_0.10 B,Canada,doll_1.55,-6.06_perc,-73.55_perc,['Cannabis']
2278,Bergs Timber,BRG-B.ST,6419.0,doll_0.10 B,Sweden,doll_3.10,0.00_perc,-42.16_perc,['Pulpandpaper']
2279,Knights Group,KGH.L,6418.0,doll_0.10 B,UK,doll_1.28,-0.47_perc,-75.89_perc,['Professionalservices']
2280,U.S. Xpress Enterprises,USX,6415.0,doll_0.11 B,USA,doll_2.14,2.88_perc,-65.09_perc,['Transportation']
2281,,,,,,,,,
2282,,,,,,,,,
2283,,,,,,,,,
2284,,,,,,,,,
2285,Paratek Pharmaceuticals,PRTK,6411.0,doll_0.11 B,USA,doll_2.00,1.52_perc,-56.04_perc,['Pharmaceuticals']
2286,,,,,,,,,
2287,,,,,,,,,
2288,,,,,,,,,
2289,,,,,,,,,
2290,Himatsingka Seide,HIMATSEIDE.NS,6405.0,doll_0.11 B,India,doll_1.14,-1.32_perc,-58.55_perc,[]
2291,,,,,,,,,
2292,,,,,,,,,
2293,India Motor Parts and Accessories,IMPAL.NS,6404.0,doll_0.11 B,India,doll_8.95,-0.41_perc,-12.25_perc,['AutomotiveSuppliers']
2294,,,,,,,,,
2295,,,,,,,,,
2296,,,,,,,,,
2297,,,,,,,,,
2298,,,,,,,,,
2299,Bodal Chemicals,BODALCHEM.NS,6380.0,doll_0.11 B,India,doll_0.98,-0.68_perc,-32.88_perc,['Chemicals']
2300,,,,,,,,,
2301,Astra Space,ASTR,6377.0,doll_0.12 B,USA,doll_0.45,-2.68_perc,-94.97_perc,['Aerospace']
2302,,,,,,,,,
2303,,,,,,,,,
2304,Sterling Tools,STERTOOLS.NS,6375.0,doll_0.12 B,India,doll_3.35,-5.73_perc,38.43_perc,[]
2305,Matinas BioPharma,MTNB,6372.0,doll_0.12 B,USA,doll_0.56,-1.75_perc,-44.55_perc,['Pharmaceuticals']
2306,,,,,,,,,
2307,eHealth,EHTH,6369.0,doll_0.12 B,USA,doll_4.45,7.23_perc,-82.74_perc,[]
2308,,,,,,,,,
2309,,,,,,,,,
2310,,,,,,,,,
2311,,,,,,,,,
2312,,,,,,,,,
2313,,,,,,,,,
2314,,,,,,,,,
2315,,,,,,,,,
2316,,,,,,,,,
2317,,,,,,,,,
2318,Navkar Corp,NAVKARCORP.NS,6359.0,doll_0.12 B,India,doll_0.82,7.02_perc,51.85_perc,['Transportation']
2319,Srikalahasthi Pipes,SRIPIPES.NS,6358.0,doll_0.12 B,India,doll_2.65,0.25_perc,6.85_perc,[]
2320,Vinco Ventures,BBIG,6360.0,doll_0.12 B,USA,doll_0.53,-10.39_perc,-82.09_perc,['Tech']
2321,Superior Industries International,SUP,6356.0,doll_0.12 B,USA,doll_4.60,2.00_perc,2.45_perc,['AutomotiveSuppliers']
2322,Townsquare Media,TSQ,6355.0,doll_0.12 B,USA,doll_7.21,-0.28_perc,-44.28_perc,['MediaPress']
2323,,,,,,,,,
2324,,,,,,,,,
2325,,,,,,,,,
2326,,,,,,,,,
2327,,,,,,,,,
2328,GE Power India,GEPIL.NS,6349.0,doll_0.12 B,India,doll_1.88,2.58_perc,-43.54_perc,[]
2329,,,,,,,,,
2330,Redwire,RDW,6351.0,doll_0.12 B,USA,doll_1.97,-0.51_perc,-75.34_perc,['Aerospace']
2331,PTC Financial Services,PFS.NS,6347.0,doll_0.12 B,India,doll_0.20,-3.56_perc,-20.00_perc,['Financialservices']
2332,Loop Industries,LOOP,6345.0,doll_0.12 B,Canada,doll_2.69,0.75_perc,-80.29_perc,['Chemicals']
2333,ARC Document Solutions,ARC,6344.0,doll_0.12 B,USA,doll_2.97,1.37_perc,1.71_perc,['Professionalservices']
2334,Supermax Corporation Berhad,7106.KL,6346.0,doll_0.12 B,Malaysia,doll_0.19,-1.76_perc,-47.22_perc,['GlovesPPE']
2335,,,,,,,,,
2336,,,,,,,,,
2337,,,,,,,,,
2338,,,,,,,,,
2339,,,,,,,,,
2340,,,,,,,,,
2341,,,,,,,,,
2342,KAP AG,IUR.F,6338.0,doll_0.12 B,Germany,doll_16.55,0.00_perc,-26.67_perc,['Conglomerate']
2343,Allot,ALLT,6335.0,doll_0.12 B,Israel,doll_3.47,-0.86_perc,-68.77_perc,[]
2344,,,,,,,,,
2345,Nyxoah,NYXH,6333.0,doll_0.12 B,Belgium,doll_4.99,2.67_perc,-75.49_perc,['Medicaldevices']
2346,Pexip,PEXIP.OL,6331.0,doll_0.12 B,Norway,doll_1.28,-0.31_perc,-68.86_perc,[]
2347,,,,,,,,,
2348,,,,,,,,,
2349,Oconee Federal Financial,OFED,6328.0,doll_0.13 B,USA,doll_23.30,2.78_perc,-0.89_perc,['Financialservices']
2350,,,,,,,,,
2351,,,,,,,,,
2352,SML Isuzu,SMLISUZU.NS,6325.0,doll_0.13 B,India,doll_9.05,-0.35_perc,4.02_perc,[]
2353,,,,,,,,,
2354,Citizens Inc,CIA,6324.0,doll_0.13 B,USA,doll_2.62,-8.07_perc,-55.06_perc,['Insurance']
2355,,,,,,,,,
2356,Northern Dynasty Minerals,NAK,6322.0,doll_0.13 B,Canada,doll_0.25,-2.21_perc,-32.43_perc,['Mining']
2357,,,,,,,,,
2358,,,,,,,,,
2359,,,,,,,,,
2360,ORIC Pharmaceuticals,ORIC,6319.0,doll_0.13 B,USA,doll_3.33,-12.37_perc,-77.95_perc,['Pharmaceuticals']
2361,Liberty TripAdvisor Holdings,LTRPA,6316.0,doll_0.13 B,USA,doll_0.74,-3.90_perc,-70.75_perc,[]
2362,,,,,,,,,
2363,,,,,,,,,
2364,,,,,,,,,
2365,,,,,,,,,
2366,,,,,,,,,
2367,Coffee Day Enterprises,COFFEEDAY.NS,6312.0,doll_0.13 B,India,doll_0.63,-0.57_perc,18.87_perc,['Beverages']
2368,Inseego,INSG,6311.0,doll_0.13 B,USA,doll_1.24,-5.34_perc,-81.10_perc,['Telecommunicationsequipment']
2369,Pollux Properti Indonesia,POLL.JK,6310.0,doll_0.13 B,Indonesia,doll_0.02000,8.55_perc,-81.82_perc,['Realestate']
2370,,,,,,,,,
2371,Aveanna Healthcare,AVAH,6309.0,doll_0.13 B,USA,doll_0.73,-4.08_perc,-88.87_perc,['Healthcare']
2372,,,,,,,,,
2373,,,,,,,,,
2374,Vera Bradley,VRA,6283.0,doll_0.14 B,USA,doll_4.65,15.67_perc,-54.01_perc,[]
2375,,,,,,,,,
2376,,,,,,,,,
2377,Cardlytics,CDLX,6302.0,doll_0.13 B,USA,doll_4.16,-0.72_perc,-94.06_perc,[]
2378,,,,,,,,,
2379,Trean Insurance Group,TIG,6281.0,doll_0.14 B,USA,doll_2.83,-1.05_perc,-65.86_perc,['Insurance']
2380,First Northwest Bancorp,FNWB,6279.0,doll_0.14 B,USA,doll_14.60,-0.27_perc,-21.76_perc,[]
2381,Yellow Corporation,YELL,6280.0,doll_0.14 B,USA,doll_2.81,-1.06_perc,-79.68_perc,['Transportation']
2382,Twin Disc,TWIN,6278.0,doll_0.14 B,USA,doll_10.55,-2.50_perc,-14.57_perc,[]
2383,,,,,,,,,
2384,,,,,,,,,
2385,,,,,,,,,
2386,,,,,,,,,
2387,,,,,,,,,
2388,,,,,,,,,
2389,,,,,,,,,
2390,,,,,,,,,
2391,,,,,,,,,
2392,BBX Capital Corporation,BBXIA,6268.0,doll_0.14 B,USA,doll_9.34,0.27_perc,-5.66_perc,['Investment']
2393,,,,,,,,,
2394,,,,,,,,,
2395,,,,,,,,,
2396,,,,,,,,,
2397,,,,,,,,,
2398,,,,,,,,,
2399,,,,,,,,,
2400,,,,,,,,,
2401,,,,,,,,,
2402,Unifi,UFI,6258.0,doll_0.15 B,USA,doll_8.44,-0.94_perc,-62.34_perc,[]
2403,,,,,,,,,
2404,,,,,,,,,
2405,NGL Energy Partners,NGL,6256.0,doll_0.15 B,USA,doll_1.17,1.74_perc,-46.08_perc,[]
2406,,,,,,,,,
2407,Kuantum Papers,KUANTUM.NS,6253.0,doll_0.15 B,India,doll_1.76,-0.51_perc,50.43_perc,['Pulpandpaper']
2408,,,,,,,,,
2409,,,,,,,,,
2410,Kossan Rubber Industries,7153.KL,6251.0,doll_0.15 B,Malaysia,doll_0.24,0.00_perc,-46.67_perc,['GlovesPPE']
2411,Oxford Square Capital,OXSQ,6248.0,doll_0.15 B,USA,doll_3.10,-1.90_perc,-24.94_perc,['Investment']
2412,,,,,,,,,
2413,,,,,,,,,
2414,,,,,,,,,
2415,,,,,,,,,
2416,Gencor Industries,GENC,6244.0,doll_0.15 B,USA,doll_10.56,-4.00_perc,-8.57_perc,[]
2417,Intevac,IVAC,6243.0,doll_0.15 B,USA,doll_6.10,0.00_perc,31.18_perc,[]
2418,,,,,,,,,
2419,Foseco India,FOSECOIND.NS,6240.0,doll_0.15 B,India,doll_24.35,0.70_perc,30.21_perc,['Chemicals']
2420,,,,,,,,,
2421,,,,,,,,,
2422,Rane Holdings,RANEHOLDIN.NS,6238.0,doll_0.15 B,India,doll_10.93,-0.30_perc,37.48_perc,['AutomotiveSuppliers']
2423,AgroFresh,AGFS,6236.0,doll_0.15 B,USA,doll_2.95,0.00_perc,62.98_perc,['Agriculture']
2424,StarTek,SRT,6235.0,doll_0.15 B,USA,doll_3.90,-1.76_perc,-6.92_perc,[]
2425,,,,,,,,,
2426,Westport Fuel Systems,WPRT,6233.0,doll_0.15 B,Canada,doll_0.92,2.22_perc,-61.83_perc,[]
2427,,,,,,,,,
2428,,,,,,,,,
2429,,,,,,,,,
2430,Aptech,APTECHT.NS,6230.0,doll_0.15 B,India,doll_3.81,-1.06_perc,-21.28_perc,['Education']
2431,,,,,,,,,
2432,,,,,,,,,
2433,,,,,,,,,
2434,Glatfelter,GLT,6226.0,doll_0.15 B,USA,doll_3.56,-3.78_perc,-79.84_perc,['Pulpandpaper']
2435,,,,,,,,,
2436,,,,,,,,,
2437,Kitex Garments,KITEX.NS,6222.0,doll_0.16 B,India,doll_2.41,-0.55_perc,6.64_perc,['Clothing']
2438,,,,,,,,,
2439,,,,,,,,,
2440,,,,,,,,,
2441,Avita Medical,RCEL,6219.0,doll_0.16 B,USA,doll_6.53,3.49_perc,-51.12_perc,[]
2442,,,,,,,,,
2443,,,,,,,,,
2444,Cormedix,CRMD,6216.0,doll_0.16 B,USA,doll_3.97,0.25_perc,-19.47_perc,['Pharmaceuticals']
2445,,,,,,,,,
2446,XL Fleet,XL,6214.0,doll_0.16 B,USA,doll_1.14,30.91_perc,-73.49_perc,['ElectricVehicles']
2447,,,,,,,,,
2448,Skipper Limited,SKIPPER.NS,6212.0,doll_0.16 B,India,doll_1.59,14.17_perc,63.92_perc,[]
2449,Nam Tai Property,NTP,6211.0,doll_0.16 B,China,doll_4.22,0.00_perc,-64.95_perc,['Realestate']
2450,,,,,,,,,
2451,Assertio Therapeutics,ASRT,6209.0,doll_0.16 B,USA,doll_3.44,2.38_perc,126.32_perc,['Pharmaceuticals']
2452,,,,,,,,,
2453,,,,,,,,,
2454,,,,,,,,,
2455,Acacia Research,ACTG,6205.0,doll_0.16 B,USA,doll_3.83,-0.52_perc,-19.54_perc,['Patentlicensing']
2456,Sandhar,SANDHAR.NS,6204.0,doll_0.16 B,India,doll_2.77,-0.65_perc,-17.56_perc,[]
2457,Hurco Companies,HURC,6202.0,doll_0.16 B,USA,doll_25.61,2.03_perc,-17.92_perc,[]
2458,,,,,,,,,
2459,Silvercrest Asset Management Group,SAMG,6180.0,doll_0.17 B,USA,doll_18.20,-1.52_perc,14.04_perc,['Investment']
2460,Offerpad,OPAD,6201.0,doll_0.16 B,USA,doll_0.68,3.10_perc,-91.30_perc,['Realestate']
2461,,,,,,,,,
2462,,,,,,,,,
2463,,,,,,,,,
2464,,,,,,,,,
2465,Indian Metals & Ferro Alloys,IMFA.NS,6175.0,doll_0.17 B,India,doll_3.26,3.03_perc,-67.59_perc,[]
2466,Wheels India,WHEELS.NS,6174.0,doll_0.17 B,India,doll_7.31,0.56_perc,-15.59_perc,['AutomotiveSuppliers']
2467,Rallybio,RLYB,6171.0,doll_0.17 B,USA,doll_4.76,-1.86_perc,-61.52_perc,['Biotech']
2468,,,,,,,,,
2469,Performant Financial,PFMT,6169.0,doll_0.17 B,USA,doll_2.38,1.71_perc,-16.78_perc,['Financialservices']
2470,InfuSystem,INFU,6168.0,doll_0.17 B,USA,doll_8.56,5.03_perc,-48.83_perc,['Healthcare']
2471,MariMed,MRMD,6172.0,doll_0.17 B,USA,doll_0.52,-2.80_perc,-24.64_perc,['Cannabis']
2472,Whole Earth Brands,FREE,6170.0,doll_0.17 B,USA,doll_4.21,-4.10_perc,-61.48_perc,['Food']
2473,,,,,,,,,
2474,,,,,,,,,
2475,Homepoint,HMPT,6165.0,doll_0.17 B,USA,doll_1.29,-5.15_perc,-66.84_perc,['Financialservices']
2476,Huhtamaki India,HUHTAMAKI.NS,6161.0,doll_0.17 B,India,doll_2.37,-0.84_perc,-20.74_perc,['Packaging']
2477,,,,,,,,,
2478,,,,,,,,,
2479,,,,,,,,,
2480,Ayr Wellness,AYRWF,6159.0,doll_0.17 B,USA,doll_2.59,-5.47_perc,-82.04_perc,['Cannabis']
2481,İşbir Holding,ISBIR.IS,6160.0,doll_0.17 B,Turkey,doll_5.54,-3.19_perc,52.62_perc,[]
2482,,,,,,,,,
2483,AirSculpt Technologies,AIRS,6157.0,doll_0.18 B,USA,doll_3.22,-1.83_perc,-73.63_perc,[]
2484,Zentek,ZTEK,6155.0,doll_0.18 B,Canada,doll_1.83,0.44_perc,-63.03_perc,[]
2485,Olympique Lyonnais Groupe,OLG.PA,6156.0,doll_0.18 B,France,doll_2.82,22.94_perc,16.53_perc,['Football']
2486,,,,,,,,,
2487,RPG Life Sciences,RPGLIFE.NS,6154.0,doll_0.18 B,India,doll_11.03,-0.53_perc,34.51_perc,['Pharmaceuticals']
2488,,,,,,,,,
2489,,,,,,,,,
2490,,,,,,,,,
2491,Ashiana Housing,ASHIANA.NS,6148.0,doll_0.18 B,India,doll_1.78,0.55_perc,-19.82_perc,['Realestate']
2492,Sasken Technologies,SASKEN.NS,6149.0,doll_0.18 B,India,doll_12.17,1.76_perc,-14.17_perc,['Telecommunication']
2493,TELA Bio,TELA,6147.0,doll_0.18 B,USA,doll_9.58,6.21_perc,-23.30_perc,['Medicaldevices']
2494,Dhampur Sugar Mills,DHAMPURSUG.NS,6146.0,doll_0.18 B,India,doll_2.73,-1.25_perc,-27.97_perc,[]
2495,Repco Home Finance,REPCOHOME.NS,6143.0,doll_0.18 B,India,doll_2.94,0.12_perc,-26.13_perc,[]
2496,Mahanagar Telephone Nigam,MTNL.NS,6145.0,doll_0.18 B,India,doll_0.29,-0.21_perc,-3.33_perc,['Telecommunication']
2497,Maiden Holdings,MHLD,6144.0,doll_0.18 B,Bermuda,doll_2.11,-2.76_perc,-33.44_perc,['Insurance']
