,name,code,rank,marketcap,country,shareprice,change_1day,change_1year,categories
121,DSV,DSV.VI,494.0,doll_34.50 B,Denmark,doll_154.79,0.48_perc,-28.10_perc,['Transportation']
122,Allstate,ALL,495.0,doll_34.50 B,USA,doll_130.11,-0.15_perc,18.02_perc,['Insurance']
123,AmerisourceBergen,ABC,497.0,doll_34.47 B,USA,doll_170.29,0.57_perc,42.48_perc,['Healthcare']
124,,,,,,,,,
125,Dupont De Nemours,DD,492.0,doll_34.62 B,USA,doll_69.70,-0.39_perc,-10.11_perc,['Chemicals']
126,,,,,,,,,
127,IDEXX Laboratories,IDXX,489.0,doll_34.79 B,USA,doll_420.10,1.13_perc,-31.29_perc,[]
128,,,,,,,,,
129,,,,,,,,,
130,,,,,,,,,
131,,,,,,,,,
132,,,,,,,,,
133,,,,,,,,,
134,,,,,,,,,
135,,,,,,,,,
136,,,,,,,,,
137,,,,,,,,,
138,,,,,,,,,
139,,,,,,,,,
140,Anta Sports,AS7.F,503.0,doll_33.97 B,China,doll_12.30,1.30_perc,-23.79_perc,['Sportsgoods']
141,,,,,,,,,
142,,,,,,,,,
143,Loblaw Companies,L.TO,600.0,doll_28.99 B,Canada,doll_89.52,0.94_perc,16.53_perc,[]
144,,,,,,,,,
145,Rockwell Automation,ROK,597.0,doll_29.25 B,USA,doll_254.77,-0.78_perc,-27.37_perc,[]
146,SMC corp,6273.T,596.0,doll_29.45 B,Japan,doll_450.86,0.65_perc,-32.80_perc,[]
147,,,,,,,,,
148,,,,,,,,,
149,,,,,,,,,
150,,,,,,,,,
151,W. W. Grainger,GWW,591.0,doll_29.63 B,USA,doll_586.41,1.05_perc,15.50_perc,[]
152,,,,,,,,,
153,Telus,TU,590.0,doll_29.66 B,Canada,doll_20.88,-0.48_perc,-11.60_perc,['Telecommunication']
154,D. R. Horton,DHI,589.0,doll_29.70 B,USA,doll_86.27,2.81_perc,-18.74_perc,['Construction']
155,,,,,,,,,
156,,,,,,,,,
157,WEC Energy Group,WEC,585.0,doll_29.83 B,USA,doll_94.59,-0.87_perc,2.44_perc,[]
158,,,,,,,,,
159,,,,,,,,,
160,,,,,,,,,
161,MTR Corporation,0066.HK,581.0,doll_29.99 B,Hong Kong,doll_4.84,1.48_perc,-9.02_perc,[]
162,,,,,,,,,
163,,,,,,,,,
164,WEG ON,WEGE3.SA,579.0,doll_30.05 B,Brazil,doll_7.16,-1.19_perc,17.76_perc,[]
165,Vodafone,VOD,577.0,doll_30.16 B,UK,doll_10.68,-1.66_perc,-28.32_perc,['Telecommunication']
166,Albemarle,ALB,576.0,doll_30.17 B,USA,doll_257.61,-0.15_perc,-0.74_perc,['Chemicals']
167,Yili Group,600887.SS,605.0,doll_28.66 B,China,doll_4.48,-1.11_perc,-28.55_perc,['Dairycompanies']
168,,,,,,,,,
169,Equity Residential,EQR,698.0,doll_24.28 B,USA,doll_61.96,0.42_perc,-28.08_perc,['Realestate']
170,Coca-Cola European Partners,CCEP,699.0,doll_24.20 B,UK,doll_52.32,-0.32_perc,-4.60_perc,['Beverages']
171,Skandinaviska Enskilda Banken,SEBA.F,697.0,doll_24.29 B,Sweden,doll_11.22,-1.29_perc,-24.19_perc,[]
172,United Rentals,URI,696.0,doll_24.36 B,USA,doll_351.52,1.22_perc,-1.47_perc,['RentalLeasingServices']
173,,,,,,,,,
174,Compagnie de Saint-Gobain,SGO.PA,694.0,doll_24.45 B,France,doll_47.73,-0.95_perc,-30.38_perc,['CAC40']
175,Olympus,7733.T,691.0,doll_24.55 B,Japan,doll_19.28,-0.45_perc,-10.37_perc,[]
176,,,,,,,,,
177,KBC,KBCSF,687.0,doll_24.88 B,Belgium,doll_59.70,-0.50_perc,-30.38_perc,[]
178,Raymond James,RJF,692.0,doll_24.49 B,USA,doll_113.91,-1.86_perc,15.18_perc,[]
179,,,,,,,,,
180,Riyad Bank,1010.SR,690.0,doll_24.57 B,Saudi Arabia,doll_8.19,1.32_perc,12.97_perc,['Banks']
181,,,,,,,,,
182,,,,,,,,,
183,Edison International,EIX,685.0,doll_24.96 B,USA,doll_65.37,-0.98_perc,-2.81_perc,[]
184,CDW Corporation,CDW,684.0,doll_25.02 B,USA,doll_184.85,0.06_perc,-6.74_perc,['Retail']
185,Bridgestone,5108.T,683.0,doll_25.07 B,Japan,doll_36.57,-0.12_perc,-15.89_perc,['Tires']
186,,,,,,,,,
187,Kellogg's,K,681.0,doll_25.21 B,USA,doll_73.89,1.12_perc,17.14_perc,['Food']
188,Assa Abloy,ASAZF,679.0,doll_25.28 B,Sweden,doll_21.93,-2.39_perc,-26.34_perc,[]
189,UltraTech Cement,ULTRACEMCO.NS,682.0,doll_25.12 B,India,doll_87.13,0.24_perc,-10.01_perc,[]
190,,,,,,,,,
191,Lennar,LEN,678.0,doll_25.35 B,USA,doll_89.00,3.61_perc,-22.49_perc,['Construction']
192,Equifax,EFX,712.0,doll_23.73 B,USA,doll_193.84,-0.11_perc,-33.58_perc,['Financialservices']
193,,,,,,,,,
194,VeriSign,VRSN,799.0,doll_20.77 B,USA,doll_195.99,-0.74_perc,-19.77_perc,['Internet']
195,,,,,,,,,
196,,,,,,,,,
197,CRRC,1766.HK,795.0,doll_20.88 B,China,doll_0.41,2.89_perc,-10.87_perc,[]
198,China Railway Group,0390.HK,796.0,doll_20.87 B,China,doll_0.58,2.28_perc,13.73_perc,['Construction']
199,,,,,,,,,
200,Fujifilm,4901.T,793.0,doll_20.88 B,Japan,doll_51.32,-0.45_perc,-32.59_perc,['Conglomerate']
201,,,,,,,,,
202,China Minsheng Bank,600016.SS,791.0,doll_20.95 B,China,doll_0.51,0.00_perc,-16.39_perc,[]
203,Ares Management,ARES,790.0,doll_20.99 B,USA,doll_71.08,-1.62_perc,-11.81_perc,[]
204,Cardinal Health,CAH,789.0,doll_21.01 B,USA,doll_80.15,0.94_perc,66.63_perc,['Healthcare']
