,column_name,type_of_data,type_of_string,avg_length_of_field,var_length,std_dev_length,ratio_white_space_length,ratio_num_val,min_val(int),max_val(int),avg(int),variance,std_dev,cluster
0,10-DeBiGa-name,0.0,1.0,0.37145121231664313,0.300024623777119,0.5477450353742324,0.7676445544706912,0.0009596864247712513,0.0,0.0,0.0,0.0,0.0,1
1,10-DeBiGa-headquarters,0.0,1.0,0.21555840663034978,0.22358650536450572,0.4728493474295018,0.29508965197574477,0.0,0.0,0.0,0.0,0.0,0.0,5
2,10-DeBiGa-number_of_employees,0.0,1.0,0.10005559472170283,0.002393171724319596,0.04892005441860829,0.0,0.97198964970608,0.0,0.0,0.0,0.0,0.0,6
3,10-DeBiGa-address,0.0,1.0,1.0,1.0,1.0,0.827711399675702,0.19912085881277508,0.0,0.0,0.0,0.0,0.0,4
4,10-DeBiGa-industry,0.0,1.0,0.34498881677346765,0.2191124044992295,0.4680944397226157,0.37242990395248243,0.0,0.0,0.0,0.0,0.0,0.0,8
5,10-DeBiGa-website,0.0,1.0,0.3179809816540198,0.10662054547591857,0.32652801637213086,0.0,0.0018110695634807404,0.0,0.0,0.0,0.0,0.0,7
6,10-DeBiGa-market_cap,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
7,10-DeBiGa-telephone,0.0,1.0,0.2409447219365822,0.0027040546097213893,0.05200052509082374,1.0,0.9999999999999999,0.0,0.0,0.0,0.0,0.0,3
8,10-DeBiGa-revenue,0.0,0.75,0.16990614322763015,0.0009001467144217297,0.030002445140716944,0.0,0.29232125487564437,0.0,0.0,0.0,0.0,0.0,0
