ID,name,country,headquarters,address,founded,employees,market_cap,revenue,profit,industry,sector,categories,ceo;
6100,wheels emi,,,,2017,,,,,nbfc,,,;
6136,wheels emi,,,,2017,,,,,nbfc,,,;
6146,wockhardt biotech park,,,,2004,,,,,pharma,,,;
6149,wockhardt biotech park,,,,2004,,,,,pharma,,,;
6235,woodenstreet.com,,,,2015,,,,,furniture & furnishing,,,;
6245,waste management,,,,1968,,,,,waste management,,,;
6394,wellknown polyesters,,,,1996,,,,,fashion & textile,,,;
6564,willowood crop sciences,,,,2012,,,,,agriculture,,,;
6594,willowood crop sciences,,,,2012,,,,,agriculture,,,;
6667,walking tree,,,,2008,,,,,software product,,,;
6689,wellness forever lifestyle chemist,,,,0,,,,,retail,,,;
6807,way2online interactive,,,,2006,,,,,marketing & advertising,,,;
6836,wwics group,,,,1993,,,,,travel & tourism,,,;
6844,way2online interactive,,,,2006,,,,,marketing & advertising,,,;
6961,winjit technologies,,,,2004,,,,,it services & consulting,,,;
6987,wunderman,,,,1958,,,,,marketing & advertising,,,;
6992,western coalfields,,,,1975,,,,,metals & mining,,,;
7036,waah jobs,,,,2015,,,,,internet,,,;
7070,w3softech india,,,,2011,,,,,it services & consulting,,,;
7122,w pratiksha hospital,,,,2007,,,,,healthcare,,,;
7134,way2wealth brokers,,,,1984,,,,,financial services,,,;
7297,western heat and forge,,,,1982,,,,,industrial machinery,,,;
7327,wood plc,,,,0,,,,,engineering & construction,,,;
7359,west bengal power development corporation,,,,1985,,,,,power,,,;
7388,west bengal power development corporation,,,,1985,,,,,power,,,;
7522,wingtech mobile communication,,,,0,,,,,electronics manufacturing,,,;
7645,welkin telecom infra,,,,2004,,,,,telecom,,,;
7655,welkin telecom infra,,,,2004,,,,,telecom,,,;
7706,west coast pharmaceuticals,,,,1965,,,,,pharma,,,;
7732,windals precision,,,,1990,,,,,auto components,,,;
7776,wanfeng aluminum wheel,,,,0,,,,,industrial machinery,,,;
7814,workindia,,,,2015,,,,,it services & consulting,,,;
7978,websol energy systems,,,,1990,,,,,semiconductors,,,;
7998,windcare india,,,,2001,,,,,financial services,,,;
8020,websol energy systems,,,,1990,,,,,semiconductors,,,;
8103,winwire technologies,,,,2007,,,,,it services & consulting,,,;
8236,winsome textile industries,,,,1990,,,,,fashion & textile,,,;
8243,whsmith,,,,1792,,,,,retail,,,;
8253,winsome textile industries,,,,1990,,,,,fashion & textile,,,;
8269,whsmith,,,,1792,,,,,retail,,,;
8497,wyzmindz solutions,,,,2010,,,,,it services & consulting,,,;
8542,wize brains,,,,0,,,,,,,,;
8564,white crow research,,,,2011,,,,,recruitment,,,;
8596,wizertech informatics,,,,2000,,,,,it services & consulting,,,;
8609,wizertech informatics,,,,2000,,,,,it services & consulting,,,;
8805,western railway,,,,1855,,,,,railways,,,;
8818,wizard e-marketing,,,,2005,,,,,it services & consulting,,,;
8878,willis processing services,,,,1992,,,,,it services & consulting,,,;
8960,webguru infosystems,,,,2005,,,,,it services & consulting,,,;
9157,wwf-india,,,,1969,,,,,non-profit,,,;
9205,wade adams contracting,,,,1976,,,,,engineering & construction,,,;
9467,world health partners,,,,2008,,,,,non-profit,,,;
9711,wheels india - tvs group,,,,0,,,,,,,,;
9715,winds e world,,,,2018,,,,,retail,,,;
9762,weaverbird engineering technology,,,,2005,,,,,it services & consulting,,,;
9782,white shrub,,,,0,,,,,,,,;
9896,wunderman thompson commerce,,,,1989,,,,,it services & consulting,,,;
11332,warehousespaceeestioãå(14713488),,,                        Rapla maakond Rapla vald Rapla linn Viljandi mnt 74 79514                            ,,,,,,,,,;
11333,webspayoãå(14842783),,,                        Harju maakond Tallinn NÃÂµmme linnaosa Kalda tn 9a/1 11625                            ,,,,,,,,,;
11335,wellnesssparkoãå(16411202),,,                        Tartu maakond Tartu linn Tartu linn VÃÂµru tn 5-2 50111                            ,,,,,,,,,;
11337,wespaceoãå(14503621),,,                        Harju maakond Tallinn PÃÂµhja-Tallinna linnaosa Vibu tn 5 10415                            ,,,,,,,,,;
11338,whatifspacesoãå(16602451),,,                        Harju maakond Tallinn Kesklinna linnaosa Rotermanni tn 2 10111                            ,,,,,,,,,;
11339,whitespacelimitlessconsultingoãå(16329222),,,                        Harju maakond Tallinn Kesklinna linnaosa TornimÃÂ¤e tn 5 10145                            ,,,,,,,,,;
11340,whitespaceoãå(14965988),,,                        Harju maakond Tallinn NÃÂµmme linnaosa PÃÂµdra tn 79 10915                            ,,,,,,,,,;
11342,wideworldinvestspainoãå(16458267),,,                        Harju maakond Tallinn Pirita linnaosa Valguta tn 19 11913                            ,,,,,,,,,;
11343,wingspanoãå(14117697),,,                        Harju maakond Tallinn LasnamÃÂ¤e linnaosa Valukoja tn 32/3 11415                            ,,,,,,,,,;
11344,wirdosoãå(16012755),,,                        Tartu maakond Tartu linn Tartu linn Anne tn 59-67 50703                            ,,,,,,,,,;
11345,wisespaceinvestoãå(12794139),,,                        Harju maakond Tallinn PÃÂµhja-Tallinna linnaosa Telliskivi tn 60a 10412                            ,,,,,,,,,;
11346,woodenspaoãå(16429047),,,                        Tartu maakond Kastre vald VÃÂµnnu alevik Karja tee 16 62401                            ,,,,,,,,,;
11347,workpoweroãå(11023033),,,,,,,,,,,,;
11348,workspacemetricsoãå(16474993),,,                        Harju maakond Tallinn LasnamÃÂ¤e linnaosa Sepapaja tn 6 15551                            ,,,,,,,,,;
11349,workspaceoãå(14624891),,,                        Harju maakond Harku vald Tiskre kÃÂ¼la Oja tee 24-3 76916                            ,,,,,,,,,;
11350,wurkspaces.devoãå(16466290),,,                        Harju maakond Tallinn LasnamÃÂ¤e linnaosa Sepapaja tn 6 15551                            ,,,,,,,,,;
11437,watershed,united states,,,none,,,,,internet software & services,,,;
11485,wrapbook,united states,,,2018,,,,,fintech,,,;
11493,weights & biases,united states,,,2017,,,,,artificial intelligence,,,;
11532,worldcoin,united states,,,none,,,,,fintech,,,;
11571,webull,china,,,2016,,,,,fintech,,,;
11618,wacai,china,,,2009,,,,,mobile & telecommunications,,,;
11625,welab,hong kong,,,2013,,,,,fintech,,,;
11641,womai,china,,,2009,,,,,e-commerce & direct-to-consumer,,,;
11674,wheel,united states,,,2018,,,,,health,,,;
11742,wasabi,united states,,,2015,,,,,internet software & services,,,;
11789,workhuman,ireland,,,1999,,,,,internet software & services,,,;
11823,wtoip,china,,,none,,,,,internet software & services,,,;
11982,wenheyou,china,,,2013,,,,,other,,,;
11997,wayflyer,ireland,,,2019,,,,,fintech,,,;
12042,wave,senegal,,,none,,,,,fintech,,,;
12192,wemakeprice,south korea,,,2009,,,,,e-commerce & direct-to-consumer,,,;
12263,workrise,united states,,,2014,,,,,internet software & services,,,;
12293,wildlife studios,brazil,,,2011,,,,,other,,,;
12354,whoop,united states,,,2012,,,,,e-commerce & direct-to-consumer,,,;
12357,whatnot,united states,,,2019,,,,,e-commerce & direct-to-consumer,,,;
12373,webflow,united states,,,2012,,,,,internet software & services,,,;
12412,weride,china,,,2017,,,,,auto & transportation,,,;
12413,wefox,germany,,,2014,,,,,fintech,,,;
12468,workato,united states,,,2013,,,,,internet software & services,,,;
12472,wiz,israel,,,2020,,,,,cybersecurity,,,;
12489,we doctor,china,,,2010,,,,,health,,,;
12507,weilong,china,,,2001,,,,,consumer & retail,,,;
12597,weilong,china,,,,,,,,consumer & retail,,,;
12647,we doctor,china,,,,,,,,health,,,;
12666,wiz,israel,,,,,,,,cybersecurity,,,;
12674,workato,united states,,,,,,,,internet software & services,,,;
12692,wm motor,china,,,,,,,,auto & transportation,,,;
12726,wefox,germany,,,,,,,,fintech,,,;
12729,weride,china,,,,,,,,auto & transportation,,,;
12765,webflow,united states,,,,,,,,internet software & services,,,;
12784,whatnot,united states,,,,,,,,e-commerce & direct-to-consumer,,,;
12787,whoop,united states,,,,,,,,e-commerce & direct-to-consumer,,,;
12845,wildlife studios,brazil,,,,,,,,other,,,;
12876,workrise,united states,,,,,,,,internet software & services,,,;
12948,wemakeprice,south korea,,,,,,,,e-commerce & direct-to-consumer,,,;
13109,wave,senegal,,,,,,,,fintech,,,;
13144,wayflyer,ireland,,,,,,,,fintech,,,;
13157,wenheyou,china,,,,,,,,other,,,;
13321,wtoip,china,,,,,,,,internet software & services,,,;
13350,workhuman,ireland,,,,,,,,internet software & services,,,;
13407,wasabi,united states,,,,,,,,internet software & services,,,;
13469,wheel,united states,,,,,,,,health,,,;
13496,womai,china,,,,,,,,e-commerce & direct-to-consumer,,,;
13511,welab,hong kong,,,,,,,,fintech,,,;
13521,wacai,china,,,,,,,,mobile & telecommunications,,,;
13565,webull,china,,,,,,,,fintech,,,;
13610,worldcoin,united states,,,,,,,,fintech,,,;
13658,weights & biases,united states,,,,,,,,artificial intelligence,,,;
13671,wrapbook,united states,,,,,,,,fintech,,,;
13711,watershed,united states,,,,,,,,internet software & services,,,;
13955,waste management,united states,,,,,doll_69.70 b,,,,,['waste & recycling'],;
14163,waste connections,united states,,,,,doll_37.40 b,,,,,['waste & recycling'],;
14195,wanhua chemical,china,,,,,doll_40.23 b,,,,,['chemicals'],;
14295,welltower,united states,,,,,doll_33.58 b,,,,,['real estate'],;
14336,wec energy group,united states,,,,,doll_30.30 b,,,,,,;
14342,w. w. grainger,united states,,,,,doll_30.42 b,,,,,,;
14351,weg on,brazil,,,,,doll_31.08 b,,,,,,;
14365,willis towers watson,uk,,,,,doll_26.79 b,,,,,['insurance'],;
14509,weyerhaeuser,united states,,,,,doll_23.85 b,,,,,,;
14573,w. r. berkley,united states,,,,,doll_20.08 b,,,,,['insurance'],;
