"Name","Master Cap","Country","Rank","Share Price"
"Bajaj Auto","$12.44 B","India","#1273","$43.97"
"Lufthansa","$12.43 B","Germany","#1274","$10.40"
"Smith & Nephew","$12.43 B","UK","#1275","$28.48"
"Hua Xia Bank","$12.42 B","China","#1276","$0.78"
"Brookfield Property Partners","$12.39 B","","#1277","$18.76"
"Booz Allen Hamilton","$12.39 B","USA","#1278","$93.74"
"Charles River Laboratories","$12.37 B","USA","#1279","$243.17"
"Aluminum Corporation of China","$12.36 B","China","#1280","$0.78"
"Taiwan Cooperative Financial","$12.35 B","Taiwan","#1281","$0.88"
"Dabur","$12.34 B","India","#1282","$6.97"
"Domino's Pizza","$12.32 B","USA","#1283","$348.04"
"Carlyle Group","$12.31 B","USA","#1284","$33.86"
"Kirin Holdings","$12.31 B","Japan","#1285","$15.17"
"Bouygues","$12.30 B","France","#1286","$32.36"
"HeidelbergCement","$12.28 B","Germany","#1287","$63.64"
"Croda International","$12.26 B","UK","#1288","$86.06"
"Packaging Corporation of America","$12.25 B","USA","#1289","$132.48"
"Seagate Technology","$12.25 B","Ireland","#1290","$59.34"
"Vodacom","$12.24 B","South Africa","#1291","$7.06"
"GBL","$12.22 B","Belgium","#1292","$86.06"
"Western Digital","$12.21 B","USA","#1293","$38.46"
"Camden Property Trust","$12.21 B","USA","#1294","$114.68"
"Bunzl","$12.21 B","UK","#1295","$35.72"
"Essential Utilities","$12.20 B","USA","#1296","$46.54"
"Carlisle Companies","$12.19 B","USA","#1297","$235.90"
"WPP","$12.19 B","UK","#1298","$56.93"
"IHH Healthcare","$12.19 B","Malaysia","#1299","$1.38"
"Chesapeake Energy","$12.17 B","USA","#1300","$90.88"
"SEGRO","$12.15 B","UK","#1301","$9.91"
"Hana Financial Group","$12.13 B","South Korea","#1302","$41.63"
"Swire Pacific","$12.13 B","Hong Kong","#1303","$9.25"
"Zalando","$12.12 B","Germany","#1304","$46.69"
"Exact Sciences","$12.12 B","USA","#1305","$68.23"
"Unilever Indonesia","$12.12 B","Indonesia","#1306","$0.32"
"Campari","$12.08 B","Italy","#1307","$10.75"
"Hubbell","$12.06 B","USA","#1308","$224.73"
"AECOM","$12.02 B","USA","#1309","$86.75"
"Chailease Holding","$12.02 B","Taiwan","#1310","$7.60"
"Randstad","$12.01 B","Netherlands","#1311","$64.79"
"Power Assets","$11.99 B","Hong Kong","#1312","$5.63"
"Nexi","$11.98 B","Italy","#1313","$8.85"
"Nomura Holdings","$11.97 B","Japan","#1314","$3.99"
"Subaru","$11.96 B","Japan","#1315","$15.60"
"AVEVA","$11.93 B","UK","#1316","$39.33"
"Stora Enso","$11.92 B","Finland","#1317","$16.07"
"United Therapeutics","$11.92 B","USA","#1318","$261.70"
"NN Group","$11.90 B","Netherlands","#1319","$42.15"
"Boliden","$11.90 B","Sweden","#1320","$43.52"
"Bank Albilad","$11.89 B","Saudi Arabia","#1321","$11.89"
"kyowa Kirin","$11.88 B","Japan","#1322","$22.11"
"Mineral Resources","$11.85 B","Australia","#1323","$62.47"
"Polestar","$11.81 B","Sweden","#1324","$5.60"
"Aramark","$11.74 B","USA","#1325","$45.20"
"Godrej","$11.73 B","India","#1326","$11.48"
"Entegris","$11.69 B","USA","#1327","$78.50"
"Hyatt Hotels","$11.68 B","USA","#1328","$109.10"
"First Financial Holding","$11.68 B","Taiwan","#1329","$0.88"
"Sino Biopharmaceutical","$11.66 B","China","#1330","$0.62"
"Renault","$11.65 B","France","#1331","$39.62"
"Solvay","$11.63 B","Belgium","#1332","$112.29"
"American Financial Group","$11.63 B","USA","#1333","$136.65"
"Vifor Pharma","$11.62 B","Switzerland","#1334","$179.20"
"CIMB Group","$11.62 B","Malaysia","#1335","$1.33"
"Hainan Airlines","$11.56 B","China","#1336","$0.27"
"Teva Pharmaceutical Industries","$11.56 B","Israel","#1337","$10.41"
"Lundbergföretagen","$11.55 B","Sweden","#1338","$45.86"
"PulteGroup","$11.55 B","USA","#1339","$50.71"
"Industrivarden","$11.54 B","Sweden","#1340","$26.21"
"POSCO Chemical","$11.54 B","South Korea","#1341","$149.12"
"Informa plc","$11.50 B","UK","#1342","$8.12"
"First Citizens BancShares","$11.49 B","USA","#1343","$797.22"
"Qiagen","$11.48 B","Netherlands","#1344","$50.42"
"IndusInd Bank","$11.47 B","India","#1345","$14.80"
"Arab National Bank","$11.46 B","Saudi Arabia","#1346","$7.65"
"Sarepta Therapeutics","$11.43 B","USA","#1347","$130.22"
"Fidelity National Financial","$11.42 B","USA","#1348","$42.00"
"HF Sinclair","$11.42 B","USA","#1349","$56.93"
"Globe Life","$11.42 B","USA","#1350","$117.42"
"Bank of Baroda","$11.41 B","India","#1351","$2.21"
"Yara International","$11.40 B","Norway","#1352","$44.78"
"Rexford Industrial","$11.40 B","USA","#1353","$60.22"
"VF Corporation","$11.40 B","USA","#1354","$29.34"
"The Toro Company","$11.38 B","USA","#1355","$109.48"
"E.SUN Bank","$11.38 B","Taiwan","#1356","$0.80"
"Barry Callebaut","$11.37 B","Switzerland","#1357","$2,076"
"Cameco","$11.37 B","Canada","#1358","$26.30"
"Sumitomo Realty & Development","$11.37 B","Japan","#1359","$23.99"
"DocuSign","$11.36 B","USA","#1360","$56.51"
"CNA Financial","$11.35 B","USA","#1361","$41.93"
"Brambles","$11.34 B","Australia","#1362","$8.17"
"ZoomInfo","$11.33 B","USA","#1363","$25.89"
"Masco","$11.30 B","USA","#1364","$50.14"
"Graco","$11.29 B","USA","#1365","$67.02"
"Hotai Motor","$11.29 B","Taiwan","#1366","$20.67"
"Brenntag","$11.27 B","Germany","#1367","$73.00"
"REA Group","$11.27 B","Australia","#1368","$85.31"
"Sasol","$11.26 B","South Africa","#1369","$17.59"
"Albertsons","$11.25 B","USA","#1370","$21.01"
"DLF","$11.25 B","India","#1371","$4.55"
"Wynn Resorts","$11.24 B","USA","#1372","$99.27"
"Orient Overseas Container Line","$11.24 B","Hong Kong","#1373","$17.03"
"Turkish Airlines","$11.23 B","Turkey","#1374","$8.14"
"Rolls-Royce Holdings","$11.22 B","UK","#1375","$1.30"
"RPM International","$11.21 B","USA","#1376","$86.84"
"Equitable Holdings","$11.20 B","USA","#1377","$30.28"
"Ivanhoe Mines","$11.18 B","Canada","#1378","$9.22"
"Acciona","$11.17 B","Spain","#1379","$204.39"
"Paylocity","$11.16 B","USA","#1380","$200.57"
"Koç Holding","$11.16 B","Turkey","#1381","$4.40"
"Boston Properties","$11.16 B","USA","#1382","$71.20"
"News Corp","$11.16 B","USA","#1383","$19.64"
"Credicorp","$11.15 B","","#1384","$140.27"
"SCB (Siam Commercial Bank)","$11.14 B","Thailand","#1385","$3.31"
"Bank Negara Indonesia","$11.10 B","Indonesia","#1386","$0.60"
"Sumitomo Metal Mining","$11.10 B","Japan","#1387","$40.40"
"Gold Fields","$11.09 B","South Africa","#1388","$12.31"
"Impala Platinum","$11.08 B","South Africa","#1389","$12.72"
"Deckers Brands","$11.06 B","USA","#1390","$418.00"
"Regency Centers","$11.05 B","USA","#1391","$64.35"
"Teleflex","$11.05 B","USA","#1392","$235.69"
"NiSource","$11.05 B","USA","#1393","$27.21"
"Bentley Systems","$11.04 B","USA","#1394","$38.30"
"C. H. Robinson","$11.01 B","USA","#1395","$93.55"
"Okta","$11.00 B","USA","#1396","$68.70"
"Bill.com","$10.99 B","USA","#1397","$104.05"
"Scentre Group","$10.99 B","Australia","#1398","$2.12"
"Flex","$10.97 B","Singapore","#1399","$24.24"
"Knorr-Bremse","$10.97 B","Germany","#1400","$64.31"
"Gerdau","$10.96 B","Brazil","#1401","$6.42"
"Yakult","$10.96 B","Japan","#1402","$70.29"
"ENEOS Holdings","$10.96 B","Japan","#1403","$3.62"
"Henry Schein","$10.96 B","USA","#1404","$80.86"
"Amdocs","$10.95 B","USA","#1405","$90.65"
"Ono Pharmaceutical","$10.94 B","Japan","#1406","$22.41"
"Saputo","$10.93 B","Canada","#1407","$26.11"
"Burberry","$10.93 B","UK","#1408","$28.81"
"Disco Corp.","$10.92 B","Japan","#1409","$302.70"
"Divis Laboratories","$10.92 B","India","#1410","$41.15"
"Ryan Specialty Group","$10.89 B","USA","#1411","$41.87"
"FinecoBank","$10.88 B","Italy","#1412","$17.85"
"Larsen & Toubro Infotech","$10.88 B","India","#1413","$62.38"
"Molson Coors","$10.88 B","USA","#1414","$49.98"
"Suncorp","$10.87 B","Australia","#1415","$8.61"
"Emera","$10.86 B","Canada","#1416","$40.49"
"Pan Pacific","$10.86 B","Japan","#1417","$18.22"
"Alstom","$10.86 B","France","#1418","$27.92"
"Shree Cement","$10.85 B","India","#1419","$300.57"
"Magellan Midstream Partners","$10.85 B","USA","#1420","$52.97"
"Entain","$10.84 B","","#1421","$18.42"
"Vivendi","$10.84 B","France","#1422","$10.43"
"Toast","$10.81 B","USA","#1423","$20.77"
"Cleveland-Cliffs","$10.80 B","USA","#1424","$20.97"
"Service Corporation International","$10.80 B","USA","#1425","$70.24"
"Fresenius Medical Care","$10.80 B","Germany","#1426","$18.32"
"Eastman Chemical","$10.77 B","USA","#1427","$89.82"
"Korea Electric Power","$10.75 B","South Korea","#1428","$8.38"
"Prysmian Group","$10.74 B","Italy","#1429","$40.16"
"Western Midstream","$10.73 B","USA","#1430","$27.88"
"GFL Environmental","$10.72 B","Canada","#1431","$31.23"
"Sino Land","$10.71 B","Hong Kong","#1432","$1.33"
"Ceridian","$10.71 B","USA","#1433","$69.75"
"KakaoBank","$10.70 B","South Korea","#1434","$22.47"
"Neurocrine Biosciences","$10.70 B","USA","#1435","$111.36"
"Ramsay Health Care","$10.69 B","Australia","#1436","$46.72"
"Hongkong Land","$10.67 B","Hong Kong","#1437","$4.80"
"AEGON","$10.67 B","Netherlands","#1438","$5.40"
"Universal Health Services","$10.67 B","USA","#1439","$149.47"
"Dynatrace","$10.65 B","USA","#1440","$37.03"
"Evergreen Marine","$10.65 B","Taiwan","#1441","$5.04"
"SK Innovation","$10.65 B","South Korea","#1442","$78.08"
"Annaly Capital Management","$10.63 B","USA","#1443","$22.74"
"American Airlines","$10.61 B","USA","#1444","$16.34"
"Localiza","$10.61 B","Brazil","#1445","$10.83"
"Adevinta","$10.60 B","Norway","#1446","$8.32"
"Eicher Motors","$10.60 B","India","#1447","$38.78"
"INWIT","$10.60 B","Italy","#1448","$10.94"
"Spirax-Sarco Engineering","$10.59 B","UK","#1449","$139.65"
"Jabil","$10.58 B","USA","#1450","$79.42"
"Telia Company","$10.54 B","Sweden","#1451","$2.68"
"Sonic Healthcare","$10.53 B","Australia","#1452","$21.91"
"Rheinmetall","$10.53 B","Germany","#1453","$243.27"
"Israel Chemicals","$10.53 B","Israel","#1454","$8.17"
"Tapestry","$10.53 B","USA","#1455","$43.71"
"Darling Ingredients","$10.51 B","USA","#1456","$65.63"
"LG Corp","$10.51 B","South Korea","#1457","$66.76"
"Watsco","$10.49 B","USA","#1458","$270.95"
"CapitaLand Mall Trust","$10.48 B","Singapore","#1459","$1.58"
"Crown Holdings","$10.48 B","USA","#1460","$87.40"
"Cipla","$10.46 B","India","#1461","$12.97"
"Full Truck Alliance","$10.46 B","China","#1462","$9.44"
"Builders FirstSource","$10.44 B","USA","#1463","$70.98"
"Kasikornbank","$10.44 B","Thailand","#1464","$4.41"
"CarMax","$10.44 B","USA","#1465","$66.08"
"Omron","$10.43 B","Japan","#1466","$52.57"
"Banco de Chile","$10.43 B","Chile","#1467","$20.66"
"ANA Holdings","$10.43 B","Japan","#1468","$22.18"
"BorgWarner","$10.39 B","USA","#1469","$44.40"
"Five Below","$10.39 B","USA","#1470","$187.22"
"Bruker","$10.39 B","USA","#1471","$70.65"
"Qorvo","$10.38 B","USA","#1472","$102.39"
"West Japan Railway","$10.37 B","Japan","#1473","$42.56"
"Repligen","$10.34 B","USA","#1474","$186.30"
"Hua Nan Financial Holdings","$10.34 B","Taiwan","#1475","$0.76"
"Hindustan Aeronautics","$10.32 B","India","#1476","$30.89"
"Suntory","$10.32 B","Japan","#1477","$33.41"
"Synnex","$10.32 B","USA","#1478","$109.05"
"Samsung Life Insurance","$10.31 B","South Korea","#1479","$57.47"
"Bath & Body Works","$10.28 B","USA","#1480","$45.01"
"Galp Energia","$10.26 B","Portugal","#1481","$13.58"
"Dick's Sporting Goods","$10.26 B","USA","#1482","$123.05"
"AGCO","$10.22 B","USA","#1483","$137.09"
"Morningstar","$10.21 B","USA","#1484","$240.77"
"Juniper Networks","$10.21 B","USA","#1485","$31.46"
"Caesars Entertainment","$10.19 B","USA","#1486","$47.52"
"Zillow","$10.19 B","USA","#1487","$43.16"
"Country Garden","$10.19 B","China","#1488","$0.37"
"Lamar Advertising","$10.18 B","USA","#1489","$100.12"
"Eiffage","$10.16 B","France","#1490","$105.91"
"Next plc","$10.16 B","UK","#1491","$78.63"
"Evonik Industries","$10.14 B","Germany","#1492","$21.77"
"Asahi Kasei","$10.13 B","Japan","#1493","$7.31"
"Vail Resorts","$10.13 B","USA","#1494","$251.30"
"International Consolidated Airlines","$10.10 B","Spain","#1495","$2.00"
"Ares Capital","$10.07 B","USA","#1496","$19.03"
"Freddie Mac","$10.06 B","USA","#1497","$3.12"
"Computershare","$10.06 B","Australia","#1498","$16.67"
"Northern Star","$10.05 B","Australia","#1499","$8.74"
"TPG Capital","$10.04 B","USA","#1500","$32.52"
"AutoNation","$10.02 B","USA","#1501","$113.78"
"(HLBank) Hong Leong Bank","$10.02 B","Malaysia","#1502","$4.80"
"PUMA","$10.01 B","Germany","#1503","$66.94"
"Ampol","$10.00 B","Australia","#1504","$20.85"
"Twilio","$10.00 B","USA","#1505","$54.26"
"AMEC","$9.96 B","China","#1506","$16.17"
"InterGlobe Aviation","$9.96 B","India","#1507","$25.84"
"JD Sports Fashion","$9.94 B","UK","#1508","$1.92"
"Lattice Semiconductor","$9.93 B","USA","#1509","$72.48"
"Wolfspeed","$9.92 B","USA","#1510","$79.92"
"Kikkoman","$9.91 B","Japan","#1511","$51.79"
"ESR","$9.90 B","Hong Kong","#1512","$2.25"
"Jazz Pharmaceuticals","$9.90 B","Ireland","#1513","$157.24"
"Varun Beverages","$9.85 B","India","#1514","$15.17"
"Svenska Cellulosa Aktiebolaget (SCA)","$9.84 B","Sweden","#1515","$13.89"
"Hong Kong Telecom","$9.80 B","Hong Kong","#1516","$1.29"
"Sage Group","$9.79 B","UK","#1517","$9.29"
"Liberty Global","$9.78 B","UK","#1518","$21.21"
"Halma","$9.77 B","UK","#1519","$25.72"
"Allegion","$9.77 B","Ireland","#1520","$111.30"
"Keppel","$9.73 B","Singapore","#1521","$5.56"
"Bilibili","$9.72 B","China","#1522","$25.39"
"PKO Bank Polski","$9.71 B","Poland","#1523","$7.75"
"Fisher & Paykel Healthcare","$9.71 B","New Zealand","#1524","$16.77"
"Cochlear","$9.70 B","Australia","#1525","$147.47"
"Red Eléctrica","$9.67 B","Spain","#1526","$17.94"
"Lenovo","$9.64 B","Hong Kong","#1527","$0.80"
"CubeSmart","$9.63 B","USA","#1528","$42.63"
"Chr. Hansen","$9.63 B","Denmark","#1529","$73.18"
"Zendesk","$9.62 B","USA","#1530","$77.48"
"WillScot","$9.61 B","USA","#1531","$46.03"
"East West Bancorp","$9.59 B","USA","#1532","$68.09"
"Ford Otosan","$9.58 B","Turkey","#1533","$27.30"
"Reinsurance Group of America","$9.56 B","USA","#1534","$143.08"
"Wacker Chemie","$9.56 B","Germany","#1535","$145.74"
"Deutsche Wohnen","$9.54 B","Germany","#1536","$24.06"
"Quanta Computer","$9.54 B","Taiwan","#1537","$2.48"
"XP Inc.","$9.54 B","Brazil","#1538","$17.03"
"ENKA","$9.52 B","Turkey","#1539","$1.63"
"Rémy Cointreau","$9.52 B","France","#1540","$188.32"
"Yaskawa","$9.52 B","Japan","#1541","$36.42"
"AngloGold Ashanti","$9.50 B","South Africa","#1542","$22.61"
"Al Dar Properties","$9.48 B","United Arab Emirates","#1543","$1.21"
"China Oilfield Services","$9.47 B","China","#1544","$1.18"
"Black Knight","$9.45 B","USA","#1545","$60.61"
"Westrock","$9.45 B","USA","#1546","$37.14"
"JBS","$9.43 B","Brazil","#1547","$4.24"
"Penumbra","$9.43 B","USA","#1548","$248.34"
"Recordati","$9.41 B","Italy","#1549","$45.18"
"TFI International","$9.40 B","Canada","#1550","$107.89"
"Tingyi (master kang)","$9.39 B","China","#1551","$1.67"
"Ally","$9.38 B","USA","#1552","$31.43"
"Central Pattana","$9.37 B","Thailand","#1553","$2.10"
"Yuanta Financial Holding","$9.37 B","Taiwan","#1554","$0.75"
"Metso Outotec (Mo Group)","$9.37 B","Finland","#1555","$11.35"
"Mitsui O.S.K. Lines","$9.36 B","Japan","#1556","$25.90"
"Gjensidige Forsikring","$9.35 B","Norway","#1557","$18.56"
"SIG Combibloc","$9.34 B","Switzerland","#1558","$24.44"
"President Chain Store (PSCS)","$9.32 B","Taiwan","#1559","$8.97"
"IMCD","$9.32 B","Netherlands","#1560","$158.89"
"Toray Industries","$9.31 B","Japan","#1561","$5.82"
"Novocure","$9.28 B","","#1562","$88.49"
"ASX","$9.27 B","Australia","#1563","$47.90"
"Schroders","$9.27 B","UK","#1564","$5.75"
"Plug Power","$9.26 B","USA","#1565","$15.90"
"Mowi","$9.26 B","Norway","#1566","$17.92"
"Vipshop","$9.26 B","China","#1567","$15.18"
"Spring Airlines","$9.25 B","China","#1568","$9.46"
"Bharat Petroleum","$9.24 B","India","#1569","$4.26"
"NEC Corp","$9.24 B","Japan","#1570","$34.61"
"Ipsen","$9.24 B","France","#1571","$110.45"
"Performance Food Group","$9.23 B","USA","#1572","$59.31"
"Fertiglobe","$9.22 B","United Arab Emirates","#1573","$1.11"
"Japan Airlines","$9.21 B","Japan","#1574","$21.08"
"James Hardie Industries","$9.19 B","Ireland","#1575","$20.55"
"LG Household & Health Care","$9.18 B","South Korea","#1576","$248.13"
"China Zheshang Bank","$9.16 B","China","#1577","$0.37"
"Bharat Electronics","$9.15 B","India","#1578","$1.25"
"Largan Precision","$9.14 B","Taiwan","#1579","$68.53"
"BJ's Wholesale Club","$9.13 B","USA","#1580","$67.93"
"VAT Group","$9.11 B","Switzerland","#1581","$303.93"
"Getlink","$9.10 B","France","#1582","$16.77"
"Churchill Downs","$9.09 B","USA","#1584","$243.12"
"STORE Capital","$9.09 B","USA","#1585","$32.16"
"Kesko","$9.08 B","Finland","#1586","$22.86"
"Samsung Electro-Mechanics","$9.08 B","South Korea","#1587","$56.42"
"Legend Biotech","$9.07 B","USA","#1588","$54.23"
"NOV","$9.07 B","USA","#1589","$23.11"
"Lincoln Electric","$9.07 B","USA","#1590","$156.73"
"Knight-Swift","$9.07 B","USA","#1591","$56.46"
"HELLA","$9.06 B","Germany","#1592","$81.61"
"SG Holdings","$9.05 B","Japan","#1593","$14.30"
"Comerica","$9.05 B","USA","#1594","$69.13"
"Isuzu","$9.03 B","Japan","#1595","$11.66"
"Genting Singapore","$9.03 B","Singapore","#1596","$0.75"
"A. O. Smith","$9.03 B","USA","#1597","$59.15"
"Logitech","$9.02 B","Switzerland","#1598","$55.84"
"Alcoa","$9.02 B","USA","#1599","$51.00"
"Elisa","$9.01 B","Finland","#1600","$56.26"
"Sumitomo Denki K?gy?","$8.99 B","Japan","#1601","$11.54"
"Abu Dhabi Islamic Bank (ADIB)","$8.99 B","United Arab Emirates","#1602","$2.48"
"Umicore","$8.99 B","Belgium","#1603","$37.17"
"Nitto Denko","$8.98 B","Japan","#1604","$60.69"
"Meridian Energy","$8.95 B","New Zealand","#1605","$3.47"
"Yandex","$8.95 B","Netherlands","#1606","$24.77"
"OpenText","$8.93 B","Canada","#1607","$33.07"
"Dr. Reddy's","$8.93 B","India","#1608","$53.65"
"Cognex","$8.91 B","USA","#1609","$51.58"
"Mondi","$8.91 B","UK","#1610","$18.13"
"Regal Rexnord","$8.91 B","USA","#1611","$134.73"
"Havells India","$8.90 B","India","#1612","$14.20"
"Ascendas Reit","$8.90 B","Singapore","#1613","$2.12"
"KT&G (Korea Tobacco)","$8.90 B","South Korea","#1614","$76.54"
"Catalent","$8.89 B","USA","#1615","$49.45"
"Floor & Decor","$8.88 B","USA","#1616","$83.69"
"Adani Wilmar","$8.86 B","India","#1617","$6.82"
"Taiwan Mobile","$8.86 B","Taiwan","#1618","$3.14"
"Masimo","$8.85 B","USA","#1619","$168.48"
"Mediobanca","$8.84 B","Italy","#1620","$10.40"
"Antero Resources","$8.82 B","USA","#1621","$29.40"
"Bangkok Bank","$8.82 B","Thailand","#1622","$4.62"
"OTP Bank","$8.82 B","","#1623","$30.80"
"Federal Realty Investment Trust","$8.81 B","USA","#1624","$107.65"
"Gecina","$8.80 B","France","#1625","$116.31"
"United Utilities","$8.80 B","UK","#1626","$12.91"
"Traton","$8.79 B","Germany","#1627","$17.58"
"Mizrahi-Tefahot","$8.77 B","Israel","#1628","$34.10"
"DCP Midstream","$8.76 B","USA","#1629","$42.08"
"Covestro","$8.76 B","Germany","#1630","$45.37"
"SBI Card","$8.75 B","India","#1631","$9.26"
"Genpact","$8.75 B","","#1632","$47.77"
"Origin Energy","$8.75 B","Australia","#1633","$5.08"
"Hasbro","$8.74 B","USA","#1634","$63.32"
"Life Storage","$8.74 B","USA","#1635","$101.60"
"Advance Auto Parts","$8.73 B","USA","#1636","$147.49"
"F5 Networks","$8.73 B","USA","#1637","$144.65"
"Türkiye Petrol Rafinerileri","$8.73 B","Turkey","#1638","$31.72"
"New Hope Liuhe","$8.71 B","China","#1639","$1.92"
"Huntington Ingalls Industries","$8.70 B","USA","#1640","$218.10"
"Vistra","$8.69 B","USA","#1641","$21.85"
"Shimadzu","$8.69 B","Japan","#1642","$29.50"
"Euronext","$8.69 B","Netherlands","#1643","$80.91"
"SK Group","$8.68 B","South Korea","#1644","$156.80"
"Advantech","$8.68 B","Taiwan","#1645","$11.16"
"T&D Holdings","$8.66 B","Japan","#1646","$15.55"
"Kazatomprom","$8.66 B","","#1647","$32.58"
"Jardine Cycle & Carriage","$8.65 B","Singapore","#1648","$21.90"
"Hang Lung Properties","$8.64 B","Hong Kong","#1649","$1.92"
"Invesco","$8.62 B","USA","#1650","$18.97"
"YPF (Yacimientos Petrolíferos Fiscales)","$8.62 B","","#1651","$11.92"
"Jefferies Financial Group","$8.60 B","USA","#1652","$38.07"
"Dentsu","$8.60 B","Japan","#1653","$32.51"
"Cullen/Frost Bankers","$8.60 B","USA","#1654","$133.79"
"Abu Dhabi Ports","$8.59 B","United Arab Emirates","#1655","$1.69"
"Grupo Aeroportuario del Sureste","$8.58 B","Mexico","#1656","$285.68"
"Sagax","$8.58 B","Sweden","#1657","$24.97"
"Fresnillo","$8.58 B","Mexico","#1658","$11.44"
"Coca-Cola HBC","$8.58 B","Switzerland","#1659","$23.42"
"Intertek","$8.58 B","UK","#1660","$52.40"
"Becle","$8.56 B","Mexico","#1661","$2.38"
"Unibail-Rodamco-Westfield","$8.55 B","France","#1662","$60.53"
"Insurance Australia Group","$8.55 B","Australia","#1663","$3.49"
"Korea Zinc","$8.53 B","South Korea","#1664","$457.47"
"Pinnacle West Capital","$8.52 B","USA","#1665","$75.36"
"QNB Finansbank","$8.51 B","Turkey","#1666","$2.54"
"Taiwan Cement","$8.50 B","Taiwan","#1668","$1.19"
"Lennox","$8.49 B","USA","#1669","$239.66"
"Robert Half","$8.49 B","USA","#1670","$78.27"
"Oracle Corp Japan","$8.48 B","Japan","#1671","$66.11"
"Plains All American Pipeline","$8.47 B","USA","#1672","$12.14"
"Casey's General Stores","$8.47 B","USA","#1673","$227.46"
"T?ky? Gas","$8.47 B","Japan","#1674","$19.55"
"Indutrade","$8.46 B","Sweden","#1675","$22.28"
"SK Telecom","$8.45 B","South Korea","#1676","$21.52"
"Tata Consumer Products","$8.44 B","India","#1677","$9.09"
"HMM","$8.43 B","South Korea","#1678","$17.26"
"Sibanye-Stillwater","$8.43 B","South Africa","#1679","$11.61"
"National Retail Properties","$8.42 B","USA","#1680","$47.11"
"China Gas","$8.41 B","China","#1681","$1.55"
"Choice Properties REIT","$8.41 B","Canada","#1682","$11.63"
"Signify Health","$8.41 B","USA","#1683","$28.76"
"Agilon Health","$8.40 B","USA","#1684","$20.41"
"Penske Automotive","$8.39 B","USA","#1685","$117.69"
"Jones Lang LaSalle","$8.38 B","USA","#1686","$176.67"
"Doosan Enerbility","$8.38 B","South Korea","#1687","$13.13"
"Azrieli Group","$8.37 B","Israel","#1688","$69.03"
"SEI Investments","$8.36 B","USA","#1689","$62.07"
"St. James's Place","$8.36 B","UK","#1690","$15.09"
"RenaissanceRe","$8.36 B","","#1691","$191.30"
"Owens Corning","$8.35 B","USA","#1692","$88.41"
"SKF (Svenska Kullagerfabriken)","$8.33 B","Sweden","#1693","$17.74"
"ICICI Prulife","$8.33 B","India","#1694","$5.79"
"KEPCO","$8.32 B","Japan","#1695","$9.33"
"XPeng","$8.32 B","China","#1696","$9.40"
"Pearson","$8.32 B","UK","#1697","$11.40"
"Telefónica Deutschland (O2)","$8.32 B","Germany","#1698","$2.80"
"Accor","$8.31 B","France","#1699","$31.63"
"Qantas Airways","$8.30 B","Australia","#1700","$4.57"
"Française des Jeux","$8.30 B","France","#1701","$43.32"
"ST Engineering","$8.29 B","Singapore","#1702","$2.63"
"Royal Gold","$8.27 B","USA","#1703","$126.07"
"Switch","$8.27 B","USA","#1704","$34.25"
"Dropbox","$8.27 B","USA","#1705","$22.80"
"Want Want China","$8.26 B","Hong Kong","#1706","$0.70"
"UGI Corporation","$8.25 B","USA","#1707","$39.41"
"Americold","$8.24 B","USA","#1708","$30.60"
"Dino Polska","$8.24 B","Poland","#1709","$84.10"
"Lifco","$8.24 B","Sweden","#1710","$18.14"
"US Foods","$8.24 B","USA","#1711","$36.64"
"Williams-Sonoma","$8.23 B","USA","#1712","$123.70"
"Wharf Holdings","$8.21 B","Hong Kong","#1713","$2.69"
"Commerce Bancshares","$8.21 B","USA","#1714","$65.57"
"Whirlpool","$8.21 B","USA","#1715","$150.82"
"Banque Cantonale Vaudoise","$8.21 B","Switzerland","#1716","$95.66"
"Medical Properties Trust","$8.20 B","USA","#1717","$13.72"
"S-OIL","$8.19 B","South Korea","#1718","$71.29"
"Tata Power","$8.14 B","India","#1719","$2.55"
"Capri Holdings","$8.13 B","UK","#1720","$63.17"
"Webster Financial","$8.09 B","USA","#1721","$46.53"
"Coty","$8.09 B","USA","#1722","$9.52"
"Indofood CBP","$8.08 B","Indonesia","#1723","$0.69"
"Pentair","$8.08 B","UK","#1724","$49.16"
"Tetra Tech","$8.08 B","USA","#1725","$151.91"
"CCL Industries","$8.07 B","Canada","#1726","$45.60"
"Lear Corporation","$8.06 B","USA","#1727","$136.41"
"Symbotic","$8.05 B","USA","#1728","$14.46"
"Signature Bank","$8.04 B","USA","#1730","$127.79"
"Healthcare Realty","$8.04 B","USA","#1731","$21.13"
"Auckland Airport","$8.03 B","New Zealand","#1732","$5.43"
"ARC Resources","$8.03 B","Canada","#1733","$12.60"
"Hamamatsu","$8.03 B","Japan","#1734","$51.87"
"Yamaha Motor","$8.02 B","Japan","#1735","$23.73"
"Megacable Holdings","$8.02 B","Mexico","#1736","$3.13"
"ADT","$8.02 B","USA","#1737","$8.78"
"Unum","$8.01 B","USA","#1738","$40.30"
"GAIL","$8.01 B","India","#1739","$1.22"
"Ralph Lauren","$7.98 B","USA","#1740","$121.05"
"Organon","$7.97 B","USA","#1741","$31.34"
"Avis Budget Group","$7.95 B","USA","#1742","$191.93"
"Robinhood","$7.95 B","USA","#1743","$9.52"
"Fosun","$7.94 B","China","#1744","$0.97"
"Dentsply Sirona","$7.94 B","USA","#1745","$36.97"
"Fortune Brands Home & Security","$7.92 B","USA","#1746","$61.90"
"AGC","$7.91 B","Japan","#1747","$35.73"
