"Name","Master Cap","Country","Rank","Share Price"
"CVS Health","$114.31 B","USA","#119","$87.00"
"Prologis","$113.37 B","USA","#120","$122.82"
"American Express","$113.28 B","USA","#121","$151.60"
"AMD","$112.97 B","USA","#122","$70.07"
"Intuit","$111.82 B","USA","#123","$398.07"
"BlackRock","$111.07 B","USA","#124","$741.71"
"Sony","$110.90 B","Japan","#125","$89.29"
"Deutsche Telekom","$108.91 B","Germany","#126","$21.91"
"BP","$108.05 B","UK","#127","$35.50"
"Medtronic","$107.62 B","Ireland","#128","$80.91"
"Jingdong Mall","$107.21 B","China","#129","$60.43"
"TAQA","$106.83 B","United Arab Emirates","#130","$0.95"
"Keyence","$106.64 B","Japan","#131","$439.72"
"Diageo","$105.37 B","UK","#132","$185.96"
"BYD","$105.05 B","China","#133","$40.31"
"Gilead Sciences","$104.11 B","USA","#134","$83.01"
"American Tower","$103.08 B","USA","#135","$221.41"
"NTT (Nippon Telegraph & Telephone)","$102.45 B","Japan","#136","$29.70"
"Airbus","$101.71 B","Netherlands","#137","$129.15"
"Porsche","$101.60 B","Germany","#138","$111.53"
"CSL","$100.47 B","Australia","#139","$208.35"
"Citigroup","$98.95 B","USA","#140","$51.09"
"Automatic Data Processing","$98.38 B","USA","#141","$237.17"
"Equinor","$97.62 B","Norway","#142","$31.31"
"Stryker Corporation","$96.96 B","USA","#143","$256.22"
"Allianz","$96.53 B","Germany","#144","$239.36"
"Estee Lauder","$95.46 B","USA","#145","$267.56"
"Cigna","$94.27 B","USA","#146","$308.36"
"Mitsubishi UFJ Financial","$94.15 B","Japan","#147","$7.32"
"Inditex","$92.75 B","Spain","#148","$14.90"
"Applied Materials","$92.55 B","USA","#149","$109.65"
"TJX Companies","$91.90 B","USA","#150","$79.54"
"Glencore","$91.54 B","Switzerland","#151","$7.16"
"Chubb","$91.48 B","Switzerland","#152","$220.43"
"Booking Holdings (Booking.com)","$90.93 B","USA","#153","$2,344"
"Intuitive Surgical","$90.73 B","USA","#154","$256.77"
"Schneider Electric","$90.36 B","France","#155","$155.78"
"PayPal","$90.16 B","USA","#156","$79.09"
"ServiceNow","$89.24 B","USA","#157","$441.83"
"LG Energy Solution","$88.79 B","South Korea","#158","$379.48"
"Merck KGaA","$88.48 B","Germany","#159","$203.52"
"Mondelez","$87.45 B","USA","#160","$64.04"
"British American Tobacco","$86.77 B","UK","#161","$38.81"
"EssilorLuxottica","$86.68 B","France","#162","$189.46"
"Marsh & McLennan Companies","$85.86 B","USA","#163","$173.12"
"Vale","$85.03 B","Brazil","#164","$18.12"
"General Electric","$84.87 B","USA","#165","$77.68"
"Enbridge","$84.75 B","Canada","#166","$41.86"
"Compagnie Financière Richemont","$84.28 B","Switzerland","#167","$146.79"
"Analog Devices","$84.12 B","USA","#168","$165.17"
"Canadian National Railway","$83.59 B","Canada","#169","$123.31"
"Al Rajhi Bank","$82.79 B","Saudi Arabia","#170","$20.70"
"Air Liquide","$82.14 B","France","#171","$157.30"
"China Shenhua Energy","$81.62 B","China","#172","$4.28"
"Schlumberger","$81.43 B","USA","#173","$57.35"
"BNP Paribas","$80.91 B","France","#174","$64.78"
