valuetoday-annual_net_income_usd,forbes-assets,companiesmarketcap-revenue,disfold-revenue,globaldata-revenue,valuetoday-revenue,companiesmarketcap-pricecap,forbes-sales,disfold-market_cap,globaldata-market_cap,cbinsights-valuation,forbes-market_value,companiesmarketcap-share_price,ft-revenue_2020_eu,valuetoday-annual_revenue_usd,forbes-profit,ft-revenue_2017_eu,companiesmarketcap-earnings
doll_0.089 b,0,0,adoll_1510900000 at 2020-06-30,doll_7.3 b,0,doll_0.53 b,doll_16.8 b,doll_3.164 b,doll_5.9 b,,0,doll_11.73,doll_0.00228 b,doll_0.001676 b,0,,0
doll_0.142 b,0,0,doll_1.26 b,doll_7.3 b,0,doll_0.53 b,doll_9.9 b,doll_3.166 b,doll_7.4 b,,0,doll_4.91,doll_0.0023 b,doll_0.788 b,0,,0
doll_-0.459 b,0,0,doll_0.2819 b,doll_7.3 b,0,doll_0.53 b,doll_17.6 b,doll_3.178 b,doll_5.8 b,,0,doll_7.05,doll_0.00232 b,doll_0.0013620000000000001 b,0,,0
doll_0.359 b,0,0,doll_135567.0 b,doll_7.3 b,0,doll_0.53 b,doll_10.6 b,doll_3.178 b,doll_3.8 b,,0,doll_33.36,doll_0.01257 b,doll_0.005677 b,0,,0
doll_0.109 b,0,0,doll_1.3834 b,doll_7.3 b,0,doll_0.53 b,doll_21.8 b,doll_3.189 b,0,,0,doll_10.29,doll_0.00496 b,doll_0.001371 b,0,,0
doll_-0.048 b,0,0,0,doll_7.3 b,0,doll_0.53 b,doll_38.8 b,doll_3.193 b,doll_82.5 b,,0,doll_14.92,doll_0.002 b,doll_0.001367 b,0,,0
doll_0.058 b,0,0,0,doll_7.3 b,0,doll_0.53 b,doll_17.1 b,doll_3.198 b,doll_1.7 b,,0,doll_89.05,doll_0.01423 b,doll_0.785 b,0,,0
doll_0.062 b,0,0,0,doll_7.3 b,0,doll_0.53 b,doll_27.8 b,doll_3.2009999999999996 b,doll_86.2 b,,0,doll_6.33,doll_0.00262 b,doll_0.166 b,0,,0
doll_0.588 b,0,0,doll_1.703 b,doll_7.3 b,0,doll_0.53 b,doll_7.9 b,doll_3.2039999999999997 b,doll_30.3 b,,0,doll_2.67,doll_0.23711000000000002 b,doll_0.005320999999999999 b,0,,0
doll_0.083 b,0,0,0,doll_7.3 b,0,doll_0.53 b,doll_10.8 b,doll_3.2049999999999996 b,doll_2.5 b,,0,doll_6.54,doll_0.04999 b,doll_0.805 b,0,,0
doll_0.119 b,0,0,doll_0.4526 b,doll_7.3 b,0,doll_0.53 b,doll_15.8 b,doll_3.207 b,doll_31.3 b,,0,doll_44.65,doll_0.00163 b,doll_0.0014579999999999999 b,0,,0
doll_0.216 b,0,0,doll_2.194 b,doll_7.3 b,0,doll_0.53 b,doll_5.3 b,doll_3.219 b,doll_17.8 b,,0,doll_3.14,doll_0.0057599999999999995 b,doll_0.003243 b,0,,0
doll_0.248 b,0,0,0,doll_7.3 b,0,doll_0.53 b,doll_16.1 b,doll_3.22 b,doll_5.7 b,,0,doll_22.73,doll_0.0036 b,doll_0.00285 b,0,,0
doll_0.135 b,0,0,0,doll_7.3 b,0,doll_0.53 b,doll_13.4 b,doll_3.223 b,doll_0.6791 b,,0,doll_3.11,doll_0.0034 b,doll_0.00124 b,0,,0
doll_0.247 b,0,0,0,doll_7.3 b,0,doll_0.53 b,doll_11.3 b,doll_3.2310000000000003 b,doll_7.9 b,,0,doll_3.07,doll_0.0031 b,doll_0.0027040000000000002 b,0,,0
doll_0.133 b,0,0,0,doll_7.3 b,0,doll_0.54 b,doll_16.2 b,doll_3.232 b,doll_6.8 b,,0,doll_33.50,doll_0.00287 b,doll_0.00114 b,0,,0
doll_0.12 b,0,0,0,doll_7.4 b,0,doll_0.54 b,doll_8.5 b,doll_3.2329999999999997 b,0,,0,doll_5.04,doll_0.00145 b,doll_0.074 b,0,,0
doll_0.0 b,0,0,0,doll_7.4 b,0,doll_0.54 b,doll_21.8 b,doll_3.2409999999999997 b,doll_0.9224 b,,0,doll_3.54,doll_0.02057 b,doll_0.709 b,0,,0
doll_0.349 b,0,0,0,doll_7.4 b,0,doll_0.54 b,doll_54.5 b,doll_3.249 b,doll_2.1 b,,0,doll_1.26,doll_0.01001 b,doll_0.010820999999999999 b,0,,0
doll_-0.074 b,0,0,doll_21.399 b,doll_7.4 b,0,doll_0.54 b,doll_22.2 b,doll_3.251 b,0,,0,doll_11.47,doll_0.00539 b,doll_0.167 b,0,,0
doll_0.111 b,0,0,doll_0.765 b,doll_7.4 b,0,doll_0.54 b,doll_6.6 b,doll_3.254 b,doll_15.0 b,,0,doll_28.92,doll_0.00186 b,doll_0.865 b,0,,0
doll_0.001264 b,0,0,doll_1.194 b,doll_7.4 b,0,doll_0.54 b,doll_11.4 b,doll_3.271 b,doll_2.1 b,,0,doll_27.86,doll_0.00218 b,doll_0.010251 b,0,,0
doll_0.318 b,0,0,doll_1450.0 b,doll_7.4 b,0,doll_0.54 b,doll_27.2 b,doll_3.347 b,doll_5.6 b,,0,doll_31.97,doll_0.07407 b,doll_0.454 b,0,,0
doll_0.073 b,0,0,doll_2.064 b,doll_7.4 b,0,doll_0.54 b,doll_24.3 b,doll_3.349 b,doll_2.1 b,,0,doll_1.83,doll_0.020079999999999997 b,doll_0.003159 b,0,,0
doll_0.029 b,0,0,0,doll_7.4 b,0,doll_0.54 b,doll_8.7 b,doll_3.364 b,0,,0,doll_29.00,doll_0.0109 b,doll_0.005525 b,0,,0
0,0,0,0,doll_7.4 b,0,doll_0.54 b,doll_54.6 b,doll_3.3659999999999997 b,doll_61.1 b,,0,doll_12.02,doll_0.027800000000000002 b,0,0,,0
doll_0.172 b,0,0,0,doll_7.4 b,0,doll_0.54 b,doll_7.7 b,doll_3.368 b,doll_9.4 b,,0,doll_31.36,doll_0.00175 b,doll_0.001021 b,0,,0
doll_0.224 b,0,0,0,doll_7.4 b,0,doll_0.54 b,doll_9.6 b,doll_3.3689999999999998 b,doll_0.2051 b,,0,doll_7.58,doll_0.01773 b,doll_0.0020729999999999998 b,0,,0
doll_0.222 b,0,0,doll_1.295 b,doll_7.4 b,0,doll_0.54 b,doll_12.1 b,doll_3.3729999999999998 b,doll_3.3 b,,0,doll_19.61,doll_0.0181 b,doll_0.001359 b,0,,0
doll_0.136 b,0,0,doll_4.3185 b,doll_7.4 b,0,doll_0.54 b,doll_22.4 b,doll_3.3729999999999998 b,doll_8.6 b,,0,doll_8.09,doll_0.09994 b,doll_0.763 b,0,,0
doll_0.405 b,0,0,doll_2.3995 b,doll_7.5 b,0,doll_0.54 b,doll_32.9 b,doll_3.3950000000000005 b,doll_13.2 b,,0,doll_6.63,doll_0.02004 b,doll_0.005607999999999999 b,0,,0
doll_0.01 b,0,0,doll_0.62 b,doll_7.5 b,0,doll_0.54 b,doll_12.5 b,doll_3.401 b,doll_21.9 b,,0,doll_3.26,doll_0.0015300000000000001 b,doll_0.134 b,0,,0
doll_0.152 b,0,0,doll_0.73 b,doll_7.5 b,0,doll_0.54 b,doll_21.3 b,doll_3.406 b,doll_46.5 b,,0,doll_4.83,doll_0.00332 b,doll_0.0024089999999999997 b,0,,0
doll_0.066 b,0,0,doll_0.2571 b,doll_7.5 b,0,doll_0.54 b,doll_36.5 b,doll_3.411 b,doll_9.5 b,,0,doll_15.14,doll_0.0355 b,doll_0.534 b,0,,0
doll_0.12 b,0,0,0,doll_7.5 b,0,doll_0.55 b,doll_15.5 b,doll_3.4130000000000003 b,doll_3.6 b,,0,doll_8.63,doll_0.0039 b,doll_0.002068 b,0,,0
doll_0.131 b,0,0,doll_0.7003 b,doll_7.5 b,0,doll_0.55 b,doll_17.8 b,doll_3.4219999999999997 b,0,,0,doll_33.44,doll_0.0038 b,doll_0.005096 b,0,,0
doll_-0.034 b,0,0,0,doll_7.5 b,0,doll_0.55 b,doll_11.1 b,doll_3.4240000000000004 b,doll_19.9 b,,0,doll_8.05,doll_0.00424 b,doll_0.005557 b,0,,0
doll_0.31 b,0,0,doll_0.21000000000000002 b,doll_7.5 b,0,doll_0.55 b,doll_18.9 b,doll_3.439 b,doll_15.5 b,,0,doll_3.12,doll_0.00216 b,doll_0.255 b,0,,0
doll_0.086 b,0,0,doll_0.10569999999999999 b,doll_7.5 b,0,doll_0.55 b,doll_11.0 b,doll_3.44 b,doll_29.2 b,,0,doll_7.59,doll_0.0047599999999999995 b,doll_0.715 b,0,,0
doll_0.008 b,0,0,0,doll_7.5 b,0,doll_0.55 b,doll_78.2 b,doll_3.444 b,0,,0,doll_21.89,doll_0.03521 b,doll_0.895 b,0,,0
doll_-0.811 b,0,0,doll_0.24710000000000001 b,doll_7.5 b,0,doll_0.55 b,doll_5.5 b,doll_3.4490000000000003 b,doll_41.9 b,,0,doll_1.65,doll_0.07581 b,doll_0.002012 b,0,,0
doll_0.236 b,0,0,doll_3.3261060000000002 b,doll_7.6 b,0,doll_0.55 b,doll_9.7 b,doll_3.4579999999999997 b,doll_16.1 b,,0,doll_2.50,doll_0.0014 b,doll_0.654 b,0,,0
doll_0.156 b,0,0,doll_1.19 b,doll_7.6 b,0,doll_0.55 b,doll_12.9 b,doll_3.464 b,doll_79.5 b,,0,doll_16.57,doll_0.017929999999999998 b,doll_0.0066820000000000004 b,0,,0
doll_0.412 b,0,0,0,doll_7.6 b,0,doll_0.55 b,doll_13.9 b,doll_3.4659999999999997 b,0,,0,doll_4.04,doll_0.00188 b,doll_0.0040869999999999995 b,0,,0
doll_-0.059 b,0,0,0,doll_7.6 b,0,doll_0.56 b,doll_34.6 b,doll_3.473 b,doll_6.1 b,,0,doll_57.19,doll_0.0030600000000000002 b,doll_0.754 b,0,,0
doll_0.12 b,0,0,0,doll_7.6 b,0,doll_0.56 b,doll_17.9 b,doll_3.4840000000000004 b,doll_1.5 b,,0,doll_13.35,doll_0.00456 b,doll_0.987 b,0,,0
doll_0.134 b,0,0,doll_1.3676 b,doll_7.6 b,0,doll_0.56 b,doll_16.2 b,doll_3.489 b,doll_13.1 b,,0,doll_1.59,doll_0.0021000000000000003 b,doll_0.848 b,0,,0
doll_0.433 b,0,0,doll_0.93 b,doll_7.6 b,0,doll_0.56 b,doll_109.6 b,doll_3.492 b,doll_13.4 b,,0,doll_13.84,doll_0.0068 b,doll_0.437 b,0,,0
doll_0.113 b,0,0,doll_4.015 b,doll_7.6 b,0,doll_0.56 b,doll_15.6 b,doll_3.4939999999999998 b,doll_9.4 b,,0,doll_14.29,doll_0.0060999999999999995 b,doll_0.003074 b,0,,0
doll_-0.306 b,0,0,0,doll_7.6 b,0,doll_0.56 b,doll_40.9 b,doll_3.504 b,doll_1.3 b,,0,doll_6.76,doll_0.00908 b,doll_0.003028 b,0,,0
doll_0.279 b,0,0,doll_0.5597000000000001 b,doll_7.6 b,0,doll_0.56 b,doll_37.0 b,doll_3.5119999999999996 b,doll_19.0 b,,0,doll_186.29,doll_0.061020000000000005 b,doll_0.00155 b,0,,0
doll_0.147 b,0,0,doll_2.6888 b,doll_7.6 b,0,doll_0.56 b,doll_17.9 b,doll_3.5130000000000003 b,doll_1.8 b,,0,doll_59.79,doll_0.005019999999999999 b,doll_0.001917 b,0,,0
doll_0.105 b,0,0,doll_0.23010000000000003 b,doll_7.6 b,0,doll_0.56 b,doll_0.151 b,doll_3.5189999999999997 b,doll_6.2 b,,0,doll_3.24,doll_0.01031 b,doll_0.298 b,0,,0
doll_0.672 b,0,0,0,doll_7.6 b,0,doll_0.56 b,doll_23.8 b,doll_3.5200000000000005 b,doll_40.5 b,,0,doll_3.44,doll_0.0078 b,doll_0.004627 b,0,,0
0,0,0,0,doll_7.7 b,0,doll_0.56 b,doll_10.0 b,doll_3.521 b,doll_7.9 b,,0,doll_50.90,doll_0.00919 b,doll_0.202 b,0,,0
doll_0.398 b,0,0,doll_2.6 b,doll_7.7 b,0,doll_0.56 b,doll_20.6 b,doll_3.524 b,doll_26.2 b,,0,doll_1.78,doll_0.00227 b,doll_0.001516 b,0,,0
doll_0.163 b,0,0,0,doll_7.7 b,0,doll_0.56 b,doll_11.3 b,doll_3.661 b,doll_2.4 b,,0,doll_19.58,doll_0.00392 b,doll_0.464 b,0,,0
doll_0.335 b,0,0,doll_0.31 b,doll_7.7 b,0,doll_0.56 b,doll_18.9 b,doll_3.6670000000000003 b,doll_11.8 b,,0,doll_5.33,doll_0.006900000000000001 b,doll_0.0010869999999999999 b,0,,0
doll_-0.212 b,0,0,0,doll_7.7 b,0,doll_0.56 b,doll_8.3 b,doll_3.6719999999999997 b,doll_26.1 b,,0,doll_31.99,doll_0.02554 b,doll_0.055 b,0,,0
doll_0.862 b,0,0,doll_4.888 b,doll_7.7 b,0,doll_0.56 b,doll_171.3 b,doll_3.6740000000000004 b,doll_14.0 b,,0,doll_3.16,doll_0.0048200000000000005 b,doll_0.492 b,0,,0
doll_0.078 b,0,0,0,doll_7.7 b,0,doll_0.56 b,doll_31.9 b,doll_3.689 b,doll_3.0 b,,0,doll_20.86,doll_0.0573 b,doll_0.445 b,0,,0
doll_-0.0011220000000000002 b,0,0,0,doll_7.7 b,0,doll_0.56 b,doll_12.8 b,doll_3.69 b,doll_4.1 b,,0,doll_10.70,doll_0.01183 b,doll_0.0 b,0,,0
doll_0.064 b,0,0,0,doll_7.7 b,0,doll_0.56 b,doll_3.2 b,doll_3.69 b,doll_7.6 b,,0,doll_5.72,doll_0.00138 b,doll_0.56 b,0,,0
doll_0.268 b,0,0,0,doll_7.7 b,0,doll_0.56 b,doll_6.3 b,doll_3.6990000000000003 b,0,,0,doll_4.28,doll_0.012240000000000001 b,doll_0.946 b,0,,0
doll_0.016 b,0,0,doll_1.4300000000000002 b,doll_7.7 b,0,doll_0.56 b,doll_14.1 b,doll_3.7049999999999996 b,doll_0.9576 b,,0,doll_5.76,doll_0.008539999999999999 b,doll_0.001324 b,0,,0
doll_0.57 b,0,0,0,doll_7.7 b,0,doll_0.56 b,doll_22.7 b,doll_3.7079999999999997 b,doll_18.3 b,,0,doll_2.87,doll_0.10229 b,doll_0.009229 b,0,,0
doll_0.314 b,0,0,doll_1.2454 b,doll_7.7 b,0,doll_0.56 b,doll_13.9 b,doll_3.7359999999999998 b,doll_7.0 b,,0,doll_19.80,doll_0.0038599999999999997 b,doll_0.0026739999999999997 b,0,,0
doll_0.001 b,0,0,doll_0.554 b,doll_7.7 b,0,doll_0.57 b,doll_2.7 b,doll_3.7380000000000004 b,0,,0,doll_34.60,doll_0.040100000000000004 b,doll_0.015 b,0,,0
doll_0.11 b,0,0,doll_10.7293 b,doll_7.7 b,0,doll_0.58 b,doll_17.2 b,doll_3.751 b,doll_12.1 b,,0,doll_12.47,doll_0.0037 b,doll_0.003215 b,0,,0
doll_0.054 b,0,0,0,doll_7.7 b,0,doll_0.58 b,doll_76.0 b,doll_3.751 b,doll_6.9 b,,0,doll_1.95,doll_0.00199 b,doll_0.002055 b,0,,0
doll_0.071 b,0,0,0,doll_7.7 b,0,doll_0.58 b,doll_12.7 b,doll_3.755 b,doll_24.5 b,,0,doll_29.55,doll_0.07776000000000001 b,doll_0.0019270000000000001 b,0,,0
doll_0.5 b,0,0,doll_1.7908000000000002 b,doll_7.7 b,0,doll_0.58 b,doll_80.8 b,doll_3.7729999999999997 b,doll_6.1 b,,0,doll_15.66,doll_0.12244 b,doll_0.001966 b,0,,0
doll_0.174 b,0,0,0,doll_7.7 b,0,doll_0.58 b,doll_23.9 b,doll_3.779 b,doll_2.1 b,,0,doll_17.59,doll_0.01564 b,doll_0.001728 b,0,,0
doll_0.524 b,0,0,0,doll_7.8 b,0,doll_0.58 b,doll_26.4 b,doll_3.782 b,doll_31.5 b,,0,doll_29.41,doll_0.00367 b,doll_0.013065 b,0,,0
doll_0.159 b,0,0,0,doll_7.8 b,0,doll_0.58 b,doll_8.5 b,doll_3.793 b,doll_4.8 b,,0,doll_7.35,doll_0.03843 b,doll_0.002997 b,0,,0
doll_-0.04 b,0,0,doll_2.5509 b,doll_7.8 b,0,doll_0.58 b,doll_49.8 b,doll_3.8 b,doll_74.6 b,,0,doll_136.12,doll_0.00461 b,doll_0.003976 b,0,,0
doll_0.132 b,0,0,0,doll_7.8 b,0,doll_0.58 b,doll_17.9 b,doll_3.8009999999999997 b,doll_3.0 b,,0,doll_4.76,doll_0.00874 b,doll_0.001459 b,0,,0
0,0,0,0,doll_7.8 b,0,doll_0.58 b,doll_8.3 b,doll_3.813 b,doll_1.0 b,,0,doll_23.88,doll_0.011529999999999999 b,0,0,,0
doll_0.196 b,0,0,0,doll_7.8 b,0,doll_0.58 b,doll_6.4 b,doll_3.815 b,doll_3.3 b,,0,doll_9.95,doll_0.00277 b,doll_0.0027040000000000002 b,0,,0
doll_0.2 b,0,0,doll_9.4224 b,doll_7.8 b,0,doll_0.58 b,doll_8.9 b,doll_3.816 b,doll_18.5 b,,0,doll_6.94,doll_0.0058200000000000005 b,doll_0.0028740000000000003 b,0,,0
doll_0.097 b,0,0,0,doll_7.8 b,0,doll_0.58 b,doll_8.8 b,doll_3.825 b,doll_8.0 b,,0,doll_4.26,doll_0.004200000000000001 b,doll_0.686 b,0,,0
doll_0.078 b,0,0,doll_2.0705 b,doll_7.8 b,0,doll_0.59 b,doll_5.8 b,doll_3.839 b,doll_2.6 b,,0,doll_1.68,doll_0.00189 b,doll_0.618 b,0,,0
doll_-0.225 b,0,0,doll_50223.0 b,doll_7.8 b,0,doll_0.59 b,doll_14.1 b,doll_3.8689999999999998 b,doll_6.5 b,,0,doll_3.34,doll_0.01287 b,doll_0.0 b,0,,0
doll_-0.521 b,0,0,doll_0.74 b,doll_7.8 b,0,doll_0.59 b,doll_33.7 b,doll_3.8899999999999997 b,doll_25.6 b,,0,doll_10.65,doll_0.00639 b,doll_0.345 b,0,,0
0,0,0,doll_2.65 b,doll_7.9 b,0,doll_0.59 b,doll_13.3 b,doll_3.9 b,doll_44.5 b,,0,doll_22.65,doll_0.00528 b,0,0,,0
0,0,0,0,doll_7.8 b,0,doll_0.59 b,doll_10.4 b,doll_3.903 b,doll_7.4 b,,0,doll_3.35,doll_0.00591 b,0,0,,0
0,0,0,0,doll_7.9 b,0,doll_0.59 b,doll_13.9 b,doll_3.929 b,doll_0.8773 b,,0,doll_276.00,doll_0.12747 b,0,0,,0
0,0,0,doll_1.08 b,doll_7.9 b,0,doll_0.59 b,doll_46.1 b,doll_3.934 b,doll_4.7 b,,0,doll_0.94,doll_0.00873 b,0,0,,0
doll_0.059 b,0,0,doll_5.41 b,doll_7.9 b,0,doll_0.59 b,doll_12.4 b,doll_3.9560000000000004 b,doll_0.4623 b,,0,doll_15.41,doll_0.00285 b,doll_0.0065780000000000005 b,0,,0
doll_0.444 b,0,0,0,doll_7.9 b,0,doll_0.59 b,doll_15.0 b,doll_3.971 b,0,,0,doll_17.21,doll_0.00172 b,doll_0.00145 b,0,,0
doll_0.526 b,0,0,0,doll_7.9 b,0,doll_0.59 b,doll_11.8 b,doll_4.083 b,0,,0,doll_1.87,doll_0.007 b,doll_0.0011149999999999999 b,0,,0
doll_0.001617 b,0,0,doll_0.741 b,doll_7.9 b,0,doll_0.59 b,doll_17.5 b,doll_4.087 b,doll_2.9 b,,0,doll_19.97,doll_0.03215 b,doll_0.005168 b,0,,0
doll_0.182 b,0,0,0,doll_7.9 b,0,doll_0.59 b,doll_12.8 b,doll_4.116 b,doll_7.4 b,,0,doll_19.28,doll_0.03198 b,doll_0.001003 b,0,,0
doll_0.886 b,0,0,0,doll_7.9 b,0,doll_0.59 b,doll_14.3 b,doll_4.125 b,doll_4.2 b,,0,doll_90.14,doll_0.00135 b,doll_0.005308 b,0,,0
doll_0.356 b,0,0,doll_11.7033 b,doll_7.9 b,0,doll_0.59 b,doll_14.4 b,doll_4.127000000000001 b,doll_10.4 b,,0,doll_24.13,doll_0.00109 b,doll_0.017813 b,0,,0
doll_0.105 b,0,0,0,doll_7.9 b,0,doll_0.59 b,doll_40.4 b,doll_4.147 b,doll_3.4 b,,0,doll_26.74,doll_0.01422 b,doll_0.0027370000000000003 b,0,,0
doll_0.012 b,0,0,doll_4.467499999999999 b,doll_7.9 b,0,doll_0.59 b,doll_43.4 b,doll_4.154 b,0,,0,doll_3.62,doll_0.09278 b,doll_0.2 b,0,,0
doll_0.218 b,0,0,doll_0.736 b,doll_7.9 b,0,doll_0.59 b,doll_10.2 b,doll_4.16 b,doll_11.3 b,,0,doll_7.71,doll_0.0024700000000000004 b,doll_0.003942 b,0,,0
doll_0.629 b,0,0,doll_1.2206 b,doll_7.9 b,0,doll_0.59 b,doll_52.9 b,doll_4.182 b,doll_1.8 b,,0,doll_11.58,doll_0.06875 b,doll_0.013585000000000002 b,0,,0
doll_0.001108 b,0,0,0,doll_7.9 b,0,doll_0.59 b,doll_13.6 b,doll_4.191 b,doll_1.6 b,,0,doll_12.69,doll_0.006889999999999999 b,doll_0.01368 b,0,,0
doll_0.214 b,0,0,doll_0.4823 b,doll_7.9 b,0,doll_0.59 b,doll_34.1 b,doll_4.193 b,doll_0.8446 b,,0,doll_13.27,doll_0.00547 b,doll_0.001403 b,0,,0
doll_0.047 b,0,0,doll_3.9 b,doll_7.9 b,0,doll_0.59 b,doll_20.4 b,doll_4.1979999999999995 b,doll_20.2 b,,0,doll_2.30,doll_0.03521 b,doll_0.515 b,0,,0
doll_0.155 b,0,0,doll_13.25 b,doll_7.9 b,0,doll_0.59 b,doll_6.4 b,doll_4.203 b,doll_2.7 b,,0,doll_1.66,doll_0.0125 b,doll_0.0010789999999999999 b,0,,0
doll_-0.103 b,0,0,doll_5.537100000000001 b,doll_7.9 b,0,doll_0.59 b,doll_11.8 b,doll_4.2219999999999995 b,doll_2.7 b,,0,doll_11.48,doll_0.0067800000000000004 b,doll_0.0027280000000000004 b,0,,0
doll_0.305 b,0,0,0,doll_7.9 b,0,doll_0.6 b,doll_18.2 b,doll_4.225 b,doll_14.3 b,,0,doll_12.48,doll_0.0188 b,doll_0.002124 b,0,,0
doll_0.675 b,0,0,doll_0.4307 b,doll_7.9 b,0,doll_0.6 b,doll_14.0 b,doll_4.239 b,doll_10.2 b,,0,doll_9.45,doll_0.05464 b,doll_0.017978 b,0,,0
doll_0.272 b,0,0,0,doll_7.9 b,0,doll_0.6 b,doll_35.4 b,doll_4.2490000000000006 b,doll_2.9 b,,0,doll_4.95,doll_0.0104 b,doll_0.0036179999999999997 b,0,,0
doll_0.00321 b,0,0,0,doll_7.9 b,0,doll_0.6 b,doll_4.8 b,doll_4.253 b,doll_4.1 b,,0,doll_2.85,doll_0.08239 b,doll_0.0 b,0,,0
doll_0.862 b,0,0,doll_1.763 b,doll_7.9 b,0,doll_0.6 b,doll_39.0 b,doll_4.265 b,doll_3.0 b,,0,doll_0.37,doll_0.0011 b,doll_0.006624 b,0,,0
doll_0.114 b,0,0,doll_1.4217 b,doll_7.9 b,0,doll_0.6 b,doll_7.5 b,doll_4.266 b,doll_13.9 b,,0,doll_18.72,doll_0.00531 b,doll_0.666 b,0,,0
doll_-0.119 b,0,0,0,doll_8.0 b,0,doll_0.6 b,doll_5.1 b,doll_4.268 b,doll_2.1 b,,0,doll_25.09,doll_0.02457 b,doll_0.427 b,0,,0
doll_0.776 b,0,0,doll_0.45999999999999996 b,doll_8.0 b,0,doll_0.6 b,doll_9.4 b,doll_4.281000000000001 b,doll_27.6 b,,0,doll_11.24,doll_0.00379 b,doll_0.016568000000000003 b,0,,0
doll_-0.122 b,0,0,0,doll_8.0 b,0,doll_0.6 b,doll_10.8 b,doll_4.284000000000001 b,doll_7.3 b,,0,doll_6.84,doll_0.00172 b,doll_0.0010409999999999998 b,0,,0
doll_0.228 b,0,0,0,doll_8.0 b,0,doll_0.6 b,doll_3.8 b,doll_4.288 b,doll_4.4 b,,0,doll_3.97,doll_0.07499 b,doll_0.001805 b,0,,0
doll_0.341 b,0,0,doll_1.0153 b,doll_8.0 b,0,doll_0.6 b,doll_11.8 b,doll_4.2909999999999995 b,doll_4.1 b,,0,doll_9.36,doll_0.0070999999999999995 b,doll_0.437 b,0,,0
doll_0.139 b,0,0,doll_3.08 b,doll_8.0 b,0,doll_0.6 b,doll_7.8 b,doll_4.309 b,doll_0.8757999999999999 b,,0,doll_4.84,doll_0.00419 b,doll_0.003438 b,0,,0
doll_0.135 b,0,0,0,doll_8.0 b,0,doll_0.6 b,doll_8.4 b,doll_4.3100000000000005 b,doll_2.0 b,,0,doll_3.64,doll_0.01129 b,doll_0.871 b,0,,0
doll_0.16 b,0,0,doll_1.9100000000000001 b,doll_8.0 b,0,doll_0.6 b,doll_7.1 b,doll_4.321 b,doll_22.8 b,,0,doll_19.35,doll_0.04245 b,doll_0.0025139999999999997 b,0,,0
doll_0.419 b,0,0,doll_1.17 b,doll_8.0 b,0,doll_0.6 b,doll_10.3 b,doll_4.338 b,doll_43.8 b,,0,doll_1.08,doll_0.04353 b,doll_0.421 b,0,,0
doll_0.254 b,0,0,0,doll_8.0 b,0,doll_0.6 b,doll_21.8 b,doll_4.340999999999999 b,doll_16.0 b,,0,doll_4.37,doll_0.01589 b,doll_0.269 b,0,,0
doll_-0.058 b,0,0,doll_1.1985 b,doll_8.0 b,0,doll_0.6 b,doll_27.7 b,doll_4.35 b,doll_16.7 b,,0,doll_1.91,doll_0.00115 b,doll_0.76 b,0,,0
doll_0.00138 b,0,0,doll_2.2106000000000003 b,doll_8.0 b,0,doll_0.6 b,doll_29.0 b,doll_4.359 b,doll_3.5 b,,0,doll_2.69,doll_0.20597 b,doll_0.001317 b,0,,0
doll_0.145 b,0,0,doll_0.4609 b,doll_8.0 b,0,doll_0.61 b,doll_9.7 b,doll_4.369 b,doll_12.0 b,,0,doll_0.23,doll_0.011640000000000001 b,doll_0.001193 b,0,,0
doll_-0.108 b,0,0,0,doll_8.0 b,0,doll_0.61 b,doll_10.9 b,doll_4.37 b,doll_11.1 b,,0,doll_7.06,doll_0.0793 b,doll_0.007142000000000001 b,0,,0
doll_0.029 b,0,0,doll_0.9355 b,doll_8.0 b,0,doll_0.61 b,doll_10.0 b,doll_4.521 b,0,,0,doll_1.26,doll_0.0030299999999999997 b,doll_0.33 b,0,,0
doll_-0.157 b,0,0,0,doll_8.0 b,0,doll_0.61 b,doll_34.1 b,doll_4.535 b,doll_21.0 b,,0,doll_22.41,doll_0.0039900000000000005 b,doll_0.54 b,0,,0
doll_0.236 b,0,0,doll_3.1581 b,doll_8.0 b,0,doll_0.61 b,doll_6.7 b,doll_4.556 b,doll_10.2 b,,0,doll_5.34,doll_0.002 b,doll_0.001949 b,0,,0
doll_0.512 b,0,0,doll_0.2707 b,doll_8.1 b,0,doll_0.61 b,doll_16.9 b,doll_4.564 b,doll_0.762 b,,0,doll_10.56,doll_0.004 b,doll_0.005516 b,0,,0
doll_0.249 b,0,0,doll_4.3809 b,doll_8.1 b,0,doll_0.61 b,doll_9.8 b,doll_4.574 b,doll_5.6 b,,0,doll_42.18,doll_0.00294 b,doll_0.341 b,0,,0
doll_0.112 b,0,0,0,doll_8.1 b,0,doll_0.61 b,doll_26.9 b,doll_4.574 b,doll_2.9 b,,0,doll_0.53,doll_0.05933 b,doll_0.272 b,0,,0
doll_0.391 b,0,0,doll_0.8598000000000001 b,doll_8.1 b,0,doll_0.61 b,doll_4.5 b,doll_4.577 b,doll_0.7524 b,,0,doll_2.12,doll_0.0045 b,doll_0.005971 b,0,,0
doll_0.0019270000000000001 b,0,0,doll_0.79 b,doll_8.1 b,0,doll_0.61 b,doll_25.3 b,doll_4.583 b,doll_1.8 b,,0,doll_34.24,doll_0.02119 b,doll_0.010662000000000001 b,0,,0
