valuetoday-annual_net_income_usd,forbes-assets,companiesmarketcap-revenue,disfold-revenue,globaldata-revenue,valuetoday-revenue,companiesmarketcap-pricecap,forbes-sales,disfold-market_cap,globaldata-market_cap,cbinsights-valuation,forbes-market_value,companiesmarketcap-share_price,ft-revenue_2020_eu,valuetoday-annual_revenue_usd,forbes-profit,ft-revenue_2017_eu,companiesmarketcap-earnings
doll_0.00199 b,doll_221.24 b,0,0,doll_0.9931 b,0,doll_224.72 b,doll_297.55 b,doll_24.830000000000002 b,doll_0.7992 b,doll_10 b,doll_490.15 b,doll_83.35,doll_0.00901 b,doll_0.06741 b,doll_17.45 b,"238,451",0
doll_0.023039999999999998 b,doll_244.86 b,0,0,doll_0.9935 b,0,doll_247.88 b,doll_572.75 b,doll_2275.0 b,doll_0.12190000000000001 b,doll_10 b,doll_431.64 b,doll_605.71,doll_0.00838 b,doll_0.28564 b,doll_13.67 b,"207,120",0
doll_0.0067599999999999995 b,doll_1451.2 b,0,0,doll_0.9932000000000001 b,0,doll_240.69 b,doll_71.07 b,doll_29.427 b,doll_4.4 b,doll_10 b,doll_167.32 b,doll_90.06,doll_0.01614 b,doll_0.020509 b,doll_18.58 b,"416,562",0
doll_0.02198 b,doll_638.26 b,0,0,doll_0.9956 b,0,doll_278.99 b,doll_295.73 b,doll_30.079 b,doll_1.7 b,doll_9.2 b,doll_82.4 b,doll_110.04,doll_0.013890000000000001 b,doll_0.081288 b,doll_17.54 b,"363,010",0
doll_0.009016 b,doll_239.53 b,0,0,doll_0.9949 b,0,doll_278.28 b,doll_156.29 b,doll_31.512999999999998 b,doll_0.5906 b,doll_10 b,doll_316.23 b,doll_64.35,doll_0.00624 b,doll_0.12414 b,doll_15.63 b,"181,772",0
doll_0.014808 b,doll_2394.11 b,0,0,doll_0.9956 b,0,doll_270.73 b,doll_79.94 b,doll_32.147000000000006 b,doll_0.1451 b,doll_1 b,doll_101.48 b,doll_329.15,doll_0.00646 b,doll_0.06675700000000001 b,doll_18.23 b,"214,673",0
doll_0.00868 b,doll_252.99 b,0,0,doll_0.9977999999999999 b,0,doll_285.74 b,doll_86.86 b,doll_2216.0 b,doll_2.1 b,doll_10 b,doll_414.28 b,doll_126.90,doll_0.00519 b,doll_0.018879999999999997 b,doll_34.94 b,"170,950",0
doll_0.01797 b,doll_293.46 b,0,0,doll_0.9972000000000001 b,0,doll_289.42 b,doll_185.12 b,doll_34.872 b,doll_2.6 b,doll_1 b,doll_127.32 b,doll_163.66,doll_0.008039999999999999 b,doll_0.092575 b,doll_16.14 b,"263,663",0
doll_0.007634 b,doll_1975.08 b,0,0,doll_0.998 b,0,doll_285.77 b,doll_77.61 b,doll_32.352 b,doll_0.5336000000000001 b,doll_9.08 b,doll_125.53 b,doll_50.91,doll_0.12131 b,doll_0.015929 b,doll_11.33 b,"4,044,537",0
doll_0.004822 b,doll_283.37 b,0,0,doll_0.9995 b,0,doll_292.41 b,doll_131.49 b,doll_35.083999999999996 b,doll_0.7097 b,doll_1 b,doll_147.05 b,doll_232.78,doll_0.011300000000000001 b,doll_0.015785 b,doll_17.97 b,"381,830",0
