,name,type,industry,founded,founders,headquarters,key_people,services,revenue,operating_income,total_assets,number_of_employees,website
192,"heritage film project, llc",[],['film production and distribution'],['18\xa0december 2008'],['eduardo montes-bradley'],"['charlottesville', 'united states of america']",[],[],[],[],[],[],['heritagefilmproject.com']
193,"happy madison productions, inc.",['private'],['production company'],"['december\xa010, 1999']",['adam sandler'],"[', ', ', u.s.', ', u.s. (parent company)']",[],[],[],[],[],[],[]
194,hannover house,['public'],['entertainment'],['1993'],[],"['springdale, arkansas']",[],[],"['us doll_7,325,000 (q2 2014 - proforma)']",[],[],[],['www.hannoverhouse.com']
195,rlj entertainment,['subsidiary'],['entertainment'],['1981'],[],"['chatsworth, los angeles', 'california']",[],[],[],[],[],[],"['rljentertainment', '.com']"
196,"twentieth century pictures, inc.",[],['film'],"['june\xa026, 1933']","['joseph schenck', 'darryl f. zanuck']",[],[],[],[],[],[],[],[]
197,fox film corporation,[],['film'],"['fort lee, new jersey']",['william fox'],[],[],[],[],[],[],[],[]
198,"filmways, inc.",['corporation'],"['motion pictures', 'television programs']",['1952'],"['martin ransohoff', 'edwin kasper']","['sonoma county, california']",[],[],[],[],[],[],[]
199,fox atomic llc,['label'],['entertainment'],['2006'],[],[],[],[],[],[],[],[],[]
200,focus features llc,['division'],['film'],['2002; 20 years ago'],"['james schamus', 'david linde']","['universal city, california', 'united states']",[],[],[],[],[],[],['official website']
201,flavor unit entertainment,['private'],['entertainment'],[],[],"['miami', 'florida']",[],[],[],[],[],[],[]
202,four star television,['subsidiary'],['television production'],"['1952 (as four star productions)', 'incorporated as four star television on jan. 12, 1959.']","['dick powell', 'david niven', 'charles boyer', 'joel mccrea']","['beverly hills, california', 'costa mesa, california']",[],[],[],[],[],[],[]
203,five & two pictures,['filmmaking'],[],['2002'],"['dave christiano', 'rich christiano']",['united states'],[],[],[],[],[],[],['official website']
204,embassy pictures,[],['film studio'],"['september 25, 1942']",['joseph e. levine'],"['los angeles, california']",[],[],[],[],[],[],[]
205,"electric entertainment, inc.",['private'],"['motion pictures', 'television films']","['january\xa011, 2001']",['dean devlin'],"['beverly hills, california']",[],[],[],[],[],[],"['electricentertainment', '.com']"
